@RELATION LCP

@ATTRIBUTE lcp_mean NUMERIC
@ATTRIBUTE lcp_std NUMERIC
@ATTRIBUTE lcp_energy NUMERIC
@ATTRIBUTE lcp_entropy NUMERIC
@ATTRIBUTE class {BASLANGIC,NORMAL,TUMORLU}

@DATA
0.532217,0.293799,0.148337,0.638037,BASLANGIC
0.076030,0.392684,0.145957,0.002462,BASLANGIC
0.600718,0.242245,0.140894,0.728789,BASLANGIC
0.065756,0.368832,0.128580,0.001165,BASLANGIC
0.709445,0.320787,0.216254,0.780405,BASLANGIC
0.123662,0.500913,0.238900,0.003389,BASLANGIC
0.593978,0.235413,0.135917,0.728069,BASLANGIC
0.141785,0.539557,0.277745,0.002438,BASLANGIC
0.885576,0.348511,0.300504,0.907106,BASLANGIC
0.077835,0.396874,0.149125,0.002587,BASLANGIC
0.577094,0.242768,0.134510,0.709318,BASLANGIC
0.064426,0.364939,0.125860,0.001377,BASLANGIC
0.759001,0.339843,0.245375,0.806547,BASLANGIC
0.096578,0.446487,0.189134,0.001641,BASLANGIC
0.686043,0.287315,0.189398,0.787654,BASLANGIC
0.073878,0.390144,0.144016,0.001578,BASLANGIC
0.569777,0.238903,0.130768,0.706489,BASLANGIC
0.063145,0.359177,0.121909,0.001695,BASLANGIC
0.492095,0.270491,0.126226,0.600834,BASLANGIC
0.034933,0.269664,0.068473,0.000535,BASLANGIC
0.618984,0.273685,0.161404,0.732104,BASLANGIC
0.123276,0.505750,0.243443,0.001355,BASLANGIC
0.565240,0.249102,0.134209,0.699280,BASLANGIC
0.110962,0.476235,0.215581,0.002646,BASLANGIC
0.714731,0.303836,0.208119,0.786860,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.726615,0.354117,0.243213,0.761400,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.765385,0.309905,0.229452,0.832089,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.784632,0.263097,0.211403,0.876341,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.908315,0.330023,0.298449,0.926844,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.876068,0.343775,0.293444,0.893393,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.692160,0.341983,0.223661,0.730523,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.500469,0.336766,0.165939,0.524190,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.513040,0.337280,0.169295,0.531691,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.765053,0.300483,0.223939,0.833959,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.799869,0.295153,0.233927,0.871899,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.773750,0.257552,0.204660,0.870274,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.810725,0.274888,0.227256,0.885221,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.748056,0.336762,0.239495,0.794653,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.855723,0.358402,0.294689,0.872521,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.571713,0.287837,0.155461,0.668595,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.557343,0.296387,0.156284,0.634345,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.722765,0.325233,0.223487,0.784179,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.907960,0.351826,0.312234,0.913765,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.619202,0.321861,0.188370,0.670007,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.677258,0.285854,0.185764,0.764204,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.844651,0.311599,0.260808,0.888554,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.710184,0.302760,0.205965,0.786690,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.785549,0.294875,0.228371,0.858954,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.680489,0.276539,0.181895,0.778499,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.485082,0.211218,0.097824,0.632426,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.691314,0.316357,0.207564,0.759116,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.573770,0.305334,0.165753,0.653048,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.656677,0.325522,0.201969,0.712682,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.633590,0.347751,0.208913,0.710671,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.889739,0.343613,0.299084,0.914402,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.819055,0.317767,0.254314,0.871081,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.650378,0.269171,0.168589,0.758868,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.612417,0.274173,0.159731,0.716691,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.573723,0.225190,0.125875,0.714451,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.526469,0.254575,0.126722,0.648728,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.523794,0.261662,0.129483,0.632318,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.856998,0.453784,0.367845,0.826426,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.652100,0.317430,0.195666,0.724122,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.704646,0.313098,0.210070,0.777885,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.872492,0.314716,0.274015,0.911233,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.548813,0.266797,0.138414,0.657392,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.693707,0.300917,0.199417,0.774919,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.880673,0.319478,0.280259,0.914452,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.633097,0.313178,0.187340,0.707531,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.685389,0.308357,0.200937,0.762506,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.757275,0.329983,0.238560,0.806218,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.861418,0.315755,0.270060,0.902404,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.524594,0.263245,0.130462,0.632033,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.671146,0.323393,0.205246,0.733467,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.658478,0.314519,0.195930,0.727798,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.509269,0.265436,0.127778,0.611802,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.667866,0.326184,0.205901,0.728230,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.413952,0.207062,0.080976,0.551154,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.785869,0.332701,0.250749,0.828358,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.425787,0.218207,0.087786,0.558748,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.740806,0.354924,0.248705,0.777359,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.630752,0.317598,0.189249,0.701349,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.729359,0.343800,0.237413,0.774095,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.711256,0.312646,0.212032,0.784917,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.880635,0.322205,0.281884,0.912534,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.622554,0.323984,0.190645,0.671849,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.625955,0.320520,0.189563,0.675721,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.491007,0.225668,0.105119,0.624799,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.805111,0.309928,0.244312,0.865369,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.422979,0.219973,0.087944,0.554537,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.419145,0.209148,0.082820,0.556030,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.734276,0.347808,0.241724,0.774662,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.656582,0.277960,0.175028,0.757954,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.632480,0.290017,0.174055,0.724276,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.663369,0.268718,0.172422,0.769468,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.492744,0.243288,0.113273,0.615056,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.777706,0.366109,0.269600,0.812980,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.746412,0.291743,0.212381,0.826207,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.935951,0.378326,0.342658,0.915991,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.886499,0.369660,0.315134,0.884925,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.659979,0.350259,0.218678,0.724187,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.623572,0.271745,0.161768,0.729877,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.773853,0.350723,0.257836,0.808253,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.847924,0.312187,0.262470,0.891736,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.698072,0.325596,0.215360,0.760051,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
1.000000,0.312738,0.329666,1.000000,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.744381,0.278236,0.204442,0.832779,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.822454,0.334537,0.265899,0.858617,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.951689,0.356079,0.334408,0.939439,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.591925,0.294273,0.164571,0.685058,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.575317,0.290584,0.157935,0.656434,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.699799,0.307295,0.205074,0.772827,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.798309,0.341115,0.260754,0.834694,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.582239,0.281421,0.154927,0.686392,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.751199,0.367035,0.260593,0.779463,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.902868,0.325878,0.293552,0.927229,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.815756,0.314299,0.250975,0.869275,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.801893,0.281390,0.227259,0.877846,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.913216,0.319056,0.293899,0.937623,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.589683,0.294794,0.164228,0.680427,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.584610,0.291820,0.161175,0.677872,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.685332,0.292759,0.192128,0.768576,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.639497,0.285457,0.173719,0.735700,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.667705,0.306389,0.194109,0.751254,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.794582,0.342882,0.260474,0.828571,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.707255,0.271456,0.188123,0.805335,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.711923,0.314788,0.213517,0.777037,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.515407,0.244968,0.119480,0.643133,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.596724,0.241676,0.139497,0.725810,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.710097,0.309317,0.209698,0.778449,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.782576,0.305161,0.233048,0.846975,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.565061,0.275999,0.147403,0.670954,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.688894,0.319572,0.208686,0.755408,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.705661,0.288632,0.196607,0.801081,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.658855,0.252550,0.163100,0.776220,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.750909,0.395119,0.280559,0.788294,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.800755,0.304773,0.239676,0.862105,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.641648,0.334934,0.203155,0.688381,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.818808,0.309269,0.249222,0.876969,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.710637,0.251957,0.179695,0.821339,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.780190,0.361303,0.267243,0.815317,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.654368,0.321611,0.198876,0.712448,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.809649,0.310923,0.246635,0.867440,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.640472,0.347801,0.211033,0.716332,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.790308,0.291617,0.228363,0.864122,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.581385,0.305400,0.167884,0.660886,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.497955,0.210731,0.100642,0.645132,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.683489,0.284909,0.187275,0.770781,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.699567,0.320389,0.212703,0.763776,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.898498,0.350642,0.307387,0.915734,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.418430,0.895020,0.792752,0.016978,TUMORLU
0.722360,0.262951,0.189000,0.829591,TUMORLU
0.418444,0.902027,0.804562,0.013070,TUMORLU
0.391713,0.186936,0.069278,0.546824,TUMORLU
