@RELATION GLCM_LBP_HOG

@ATTRIBUTE glcm_contrast NUMERIC
@ATTRIBUTE glcm_dissimilarity NUMERIC
@ATTRIBUTE glcm_homogeneity NUMERIC
@ATTRIBUTE glcm_energy NUMERIC
@ATTRIBUTE glcm_correlation NUMERIC
@ATTRIBUTE glcm_ASM NUMERIC
@ATTRIBUTE lbp_energy NUMERIC
@ATTRIBUTE lbp_entropy NUMERIC
@ATTRIBUTE lbp_mean NUMERIC
@ATTRIBUTE lbp_std NUMERIC
@ATTRIBUTE hog_mean NUMERIC
@ATTRIBUTE hog_std NUMERIC
@ATTRIBUTE hog_skew NUMERIC
@ATTRIBUTE hog_kurtosis NUMERIC
@ATTRIBUTE class {BASLANGIC,NORMAL,TUMORLU}

@DATA
0.123677,0.608466,0.316975,0.038552,0.887595,0.008459,0.032184,0.967013,0.092433,0.906969,0.903029,0.703169,0.044309,0.002459,BASLANGIC
0.125200,0.057910,0.992930,0.985643,0.606140,0.974140,0.979946,0.026115,0.990253,0.114289,0.099041,0.494988,0.503082,0.216100,BASLANGIC
0.162969,0.525527,0.495961,0.396371,0.894621,0.201838,0.101165,0.839788,0.330215,0.860209,0.752514,0.876904,0.117703,0.019363,BASLANGIC
0.401007,0.182956,0.978690,0.877232,0.860029,0.789682,0.924036,0.084453,0.968584,0.191416,0.229985,0.771681,0.332587,0.093419,BASLANGIC
0.212201,0.827502,0.155861,0.013470,0.856066,0.002649,0.010546,0.988709,0.059553,0.884540,0.912781,0.689159,0.036977,0.001550,BASLANGIC
0.334247,0.158113,0.980819,0.906105,0.848055,0.836942,0.936493,0.071579,0.972686,0.179263,0.133905,0.566868,0.404508,0.133053,BASLANGIC
0.241263,0.892955,0.126131,0.027283,0.642530,0.005888,0.058159,0.932004,0.157102,0.969172,0.883413,0.730104,0.049984,0.001379,BASLANGIC
0.082430,0.039152,0.995063,0.993465,0.389414,0.988187,0.989095,0.015274,0.994271,0.096050,0.089544,0.496977,0.628482,0.403876,BASLANGIC
0.244414,0.873283,0.159846,0.047784,0.609261,0.011069,0.055698,0.934439,0.146473,0.972899,0.881420,0.732752,0.062461,0.002547,BASLANGIC
0.104378,0.047163,0.994716,0.990364,0.511946,0.982606,0.985169,0.019951,0.992435,0.102418,0.086017,0.525445,0.788336,0.663856,BASLANGIC
0.161059,0.628845,0.341485,0.061207,0.827762,0.014501,0.013998,0.980729,0.078760,0.889186,0.859332,0.761107,0.074103,0.007845,BASLANGIC
0.457343,0.210277,0.975258,0.852613,0.865575,0.750456,0.913685,0.093941,0.963710,0.204415,0.248877,0.853023,0.353882,0.111792,BASLANGIC
0.263460,0.867986,0.151102,0.049891,0.425566,0.011514,0.044672,0.955923,0.122504,0.955110,0.961316,0.612156,0.020763,0.001800,BASLANGIC
0.134877,0.062019,0.992499,0.984875,0.596541,0.972765,0.977729,0.029043,0.989567,0.118039,0.082865,0.498252,0.657436,0.420834,BASLANGIC
0.215528,0.726921,0.263435,0.070006,0.522283,0.017214,0.043728,0.958301,0.127952,0.951064,0.961589,0.611684,0.026200,0.002341,BASLANGIC
0.104429,0.050318,0.993628,0.989317,0.552780,0.980725,0.983339,0.022442,0.992004,0.107804,0.090454,0.496796,0.564783,0.278328,BASLANGIC
0.187760,0.748616,0.240657,0.021966,0.877929,0.004519,0.046264,0.946118,0.121177,0.936146,0.907778,0.696400,0.043774,0.001387,BASLANGIC
0.107958,0.051575,0.993567,0.988188,0.582839,0.978699,0.982686,0.022868,0.991135,0.110377,0.086424,0.497586,0.705308,0.540536,BASLANGIC
0.220774,0.847899,0.164512,0.009324,0.866665,0.001833,0.037075,0.960460,0.099815,0.930136,0.928024,0.666354,0.033068,0.000076,BASLANGIC
0.157894,0.078135,0.989895,0.975555,0.715557,0.956169,0.970838,0.036554,0.986425,0.132103,0.106392,0.547904,0.610762,0.392348,BASLANGIC
0.148215,0.668814,0.272525,0.022678,0.935611,0.004610,0.000000,1.000000,0.000000,0.825727,0.888359,0.723462,0.048200,0.001980,BASLANGIC
0.551276,0.259012,0.967556,0.794279,0.880638,0.661444,0.891906,0.114308,0.953793,0.229634,0.282637,0.841356,0.281697,0.066121,BASLANGIC
0.144956,0.648725,0.301408,0.069275,0.742908,0.016986,0.035293,0.965344,0.108902,0.924080,0.940564,0.646694,0.034401,0.002531,BASLANGIC
0.082004,0.037906,0.995500,0.993431,0.415518,0.988126,0.989096,0.015174,0.994068,0.095717,0.094275,0.496013,0.540949,0.263512,BASLANGIC
0.111842,0.505825,0.451754,0.206678,0.950251,0.073399,0.041967,0.947420,0.119048,0.918929,0.876776,0.738865,0.061494,0.003600,BASLANGIC
0.268198,0.129586,0.983275,0.948170,0.776113,0.908220,0.948128,0.060762,0.976390,0.171300,0.158209,0.715884,0.555129,0.316893,BASLANGIC
0.224838,0.880904,0.122395,0.014755,0.757020,0.003014,0.041895,0.957444,0.118486,0.949338,0.946045,0.637827,0.038505,0.002488,BASLANGIC
0.104350,0.048856,0.994108,0.990293,0.502531,0.982479,0.984122,0.021554,0.991958,0.106724,0.061960,0.407820,0.660623,0.368982,BASLANGIC
0.162475,0.675372,0.280404,0.049026,0.890054,0.011104,0.038586,0.962426,0.122347,0.940625,0.956524,0.620370,0.027511,0.001133,BASLANGIC
0.259371,0.123107,0.984642,0.938916,0.819188,0.892292,0.948898,0.059335,0.978350,0.161492,0.155466,0.632250,0.410306,0.143407,BASLANGIC
0.182502,0.827010,0.127287,0.004648,0.845922,0.000924,0.029844,0.973300,0.081869,0.933133,0.947600,0.635278,0.029215,0.001672,BASLANGIC
0.241423,0.111366,0.986979,0.950623,0.792311,0.912465,0.954938,0.053278,0.980709,0.153298,0.157485,0.631699,0.419622,0.155047,BASLANGIC
0.183268,0.783215,0.176940,0.033875,0.727400,0.007347,0.050307,0.942728,0.142657,0.975387,0.943993,0.641167,0.032713,0.000828,BASLANGIC
0.168115,0.081073,0.989410,0.973864,0.718300,0.953172,0.969539,0.038127,0.985641,0.136914,0.132519,0.591752,0.524134,0.290834,BASLANGIC
0.190391,0.817019,0.146938,0.009456,0.837456,0.001926,0.039399,0.957405,0.104257,0.932959,0.893880,0.715931,0.047989,0.001911,BASLANGIC
0.099400,0.045488,0.994544,0.990517,0.521700,0.982881,0.985693,0.019115,0.992500,0.102990,0.097219,0.495386,0.537359,0.267591,BASLANGIC
0.083325,0.040450,0.994945,0.992333,0.481389,0.986148,0.987525,0.016931,0.993323,0.099167,0.072073,0.405985,0.546123,0.248669,BASLANGIC
0.197023,0.794321,0.191145,0.059476,0.742836,0.014018,0.038238,0.943176,0.180842,0.952614,0.878300,0.736869,0.060855,0.006334,BASLANGIC
0.405403,0.199847,0.973870,0.858278,0.875482,0.759396,0.914947,0.092694,0.963743,0.205350,0.214222,0.776663,0.357350,0.109301,BASLANGIC
0.249950,0.894765,0.132961,0.009329,0.803134,0.001868,0.045214,0.950572,0.121988,0.954503,0.894011,0.715751,0.061208,0.003715,BASLANGIC
0.147404,0.067367,0.992221,0.981099,0.662049,0.966023,0.976689,0.029671,0.988920,0.120064,0.110959,0.572302,0.616117,0.391885,BASLANGIC
0.244424,0.883852,0.136406,0.037464,0.628242,0.008380,0.040218,0.957858,0.110934,0.951228,0.930896,0.661926,0.045977,0.001985,BASLANGIC
0.215666,0.096941,0.989153,0.962250,0.757968,0.932721,0.963840,0.044198,0.983897,0.141232,0.148258,0.634154,0.445712,0.172813,BASLANGIC
0.173095,0.682308,0.315292,0.188576,0.838310,0.064142,0.048911,0.919007,0.246908,0.954555,0.936596,0.653008,0.019213,0.001773,BASLANGIC
0.086612,0.039907,0.994851,0.992829,0.435879,0.987042,0.988572,0.015560,0.993363,0.100316,0.070485,0.406292,0.577856,0.284502,BASLANGIC
0.147640,0.664404,0.297185,0.099122,0.891016,0.026499,0.041030,0.946280,0.174943,0.952326,0.945723,0.638352,0.029790,0.001256,BASLANGIC
0.142269,0.064340,0.992278,0.982099,0.645314,0.967807,0.976297,0.030347,0.988829,0.121115,0.092148,0.496453,0.576605,0.303739,BASLANGIC
0.192252,0.825487,0.147736,0.014481,0.836872,0.002950,0.039209,0.959731,0.106302,0.947683,0.943691,0.641657,0.043018,0.004850,BASLANGIC
0.086263,0.042170,0.994346,0.991663,0.501202,0.984942,0.986608,0.018131,0.992840,0.103595,0.060396,0.408078,0.891407,0.923565,BASLANGIC
0.117481,0.598947,0.323044,0.091535,0.718470,0.024151,0.049588,0.947021,0.138058,0.956329,0.937846,0.651030,0.043037,0.002090,BASLANGIC
0.515594,0.237214,0.971624,0.865539,0.832329,0.770932,0.906922,0.099773,0.959000,0.216549,0.214556,0.794652,0.379115,0.129282,BASLANGIC
0.185450,0.770384,0.208841,0.031267,0.859879,0.006644,0.027089,0.970401,0.123039,0.936058,0.928300,0.665930,0.038097,0.001482,BASLANGIC
0.282872,0.134541,0.982024,0.930448,0.824740,0.877840,0.944546,0.063240,0.975567,0.170891,0.121940,0.569835,0.460628,0.180157,BASLANGIC
0.250194,0.801948,0.211366,0.024469,0.863765,0.005094,0.033366,0.965990,0.094654,0.924934,0.901509,0.705314,0.049788,0.001644,BASLANGIC
0.290313,0.140268,0.981556,0.937601,0.799121,0.890041,0.945184,0.063236,0.975365,0.172475,0.157693,0.631642,0.431566,0.181051,BASLANGIC
0.194168,0.819476,0.162352,0.033662,0.822528,0.007253,0.045274,0.955556,0.131539,0.955403,0.962733,0.609698,0.029234,0.001428,BASLANGIC
0.132164,0.059461,0.993377,0.985851,0.591871,0.974512,0.980206,0.026101,0.990475,0.114243,0.080981,0.469223,0.737698,0.604094,BASLANGIC
0.177767,0.688755,0.294104,0.084432,0.808300,0.021584,0.028991,0.952221,0.161884,0.924102,0.865506,0.753361,0.067842,0.004999,BASLANGIC
0.371185,0.177633,0.977180,0.884371,0.861463,0.801241,0.928868,0.078627,0.968531,0.191466,0.213408,0.794993,0.381606,0.132635,BASLANGIC
0.067847,0.398020,0.526460,0.239658,0.929402,0.091494,0.041880,0.923672,0.231210,0.911593,0.879261,0.735605,0.047947,0.003604,BASLANGIC
0.163384,0.073447,0.991466,0.978922,0.663266,0.962147,0.973954,0.033443,0.987927,0.125677,0.102756,0.494153,0.496456,0.217629,BASLANGIC
0.138638,0.612348,0.345279,0.148034,0.895855,0.045472,0.028974,0.963397,0.150817,0.927655,0.940332,0.647066,0.033594,0.003247,BASLANGIC
0.171442,0.080874,0.989990,0.972366,0.730395,0.950523,0.969022,0.038153,0.985824,0.133957,0.095651,0.495722,0.530845,0.246073,BASLANGIC
0.233036,0.874665,0.152029,0.024997,0.881173,0.005170,0.036737,0.966322,0.105747,0.945915,0.934488,0.656327,0.033881,0.000481,BASLANGIC
0.171152,0.085151,0.988358,0.971845,0.731243,0.949602,0.965394,0.042530,0.984458,0.141364,0.138388,0.636607,0.483717,0.208597,BASLANGIC
0.184589,0.730186,0.253880,0.065232,0.666067,0.015792,0.020838,0.982752,0.058795,0.914413,0.921976,0.675540,0.036240,0.000867,BASLANGIC
0.187577,0.087290,0.989654,0.971643,0.712991,0.949244,0.967596,0.040052,0.985438,0.135091,0.124792,0.569155,0.469326,0.193663,BASLANGIC
0.159093,0.690770,0.274302,0.066790,0.901491,0.016113,0.037935,0.961896,0.108889,0.937608,0.947808,0.634936,0.038438,0.001931,BASLANGIC
0.384050,0.179490,0.978174,0.898767,0.837131,0.824803,0.928094,0.080579,0.969054,0.190937,0.222543,0.809969,0.395959,0.151964,BASLANGIC
0.103652,0.590266,0.310465,0.058600,0.924682,0.013755,0.043732,0.956616,0.126155,0.950579,0.970440,0.596086,0.012905,0.000953,BASLANGIC
0.305792,0.146826,0.980810,0.924070,0.827223,0.867032,0.937762,0.071190,0.973477,0.178747,0.148181,0.634174,0.496676,0.255551,BASLANGIC
0.162809,0.703781,0.259878,0.048715,0.867192,0.011071,0.034063,0.967755,0.096640,0.928282,0.928947,0.664936,0.046300,0.002874,BASLANGIC
0.104122,0.050072,0.993654,0.988787,0.577270,0.979774,0.982947,0.022586,0.991690,0.108513,0.059810,0.472710,0.985823,0.988883,BASLANGIC
0.166704,0.746876,0.201000,0.021704,0.907128,0.004476,0.042944,0.958199,0.115422,0.950357,0.979846,0.578887,0.007856,0.000651,BASLANGIC
0.128401,0.064090,0.991458,0.982994,0.661349,0.969405,0.976559,0.029700,0.988398,0.123986,0.101724,0.548880,0.639980,0.422738,BASLANGIC
0.250264,0.889162,0.138210,0.014613,0.817562,0.002885,0.010643,0.990328,0.064734,0.902101,0.903911,0.701920,0.043243,0.001762,BASLANGIC
0.318636,0.148710,0.981731,0.919960,0.829681,0.860101,0.940448,0.067907,0.974274,0.174855,0.176560,0.711141,0.447125,0.198470,BASLANGIC
0.260454,0.915635,0.135904,0.008310,0.833449,0.001672,0.042457,0.950161,0.111261,0.939927,0.884971,0.728023,0.066946,0.004984,BASLANGIC
0.109700,0.050879,0.993949,0.988258,0.576213,0.978824,0.982817,0.022649,0.991272,0.110290,0.071425,0.470930,0.777531,0.630995,BASLANGIC
0.104285,0.549841,0.353115,0.040891,0.942325,0.008994,0.046962,0.954537,0.131846,0.949685,0.981646,0.575516,0.008459,0.001515,BASLANGIC
0.083987,0.039601,0.995063,0.992984,0.424530,0.987321,0.988048,0.016370,0.993552,0.099431,0.090838,0.496719,0.560200,0.274787,BASLANGIC
0.135833,0.634239,0.313426,0.113944,0.917094,0.031861,0.020363,0.978396,0.096849,0.912323,0.928328,0.665888,0.036163,0.001820,BASLANGIC
0.323507,0.146888,0.983316,0.916916,0.835150,0.854986,0.941982,0.066297,0.975273,0.170635,0.189072,0.765477,0.458797,0.212085,BASLANGIC
0.184703,0.691902,0.305184,0.079423,0.920898,0.019929,0.013542,0.968684,0.092165,0.867837,0.775276,0.854780,0.113362,0.015649,BASLANGIC
0.671713,0.316187,0.960672,0.708085,0.893300,0.540049,0.871272,0.132239,0.944536,0.248604,0.329020,0.965632,0.287263,0.074634,BASLANGIC
0.234610,0.909550,0.102888,0.010991,0.817883,0.002149,0.027302,0.975872,0.083098,0.931202,0.944377,0.640543,0.024824,0.000995,BASLANGIC
0.206256,0.091230,0.990210,0.966278,0.740923,0.939789,0.966818,0.040648,0.985249,0.134533,0.123995,0.569346,0.470631,0.195770,BASLANGIC
0.133922,0.611901,0.331557,0.082540,0.932358,0.021012,0.033653,0.962547,0.117199,0.941196,0.913726,0.687777,0.037772,0.000583,BASLANGIC
0.102841,0.052197,0.992961,0.988151,0.591444,0.978633,0.982164,0.023546,0.990710,0.114317,0.079588,0.526561,0.817887,0.686485,BASLANGIC
0.249002,0.720933,0.308807,0.066649,0.842633,0.016078,0.030323,0.963191,0.142860,0.934149,0.896488,0.712330,0.046868,0.002424,BASLANGIC
0.121753,0.059980,0.991904,0.986540,0.578468,0.975745,0.979683,0.027109,0.989750,0.121481,0.087607,0.551555,0.781205,0.617487,BASLANGIC
0.150816,0.620522,0.354111,0.174401,0.868283,0.057315,0.048201,0.921765,0.234842,0.947734,0.911755,0.690654,0.036706,0.001928,BASLANGIC
0.159144,0.073072,0.991726,0.977926,0.689940,0.960378,0.973696,0.033016,0.987875,0.124735,0.118447,0.570646,0.506553,0.227811,BASLANGIC
0.212505,0.734892,0.286361,0.070359,0.878030,0.017139,0.017891,0.981108,0.098495,0.906775,0.914246,0.687016,0.040126,0.002016,BASLANGIC
0.324617,0.150122,0.981917,0.923335,0.818937,0.865790,0.942117,0.065673,0.974502,0.173338,0.152725,0.655053,0.465772,0.206349,BASLANGIC
0.088528,0.039997,0.995535,0.992712,0.443920,0.986830,0.987917,0.016553,0.993624,0.097200,0.093694,0.496134,0.531036,0.243972,BASLANGIC
0.181818,0.789850,0.173781,0.016513,0.882898,0.003310,0.023495,0.977007,0.089448,0.921952,0.950149,0.631070,0.028408,0.001377,BASLANGIC
0.170387,0.074773,0.992038,0.976879,0.685200,0.958517,0.973956,0.032772,0.988019,0.123071,0.102106,0.494302,0.474829,0.190188,BASLANGIC
0.125717,0.622367,0.311367,0.075623,0.744178,0.018945,0.030820,0.969836,0.100867,0.918810,0.928600,0.665470,0.040824,0.001664,BASLANGIC
0.320851,0.143067,0.984264,0.930513,0.804387,0.877950,0.943513,0.065249,0.976279,0.167316,0.176651,0.690841,0.401159,0.142318,BASLANGIC
0.160581,0.679253,0.296952,0.109197,0.835955,0.030128,0.041051,0.955798,0.148563,0.952169,0.944384,0.640532,0.031185,0.002240,BASLANGIC
0.137645,0.064490,0.992013,0.982727,0.645116,0.968929,0.976428,0.030315,0.989025,0.120307,0.098017,0.549622,0.650293,0.423667,BASLANGIC
0.178481,0.743383,0.222420,0.042610,0.893840,0.009430,0.034986,0.968663,0.110614,0.949468,0.968295,0.599916,0.020613,0.000793,BASLANGIC
0.207931,0.100017,0.987445,0.960083,0.773860,0.928929,0.959706,0.048685,0.982387,0.147860,0.107737,0.572980,0.613668,0.380258,BASLANGIC
0.066567,0.031745,0.995957,0.995285,0.282254,0.991471,0.992112,0.010831,0.995251,0.090462,0.053722,0.409105,0.939184,0.962350,BASLANGIC
0.143542,0.621392,0.322853,0.054550,0.937481,0.012603,0.022659,0.978291,0.062500,0.891640,0.924490,0.671744,0.040357,0.000744,BASLANGIC
0.269304,0.126534,0.983791,0.938392,0.812697,0.891395,0.947744,0.060514,0.977187,0.166121,0.130927,0.567634,0.447683,0.179899,BASLANGIC
0.158503,0.566199,0.394653,0.167637,0.917741,0.054164,0.030838,0.953993,0.170847,0.928003,0.929676,0.663812,0.029772,0.003203,BASLANGIC
0.086863,0.040673,0.995223,0.992762,0.444790,0.986921,0.988179,0.016281,0.993761,0.097152,0.065343,0.407238,0.630033,0.342728,BASLANGIC
0.113516,0.623486,0.278064,0.035181,0.856332,0.007687,0.037646,0.959656,0.103591,0.933151,0.881111,0.733162,0.063797,0.003225,BASLANGIC
0.232924,0.114171,0.985376,0.948797,0.804004,0.909305,0.954812,0.053401,0.979866,0.156767,0.102273,0.548767,0.613602,0.380040,BASLANGIC
0.114221,0.597080,0.321223,0.036473,0.945337,0.008028,0.023627,0.962469,0.047043,0.874507,0.771943,0.858097,0.108955,0.010636,BASLANGIC
0.601973,0.280214,0.965376,0.779743,0.877271,0.640129,0.887578,0.117103,0.951324,0.233650,0.270198,0.894835,0.325204,0.092078,BASLANGIC
0.104203,0.555550,0.357804,0.058696,0.826931,0.013933,0.030066,0.970069,0.083026,0.921349,0.913840,0.687611,0.047425,0.001365,BASLANGIC
0.121241,0.056439,0.993018,0.987247,0.569938,0.977012,0.980988,0.025285,0.990586,0.114349,0.076276,0.470091,0.753543,0.613087,BASLANGIC
0.091276,0.517083,0.376475,0.064532,0.917349,0.015434,0.022598,0.979978,0.068431,0.898421,0.977641,0.582978,0.024064,0.002124,BASLANGIC
0.791204,0.375606,0.952740,0.660810,0.888991,0.478593,0.841151,0.159131,0.933182,0.271253,0.352616,1.000000,0.292554,0.078790,BASLANGIC
0.180644,0.744020,0.232212,0.035150,0.823604,0.007622,0.026763,0.975924,0.090604,0.928234,0.936977,0.652406,0.031684,0.000852,BASLANGIC
0.236906,0.113595,0.985740,0.949801,0.797306,0.911041,0.954681,0.053481,0.979970,0.156211,0.125969,0.568869,0.473659,0.200824,BASLANGIC
0.197395,0.777968,0.214359,0.064855,0.856809,0.015562,0.044350,0.957192,0.133805,0.951975,0.971074,0.594947,0.021267,0.001384,BASLANGIC
0.189863,0.096777,0.986876,0.961939,0.782908,0.932175,0.963199,0.044116,0.982557,0.147184,0.097981,0.495221,0.494630,0.206740,BASLANGIC
0.195079,0.773013,0.209923,0.028142,0.867687,0.005931,0.029221,0.970991,0.087952,0.922978,0.881434,0.732734,0.073435,0.005402,BASLANGIC
0.518982,0.242628,0.969362,0.807523,0.880773,0.681169,0.901907,0.103883,0.957007,0.221243,0.261639,0.865387,0.323708,0.092922,BASLANGIC
0.193048,0.767907,0.222854,0.054169,0.923010,0.012470,0.018508,0.977028,0.090088,0.897927,0.848256,0.774675,0.078690,0.008074,BASLANGIC
0.514935,0.241498,0.970343,0.796043,0.888035,0.664056,0.899765,0.106687,0.957674,0.219621,0.251008,0.835494,0.345690,0.112923,BASLANGIC
0.115265,0.583074,0.341879,0.074006,0.819607,0.018317,0.042825,0.957292,0.127482,0.944781,0.968766,0.599078,0.022685,0.001116,BASLANGIC
0.123215,0.054888,0.993919,0.988549,0.521492,0.979348,0.982685,0.023407,0.991775,0.107929,0.095403,0.495775,0.519466,0.229778,BASLANGIC
0.135977,0.616083,0.324792,0.087626,0.720749,0.022715,0.034905,0.966979,0.104669,0.922476,0.957061,0.619457,0.026496,0.001836,BASLANGIC
0.124699,0.058732,0.992567,0.986836,0.561072,0.976275,0.980075,0.026316,0.990181,0.117137,0.091630,0.496558,0.572415,0.295838,BASLANGIC
0.124695,0.597810,0.343180,0.087784,0.785986,0.022763,0.038146,0.964919,0.113358,0.940872,0.942866,0.642991,0.038147,0.002103,BASLANGIC
0.103795,0.051371,0.992921,0.988168,0.581036,0.978663,0.981772,0.024171,0.990978,0.113260,0.091571,0.496570,0.626270,0.411937,BASLANGIC
0.198638,0.808141,0.184944,0.035109,0.890257,0.007554,0.034245,0.966518,0.102258,0.932958,0.928338,0.665872,0.046305,0.001630,BASLANGIC
0.326901,0.154089,0.980541,0.908760,0.846946,0.841355,0.936236,0.072096,0.972497,0.180709,0.172587,0.691972,0.473572,0.240216,BASLANGIC
0.135667,0.660539,0.264709,0.028407,0.908951,0.005930,0.012590,0.984158,0.072312,0.893696,0.895981,0.713033,0.058829,0.004132,BASLANGIC
0.530680,0.265888,0.963411,0.763900,0.897850,0.617280,0.888080,0.116560,0.951089,0.235263,0.253047,0.851670,0.350145,0.111326,BASLANGIC
0.151953,0.679708,0.271964,0.050119,0.899250,0.011416,0.041546,0.958010,0.118898,0.933019,0.927104,0.667764,0.047661,0.003208,BASLANGIC
0.094740,0.050129,0.993021,0.989074,0.579992,0.980289,0.983208,0.022586,0.991331,0.111445,0.043875,0.334031,0.796461,0.548349,BASLANGIC
0.249076,0.953297,0.067896,0.011187,0.722415,0.002288,0.054350,0.939865,0.146303,0.971433,0.930476,0.662576,0.036963,0.000765,BASLANGIC
0.230341,0.105692,0.987571,0.957380,0.769008,0.924209,0.959834,0.048616,0.982316,0.147705,0.146048,0.634719,0.502313,0.263032,BASLANGIC
0.217965,0.839521,0.159627,0.046301,0.617384,0.010591,0.037364,0.962384,0.113142,0.949176,0.951910,0.628140,0.030483,0.001911,BASLANGIC
0.158501,0.070676,0.992256,0.978590,0.682541,0.961559,0.974476,0.032204,0.988313,0.122024,0.121575,0.617785,0.618585,0.396948,BASLANGIC
0.109477,0.512483,0.447498,0.362373,0.782388,0.174541,0.100289,0.840555,0.350532,0.906433,0.868888,0.710101,0.041911,0.003145,BASLANGIC
0.190463,0.093642,0.987769,0.964031,0.771805,0.935843,0.963583,0.044073,0.983439,0.143893,0.144123,0.635203,0.468151,0.207384,BASLANGIC
0.219128,0.828445,0.173936,0.018476,0.833851,0.003739,0.029386,0.972762,0.082699,0.925657,0.906785,0.697824,0.060911,0.004423,BASLANGIC
0.135847,0.061850,0.992992,0.983874,0.631328,0.970975,0.978772,0.027574,0.989959,0.115083,0.092580,0.496364,0.554658,0.275739,BASLANGIC
0.099294,0.570688,0.324270,0.083283,0.754192,0.021366,0.046682,0.941777,0.159212,0.964108,0.961431,0.611957,0.017985,0.000979,BASLANGIC
0.257827,0.120579,0.985573,0.943688,0.805691,0.900488,0.952623,0.055717,0.979409,0.157800,0.122993,0.569586,0.482157,0.206034,BASLANGIC
0.162563,0.645026,0.339093,0.092655,0.927690,0.024271,0.016798,0.977266,0.068333,0.877728,0.842730,0.781291,0.083345,0.008464,BASLANGIC
0.531764,0.265122,0.964310,0.768992,0.895880,0.624579,0.888198,0.116854,0.952029,0.233020,0.334663,0.992556,0.301292,0.084288,BASLANGIC
0.174313,0.791158,0.157904,0.019605,0.860590,0.003978,0.032446,0.973063,0.091015,0.944356,0.991847,0.555915,0.005832,0.001783,BASLANGIC
0.149465,0.066355,0.992644,0.981135,0.659405,0.966088,0.976037,0.030673,0.988835,0.120925,0.112970,0.571868,0.604340,0.379523,BASLANGIC
0.106628,0.508378,0.429497,0.150042,0.884124,0.046343,0.016778,0.967339,0.131682,0.887771,0.905505,0.699653,0.053391,0.003612,BASLANGIC
0.253185,0.121257,0.984561,0.942727,0.811168,0.898835,0.952237,0.055978,0.978827,0.160487,0.146689,0.677872,0.548655,0.308060,BASLANGIC
0.192871,0.774047,0.225938,0.068230,0.890990,0.016527,0.051537,0.945819,0.141730,0.967257,0.962243,0.610549,0.021882,0.000889,BASLANGIC
0.110063,0.051723,0.993548,0.987692,0.586940,0.977810,0.981903,0.023661,0.991063,0.110381,0.096863,0.495463,0.528574,0.245491,BASLANGIC
