@RELATION SINGLE_LH_HOMOGENEITY

@ATTRIBUTE LH_homogeneity NUMERIC
@ATTRIBUTE class {BASLANGIC,NORMAL,TUMORLU}

@DATA
0.980294,BASLANGIC
0.257587,BASLANGIC
0.983874,BASLANGIC
0.237755,BASLANGIC
0.977594,BASLANGIC
0.401435,BASLANGIC
0.961789,BASLANGIC
0.547863,BASLANGIC
0.946650,BASLANGIC
0.575312,BASLANGIC
0.980221,BASLANGIC
0.076917,BASLANGIC
0.986369,BASLANGIC
0.261129,BASLANGIC
0.971101,BASLANGIC
0.151175,BASLANGIC
0.968694,BASLANGIC
0.173321,BASLANGIC
0.984913,BASLANGIC
0.338947,BASLANGIC
0.984592,BASLANGIC
0.257869,BASLANGIC
0.978100,BASLANGIC
0.267289,BASLANGIC
0.985702,BASLANGIC
0.278045,BASLANGIC
0.984377,BASLANGIC
0.533683,BASLANGIC
0.992482,BASLANGIC
0.321165,BASLANGIC
0.977311,BASLANGIC
0.418054,BASLANGIC
0.972630,BASLANGIC
0.143808,NORMAL
1.000000,NORMAL
0.223764,NORMAL
1.000000,NORMAL
0.148141,NORMAL
1.000000,NORMAL
0.140784,NORMAL
1.000000,NORMAL
0.071880,NORMAL
1.000000,NORMAL
0.085045,NORMAL
1.000000,NORMAL
0.330265,NORMAL
1.000000,NORMAL
0.457754,NORMAL
1.000000,NORMAL
0.436455,NORMAL
1.000000,NORMAL
0.165171,NORMAL
1.000000,NORMAL
0.244278,NORMAL
1.000000,NORMAL
0.035588,NORMAL
1.000000,NORMAL
0.027445,NORMAL
1.000000,NORMAL
0.306070,NORMAL
1.000000,NORMAL
0.239771,NORMAL
1.000000,NORMAL
0.398080,NORMAL
1.000000,NORMAL
0.314272,NORMAL
1.000000,NORMAL
0.315032,NORMAL
1.000000,NORMAL
0.062807,NORMAL
1.000000,NORMAL
0.322165,NORMAL
1.000000,NORMAL
0.217607,NORMAL
1.000000,NORMAL
0.096253,NORMAL
1.000000,NORMAL
0.210249,NORMAL
1.000000,NORMAL
0.203398,NORMAL
1.000000,NORMAL
0.236113,NORMAL
1.000000,NORMAL
0.256646,NORMAL
1.000000,NORMAL
0.299967,NORMAL
1.000000,NORMAL
0.345362,NORMAL
1.000000,NORMAL
0.377106,NORMAL
1.000000,NORMAL
0.555889,NORMAL
1.000000,NORMAL
0.197884,NORMAL
1.000000,NORMAL
0.218193,NORMAL
1.000000,NORMAL
0.278817,NORMAL
1.000000,NORMAL
0.326999,NORMAL
1.000000,NORMAL
0.137027,NORMAL
1.000000,NORMAL
0.375718,NORMAL
1.000000,NORMAL
0.381901,NORMAL
1.000000,NORMAL
0.390357,NORMAL
1.000000,NORMAL
0.318567,NORMAL
1.000000,NORMAL
0.274653,NORMAL
1.000000,NORMAL
0.137076,NORMAL
1.000000,NORMAL
0.365989,NORMAL
1.000000,NORMAL
0.273811,NORMAL
1.000000,NORMAL
0.107585,NORMAL
1.000000,NORMAL
0.394722,NORMAL
1.000000,NORMAL
0.343618,NORMAL
1.000000,NORMAL
0.191698,NORMAL
1.000000,NORMAL
0.044929,NORMAL
1.000000,NORMAL
0.348448,NORMAL
1.000000,NORMAL
0.224715,NORMAL
1.000000,NORMAL
0.252428,NORMAL
1.000000,NORMAL
0.414477,NORMAL
1.000000,NORMAL
0.214521,NORMAL
1.000000,NORMAL
0.272200,NORMAL
1.000000,NORMAL
0.171878,NORMAL
1.000000,NORMAL
0.380748,NORMAL
1.000000,NORMAL
0.332258,NORMAL
1.000000,NORMAL
0.411162,NORMAL
1.000000,NORMAL
0.294492,NORMAL
1.000000,NORMAL
0.382273,NORMAL
1.000000,NORMAL
0.093294,NORMAL
1.000000,NORMAL
0.300626,NORMAL
1.000000,NORMAL
0.215348,NORMAL
1.000000,NORMAL
0.246091,NORMAL
1.000000,NORMAL
0.147494,NORMAL
1.000000,NORMAL
0.378801,NORMAL
1.000000,NORMAL
0.378095,NORMAL
1.000000,NORMAL
0.293065,NORMAL
1.000000,NORMAL
0.310282,NORMAL
1.000000,NORMAL
0.274362,NORMAL
1.000000,NORMAL
0.256773,NORMAL
1.000000,NORMAL
0.306117,NORMAL
1.000000,NORMAL
0.270783,NORMAL
1.000000,NORMAL
0.045265,NORMAL
1.000000,NORMAL
0.106623,NORMAL
1.000000,NORMAL
0.140310,NORMAL
1.000000,NORMAL
0.416168,NORMAL
1.000000,NORMAL
0.343356,NORMAL
1.000000,NORMAL
0.232912,NORMAL
1.000000,NORMAL
0.090228,NORMAL
1.000000,NORMAL
0.235365,NORMAL
1.000000,NORMAL
0.028457,NORMAL
1.000000,NORMAL
0.074575,NORMAL
1.000000,NORMAL
0.153030,NORMAL
1.000000,NORMAL
0.153390,NORMAL
1.000000,NORMAL
0.267263,NORMAL
1.000000,NORMAL
0.303670,NORMAL
1.000000,NORMAL
0.120868,NORMAL
1.000000,NORMAL
0.316635,NORMAL
1.000000,NORMAL
0.423965,NORMAL
1.000000,NORMAL
0.346987,NORMAL
1.000000,NORMAL
0.178871,NORMAL
1.000000,NORMAL
0.211527,NORMAL
1.000000,NORMAL
0.037175,NORMAL
1.000000,NORMAL
0.000000,NORMAL
1.000000,NORMAL
0.290995,NORMAL
1.000000,NORMAL
0.313777,NORMAL
1.000000,NORMAL
0.246475,NORMAL
1.000000,NORMAL
0.182187,NORMAL
1.000000,NORMAL
0.253032,NORMAL
1.000000,NORMAL
0.190029,NORMAL
1.000000,NORMAL
0.215602,NORMAL
1.000000,NORMAL
0.209923,NORMAL
1.000000,NORMAL
0.247314,NORMAL
1.000000,NORMAL
0.214809,NORMAL
1.000000,NORMAL
0.176504,NORMAL
1.000000,NORMAL
0.149977,NORMAL
1.000000,NORMAL
0.305575,NORMAL
1.000000,NORMAL
0.222009,NORMAL
1.000000,NORMAL
0.244113,NORMAL
1.000000,NORMAL
0.111118,NORMAL
1.000000,NORMAL
0.414396,NORMAL
1.000000,NORMAL
0.162995,NORMAL
1.000000,NORMAL
0.376407,NORMAL
1.000000,NORMAL
0.220338,NORMAL
1.000000,NORMAL
0.059884,NORMAL
1.000000,NORMAL
0.278293,NORMAL
1.000000,NORMAL
0.375007,NORMAL
1.000000,NORMAL
0.180439,NORMAL
1.000000,NORMAL
0.300659,NORMAL
1.000000,NORMAL
0.132676,NORMAL
1.000000,NORMAL
0.336781,NORMAL
1.000000,NORMAL
0.175644,NORMAL
1.000000,NORMAL
0.188224,NORMAL
1.000000,NORMAL
0.243714,NORMAL
1.000000,NORMAL
0.259302,NORMAL
1.000000,NORMAL
0.909166,TUMORLU
0.183112,TUMORLU
0.905803,TUMORLU
0.378884,TUMORLU
0.964067,TUMORLU
0.389604,TUMORLU
0.955430,TUMORLU
0.358060,TUMORLU
0.960933,TUMORLU
0.352908,TUMORLU
0.962361,TUMORLU
0.325115,TUMORLU
0.967132,TUMORLU
0.306857,TUMORLU
0.959113,TUMORLU
0.367474,TUMORLU
0.964373,TUMORLU
0.118703,TUMORLU
0.980053,TUMORLU
0.183676,TUMORLU
0.954613,TUMORLU
0.080273,TUMORLU
0.974604,TUMORLU
0.133086,TUMORLU
0.949285,TUMORLU
0.447277,TUMORLU
0.932471,TUMORLU
0.355901,TUMORLU
0.919367,TUMORLU
0.275547,TUMORLU
0.907872,TUMORLU
0.394245,TUMORLU
0.965889,TUMORLU
0.418595,TUMORLU
0.953877,TUMORLU
0.233566,TUMORLU
0.931381,TUMORLU
0.276989,TUMORLU
0.942214,TUMORLU
0.370335,TUMORLU
0.934294,TUMORLU
0.450136,TUMORLU
0.932810,TUMORLU
0.380610,TUMORLU
0.904093,TUMORLU
0.293066,TUMORLU
0.918195,TUMORLU
0.375586,TUMORLU
0.905837,TUMORLU
0.308612,TUMORLU
0.970434,TUMORLU
0.310424,TUMORLU
0.972775,TUMORLU
0.271495,TUMORLU
0.975312,TUMORLU
0.352307,TUMORLU
0.931827,TUMORLU
0.419526,TUMORLU
0.918200,TUMORLU
0.403800,TUMORLU
0.892230,TUMORLU
0.369424,TUMORLU
0.926627,TUMORLU
0.257655,TUMORLU
0.906530,TUMORLU
0.121754,TUMORLU
0.966357,TUMORLU
0.251480,TUMORLU
0.939661,TUMORLU
0.572270,TUMORLU
0.953734,TUMORLU
0.555748,TUMORLU
0.938225,TUMORLU
0.157321,TUMORLU
0.974219,TUMORLU
0.344268,TUMORLU
0.942265,TUMORLU
0.250542,TUMORLU
0.942913,TUMORLU
0.252268,TUMORLU
0.950638,TUMORLU
0.304123,TUMORLU
0.946332,TUMORLU
0.358590,TUMORLU
0.918267,TUMORLU
0.261691,TUMORLU
0.976982,TUMORLU
0.178430,TUMORLU
0.931349,TUMORLU
0.101493,TUMORLU
0.962105,TUMORLU
0.259322,TUMORLU
0.920388,TUMORLU
0.394812,TUMORLU
0.971146,TUMORLU
0.318917,TUMORLU
0.952206,TUMORLU
0.468128,TUMORLU
0.950251,TUMORLU
0.319200,TUMORLU
0.953545,TUMORLU
0.178645,TUMORLU
0.922233,TUMORLU
0.225600,TUMORLU
0.992181,TUMORLU
0.953658,TUMORLU
0.210961,TUMORLU
0.965694,TUMORLU
0.189890,TUMORLU
0.967838,TUMORLU
0.309608,TUMORLU
0.940592,TUMORLU
0.341407,TUMORLU
0.950275,TUMORLU
0.263648,TUMORLU
0.941780,TUMORLU
0.226193,TUMORLU
0.928038,TUMORLU
0.256969,TUMORLU
0.927720,TUMORLU
0.255948,TUMORLU
0.970233,TUMORLU
0.089631,TUMORLU
0.932682,TUMORLU
0.359642,TUMORLU
0.931775,TUMORLU
0.357358,TUMORLU
0.946674,TUMORLU
0.449329,TUMORLU
0.971198,TUMORLU
0.377933,TUMORLU
0.956315,TUMORLU
0.274078,TUMORLU
0.970358,TUMORLU
0.169807,TUMORLU
0.928419,TUMORLU
0.350394,TUMORLU
0.950880,TUMORLU
0.449190,TUMORLU
0.966853,TUMORLU
0.213467,TUMORLU
0.911208,TUMORLU
0.283103,TUMORLU
0.919228,TUMORLU
0.174744,TUMORLU
0.969119,TUMORLU
0.134618,TUMORLU
0.964764,TUMORLU
0.342043,TUMORLU
0.929729,TUMORLU
0.354285,TUMORLU
0.937259,TUMORLU
0.186045,TUMORLU
0.960377,TUMORLU
0.214827,TUMORLU
0.958272,TUMORLU
0.337134,TUMORLU
0.941590,TUMORLU
0.118181,TUMORLU
0.950950,TUMORLU
0.181273,TUMORLU
0.963655,TUMORLU
0.471663,TUMORLU
0.936733,TUMORLU
0.321888,TUMORLU
0.966573,TUMORLU
0.247354,TUMORLU
0.949395,TUMORLU
0.467397,TUMORLU
0.932921,TUMORLU
0.411957,TUMORLU
0.924531,TUMORLU
0.402317,TUMORLU
0.952027,TUMORLU
0.221667,TUMORLU
0.968905,TUMORLU
0.286210,TUMORLU
0.910439,TUMORLU
0.161117,TUMORLU
0.953830,TUMORLU
0.465873,TUMORLU
0.934416,TUMORLU
0.178147,TUMORLU
0.956810,TUMORLU
0.287451,TUMORLU
0.952399,TUMORLU
0.154355,TUMORLU
0.936482,TUMORLU
0.419165,TUMORLU
0.937413,TUMORLU
0.280873,TUMORLU
0.933010,TUMORLU
0.341563,TUMORLU
0.932395,TUMORLU
0.267647,TUMORLU
0.967326,TUMORLU
0.222859,TUMORLU
0.960735,TUMORLU
0.248818,TUMORLU
0.955276,TUMORLU
0.237233,TUMORLU
0.930403,TUMORLU
0.227499,TUMORLU
0.940949,TUMORLU
0.277661,TUMORLU
0.937443,TUMORLU
0.151254,TUMORLU
0.921962,TUMORLU
0.196751,TUMORLU
0.978667,TUMORLU
0.207987,TUMORLU
0.953183,TUMORLU
0.224918,TUMORLU
0.940531,TUMORLU
0.159634,TUMORLU
0.938624,TUMORLU
0.121012,TUMORLU
0.957409,TUMORLU
0.257692,TUMORLU
0.973245,TUMORLU
0.363043,TUMORLU
0.927634,TUMORLU
0.191213,TUMORLU
0.979855,TUMORLU
0.202060,TUMORLU
0.957985,TUMORLU
0.390505,TUMORLU
0.930152,TUMORLU
0.317982,TUMORLU
0.939129,TUMORLU
0.325789,TUMORLU
0.964673,TUMORLU
0.242323,TUMORLU
0.953638,TUMORLU
0.312770,TUMORLU
0.958416,TUMORLU
0.356749,TUMORLU
0.948066,TUMORLU
0.318919,TUMORLU
0.936759,TUMORLU
0.247904,TUMORLU
0.985287,TUMORLU
0.299417,TUMORLU
0.935249,TUMORLU
0.475303,TUMORLU
0.926884,TUMORLU
0.573384,TUMORLU
0.942796,TUMORLU
0.214417,TUMORLU
0.972211,TUMORLU
0.383728,TUMORLU
0.959037,TUMORLU
