@RELATION SINGLE_LH_CONTRAST

@ATTRIBUTE LH_contrast NUMERIC
@ATTRIBUTE class {BASLANGIC,NORMAL,TUMORLU}

@DATA
0.440567,BASLANGIC
0.152913,BASLANGIC
0.025094,BASLANGIC
0.579884,BASLANGIC
0.054231,BASLANGIC
0.458917,BASLANGIC
0.077546,BASLANGIC
0.655930,BASLANGIC
0.039881,BASLANGIC
0.436877,BASLANGIC
0.061380,BASLANGIC
0.025614,BASLANGIC
0.232320,BASLANGIC
0.064837,BASLANGIC
0.116882,BASLANGIC
0.031714,BASLANGIC
0.699214,BASLANGIC
0.079828,BASLANGIC
0.414151,BASLANGIC
0.213786,BASLANGIC
0.413195,BASLANGIC
0.046504,BASLANGIC
0.338599,BASLANGIC
0.191029,BASLANGIC
0.474701,BASLANGIC
0.057845,BASLANGIC
0.398098,BASLANGIC
0.059560,BASLANGIC
0.332986,BASLANGIC
0.196758,BASLANGIC
0.386407,BASLANGIC
0.093045,BASLANGIC
0.369075,BASLANGIC
0.050517,BASLANGIC
0.292402,BASLANGIC
0.050510,BASLANGIC
0.477243,BASLANGIC
0.030377,BASLANGIC
0.597255,BASLANGIC
0.064153,BASLANGIC
0.394357,BASLANGIC
0.160513,BASLANGIC
0.382160,BASLANGIC
0.034715,BASLANGIC
0.816039,BASLANGIC
0.055397,BASLANGIC
0.430541,BASLANGIC
0.036569,BASLANGIC
0.457723,BASLANGIC
0.058484,BASLANGIC
0.432685,BASLANGIC
0.036978,BASLANGIC
0.259186,BASLANGIC
0.083488,BASLANGIC
0.311091,BASLANGIC
0.124835,BASLANGIC
0.402511,BASLANGIC
0.048160,BASLANGIC
0.285419,BASLANGIC
0.043364,BASLANGIC
0.448370,BASLANGIC
0.034152,BASLANGIC
0.043799,BASLANGIC
0.376567,BASLANGIC
0.123604,BASLANGIC
0.439531,BASLANGIC
0.133687,BASLANGIC
0.456079,BASLANGIC
0.037239,BASLANGIC
0.337112,BASLANGIC
0.054266,BASLANGIC
0.280237,BASLANGIC
0.100282,BASLANGIC
0.352562,BASLANGIC
0.040522,BASLANGIC
0.460521,BASLANGIC
0.022909,BASLANGIC
0.452482,BASLANGIC
0.027136,BASLANGIC
0.189657,BASLANGIC
0.070072,BASLANGIC
0.043910,BASLANGIC
0.493785,BASLANGIC
0.068952,BASLANGIC
0.035265,BASLANGIC
0.362143,BASLANGIC
0.063622,BASLANGIC
0.530400,BASLANGIC
0.047927,BASLANGIC
0.263416,BASLANGIC
0.101352,BASLANGIC
0.370513,BASLANGIC
0.113073,BASLANGIC
0.448794,BASLANGIC
0.077958,BASLANGIC
0.110458,BASLANGIC
0.490605,BASLANGIC
0.080455,BASLANGIC
0.433665,BASLANGIC
0.056074,BASLANGIC
0.076032,BASLANGIC
0.354046,BASLANGIC
0.038188,BASLANGIC
0.615779,BASLANGIC
0.102648,BASLANGIC
0.298084,BASLANGIC
0.112310,BASLANGIC
0.392947,BASLANGIC
0.034416,BASLANGIC
0.442926,BASLANGIC
0.055367,BASLANGIC
0.440853,BASLANGIC
0.050894,BASLANGIC
0.487068,BASLANGIC
0.027574,BASLANGIC
0.377968,BASLANGIC
0.054814,BASLANGIC
0.366334,BASLANGIC
0.093205,BASLANGIC
0.287225,BASLANGIC
0.129149,BASLANGIC
0.154886,BASLANGIC
0.082164,BASLANGIC
0.629192,BASLANGIC
0.047165,BASLANGIC
0.422016,BASLANGIC
0.100034,BASLANGIC
0.681293,BASLANGIC
0.081282,BASLANGIC
0.465462,BASLANGIC
0.056081,BASLANGIC
0.289589,BASLANGIC
0.048521,BASLANGIC
0.358675,BASLANGIC
0.048052,BASLANGIC
0.737994,BASLANGIC
0.035588,BASLANGIC
0.350094,BASLANGIC
0.045525,BASLANGIC
0.274834,BASLANGIC
0.028477,BASLANGIC
0.628082,BASLANGIC
0.069408,BASLANGIC
0.190405,BASLANGIC
0.043888,BASLANGIC
0.883894,NORMAL
0.000000,NORMAL
0.529848,NORMAL
0.000000,NORMAL
0.556795,NORMAL
0.000000,NORMAL
0.503891,NORMAL
0.000000,NORMAL
0.692849,NORMAL
0.000000,NORMAL
0.772197,NORMAL
0.000000,NORMAL
0.405140,NORMAL
0.000000,NORMAL
0.439307,NORMAL
0.000000,NORMAL
0.577940,NORMAL
0.000000,NORMAL
0.552733,NORMAL
0.000000,NORMAL
0.369656,NORMAL
0.000000,NORMAL
0.571746,NORMAL
0.000000,NORMAL
0.666346,NORMAL
0.000000,NORMAL
0.434549,NORMAL
0.000000,NORMAL
0.513094,NORMAL
0.000000,NORMAL
0.367941,NORMAL
0.000000,NORMAL
0.558192,NORMAL
0.000000,NORMAL
0.474616,NORMAL
0.000000,NORMAL
0.928502,NORMAL
0.000000,NORMAL
0.503822,NORMAL
0.000000,NORMAL
0.547569,NORMAL
0.000000,NORMAL
0.704042,NORMAL
0.000000,NORMAL
0.514937,NORMAL
0.000000,NORMAL
0.386805,NORMAL
0.000000,NORMAL
0.387953,NORMAL
0.000000,NORMAL
0.398550,NORMAL
0.000000,NORMAL
0.467617,NORMAL
0.000000,NORMAL
0.383239,NORMAL
0.000000,NORMAL
0.515034,NORMAL
0.000000,NORMAL
0.174590,NORMAL
0.000000,NORMAL
0.411463,NORMAL
0.000000,NORMAL
0.415809,NORMAL
0.000000,NORMAL
0.300212,NORMAL
0.000000,NORMAL
0.476534,NORMAL
0.000000,NORMAL
0.542076,NORMAL
0.000000,NORMAL
0.367521,NORMAL
0.000000,NORMAL
0.363615,NORMAL
0.000000,NORMAL
0.799685,NORMAL
0.000000,NORMAL
0.454152,NORMAL
0.000000,NORMAL
0.486704,NORMAL
0.000000,NORMAL
0.612775,NORMAL
0.000000,NORMAL
0.311692,NORMAL
0.000000,NORMAL
0.354064,NORMAL
0.000000,NORMAL
0.634474,NORMAL
0.000000,NORMAL
0.462863,NORMAL
0.000000,NORMAL
0.428107,NORMAL
0.000000,NORMAL
0.540363,NORMAL
0.000000,NORMAL
0.752783,NORMAL
0.000000,NORMAL
0.299157,NORMAL
0.000000,NORMAL
0.926647,NORMAL
0.000000,NORMAL
0.580440,NORMAL
0.000000,NORMAL
0.211451,NORMAL
0.000000,NORMAL
1.000000,NORMAL
0.000000,NORMAL
0.460755,NORMAL
0.000000,NORMAL
0.565245,NORMAL
0.000000,NORMAL
0.367695,NORMAL
0.000000,NORMAL
0.616415,NORMAL
0.000000,NORMAL
0.326094,NORMAL
0.000000,NORMAL
0.513622,NORMAL
0.000000,NORMAL
0.267669,NORMAL
0.000000,NORMAL
0.693065,NORMAL
0.000000,NORMAL
0.413835,NORMAL
0.000000,NORMAL
0.862282,NORMAL
0.000000,NORMAL
0.374578,NORMAL
0.000000,NORMAL
0.510770,NORMAL
0.000000,NORMAL
0.356081,NORMAL
0.000000,NORMAL
0.358964,NORMAL
0.000000,NORMAL
0.668771,NORMAL
0.000000,NORMAL
0.383671,NORMAL
0.000000,NORMAL
0.576836,NORMAL
0.000000,NORMAL
0.399261,NORMAL
0.000000,NORMAL
0.372689,NORMAL
0.000000,NORMAL
0.475254,NORMAL
0.000000,NORMAL
0.830921,NORMAL
0.000000,NORMAL
0.766961,NORMAL
0.000000,NORMAL
0.708602,NORMAL
0.000000,NORMAL
0.634014,NORMAL
0.000000,NORMAL
0.257276,NORMAL
0.000000,NORMAL
0.550678,NORMAL
0.000000,NORMAL
0.658643,NORMAL
0.000000,NORMAL
0.455586,NORMAL
0.000000,NORMAL
0.635067,NORMAL
0.000000,NORMAL
0.682843,NORMAL
0.000000,NORMAL
0.604118,NORMAL
0.000000,NORMAL
0.749551,NORMAL
0.000000,NORMAL
0.548889,NORMAL
0.000000,NORMAL
0.474934,NORMAL
0.000000,NORMAL
0.782088,NORMAL
0.000000,NORMAL
0.388545,NORMAL
0.000000,NORMAL
0.301559,NORMAL
0.000000,NORMAL
0.428590,NORMAL
0.000000,NORMAL
0.366280,NORMAL
0.000000,NORMAL
0.393318,NORMAL
0.000000,NORMAL
0.717626,NORMAL
0.000000,NORMAL
0.973897,NORMAL
0.000000,NORMAL
0.443764,NORMAL
0.000000,NORMAL
0.419320,NORMAL
0.000000,NORMAL
0.566747,NORMAL
0.000000,NORMAL
0.591257,NORMAL
0.000000,NORMAL
0.446146,NORMAL
0.000000,NORMAL
0.770333,NORMAL
0.000000,NORMAL
0.458663,NORMAL
0.000000,NORMAL
0.555993,NORMAL
0.000000,NORMAL
0.548751,NORMAL
0.000000,NORMAL
0.665586,NORMAL
0.000000,NORMAL
0.590029,NORMAL
0.000000,NORMAL
0.678783,NORMAL
0.000000,NORMAL
0.406630,NORMAL
0.000000,NORMAL
0.563132,NORMAL
0.000000,NORMAL
0.377164,NORMAL
0.000000,NORMAL
0.625969,NORMAL
0.000000,NORMAL
0.802733,NORMAL
0.000000,NORMAL
0.518208,NORMAL
0.000000,NORMAL
0.529043,NORMAL
0.000000,NORMAL
0.422097,NORMAL
0.000000,NORMAL
0.735705,NORMAL
0.000000,NORMAL
0.454471,NORMAL
0.000000,NORMAL
0.371636,NORMAL
0.000000,NORMAL
0.492157,NORMAL
0.000000,NORMAL
0.409067,NORMAL
0.000000,NORMAL
0.582802,NORMAL
0.000000,NORMAL
0.400883,NORMAL
0.000000,NORMAL
0.490117,NORMAL
0.000000,NORMAL
0.494067,NORMAL
0.000000,NORMAL
0.623929,NORMAL
0.000000,NORMAL
0.393421,NORMAL
0.000000,NORMAL
0.256333,TUMORLU
0.334399,TUMORLU
0.202904,TUMORLU
0.351406,TUMORLU
0.089054,TUMORLU
0.421719,TUMORLU
0.141878,TUMORLU
0.471689,TUMORLU
0.120602,TUMORLU
0.522695,TUMORLU
0.088664,TUMORLU
0.516423,TUMORLU
0.078085,TUMORLU
0.407598,TUMORLU
0.082758,TUMORLU
0.447999,TUMORLU
0.078230,TUMORLU
0.904604,TUMORLU
0.047870,TUMORLU
0.582205,TUMORLU
0.100951,TUMORLU
0.842880,TUMORLU
0.065081,TUMORLU
0.652725,TUMORLU
0.163728,TUMORLU
0.216116,TUMORLU
0.203289,TUMORLU
0.235748,TUMORLU
0.196595,TUMORLU
0.321533,TUMORLU
0.218846,TUMORLU
0.244132,TUMORLU
0.119612,TUMORLU
0.265055,TUMORLU
0.122253,TUMORLU
0.431125,TUMORLU
0.155368,TUMORLU
0.394351,TUMORLU
0.137212,TUMORLU
0.377479,TUMORLU
0.134752,TUMORLU
0.233623,TUMORLU
0.147586,TUMORLU
0.345204,TUMORLU
0.218607,TUMORLU
0.514015,TUMORLU
0.162483,TUMORLU
0.384885,TUMORLU
0.182734,TUMORLU
0.316150,TUMORLU
0.077384,TUMORLU
0.468701,TUMORLU
0.060066,TUMORLU
0.455821,TUMORLU
0.060981,TUMORLU
0.352218,TUMORLU
0.108184,TUMORLU
0.327807,TUMORLU
0.153724,TUMORLU
0.162256,TUMORLU
0.190697,TUMORLU
0.300958,TUMORLU
0.119072,TUMORLU
0.405250,TUMORLU
0.197358,TUMORLU
0.690621,TUMORLU
0.058349,TUMORLU
0.462110,TUMORLU
0.133066,TUMORLU
0.318654,TUMORLU
0.130472,TUMORLU
0.153879,TUMORLU
0.212740,TUMORLU
0.513072,TUMORLU
0.050783,TUMORLU
0.341409,TUMORLU
0.108415,TUMORLU
0.363450,TUMORLU
0.105817,TUMORLU
0.465238,TUMORLU
0.103733,TUMORLU
0.381585,TUMORLU
0.095108,TUMORLU
0.422200,TUMORLU
0.206427,TUMORLU
0.411634,TUMORLU
0.040131,TUMORLU
0.453967,TUMORLU
0.159554,TUMORLU
0.547318,TUMORLU
0.091785,TUMORLU
0.442669,TUMORLU
0.250293,TUMORLU
0.414225,TUMORLU
0.073267,TUMORLU
0.502987,TUMORLU
0.134008,TUMORLU
0.209394,TUMORLU
0.104786,TUMORLU
0.287517,TUMORLU
0.118055,TUMORLU
0.571783,TUMORLU
0.269593,TUMORLU
0.461140,TUMORLU
0.026126,TUMORLU
0.149415,TUMORLU
0.413334,TUMORLU
0.109602,TUMORLU
0.419767,TUMORLU
0.061503,TUMORLU
0.277910,TUMORLU
0.135490,TUMORLU
0.258373,TUMORLU
0.139381,TUMORLU
0.423070,TUMORLU
0.114204,TUMORLU
0.424730,TUMORLU
0.178237,TUMORLU
0.428726,TUMORLU
0.189302,TUMORLU
0.452287,TUMORLU
0.075516,TUMORLU
0.525028,TUMORLU
0.148000,TUMORLU
0.258009,TUMORLU
0.149708,TUMORLU
0.374008,TUMORLU
0.096129,TUMORLU
0.417584,TUMORLU
0.066815,TUMORLU
0.589934,TUMORLU
0.116844,TUMORLU
0.571215,TUMORLU
0.052842,TUMORLU
0.631018,TUMORLU
0.231126,TUMORLU
0.521704,TUMORLU
0.119324,TUMORLU
0.545600,TUMORLU
0.072059,TUMORLU
0.393372,TUMORLU
0.244114,TUMORLU
0.380185,TUMORLU
0.220546,TUMORLU
0.682452,TUMORLU
0.081682,TUMORLU
0.606391,TUMORLU
0.081364,TUMORLU
0.258391,TUMORLU
0.178749,TUMORLU
0.463932,TUMORLU
0.130180,TUMORLU
0.441498,TUMORLU
0.090165,TUMORLU
0.399749,TUMORLU
0.112133,TUMORLU
0.401758,TUMORLU
0.143036,TUMORLU
0.596346,TUMORLU
0.065588,TUMORLU
0.533139,TUMORLU
0.082837,TUMORLU
0.299474,TUMORLU
0.153005,TUMORLU
0.263816,TUMORLU
0.077525,TUMORLU
0.606494,TUMORLU
0.111583,TUMORLU
0.663754,TUMORLU
0.146089,TUMORLU
0.750100,TUMORLU
0.159867,TUMORLU
0.370183,TUMORLU
0.104175,TUMORLU
0.454925,TUMORLU
0.098806,TUMORLU
0.440321,TUMORLU
0.225597,TUMORLU
0.484960,TUMORLU
0.120791,TUMORLU
0.303414,TUMORLU
0.158828,TUMORLU
0.531052,TUMORLU
0.111139,TUMORLU
0.401237,TUMORLU
0.118991,TUMORLU
0.573870,TUMORLU
0.141373,TUMORLU
0.276522,TUMORLU
0.131765,TUMORLU
0.378346,TUMORLU
0.181308,TUMORLU
0.323680,TUMORLU
0.192182,TUMORLU
0.417386,TUMORLU
0.074681,TUMORLU
0.505365,TUMORLU
0.096148,TUMORLU
0.481747,TUMORLU
0.128931,TUMORLU
0.414910,TUMORLU
0.148229,TUMORLU
0.343579,TUMORLU
0.153999,TUMORLU
0.375164,TUMORLU
0.110266,TUMORLU
0.577023,TUMORLU
0.237481,TUMORLU
0.479492,TUMORLU
0.051682,TUMORLU
0.574938,TUMORLU
0.093411,TUMORLU
0.486058,TUMORLU
0.119216,TUMORLU
0.524671,TUMORLU
0.175179,TUMORLU
0.657009,TUMORLU
0.116344,TUMORLU
0.387098,TUMORLU
0.067919,TUMORLU
0.243550,TUMORLU
0.190835,TUMORLU
0.491614,TUMORLU
0.052329,TUMORLU
0.485505,TUMORLU
0.096520,TUMORLU
0.379087,TUMORLU
0.218319,TUMORLU
0.365962,TUMORLU
0.123253,TUMORLU
0.282513,TUMORLU
0.062474,TUMORLU
0.399928,TUMORLU
0.109982,TUMORLU
0.370303,TUMORLU
0.091172,TUMORLU
0.403574,TUMORLU
0.105148,TUMORLU
0.389392,TUMORLU
0.146808,TUMORLU
0.479840,TUMORLU
0.057678,TUMORLU
0.496742,TUMORLU
0.164555,TUMORLU
0.169841,TUMORLU
0.212039,TUMORLU
0.122847,TUMORLU
0.099292,TUMORLU
0.512255,TUMORLU
0.066106,TUMORLU
0.330320,TUMORLU
0.122493,TUMORLU
