@RELATION STAT

@ATTRIBUTE stat_skew NUMERIC
@ATTRIBUTE stat_kurtosis NUMERIC
@ATTRIBUTE stat_mean NUMERIC
@ATTRIBUTE stat_std NUMERIC
@ATTRIBUTE class {BASLANGIC,NORMAL,TUMORLU}

@DATA
0.108279,0.008689,0.195266,0.672994,BASLANGIC
0.007396,0.001977,0.689623,0.412405,BASLANGIC
0.345599,0.111546,0.023126,0.246074,BASLANGIC
0.043874,0.003530,0.549382,0.294361,BASLANGIC
0.239247,0.051116,0.047907,0.351782,BASLANGIC
0.038904,0.002222,0.325882,0.381924,BASLANGIC
0.579540,0.326384,0.008110,0.145826,BASLANGIC
0.040523,0.002213,0.380329,0.427530,BASLANGIC
0.361399,0.122454,0.021245,0.236036,BASLANGIC
0.019633,0.001762,0.608563,0.396446,BASLANGIC
0.545979,0.289275,0.009213,0.154944,BASLANGIC
0.052475,0.004501,0.353346,0.234929,BASLANGIC
0.113310,0.009661,0.182356,0.654092,BASLANGIC
0.029346,0.001869,0.480965,0.423061,BASLANGIC
0.171905,0.024905,0.089558,0.473541,BASLANGIC
0.033091,0.002108,0.612595,0.495210,BASLANGIC
0.183008,0.028605,0.079759,0.448027,BASLANGIC
0.045239,0.003125,0.448081,0.383893,BASLANGIC
0.401735,0.152779,0.017080,0.211935,BASLANGIC
0.027801,0.002712,0.397550,0.354246,BASLANGIC
0.124983,0.012139,0.155815,0.610282,BASLANGIC
0.080547,0.006638,0.232482,0.366591,BASLANGIC
0.327698,0.099703,0.025731,0.259558,BASLANGIC
0.049217,0.002721,0.339975,0.424474,BASLANGIC
0.284800,0.074193,0.034017,0.297173,BASLANGIC
0.032786,0.001716,0.729311,0.513486,BASLANGIC
0.284118,0.073899,0.034227,0.297373,BASLANGIC
0.040815,0.003161,0.408174,0.270666,BASLANGIC
0.281079,0.072148,0.034951,0.301280,BASLANGIC
0.029123,0.001176,0.458740,0.463343,BASLANGIC
0.136289,0.014798,0.134938,0.572510,BASLANGIC
0.037677,0.001872,0.471884,0.429093,BASLANGIC
0.162796,0.022078,0.098845,0.495928,BASLANGIC
0.036674,0.002692,0.507708,0.405195,BASLANGIC
0.458565,0.201448,0.013073,0.184941,BASLANGIC
0.013107,0.001013,0.610648,0.489924,BASLANGIC
0.368231,0.127724,0.020292,0.229345,BASLANGIC
0.019918,0.002645,0.596648,0.429862,BASLANGIC
0.157640,0.020543,0.104780,0.509904,BASLANGIC
0.007174,0.002143,0.761200,0.456841,BASLANGIC
0.448692,0.192467,0.013694,0.189527,BASLANGIC
0.027637,0.001265,0.517406,0.492262,BASLANGIC
0.595085,0.345226,0.007748,0.142296,BASLANGIC
0.046440,0.002166,0.373819,0.469755,BASLANGIC
0.153237,0.019275,0.110170,0.522267,BASLANGIC
0.031066,0.001238,0.508817,0.559816,BASLANGIC
0.048198,0.000994,0.484187,0.937718,BASLANGIC
0.013760,0.002039,0.569085,0.416228,BASLANGIC
0.254092,0.058134,0.042613,0.332547,BASLANGIC
0.027133,0.001222,0.490080,0.514475,BASLANGIC
0.451820,0.195875,0.013492,0.186978,BASLANGIC
0.033222,0.001658,0.449675,0.461533,BASLANGIC
0.423225,0.170759,0.015425,0.200231,BASLANGIC
0.038799,0.002331,0.338384,0.397277,BASLANGIC
0.318200,0.093776,0.027288,0.266991,BASLANGIC
0.035587,0.001756,0.456352,0.483610,BASLANGIC
0.161766,0.021760,0.100039,0.499138,BASLANGIC
0.571555,0.317189,0.008387,0.148677,BASLANGIC
0.018216,0.001834,0.576391,0.458341,BASLANGIC
0.310296,0.088844,0.028694,0.274162,BASLANGIC
0.050737,0.004776,0.336699,0.255023,BASLANGIC
0.170651,0.024490,0.090773,0.477448,BASLANGIC
0.057513,0.004011,0.307887,0.366366,BASLANGIC
0.366763,0.126421,0.020594,0.232076,BASLANGIC
0.025578,0.001432,0.494881,0.474717,BASLANGIC
0.234751,0.049142,0.049782,0.357447,BASLANGIC
0.743458,0.545488,0.004949,0.113403,BASLANGIC
0.033685,0.001452,0.560904,0.552302,BASLANGIC
0.183790,0.028857,0.079150,0.446937,BASLANGIC
0.038374,0.001572,0.412018,0.510525,BASLANGIC
0.573834,0.320336,0.008290,0.147380,BASLANGIC
0.013398,0.002237,0.589317,0.327340,BASLANGIC
0.204102,0.036328,0.065009,0.406367,BASLANGIC
0.036362,0.001478,0.564289,0.527424,BASLANGIC
0.073708,0.003352,0.326275,0.826655,BASLANGIC
0.030961,0.003102,0.374627,0.281638,BASLANGIC
0.429598,0.175794,0.014934,0.197836,BASLANGIC
0.050598,0.003433,0.428496,0.385057,BASLANGIC
0.024440,0.000000,0.680161,1.000000,BASLANGIC
0.029419,0.002280,0.485704,0.370683,BASLANGIC
0.206243,0.037139,0.063774,0.402961,BASLANGIC
0.044316,0.002590,0.433396,0.430222,BASLANGIC
0.240234,0.051696,0.047437,0.348462,BASLANGIC
0.020752,0.001970,0.532762,0.443788,BASLANGIC
0.084063,0.004690,0.278125,0.778403,BASLANGIC
0.024213,0.001333,0.576746,0.579462,BASLANGIC
0.079351,0.004054,0.298956,0.800371,BASLANGIC
0.036827,0.002615,0.371369,0.289993,BASLANGIC
0.450701,0.194019,0.013558,0.189069,BASLANGIC
0.051641,0.004235,0.369204,0.253747,BASLANGIC
0.428285,0.174824,0.015096,0.198542,BASLANGIC
0.059024,0.004768,0.355202,0.283787,BASLANGIC
0.457335,0.200537,0.013220,0.185448,BASLANGIC
0.035192,0.002153,0.535806,0.490819,BASLANGIC
0.145142,0.017068,0.121030,0.544769,BASLANGIC
0.018267,0.002087,0.579333,0.446020,BASLANGIC
0.068285,0.002744,0.355074,0.850958,BASLANGIC
0.024655,0.001761,0.545511,0.448030,BASLANGIC
0.476802,0.219435,0.012181,0.177079,BASLANGIC
0.032105,0.002442,0.464164,0.346583,BASLANGIC
0.225090,0.044849,0.053926,0.372186,BASLANGIC
0.038655,0.003008,0.461321,0.274107,BASLANGIC
0.323254,0.096881,0.026476,0.263341,BASLANGIC
0.064290,0.004474,0.172294,0.268298,BASLANGIC
0.246638,0.054639,0.045072,0.340501,BASLANGIC
0.014785,0.001877,0.597356,0.421199,BASLANGIC
0.376483,0.133447,0.019498,0.226222,BASLANGIC
0.043666,0.003618,0.271972,0.231605,BASLANGIC
0.192353,0.031890,0.072692,0.429352,BASLANGIC
0.048369,0.002387,0.449791,0.547938,BASLANGIC
0.069832,0.002912,0.346373,0.843675,BASLANGIC
0.033946,0.002027,0.545248,0.408166,BASLANGIC
0.344890,0.111004,0.023214,0.246805,BASLANGIC
0.034528,0.002422,0.333107,0.354712,BASLANGIC
0.191114,0.031449,0.073584,0.431575,BASLANGIC
0.039849,0.002160,0.629781,0.488432,BASLANGIC
0.442433,0.186912,0.014123,0.192393,BASLANGIC
0.495665,0.236800,0.011211,0.171067,BASLANGIC
0.048463,0.003455,0.375582,0.373277,BASLANGIC
0.123094,0.011717,0.159710,0.617259,BASLANGIC
0.032467,0.001833,0.426932,0.375033,BASLANGIC
0.121612,0.011392,0.162930,0.622860,BASLANGIC
0.019039,0.001285,0.556298,0.451795,BASLANGIC
0.514285,0.255124,0.010393,0.165447,BASLANGIC
0.037408,0.002526,0.448842,0.387145,BASLANGIC
0.301155,0.083568,0.030481,0.281206,BASLANGIC
0.045492,0.002605,0.378542,0.437219,BASLANGIC
0.145474,0.017144,0.120598,0.544661,BASLANGIC
0.027271,0.001555,0.545408,0.448691,BASLANGIC
0.341164,0.108562,0.023775,0.249444,BASLANGIC
0.021462,0.000993,0.595725,0.563685,BASLANGIC
0.489778,0.230546,0.011421,0.173464,BASLANGIC
0.051336,0.004633,0.295552,0.253799,BASLANGIC
0.554159,0.297957,0.008960,0.152981,BASLANGIC
0.024227,0.001580,0.563513,0.469315,BASLANGIC
0.187948,0.030299,0.075918,0.438648,BASLANGIC
0.366585,0.126391,0.020565,0.231581,BASLANGIC
0.030742,0.001517,0.484032,0.487098,BASLANGIC
0.262105,0.062152,0.040097,0.322271,BASLANGIC
0.408952,0.158580,0.016496,0.208285,BASLANGIC
0.012694,0.002771,0.597131,0.319506,BASLANGIC
0.281481,0.072394,0.034807,0.300368,BASLANGIC
0.035703,0.002233,0.462277,0.433821,BASLANGIC
0.374151,0.131678,0.019778,0.227762,BASLANGIC
0.018317,0.001259,0.544967,0.482677,BASLANGIC
0.103603,0.007813,0.208766,0.693436,BASLANGIC
0.043357,0.003144,0.527582,0.408851,BASLANGIC
0.088067,0.005272,0.262043,0.759884,BASLANGIC
0.018383,0.001191,0.579384,0.504130,BASLANGIC
0.187797,0.030247,0.076052,0.438892,BASLANGIC
0.060025,0.001919,0.403384,0.889403,BASLANGIC
0.028711,0.002334,0.495416,0.368988,BASLANGIC
0.204971,0.036657,0.064459,0.404777,BASLANGIC
0.043854,0.001867,0.529179,0.523257,BASLANGIC
0.196039,0.033292,0.070155,0.420986,BASLANGIC
0.307342,0.087197,0.029243,0.275795,BASLANGIC
0.012142,0.001812,0.606804,0.434343,BASLANGIC
0.346501,0.112355,0.023131,0.245080,BASLANGIC
0.055971,0.004526,0.317223,0.282039,BASLANGIC
0.191066,0.031430,0.073718,0.432054,BASLANGIC
0.017898,0.001696,0.530043,0.425991,BASLANGIC
0.119717,0.010993,0.167268,0.629428,BASLANGIC
0.025682,0.001965,0.578720,0.424581,BASLANGIC
0.454813,0.198290,0.013314,0.186373,BASLANGIC
0.014979,0.001603,0.588792,0.431931,BASLANGIC
0.325862,0.098593,0.026038,0.260811,BASLANGIC
0.044944,0.003918,0.429406,0.350121,BASLANGIC
0.300952,0.083312,0.030460,0.282093,BASLANGIC
0.029652,0.001365,0.460319,0.489711,BASLANGIC
0.295210,0.080036,0.031761,0.287609,BASLANGIC
0.009839,0.002750,0.599325,0.311531,BASLANGIC
0.242450,0.052631,0.046685,0.346913,BASLANGIC
0.035081,0.001768,0.440256,0.455144,BASLANGIC
0.121613,0.011388,0.162927,0.623032,BASLANGIC
0.066857,0.004500,0.314649,0.364390,BASLANGIC
0.099603,0.007120,0.220731,0.708391,BASLANGIC
0.032555,0.000975,0.599010,0.571071,BASLANGIC
0.343129,0.110001,0.023484,0.247319,BASLANGIC
0.040293,0.003646,0.311260,0.281855,BASLANGIC
0.384808,0.139717,0.018640,0.221221,BASLANGIC
0.048101,0.003983,0.459395,0.341878,BASLANGIC
0.217047,0.041478,0.057813,0.384560,BASLANGIC
0.011251,0.002609,0.594740,0.306771,BASLANGIC
0.187793,0.030243,0.076097,0.439130,BASLANGIC
0.028570,0.002755,0.646808,0.315190,BASLANGIC
0.332404,0.102887,0.024966,0.254863,BASLANGIC
0.018530,0.002628,0.574209,0.327646,BASLANGIC
0.389334,0.143137,0.018257,0.218930,BASLANGIC
0.027568,0.002620,0.479461,0.327541,BASLANGIC
0.272145,0.067328,0.037180,0.310848,BASLANGIC
0.049465,0.005036,0.421254,0.232472,BASLANGIC
0.329499,0.100893,0.025442,0.257930,BASLANGIC
0.023830,0.002519,0.554721,0.341669,BASLANGIC
0.401447,0.152715,0.017119,0.211628,BASLANGIC
0.049518,0.003262,0.332615,0.331533,BASLANGIC
0.725381,0.517744,0.005197,0.117019,BASLANGIC
0.062693,0.005686,0.347469,0.266354,BASLANGIC
0.200467,0.034867,0.067246,0.414376,BASLANGIC
0.024548,0.002161,0.516290,0.339379,BASLANGIC
0.238700,0.050886,0.048119,0.352126,BASLANGIC
0.030241,0.001819,0.475841,0.337168,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.048080,0.002707,0.432287,0.435460,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.051508,0.003931,0.638519,0.400709,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.011523,0.002160,0.673956,0.414313,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.027504,0.002316,0.632024,0.361227,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.012223,0.001608,0.630044,0.437132,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.036740,0.002409,0.363816,0.398003,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.053435,0.002673,0.272667,0.422735,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.053574,0.002837,0.269688,0.414295,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.013820,0.001767,0.537955,0.418167,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.027622,0.002346,0.624395,0.366191,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.011112,0.002086,0.677567,0.415485,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.016910,0.001280,0.623365,0.485152,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.021240,0.001083,0.600693,0.515616,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.024710,0.001925,0.654110,0.464487,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.028799,0.001219,0.452373,0.466079,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.041677,0.001592,0.348851,0.453570,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.037307,0.002793,0.357216,0.268517,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.040989,0.003163,0.519601,0.237823,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.032467,0.001308,0.421028,0.508880,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.018742,0.001551,0.534934,0.418132,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.017980,0.001807,0.616365,0.433993,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.046878,0.002112,0.435239,0.443871,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.015776,0.002047,0.590724,0.369405,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.049606,0.003397,0.412216,0.258674,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.049153,0.004127,0.333893,0.245056,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.041723,0.002080,0.393173,0.437141,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.055131,0.004425,0.261287,0.238631,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.038863,0.001915,0.440435,0.505510,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.035634,0.001492,0.522694,0.478542,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.024441,0.002925,0.605971,0.310252,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.030734,0.002093,0.615839,0.390913,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.011890,0.001182,0.666132,0.505727,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.048306,0.003657,0.352354,0.226895,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.054953,0.005033,0.335988,0.227781,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.053419,0.003222,0.289260,0.285252,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.046809,0.002307,0.310247,0.410071,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.031921,0.002215,0.459980,0.390717,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.035434,0.001834,0.392809,0.424152,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.021493,0.001645,0.500610,0.443729,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.025392,0.002131,0.578591,0.360477,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.044781,0.002273,0.332812,0.418536,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.021955,0.001587,0.497759,0.450266,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.026180,0.002220,0.575891,0.357431,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.034616,0.001744,0.395914,0.427163,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.021521,0.001600,0.499080,0.446054,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.031579,0.002230,0.457945,0.382596,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.025021,0.002159,0.565353,0.363486,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.045453,0.002255,0.319428,0.411194,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.040001,0.002088,0.390644,0.404394,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.039240,0.001988,0.394522,0.406258,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.048999,0.002482,0.304440,0.416310,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.040326,0.002105,0.389063,0.403782,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.049255,0.002200,0.256029,0.333003,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.031063,0.002238,0.468614,0.383359,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.049040,0.002239,0.260759,0.337269,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.037834,0.002789,0.473765,0.340464,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.037060,0.001845,0.378174,0.427076,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.037821,0.002769,0.477315,0.340226,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.020718,0.001636,0.509650,0.446503,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.026398,0.002254,0.574757,0.354669,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.032915,0.001330,0.419589,0.508594,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.032560,0.001265,0.421440,0.510897,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.059120,0.005131,0.195932,0.196162,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.019492,0.002255,0.691612,0.355627,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.049515,0.002269,0.259352,0.336935,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.048697,0.002156,0.257703,0.333653,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.038279,0.002856,0.472193,0.339720,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.033794,0.003106,0.514272,0.318651,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.038576,0.002224,0.347346,0.315204,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.044848,0.004552,0.380781,0.199762,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.034574,0.001684,0.395699,0.449843,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.029879,0.003886,0.664062,0.284047,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.033752,0.003425,0.443138,0.312275,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.037534,0.003846,0.702979,0.329631,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.018197,0.001733,0.634440,0.443402,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.063178,0.008368,0.365198,0.244609,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.048113,0.003519,0.332849,0.252459,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.024565,0.001800,0.569221,0.448218,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.017632,0.001756,0.620371,0.439205,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.030673,0.001905,0.506449,0.437740,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.006702,0.002903,1.000000,0.292894,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.013255,0.002441,0.544254,0.326382,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.038166,0.003528,0.371572,0.271617,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.024104,0.002720,0.579178,0.289460,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.037012,0.002035,0.337332,0.316122,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.043237,0.002497,0.279993,0.326983,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.021038,0.001697,0.519030,0.402304,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.031715,0.002965,0.442712,0.320402,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.039676,0.003261,0.359153,0.296746,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.040148,0.003692,0.418047,0.308823,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.023436,0.002911,0.658090,0.324806,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.028981,0.002300,0.556023,0.372544,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.002221,0.002101,0.748536,0.347716,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.019290,0.001762,0.622176,0.379661,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.029074,0.001493,0.455648,0.386874,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.029018,0.001483,0.453100,0.384217,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.029722,0.002013,0.502704,0.359484,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.044796,0.004331,0.349523,0.237284,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.055852,0.003951,0.381625,0.280509,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.011342,0.001344,0.648819,0.490724,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.014365,0.001401,0.617710,0.441994,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.047307,0.003208,0.412308,0.334392,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.031007,0.001552,0.453481,0.399900,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.018823,0.001599,0.568589,0.359104,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.046594,0.003132,0.410692,0.330393,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.009776,0.001962,0.718735,0.450706,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.045824,0.002476,0.413944,0.393145,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.050178,0.003473,0.401788,0.309020,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.050149,0.004399,0.510470,0.262386,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.053386,0.003927,0.478303,0.257466,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.078767,0.012287,0.384712,0.244731,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.048954,0.004182,0.468414,0.215610,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.064572,0.004051,0.254931,0.349462,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.019543,0.002489,0.751165,0.315894,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.010898,0.002505,0.808254,0.306856,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.054380,0.004995,0.338152,0.227005,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.037537,0.001838,0.446222,0.506212,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.031647,0.002102,0.609467,0.388061,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.034933,0.001494,0.528895,0.478314,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.016370,0.002075,0.601877,0.375211,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.053691,0.004301,0.264383,0.238721,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.049317,0.004155,0.334786,0.245666,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.018425,0.001531,0.539571,0.419236,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.040587,0.002037,0.391045,0.425177,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.025893,0.002982,0.610733,0.312484,NORMAL
0.015915,0.003492,0.000000,0.000000,NORMAL
0.044328,0.000759,0.513168,0.950434,TUMORLU
0.043741,0.003111,0.607410,0.400455,TUMORLU
0.043971,0.000734,0.515928,0.952438,TUMORLU
0.017486,0.000643,0.556029,0.476549,TUMORLU
