@RELATION SINGLE_GLCM_DISSIMILARITY

@ATTRIBUTE glcm_dissimilarity NUMERIC
@ATTRIBUTE class {BASLANGIC,NORMAL,TUMORLU}

@DATA
0.056439,BASLANGIC
0.517083,BASLANGIC
0.375606,BASLANGIC
0.744020,BASLANGIC
0.113595,BASLANGIC
0.777968,BASLANGIC
0.096777,BASLANGIC
0.773013,BASLANGIC
0.242628,BASLANGIC
0.767907,BASLANGIC
0.241498,BASLANGIC
0.583074,BASLANGIC
0.054888,BASLANGIC
0.616083,BASLANGIC
0.058732,BASLANGIC
0.597810,BASLANGIC
0.051371,BASLANGIC
0.808141,BASLANGIC
0.154089,BASLANGIC
0.660539,BASLANGIC
0.265888,BASLANGIC
0.679708,BASLANGIC
0.050129,BASLANGIC
0.953297,BASLANGIC
0.105692,BASLANGIC
0.839521,BASLANGIC
0.070676,BASLANGIC
0.512483,BASLANGIC
0.093642,BASLANGIC
0.828445,BASLANGIC
0.061850,BASLANGIC
0.570688,BASLANGIC
0.120579,BASLANGIC
0.645026,BASLANGIC
0.265122,BASLANGIC
0.791158,BASLANGIC
0.066355,BASLANGIC
0.508378,BASLANGIC
0.121257,BASLANGIC
0.774047,BASLANGIC
0.051723,BASLANGIC
0.047129,BASLANGIC
0.722516,BASLANGIC
0.193435,BASLANGIC
0.703745,BASLANGIC
0.182347,BASLANGIC
0.818241,BASLANGIC
0.047808,BASLANGIC
0.807676,BASLANGIC
0.093062,BASLANGIC
0.719639,BASLANGIC
0.159285,BASLANGIC
0.823500,BASLANGIC
0.067805,BASLANGIC
0.650196,BASLANGIC
0.047007,BASLANGIC
0.570798,BASLANGIC
0.044543,BASLANGIC
0.765811,BASLANGIC
0.122081,BASLANGIC
0.065187,BASLANGIC
0.681923,BASLANGIC
0.095128,BASLANGIC
0.056659,BASLANGIC
0.577467,BASLANGIC
0.086403,BASLANGIC
0.749547,BASLANGIC
0.062551,BASLANGIC
0.658674,BASLANGIC
0.202722,BASLANGIC
0.739158,BASLANGIC
0.232607,BASLANGIC
0.820604,BASLANGIC
0.125890,BASLANGIC
0.268269,BASLANGIC
0.754297,BASLANGIC
0.115669,BASLANGIC
0.557931,BASLANGIC
0.124689,BASLANGIC
0.081278,BASLANGIC
0.727604,BASLANGIC
0.068884,BASLANGIC
0.614071,BASLANGIC
0.122450,BASLANGIC
0.769247,BASLANGIC
0.184436,BASLANGIC
0.816062,BASLANGIC
0.051373,BASLANGIC
0.732211,BASLANGIC
0.070516,BASLANGIC
0.667880,BASLANGIC
0.076407,BASLANGIC
0.659522,BASLANGIC
0.078477,BASLANGIC
0.590166,BASLANGIC
0.104488,BASLANGIC
0.720143,BASLANGIC
0.180378,BASLANGIC
0.514237,BASLANGIC
0.221658,BASLANGIC
0.526323,BASLANGIC
0.074379,BASLANGIC
0.589386,BASLANGIC
0.061525,BASLANGIC
0.705689,BASLANGIC
0.114067,BASLANGIC
0.593108,BASLANGIC
0.127098,BASLANGIC
0.886175,BASLANGIC
0.072247,BASLANGIC
0.569394,BASLANGIC
0.059002,BASLANGIC
0.754618,BASLANGIC
0.085977,BASLANGIC
0.694206,BASLANGIC
0.070457,BASLANGIC
0.562963,BASLANGIC
0.058105,BASLANGIC
0.483214,BASLANGIC
0.031244,BASLANGIC
0.622406,BASLANGIC
0.117395,BASLANGIC
0.562348,BASLANGIC
0.099769,BASLANGIC
0.724141,NORMAL
0.000000,NORMAL
0.720985,NORMAL
0.000000,NORMAL
0.753512,NORMAL
0.000000,NORMAL
0.772874,NORMAL
0.000000,NORMAL
0.900718,NORMAL
0.000000,NORMAL
0.871287,NORMAL
0.000000,NORMAL
0.668645,NORMAL
0.000000,NORMAL
0.489833,NORMAL
0.000000,NORMAL
0.500780,NORMAL
0.000000,NORMAL
0.749596,NORMAL
0.000000,NORMAL
0.788210,NORMAL
0.000000,NORMAL
0.760214,NORMAL
0.000000,NORMAL
0.791436,NORMAL
0.000000,NORMAL
0.746469,NORMAL
0.000000,NORMAL
0.850150,NORMAL
0.000000,NORMAL
0.572026,NORMAL
0.000000,NORMAL
0.538005,NORMAL
0.000000,NORMAL
0.729316,NORMAL
0.000000,NORMAL
0.917170,NORMAL
0.000000,NORMAL
0.603122,NORMAL
0.000000,NORMAL
0.671452,NORMAL
0.000000,NORMAL
0.834677,NORMAL
0.000000,NORMAL
0.702698,NORMAL
0.000000,NORMAL
0.774642,NORMAL
0.000000,NORMAL
0.666476,NORMAL
0.000000,NORMAL
0.486658,NORMAL
0.000000,NORMAL
0.681151,NORMAL
0.000000,NORMAL
0.570322,NORMAL
0.000000,NORMAL
0.656463,NORMAL
0.000000,NORMAL
0.629134,NORMAL
0.000000,NORMAL
0.891311,NORMAL
0.000000,NORMAL
0.814750,NORMAL
0.000000,NORMAL
0.640912,NORMAL
0.000000,NORMAL
0.624140,NORMAL
0.000000,NORMAL
0.578531,NORMAL
0.000000,NORMAL
0.529895,NORMAL
0.000000,NORMAL
0.504427,NORMAL
0.000000,NORMAL
0.851668,NORMAL
0.000000,NORMAL
0.644673,NORMAL
0.000000,NORMAL
0.702101,NORMAL
0.000000,NORMAL
0.868437,NORMAL
0.000000,NORMAL
0.531042,NORMAL
0.000000,NORMAL
0.693179,NORMAL
0.000000,NORMAL
0.876384,NORMAL
0.000000,NORMAL
0.625467,NORMAL
0.000000,NORMAL
0.684285,NORMAL
0.000000,NORMAL
0.733604,NORMAL
0.000000,NORMAL
0.858629,NORMAL
0.000000,NORMAL
0.504293,NORMAL
0.000000,NORMAL
0.676293,NORMAL
0.000000,NORMAL
0.657954,NORMAL
0.000000,NORMAL
0.492075,NORMAL
0.000000,NORMAL
0.671624,NORMAL
0.000000,NORMAL
0.406341,NORMAL
0.000000,NORMAL
0.763741,NORMAL
0.000000,NORMAL
0.417782,NORMAL
0.000000,NORMAL
0.742191,NORMAL
0.000000,NORMAL
0.626272,NORMAL
0.000000,NORMAL
0.733223,NORMAL
0.000000,NORMAL
0.709488,NORMAL
0.000000,NORMAL
0.876882,NORMAL
0.000000,NORMAL
0.610328,NORMAL
0.000000,NORMAL
0.611275,NORMAL
0.000000,NORMAL
0.480654,NORMAL
0.000000,NORMAL
0.808065,NORMAL
0.000000,NORMAL
0.412399,NORMAL
0.000000,NORMAL
0.408747,NORMAL
0.000000,NORMAL
0.736893,NORMAL
0.000000,NORMAL
0.651402,NORMAL
0.000000,NORMAL
0.633806,NORMAL
0.000000,NORMAL
0.659518,NORMAL
0.000000,NORMAL
0.481668,NORMAL
0.000000,NORMAL
0.777083,NORMAL
0.000000,NORMAL
0.747406,NORMAL
0.000000,NORMAL
0.938532,NORMAL
0.000000,NORMAL
0.884304,NORMAL
0.000000,NORMAL
0.659445,NORMAL
0.000000,NORMAL
0.605088,NORMAL
0.000000,NORMAL
0.769893,NORMAL
0.000000,NORMAL
0.840195,NORMAL
0.000000,NORMAL
0.686870,NORMAL
0.000000,NORMAL
1.000000,NORMAL
0.000000,NORMAL
0.746149,NORMAL
0.000000,NORMAL
0.811373,NORMAL
0.000000,NORMAL
0.967581,NORMAL
0.000000,NORMAL
0.593789,NORMAL
0.000000,NORMAL
0.562547,NORMAL
0.000000,NORMAL
0.692149,NORMAL
0.000000,NORMAL
0.808247,NORMAL
0.000000,NORMAL
0.583536,NORMAL
0.000000,NORMAL
0.766148,NORMAL
0.000000,NORMAL
0.885127,NORMAL
0.000000,NORMAL
0.807652,NORMAL
0.000000,NORMAL
0.800958,NORMAL
0.000000,NORMAL
0.918572,NORMAL
0.000000,NORMAL
0.588937,NORMAL
0.000000,NORMAL
0.589970,NORMAL
0.000000,NORMAL
0.683656,NORMAL
0.000000,NORMAL
0.634724,NORMAL
0.000000,NORMAL
0.667222,NORMAL
0.000000,NORMAL
0.798752,NORMAL
0.000000,NORMAL
0.708644,NORMAL
0.000000,NORMAL
0.707850,NORMAL
0.000000,NORMAL
0.519874,NORMAL
0.000000,NORMAL
0.600832,NORMAL
0.000000,NORMAL
0.706838,NORMAL
0.000000,NORMAL
0.775400,NORMAL
0.000000,NORMAL
0.568303,NORMAL
0.000000,NORMAL
0.683349,NORMAL
0.000000,NORMAL
0.701622,NORMAL
0.000000,NORMAL
0.655662,NORMAL
0.000000,NORMAL
0.754545,NORMAL
0.000000,NORMAL
0.806134,NORMAL
0.000000,NORMAL
0.640950,NORMAL
0.000000,NORMAL
0.818625,NORMAL
0.000000,NORMAL
0.702662,NORMAL
0.000000,NORMAL
0.786997,NORMAL
0.000000,NORMAL
0.653076,NORMAL
0.000000,NORMAL
0.800619,NORMAL
0.000000,NORMAL
0.638945,NORMAL
0.000000,NORMAL
0.784396,NORMAL
0.000000,NORMAL
0.577350,NORMAL
0.000000,NORMAL
0.501197,NORMAL
0.000000,NORMAL
0.679778,NORMAL
0.000000,NORMAL
0.686474,NORMAL
0.000000,NORMAL
0.901633,NORMAL
0.000000,NORMAL
0.400152,TUMORLU
0.696160,TUMORLU
0.382274,TUMORLU
0.377877,TUMORLU
0.162819,TUMORLU
0.469004,TUMORLU
0.184905,TUMORLU
0.475338,TUMORLU
0.165691,TUMORLU
0.491541,TUMORLU
0.178100,TUMORLU
0.484105,TUMORLU
0.142385,TUMORLU
0.479510,TUMORLU
0.157215,TUMORLU
0.493573,TUMORLU
0.136774,TUMORLU
0.904836,TUMORLU
0.103574,TUMORLU
0.849540,TUMORLU
0.184626,TUMORLU
0.906139,TUMORLU
0.109351,TUMORLU
0.810912,TUMORLU
0.216079,TUMORLU
0.581705,TUMORLU
0.282104,TUMORLU
0.749658,TUMORLU
0.345229,TUMORLU
0.452803,TUMORLU
0.369903,TUMORLU
0.634115,TUMORLU
0.168917,TUMORLU
0.483649,TUMORLU
0.182109,TUMORLU
0.621185,TUMORLU
0.276569,TUMORLU
0.557318,TUMORLU
0.286530,TUMORLU
0.599856,TUMORLU
0.327612,TUMORLU
0.566399,TUMORLU
0.269996,TUMORLU
0.550824,TUMORLU
0.429502,TUMORLU
0.585928,TUMORLU
0.326166,TUMORLU
0.531029,TUMORLU
0.436648,TUMORLU
0.688713,TUMORLU
0.130425,TUMORLU
0.664233,TUMORLU
0.102778,TUMORLU
0.679898,TUMORLU
0.107796,TUMORLU
0.504378,TUMORLU
0.292380,TUMORLU
0.458772,TUMORLU
0.360910,TUMORLU
0.395108,TUMORLU
0.456516,TUMORLU
0.574827,TUMORLU
0.313804,TUMORLU
0.566682,TUMORLU
0.405530,TUMORLU
0.717524,TUMORLU
0.131614,TUMORLU
0.586251,TUMORLU
0.256009,TUMORLU
0.387807,TUMORLU
0.200921,TUMORLU
0.345537,TUMORLU
0.283845,TUMORLU
0.867103,TUMORLU
0.110871,TUMORLU
0.582502,TUMORLU
0.222611,TUMORLU
0.544193,TUMORLU
0.227852,TUMORLU
0.585570,TUMORLU
0.205910,TUMORLU
0.598464,TUMORLU
0.226434,TUMORLU
0.399638,TUMORLU
0.404002,TUMORLU
0.571023,TUMORLU
0.100119,TUMORLU
0.676194,TUMORLU
0.280475,TUMORLU
0.660070,TUMORLU
0.164540,TUMORLU
0.578063,TUMORLU
0.320696,TUMORLU
0.515170,TUMORLU
0.127779,TUMORLU
0.539478,TUMORLU
0.176442,TUMORLU
0.430111,TUMORLU
0.219657,TUMORLU
0.582271,TUMORLU
0.213785,TUMORLU
0.708585,TUMORLU
0.352909,TUMORLU
0.796230,TUMORLU
0.024507,TUMORLU
0.186444,TUMORLU
0.573311,TUMORLU
0.168825,TUMORLU
0.750551,TUMORLU
0.141052,TUMORLU
0.499798,TUMORLU
0.288437,TUMORLU
0.484933,TUMORLU
0.224016,TUMORLU
0.545189,TUMORLU
0.290010,TUMORLU
0.413317,TUMORLU
0.343349,TUMORLU
0.521876,TUMORLU
0.287303,TUMORLU
0.704090,TUMORLU
0.109012,TUMORLU
0.528607,TUMORLU
0.270824,TUMORLU
0.502527,TUMORLU
0.266715,TUMORLU
0.484593,TUMORLU
0.207507,TUMORLU
0.644415,TUMORLU
0.130709,TUMORLU
0.692861,TUMORLU
0.160138,TUMORLU
0.583007,TUMORLU
0.164837,TUMORLU
0.659108,TUMORLU
0.308110,TUMORLU
0.494186,TUMORLU
0.204383,TUMORLU
0.446286,TUMORLU
0.160292,TUMORLU
0.473294,TUMORLU
0.386640,TUMORLU
0.425060,TUMORLU
0.401274,TUMORLU
0.824095,TUMORLU
0.130575,TUMORLU
0.838129,TUMORLU
0.129824,TUMORLU
0.367694,TUMORLU
0.264418,TUMORLU
0.367383,TUMORLU
0.305736,TUMORLU
0.712739,TUMORLU
0.189502,TUMORLU
0.717141,TUMORLU
0.200379,TUMORLU
0.553825,TUMORLU
0.258914,TUMORLU
0.843105,TUMORLU
0.235694,TUMORLU
0.843027,TUMORLU
0.171720,TUMORLU
0.432023,TUMORLU
0.235781,TUMORLU
0.599802,TUMORLU
0.149357,TUMORLU
0.572196,TUMORLU
0.206717,TUMORLU
0.579969,TUMORLU
0.277726,TUMORLU
0.568807,TUMORLU
0.307788,TUMORLU
0.524531,TUMORLU
0.188623,TUMORLU
0.634989,TUMORLU
0.164458,TUMORLU
0.581058,TUMORLU
0.391294,TUMORLU
0.737129,TUMORLU
0.203848,TUMORLU
0.520002,TUMORLU
0.285493,TUMORLU
0.715034,TUMORLU
0.157865,TUMORLU
0.581767,TUMORLU
0.219034,TUMORLU
0.686730,TUMORLU
0.328065,TUMORLU
0.644040,TUMORLU
0.234639,TUMORLU
0.560868,TUMORLU
0.280351,TUMORLU
0.585278,TUMORLU
0.277294,TUMORLU
0.753018,TUMORLU
0.127200,TUMORLU
0.782455,TUMORLU
0.163658,TUMORLU
0.649361,TUMORLU
0.171513,TUMORLU
0.479028,TUMORLU
0.307073,TUMORLU
0.497335,TUMORLU
0.262987,TUMORLU
0.601542,TUMORLU
0.313818,TUMORLU
0.682981,TUMORLU
0.353674,TUMORLU
0.724821,TUMORLU
0.100373,TUMORLU
0.753643,TUMORLU
0.206185,TUMORLU
0.774975,TUMORLU
0.247193,TUMORLU
0.729596,TUMORLU
0.268695,TUMORLU
0.810822,TUMORLU
0.202175,TUMORLU
0.908909,TUMORLU
0.113351,TUMORLU
0.760393,TUMORLU
0.301234,TUMORLU
0.877013,TUMORLU
0.082596,TUMORLU
0.822607,TUMORLU
0.167001,TUMORLU
0.636661,TUMORLU
0.298710,TUMORLU
0.485368,TUMORLU
0.234668,TUMORLU
0.482816,TUMORLU
0.141429,TUMORLU
0.510684,TUMORLU
0.206654,TUMORLU
0.632393,TUMORLU
0.198718,TUMORLU
0.653076,TUMORLU
0.206537,TUMORLU
0.654373,TUMORLU
0.245013,TUMORLU
0.766927,TUMORLU
0.063809,TUMORLU
0.699627,TUMORLU
0.255043,TUMORLU
0.582356,TUMORLU
0.302396,TUMORLU
0.531240,TUMORLU
0.235724,TUMORLU
0.772921,TUMORLU
0.124612,TUMORLU
0.721574,TUMORLU
0.159951,TUMORLU
