@RELATION PHOG

@ATTRIBUTE phog_L0_mean NUMERIC
@ATTRIBUTE phog_L1_mean NUMERIC
@ATTRIBUTE phog_L1_std NUMERIC
@ATTRIBUTE class {BASLANGIC,NORMAL,TUMORLU}

@DATA
0.118447,0.092703,0.510873,BASLANGIC
0.914246,0.904197,0.156272,BASLANGIC
0.152725,0.135644,0.747513,BASLANGIC
0.093694,0.127590,0.703128,BASLANGIC
0.950149,0.950402,0.066092,BASLANGIC
0.102106,0.057844,0.184136,BASLANGIC
0.928600,0.927110,0.067271,BASLANGIC
0.176651,0.166375,0.674573,BASLANGIC
0.944384,0.941032,0.077811,BASLANGIC
0.098017,0.080579,0.266289,BASLANGIC
0.968295,0.960617,0.030232,BASLANGIC
0.107737,0.086264,0.475385,BASLANGIC
0.053722,0.073157,0.403159,BASLANGIC
0.924490,0.924226,0.106616,BASLANGIC
0.130927,0.142621,0.785964,BASLANGIC
0.929676,0.916179,0.222350,BASLANGIC
0.065343,0.058406,0.321864,BASLANGIC
0.881111,0.896257,0.071409,BASLANGIC
0.102273,0.127510,0.702686,BASLANGIC
0.771943,0.776207,0.197454,BASLANGIC
0.270198,0.225822,0.102151,BASLANGIC
0.913840,0.902035,0.111446,BASLANGIC
0.076276,0.033432,0.112213,BASLANGIC
0.977641,0.975319,0.086998,BASLANGIC
0.352616,0.368624,0.139860,BASLANGIC
0.936977,0.936001,0.071517,BASLANGIC
0.125969,0.129329,0.712711,BASLANGIC
0.971074,0.957359,0.028574,BASLANGIC
0.097981,0.095991,0.528992,BASLANGIC
0.881434,0.891896,0.124418,BASLANGIC
0.261639,0.225010,0.561248,BASLANGIC
0.848256,0.868391,0.221436,BASLANGIC
0.251008,0.209955,0.443117,BASLANGIC
0.968766,0.966514,0.075198,BASLANGIC
0.095403,0.044124,0.007824,BASLANGIC
0.957061,0.951609,0.116833,BASLANGIC
0.091630,0.084611,0.466276,BASLANGIC
0.942866,0.930450,0.059186,BASLANGIC
0.091571,0.066110,0.234268,BASLANGIC
0.928338,0.921536,0.071799,BASLANGIC
0.172587,0.137871,0.759784,BASLANGIC
0.895981,0.906224,0.176702,BASLANGIC
0.253047,0.209664,0.410611,BASLANGIC
0.927104,0.918539,0.071687,BASLANGIC
0.043875,0.059748,0.329259,BASLANGIC
0.930476,0.929097,0.065871,BASLANGIC
0.146048,0.084339,0.096067,BASLANGIC
0.951910,0.937677,0.067400,BASLANGIC
0.121575,0.109320,0.602447,BASLANGIC
0.868888,0.833148,0.515765,BASLANGIC
0.144123,0.123905,0.682823,BASLANGIC
0.906785,0.891073,0.202337,BASLANGIC
0.092580,0.083088,0.457883,BASLANGIC
0.961431,0.948422,0.119868,BASLANGIC
0.122993,0.121546,0.434313,BASLANGIC
0.842730,0.845660,0.257092,BASLANGIC
0.334663,0.310678,0.163574,BASLANGIC
0.991847,0.987127,0.022359,BASLANGIC
0.112970,0.080529,0.256235,BASLANGIC
0.905505,0.902143,0.138583,BASLANGIC
0.146689,0.098632,0.323984,BASLANGIC
0.962243,0.949850,0.067636,BASLANGIC
0.096863,0.131906,0.726911,BASLANGIC
0.100900,0.100711,0.555000,BASLANGIC
0.883209,0.880632,0.252564,BASLANGIC
0.212247,0.187860,0.600699,BASLANGIC
0.965552,0.966208,0.094136,BASLANGIC
0.129863,0.119469,0.658377,BASLANGIC
0.967024,0.960791,0.069980,BASLANGIC
0.057256,0.067553,0.372273,BASLANGIC
0.948487,0.952144,0.080574,BASLANGIC
0.124432,0.088949,0.329241,BASLANGIC
0.937303,0.932957,0.118553,BASLANGIC
0.135249,0.138000,0.446172,BASLANGIC
0.940470,0.929113,0.188807,BASLANGIC
0.078562,0.106983,0.589566,BASLANGIC
0.965001,0.955565,0.031783,BASLANGIC
0.094217,0.074871,0.412600,BASLANGIC
0.972213,0.965377,0.070770,BASLANGIC
0.081255,0.052204,0.287689,BASLANGIC
0.939948,0.950000,0.084251,BASLANGIC
0.162302,0.134012,0.441443,BASLANGIC
0.111705,0.135315,0.745700,BASLANGIC
0.979753,0.963176,0.037432,BASLANGIC
0.078994,0.107571,0.592809,BASLANGIC
0.099806,0.057555,0.183605,BASLANGIC
0.889933,0.904290,0.135993,BASLANGIC
0.095618,0.118957,0.655553,BASLANGIC
0.960206,0.956599,0.047715,BASLANGIC
0.099856,0.135981,0.749372,BASLANGIC
0.914698,0.912873,0.146601,BASLANGIC
0.219078,0.177988,0.472726,BASLANGIC
0.942835,0.945865,0.134485,BASLANGIC
0.243698,0.203649,0.438799,BASLANGIC
0.888986,0.877021,0.248222,BASLANGIC
0.157705,0.151211,0.833301,BASLANGIC
0.255435,0.250838,0.305286,BASLANGIC
0.933773,0.926720,0.072023,BASLANGIC
0.135771,0.144030,0.793727,BASLANGIC
0.893541,0.891237,0.269499,BASLANGIC
0.105617,0.082437,0.454298,BASLANGIC
0.095030,0.129410,0.713156,BASLANGIC
0.965842,0.958528,0.048957,BASLANGIC
0.065722,0.058486,0.322309,BASLANGIC
0.955387,0.950026,0.040310,BASLANGIC
0.122574,0.122173,0.430562,BASLANGIC
0.891125,0.895230,0.186677,BASLANGIC
0.159530,0.123404,0.441770,BASLANGIC
0.934179,0.919207,0.034935,BASLANGIC
0.056593,0.077067,0.424705,BASLANGIC
0.921124,0.930148,0.161726,BASLANGIC
0.100881,0.066923,0.225323,BASLANGIC
0.944962,0.938178,0.056579,BASLANGIC
0.121802,0.092894,0.511923,BASLANGIC
0.936766,0.920003,0.188687,BASLANGIC
0.125897,0.063987,0.176232,BASLANGIC
0.914544,0.921337,0.200617,BASLANGIC
0.095699,0.130320,0.718172,BASLANGIC
0.897406,0.896243,0.176509,BASLANGIC
0.198819,0.154741,0.625825,BASLANGIC
0.908517,0.899483,0.159994,BASLANGIC
0.188101,0.198128,0.650615,BASLANGIC
0.897533,0.907350,0.183879,BASLANGIC
0.097094,0.069472,0.382847,BASLANGIC
0.974778,0.963937,0.087072,BASLANGIC
0.098241,0.096617,0.532440,BASLANGIC
0.897084,0.895706,0.138577,BASLANGIC
0.170909,0.143473,0.630413,BASLANGIC
0.915502,0.918408,0.248716,BASLANGIC
0.158993,0.133011,0.489261,BASLANGIC
0.958200,0.949945,0.103625,BASLANGIC
0.107207,0.059047,0.325398,BASLANGIC
0.902530,0.899816,0.236689,BASLANGIC
0.071115,0.096842,0.533682,BASLANGIC
0.907733,0.897824,0.106468,BASLANGIC
0.104843,0.132355,0.729389,BASLANGIC
0.940540,0.940720,0.069340,BASLANGIC
0.113852,0.088632,0.488436,BASLANGIC
0.909663,0.907086,0.227781,BASLANGIC
0.069307,0.053355,0.294030,BASLANGIC
0.979046,0.980730,0.044678,BASLANGIC
0.060207,0.081988,0.451825,BASLANGIC
0.977788,0.968272,0.072253,BASLANGIC
0.111052,0.103539,0.351077,BASLANGIC
0.917455,0.916942,0.286255,BASLANGIC
0.131686,0.109215,0.601866,BASLANGIC
0.949730,0.943868,0.137542,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.979481,0.979646,0.017603,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.952251,0.940993,0.094850,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.944847,0.940184,0.114340,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.972698,0.958129,0.119409,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.908349,0.897791,0.214055,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.949688,0.955806,0.090952,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.756707,0.741875,0.663477,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.755494,0.756883,0.630190,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.956311,0.940163,0.110314,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.947643,0.937557,0.110670,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.956719,0.951548,0.122985,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.956034,0.939571,0.141299,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.961265,0.961652,0.081194,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.954640,0.948677,0.085119,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.929080,0.936005,0.114373,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.906672,0.906325,0.120548,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.910562,0.915431,0.142361,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.932153,0.924945,0.111635,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.913283,0.899943,0.312711,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.975046,0.970797,0.068304,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.953025,0.956617,0.120633,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.940255,0.946485,0.021743,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.978306,0.977008,0.088793,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.957734,0.947237,0.145494,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.938518,0.927496,0.128053,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.890984,0.892816,0.192186,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.946969,0.949311,0.052989,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.878586,0.888891,0.251728,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.926611,0.934236,0.128452,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.967400,0.952050,0.104903,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.930197,0.919742,0.115729,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.937891,0.941933,0.149708,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.954894,0.946655,0.061291,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.915759,0.915286,0.126667,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.951053,0.934259,0.163925,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.951671,0.960715,0.081460,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.990257,0.979100,0.067557,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.946559,0.936623,0.078054,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.952680,0.950433,0.084886,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.954627,0.951398,0.055528,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.946766,0.954043,0.123708,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.954274,0.947794,0.057575,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.951951,0.951059,0.048037,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.940763,0.927995,0.061505,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.942314,0.938743,0.087155,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.996031,0.984769,0.057909,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.947881,0.946640,0.042380,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.937310,0.945335,0.148882,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.959891,0.954100,0.137825,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.956125,0.946740,0.142660,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.950194,0.959302,0.065526,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.962916,0.957907,0.109393,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.981005,0.987785,0.077547,NORMAL
0.000000,0.000000,0.000000,NORMAL
1.000000,0.994119,0.056574,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.984726,0.988198,0.088097,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.919354,0.919548,0.146862,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.938552,0.925339,0.131829,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.915134,0.913955,0.173826,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.947304,0.940381,0.079002,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.957123,0.956031,0.064332,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.915940,0.902627,0.280806,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.920181,0.906821,0.274847,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.951400,0.941348,0.141330,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.930965,0.926144,0.126925,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.986512,0.994668,0.077514,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.991205,1.000000,0.071492,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.929701,0.929923,0.168637,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.973400,0.971791,0.040232,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.931842,0.933070,0.027944,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.945413,0.934682,0.130997,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.891881,0.896702,0.117822,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.905356,0.897602,0.070045,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.952102,0.953309,0.028357,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.919096,0.912983,0.114784,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.934961,0.939436,0.109607,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.937563,0.933270,0.071367,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.978476,0.970629,0.076856,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.945390,0.941936,0.069207,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.958741,0.960930,0.090699,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.939513,0.935559,0.075198,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.959192,0.954159,0.075166,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.942284,0.923656,0.137476,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.931454,0.929376,0.110028,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.941230,0.942094,0.109958,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.944678,0.958549,0.085181,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.914391,0.897199,0.185528,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.890512,0.885412,0.194390,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.932258,0.923471,0.132286,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.965568,0.957069,0.109135,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.927352,0.925386,0.093072,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.963616,0.955588,0.073234,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.970240,0.970479,0.051120,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.962378,0.969515,0.135566,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.962111,0.967097,0.102339,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.941744,0.937075,0.062805,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.942919,0.939191,0.051119,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.941243,0.939828,0.219603,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.957649,0.948383,0.078478,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.924041,0.935533,0.128093,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.914275,0.909555,0.107835,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.930174,0.921510,0.087577,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.946575,0.931413,0.066736,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.958086,0.952127,0.123177,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.909990,0.911164,0.297984,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.949068,0.931254,0.068210,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.947679,0.951894,0.092572,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.932611,0.936721,0.103828,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.934113,0.936122,0.065714,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.942694,0.945803,0.106502,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.979685,0.971077,0.050331,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.984440,0.973459,0.067261,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.935698,0.927527,0.084420,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.968442,0.962562,0.084137,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.962016,0.951196,0.129771,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.979538,0.968995,0.096790,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.934532,0.946142,0.135316,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.874347,0.879704,0.309358,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.929894,0.921140,0.147215,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.925621,0.928133,0.117783,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.971513,0.970615,0.070518,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.941356,0.949068,0.050768,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.939056,0.930939,0.120449,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.976148,0.969412,0.058655,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.887349,0.893530,0.204563,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.960463,0.948229,0.089923,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.365295,0.370664,0.251456,TUMORLU
0.985955,0.972938,0.115489,TUMORLU
0.376181,0.399257,0.440171,TUMORLU
0.940530,0.948238,0.106966,TUMORLU
0.208931,0.150464,0.432515,TUMORLU
0.930926,0.928054,0.090704,TUMORLU
0.210252,0.140825,0.444486,TUMORLU
0.932008,0.930244,0.086902,TUMORLU
0.187825,0.132960,0.468486,TUMORLU
0.954206,0.950650,0.044071,TUMORLU
0.215579,0.141425,0.475172,TUMORLU
0.955775,0.952067,0.071827,TUMORLU
0.149923,0.090794,0.288926,TUMORLU
0.955665,0.949543,0.062019,TUMORLU
0.201461,0.129452,0.416242,TUMORLU
0.948891,0.945735,0.054593,TUMORLU
0.173483,0.124445,0.396513,TUMORLU
0.929015,0.922961,0.088695,TUMORLU
0.124932,0.115985,0.460807,TUMORLU
0.960465,0.949809,0.105706,TUMORLU
0.233558,0.162879,0.340226,TUMORLU
0.926053,0.918676,0.103816,TUMORLU
0.155896,0.082245,0.172030,TUMORLU
0.943553,0.939340,0.033683,TUMORLU
0.223619,0.194546,0.745238,TUMORLU
0.890417,0.897874,0.071135,TUMORLU
0.314630,0.288904,0.778788,TUMORLU
0.921758,0.906091,0.048496,TUMORLU
0.385853,0.360462,0.406394,TUMORLU
0.970973,0.974126,0.082787,TUMORLU
0.390821,0.337657,0.593514,TUMORLU
0.949895,0.942894,0.081949,TUMORLU
0.192485,0.155667,0.495370,TUMORLU
0.949686,0.940119,0.048743,TUMORLU
0.181155,0.173073,0.953779,TUMORLU
0.940944,0.942921,0.073880,TUMORLU
0.329866,0.294537,0.355465,TUMORLU
0.959509,0.958116,0.066617,TUMORLU
0.325645,0.283339,0.149728,TUMORLU
0.895204,0.896626,0.190460,TUMORLU
0.267459,0.278348,0.886314,TUMORLU
0.963593,0.958846,0.098778,TUMORLU
0.383525,0.315964,0.478915,TUMORLU
0.944569,0.946615,0.069073,TUMORLU
0.454598,0.446729,0.055549,TUMORLU
0.962615,0.962545,0.072293,TUMORLU
0.427044,0.368675,0.421326,TUMORLU
0.938083,0.953479,0.080043,TUMORLU
0.484783,0.460325,0.154048,TUMORLU
0.954173,0.948247,0.062295,TUMORLU
0.134049,0.124643,0.438452,TUMORLU
0.934821,0.924224,0.074032,TUMORLU
0.130245,0.143656,0.791665,TUMORLU
0.957011,0.939816,0.025308,TUMORLU
0.121639,0.135463,0.746517,TUMORLU
0.956061,0.962407,0.073615,TUMORLU
0.339435,0.322933,0.750634,TUMORLU
0.928450,0.936645,0.104205,TUMORLU
0.402239,0.380312,0.128966,TUMORLU
0.948775,0.955092,0.084723,TUMORLU
0.442129,0.384486,0.422534,TUMORLU
0.932300,0.936055,0.085673,TUMORLU
0.364154,0.301216,0.215624,TUMORLU
0.935445,0.944241,0.111347,TUMORLU
0.449566,0.441011,0.192294,TUMORLU
0.885964,0.893000,0.173912,TUMORLU
0.167277,0.121040,0.414142,TUMORLU
0.963120,0.946642,0.109806,TUMORLU
0.246998,0.210893,0.746780,TUMORLU
0.918522,0.931170,0.048597,TUMORLU
0.229680,0.205098,0.661344,TUMORLU
0.936587,0.934226,0.019018,TUMORLU
0.286670,0.257943,0.620672,TUMORLU
0.954412,0.951052,0.103150,TUMORLU
0.143808,0.075143,0.169099,TUMORLU
0.964844,0.959025,0.064220,TUMORLU
0.263790,0.204797,0.394923,TUMORLU
0.948571,0.941839,0.056209,TUMORLU
0.285275,0.239011,0.498146,TUMORLU
0.967173,0.967431,0.070697,TUMORLU
0.212678,0.172268,0.795942,TUMORLU
0.966668,0.961517,0.087130,TUMORLU
0.299649,0.242855,0.579715,TUMORLU
0.918851,0.928624,0.120635,TUMORLU
0.326295,0.281310,0.895987,TUMORLU
0.930263,0.939008,0.029555,TUMORLU
0.132073,0.142538,0.785503,TUMORLU
0.982732,0.971169,0.023107,TUMORLU
0.291282,0.231889,0.542286,TUMORLU
0.978130,0.976022,0.035888,TUMORLU
0.206310,0.186114,0.602595,TUMORLU
0.934244,0.930536,0.129494,TUMORLU
0.343015,0.329942,0.791805,TUMORLU
0.891014,0.906637,0.241620,TUMORLU
0.148815,0.148647,0.603651,TUMORLU
0.977936,0.969230,0.038255,TUMORLU
0.194141,0.159122,0.599416,TUMORLU
0.964941,0.974558,0.058745,TUMORLU
0.243054,0.189871,0.562317,TUMORLU
0.973404,0.967251,0.063390,TUMORLU
0.216313,0.184745,0.913078,TUMORLU
0.966280,0.968738,0.111558,TUMORLU
0.267489,0.252192,0.820299,TUMORLU
0.937060,0.932541,0.077842,TUMORLU
0.053193,0.058461,0.322167,TUMORLU
0.212940,0.228951,0.728850,TUMORLU
0.957350,0.951213,0.040206,TUMORLU
0.214979,0.189662,0.785078,TUMORLU
0.921317,0.917713,0.151947,TUMORLU
0.132329,0.146777,0.808867,TUMORLU
0.969469,0.970774,0.088843,TUMORLU
0.246884,0.190766,0.658243,TUMORLU
0.971869,0.970322,0.096204,TUMORLU
0.213930,0.180339,0.727942,TUMORLU
0.929022,0.927763,0.113059,TUMORLU
0.318588,0.270432,0.618399,TUMORLU
0.959069,0.971793,0.060237,TUMORLU
0.399087,0.356742,0.183295,TUMORLU
0.943463,0.941286,0.190967,TUMORLU
0.336145,0.281009,0.229137,TUMORLU
0.914162,0.907383,0.255134,TUMORLU
