@RELATION WAVELET_BAND_HH

@ATTRIBUTE HH_glcm_contrast NUMERIC
@ATTRIBUTE HH_glcm_dissimilarity NUMERIC
@ATTRIBUTE HH_glcm_homogeneity NUMERIC
@ATTRIBUTE HH_glcm_energy NUMERIC
@ATTRIBUTE HH_glcm_correlation NUMERIC
@ATTRIBUTE HH_glcm_ASM NUMERIC
@ATTRIBUTE class {BASLANGIC,NORMAL,TUMORLU}

@DATA
0.152568,0.344673,0.407492,0.233322,0.068071,0.106742,BASLANGIC
0.039528,0.017779,0.993123,0.994332,0.136454,0.990344,BASLANGIC
0.392760,0.532731,0.295354,0.171247,0.075900,0.070832,BASLANGIC
0.114040,0.047746,0.981167,0.983991,0.066415,0.972844,BASLANGIC
0.420066,0.540380,0.311119,0.193302,0.073173,0.082959,BASLANGIC
0.211799,0.094430,0.960986,0.967281,0.108223,0.944887,BASLANGIC
0.270139,0.468662,0.297394,0.155592,0.044659,0.062621,BASLANGIC
0.053563,0.022761,0.991668,0.993131,0.154070,0.988305,BASLANGIC
0.358796,0.523477,0.288676,0.157678,0.053224,0.063697,BASLANGIC
0.043439,0.018694,0.993026,0.993977,0.163982,0.989742,BASLANGIC
0.096496,0.155916,0.747881,0.654811,0.073360,0.494905,BASLANGIC
0.023051,0.012549,0.993525,0.994261,0.157241,0.990224,BASLANGIC
0.424225,0.543414,0.328891,0.235869,0.060967,0.108339,BASLANGIC
0.056767,0.022396,0.991968,0.993271,0.170029,0.988542,BASLANGIC
0.184401,0.346303,0.439453,0.262717,0.052238,0.125655,BASLANGIC
0.082543,0.037479,0.983770,0.986330,0.092887,0.976791,BASLANGIC
0.038587,0.015486,0.994811,0.995749,0.089882,0.992754,BASLANGIC
0.772765,0.839817,0.082669,0.029183,0.065961,0.009124,BASLANGIC
0.063013,0.024058,0.991689,0.992844,0.030889,0.987818,BASLANGIC
0.415968,0.570833,0.268276,0.167260,0.083290,0.068723,BASLANGIC
0.113167,0.045443,0.983141,0.985979,0.089497,0.976198,BASLANGIC
0.404142,0.548638,0.279337,0.153534,0.066288,0.061577,BASLANGIC
0.042810,0.019307,0.991473,0.992776,0.133382,0.987701,BASLANGIC
0.341546,0.507724,0.279767,0.140326,0.071360,0.054958,BASLANGIC
0.108881,0.042574,0.985870,0.988031,0.141698,0.979663,BASLANGIC
0.030761,0.008369,0.997883,0.998300,0.111923,0.997098,BASLANGIC
0.131469,0.270547,0.555720,0.421706,0.076423,0.249176,BASLANGIC
0.092394,0.041657,0.981249,0.983708,0.101581,0.972368,BASLANGIC
0.065400,0.144605,0.738277,0.624524,0.076168,0.458635,BASLANGIC
0.028611,0.012749,0.995082,0.995820,0.116190,0.992875,BASLANGIC
0.330996,0.547496,0.218252,0.105164,0.059267,0.038572,BASLANGIC
0.073416,0.031206,0.987839,0.989728,0.103260,0.982535,BASLANGIC
0.586873,0.711244,0.158722,0.093897,0.060270,0.033704,BASLANGIC
0.111992,0.056991,0.970924,0.974997,0.120408,0.957748,BASLANGIC
0.524760,0.658262,0.184169,0.103119,0.051530,0.037701,BASLANGIC
0.039605,0.018259,0.991952,0.993270,0.143200,0.988540,BASLANGIC
0.096424,0.257768,0.512922,0.320253,0.040850,0.166214,BASLANGIC
0.330666,0.143509,0.940530,0.949711,0.025904,0.915920,BASLANGIC
0.433207,0.568843,0.252597,0.124025,0.043756,0.047152,BASLANGIC
0.084715,0.037443,0.985138,0.987744,0.086334,0.979178,BASLANGIC
0.333305,0.509986,0.281023,0.149665,0.060358,0.059610,BASLANGIC
0.052654,0.022888,0.990744,0.991783,0.088885,0.986016,BASLANGIC
0.702065,0.754149,0.164794,0.102477,0.050092,0.037413,BASLANGIC
0.143626,0.062427,0.973339,0.976767,0.055498,0.960710,BASLANGIC
0.437629,0.586751,0.248572,0.142247,0.077773,0.055928,BASLANGIC
0.221942,0.092757,0.964810,0.971038,0.039406,0.951139,BASLANGIC
0.279597,0.468746,0.314607,0.162958,0.075180,0.066435,BASLANGIC
0.042706,0.016938,0.993854,0.994688,0.042490,0.990949,BASLANGIC
0.370161,0.523186,0.283263,0.154543,0.039203,0.062092,BASLANGIC
0.047828,0.019994,0.991749,0.993055,0.087668,0.988175,BASLANGIC
0.240777,0.413819,0.383490,0.252015,0.052023,0.118653,BASLANGIC
0.048748,0.021192,0.991254,0.992419,0.116668,0.987096,BASLANGIC
0.362810,0.549429,0.252761,0.133022,0.054356,0.051420,BASLANGIC
0.085559,0.041500,0.980281,0.982929,0.139817,0.971056,BASLANGIC
0.472125,0.625518,0.194918,0.081509,0.060640,0.028524,BASLANGIC
0.188613,0.080753,0.967567,0.972730,0.063759,0.953961,BASLANGIC
0.565730,0.668037,0.204423,0.112425,0.065206,0.041840,BASLANGIC
0.024023,0.011863,0.994729,0.995680,0.163440,0.992636,BASLANGIC
0.753115,0.846865,0.054716,0.017254,0.056860,0.005260,BASLANGIC
0.129459,0.047271,0.984870,0.987534,0.000000,0.978824,BASLANGIC
0.935253,0.898002,0.077528,0.027373,0.053436,0.008527,BASLANGIC
0.054091,0.023680,0.991376,0.992776,0.192905,0.987702,BASLANGIC
0.401434,0.501695,0.387321,0.288258,0.053104,0.143112,BASLANGIC
0.084987,0.036516,0.985574,0.987816,0.094367,0.979300,BASLANGIC
0.412459,0.557367,0.265543,0.155145,0.047045,0.062413,BASLANGIC
0.045542,0.017495,0.993702,0.994829,0.074830,0.991188,BASLANGIC
0.170184,0.372914,0.385077,0.224672,0.055594,0.101423,BASLANGIC
0.088484,0.037488,0.984558,0.986683,0.068108,0.977387,BASLANGIC
0.287113,0.452846,0.350275,0.204949,0.072423,0.089643,BASLANGIC
0.206410,0.088974,0.964564,0.970537,0.059348,0.950304,BASLANGIC
0.675372,0.795696,0.084848,0.023201,0.070901,0.007158,BASLANGIC
0.079805,0.029707,0.991288,0.992710,0.161131,0.987589,BASLANGIC
0.074790,0.196925,0.611135,0.405463,0.070598,0.234887,BASLANGIC
0.078054,0.037404,0.983302,0.985052,0.099977,0.974633,BASLANGIC
0.508552,0.623712,0.242344,0.139741,0.059090,0.054682,BASLANGIC
0.028362,0.013836,0.993764,0.994759,0.122786,0.991071,BASLANGIC
0.033344,0.015564,0.992765,0.993695,0.155833,0.989262,BASLANGIC
0.379771,0.482022,0.369768,0.224978,0.081714,0.101613,BASLANGIC
0.167044,0.069778,0.973547,0.977691,0.078974,0.962260,BASLANGIC
0.304675,0.497014,0.291097,0.153959,0.062680,0.061783,BASLANGIC
0.078063,0.037974,0.982037,0.984629,0.065268,0.973919,BASLANGIC
0.167669,0.378909,0.364459,0.197163,0.066798,0.085153,BASLANGIC
0.052799,0.021441,0.992830,0.994120,0.072870,0.989984,BASLANGIC
0.244158,0.439807,0.323108,0.171943,0.061947,0.071199,BASLANGIC
0.030214,0.017703,0.989236,0.990576,0.030324,0.983971,BASLANGIC
0.161834,0.305682,0.512746,0.366775,0.075123,0.202437,BASLANGIC
0.092741,0.039786,0.984406,0.987178,0.088283,0.978221,BASLANGIC
0.320018,0.508833,0.271432,0.141539,0.052468,0.055556,BASLANGIC
0.049509,0.021164,0.991749,0.993202,0.038080,0.988424,BASLANGIC
0.349737,0.524899,0.273763,0.144449,0.068036,0.057006,BASLANGIC
0.040040,0.016851,0.993354,0.994333,0.107590,0.990346,BASLANGIC
0.357585,0.498048,0.327464,0.194722,0.061769,0.083782,BASLANGIC
0.026318,0.011065,0.995568,0.996174,0.055732,0.993477,BASLANGIC
0.367656,0.565682,0.230885,0.129857,0.076172,0.049904,BASLANGIC
0.133499,0.054155,0.981385,0.984495,0.125788,0.973694,BASLANGIC
0.050733,0.022245,0.991743,0.993127,0.098101,0.988298,BASLANGIC
0.309630,0.470466,0.347768,0.220875,0.060992,0.099107,BASLANGIC
0.092112,0.035865,0.986325,0.988245,0.160199,0.980026,BASLANGIC
0.046583,0.019789,0.992784,0.994192,0.099173,0.990106,BASLANGIC
0.172107,0.392183,0.343328,0.182736,0.044607,0.077058,BASLANGIC
0.081803,0.035909,0.986088,0.988311,0.140653,0.980136,BASLANGIC
0.400995,0.559927,0.255968,0.125307,0.052711,0.047745,BASLANGIC
0.058292,0.023413,0.991743,0.993198,0.057859,0.988419,BASLANGIC
0.355316,0.537819,0.250147,0.130673,0.061916,0.050287,BASLANGIC
0.172752,0.073107,0.972309,0.976493,0.122436,0.960253,BASLANGIC
0.152713,0.330291,0.437617,0.261116,0.051081,0.124599,BASLANGIC
0.171583,0.077639,0.967012,0.972660,0.045838,0.953845,BASLANGIC
0.180438,0.358226,0.423447,0.266232,0.073380,0.128000,BASLANGIC
0.105826,0.043128,0.983472,0.986045,0.006773,0.976310,BASLANGIC
0.200639,0.083002,0.968566,0.973586,0.079913,0.955390,BASLANGIC
0.523925,0.645318,0.204367,0.113025,0.051983,0.042090,BASLANGIC
0.064297,0.033750,0.982915,0.985690,0.057464,0.975709,BASLANGIC
0.407482,0.562419,0.262124,0.159459,0.059756,0.064657,BASLANGIC
0.075919,0.037826,0.982915,0.985620,0.168773,0.975591,BASLANGIC
0.065091,0.028111,0.988697,0.990225,0.098712,0.983377,BASLANGIC
0.198140,0.403116,0.353461,0.199970,0.046280,0.086772,BASLANGIC
0.047159,0.021152,0.991466,0.992773,0.142769,0.987697,BASLANGIC
0.350407,0.525804,0.270975,0.148574,0.042815,0.059064,BASLANGIC
0.091614,0.039782,0.984392,0.987180,0.055616,0.978226,BASLANGIC
0.390559,0.562278,0.241599,0.115106,0.065234,0.043030,BASLANGIC
0.146761,0.061841,0.976674,0.980028,0.121160,0.966180,BASLANGIC
0.584549,0.703307,0.157031,0.078807,0.073505,0.027439,BASLANGIC
0.055190,0.024414,0.990887,0.992349,0.110029,0.986977,BASLANGIC
0.225247,0.421155,0.338988,0.185033,0.054324,0.078324,BASLANGIC
0.084399,0.032812,0.989212,0.990792,0.108754,0.984336,BASLANGIC
0.448552,0.575737,0.265739,0.147780,0.061549,0.058662,BASLANGIC
0.086211,0.032896,0.989831,0.991715,0.080849,0.985902,BASLANGIC
0.607611,0.701332,0.199927,0.118608,0.064966,0.044650,BASLANGIC
0.067726,0.027905,0.989273,0.990932,0.112220,0.984574,BASLANGIC
0.310665,0.515736,0.249038,0.127243,0.046991,0.048663,BASLANGIC
0.088659,0.036878,0.986504,0.988526,0.091340,0.980500,BASLANGIC
0.666581,0.727768,0.173546,0.083818,0.065611,0.029473,BASLANGIC
0.170059,0.069380,0.975402,0.979464,0.074577,0.965233,BASLANGIC
0.269967,0.426429,0.392103,0.262788,0.049780,0.125704,BASLANGIC
0.135264,0.061784,0.974850,0.979103,0.099725,0.964627,BASLANGIC
0.272951,0.442085,0.371558,0.254482,0.058191,0.120250,BASLANGIC
0.046709,0.021561,0.990904,0.992418,0.064032,0.987095,BASLANGIC
0.685350,0.807610,0.085934,0.046194,0.067847,0.015025,BASLANGIC
0.059684,0.023777,0.991779,0.993341,0.007523,0.988662,BASLANGIC
0.517272,0.634679,0.220389,0.122621,0.060624,0.046495,BASLANGIC
0.081659,0.035312,0.986387,0.988596,0.086028,0.980619,BASLANGIC
0.300810,0.518033,0.243037,0.121423,0.059128,0.045935,BASLANGIC
0.126904,0.050463,0.982163,0.984138,0.107130,0.973092,BASLANGIC
0.221134,0.438577,0.307872,0.166412,0.043477,0.068255,BASLANGIC
0.038273,0.018302,0.991250,0.992490,0.120790,0.987216,BASLANGIC
0.271325,0.470347,0.291830,0.152779,0.055163,0.061192,BASLANGIC
0.066026,0.025611,0.991362,0.992775,0.131506,0.987699,BASLANGIC
0.459055,0.590089,0.262607,0.159809,0.076625,0.064815,BASLANGIC
0.101389,0.039765,0.986686,0.988883,0.094514,0.981104,BASLANGIC
0.597701,0.762882,0.078180,0.021997,0.057091,0.006767,BASLANGIC
0.047285,0.021159,0.991431,0.992631,0.117990,0.987455,BASLANGIC
0.211180,0.410424,0.344589,0.188304,0.051233,0.080143,BASLANGIC
0.062832,0.025132,0.991712,0.993343,0.113371,0.988664,BASLANGIC
0.335122,0.443386,0.415464,0.293201,0.066687,0.146566,BASLANGIC
0.025813,0.010816,0.996072,0.996742,0.189621,0.994445,BASLANGIC
0.237825,0.447970,0.301489,0.149348,0.046387,0.059445,BASLANGIC
0.082798,0.032250,0.988890,0.990367,0.098939,0.983617,BASLANGIC
0.215991,0.402888,0.355552,0.197192,0.038334,0.085178,BASLANGIC
0.114808,0.047500,0.982355,0.984912,0.088901,0.974398,BASLANGIC
0.435162,0.590972,0.235586,0.122435,0.043462,0.046406,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.542422,0.618782,0.271016,0.174614,0.061255,0.072647,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.617110,0.748464,0.114703,0.041026,0.064139,0.013184,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.213630,0.440928,0.288604,0.143022,0.052597,0.056285,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.447719,0.638679,0.173306,0.076863,0.057595,0.026650,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.133026,0.318734,0.441448,0.263455,0.033754,0.126148,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.260863,0.430873,0.370924,0.218362,0.060259,0.097609,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.341509,0.434006,0.464650,0.359640,0.073891,0.196688,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.440314,0.479926,0.452684,0.374141,0.062554,0.208461,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.566432,0.710635,0.135323,0.055080,0.054725,0.018248,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.189942,0.423648,0.301692,0.146370,0.061106,0.057958,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.217698,0.455353,0.276351,0.135297,0.061708,0.052507,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.675355,0.821047,0.053731,0.006231,0.067372,0.001833,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.488741,0.623176,0.215344,0.105725,0.065218,0.038822,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.401793,0.589638,0.214998,0.107186,0.053631,0.039466,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.523522,0.630525,0.231120,0.130148,0.055464,0.050042,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.414318,0.503730,0.378331,0.284614,0.045739,0.140555,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.481347,0.644619,0.180131,0.082614,0.061110,0.028997,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.733553,0.810331,0.106669,0.062256,0.063003,0.020970,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.615697,0.667677,0.257043,0.168049,0.062511,0.069116,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.616529,0.721686,0.161769,0.084389,0.057299,0.029730,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.742891,0.825021,0.080996,0.025096,0.058479,0.007783,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.596912,0.719851,0.132350,0.048452,0.056453,0.015820,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.149348,0.330557,0.441191,0.283469,0.055053,0.139763,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.287864,0.478517,0.301425,0.162822,0.060619,0.066364,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.530051,0.662135,0.187011,0.085044,0.074017,0.029986,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.542215,0.672007,0.179581,0.083477,0.055137,0.029354,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.575850,0.607314,0.308890,0.214393,0.062170,0.095223,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.355258,0.513215,0.326019,0.225676,0.074936,0.102057,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.084116,0.177508,0.675980,0.530904,0.098356,0.354689,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.181758,0.399047,0.336997,0.176622,0.058092,0.073723,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.295945,0.496334,0.272361,0.141970,0.059178,0.055770,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.472843,0.645335,0.167466,0.066330,0.079154,0.022498,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.553296,0.657371,0.218597,0.127098,0.055893,0.048637,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.709676,0.811466,0.066450,0.015704,0.067199,0.004758,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.397609,0.543175,0.277574,0.155238,0.063354,0.062453,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.452375,0.582986,0.274593,0.171936,0.054050,0.071219,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.448443,0.604366,0.227827,0.115725,0.080996,0.043313,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.538656,0.647967,0.223469,0.121398,0.078146,0.045938,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.497212,0.662857,0.171226,0.078993,0.065122,0.027524,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.472413,0.643396,0.170941,0.075252,0.041777,0.026018,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.348772,0.516089,0.290568,0.167940,0.057264,0.069057,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.443559,0.599355,0.237550,0.145056,0.058250,0.057320,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.434207,0.630373,0.166412,0.073439,0.052298,0.025284,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.633601,0.708184,0.193504,0.110942,0.059012,0.041147,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.518238,0.653020,0.204247,0.112088,0.053428,0.041694,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.582120,0.699539,0.157721,0.066539,0.070592,0.022586,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.438798,0.618612,0.185080,0.090716,0.049503,0.032346,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.508792,0.616731,0.267084,0.189199,0.068104,0.080703,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.558282,0.665887,0.201035,0.096475,0.049162,0.034785,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.485943,0.619472,0.227482,0.117854,0.075264,0.044278,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.324290,0.491234,0.336588,0.211963,0.068488,0.093781,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.535833,0.647520,0.222231,0.122872,0.051126,0.046603,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.495489,0.617885,0.220621,0.097478,0.068398,0.035215,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.887344,0.874862,0.081393,0.027079,0.057239,0.008430,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
