@RELATION SINGLE_HH_ENERGY

@ATTRIBUTE HH_energy NUMERIC
@ATTRIBUTE class {BASLANGIC,NORMAL,TUMORLU}

@DATA
0.992844,BASLANGIC
0.167260,BASLANGIC
0.985979,BASLANGIC
0.153534,BASLANGIC
0.992776,BASLANGIC
0.140326,BASLANGIC
0.988031,BASLANGIC
0.998300,BASLANGIC
0.421706,BASLANGIC
0.983708,BASLANGIC
0.624524,BASLANGIC
0.995820,BASLANGIC
0.105164,BASLANGIC
0.989728,BASLANGIC
0.093897,BASLANGIC
0.974997,BASLANGIC
0.103119,BASLANGIC
0.993270,BASLANGIC
0.320253,BASLANGIC
0.949711,BASLANGIC
0.124025,BASLANGIC
0.987744,BASLANGIC
0.149665,BASLANGIC
0.991783,BASLANGIC
0.102477,BASLANGIC
0.976767,BASLANGIC
0.142247,BASLANGIC
0.971038,BASLANGIC
0.162958,BASLANGIC
0.994688,BASLANGIC
0.154543,BASLANGIC
0.993055,BASLANGIC
0.252015,BASLANGIC
0.992419,BASLANGIC
0.133022,BASLANGIC
0.982929,BASLANGIC
0.081509,BASLANGIC
0.972730,BASLANGIC
0.112425,BASLANGIC
0.995680,BASLANGIC
0.017254,BASLANGIC
0.987534,BASLANGIC
0.027373,BASLANGIC
0.992776,BASLANGIC
0.288258,BASLANGIC
0.987816,BASLANGIC
0.155145,BASLANGIC
0.994829,BASLANGIC
0.224672,BASLANGIC
0.986683,BASLANGIC
0.204949,BASLANGIC
0.970537,BASLANGIC
0.023201,BASLANGIC
0.992710,BASLANGIC
0.405463,BASLANGIC
0.985052,BASLANGIC
0.139741,BASLANGIC
0.994759,BASLANGIC
0.993695,BASLANGIC
0.224978,BASLANGIC
0.977691,BASLANGIC
0.153959,BASLANGIC
0.984629,BASLANGIC
0.197163,BASLANGIC
0.994120,BASLANGIC
0.171943,BASLANGIC
0.990576,BASLANGIC
0.366775,BASLANGIC
0.987178,BASLANGIC
0.141539,BASLANGIC
0.993202,BASLANGIC
0.144449,BASLANGIC
0.994333,BASLANGIC
0.194722,BASLANGIC
0.996174,BASLANGIC
0.129857,BASLANGIC
0.984495,BASLANGIC
0.993127,BASLANGIC
0.220875,BASLANGIC
0.988245,BASLANGIC
0.994192,BASLANGIC
0.182736,BASLANGIC
0.988311,BASLANGIC
0.125307,BASLANGIC
0.993198,BASLANGIC
0.130673,BASLANGIC
0.976493,BASLANGIC
0.261116,BASLANGIC
0.972660,BASLANGIC
0.266232,BASLANGIC
0.986045,BASLANGIC
0.973586,BASLANGIC
0.113025,BASLANGIC
0.985690,BASLANGIC
0.159459,BASLANGIC
0.985620,BASLANGIC
0.990225,BASLANGIC
0.199970,BASLANGIC
0.992773,BASLANGIC
0.148574,BASLANGIC
0.987180,BASLANGIC
0.115106,BASLANGIC
0.980028,BASLANGIC
0.078807,BASLANGIC
0.992349,BASLANGIC
0.185033,BASLANGIC
0.990792,BASLANGIC
0.147780,BASLANGIC
0.991715,BASLANGIC
0.118608,BASLANGIC
0.990932,BASLANGIC
0.127243,BASLANGIC
0.988526,BASLANGIC
0.083818,BASLANGIC
0.979464,BASLANGIC
0.262788,BASLANGIC
0.979103,BASLANGIC
0.254482,BASLANGIC
0.992418,BASLANGIC
0.046194,BASLANGIC
0.993341,BASLANGIC
0.122621,BASLANGIC
0.988596,BASLANGIC
0.121423,BASLANGIC
0.984138,BASLANGIC
0.166412,BASLANGIC
0.992490,BASLANGIC
0.152779,BASLANGIC
0.992775,BASLANGIC
0.159809,BASLANGIC
0.988883,BASLANGIC
0.021997,BASLANGIC
0.992631,BASLANGIC
0.188304,BASLANGIC
0.993343,BASLANGIC
0.293201,BASLANGIC
0.996742,BASLANGIC
0.149348,BASLANGIC
0.990367,BASLANGIC
0.197192,BASLANGIC
0.984912,BASLANGIC
0.122435,NORMAL
1.000000,NORMAL
0.174614,NORMAL
1.000000,NORMAL
0.041026,NORMAL
1.000000,NORMAL
0.143022,NORMAL
1.000000,NORMAL
0.076863,NORMAL
1.000000,NORMAL
0.263455,NORMAL
1.000000,NORMAL
0.218362,NORMAL
1.000000,NORMAL
0.359640,NORMAL
1.000000,NORMAL
0.374141,NORMAL
1.000000,NORMAL
0.055080,NORMAL
1.000000,NORMAL
0.146370,NORMAL
1.000000,NORMAL
0.135297,NORMAL
1.000000,NORMAL
0.006231,NORMAL
1.000000,NORMAL
0.105725,NORMAL
1.000000,NORMAL
0.107186,NORMAL
1.000000,NORMAL
0.130148,NORMAL
1.000000,NORMAL
0.284614,NORMAL
1.000000,NORMAL
0.082614,NORMAL
1.000000,NORMAL
0.062256,NORMAL
1.000000,NORMAL
0.168049,NORMAL
1.000000,NORMAL
0.084389,NORMAL
1.000000,NORMAL
0.025096,NORMAL
1.000000,NORMAL
0.048452,NORMAL
1.000000,NORMAL
0.283469,NORMAL
1.000000,NORMAL
0.162822,NORMAL
1.000000,NORMAL
0.085044,NORMAL
1.000000,NORMAL
0.083477,NORMAL
1.000000,NORMAL
0.214393,NORMAL
1.000000,NORMAL
0.225676,NORMAL
1.000000,NORMAL
0.530904,NORMAL
1.000000,NORMAL
0.176622,NORMAL
1.000000,NORMAL
0.141970,NORMAL
1.000000,NORMAL
0.066330,NORMAL
1.000000,NORMAL
0.127098,NORMAL
1.000000,NORMAL
0.015704,NORMAL
1.000000,NORMAL
0.155238,NORMAL
1.000000,NORMAL
0.171936,NORMAL
1.000000,NORMAL
0.115725,NORMAL
1.000000,NORMAL
0.121398,NORMAL
1.000000,NORMAL
0.078993,NORMAL
1.000000,NORMAL
0.075252,NORMAL
1.000000,NORMAL
0.167940,NORMAL
1.000000,NORMAL
0.145056,NORMAL
1.000000,NORMAL
0.073439,NORMAL
1.000000,NORMAL
0.110942,NORMAL
1.000000,NORMAL
0.112088,NORMAL
1.000000,NORMAL
0.066539,NORMAL
1.000000,NORMAL
0.090716,NORMAL
1.000000,NORMAL
0.189199,NORMAL
1.000000,NORMAL
0.096475,NORMAL
1.000000,NORMAL
0.117854,NORMAL
1.000000,NORMAL
0.211963,NORMAL
1.000000,NORMAL
0.122872,NORMAL
1.000000,NORMAL
0.097478,NORMAL
1.000000,NORMAL
0.027079,NORMAL
1.000000,NORMAL
0.097626,NORMAL
1.000000,NORMAL
0.078306,NORMAL
1.000000,NORMAL
0.205839,NORMAL
1.000000,NORMAL
0.157709,NORMAL
1.000000,NORMAL
0.079973,NORMAL
1.000000,NORMAL
0.050975,NORMAL
1.000000,NORMAL
0.150123,NORMAL
1.000000,NORMAL
0.192345,NORMAL
1.000000,NORMAL
0.178695,NORMAL
1.000000,NORMAL
0.065702,NORMAL
1.000000,NORMAL
0.214750,NORMAL
1.000000,NORMAL
0.192845,NORMAL
1.000000,NORMAL
0.114186,NORMAL
1.000000,NORMAL
0.173422,NORMAL
1.000000,NORMAL
0.192045,NORMAL
1.000000,NORMAL
0.086196,NORMAL
1.000000,NORMAL
0.230054,NORMAL
1.000000,NORMAL
0.109913,NORMAL
1.000000,NORMAL
0.089882,NORMAL
1.000000,NORMAL
0.100510,NORMAL
1.000000,NORMAL
0.293555,NORMAL
1.000000,NORMAL
0.104843,NORMAL
1.000000,NORMAL
0.202368,NORMAL
1.000000,NORMAL
0.152450,NORMAL
1.000000,NORMAL
0.100235,NORMAL
1.000000,NORMAL
0.167452,NORMAL
1.000000,NORMAL
0.000000,NORMAL
1.000000,NORMAL
0.128411,NORMAL
1.000000,NORMAL
0.039426,NORMAL
1.000000,NORMAL
0.035488,NORMAL
1.000000,NORMAL
0.106308,NORMAL
1.000000,NORMAL
0.289629,NORMAL
1.000000,NORMAL
0.210440,NORMAL
1.000000,NORMAL
0.100468,NORMAL
1.000000,NORMAL
0.164132,NORMAL
1.000000,NORMAL
0.243506,NORMAL
1.000000,NORMAL
0.033763,NORMAL
1.000000,NORMAL
0.012924,NORMAL
1.000000,NORMAL
0.053179,NORMAL
1.000000,NORMAL
0.257094,NORMAL
1.000000,NORMAL
0.101395,NORMAL
1.000000,NORMAL
0.120260,NORMAL
1.000000,NORMAL
0.087884,NORMAL
1.000000,NORMAL
0.079855,NORMAL
1.000000,NORMAL
0.261460,NORMAL
1.000000,NORMAL
0.153674,NORMAL
1.000000,NORMAL
0.037945,NORMAL
1.000000,NORMAL
0.111092,NORMAL
1.000000,NORMAL
0.151934,NORMAL
1.000000,NORMAL
0.229952,NORMAL
1.000000,NORMAL
0.076651,NORMAL
1.000000,NORMAL
0.096140,NORMAL
1.000000,NORMAL
0.174696,NORMAL
1.000000,NORMAL
0.097591,NORMAL
1.000000,NORMAL
0.062051,NORMAL
1.000000,NORMAL
0.031757,NORMAL
1.000000,NORMAL
0.160276,NORMAL
1.000000,NORMAL
0.037882,NORMAL
1.000000,NORMAL
0.168017,NORMAL
1.000000,NORMAL
0.059025,NORMAL
1.000000,NORMAL
0.022113,NORMAL
1.000000,NORMAL
0.157135,NORMAL
1.000000,NORMAL
0.151856,NORMAL
1.000000,NORMAL
0.096238,NORMAL
1.000000,NORMAL
0.541537,NORMAL
1.000000,NORMAL
0.062189,NORMAL
1.000000,NORMAL
0.201742,NORMAL
1.000000,NORMAL
0.166729,NORMAL
1.000000,NORMAL
0.111129,NORMAL
1.000000,NORMAL
0.140876,NORMAL
1.000000,NORMAL
0.025354,NORMAL
1.000000,NORMAL
0.963182,TUMORLU
0.226938,TUMORLU
0.951134,TUMORLU
0.377529,TUMORLU
0.980875,TUMORLU
0.149319,TUMORLU
0.978818,TUMORLU
0.344725,TUMORLU
0.981938,TUMORLU
0.273636,TUMORLU
0.979743,TUMORLU
0.138335,TUMORLU
0.982855,TUMORLU
0.140757,TUMORLU
0.978888,TUMORLU
0.312724,TUMORLU
0.979881,TUMORLU
0.219340,TUMORLU
0.988096,TUMORLU
0.224625,TUMORLU
0.972087,TUMORLU
0.166452,TUMORLU
0.984767,TUMORLU
0.171766,TUMORLU
0.973365,TUMORLU
0.339900,TUMORLU
0.965007,TUMORLU
0.372081,TUMORLU
0.959986,TUMORLU
0.281013,TUMORLU
0.955387,TUMORLU
0.147011,TUMORLU
0.985339,TUMORLU
0.167633,TUMORLU
0.977689,TUMORLU
0.157026,TUMORLU
0.959416,TUMORLU
0.110931,TUMORLU
0.971812,TUMORLU
0.244868,TUMORLU
0.964519,TUMORLU
0.122652,TUMORLU
0.966428,TUMORLU
0.210171,TUMORLU
0.950006,TUMORLU
0.151953,TUMORLU
0.955456,TUMORLU
0.109208,TUMORLU
0.951493,TUMORLU
0.146708,TUMORLU
0.985480,TUMORLU
0.070455,TUMORLU
0.986047,TUMORLU
0.060532,TUMORLU
0.985906,TUMORLU
0.273071,TUMORLU
0.963304,TUMORLU
0.225049,TUMORLU
0.955245,TUMORLU
0.268958,TUMORLU
0.945095,TUMORLU
0.112841,TUMORLU
0.961123,TUMORLU
0.101252,TUMORLU
0.947524,TUMORLU
0.247965,TUMORLU
0.980656,TUMORLU
0.130874,TUMORLU
0.968624,TUMORLU
0.419435,TUMORLU
0.975704,TUMORLU
0.408324,TUMORLU
0.968194,TUMORLU
0.235770,TUMORLU
0.986968,TUMORLU
0.226961,TUMORLU
0.968559,TUMORLU
0.287475,TUMORLU
0.972665,TUMORLU
0.336646,TUMORLU
0.971518,TUMORLU
0.080326,TUMORLU
0.969194,TUMORLU
0.249291,TUMORLU
0.956443,TUMORLU
0.248360,TUMORLU
0.987392,TUMORLU
0.191608,TUMORLU
0.966869,TUMORLU
0.133513,TUMORLU
0.980454,TUMORLU
0.163983,TUMORLU
0.963178,TUMORLU
0.117897,TUMORLU
0.983706,TUMORLU
0.089621,TUMORLU
0.974855,TUMORLU
0.245041,TUMORLU
0.975846,TUMORLU
0.028215,TUMORLU
0.975352,TUMORLU
0.134648,TUMORLU
0.971526,TUMORLU
0.182159,TUMORLU
0.994899,TUMORLU
0.977051,TUMORLU
0.216621,TUMORLU
0.983350,TUMORLU
0.083289,TUMORLU
0.980944,TUMORLU
0.125711,TUMORLU
0.965785,TUMORLU
0.093635,TUMORLU
0.975990,TUMORLU
0.117383,TUMORLU
0.971035,TUMORLU
0.290634,TUMORLU
0.967361,TUMORLU
0.244323,TUMORLU
0.966009,TUMORLU
0.202718,TUMORLU
0.983712,TUMORLU
0.168135,TUMORLU
0.963239,TUMORLU
0.307698,TUMORLU
0.967937,TUMORLU
0.468261,TUMORLU
0.970325,TUMORLU
0.223694,TUMORLU
0.985409,TUMORLU
0.041161,TUMORLU
0.979178,TUMORLU
0.253998,TUMORLU
0.983925,TUMORLU
0.294354,TUMORLU
0.964730,TUMORLU
0.341230,TUMORLU
0.974288,TUMORLU
0.399752,TUMORLU
0.981935,TUMORLU
0.282247,TUMORLU
0.960549,TUMORLU
0.313324,TUMORLU
0.960978,TUMORLU
0.118821,TUMORLU
0.985479,TUMORLU
0.210430,TUMORLU
0.981303,TUMORLU
0.149553,TUMORLU
0.966215,TUMORLU
0.393296,TUMORLU
0.968210,TUMORLU
0.127033,TUMORLU
0.982012,TUMORLU
0.277260,TUMORLU
0.979106,TUMORLU
0.207246,TUMORLU
0.971031,TUMORLU
0.077416,TUMORLU
0.971808,TUMORLU
0.270563,TUMORLU
0.979532,TUMORLU
0.267728,TUMORLU
0.963589,TUMORLU
0.381362,TUMORLU
0.983999,TUMORLU
0.072879,TUMORLU
0.972170,TUMORLU
0.172444,TUMORLU
0.966011,TUMORLU
0.035042,TUMORLU
0.960072,TUMORLU
0.205205,TUMORLU
0.976062,TUMORLU
0.214441,TUMORLU
0.987040,TUMORLU
0.222431,TUMORLU
0.954754,TUMORLU
0.109878,TUMORLU
0.974866,TUMORLU
0.165371,TUMORLU
0.965579,TUMORLU
0.274527,TUMORLU
0.978254,TUMORLU
0.081493,TUMORLU
0.974289,TUMORLU
0.045209,TUMORLU
0.964445,TUMORLU
0.304425,TUMORLU
0.967924,TUMORLU
0.187623,TUMORLU
0.965715,TUMORLU
0.338780,TUMORLU
0.966929,TUMORLU
0.211114,TUMORLU
0.986192,TUMORLU
0.126021,TUMORLU
0.978465,TUMORLU
0.183701,TUMORLU
0.977052,TUMORLU
0.152602,TUMORLU
0.961971,TUMORLU
0.116260,TUMORLU
0.971463,TUMORLU
0.057783,TUMORLU
0.964795,TUMORLU
0.040890,TUMORLU
0.961890,TUMORLU
0.068499,TUMORLU
0.987460,TUMORLU
0.183651,TUMORLU
0.974784,TUMORLU
0.153387,TUMORLU
0.965928,TUMORLU
0.243803,TUMORLU
0.970396,TUMORLU
0.164599,TUMORLU
0.977897,TUMORLU
0.357120,TUMORLU
0.987460,TUMORLU
0.398345,TUMORLU
0.963236,TUMORLU
0.147069,TUMORLU
0.990649,TUMORLU
0.215890,TUMORLU
0.979674,TUMORLU
0.285993,TUMORLU
0.965151,TUMORLU
0.131293,TUMORLU
0.970467,TUMORLU
0.175657,TUMORLU
0.982360,TUMORLU
0.243550,TUMORLU
0.974710,TUMORLU
0.168844,TUMORLU
0.978682,TUMORLU
0.193192,TUMORLU
0.973167,TUMORLU
0.147885,TUMORLU
0.967919,TUMORLU
0.084643,TUMORLU
0.992207,TUMORLU
0.175262,TUMORLU
0.968129,TUMORLU
0.230743,TUMORLU
0.959200,TUMORLU
0.422486,TUMORLU
0.968835,TUMORLU
0.071746,TUMORLU
0.985552,TUMORLU
0.180289,TUMORLU
0.980313,TUMORLU
