@RELATION SINGLE_LL_CORRELATION

@ATTRIBUTE LL_correlation NUMERIC
@ATTRIBUTE class {BASLANGIC,NORMAL,TUMORLU}

@DATA
1.000000,NORMAL
0.918987,NORMAL
1.000000,NORMAL
0.811926,NORMAL
1.000000,NORMAL
0.918008,NORMAL
1.000000,NORMAL
0.760990,NORMAL
1.000000,NORMAL
0.870442,NORMAL
1.000000,NORMAL
0.764545,NORMAL
1.000000,NORMAL
0.868895,NORMAL
1.000000,NORMAL
0.743535,NORMAL
1.000000,NORMAL
0.912291,NORMAL
1.000000,NORMAL
0.915699,NORMAL
1.000000,NORMAL
0.673651,NORMAL
1.000000,NORMAL
0.767704,NORMAL
1.000000,NORMAL
0.917137,NORMAL
1.000000,NORMAL
0.919750,NORMAL
1.000000,NORMAL
0.760121,NORMAL
1.000000,NORMAL
0.810375,NORMAL
1.000000,NORMAL
0.797230,NORMAL
1.000000,NORMAL
0.475916,NORMAL
1.000000,NORMAL
0.931123,NORMAL
1.000000,NORMAL
0.594325,NORMAL
1.000000,NORMAL
0.757924,NORMAL
1.000000,NORMAL
0.615707,NORMAL
1.000000,NORMAL
0.807864,NORMAL
1.000000,NORMAL
0.608420,NORMAL
1.000000,NORMAL
0.699780,NORMAL
1.000000,NORMAL
0.848768,NORMAL
1.000000,NORMAL
0.835027,NORMAL
1.000000,NORMAL
0.866931,NORMAL
1.000000,NORMAL
0.544054,NORMAL
1.000000,NORMAL
0.765903,NORMAL
1.000000,NORMAL
0.593725,NORMAL
1.000000,NORMAL
0.541374,NORMAL
1.000000,NORMAL
0.809198,NORMAL
1.000000,NORMAL
0.824213,NORMAL
1.000000,NORMAL
0.843190,NORMAL
1.000000,NORMAL
0.713492,NORMAL
1.000000,NORMAL
0.813206,NORMAL
1.000000,NORMAL
0.680690,NORMAL
1.000000,NORMAL
0.682313,NORMAL
1.000000,NORMAL
0.794802,NORMAL
1.000000,NORMAL
0.785923,NORMAL
1.000000,NORMAL
0.762131,NORMAL
1.000000,NORMAL
0.874842,NORMAL
1.000000,NORMAL
0.876078,NORMAL
1.000000,NORMAL
0.828402,NORMAL
1.000000,NORMAL
0.636501,NORMAL
1.000000,NORMAL
0.708830,NORMAL
1.000000,NORMAL
0.871458,NORMAL
1.000000,NORMAL
0.880706,NORMAL
1.000000,NORMAL
0.777234,NORMAL
1.000000,NORMAL
0.913662,NORMAL
1.000000,NORMAL
0.885174,NORMAL
1.000000,NORMAL
0.778475,NORMAL
1.000000,NORMAL
0.863401,NORMAL
1.000000,NORMAL
0.886186,NORMAL
1.000000,NORMAL
0.756197,NORMAL
1.000000,NORMAL
0.641355,NORMAL
1.000000,NORMAL
0.722911,NORMAL
1.000000,NORMAL
0.529689,NORMAL
1.000000,NORMAL
0.380181,NORMAL
1.000000,NORMAL
0.813992,NORMAL
1.000000,NORMAL
0.708413,NORMAL
1.000000,NORMAL
0.788519,NORMAL
1.000000,NORMAL
0.339415,NORMAL
1.000000,NORMAL
0.900141,NORMAL
1.000000,NORMAL
0.802784,NORMAL
1.000000,NORMAL
0.894982,NORMAL
1.000000,NORMAL
0.814259,NORMAL
1.000000,NORMAL
0.652759,NORMAL
1.000000,NORMAL
0.806461,NORMAL
1.000000,NORMAL
0.879032,NORMAL
1.000000,NORMAL
0.859444,NORMAL
1.000000,NORMAL
0.625154,NORMAL
1.000000,NORMAL
0.871772,TUMORLU
0.868671,TUMORLU
0.873176,TUMORLU
0.962364,TUMORLU
0.784185,TUMORLU
0.949082,TUMORLU
0.792689,TUMORLU
0.945438,TUMORLU
0.772129,TUMORLU
0.948588,TUMORLU
0.762232,TUMORLU
0.947921,TUMORLU
0.770149,TUMORLU
0.952754,TUMORLU
0.775732,TUMORLU
0.950415,TUMORLU
0.802899,TUMORLU
0.679001,TUMORLU
0.728414,TUMORLU
0.604648,TUMORLU
0.772669,TUMORLU
0.682036,TUMORLU
0.726871,TUMORLU
0.701130,TUMORLU
0.792443,TUMORLU
0.840981,TUMORLU
0.862847,TUMORLU
0.750659,TUMORLU
0.872384,TUMORLU
0.899965,TUMORLU
0.833002,TUMORLU
0.903713,TUMORLU
0.830129,TUMORLU
0.915391,TUMORLU
0.803801,TUMORLU
0.916708,TUMORLU
0.863987,TUMORLU
0.887934,TUMORLU
0.869345,TUMORLU
0.866677,TUMORLU
0.846208,TUMORLU
0.908331,TUMORLU
0.846478,TUMORLU
0.939748,TUMORLU
0.853454,TUMORLU
0.938914,TUMORLU
0.857726,TUMORLU
0.947500,TUMORLU
0.860765,TUMORLU
0.858447,TUMORLU
0.788263,TUMORLU
0.890913,TUMORLU
0.703812,TUMORLU
0.882306,TUMORLU
0.747876,TUMORLU
0.932240,TUMORLU
0.852831,TUMORLU
0.928447,TUMORLU
0.861913,TUMORLU
0.951409,TUMORLU
0.860972,TUMORLU
0.911928,TUMORLU
0.828041,TUMORLU
0.906198,TUMORLU
0.831582,TUMORLU
0.839159,TUMORLU
0.734290,TUMORLU
0.903209,TUMORLU
0.873190,TUMORLU
0.880310,TUMORLU
0.832728,TUMORLU
0.900173,TUMORLU
0.881348,TUMORLU
0.800657,TUMORLU
0.758203,TUMORLU
0.928527,TUMORLU
0.851580,TUMORLU
0.933544,TUMORLU
0.824953,TUMORLU
0.921498,TUMORLU
0.821390,TUMORLU
0.921472,TUMORLU
0.836359,TUMORLU
0.934342,TUMORLU
0.850541,TUMORLU
0.922954,TUMORLU
0.729471,TUMORLU
0.894041,TUMORLU
0.857744,TUMORLU
0.865094,TUMORLU
0.768105,TUMORLU
0.878897,TUMORLU
0.852626,TUMORLU
0.937351,TUMORLU
0.779170,TUMORLU
0.912067,TUMORLU
0.786183,TUMORLU
0.936851,TUMORLU
0.787786,TUMORLU
0.909217,TUMORLU
0.796308,TUMORLU
0.839107,TUMORLU
0.842727,TUMORLU
0.797996,TUMORLU
0.000000,TUMORLU
0.752971,TUMORLU
0.899673,TUMORLU
0.784939,TUMORLU
0.796154,TUMORLU
0.761461,TUMORLU
0.786555,TUMORLU
0.863145,TUMORLU
0.781536,TUMORLU
0.861172,TUMORLU
0.793724,TUMORLU
0.864343,TUMORLU
0.891348,TUMORLU
0.855822,TUMORLU
0.858476,TUMORLU
0.848379,TUMORLU
0.813918,TUMORLU
0.763917,TUMORLU
0.915945,TUMORLU
0.834864,TUMORLU
0.957267,TUMORLU
0.850064,TUMORLU
0.875250,TUMORLU
0.749478,TUMORLU
0.781549,TUMORLU
0.711974,TUMORLU
0.741991,TUMORLU
0.775441,TUMORLU
0.809354,TUMORLU
0.697381,TUMORLU
0.865001,TUMORLU
0.890469,TUMORLU
0.874869,TUMORLU
0.748715,TUMORLU
0.875851,TUMORLU
0.763242,TUMORLU
0.936802,TUMORLU
0.839715,TUMORLU
0.948912,TUMORLU
0.877019,TUMORLU
0.778935,TUMORLU
0.724678,TUMORLU
0.743511,TUMORLU
0.765943,TUMORLU
0.946431,TUMORLU
0.890541,TUMORLU
0.864228,TUMORLU
0.829619,TUMORLU
0.853109,TUMORLU
0.857452,TUMORLU
0.841471,TUMORLU
0.856578,TUMORLU
0.926312,TUMORLU
0.861164,TUMORLU
0.821372,TUMORLU
0.800508,TUMORLU
0.825438,TUMORLU
0.839755,TUMORLU
0.950688,TUMORLU
0.834735,TUMORLU
0.694941,TUMORLU
0.763269,TUMORLU
0.812706,TUMORLU
0.836780,TUMORLU
0.696189,TUMORLU
0.866019,TUMORLU
0.722847,TUMORLU
0.876482,TUMORLU
0.909952,TUMORLU
0.850593,TUMORLU
0.902335,TUMORLU
0.818211,TUMORLU
0.906622,TUMORLU
0.839784,TUMORLU
0.874938,TUMORLU
0.837380,TUMORLU
0.915222,TUMORLU
0.837211,TUMORLU
0.837531,TUMORLU
0.814804,TUMORLU
0.855748,TUMORLU
0.867142,TUMORLU
0.783276,TUMORLU
0.847620,TUMORLU
0.864749,TUMORLU
0.865205,TUMORLU
0.896968,TUMORLU
0.879053,TUMORLU
0.891717,TUMORLU
0.871923,TUMORLU
0.874117,TUMORLU
0.731938,TUMORLU
0.880958,TUMORLU
0.776630,TUMORLU
0.897962,TUMORLU
0.789263,TUMORLU
0.830926,TUMORLU
0.813593,TUMORLU
0.796256,TUMORLU
0.829093,TUMORLU
0.947916,TUMORLU
0.851934,TUMORLU
0.905604,TUMORLU
0.825048,TUMORLU
0.844629,TUMORLU
0.729708,TUMORLU
0.833743,TUMORLU
0.767650,TUMORLU
0.812470,TUMORLU
0.827653,TUMORLU
0.804464,TUMORLU
0.852192,TUMORLU
0.677656,TUMORLU
0.783738,TUMORLU
0.678571,TUMORLU
0.745409,TUMORLU
0.738970,TUMORLU
0.868639,TUMORLU
0.675196,TUMORLU
0.684047,TUMORLU
0.652623,TUMORLU
0.764383,TUMORLU
0.815467,TUMORLU
0.860753,TUMORLU
0.936074,TUMORLU
0.769996,TUMORLU
0.913053,TUMORLU
0.789475,TUMORLU
0.938209,TUMORLU
0.807759,TUMORLU
0.906324,TUMORLU
0.853550,TUMORLU
0.896837,TUMORLU
0.841559,TUMORLU
0.898766,TUMORLU
0.875806,TUMORLU
0.875861,TUMORLU
0.635198,TUMORLU
0.883717,TUMORLU
0.886825,TUMORLU
0.835680,TUMORLU
0.859311,TUMORLU
0.925247,TUMORLU
0.870134,TUMORLU
0.811270,TUMORLU
0.810391,TUMORLU
0.842009,TUMORLU
0.830192,TUMORLU
