@RELATION GLCM_LCP

@ATTRIBUTE glcm_contrast NUMERIC
@ATTRIBUTE glcm_dissimilarity NUMERIC
@ATTRIBUTE glcm_homogeneity NUMERIC
@ATTRIBUTE glcm_energy NUMERIC
@ATTRIBUTE glcm_correlation NUMERIC
@ATTRIBUTE glcm_ASM NUMERIC
@ATTRIBUTE lcp_mean NUMERIC
@ATTRIBUTE lcp_std NUMERIC
@ATTRIBUTE lcp_energy NUMERIC
@ATTRIBUTE lcp_entropy NUMERIC
@ATTRIBUTE class {BASLANGIC,NORMAL,TUMORLU}

@DATA
0.241423,0.111366,0.986979,0.950623,0.792311,0.912465,0.123292,0.502275,0.240160,0.002603,BASLANGIC
0.183268,0.783215,0.176940,0.033875,0.727400,0.007347,0.793682,0.318132,0.244795,0.852168,BASLANGIC
0.168115,0.081073,0.989410,0.973864,0.718300,0.953172,0.088117,0.421945,0.168779,0.002934,BASLANGIC
0.190391,0.817019,0.146938,0.009456,0.837456,0.001926,0.821475,0.330839,0.263209,0.868310,BASLANGIC
0.099400,0.045488,0.994544,0.990517,0.521700,0.982881,0.048954,0.317919,0.095337,0.001079,BASLANGIC
0.083325,0.040450,0.994945,0.992333,0.481389,0.986148,0.043779,0.297848,0.083635,0.001546,BASLANGIC
0.197023,0.794321,0.191145,0.059476,0.742836,0.014018,0.804397,0.354195,0.271603,0.827837,BASLANGIC
0.405403,0.199847,0.973870,0.858278,0.875482,0.759396,0.219072,0.657385,0.416616,0.008323,BASLANGIC
0.249950,0.894765,0.132961,0.009329,0.803134,0.001868,0.898869,0.385567,0.331653,0.891437,BASLANGIC
0.147404,0.067367,0.992221,0.981099,0.662049,0.966023,0.069865,0.379549,0.136233,0.001427,BASLANGIC
0.244424,0.883852,0.136406,0.037464,0.628242,0.008380,0.871408,0.350481,0.295871,0.892285,BASLANGIC
0.215666,0.096941,0.989153,0.962250,0.757968,0.932721,0.102743,0.460721,0.201534,0.001655,BASLANGIC
0.173095,0.682308,0.315292,0.188576,0.838310,0.064142,0.691751,0.347334,0.226985,0.717929,BASLANGIC
0.086612,0.039907,0.994851,0.992829,0.435879,0.987042,0.041089,0.290358,0.079450,0.001219,BASLANGIC
0.147640,0.664404,0.297185,0.099122,0.891016,0.026499,0.681156,0.322938,0.208192,0.737301,BASLANGIC
0.142269,0.064340,0.992278,0.982099,0.645314,0.967807,0.069865,0.380144,0.136656,0.001401,BASLANGIC
0.192252,0.825487,0.147736,0.014481,0.836872,0.002950,0.827708,0.330022,0.265148,0.865459,BASLANGIC
0.086263,0.042170,0.994346,0.991663,0.501202,0.984942,0.045884,0.304737,0.087572,0.001732,BASLANGIC
0.117481,0.598947,0.323044,0.091535,0.718470,0.024151,0.594157,0.262541,0.148634,0.710741,BASLANGIC
0.515594,0.237214,0.971624,0.865539,0.832329,0.770932,0.243300,0.699133,0.472381,0.005888,BASLANGIC
0.185450,0.770384,0.208841,0.031267,0.859879,0.006644,0.783492,0.345252,0.257839,0.819278,BASLANGIC
0.282872,0.134541,0.982024,0.930448,0.824740,0.877840,0.145766,0.541365,0.279849,0.004978,BASLANGIC
0.250194,0.801948,0.211366,0.024469,0.863765,0.005094,0.807699,0.438101,0.335201,0.803660,BASLANGIC
0.290313,0.140268,0.981556,0.937601,0.799121,0.890041,0.146326,0.540528,0.279040,0.005417,BASLANGIC
0.194168,0.819476,0.162352,0.033662,0.822528,0.007253,0.821807,0.332706,0.264500,0.855337,BASLANGIC
0.132164,0.059461,0.993377,0.985851,0.591871,0.974512,0.061646,0.357627,0.120823,0.001061,BASLANGIC
0.177767,0.688755,0.294104,0.084432,0.808300,0.021584,0.695443,0.352470,0.231573,0.738303,BASLANGIC
0.371185,0.177633,0.977180,0.884371,0.861463,0.801241,0.184309,0.606324,0.352779,0.006340,BASLANGIC
0.067847,0.398020,0.526460,0.239658,0.929402,0.091494,0.417288,0.239655,0.095288,0.523799,BASLANGIC
0.163384,0.073447,0.991466,0.978922,0.663266,0.962147,0.078085,0.402337,0.153228,0.001303,BASLANGIC
0.138638,0.612348,0.345279,0.148034,0.895855,0.045472,0.635975,0.351464,0.212068,0.679138,BASLANGIC
0.171442,0.080874,0.989990,0.972366,0.730395,0.950523,0.087747,0.422803,0.169443,0.002410,BASLANGIC
0.233036,0.874665,0.152029,0.024997,0.881173,0.005170,0.889839,0.380244,0.323988,0.874857,BASLANGIC
0.171152,0.085151,0.988358,0.971845,0.731243,0.949602,0.096401,0.439478,0.183304,0.003697,BASLANGIC
0.184589,0.730186,0.253880,0.065232,0.666067,0.015792,0.742012,0.340049,0.239438,0.792070,BASLANGIC
0.187577,0.087290,0.989654,0.971643,0.712991,0.949244,0.092469,0.435040,0.179488,0.002163,BASLANGIC
0.159093,0.690770,0.274302,0.066790,0.901491,0.016113,0.700107,0.332375,0.220219,0.755826,BASLANGIC
0.384050,0.179490,0.978174,0.898767,0.837131,0.824803,0.191102,0.621277,0.370597,0.004743,BASLANGIC
0.103652,0.590266,0.310465,0.058600,0.924682,0.013755,0.599330,0.256160,0.147000,0.715159,BASLANGIC
0.305792,0.146826,0.980810,0.924070,0.827223,0.867032,0.162334,0.571378,0.312378,0.005056,BASLANGIC
0.162809,0.703781,0.259878,0.048715,0.867192,0.011071,0.707634,0.324614,0.217959,0.773040,BASLANGIC
0.104122,0.050072,0.993654,0.988787,0.577270,0.979774,0.055481,0.336456,0.106873,0.001637,BASLANGIC
0.166704,0.746876,0.201000,0.021704,0.907128,0.004476,0.754335,0.310405,0.225746,0.826073,BASLANGIC
0.128401,0.064090,0.991458,0.982994,0.661349,0.969405,0.069615,0.371995,0.130901,0.003155,BASLANGIC
0.250264,0.889162,0.138210,0.014613,0.817562,0.002885,0.908903,0.415346,0.358333,0.876568,BASLANGIC
0.318636,0.148710,0.981731,0.919960,0.829681,0.860101,0.159860,0.569249,0.309911,0.003959,BASLANGIC
0.260454,0.915635,0.135904,0.008310,0.833449,0.001672,0.917636,0.397052,0.348194,0.888577,BASLANGIC
0.109700,0.050879,0.993949,0.988258,0.576213,0.978824,0.053491,0.331271,0.103576,0.001424,BASLANGIC
0.104285,0.549841,0.353115,0.040891,0.942325,0.008994,0.556873,0.265946,0.140109,0.681875,BASLANGIC
0.083987,0.039601,0.995063,0.992984,0.424530,0.987321,0.043152,0.296924,0.083107,0.001316,BASLANGIC
0.135833,0.634239,0.313426,0.113944,0.917094,0.031861,0.662050,0.321100,0.200974,0.728855,BASLANGIC
0.323507,0.146888,0.983316,0.916916,0.835150,0.854986,0.158224,0.569196,0.309731,0.002778,BASLANGIC
0.184703,0.691902,0.305184,0.079423,0.920898,0.019929,0.722419,0.421673,0.290906,0.720886,BASLANGIC
0.671713,0.316187,0.960672,0.708085,0.893300,0.540049,0.335337,0.813454,0.647187,0.009669,BASLANGIC
0.234610,0.909550,0.102888,0.010991,0.817883,0.002149,0.930018,0.374782,0.337521,0.912843,BASLANGIC
0.206256,0.091230,0.990210,0.966278,0.740923,0.939789,0.096578,0.448223,0.190590,0.001094,BASLANGIC
0.133922,0.611901,0.331557,0.082540,0.932358,0.021012,0.625691,0.309728,0.183107,0.707387,BASLANGIC
0.102841,0.052197,0.992961,0.988151,0.591444,0.978633,0.056078,0.333755,0.105192,0.002573,BASLANGIC
0.249002,0.720933,0.308807,0.066649,0.842633,0.016078,0.733986,0.438901,0.308816,0.728174,BASLANGIC
0.121753,0.059980,0.991904,0.986540,0.578468,0.975745,0.063386,0.356478,0.120106,0.002663,BASLANGIC
0.150816,0.620522,0.354111,0.174401,0.868283,0.057315,0.623777,0.326601,0.192605,0.678439,BASLANGIC
0.159144,0.073072,0.991726,0.977926,0.689940,0.960378,0.078085,0.401124,0.152314,0.001524,BASLANGIC
0.212505,0.734892,0.286361,0.070359,0.878030,0.017139,0.755617,0.415255,0.297546,0.749433,BASLANGIC
0.324617,0.150122,0.981917,0.923335,0.818937,0.865790,0.156169,0.563466,0.303492,0.003621,BASLANGIC
0.088528,0.039997,0.995535,0.992712,0.443920,0.986830,0.044659,0.304636,0.087488,0.000688,BASLANGIC
0.181818,0.789850,0.173781,0.016513,0.882898,0.003310,0.797945,0.317182,0.245843,0.847974,BASLANGIC
0.170387,0.074773,0.992038,0.976879,0.685200,0.958517,0.078085,0.403910,0.154417,0.000785,BASLANGIC
0.125717,0.622367,0.311367,0.075623,0.744178,0.018945,0.621281,0.284167,0.167565,0.720729,BASLANGIC
0.320851,0.143067,0.984264,0.930513,0.804387,0.877950,0.156169,0.567462,0.307729,0.001968,BASLANGIC
0.160581,0.679253,0.296952,0.109197,0.835955,0.030128,0.692103,0.339473,0.222039,0.742067,BASLANGIC
0.137645,0.064490,0.992013,0.982727,0.645116,0.968929,0.069865,0.378297,0.135343,0.001780,BASLANGIC
0.178481,0.743383,0.222420,0.042610,0.893840,0.009430,0.765552,0.356096,0.258357,0.804401,BASLANGIC
0.207931,0.100017,0.987445,0.960083,0.773860,0.928929,0.111768,0.474356,0.213949,0.003762,BASLANGIC
0.066567,0.031745,0.995957,0.995285,0.282254,0.991471,0.034634,0.265627,0.066442,0.001083,BASLANGIC
0.143542,0.621392,0.322853,0.054550,0.937481,0.012603,0.639162,0.337517,0.204026,0.711866,BASLANGIC
0.269304,0.126534,0.983791,0.938392,0.812697,0.891395,0.137829,0.528400,0.266309,0.003990,BASLANGIC
0.158503,0.566199,0.394653,0.167637,0.917741,0.054164,0.579011,0.349709,0.194445,0.646687,BASLANGIC
0.086863,0.040673,0.995223,0.992762,0.444790,0.986921,0.044409,0.301890,0.085921,0.001080,BASLANGIC
0.113516,0.623486,0.278064,0.035181,0.856332,0.007687,0.627494,0.243344,0.149220,0.754124,BASLANGIC
0.232924,0.114171,0.985376,0.948797,0.804004,0.909305,0.122309,0.493954,0.232330,0.004671,BASLANGIC
0.114221,0.597080,0.321223,0.036473,0.945337,0.008028,0.582843,0.250704,0.139769,0.706963,BASLANGIC
0.601973,0.280214,0.965376,0.779743,0.877271,0.640129,0.291790,0.762483,0.565373,0.007554,BASLANGIC
0.104203,0.555550,0.357804,0.058696,0.826931,0.013933,0.558572,0.248565,0.132175,0.687966,BASLANGIC
0.121241,0.056439,0.993018,0.987247,0.569938,0.977012,0.059962,0.350740,0.116200,0.001634,BASLANGIC
0.091276,0.517083,0.376475,0.064532,0.917349,0.015434,0.530611,0.251174,0.126151,0.660211,BASLANGIC
0.791204,0.375606,0.952740,0.660810,0.888991,0.478593,0.410988,0.896239,0.793332,0.011654,BASLANGIC
0.180644,0.744020,0.232212,0.035150,0.823604,0.007622,0.750270,0.337591,0.240809,0.799950,BASLANGIC
0.236906,0.113595,0.985740,0.949801,0.797306,0.911041,0.122309,0.496381,0.234583,0.003935,BASLANGIC
0.197395,0.777968,0.214359,0.064855,0.856809,0.015562,0.788821,0.370470,0.276755,0.810189,BASLANGIC
0.189863,0.096777,0.986876,0.961939,0.782908,0.932175,0.099020,0.440868,0.184573,0.005081,BASLANGIC
0.195079,0.773013,0.209923,0.028142,0.867687,0.005931,0.776657,0.343646,0.254264,0.820224,BASLANGIC
0.518982,0.242628,0.969362,0.807523,0.880773,0.681169,0.252498,0.709467,0.487116,0.007461,BASLANGIC
0.193048,0.767907,0.222854,0.054169,0.923010,0.012470,0.793442,0.388385,0.291243,0.799333,BASLANGIC
0.514935,0.241498,0.970343,0.796043,0.888035,0.664056,0.262660,0.724583,0.508686,0.006711,BASLANGIC
0.115265,0.583074,0.341879,0.074006,0.819607,0.018317,0.587910,0.271799,0.151515,0.696227,BASLANGIC
0.123215,0.054888,0.993919,0.988549,0.521492,0.979348,0.059591,0.352471,0.117331,0.000795,BASLANGIC
0.135977,0.616083,0.324792,0.087626,0.720749,0.022715,0.617026,0.304780,0.177693,0.708315,BASLANGIC
0.124699,0.058732,0.992567,0.986836,0.561072,0.976275,0.062744,0.356931,0.120389,0.002166,BASLANGIC
0.124695,0.597810,0.343180,0.087784,0.785986,0.022763,0.603762,0.292076,0.166731,0.701937,BASLANGIC
0.103795,0.051371,0.992921,0.988168,0.581036,0.978663,0.056376,0.336629,0.107007,0.002452,BASLANGIC
0.198638,0.808141,0.184944,0.035109,0.890257,0.007554,0.818723,0.358909,0.280288,0.837603,BASLANGIC
0.326901,0.154089,0.980541,0.908760,0.846946,0.841355,0.168281,0.582220,0.324573,0.004929,BASLANGIC
0.135667,0.660539,0.264709,0.028407,0.908951,0.005930,0.677880,0.299412,0.193404,0.760677,BASLANGIC
0.530680,0.265888,0.963411,0.763900,0.897850,0.617280,0.280412,0.737568,0.528782,0.012780,BASLANGIC
0.151953,0.679708,0.271964,0.050119,0.899250,0.011416,0.685129,0.324731,0.210572,0.752141,BASLANGIC
0.094740,0.050129,0.993021,0.989074,0.579992,0.980289,0.053160,0.322362,0.098107,0.003089,BASLANGIC
0.249076,0.953297,0.067896,0.011187,0.722415,0.002288,0.956233,0.356311,0.336627,0.947689,BASLANGIC
0.230341,0.105692,0.987571,0.957380,0.769008,0.924209,0.113017,0.480921,0.219897,0.002489,BASLANGIC
0.217965,0.839521,0.159627,0.046301,0.617384,0.010591,0.836058,0.356467,0.285477,0.861034,BASLANGIC
0.158501,0.070676,0.992256,0.978590,0.682541,0.961559,0.076030,0.397534,0.149550,0.001058,BASLANGIC
0.109477,0.512483,0.447498,0.362373,0.782388,0.174541,0.531790,0.299944,0.151650,0.584369,BASLANGIC
0.190463,0.093642,0.987769,0.964031,0.771805,0.935843,0.101736,0.451798,0.193851,0.003633,BASLANGIC
0.219128,0.828445,0.173936,0.018476,0.833851,0.003739,0.839457,0.378463,0.301989,0.849499,BASLANGIC
0.135847,0.061850,0.992992,0.983874,0.631328,0.970975,0.065756,0.368813,0.128566,0.001192,BASLANGIC
0.099294,0.570688,0.324270,0.083283,0.754192,0.021366,0.573570,0.227043,0.126619,0.711139,BASLANGIC
0.257827,0.120579,0.985573,0.943688,0.805691,0.900488,0.129456,0.513075,0.250812,0.003189,BASLANGIC
0.162563,0.645026,0.339093,0.092655,0.927690,0.024271,0.675975,0.386800,0.249016,0.701776,BASLANGIC
0.531764,0.265122,0.964310,0.768992,0.895880,0.624579,0.285497,0.745413,0.540374,0.011981,BASLANGIC
0.174313,0.791158,0.157904,0.019605,0.860590,0.003978,0.811211,0.312821,0.248347,0.865138,BASLANGIC
0.149465,0.066355,0.992644,0.981135,0.659405,0.966088,0.073596,0.391238,0.144807,0.000988,BASLANGIC
0.106628,0.508378,0.429497,0.150042,0.884124,0.046343,0.530634,0.283352,0.142284,0.626734,BASLANGIC
0.253185,0.121257,0.984561,0.942727,0.811168,0.898835,0.128667,0.509370,0.247212,0.004017,BASLANGIC
0.192871,0.774047,0.225938,0.068230,0.890990,0.016527,0.794391,0.375398,0.282300,0.803554,BASLANGIC
0.110063,0.051723,0.993548,0.987692,0.586940,0.977810,0.055586,0.337424,0.107488,0.001580,BASLANGIC
0.097247,0.047129,0.993768,0.990121,0.538565,0.982169,0.052524,0.326630,0.100688,0.001731,BASLANGIC
0.212830,0.722516,0.306299,0.076081,0.796374,0.018917,0.745141,0.422780,0.299718,0.731014,BASLANGIC
0.412595,0.193435,0.976546,0.881900,0.849406,0.797231,0.212916,0.654638,0.412605,0.005271,BASLANGIC
0.145236,0.703745,0.231174,0.045926,0.861957,0.010312,0.712305,0.297416,0.203675,0.789523,BASLANGIC
0.391134,0.182347,0.978128,0.880148,0.859803,0.794394,0.189281,0.617972,0.366592,0.004856,BASLANGIC
0.188880,0.818241,0.146404,0.015399,0.876248,0.003074,0.826014,0.322840,0.260085,0.869598,BASLANGIC
0.105182,0.047808,0.994610,0.991031,0.466394,0.983805,0.051372,0.326542,0.100606,0.000876,BASLANGIC
0.195383,0.807676,0.170426,0.024642,0.822820,0.005121,0.831419,0.354852,0.282558,0.854079,BASLANGIC
0.196529,0.093062,0.988401,0.974530,0.654892,0.954353,0.094725,0.438023,0.182030,0.002914,BASLANGIC
0.187611,0.719639,0.270010,0.094905,0.867744,0.025043,0.751976,0.373274,0.265202,0.771971,BASLANGIC
0.358654,0.159285,0.982691,0.909821,0.831961,0.843123,0.162334,0.578228,0.319761,0.002115,BASLANGIC
0.205600,0.823500,0.163287,0.021930,0.862918,0.004474,0.841709,0.369088,0.296318,0.856856,BASLANGIC
0.147803,0.067805,0.992003,0.980486,0.670117,0.964933,0.073975,0.390578,0.144337,0.001490,BASLANGIC
0.144339,0.650196,0.292474,0.046034,0.939292,0.010308,0.662304,0.314338,0.197026,0.742294,BASLANGIC
0.104278,0.047007,0.994691,0.990364,0.519447,0.982606,0.051372,0.326585,0.100632,0.000906,BASLANGIC
0.116938,0.570798,0.369481,0.094422,0.759411,0.025003,0.565232,0.279721,0.149389,0.665329,BASLANGIC
0.093663,0.044543,0.994317,0.991920,0.444599,0.985405,0.047052,0.309695,0.090454,0.001460,BASLANGIC
0.169393,0.765811,0.166315,0.007310,0.896999,0.001370,0.792399,0.338900,0.257104,0.844788,BASLANGIC
0.268457,0.122081,0.986069,0.941549,0.806144,0.896809,0.137676,0.531692,0.269571,0.002359,BASLANGIC
0.136550,0.065187,0.991917,0.982709,0.646224,0.968895,0.071138,0.380033,0.136620,0.002176,BASLANGIC
0.155261,0.681923,0.276628,0.064827,0.912888,0.015524,0.694033,0.337524,0.221438,0.749598,BASLANGIC
0.205730,0.095128,0.988292,0.967559,0.724836,0.942042,0.106853,0.468135,0.208196,0.002385,BASLANGIC
0.124921,0.056659,0.993681,0.986313,0.600226,0.975339,0.061646,0.357596,0.120802,0.001029,BASLANGIC
0.099403,0.577467,0.315820,0.043792,0.866353,0.009863,0.585448,0.224166,0.128677,0.726874,BASLANGIC
0.180765,0.086403,0.989094,0.971805,0.721718,0.949530,0.096087,0.441846,0.185246,0.002691,BASLANGIC
0.187806,0.749547,0.234606,0.049191,0.865909,0.011161,0.759740,0.352387,0.253784,0.797707,BASLANGIC
0.137826,0.062551,0.992372,0.983290,0.631112,0.969933,0.065756,0.368429,0.128301,0.001435,BASLANGIC
0.130282,0.658674,0.260512,0.040083,0.925294,0.008775,0.678070,0.299393,0.193455,0.764608,BASLANGIC
0.446415,0.202722,0.976553,0.850397,0.870824,0.746973,0.228090,0.680416,0.446465,0.004147,BASLANGIC
0.185708,0.739158,0.230317,0.034144,0.850938,0.007350,0.739033,0.350066,0.244869,0.791257,BASLANGIC
0.471383,0.232607,0.968642,0.816006,0.886347,0.693951,0.249025,0.699631,0.473705,0.009786,BASLANGIC
0.223686,0.820604,0.183791,0.019243,0.882513,0.003861,0.847191,0.414804,0.332122,0.831795,BASLANGIC
0.274444,0.125890,0.985214,0.941232,0.802091,0.896265,0.135621,0.526774,0.264557,0.002782,BASLANGIC
0.589820,0.268269,0.969329,0.744054,0.895898,0.589239,0.287483,0.760670,0.562191,0.005240,BASLANGIC
0.181758,0.754297,0.224469,0.033738,0.819908,0.007288,0.759712,0.336706,0.243642,0.807232,BASLANGIC
0.234577,0.115669,0.984949,0.949377,0.801161,0.910307,0.123292,0.496544,0.234792,0.004551,BASLANGIC
0.118924,0.557931,0.390571,0.116293,0.942020,0.032767,0.564077,0.290116,0.154632,0.662709,BASLANGIC
0.246925,0.124689,0.983238,0.944628,0.806468,0.902107,0.135742,0.517454,0.255440,0.006071,BASLANGIC
0.172538,0.081278,0.989901,0.976031,0.685070,0.957013,0.086304,0.419274,0.166597,0.002438,BASLANGIC
0.159734,0.727604,0.219340,0.025565,0.887265,0.005314,0.736104,0.315536,0.222292,0.806572,BASLANGIC
0.140596,0.068884,0.990872,0.980426,0.674858,0.964824,0.072903,0.382098,0.138156,0.003177,BASLANGIC
0.144562,0.614071,0.327521,0.074818,0.751008,0.018681,0.611095,0.288022,0.166646,0.716101,BASLANGIC
0.258746,0.122450,0.984960,0.942595,0.807403,0.898607,0.131511,0.515870,0.253636,0.003701,BASLANGIC
0.181444,0.769247,0.195179,0.021916,0.865466,0.004495,0.781627,0.344087,0.256391,0.822244,BASLANGIC
0.377182,0.184436,0.976291,0.876339,0.867577,0.788243,0.202053,0.632666,0.385012,0.007424,BASLANGIC
0.198014,0.816062,0.158344,0.013389,0.852340,0.002646,0.834924,0.344949,0.277450,0.867224,BASLANGIC
0.105608,0.051373,0.993574,0.988615,0.577953,0.979465,0.055481,0.335092,0.106014,0.001890,BASLANGIC
0.160757,0.732211,0.218225,0.019923,0.884225,0.004037,0.753719,0.324305,0.233798,0.813325,BASLANGIC
0.153322,0.070516,0.991686,0.978721,0.687066,0.961790,0.079511,0.404504,0.154921,0.001621,BASLANGIC
0.148347,0.667880,0.287986,0.063793,0.839583,0.015261,0.667360,0.317918,0.200748,0.738478,BASLANGIC
0.170657,0.076407,0.991537,0.975624,0.702113,0.956292,0.083927,0.417378,0.165013,0.001137,BASLANGIC
0.139050,0.659522,0.279928,0.096415,0.921303,0.025554,0.675676,0.301570,0.193910,0.745690,BASLANGIC
0.170843,0.078477,0.990903,0.974267,0.713088,0.953887,0.086304,0.421218,0.168129,0.001791,BASLANGIC
0.105059,0.590166,0.308077,0.045863,0.851587,0.010378,0.591228,0.235994,0.135399,0.727393,BASLANGIC
0.224875,0.104488,0.987535,0.962644,0.740446,0.933411,0.114282,0.483032,0.221873,0.002652,BASLANGIC
0.186081,0.720143,0.268505,0.062583,0.879909,0.014864,0.732266,0.374879,0.259366,0.760259,BASLANGIC
0.393321,0.180378,0.978685,0.880143,0.859126,0.794385,0.195341,0.629438,0.380557,0.004351,BASLANGIC
0.118397,0.514237,0.434454,0.174063,0.878240,0.057217,0.524435,0.317948,0.160232,0.610124,BASLANGIC
0.445625,0.221658,0.969731,0.841556,0.876468,0.733160,0.228920,0.668554,0.431552,0.010391,BASLANGIC
0.119252,0.526323,0.415733,0.135987,0.951258,0.040542,0.532217,0.293799,0.148337,0.638037,BASLANGIC
0.156877,0.074379,0.990584,0.980168,0.643937,0.964365,0.076030,0.392684,0.145957,0.002462,BASLANGIC
0.105368,0.589386,0.307886,0.080293,0.822210,0.020370,0.600718,0.242245,0.140894,0.728789,BASLANGIC
