@RELATION SINGLE_HH_DISSIMILARITY

@ATTRIBUTE HH_dissimilarity NUMERIC
@ATTRIBUTE class {BASLANGIC,NORMAL,TUMORLU}

@DATA
0.000000,NORMAL
0.657371,NORMAL
0.000000,NORMAL
0.811466,NORMAL
0.000000,NORMAL
0.543175,NORMAL
0.000000,NORMAL
0.582986,NORMAL
0.000000,NORMAL
0.604366,NORMAL
0.000000,NORMAL
0.647967,NORMAL
0.000000,NORMAL
0.662857,NORMAL
0.000000,NORMAL
0.643396,NORMAL
0.000000,NORMAL
0.516089,NORMAL
0.000000,NORMAL
0.599355,NORMAL
0.000000,NORMAL
0.630373,NORMAL
0.000000,NORMAL
0.708184,NORMAL
0.000000,NORMAL
0.653020,NORMAL
0.000000,NORMAL
0.699539,NORMAL
0.000000,NORMAL
0.618612,NORMAL
0.000000,NORMAL
0.616731,NORMAL
0.000000,NORMAL
0.665887,NORMAL
0.000000,NORMAL
0.619472,NORMAL
0.000000,NORMAL
0.491234,NORMAL
0.000000,NORMAL
0.647520,NORMAL
0.000000,NORMAL
0.617885,NORMAL
0.000000,NORMAL
0.874862,NORMAL
0.000000,NORMAL
0.644113,NORMAL
0.000000,NORMAL
0.683613,NORMAL
0.000000,NORMAL
0.541213,NORMAL
0.000000,NORMAL
0.565542,NORMAL
0.000000,NORMAL
0.679052,NORMAL
0.000000,NORMAL
0.763564,NORMAL
0.000000,NORMAL
0.662297,NORMAL
0.000000,NORMAL
0.660411,NORMAL
0.000000,NORMAL
0.612315,NORMAL
0.000000,NORMAL
0.732094,NORMAL
0.000000,NORMAL
0.449165,NORMAL
0.000000,NORMAL
0.512100,NORMAL
0.000000,NORMAL
0.654578,NORMAL
0.000000,NORMAL
0.439283,NORMAL
0.000000,NORMAL
0.424151,NORMAL
0.000000,NORMAL
0.651755,NORMAL
0.000000,NORMAL
0.430148,NORMAL
0.000000,NORMAL
0.594096,NORMAL
0.000000,NORMAL
0.654407,NORMAL
0.000000,NORMAL
0.686004,NORMAL
0.000000,NORMAL
0.334267,NORMAL
0.000000,NORMAL
0.646453,NORMAL
0.000000,NORMAL
0.409416,NORMAL
0.000000,NORMAL
0.502751,NORMAL
0.000000,NORMAL
0.583241,NORMAL
0.000000,NORMAL
0.560561,NORMAL
0.000000,NORMAL
1.000000,NORMAL
0.000000,NORMAL
0.543642,NORMAL
0.000000,NORMAL
0.810052,NORMAL
0.000000,NORMAL
0.890062,NORMAL
0.000000,NORMAL
0.641772,NORMAL
0.000000,NORMAL
0.329828,NORMAL
0.000000,NORMAL
0.394265,NORMAL
0.000000,NORMAL
0.691613,NORMAL
0.000000,NORMAL
0.506420,NORMAL
0.000000,NORMAL
0.554627,NORMAL
0.000000,NORMAL
0.801578,NORMAL
0.000000,NORMAL
0.883137,NORMAL
0.000000,NORMAL
0.745169,NORMAL
0.000000,NORMAL
0.305646,NORMAL
0.000000,NORMAL
0.713080,NORMAL
0.000000,NORMAL
0.586798,NORMAL
0.000000,NORMAL
0.661796,NORMAL
0.000000,NORMAL
0.672439,NORMAL
0.000000,NORMAL
0.335270,NORMAL
0.000000,NORMAL
0.496294,NORMAL
0.000000,NORMAL
0.756785,NORMAL
0.000000,NORMAL
0.641453,NORMAL
0.000000,NORMAL
0.494308,NORMAL
0.000000,NORMAL
0.364904,NORMAL
0.000000,NORMAL
0.679025,NORMAL
0.000000,NORMAL
0.629153,NORMAL
0.000000,NORMAL
0.496501,NORMAL
0.000000,NORMAL
0.617828,NORMAL
0.000000,NORMAL
0.676319,NORMAL
0.000000,NORMAL
0.787762,NORMAL
0.000000,NORMAL
0.481603,NORMAL
0.000000,NORMAL
0.722802,NORMAL
0.000000,NORMAL
0.625944,NORMAL
0.000000,NORMAL
0.731018,NORMAL
0.000000,NORMAL
0.786201,NORMAL
0.000000,NORMAL
0.505121,NORMAL
0.000000,NORMAL
0.594232,NORMAL
0.000000,NORMAL
0.577295,NORMAL
0.000000,NORMAL
0.197141,NORMAL
0.000000,NORMAL
0.742377,NORMAL
0.000000,NORMAL
0.484258,NORMAL
0.000000,NORMAL
0.539043,NORMAL
0.000000,NORMAL
0.640119,NORMAL
0.000000,NORMAL
0.603963,NORMAL
0.000000,NORMAL
0.773009,NORMAL
0.000000,NORMAL
0.105301,TUMORLU
0.355747,TUMORLU
0.147389,TUMORLU
0.250564,TUMORLU
0.048711,TUMORLU
0.504138,TUMORLU
0.058044,TUMORLU
0.230031,TUMORLU
0.059331,TUMORLU
0.312475,TUMORLU
0.062549,TUMORLU
0.579422,TUMORLU
0.047145,TUMORLU
0.535510,TUMORLU
0.064763,TUMORLU
0.271243,TUMORLU
0.053173,TUMORLU
0.431233,TUMORLU
0.029483,TUMORLU
0.411826,TUMORLU
0.067053,TUMORLU
0.484190,TUMORLU
0.036442,TUMORLU
0.519462,TUMORLU
0.071561,TUMORLU
0.249278,TUMORLU
0.083383,TUMORLU
0.229385,TUMORLU
0.110809,TUMORLU
0.289974,TUMORLU
0.135160,TUMORLU
0.507863,TUMORLU
0.044487,TUMORLU
0.506582,TUMORLU
0.064150,TUMORLU
0.475288,TUMORLU
0.115943,TUMORLU
0.631423,TUMORLU
0.080518,TUMORLU
0.461919,TUMORLU
0.089734,TUMORLU
0.520813,TUMORLU
0.100517,TUMORLU
0.393952,TUMORLU
0.135560,TUMORLU
0.486980,TUMORLU
0.125613,TUMORLU
0.641961,TUMORLU
0.136029,TUMORLU
0.495029,TUMORLU
0.042880,TUMORLU
0.735275,TUMORLU
0.040180,TUMORLU
0.727187,TUMORLU
0.042625,TUMORLU
0.333940,TUMORLU
0.109541,TUMORLU
0.469695,TUMORLU
0.127436,TUMORLU
0.320052,TUMORLU
0.185747,TUMORLU
0.577438,TUMORLU
0.120860,TUMORLU
0.628080,TUMORLU
0.145776,TUMORLU
0.328518,TUMORLU
0.048884,TUMORLU
0.557001,TUMORLU
0.092961,TUMORLU
0.331783,TUMORLU
0.076873,TUMORLU
0.320070,TUMORLU
0.090143,TUMORLU
0.323271,TUMORLU
0.039376,TUMORLU
0.389919,TUMORLU
0.099209,TUMORLU
0.290013,TUMORLU
0.091279,TUMORLU
0.236613,TUMORLU
0.074131,TUMORLU
0.681606,TUMORLU
0.091116,TUMORLU
0.378641,TUMORLU
0.106534,TUMORLU
0.332294,TUMORLU
0.035662,TUMORLU
0.395422,TUMORLU
0.107002,TUMORLU
0.494837,TUMORLU
0.063875,TUMORLU
0.483873,TUMORLU
0.107258,TUMORLU
0.570103,TUMORLU
0.041100,TUMORLU
0.655676,TUMORLU
0.071416,TUMORLU
0.407524,TUMORLU
0.074832,TUMORLU
0.794894,TUMORLU
0.071831,TUMORLU
0.545775,TUMORLU
0.078087,TUMORLU
0.513203,TUMORLU
0.014329,TUMORLU
0.071398,TUMORLU
0.373204,TUMORLU
0.044607,TUMORLU
0.597124,TUMORLU
0.057643,TUMORLU
0.576985,TUMORLU
0.098160,TUMORLU
0.613277,TUMORLU
0.071677,TUMORLU
0.608590,TUMORLU
0.089463,TUMORLU
0.428506,TUMORLU
0.097826,TUMORLU
0.448752,TUMORLU
0.105379,TUMORLU
0.397694,TUMORLU
0.046087,TUMORLU
0.428502,TUMORLU
0.103529,TUMORLU
0.262382,TUMORLU
0.112028,TUMORLU
0.242927,TUMORLU
0.090397,TUMORLU
0.356201,TUMORLU
0.045416,TUMORLU
0.791285,TUMORLU
0.071149,TUMORLU
0.432951,TUMORLU
0.061670,TUMORLU
0.282436,TUMORLU
0.102806,TUMORLU
0.268592,TUMORLU
0.078263,TUMORLU
0.309068,TUMORLU
0.048841,TUMORLU
0.280270,TUMORLU
0.110941,TUMORLU
0.270873,TUMORLU
0.120793,TUMORLU
0.602176,TUMORLU
0.049351,TUMORLU
0.375552,TUMORLU
0.056346,TUMORLU
0.517802,TUMORLU
0.098988,TUMORLU
0.221001,TUMORLU
0.101477,TUMORLU
0.525255,TUMORLU
0.055526,TUMORLU
0.302550,TUMORLU
0.065918,TUMORLU
0.441517,TUMORLU
0.089781,TUMORLU
0.707051,TUMORLU
0.080306,TUMORLU
0.418456,TUMORLU
0.062215,TUMORLU
0.447192,TUMORLU
0.091851,TUMORLU
0.257368,TUMORLU
0.057297,TUMORLU
0.709071,TUMORLU
0.085914,TUMORLU
0.476048,TUMORLU
0.102960,TUMORLU
0.685371,TUMORLU
0.129290,TUMORLU
0.585564,TUMORLU
0.082516,TUMORLU
0.369947,TUMORLU
0.048429,TUMORLU
0.428321,TUMORLU
0.138366,TUMORLU
0.574388,TUMORLU
0.078742,TUMORLU
0.516639,TUMORLU
0.097840,TUMORLU
0.299222,TUMORLU
0.064155,TUMORLU
0.630076,TUMORLU
0.073172,TUMORLU
0.693868,TUMORLU
0.093204,TUMORLU
0.310798,TUMORLU
0.101657,TUMORLU
0.447277,TUMORLU
0.088921,TUMORLU
0.243503,TUMORLU
0.105015,TUMORLU
0.454382,TUMORLU
0.049558,TUMORLU
0.628845,TUMORLU
0.066456,TUMORLU
0.459605,TUMORLU
0.068087,TUMORLU
0.578124,TUMORLU
0.109976,TUMORLU
0.606985,TUMORLU
0.098748,TUMORLU
0.727225,TUMORLU
0.098600,TUMORLU
0.749541,TUMORLU
0.101015,TUMORLU
0.762375,TUMORLU
0.029768,TUMORLU
0.472993,TUMORLU
0.077354,TUMORLU
0.484410,TUMORLU
0.090255,TUMORLU
0.355209,TUMORLU
0.085193,TUMORLU
0.456771,TUMORLU
0.063808,TUMORLU
0.298614,TUMORLU
0.037086,TUMORLU
0.257319,TUMORLU
0.093360,TUMORLU
0.528041,TUMORLU
0.031903,TUMORLU
0.457015,TUMORLU
0.065960,TUMORLU
0.301175,TUMORLU
0.099746,TUMORLU
0.589496,TUMORLU
0.091862,TUMORLU
0.485717,TUMORLU
0.062810,TUMORLU
0.328202,TUMORLU
0.064553,TUMORLU
0.540798,TUMORLU
0.065642,TUMORLU
0.436736,TUMORLU
0.085279,TUMORLU
0.549675,TUMORLU
0.107153,TUMORLU
0.694650,TUMORLU
0.022888,TUMORLU
0.460248,TUMORLU
0.092614,TUMORLU
0.386184,TUMORLU
0.100069,TUMORLU
0.197691,TUMORLU
0.089267,TUMORLU
0.693864,TUMORLU
0.044124,TUMORLU
0.509775,TUMORLU
0.056588,TUMORLU
