@RELATION GLCM_FFT

@ATTRIBUTE glcm_contrast NUMERIC
@ATTRIBUTE glcm_dissimilarity NUMERIC
@ATTRIBUTE glcm_homogeneity NUMERIC
@ATTRIBUTE glcm_energy NUMERIC
@ATTRIBUTE glcm_correlation NUMERIC
@ATTRIBUTE glcm_ASM NUMERIC
@ATTRIBUTE fft_mean NUMERIC
@ATTRIBUTE fft_std NUMERIC
@ATTRIBUTE fft_max NUMERIC
@ATTRIBUTE class {BASLANGIC,NORMAL,TUMORLU}

@DATA
0.249950,0.894765,0.132961,0.009329,0.803134,0.001868,0.956204,0.933878,0.987993,BASLANGIC
0.147404,0.067367,0.992221,0.981099,0.662049,0.966023,0.954049,0.849852,0.878288,BASLANGIC
0.244424,0.883852,0.136406,0.037464,0.628242,0.008380,0.948838,0.955601,0.980646,BASLANGIC
0.215666,0.096941,0.989153,0.962250,0.757968,0.932721,0.966228,0.791479,0.901821,BASLANGIC
0.173095,0.682308,0.315292,0.188576,0.838310,0.064142,0.945536,0.958370,0.963771,BASLANGIC
0.086612,0.039907,0.994851,0.992829,0.435879,0.987042,0.945326,0.824680,0.844431,BASLANGIC
0.147640,0.664404,0.297185,0.099122,0.891016,0.026499,0.947280,0.939333,0.968764,BASLANGIC
0.142269,0.064340,0.992278,0.982099,0.645314,0.967807,0.960134,0.756345,0.875547,BASLANGIC
0.192252,0.825487,0.147736,0.014481,0.836872,0.002950,0.951129,0.938720,0.983952,BASLANGIC
0.086263,0.042170,0.994346,0.991663,0.501202,0.984942,0.948526,0.773677,0.848551,BASLANGIC
0.117481,0.598947,0.323044,0.091535,0.718470,0.024151,0.939870,0.910736,0.966386,BASLANGIC
0.515594,0.237214,0.971624,0.865539,0.832329,0.770932,0.975857,0.833896,0.945012,BASLANGIC
0.185450,0.770384,0.208841,0.031267,0.859879,0.006644,0.950137,0.960620,0.976349,BASLANGIC
0.282872,0.134541,0.982024,0.930448,0.824740,0.877840,0.970925,0.785462,0.922036,BASLANGIC
0.250194,0.801948,0.211366,0.024469,0.863765,0.005094,0.958301,0.925721,0.984166,BASLANGIC
0.290313,0.140268,0.981556,0.937601,0.799121,0.890041,0.969216,0.799612,0.918292,BASLANGIC
0.194168,0.819476,0.162352,0.033662,0.822528,0.007253,0.948197,0.976493,0.974061,BASLANGIC
0.132164,0.059461,0.993377,0.985851,0.591871,0.974512,0.955529,0.783834,0.868497,BASLANGIC
0.177767,0.688755,0.294104,0.084432,0.808300,0.021584,0.946906,0.951818,0.970194,BASLANGIC
0.371185,0.177633,0.977180,0.884371,0.861463,0.801241,0.977021,0.784074,0.939929,BASLANGIC
0.067847,0.398020,0.526460,0.239658,0.929402,0.091494,0.933534,0.922286,0.952859,BASLANGIC
0.163384,0.073447,0.991466,0.978922,0.663266,0.962147,0.960955,0.787147,0.881737,BASLANGIC
0.138638,0.612348,0.345279,0.148034,0.895855,0.045472,0.943664,0.934245,0.965139,BASLANGIC
0.171442,0.080874,0.989990,0.972366,0.730395,0.950523,0.963158,0.756286,0.890757,BASLANGIC
0.233036,0.874665,0.152029,0.024997,0.881173,0.005170,0.952308,0.949346,0.989801,BASLANGIC
0.171152,0.085151,0.988358,0.971845,0.731243,0.949602,0.960919,0.786595,0.890956,BASLANGIC
0.184589,0.730186,0.253880,0.065232,0.666067,0.015792,0.946196,0.951223,0.971047,BASLANGIC
0.187577,0.087290,0.989654,0.971643,0.712991,0.949244,0.963218,0.778819,0.891632,BASLANGIC
0.159093,0.690770,0.274302,0.066790,0.901491,0.016113,0.946077,0.932870,0.974820,BASLANGIC
0.384050,0.179490,0.978174,0.898767,0.837131,0.824803,0.978169,0.774078,0.935281,BASLANGIC
0.103652,0.590266,0.310465,0.058600,0.924682,0.013755,0.937735,0.953048,0.975733,BASLANGIC
0.305792,0.146826,0.980810,0.924070,0.827223,0.867032,0.972192,0.792134,0.925224,BASLANGIC
0.162809,0.703781,0.259878,0.048715,0.867192,0.011071,0.947510,0.930726,0.978097,BASLANGIC
0.104122,0.050072,0.993654,0.988787,0.577270,0.979774,0.954359,0.740166,0.859857,BASLANGIC
0.166704,0.746876,0.201000,0.021704,0.907128,0.004476,0.950229,0.931252,0.984063,BASLANGIC
0.128401,0.064090,0.991458,0.982994,0.661349,0.969405,0.956244,0.765110,0.874064,BASLANGIC
0.250264,0.889162,0.138210,0.014613,0.817562,0.002885,0.955884,0.947655,0.983313,BASLANGIC
0.318636,0.148710,0.981731,0.919960,0.829681,0.860101,0.975495,0.768858,0.927108,BASLANGIC
0.260454,0.915635,0.135904,0.008310,0.833449,0.001672,0.955543,0.951750,0.991183,BASLANGIC
0.109700,0.050879,0.993949,0.988258,0.576213,0.978824,0.949504,0.826852,0.861357,BASLANGIC
0.104285,0.549841,0.353115,0.040891,0.942325,0.008994,0.941576,0.913232,0.978709,BASLANGIC
0.083987,0.039601,0.995063,0.992984,0.424530,0.987321,0.947445,0.765112,0.842955,BASLANGIC
0.135833,0.634239,0.313426,0.113944,0.917094,0.031861,0.947051,0.923606,0.968206,BASLANGIC
0.323507,0.146888,0.983316,0.916916,0.835150,0.854986,0.976802,0.760904,0.928729,BASLANGIC
0.184703,0.691902,0.305184,0.079423,0.920898,0.019929,0.950569,0.958731,0.978168,BASLANGIC
0.671713,0.316187,0.960672,0.708085,0.893300,0.540049,0.990094,0.777946,0.976565,BASLANGIC
0.234610,0.909550,0.102888,0.010991,0.817883,0.002149,0.955542,0.922620,0.981785,BASLANGIC
0.206256,0.091230,0.990210,0.966278,0.740923,0.939789,0.966625,0.777418,0.898037,BASLANGIC
0.133922,0.611901,0.331557,0.082540,0.932358,0.021012,0.940747,0.958271,0.976956,BASLANGIC
0.102841,0.052197,0.992961,0.988151,0.591444,0.978633,0.950897,0.777045,0.860877,BASLANGIC
0.249002,0.720933,0.308807,0.066649,0.842633,0.016078,0.964470,0.835589,0.974175,BASLANGIC
0.121753,0.059980,0.991904,0.986540,0.578468,0.975745,0.949403,0.822025,0.865203,BASLANGIC
0.150816,0.620522,0.354111,0.174401,0.868283,0.057315,0.943307,0.945492,0.964988,BASLANGIC
0.159144,0.073072,0.991726,0.977926,0.689940,0.960378,0.960094,0.784956,0.883635,BASLANGIC
0.212505,0.734892,0.286361,0.070359,0.878030,0.017139,0.957080,0.935382,0.974652,BASLANGIC
0.324617,0.150122,0.981917,0.923335,0.818937,0.865790,0.971810,0.797241,0.925612,BASLANGIC
0.088528,0.039997,0.995535,0.992712,0.443920,0.986830,0.950133,0.771740,0.845514,BASLANGIC
0.181818,0.789850,0.173781,0.016513,0.882898,0.003310,0.949222,0.953714,0.982197,BASLANGIC
0.170387,0.074773,0.992038,0.976879,0.685200,0.958517,0.963367,0.749494,0.885259,BASLANGIC
0.125717,0.622367,0.311367,0.075623,0.744178,0.018945,0.938756,0.918440,0.964826,BASLANGIC
0.320851,0.143067,0.984264,0.930513,0.804387,0.877950,0.975797,0.753337,0.922471,BASLANGIC
0.160581,0.679253,0.296952,0.109197,0.835955,0.030128,0.946717,0.942249,0.961936,BASLANGIC
0.137645,0.064490,0.992013,0.982727,0.645116,0.968929,0.958299,0.765968,0.874541,BASLANGIC
0.178481,0.743383,0.222420,0.042610,0.893840,0.009430,0.951001,0.945807,0.977271,BASLANGIC
0.207931,0.100017,0.987445,0.960083,0.773860,0.928929,0.967666,0.762375,0.903062,BASLANGIC
0.066567,0.031745,0.995957,0.995285,0.282254,0.991471,0.945635,0.738042,0.828469,BASLANGIC
0.143542,0.621392,0.322853,0.054550,0.937481,0.012603,0.944074,0.945121,0.981317,BASLANGIC
0.269304,0.126534,0.983791,0.938392,0.812697,0.891395,0.971145,0.774076,0.918044,BASLANGIC
0.158503,0.566199,0.394653,0.167637,0.917741,0.054164,0.954193,0.875474,0.971349,BASLANGIC
0.086863,0.040673,0.995223,0.992762,0.444790,0.986921,0.948899,0.788933,0.845141,BASLANGIC
0.113516,0.623486,0.278064,0.035181,0.856332,0.007687,0.938120,0.966304,0.982914,BASLANGIC
0.232924,0.114171,0.985376,0.948797,0.804004,0.909305,0.970079,0.745653,0.911684,BASLANGIC
0.114221,0.597080,0.321223,0.036473,0.945337,0.008028,0.927808,0.997719,0.981512,BASLANGIC
0.601973,0.280214,0.965376,0.779743,0.877271,0.640129,0.983593,0.808677,0.963810,BASLANGIC
0.104203,0.555550,0.357804,0.058696,0.826931,0.013933,0.933907,0.956248,0.968275,BASLANGIC
0.121241,0.056439,0.993018,0.987247,0.569938,0.977012,0.953445,0.796790,0.864158,BASLANGIC
0.091276,0.517083,0.376475,0.064532,0.917349,0.015434,0.943048,0.932609,0.972617,BASLANGIC
0.791204,0.375606,0.952740,0.660810,0.888991,0.478593,0.993750,0.780174,0.987546,BASLANGIC
0.180644,0.744020,0.232212,0.035150,0.823604,0.007622,0.946460,0.954850,0.976666,BASLANGIC
0.236906,0.113595,0.985740,0.949801,0.797306,0.911041,0.970067,0.759483,0.911065,BASLANGIC
0.197395,0.777968,0.214359,0.064855,0.856809,0.015562,0.953684,0.932668,0.972984,BASLANGIC
0.189863,0.096777,0.986876,0.961939,0.782908,0.932175,0.962213,0.788381,0.901502,BASLANGIC
0.195079,0.773013,0.209923,0.028142,0.867687,0.005931,0.947239,0.965340,0.979654,BASLANGIC
0.518982,0.242628,0.969362,0.807523,0.880773,0.681169,0.983304,0.791032,0.958651,BASLANGIC
0.193048,0.767907,0.222854,0.054169,0.923010,0.012470,0.948990,0.951070,0.982217,BASLANGIC
0.514935,0.241498,0.970343,0.796043,0.888035,0.664056,0.986146,0.761213,0.960985,BASLANGIC
0.115265,0.583074,0.341879,0.074006,0.819607,0.018317,0.941450,0.904704,0.967993,BASLANGIC
0.123215,0.054888,0.993919,0.988549,0.521492,0.979348,0.955782,0.759935,0.861034,BASLANGIC
0.135977,0.616083,0.324792,0.087626,0.720749,0.022715,0.941486,0.938595,0.967804,BASLANGIC
0.124699,0.058732,0.992567,0.986836,0.561072,0.976275,0.954085,0.787805,0.864505,BASLANGIC
0.124695,0.597810,0.343180,0.087784,0.785986,0.022763,0.940008,0.955156,0.966555,BASLANGIC
0.103795,0.051371,0.992921,0.988168,0.581036,0.978663,0.953233,0.760113,0.860219,BASLANGIC
0.198638,0.808141,0.184944,0.035109,0.890257,0.007554,0.951167,0.967912,0.979838,BASLANGIC
0.326901,0.154089,0.980541,0.908760,0.846946,0.841355,0.977051,0.756145,0.931766,BASLANGIC
0.135667,0.660539,0.264709,0.028407,0.908951,0.005930,0.945193,0.922017,0.982362,BASLANGIC
0.530680,0.265888,0.963411,0.763900,0.897850,0.617280,0.983765,0.800031,0.966543,BASLANGIC
0.151953,0.679708,0.271964,0.050119,0.899250,0.011416,0.947668,0.924830,0.980418,BASLANGIC
0.094740,0.050129,0.993021,0.989074,0.579992,0.980289,0.946596,0.826495,0.857572,BASLANGIC
0.249076,0.953297,0.067896,0.011187,0.722415,0.002288,0.954047,0.956475,0.975200,BASLANGIC
0.230341,0.105692,0.987571,0.957380,0.769008,0.924209,0.968671,0.770645,0.905645,BASLANGIC
0.217965,0.839521,0.159627,0.046301,0.617384,0.010591,0.949533,0.942406,0.975002,BASLANGIC
0.158501,0.070676,0.992256,0.978590,0.682541,0.961559,0.959130,0.809286,0.882659,BASLANGIC
0.109477,0.512483,0.447498,0.362373,0.782388,0.174541,0.941433,0.927264,0.943178,BASLANGIC
0.190463,0.093642,0.987769,0.964031,0.771805,0.935843,0.965024,0.774679,0.899849,BASLANGIC
0.219128,0.828445,0.173936,0.018476,0.833851,0.003739,0.952562,0.950904,0.983352,BASLANGIC
0.135847,0.061850,0.992992,0.983874,0.631328,0.970975,0.958042,0.758930,0.872774,BASLANGIC
0.099294,0.570688,0.324270,0.083283,0.754192,0.021366,0.936017,0.915037,0.957928,BASLANGIC
0.257827,0.120579,0.985573,0.943688,0.805691,0.900488,0.971165,0.763855,0.915294,BASLANGIC
0.162563,0.645026,0.339093,0.092655,0.927690,0.024271,0.942905,0.975878,0.974184,BASLANGIC
0.531764,0.265122,0.964310,0.768992,0.895880,0.624579,0.985185,0.771780,0.965742,BASLANGIC
0.174313,0.791158,0.157904,0.019605,0.860590,0.003978,0.950212,0.927043,0.980402,BASLANGIC
0.149465,0.066355,0.992644,0.981135,0.659405,0.966088,0.961300,0.754840,0.878410,BASLANGIC
0.106628,0.508378,0.429497,0.150042,0.884124,0.046343,0.945696,0.892015,0.964480,BASLANGIC
0.253185,0.121257,0.984561,0.942727,0.811168,0.898835,0.969884,0.778814,0.915688,BASLANGIC
0.192871,0.774047,0.225938,0.068230,0.890990,0.016527,0.952366,0.939055,0.985060,BASLANGIC
0.110063,0.051723,0.993548,0.987692,0.586940,0.977810,0.953434,0.776187,0.862354,BASLANGIC
0.097247,0.047129,0.993768,0.990121,0.538565,0.982169,0.952791,0.748845,0.854892,BASLANGIC
0.212830,0.722516,0.306299,0.076081,0.796374,0.018917,0.952866,0.955922,0.968358,BASLANGIC
0.412595,0.193435,0.976546,0.881900,0.849406,0.797231,0.979412,0.768730,0.940727,BASLANGIC
0.145236,0.703745,0.231174,0.045926,0.861957,0.010312,0.945388,0.944632,0.972498,BASLANGIC
0.391134,0.182347,0.978128,0.880148,0.859803,0.794394,0.975105,0.817273,0.941372,BASLANGIC
0.188880,0.818241,0.146404,0.015399,0.876248,0.003074,0.951057,0.936343,0.981051,BASLANGIC
0.105182,0.047808,0.994610,0.991031,0.466394,0.983805,0.951863,0.773900,0.852445,BASLANGIC
0.195383,0.807676,0.170426,0.024642,0.822820,0.005121,0.952033,0.955928,0.974116,BASLANGIC
0.196529,0.093062,0.988401,0.974530,0.654892,0.954353,0.959215,0.827869,0.887211,BASLANGIC
0.187611,0.719639,0.270010,0.094905,0.867744,0.025043,0.955720,0.943918,0.968611,BASLANGIC
0.358654,0.159285,0.982691,0.909821,0.831961,0.843123,0.974272,0.800404,0.931651,BASLANGIC
0.205600,0.823500,0.163287,0.021930,0.862918,0.004474,0.955498,0.922802,0.980412,BASLANGIC
0.147803,0.067805,0.992003,0.980486,0.670117,0.964933,0.960691,0.766369,0.879182,BASLANGIC
0.144339,0.650196,0.292474,0.046034,0.939292,0.010308,0.945893,0.947373,0.983263,BASLANGIC
0.104278,0.047007,0.994691,0.990364,0.519447,0.982606,0.954400,0.739013,0.855492,BASLANGIC
0.116938,0.570798,0.369481,0.094422,0.759411,0.025003,0.940246,0.935186,0.960615,BASLANGIC
0.093663,0.044543,0.994317,0.991920,0.444599,0.985405,0.949181,0.765034,0.847651,BASLANGIC
0.169393,0.765811,0.166315,0.007310,0.896999,0.001370,0.950251,0.946996,0.981467,BASLANGIC
0.268457,0.122081,0.986069,0.941549,0.806144,0.896809,0.972254,0.763834,0.916697,BASLANGIC
0.136550,0.065187,0.991917,0.982709,0.646224,0.968895,0.959136,0.741650,0.874495,BASLANGIC
0.155261,0.681923,0.276628,0.064827,0.912888,0.015524,0.947571,0.925619,0.976554,BASLANGIC
0.205730,0.095128,0.988292,0.967559,0.724836,0.942042,0.966119,0.761273,0.896071,BASLANGIC
0.124921,0.056659,0.993681,0.986313,0.600226,0.975339,0.958270,0.738014,0.867371,BASLANGIC
0.099403,0.577467,0.315820,0.043792,0.866353,0.009863,0.935421,0.974751,0.983339,BASLANGIC
0.180765,0.086403,0.989094,0.971805,0.721718,0.949530,0.962492,0.784538,0.891498,BASLANGIC
0.187806,0.749547,0.234606,0.049191,0.865909,0.011161,0.951533,0.947692,0.975068,BASLANGIC
0.137826,0.062551,0.992372,0.983290,0.631112,0.969933,0.956890,0.787549,0.873235,BASLANGIC
0.130282,0.658674,0.260512,0.040083,0.925294,0.008775,0.943289,0.963434,0.980386,BASLANGIC
0.446415,0.202722,0.976553,0.850397,0.870824,0.746973,0.983656,0.749981,0.949382,BASLANGIC
0.185708,0.739158,0.230317,0.034144,0.850938,0.007350,0.954682,0.921430,0.979338,BASLANGIC
0.471383,0.232607,0.968642,0.816006,0.886347,0.693951,0.983219,0.766306,0.956726,BASLANGIC
0.223686,0.820604,0.183791,0.019243,0.882513,0.003861,0.957139,0.953160,0.982365,BASLANGIC
0.274444,0.125890,0.985214,0.941232,0.802091,0.896265,0.973336,0.755008,0.916754,BASLANGIC
0.589820,0.268269,0.969329,0.744054,0.895898,0.589239,0.987319,0.791405,0.970665,BASLANGIC
0.181758,0.754297,0.224469,0.033738,0.819908,0.007288,0.945400,0.975811,0.977306,BASLANGIC
0.234577,0.115669,0.984949,0.949377,0.801161,0.910307,0.967733,0.784867,0.911410,BASLANGIC
0.118924,0.557931,0.390571,0.116293,0.942020,0.032767,0.934156,0.986575,0.979436,BASLANGIC
0.246925,0.124689,0.983238,0.944628,0.806468,0.902107,0.964002,0.859074,0.914146,BASLANGIC
0.172538,0.081278,0.989901,0.976031,0.685070,0.957013,0.959433,0.791550,0.885871,BASLANGIC
0.159734,0.727604,0.219340,0.025565,0.887265,0.005314,0.949642,0.920485,0.983859,BASLANGIC
0.140596,0.068884,0.990872,0.980426,0.674858,0.964824,0.957028,0.771774,0.878294,BASLANGIC
0.144562,0.614071,0.327521,0.074818,0.751008,0.018681,0.939053,0.943952,0.962901,BASLANGIC
0.258746,0.122450,0.984960,0.942595,0.807403,0.898607,0.969971,0.771188,0.915747,BASLANGIC
0.181444,0.769247,0.195179,0.021916,0.865466,0.004495,0.948863,0.948248,0.979489,BASLANGIC
0.377182,0.184436,0.976291,0.876339,0.867577,0.788243,0.979554,0.760606,0.942221,BASLANGIC
0.198014,0.816062,0.158344,0.013389,0.852340,0.002646,0.952137,0.957825,0.982327,BASLANGIC
0.105608,0.051373,0.993574,0.988615,0.577953,0.979465,0.953165,0.759717,0.860448,BASLANGIC
0.160757,0.732211,0.218225,0.019923,0.884225,0.004037,0.950442,0.915868,0.982885,BASLANGIC
0.153322,0.070516,0.991686,0.978721,0.687066,0.961790,0.962506,0.747804,0.882119,BASLANGIC
0.148347,0.667880,0.287986,0.063793,0.839583,0.015261,0.945892,0.928616,0.972685,BASLANGIC
0.170657,0.076407,0.991537,0.975624,0.702113,0.956292,0.965162,0.736310,0.887188,BASLANGIC
0.139050,0.659522,0.279928,0.096415,0.921303,0.025554,0.946299,0.953654,0.974931,BASLANGIC
0.170843,0.078477,0.990903,0.974267,0.713088,0.953887,0.964880,0.736710,0.888539,BASLANGIC
0.105059,0.590166,0.308077,0.045863,0.851587,0.010378,0.938828,0.958726,0.983458,BASLANGIC
0.224875,0.104488,0.987535,0.962644,0.740446,0.933411,0.967116,0.775414,0.900986,BASLANGIC
0.186081,0.720143,0.268505,0.062583,0.879909,0.014864,0.948551,0.953413,0.973491,BASLANGIC
0.393321,0.180378,0.978685,0.880143,0.859126,0.794385,0.981085,0.744738,0.941372,BASLANGIC
0.118397,0.514237,0.434454,0.174063,0.878240,0.057217,0.935436,0.972387,0.962638,BASLANGIC
0.445625,0.221658,0.969731,0.841556,0.876468,0.733160,0.979882,0.779634,0.951183,BASLANGIC
0.119252,0.526323,0.415733,0.135987,0.951258,0.040542,0.933116,0.993936,0.983441,BASLANGIC
0.156877,0.074379,0.990584,0.980168,0.643937,0.964365,0.953124,0.837533,0.878784,BASLANGIC
0.105368,0.589386,0.307886,0.080293,0.822210,0.020370,0.940103,0.930939,0.962288,BASLANGIC
0.135142,0.061525,0.993077,0.984572,0.616637,0.972223,0.958094,0.749597,0.871320,BASLANGIC
0.155579,0.705689,0.240040,0.043685,0.823996,0.009858,0.944974,0.933314,0.974866,BASLANGIC
0.242438,0.114067,0.986256,0.954374,0.772278,0.918975,0.968266,0.784770,0.907894,BASLANGIC
0.106189,0.593108,0.311031,0.046097,0.845320,0.010459,0.936920,0.952132,0.983210,BASLANGIC
0.280512,0.127098,0.985452,0.941059,0.797868,0.895968,0.974572,0.741713,0.916773,BASLANGIC
0.226849,0.886175,0.106772,0.020688,0.699077,0.004316,0.955762,0.910154,0.985922,BASLANGIC
0.149841,0.072247,0.990576,0.979405,0.679973,0.963008,0.958391,0.781157,0.880761,BASLANGIC
0.103867,0.569394,0.337112,0.044240,0.867458,0.009951,0.936244,0.951254,0.982075,BASLANGIC
0.130377,0.059002,0.993338,0.984896,0.622283,0.972804,0.958444,0.750114,0.870649,BASLANGIC
0.173857,0.754618,0.207666,0.035701,0.784628,0.007802,0.949229,0.917167,0.976248,BASLANGIC
0.189333,0.085977,0.990289,0.970406,0.727795,0.947060,0.965723,0.761065,0.893630,BASLANGIC
0.164511,0.694206,0.243310,0.072022,0.579376,0.017930,0.937919,0.950791,0.972066,BASLANGIC
0.154797,0.070457,0.991623,0.979189,0.677061,0.962624,0.959280,0.790119,0.881372,BASLANGIC
0.099341,0.562963,0.335616,0.039896,0.883267,0.008832,0.935521,0.955971,0.980959,BASLANGIC
0.123934,0.058105,0.992885,0.985506,0.615835,0.973895,0.956995,0.753949,0.868569,BASLANGIC
0.097282,0.483214,0.450961,0.154018,0.882780,0.048077,0.936698,0.907655,0.964432,BASLANGIC
0.068994,0.031244,0.996597,0.995304,0.300535,0.991504,0.947687,0.723814,0.830051,BASLANGIC
0.138626,0.622406,0.308073,0.087531,0.731721,0.022772,0.939815,0.929363,0.965844,BASLANGIC
0.266536,0.117395,0.987518,0.948086,0.784357,0.908074,0.969635,0.776055,0.912778,BASLANGIC
0.103620,0.562348,0.340603,0.042006,0.877838,0.009353,0.937959,0.944777,0.978639,BASLANGIC
0.214041,0.099769,0.987671,0.961628,0.760211,0.931631,0.967283,0.754103,0.901964,BASLANGIC
0.163123,0.724141,0.242748,0.053723,0.808562,0.012448,0.945856,0.924315,0.976003,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,NORMAL
