@RELATION HOG

@ATTRIBUTE hog_mean NUMERIC
@ATTRIBUTE hog_std NUMERIC
@ATTRIBUTE hog_skew NUMERIC
@ATTRIBUTE hog_kurtosis NUMERIC
@ATTRIBUTE class {BASLANGIC,NORMAL,TUMORLU}

@DATA
0.087607,0.551555,0.781205,0.617487,BASLANGIC
0.911755,0.690654,0.036706,0.001928,BASLANGIC
0.118447,0.570646,0.506553,0.227811,BASLANGIC
0.914246,0.687016,0.040126,0.002016,BASLANGIC
0.152725,0.655053,0.465772,0.206349,BASLANGIC
0.093694,0.496134,0.531036,0.243972,BASLANGIC
0.950149,0.631070,0.028408,0.001377,BASLANGIC
0.102106,0.494302,0.474829,0.190188,BASLANGIC
0.928600,0.665470,0.040824,0.001664,BASLANGIC
0.176651,0.690841,0.401159,0.142318,BASLANGIC
0.944384,0.640532,0.031185,0.002240,BASLANGIC
0.098017,0.549622,0.650293,0.423667,BASLANGIC
0.968295,0.599916,0.020613,0.000793,BASLANGIC
0.107737,0.572980,0.613668,0.380258,BASLANGIC
0.053722,0.409105,0.939184,0.962350,BASLANGIC
0.924490,0.671744,0.040357,0.000744,BASLANGIC
0.130927,0.567634,0.447683,0.179899,BASLANGIC
0.929676,0.663812,0.029772,0.003203,BASLANGIC
0.065343,0.407238,0.630033,0.342728,BASLANGIC
0.881111,0.733162,0.063797,0.003225,BASLANGIC
0.102273,0.548767,0.613602,0.380040,BASLANGIC
0.771943,0.858097,0.108955,0.010636,BASLANGIC
0.270198,0.894835,0.325204,0.092078,BASLANGIC
0.913840,0.687611,0.047425,0.001365,BASLANGIC
0.076276,0.470091,0.753543,0.613087,BASLANGIC
0.977641,0.582978,0.024064,0.002124,BASLANGIC
0.352616,1.000000,0.292554,0.078790,BASLANGIC
0.936977,0.652406,0.031684,0.000852,BASLANGIC
0.125969,0.568869,0.473659,0.200824,BASLANGIC
0.971074,0.594947,0.021267,0.001384,BASLANGIC
0.097981,0.495221,0.494630,0.206740,BASLANGIC
0.881434,0.732734,0.073435,0.005402,BASLANGIC
0.261639,0.865387,0.323708,0.092922,BASLANGIC
0.848256,0.774675,0.078690,0.008074,BASLANGIC
0.251008,0.835494,0.345690,0.112923,BASLANGIC
0.968766,0.599078,0.022685,0.001116,BASLANGIC
0.095403,0.495775,0.519466,0.229778,BASLANGIC
0.957061,0.619457,0.026496,0.001836,BASLANGIC
0.091630,0.496558,0.572415,0.295838,BASLANGIC
0.942866,0.642991,0.038147,0.002103,BASLANGIC
0.091571,0.496570,0.626270,0.411937,BASLANGIC
0.928338,0.665872,0.046305,0.001630,BASLANGIC
0.172587,0.691972,0.473572,0.240216,BASLANGIC
0.895981,0.713033,0.058829,0.004132,BASLANGIC
0.253047,0.851670,0.350145,0.111326,BASLANGIC
0.927104,0.667764,0.047661,0.003208,BASLANGIC
0.043875,0.334031,0.796461,0.548349,BASLANGIC
0.930476,0.662576,0.036963,0.000765,BASLANGIC
0.146048,0.634719,0.502313,0.263032,BASLANGIC
0.951910,0.628140,0.030483,0.001911,BASLANGIC
0.121575,0.617785,0.618585,0.396948,BASLANGIC
0.868888,0.710101,0.041911,0.003145,BASLANGIC
0.144123,0.635203,0.468151,0.207384,BASLANGIC
0.906785,0.697824,0.060911,0.004423,BASLANGIC
0.092580,0.496364,0.554658,0.275739,BASLANGIC
0.961431,0.611957,0.017985,0.000979,BASLANGIC
0.122993,0.569586,0.482157,0.206034,BASLANGIC
0.842730,0.781291,0.083345,0.008464,BASLANGIC
0.334663,0.992556,0.301292,0.084288,BASLANGIC
0.991847,0.555915,0.005832,0.001783,BASLANGIC
0.112970,0.571868,0.604340,0.379523,BASLANGIC
0.905505,0.699653,0.053391,0.003612,BASLANGIC
0.146689,0.677872,0.548655,0.308060,BASLANGIC
0.962243,0.610549,0.021882,0.000889,BASLANGIC
0.096863,0.495463,0.528574,0.245491,BASLANGIC
0.100900,0.494574,0.485950,0.201274,BASLANGIC
0.883209,0.730376,0.050675,0.003009,BASLANGIC
0.212247,0.777260,0.374176,0.126392,BASLANGIC
0.965552,0.604767,0.026716,0.001557,BASLANGIC
0.129863,0.638582,0.533923,0.275287,BASLANGIC
0.967024,0.602170,0.020194,0.000711,BASLANGIC
0.057256,0.473058,1.000000,1.000000,BASLANGIC
0.948487,0.633819,0.024799,0.000505,BASLANGIC
0.124432,0.569241,0.466709,0.188584,BASLANGIC
0.937303,0.651889,0.025036,0.001223,BASLANGIC
0.135249,0.614646,0.472702,0.198909,BASLANGIC
0.940470,0.646845,0.034588,0.002264,BASLANGIC
0.078562,0.404657,0.516604,0.226423,BASLANGIC
0.965001,0.605735,0.023609,0.001202,BASLANGIC
0.094217,0.496025,0.594816,0.364772,BASLANGIC
0.972213,0.592894,0.018057,0.001056,BASLANGIC
0.081255,0.526280,0.811222,0.681782,BASLANGIC
0.939948,0.647681,0.029040,0.001533,BASLANGIC
0.162302,0.673940,0.463295,0.212762,BASLANGIC
0.111705,0.572142,0.654851,0.470013,BASLANGIC
0.979753,0.579058,0.006088,0.001237,BASLANGIC
0.078994,0.469597,0.632221,0.361551,BASLANGIC
0.099806,0.494819,0.520265,0.247244,BASLANGIC
0.889933,0.721328,0.059289,0.003353,BASLANGIC
0.095618,0.523614,0.652468,0.448166,BASLANGIC
0.960206,0.614072,0.020519,0.000678,BASLANGIC
0.099856,0.494808,0.506337,0.219971,BASLANGIC
0.914698,0.686353,0.049905,0.003088,BASLANGIC
0.219078,0.793292,0.371020,0.125319,BASLANGIC
0.942835,0.643042,0.030658,0.001445,BASLANGIC
0.243698,0.837874,0.349190,0.113692,BASLANGIC
0.888986,0.722614,0.073465,0.007568,BASLANGIC
0.157705,0.631639,0.411011,0.148987,BASLANGIC
0.255435,0.915261,0.376919,0.134496,BASLANGIC
0.933773,0.657447,0.033693,0.000950,BASLANGIC
0.135771,0.566379,0.431312,0.167903,BASLANGIC
0.893541,0.716398,0.058556,0.004065,BASLANGIC
0.105617,0.548069,0.547308,0.268177,BASLANGIC
0.095030,0.495854,0.545190,0.263918,BASLANGIC
0.965842,0.604257,0.043101,0.003819,BASLANGIC
0.065722,0.407171,0.638168,0.358464,BASLANGIC
0.955387,0.622297,0.030783,0.001893,BASLANGIC
0.122574,0.569685,0.470845,0.193080,BASLANGIC
0.891125,0.719706,0.055608,0.003351,BASLANGIC
0.159530,0.653264,0.394734,0.129302,BASLANGIC
0.934179,0.656811,0.042296,0.002515,BASLANGIC
0.056593,0.331918,0.572555,0.273825,BASLANGIC
0.921124,0.676818,0.039908,0.002082,BASLANGIC
0.100881,0.549051,0.635848,0.415809,BASLANGIC
0.944962,0.639592,0.016481,0.000604,BASLANGIC
0.121802,0.569868,0.504284,0.233400,BASLANGIC
0.936766,0.652740,0.028933,0.002620,BASLANGIC
0.125897,0.616831,0.602141,0.384137,BASLANGIC
0.914544,0.686579,0.057890,0.004072,BASLANGIC
0.095699,0.495712,0.521918,0.234989,BASLANGIC
0.897406,0.711056,0.065550,0.007071,BASLANGIC
0.198819,0.762752,0.401615,0.153190,BASLANGIC
0.908517,0.695338,0.070347,0.008150,BASLANGIC
0.188101,0.765741,0.426863,0.171044,BASLANGIC
0.897533,0.710879,0.067922,0.004524,BASLANGIC
0.097094,0.495413,0.540237,0.264267,BASLANGIC
0.974778,0.588236,0.021989,0.002800,BASLANGIC
0.098241,0.495164,0.510503,0.226477,BASLANGIC
0.897084,0.711504,0.053581,0.002093,BASLANGIC
0.170909,0.692431,0.453720,0.205562,BASLANGIC
0.915502,0.685170,0.049063,0.003195,BASLANGIC
0.158993,0.631283,0.406743,0.143352,BASLANGIC
0.958200,0.617513,0.040960,0.002851,BASLANGIC
0.107207,0.547729,0.609981,0.394558,BASLANGIC
0.902530,0.703875,0.053277,0.003322,BASLANGIC
0.071115,0.406171,0.585647,0.296779,BASLANGIC
0.907733,0.696465,0.038148,0.001522,BASLANGIC
0.104843,0.548233,0.617370,0.396653,BASLANGIC
0.940540,0.646733,0.033843,0.000913,BASLANGIC
0.113852,0.571676,0.626127,0.423563,BASLANGIC
0.909663,0.693685,0.051916,0.004302,BASLANGIC
0.069307,0.471279,0.795093,0.649535,BASLANGIC
0.979046,0.580375,0.019215,0.001536,BASLANGIC
0.060207,0.408109,0.704631,0.455151,BASLANGIC
0.977788,0.582707,0.017524,0.002906,BASLANGIC
0.111052,0.546884,0.502303,0.216981,BASLANGIC
0.917455,0.682287,0.051886,0.004421,BASLANGIC
0.131686,0.638171,0.553721,0.303135,BASLANGIC
0.949730,0.631765,0.040711,0.003650,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.979481,0.579566,0.016486,0.000831,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.952251,0.627571,0.026865,0.000594,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.944847,0.639779,0.031740,0.000534,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.972698,0.592018,0.019322,0.001131,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.908349,0.695579,0.047992,0.002490,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.949688,0.631835,0.029489,0.003438,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.756707,0.839726,0.109334,0.023050,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.755494,0.840928,0.093815,0.012289,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.956311,0.620732,0.037167,0.003259,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.947643,0.635207,0.026125,0.001138,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.956719,0.620039,0.028346,0.000740,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.956034,0.621202,0.028812,0.001905,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.961265,0.612243,0.032937,0.001707,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.954640,0.623560,0.032362,0.001180,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.929080,0.664731,0.038611,0.001637,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.906672,0.697986,0.041543,0.002047,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.910562,0.692385,0.054721,0.003152,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.932153,0.659975,0.041461,0.001445,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.913283,0.688426,0.033251,0.002548,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.975046,0.587746,0.012713,0.001023,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.953025,0.626274,0.021364,0.001059,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.940255,0.647190,0.032237,0.000900,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.978306,0.581749,0.024471,0.002507,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.957734,0.618310,0.016621,0.000745,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.938518,0.649962,0.044319,0.004639,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.890984,0.719898,0.060739,0.004852,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.946969,0.636314,0.024849,0.001851,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.878586,0.736493,0.060502,0.004318,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.926611,0.668517,0.047532,0.002853,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.967400,0.601504,0.032656,0.002342,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.930197,0.663008,0.036905,0.000851,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.937891,0.650958,0.036331,0.002281,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.954894,0.623130,0.032956,0.001152,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.915759,0.684793,0.052698,0.002339,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.951053,0.629568,0.032596,0.002550,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.951671,0.628539,0.039866,0.003249,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.990257,0.559028,0.002266,0.001285,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.946559,0.636985,0.028800,0.001262,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.952680,0.626853,0.031925,0.001582,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.954627,0.623580,0.032855,0.001462,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.946766,0.636646,0.033714,0.002603,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.954274,0.624176,0.028926,0.001652,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.951951,0.628071,0.030408,0.001150,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.940763,0.646375,0.030107,0.001500,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.942314,0.643882,0.032026,0.001187,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.996031,0.547612,0.001763,0.000857,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.947881,0.634816,0.030947,0.001380,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.937310,0.651878,0.042303,0.003175,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.959891,0.614615,0.024626,0.002703,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.956125,0.621048,0.025465,0.002355,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.950194,0.630995,0.032028,0.002940,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.962916,0.609379,0.020092,0.002420,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.981005,0.576719,0.015263,0.002404,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
1.000000,0.539584,0.000000,0.001479,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.984726,0.569691,0.007457,0.002648,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.919354,0.679465,0.036907,0.001306,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.938552,0.649907,0.030051,0.001467,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.915134,0.685712,0.041490,0.001800,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.947304,0.635764,0.040221,0.002747,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.957123,0.619351,0.025942,0.001445,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.915940,0.684526,0.028822,0.002206,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.920181,0.678231,0.030630,0.002386,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.951400,0.628990,0.035671,0.002190,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.930965,0.661819,0.041594,0.001819,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.986512,0.566277,0.009961,0.002418,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.991205,0.557174,0.000480,0.002853,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.929701,0.663775,0.036038,0.001713,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.973400,0.590745,0.020436,0.000784,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.931842,0.660458,0.047253,0.002231,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.945413,0.638858,0.031874,0.001653,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.891881,0.718673,0.044525,0.000817,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.905356,0.699865,0.057047,0.002472,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.952102,0.627820,0.024487,0.000573,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.919096,0.679849,0.045083,0.000917,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.934961,0.655584,0.037828,0.001248,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.937563,0.651477,0.047227,0.003538,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.978476,0.581434,0.018670,0.001188,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.945390,0.638896,0.032578,0.001452,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.958741,0.616588,0.023843,0.001015,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.939513,0.648375,0.036146,0.001450,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.959192,0.615816,0.027211,0.000435,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.942284,0.643930,0.035149,0.001718,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.931454,0.661061,0.036318,0.000721,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.941230,0.645626,0.038739,0.002353,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.944678,0.640055,0.023434,0.000670,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.914391,0.686803,0.029013,0.001034,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.890512,0.720540,0.060309,0.003196,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.932258,0.659812,0.045215,0.002812,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.965568,0.604739,0.027198,0.001565,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.927352,0.667384,0.045616,0.002669,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.963616,0.608160,0.024958,0.001477,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.970240,0.596444,0.017721,0.001038,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.962378,0.610315,0.032081,0.002582,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.962111,0.610778,0.027605,0.001683,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.941744,0.644801,0.028390,0.000277,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.942919,0.642906,0.026782,0.000582,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.941243,0.645605,0.039190,0.002797,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.957649,0.618455,0.033062,0.002048,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.924041,0.672424,0.043158,0.001277,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.914275,0.686974,0.049520,0.002463,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.930174,0.663043,0.034566,0.001358,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.946575,0.636960,0.039368,0.001960,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.958086,0.617709,0.028160,0.002304,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.909990,0.693213,0.050807,0.003347,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.949068,0.632859,0.036397,0.002636,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.947679,0.635149,0.026695,0.000318,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.932611,0.659261,0.042532,0.002477,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.934113,0.656914,0.035114,0.000908,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.942694,0.643270,0.045892,0.003229,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.979685,0.579186,0.012189,0.000709,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.984440,0.570235,0.010328,0.001149,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.935698,0.654425,0.040422,0.002657,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.968442,0.599654,0.020516,0.001865,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.962016,0.610943,0.027479,0.001131,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.979538,0.579460,0.015835,0.001039,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.934532,0.656258,0.036063,0.001187,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.874347,0.742030,0.060804,0.003335,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.929894,0.663476,0.038771,0.001521,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.925621,0.670026,0.036307,0.001310,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.971513,0.594156,0.030667,0.003408,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.941356,0.645424,0.035017,0.001950,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.939056,0.649104,0.040949,0.003858,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.976148,0.585728,0.013339,0.001266,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.887349,0.724826,0.065981,0.005644,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.960463,0.613629,0.029114,0.001681,NORMAL
0.000000,0.000000,0.005461,0.010893,NORMAL
0.365295,0.951157,0.263715,0.063687,TUMORLU
0.985955,0.567343,0.002226,0.001809,TUMORLU
0.376181,0.976041,0.272679,0.075771,TUMORLU
0.940530,0.646749,0.031157,0.001458,TUMORLU
