@RELATION WAVELET_SINGLE_GLCM_ENERGY

@ATTRIBUTE wavelet_energy NUMERIC
@ATTRIBUTE class {BASLANGIC,NORMAL,TUMORLU}

@DATA
0.054798,TUMORLU
0.891485,TUMORLU
0.123928,TUMORLU
0.891560,TUMORLU
0.069199,TUMORLU
0.773251,TUMORLU
0.044917,TUMORLU
0.769374,TUMORLU
0.163720,TUMORLU
0.759447,TUMORLU
0.077480,TUMORLU
0.802650,TUMORLU
0.080870,TUMORLU
0.642559,TUMORLU
0.055705,TUMORLU
0.742050,TUMORLU
0.090563,TUMORLU
0.666290,TUMORLU
0.036945,TUMORLU
0.928716,TUMORLU
0.055843,TUMORLU
0.951594,TUMORLU
0.052180,TUMORLU
0.945845,TUMORLU
0.116773,TUMORLU
0.788604,TUMORLU
0.134724,TUMORLU
0.699623,TUMORLU
0.168183,TUMORLU
0.611443,TUMORLU
0.086941,TUMORLU
0.797259,TUMORLU
0.049401,TUMORLU
0.727010,TUMORLU
0.026191,TUMORLU
0.936690,TUMORLU
0.046699,TUMORLU
0.790790,TUMORLU
0.231726,TUMORLU
0.865072,TUMORLU
0.264697,TUMORLU
0.753575,TUMORLU
0.016246,TUMORLU
0.944653,TUMORLU
0.082601,TUMORLU
0.835772,TUMORLU
0.076932,TUMORLU
0.850162,TUMORLU
0.086012,TUMORLU
0.877539,TUMORLU
0.072858,TUMORLU
0.843482,TUMORLU
0.179596,TUMORLU
0.692224,TUMORLU
0.039047,TUMORLU
0.954347,TUMORLU
0.022364,TUMORLU
0.782875,TUMORLU
0.015744,TUMORLU
0.917525,TUMORLU
0.055579,TUMORLU
0.752268,TUMORLU
0.095970,TUMORLU
0.932705,TUMORLU
0.089888,TUMORLU
0.906982,TUMORLU
0.125569,TUMORLU
0.880977,TUMORLU
0.071182,TUMORLU
0.877131,TUMORLU
0.032668,TUMORLU
0.741946,TUMORLU
0.040127,TUMORLU
0.994030,TUMORLU
0.911217,TUMORLU
0.033679,TUMORLU
0.911108,TUMORLU
0.023409,TUMORLU
0.928880,TUMORLU
0.068329,TUMORLU
0.774220,TUMORLU
0.047060,TUMORLU
0.838159,TUMORLU
0.055759,TUMORLU
0.764884,TUMORLU
0.107750,TUMORLU
0.729874,TUMORLU
0.104750,TUMORLU
0.792377,TUMORLU
0.038827,TUMORLU
0.949125,TUMORLU
0.049768,TUMORLU
0.817617,TUMORLU
0.072620,TUMORLU
0.797215,TUMORLU
0.174074,TUMORLU
0.895493,TUMORLU
0.041384,TUMORLU
0.938087,TUMORLU
0.017112,TUMORLU
0.917062,TUMORLU
0.044636,TUMORLU
0.932219,TUMORLU
0.080153,TUMORLU
0.701581,TUMORLU
0.133894,TUMORLU
0.900914,TUMORLU
0.210766,TUMORLU
0.921297,TUMORLU
0.093714,TUMORLU
0.716287,TUMORLU
0.114300,TUMORLU
0.624135,TUMORLU
0.029020,TUMORLU
0.940136,TUMORLU
0.028989,TUMORLU
0.933658,TUMORLU
0.089709,TUMORLU
0.752192,TUMORLU
0.205177,TUMORLU
0.792143,TUMORLU
0.038621,TUMORLU
0.856859,TUMORLU
0.042895,TUMORLU
0.847516,TUMORLU
0.108486,TUMORLU
0.802741,TUMORLU
0.025214,TUMORLU
0.861094,TUMORLU
0.031014,TUMORLU
0.882872,TUMORLU
0.282095,TUMORLU
0.839737,TUMORLU
0.048903,TUMORLU
0.924725,TUMORLU
0.041936,TUMORLU
0.866214,TUMORLU
0.037690,TUMORLU
0.769335,TUMORLU
0.034640,TUMORLU
0.734082,TUMORLU
0.255457,TUMORLU
0.856960,TUMORLU
0.058744,TUMORLU
0.898695,TUMORLU
0.168382,TUMORLU
0.722394,TUMORLU
0.033246,TUMORLU
0.859787,TUMORLU
0.096756,TUMORLU
0.802328,TUMORLU
0.023831,TUMORLU
0.910305,TUMORLU
0.030382,TUMORLU
0.824267,TUMORLU
0.025508,TUMORLU
0.756374,TUMORLU
0.080373,TUMORLU
0.814568,TUMORLU
0.052557,TUMORLU
0.754428,TUMORLU
0.051671,TUMORLU
0.784772,TUMORLU
0.112638,TUMORLU
0.942173,TUMORLU
0.068128,TUMORLU
0.916405,TUMORLU
0.039916,TUMORLU
0.911617,TUMORLU
0.051019,TUMORLU
0.812091,TUMORLU
0.046450,TUMORLU
0.833179,TUMORLU
0.048272,TUMORLU
0.766478,TUMORLU
0.033675,TUMORLU
0.773559,TUMORLU
0.034205,TUMORLU
0.953742,TUMORLU
0.044658,TUMORLU
0.890816,TUMORLU
0.027532,TUMORLU
0.843342,TUMORLU
0.036015,TUMORLU
0.800520,TUMORLU
0.022677,TUMORLU
0.892046,TUMORLU
0.029257,TUMORLU
0.947877,TUMORLU
0.044112,TUMORLU
0.749258,TUMORLU
0.023736,TUMORLU
0.963229,TUMORLU
0.040824,TUMORLU
0.917027,TUMORLU
0.056206,TUMORLU
0.772802,TUMORLU
0.085303,TUMORLU
0.879213,TUMORLU
0.120621,TUMORLU
0.919815,TUMORLU
0.074211,TUMORLU
0.879744,TUMORLU
0.078494,TUMORLU
0.853866,TUMORLU
0.081417,TUMORLU
0.858355,TUMORLU
0.072978,TUMORLU
0.796268,TUMORLU
0.051071,TUMORLU
0.974505,TUMORLU
0.062637,TUMORLU
0.773541,TUMORLU
0.105830,TUMORLU
0.767886,TUMORLU
0.214973,TUMORLU
0.800444,TUMORLU
0.025547,TUMORLU
0.927793,TUMORLU
0.053865,TUMORLU
0.903789,TUMORLU
