@RELATION SINGLE_LL_HOMOGENEITY

@ATTRIBUTE LL_homogeneity NUMERIC
@ATTRIBUTE class {BASLANGIC,NORMAL,TUMORLU}

@DATA
0.972351,BASLANGIC
0.268992,BASLANGIC
0.913078,BASLANGIC
0.306767,BASLANGIC
0.916792,BASLANGIC
0.268761,BASLANGIC
0.980971,BASLANGIC
0.270733,BASLANGIC
0.983579,BASLANGIC
0.284771,BASLANGIC
0.981402,BASLANGIC
0.264244,BASLANGIC
0.954153,BASLANGIC
0.328260,BASLANGIC
0.909110,BASLANGIC
0.307619,BASLANGIC
0.984233,BASLANGIC
0.093889,BASLANGIC
0.964405,BASLANGIC
0.143560,BASLANGIC
0.973777,BASLANGIC
0.351140,BASLANGIC
0.968749,BASLANGIC
0.215705,BASLANGIC
0.983273,BASLANGIC
0.190607,BASLANGIC
0.960165,BASLANGIC
0.406249,BASLANGIC
0.906670,BASLANGIC
0.197746,BASLANGIC
0.977407,BASLANGIC
0.342390,BASLANGIC
0.962592,BASLANGIC
0.266970,BASLANGIC
0.984094,BASLANGIC
0.982465,BASLANGIC
0.315429,BASLANGIC
0.934426,BASLANGIC
0.218051,BASLANGIC
0.935582,BASLANGIC
0.177710,BASLANGIC
0.983461,BASLANGIC
0.209357,BASLANGIC
0.974957,BASLANGIC
0.310170,BASLANGIC
0.946280,BASLANGIC
0.198150,BASLANGIC
0.980367,BASLANGIC
0.346298,BASLANGIC
0.984628,BASLANGIC
0.335388,BASLANGIC
0.987854,BASLANGIC
0.250825,BASLANGIC
0.957877,BASLANGIC
0.979633,BASLANGIC
0.327776,BASLANGIC
0.967963,BASLANGIC
0.983183,BASLANGIC
0.311488,BASLANGIC
0.972850,BASLANGIC
0.292047,BASLANGIC
0.981810,BASLANGIC
0.284990,BASLANGIC
0.933841,BASLANGIC
0.316975,BASLANGIC
0.925723,BASLANGIC
0.265211,BASLANGIC
0.956365,BASLANGIC
0.926327,BASLANGIC
0.221878,BASLANGIC
0.957420,BASLANGIC
0.429281,BASLANGIC
0.965294,BASLANGIC
0.971058,BASLANGIC
0.270321,BASLANGIC
0.980477,BASLANGIC
0.232702,BASLANGIC
0.958465,BASLANGIC
0.245616,BASLANGIC
0.937687,BASLANGIC
0.215825,BASLANGIC
0.980943,BASLANGIC
0.234015,BASLANGIC
0.975375,BASLANGIC
0.321264,BASLANGIC
0.972464,BASLANGIC
0.305940,BASLANGIC
0.978127,BASLANGIC
0.281750,BASLANGIC
0.963962,BASLANGIC
0.307996,BASLANGIC
0.942804,BASLANGIC
0.441077,BASLANGIC
0.925603,BASLANGIC
0.423355,BASLANGIC
0.975053,BASLANGIC
0.218741,BASLANGIC
0.978754,BASLANGIC
0.256291,BASLANGIC
0.956860,BASLANGIC
0.264229,BASLANGIC
0.958610,BASLANGIC
0.178006,BASLANGIC
0.977249,BASLANGIC
0.321237,BASLANGIC
0.982056,BASLANGIC
0.238638,BASLANGIC
0.971978,BASLANGIC
0.145507,BASLANGIC
0.979240,BASLANGIC
0.340055,BASLANGIC
0.983222,BASLANGIC
0.436264,BASLANGIC
0.991085,BASLANGIC
0.224238,BASLANGIC
0.960944,BASLANGIC
0.301707,BASLANGIC
0.964657,BASLANGIC
0.227700,NORMAL
1.000000,NORMAL
0.345679,NORMAL
1.000000,NORMAL
0.211916,NORMAL
1.000000,NORMAL
0.199688,NORMAL
1.000000,NORMAL
0.116312,NORMAL
1.000000,NORMAL
0.158327,NORMAL
1.000000,NORMAL
0.313466,NORMAL
1.000000,NORMAL
0.500466,NORMAL
1.000000,NORMAL
0.502034,NORMAL
1.000000,NORMAL
0.202676,NORMAL
1.000000,NORMAL
0.165027,NORMAL
1.000000,NORMAL
0.187801,NORMAL
1.000000,NORMAL
0.164230,NORMAL
1.000000,NORMAL
0.302810,NORMAL
1.000000,NORMAL
0.226372,NORMAL
1.000000,NORMAL
0.354669,NORMAL
1.000000,NORMAL
0.416689,NORMAL
1.000000,NORMAL
0.167680,NORMAL
1.000000,NORMAL
0.032702,NORMAL
1.000000,NORMAL
0.424963,NORMAL
1.000000,NORMAL
0.287470,NORMAL
1.000000,NORMAL
0.180406,NORMAL
1.000000,NORMAL
0.254040,NORMAL
1.000000,NORMAL
0.179928,NORMAL
1.000000,NORMAL
0.184770,NORMAL
1.000000,NORMAL
0.294541,NORMAL
1.000000,NORMAL
0.264303,NORMAL
1.000000,NORMAL
0.295693,NORMAL
1.000000,NORMAL
0.336332,NORMAL
1.000000,NORMAL
0.334448,NORMAL
1.000000,NORMAL
0.101163,NORMAL
1.000000,NORMAL
0.180442,NORMAL
1.000000,NORMAL
0.331204,NORMAL
1.000000,NORMAL
0.209134,NORMAL
1.000000,NORMAL
0.205061,NORMAL
1.000000,NORMAL
0.300656,NORMAL
1.000000,NORMAL
0.435095,NORMAL
1.000000,NORMAL
0.236466,NORMAL
1.000000,NORMAL
0.309712,NORMAL
1.000000,NORMAL
0.267627,NORMAL
1.000000,NORMAL
0.138379,NORMAL
1.000000,NORMAL
0.366903,NORMAL
1.000000,NORMAL
0.262317,NORMAL
1.000000,NORMAL
0.121957,NORMAL
1.000000,NORMAL
0.317171,NORMAL
1.000000,NORMAL
0.276571,NORMAL
1.000000,NORMAL
0.242102,NORMAL
1.000000,NORMAL
0.141107,NORMAL
1.000000,NORMAL
0.403149,NORMAL
1.000000,NORMAL
0.299289,NORMAL
1.000000,NORMAL
0.290284,NORMAL
1.000000,NORMAL
0.444516,NORMAL
1.000000,NORMAL
0.311371,NORMAL
1.000000,NORMAL
0.401172,NORMAL
1.000000,NORMAL
0.235236,NORMAL
1.000000,NORMAL
0.414117,NORMAL
1.000000,NORMAL
0.286983,NORMAL
1.000000,NORMAL
0.328345,NORMAL
1.000000,NORMAL
0.278545,NORMAL
1.000000,NORMAL
0.252918,NORMAL
1.000000,NORMAL
0.148715,NORMAL
1.000000,NORMAL
0.422551,NORMAL
1.000000,NORMAL
0.393774,NORMAL
1.000000,NORMAL
0.292253,NORMAL
1.000000,NORMAL
0.163995,NORMAL
1.000000,NORMAL
0.424704,NORMAL
1.000000,NORMAL
0.398739,NORMAL
1.000000,NORMAL
0.295770,NORMAL
1.000000,NORMAL
0.237228,NORMAL
1.000000,NORMAL
0.263930,NORMAL
1.000000,NORMAL
0.148122,NORMAL
1.000000,NORMAL
0.405949,NORMAL
1.000000,NORMAL
0.233797,NORMAL
1.000000,NORMAL
0.212320,NORMAL
1.000000,NORMAL
0.147882,NORMAL
1.000000,NORMAL
0.200834,NORMAL
1.000000,NORMAL
0.209253,NORMAL
1.000000,NORMAL
0.206247,NORMAL
1.000000,NORMAL
0.291623,NORMAL
1.000000,NORMAL
0.180370,NORMAL
1.000000,NORMAL
0.335424,NORMAL
1.000000,NORMAL
0.000000,NORMAL
1.000000,NORMAL
0.176710,NORMAL
1.000000,NORMAL
0.162505,NORMAL
1.000000,NORMAL
0.068084,NORMAL
1.000000,NORMAL
0.273606,NORMAL
1.000000,NORMAL
0.332664,NORMAL
1.000000,NORMAL
0.269962,NORMAL
1.000000,NORMAL
0.214968,NORMAL
1.000000,NORMAL
0.304075,NORMAL
1.000000,NORMAL
0.236551,NORMAL
1.000000,NORMAL
0.114071,NORMAL
1.000000,NORMAL
0.173959,NORMAL
1.000000,NORMAL
0.121321,NORMAL
1.000000,NORMAL
0.119657,NORMAL
1.000000,NORMAL
0.309743,NORMAL
1.000000,NORMAL
0.308959,NORMAL
1.000000,NORMAL
0.241247,NORMAL
1.000000,NORMAL
0.239630,NORMAL
1.000000,NORMAL
0.265250,NORMAL
1.000000,NORMAL
0.255164,NORMAL
1.000000,NORMAL
0.213811,NORMAL
1.000000,NORMAL
0.228720,NORMAL
1.000000,NORMAL
0.361613,NORMAL
1.000000,NORMAL
0.258864,NORMAL
1.000000,NORMAL
0.217676,NORMAL
1.000000,NORMAL
0.225879,NORMAL
1.000000,NORMAL
0.339699,NORMAL
1.000000,NORMAL
0.240546,NORMAL
1.000000,NORMAL
0.152684,NORMAL
1.000000,NORMAL
0.180852,NORMAL
1.000000,NORMAL
0.197403,NORMAL
1.000000,NORMAL
0.097352,NORMAL
1.000000,NORMAL
0.325732,NORMAL
1.000000,NORMAL
0.173309,NORMAL
1.000000,NORMAL
0.189126,NORMAL
1.000000,NORMAL
0.154357,NORMAL
1.000000,NORMAL
0.367539,NORMAL
1.000000,NORMAL
0.159638,NORMAL
1.000000,NORMAL
0.330856,NORMAL
1.000000,NORMAL
0.164669,NORMAL
1.000000,NORMAL
0.280204,NORMAL
1.000000,NORMAL
0.305195,NORMAL
1.000000,NORMAL
0.278693,NORMAL
1.000000,NORMAL
0.280955,NORMAL
1.000000,NORMAL
0.103592,NORMAL
1.000000,NORMAL
0.866175,TUMORLU
0.206392,TUMORLU
0.871246,TUMORLU
0.471503,TUMORLU
0.944003,TUMORLU
0.397825,TUMORLU
0.938327,TUMORLU
0.400941,TUMORLU
0.939990,TUMORLU
0.388785,TUMORLU
0.945424,TUMORLU
0.409743,TUMORLU
0.954948,TUMORLU
0.403102,TUMORLU
0.951313,TUMORLU
0.390280,TUMORLU
0.952938,TUMORLU
0.152155,TUMORLU
0.970575,TUMORLU
0.166654,TUMORLU
0.933493,TUMORLU
0.183986,TUMORLU
0.964386,TUMORLU
0.194926,TUMORLU
0.927659,TUMORLU
0.367389,TUMORLU
0.907984,TUMORLU
0.275282,TUMORLU
0.891615,TUMORLU
0.414149,TUMORLU
0.879091,TUMORLU
0.319349,TUMORLU
0.941945,TUMORLU
0.430634,TUMORLU
0.936157,TUMORLU
0.359950,TUMORLU
0.900298,TUMORLU
0.297248,TUMORLU
0.906622,TUMORLU
0.422857,TUMORLU
0.895594,TUMORLU
0.413375,TUMORLU
0.906403,TUMORLU
0.415215,TUMORLU
0.854953,TUMORLU
0.378785,TUMORLU
0.885275,TUMORLU
0.435037,TUMORLU
0.872584,TUMORLU
0.299302,TUMORLU
0.956156,TUMORLU
0.328031,TUMORLU
0.963608,TUMORLU
0.318043,TUMORLU
0.964182,TUMORLU
0.445979,TUMORLU
0.913313,TUMORLU
0.493216,TUMORLU
0.876670,TUMORLU
0.456159,TUMORLU
0.847558,TUMORLU
0.399582,TUMORLU
0.902532,TUMORLU
0.352115,TUMORLU
0.869282,TUMORLU
0.239088,TUMORLU
0.953653,TUMORLU
0.306497,TUMORLU
0.918883,TUMORLU
0.563276,TUMORLU
0.932743,TUMORLU
0.585513,TUMORLU
0.909847,TUMORLU
0.191241,TUMORLU
0.961244,TUMORLU
0.342120,TUMORLU
0.921816,TUMORLU
0.344557,TUMORLU
0.921774,TUMORLU
0.355260,TUMORLU
0.934811,TUMORLU
0.334980,TUMORLU
0.924746,TUMORLU
0.516059,TUMORLU
0.873462,TUMORLU
0.328799,TUMORLU
0.969582,TUMORLU
0.243095,TUMORLU
0.899513,TUMORLU
0.236844,TUMORLU
0.949904,TUMORLU
0.339021,TUMORLU
0.886379,TUMORLU
0.413440,TUMORLU
0.958869,TUMORLU
0.355563,TUMORLU
0.942302,TUMORLU
0.481756,TUMORLU
0.927484,TUMORLU
0.331555,TUMORLU
0.928977,TUMORLU
0.209172,TUMORLU
0.880744,TUMORLU
0.186400,TUMORLU
0.993409,TUMORLU
0.941332,TUMORLU
0.315424,TUMORLU
0.946798,TUMORLU
0.212874,TUMORLU
0.956056,TUMORLU
0.287766,TUMORLU
0.911959,TUMORLU
0.256843,TUMORLU
0.925742,TUMORLU
0.278531,TUMORLU
0.910736,TUMORLU
0.375947,TUMORLU
0.891488,TUMORLU
0.380543,TUMORLU
0.900870,TUMORLU
0.245453,TUMORLU
0.962888,TUMORLU
0.305681,TUMORLU
0.906930,TUMORLU
0.401322,TUMORLU
0.907954,TUMORLU
0.405329,TUMORLU
0.933192,TUMORLU
0.234494,TUMORLU
0.957040,TUMORLU
0.177886,TUMORLU
0.947171,TUMORLU
0.267652,TUMORLU
0.952173,TUMORLU
0.269131,TUMORLU
0.899697,TUMORLU
0.385347,TUMORLU
0.931684,TUMORLU
0.443571,TUMORLU
0.951078,TUMORLU
0.403559,TUMORLU
0.875688,TUMORLU
0.465584,TUMORLU
0.864604,TUMORLU
0.235070,TUMORLU
0.957288,TUMORLU
0.227561,TUMORLU
0.955692,TUMORLU
0.421898,TUMORLU
0.915264,TUMORLU
0.394982,TUMORLU
0.901196,TUMORLU
0.257542,TUMORLU
0.937690,TUMORLU
0.268976,TUMORLU
0.928954,TUMORLU
0.422328,TUMORLU
0.914668,TUMORLU
0.227895,TUMORLU
0.919812,TUMORLU
0.236540,TUMORLU
0.944828,TUMORLU
0.529041,TUMORLU
0.915269,TUMORLU
0.254740,TUMORLU
0.954161,TUMORLU
0.267556,TUMORLU
0.933079,TUMORLU
0.246262,TUMORLU
0.907725,TUMORLU
0.242155,TUMORLU
0.898155,TUMORLU
0.408295,TUMORLU
0.934633,TUMORLU
0.330809,TUMORLU
0.947316,TUMORLU
0.385253,TUMORLU
0.873934,TUMORLU
0.257054,TUMORLU
0.928102,TUMORLU
0.441123,TUMORLU
0.901570,TUMORLU
0.229962,TUMORLU
0.947597,TUMORLU
0.263470,TUMORLU
0.929552,TUMORLU
0.225898,TUMORLU
0.892737,TUMORLU
0.337667,TUMORLU
0.919613,TUMORLU
0.349486,TUMORLU
0.906445,TUMORLU
0.334259,TUMORLU
0.915850,TUMORLU
0.336151,TUMORLU
0.960663,TUMORLU
0.278222,TUMORLU
0.948881,TUMORLU
0.311080,TUMORLU
0.944548,TUMORLU
0.312990,TUMORLU
0.902680,TUMORLU
0.250571,TUMORLU
0.921248,TUMORLU
0.349628,TUMORLU
0.905754,TUMORLU
0.292158,TUMORLU
0.881206,TUMORLU
0.275757,TUMORLU
0.966539,TUMORLU
0.288227,TUMORLU
0.931674,TUMORLU
0.224890,TUMORLU
0.922447,TUMORLU
0.225311,TUMORLU
0.909317,TUMORLU
0.170465,TUMORLU
0.939196,TUMORLU
0.188372,TUMORLU
0.963725,TUMORLU
0.259788,TUMORLU
0.897149,TUMORLU
0.184673,TUMORLU
0.970040,TUMORLU
0.215563,TUMORLU
0.943741,TUMORLU
0.291191,TUMORLU
0.902103,TUMORLU
0.410405,TUMORLU
0.924015,TUMORLU
0.426534,TUMORLU
0.950886,TUMORLU
0.435040,TUMORLU
0.929342,TUMORLU
0.364133,TUMORLU
0.935350,TUMORLU
0.357820,TUMORLU
0.931146,TUMORLU
0.353048,TUMORLU
0.919495,TUMORLU
0.269528,TUMORLU
0.977855,TUMORLU
0.323647,TUMORLU
0.914470,TUMORLU
0.406771,TUMORLU
0.900658,TUMORLU
0.468715,TUMORLU
0.920393,TUMORLU
0.237423,TUMORLU
0.957347,TUMORLU
0.308346,TUMORLU
0.950467,TUMORLU
