@RELATION GLCM_STAT

@ATTRIBUTE glcm_contrast NUMERIC
@ATTRIBUTE glcm_dissimilarity NUMERIC
@ATTRIBUTE glcm_homogeneity NUMERIC
@ATTRIBUTE glcm_energy NUMERIC
@ATTRIBUTE glcm_correlation NUMERIC
@ATTRIBUTE glcm_ASM NUMERIC
@ATTRIBUTE stat_skew NUMERIC
@ATTRIBUTE stat_kurtosis NUMERIC
@ATTRIBUTE stat_mean NUMERIC
@ATTRIBUTE stat_std NUMERIC
@ATTRIBUTE class {BASLANGIC,NORMAL,TUMORLU}

@DATA
0.104378,0.047163,0.994716,0.990364,0.511946,0.982606,0.493879,0.234617,0.011270,0.172329,BASLANGIC
0.161059,0.628845,0.341485,0.061207,0.827762,0.014501,0.035905,0.002887,0.395025,0.353157,BASLANGIC
0.457343,0.210277,0.975258,0.852613,0.865575,0.750456,0.104872,0.008044,0.205003,0.687987,BASLANGIC
0.263460,0.867986,0.151102,0.049891,0.425566,0.011514,0.039059,0.004901,0.432491,0.249472,BASLANGIC
0.134877,0.062019,0.992499,0.984875,0.596541,0.972765,0.395606,0.148028,0.017710,0.215489,BASLANGIC
0.215528,0.726921,0.263435,0.070006,0.522283,0.017214,0.057693,0.007003,0.414711,0.252279,BASLANGIC
0.104429,0.050318,0.993628,0.989317,0.552780,0.980725,0.470041,0.212141,0.012422,0.180103,BASLANGIC
0.187760,0.748616,0.240657,0.021966,0.877929,0.004519,0.020941,0.001892,0.714962,0.453334,BASLANGIC
0.107958,0.051575,0.993567,0.988188,0.582839,0.978699,0.447593,0.191679,0.013747,0.189493,BASLANGIC
0.220774,0.847899,0.164512,0.009324,0.866665,0.001833,0.013095,0.001823,0.720570,0.470562,BASLANGIC
0.157894,0.078135,0.989895,0.975555,0.715557,0.956169,0.304371,0.085545,0.029793,0.277710,BASLANGIC
0.148215,0.668814,0.272525,0.022678,0.935611,0.004610,0.028102,0.001524,0.610446,0.554362,BASLANGIC
0.551276,0.259012,0.967556,0.794279,0.880638,0.661444,0.078942,0.004002,0.300793,0.802013,BASLANGIC
0.144956,0.648725,0.301408,0.069275,0.742908,0.016986,0.048541,0.004261,0.385701,0.273325,BASLANGIC
0.082004,0.037906,0.995500,0.993431,0.415518,0.988126,0.607630,0.360012,0.007414,0.139529,BASLANGIC
0.111842,0.505825,0.451754,0.206678,0.950251,0.073399,0.051616,0.002255,0.463634,0.547379,BASLANGIC
0.268198,0.129586,0.983275,0.948170,0.776113,0.908220,0.203322,0.036012,0.065466,0.407745,BASLANGIC
0.224838,0.880904,0.122395,0.014755,0.757020,0.003014,0.022622,0.003095,0.697904,0.352500,BASLANGIC
0.104350,0.048856,0.994108,0.990293,0.502531,0.982479,0.497848,0.238811,0.011117,0.170672,BASLANGIC
0.162475,0.675372,0.280404,0.049026,0.890054,0.011104,0.018947,0.001279,0.490947,0.443693,BASLANGIC
0.259371,0.123107,0.984642,0.938916,0.819188,0.892292,0.184041,0.028951,0.078968,0.446450,BASLANGIC
0.182502,0.827010,0.127287,0.004648,0.845922,0.000924,0.013494,0.002056,0.681422,0.398092,BASLANGIC
0.241423,0.111366,0.986979,0.950623,0.792311,0.912465,0.207149,0.037469,0.063233,0.401851,BASLANGIC
0.183268,0.783215,0.176940,0.033875,0.727400,0.007347,0.007745,0.002838,0.483040,0.299673,BASLANGIC
0.168115,0.081073,0.989410,0.973864,0.718300,0.953172,0.293899,0.079344,0.031946,0.287812,BASLANGIC
0.190391,0.817019,0.146938,0.009456,0.837456,0.001926,0.014778,0.002104,0.805905,0.396030,BASLANGIC
0.099400,0.045488,0.994544,0.990517,0.521700,0.982881,0.500149,0.240854,0.010968,0.169822,BASLANGIC
0.083325,0.040450,0.994945,0.992333,0.481389,0.986148,0.567065,0.312970,0.008563,0.149396,BASLANGIC
0.197023,0.794321,0.191145,0.059476,0.742836,0.014018,0.025799,0.002996,0.394559,0.321358,BASLANGIC
0.405403,0.199847,0.973870,0.858278,0.875482,0.759396,0.108279,0.008689,0.195266,0.672994,BASLANGIC
0.249950,0.894765,0.132961,0.009329,0.803134,0.001868,0.007396,0.001977,0.689623,0.412405,BASLANGIC
0.147404,0.067367,0.992221,0.981099,0.662049,0.966023,0.345599,0.111546,0.023126,0.246074,BASLANGIC
0.244424,0.883852,0.136406,0.037464,0.628242,0.008380,0.043874,0.003530,0.549382,0.294361,BASLANGIC
0.215666,0.096941,0.989153,0.962250,0.757968,0.932721,0.239247,0.051116,0.047907,0.351782,BASLANGIC
0.173095,0.682308,0.315292,0.188576,0.838310,0.064142,0.038904,0.002222,0.325882,0.381924,BASLANGIC
0.086612,0.039907,0.994851,0.992829,0.435879,0.987042,0.579540,0.326384,0.008110,0.145826,BASLANGIC
0.147640,0.664404,0.297185,0.099122,0.891016,0.026499,0.040523,0.002213,0.380329,0.427530,BASLANGIC
0.142269,0.064340,0.992278,0.982099,0.645314,0.967807,0.361399,0.122454,0.021245,0.236036,BASLANGIC
0.192252,0.825487,0.147736,0.014481,0.836872,0.002950,0.019633,0.001762,0.608563,0.396446,BASLANGIC
0.086263,0.042170,0.994346,0.991663,0.501202,0.984942,0.545979,0.289275,0.009213,0.154944,BASLANGIC
0.117481,0.598947,0.323044,0.091535,0.718470,0.024151,0.052475,0.004501,0.353346,0.234929,BASLANGIC
0.515594,0.237214,0.971624,0.865539,0.832329,0.770932,0.113310,0.009661,0.182356,0.654092,BASLANGIC
0.185450,0.770384,0.208841,0.031267,0.859879,0.006644,0.029346,0.001869,0.480965,0.423061,BASLANGIC
0.282872,0.134541,0.982024,0.930448,0.824740,0.877840,0.171905,0.024905,0.089558,0.473541,BASLANGIC
0.250194,0.801948,0.211366,0.024469,0.863765,0.005094,0.033091,0.002108,0.612595,0.495210,BASLANGIC
0.290313,0.140268,0.981556,0.937601,0.799121,0.890041,0.183008,0.028605,0.079759,0.448027,BASLANGIC
0.194168,0.819476,0.162352,0.033662,0.822528,0.007253,0.045239,0.003125,0.448081,0.383893,BASLANGIC
0.132164,0.059461,0.993377,0.985851,0.591871,0.974512,0.401735,0.152779,0.017080,0.211935,BASLANGIC
0.177767,0.688755,0.294104,0.084432,0.808300,0.021584,0.027801,0.002712,0.397550,0.354246,BASLANGIC
0.371185,0.177633,0.977180,0.884371,0.861463,0.801241,0.124983,0.012139,0.155815,0.610282,BASLANGIC
0.067847,0.398020,0.526460,0.239658,0.929402,0.091494,0.080547,0.006638,0.232482,0.366591,BASLANGIC
0.163384,0.073447,0.991466,0.978922,0.663266,0.962147,0.327698,0.099703,0.025731,0.259558,BASLANGIC
0.138638,0.612348,0.345279,0.148034,0.895855,0.045472,0.049217,0.002721,0.339975,0.424474,BASLANGIC
0.171442,0.080874,0.989990,0.972366,0.730395,0.950523,0.284800,0.074193,0.034017,0.297173,BASLANGIC
0.233036,0.874665,0.152029,0.024997,0.881173,0.005170,0.032786,0.001716,0.729311,0.513486,BASLANGIC
0.171152,0.085151,0.988358,0.971845,0.731243,0.949602,0.284118,0.073899,0.034227,0.297373,BASLANGIC
0.184589,0.730186,0.253880,0.065232,0.666067,0.015792,0.040815,0.003161,0.408174,0.270666,BASLANGIC
0.187577,0.087290,0.989654,0.971643,0.712991,0.949244,0.281079,0.072148,0.034951,0.301280,BASLANGIC
0.159093,0.690770,0.274302,0.066790,0.901491,0.016113,0.029123,0.001176,0.458740,0.463343,BASLANGIC
0.384050,0.179490,0.978174,0.898767,0.837131,0.824803,0.136289,0.014798,0.134938,0.572510,BASLANGIC
0.103652,0.590266,0.310465,0.058600,0.924682,0.013755,0.037677,0.001872,0.471884,0.429093,BASLANGIC
0.305792,0.146826,0.980810,0.924070,0.827223,0.867032,0.162796,0.022078,0.098845,0.495928,BASLANGIC
0.162809,0.703781,0.259878,0.048715,0.867192,0.011071,0.036674,0.002692,0.507708,0.405195,BASLANGIC
0.104122,0.050072,0.993654,0.988787,0.577270,0.979774,0.458565,0.201448,0.013073,0.184941,BASLANGIC
0.166704,0.746876,0.201000,0.021704,0.907128,0.004476,0.013107,0.001013,0.610648,0.489924,BASLANGIC
0.128401,0.064090,0.991458,0.982994,0.661349,0.969405,0.368231,0.127724,0.020292,0.229345,BASLANGIC
0.250264,0.889162,0.138210,0.014613,0.817562,0.002885,0.019918,0.002645,0.596648,0.429862,BASLANGIC
0.318636,0.148710,0.981731,0.919960,0.829681,0.860101,0.157640,0.020543,0.104780,0.509904,BASLANGIC
0.260454,0.915635,0.135904,0.008310,0.833449,0.001672,0.007174,0.002143,0.761200,0.456841,BASLANGIC
0.109700,0.050879,0.993949,0.988258,0.576213,0.978824,0.448692,0.192467,0.013694,0.189527,BASLANGIC
0.104285,0.549841,0.353115,0.040891,0.942325,0.008994,0.027637,0.001265,0.517406,0.492262,BASLANGIC
0.083987,0.039601,0.995063,0.992984,0.424530,0.987321,0.595085,0.345226,0.007748,0.142296,BASLANGIC
0.135833,0.634239,0.313426,0.113944,0.917094,0.031861,0.046440,0.002166,0.373819,0.469755,BASLANGIC
0.323507,0.146888,0.983316,0.916916,0.835150,0.854986,0.153237,0.019275,0.110170,0.522267,BASLANGIC
0.184703,0.691902,0.305184,0.079423,0.920898,0.019929,0.031066,0.001238,0.508817,0.559816,BASLANGIC
0.671713,0.316187,0.960672,0.708085,0.893300,0.540049,0.048198,0.000994,0.484187,0.937718,BASLANGIC
0.234610,0.909550,0.102888,0.010991,0.817883,0.002149,0.013760,0.002039,0.569085,0.416228,BASLANGIC
0.206256,0.091230,0.990210,0.966278,0.740923,0.939789,0.254092,0.058134,0.042613,0.332547,BASLANGIC
0.133922,0.611901,0.331557,0.082540,0.932358,0.021012,0.027133,0.001222,0.490080,0.514475,BASLANGIC
0.102841,0.052197,0.992961,0.988151,0.591444,0.978633,0.451820,0.195875,0.013492,0.186978,BASLANGIC
0.249002,0.720933,0.308807,0.066649,0.842633,0.016078,0.033222,0.001658,0.449675,0.461533,BASLANGIC
0.121753,0.059980,0.991904,0.986540,0.578468,0.975745,0.423225,0.170759,0.015425,0.200231,BASLANGIC
0.150816,0.620522,0.354111,0.174401,0.868283,0.057315,0.038799,0.002331,0.338384,0.397277,BASLANGIC
0.159144,0.073072,0.991726,0.977926,0.689940,0.960378,0.318200,0.093776,0.027288,0.266991,BASLANGIC
0.212505,0.734892,0.286361,0.070359,0.878030,0.017139,0.035587,0.001756,0.456352,0.483610,BASLANGIC
0.324617,0.150122,0.981917,0.923335,0.818937,0.865790,0.161766,0.021760,0.100039,0.499138,BASLANGIC
0.088528,0.039997,0.995535,0.992712,0.443920,0.986830,0.571555,0.317189,0.008387,0.148677,BASLANGIC
0.181818,0.789850,0.173781,0.016513,0.882898,0.003310,0.018216,0.001834,0.576391,0.458341,BASLANGIC
0.170387,0.074773,0.992038,0.976879,0.685200,0.958517,0.310296,0.088844,0.028694,0.274162,BASLANGIC
0.125717,0.622367,0.311367,0.075623,0.744178,0.018945,0.050737,0.004776,0.336699,0.255023,BASLANGIC
0.320851,0.143067,0.984264,0.930513,0.804387,0.877950,0.170651,0.024490,0.090773,0.477448,BASLANGIC
0.160581,0.679253,0.296952,0.109197,0.835955,0.030128,0.057513,0.004011,0.307887,0.366366,BASLANGIC
0.137645,0.064490,0.992013,0.982727,0.645116,0.968929,0.366763,0.126421,0.020594,0.232076,BASLANGIC
0.178481,0.743383,0.222420,0.042610,0.893840,0.009430,0.025578,0.001432,0.494881,0.474717,BASLANGIC
0.207931,0.100017,0.987445,0.960083,0.773860,0.928929,0.234751,0.049142,0.049782,0.357447,BASLANGIC
0.066567,0.031745,0.995957,0.995285,0.282254,0.991471,0.743458,0.545488,0.004949,0.113403,BASLANGIC
0.143542,0.621392,0.322853,0.054550,0.937481,0.012603,0.033685,0.001452,0.560904,0.552302,BASLANGIC
0.269304,0.126534,0.983791,0.938392,0.812697,0.891395,0.183790,0.028857,0.079150,0.446937,BASLANGIC
0.158503,0.566199,0.394653,0.167637,0.917741,0.054164,0.038374,0.001572,0.412018,0.510525,BASLANGIC
0.086863,0.040673,0.995223,0.992762,0.444790,0.986921,0.573834,0.320336,0.008290,0.147380,BASLANGIC
0.113516,0.623486,0.278064,0.035181,0.856332,0.007687,0.013398,0.002237,0.589317,0.327340,BASLANGIC
0.232924,0.114171,0.985376,0.948797,0.804004,0.909305,0.204102,0.036328,0.065009,0.406367,BASLANGIC
0.114221,0.597080,0.321223,0.036473,0.945337,0.008028,0.036362,0.001478,0.564289,0.527424,BASLANGIC
0.601973,0.280214,0.965376,0.779743,0.877271,0.640129,0.073708,0.003352,0.326275,0.826655,BASLANGIC
0.104203,0.555550,0.357804,0.058696,0.826931,0.013933,0.030961,0.003102,0.374627,0.281638,BASLANGIC
0.121241,0.056439,0.993018,0.987247,0.569938,0.977012,0.429598,0.175794,0.014934,0.197836,BASLANGIC
0.091276,0.517083,0.376475,0.064532,0.917349,0.015434,0.050598,0.003433,0.428496,0.385057,BASLANGIC
0.791204,0.375606,0.952740,0.660810,0.888991,0.478593,0.024440,0.000000,0.680161,1.000000,BASLANGIC
0.180644,0.744020,0.232212,0.035150,0.823604,0.007622,0.029419,0.002280,0.485704,0.370683,BASLANGIC
0.236906,0.113595,0.985740,0.949801,0.797306,0.911041,0.206243,0.037139,0.063774,0.402961,BASLANGIC
0.197395,0.777968,0.214359,0.064855,0.856809,0.015562,0.044316,0.002590,0.433396,0.430222,BASLANGIC
0.189863,0.096777,0.986876,0.961939,0.782908,0.932175,0.240234,0.051696,0.047437,0.348462,BASLANGIC
0.195079,0.773013,0.209923,0.028142,0.867687,0.005931,0.020752,0.001970,0.532762,0.443788,BASLANGIC
0.518982,0.242628,0.969362,0.807523,0.880773,0.681169,0.084063,0.004690,0.278125,0.778403,BASLANGIC
0.193048,0.767907,0.222854,0.054169,0.923010,0.012470,0.024213,0.001333,0.576746,0.579462,BASLANGIC
0.514935,0.241498,0.970343,0.796043,0.888035,0.664056,0.079351,0.004054,0.298956,0.800371,BASLANGIC
0.115265,0.583074,0.341879,0.074006,0.819607,0.018317,0.036827,0.002615,0.371369,0.289993,BASLANGIC
0.123215,0.054888,0.993919,0.988549,0.521492,0.979348,0.450701,0.194019,0.013558,0.189069,BASLANGIC
0.135977,0.616083,0.324792,0.087626,0.720749,0.022715,0.051641,0.004235,0.369204,0.253747,BASLANGIC
0.124699,0.058732,0.992567,0.986836,0.561072,0.976275,0.428285,0.174824,0.015096,0.198542,BASLANGIC
0.124695,0.597810,0.343180,0.087784,0.785986,0.022763,0.059024,0.004768,0.355202,0.283787,BASLANGIC
0.103795,0.051371,0.992921,0.988168,0.581036,0.978663,0.457335,0.200537,0.013220,0.185448,BASLANGIC
0.198638,0.808141,0.184944,0.035109,0.890257,0.007554,0.035192,0.002153,0.535806,0.490819,BASLANGIC
0.326901,0.154089,0.980541,0.908760,0.846946,0.841355,0.145142,0.017068,0.121030,0.544769,BASLANGIC
0.135667,0.660539,0.264709,0.028407,0.908951,0.005930,0.018267,0.002087,0.579333,0.446020,BASLANGIC
0.530680,0.265888,0.963411,0.763900,0.897850,0.617280,0.068285,0.002744,0.355074,0.850958,BASLANGIC
0.151953,0.679708,0.271964,0.050119,0.899250,0.011416,0.024655,0.001761,0.545511,0.448030,BASLANGIC
0.094740,0.050129,0.993021,0.989074,0.579992,0.980289,0.476802,0.219435,0.012181,0.177079,BASLANGIC
0.249076,0.953297,0.067896,0.011187,0.722415,0.002288,0.032105,0.002442,0.464164,0.346583,BASLANGIC
0.230341,0.105692,0.987571,0.957380,0.769008,0.924209,0.225090,0.044849,0.053926,0.372186,BASLANGIC
0.217965,0.839521,0.159627,0.046301,0.617384,0.010591,0.038655,0.003008,0.461321,0.274107,BASLANGIC
0.158501,0.070676,0.992256,0.978590,0.682541,0.961559,0.323254,0.096881,0.026476,0.263341,BASLANGIC
0.109477,0.512483,0.447498,0.362373,0.782388,0.174541,0.064290,0.004474,0.172294,0.268298,BASLANGIC
0.190463,0.093642,0.987769,0.964031,0.771805,0.935843,0.246638,0.054639,0.045072,0.340501,BASLANGIC
0.219128,0.828445,0.173936,0.018476,0.833851,0.003739,0.014785,0.001877,0.597356,0.421199,BASLANGIC
0.135847,0.061850,0.992992,0.983874,0.631328,0.970975,0.376483,0.133447,0.019498,0.226222,BASLANGIC
0.099294,0.570688,0.324270,0.083283,0.754192,0.021366,0.043666,0.003618,0.271972,0.231605,BASLANGIC
0.257827,0.120579,0.985573,0.943688,0.805691,0.900488,0.192353,0.031890,0.072692,0.429352,BASLANGIC
0.162563,0.645026,0.339093,0.092655,0.927690,0.024271,0.048369,0.002387,0.449791,0.547938,BASLANGIC
0.531764,0.265122,0.964310,0.768992,0.895880,0.624579,0.069832,0.002912,0.346373,0.843675,BASLANGIC
0.174313,0.791158,0.157904,0.019605,0.860590,0.003978,0.033946,0.002027,0.545248,0.408166,BASLANGIC
0.149465,0.066355,0.992644,0.981135,0.659405,0.966088,0.344890,0.111004,0.023214,0.246805,BASLANGIC
0.106628,0.508378,0.429497,0.150042,0.884124,0.046343,0.034528,0.002422,0.333107,0.354712,BASLANGIC
0.253185,0.121257,0.984561,0.942727,0.811168,0.898835,0.191114,0.031449,0.073584,0.431575,BASLANGIC
0.192871,0.774047,0.225938,0.068230,0.890990,0.016527,0.039849,0.002160,0.629781,0.488432,BASLANGIC
0.110063,0.051723,0.993548,0.987692,0.586940,0.977810,0.442433,0.186912,0.014123,0.192393,BASLANGIC
0.097247,0.047129,0.993768,0.990121,0.538565,0.982169,0.495665,0.236800,0.011211,0.171067,BASLANGIC
0.212830,0.722516,0.306299,0.076081,0.796374,0.018917,0.048463,0.003455,0.375582,0.373277,BASLANGIC
0.412595,0.193435,0.976546,0.881900,0.849406,0.797231,0.123094,0.011717,0.159710,0.617259,BASLANGIC
0.145236,0.703745,0.231174,0.045926,0.861957,0.010312,0.032467,0.001833,0.426932,0.375033,BASLANGIC
0.391134,0.182347,0.978128,0.880148,0.859803,0.794394,0.121612,0.011392,0.162930,0.622860,BASLANGIC
0.188880,0.818241,0.146404,0.015399,0.876248,0.003074,0.019039,0.001285,0.556298,0.451795,BASLANGIC
0.105182,0.047808,0.994610,0.991031,0.466394,0.983805,0.514285,0.255124,0.010393,0.165447,BASLANGIC
0.195383,0.807676,0.170426,0.024642,0.822820,0.005121,0.037408,0.002526,0.448842,0.387145,BASLANGIC
0.196529,0.093062,0.988401,0.974530,0.654892,0.954353,0.301155,0.083568,0.030481,0.281206,BASLANGIC
0.187611,0.719639,0.270010,0.094905,0.867744,0.025043,0.045492,0.002605,0.378542,0.437219,BASLANGIC
0.358654,0.159285,0.982691,0.909821,0.831961,0.843123,0.145474,0.017144,0.120598,0.544661,BASLANGIC
0.205600,0.823500,0.163287,0.021930,0.862918,0.004474,0.027271,0.001555,0.545408,0.448691,BASLANGIC
0.147803,0.067805,0.992003,0.980486,0.670117,0.964933,0.341164,0.108562,0.023775,0.249444,BASLANGIC
0.144339,0.650196,0.292474,0.046034,0.939292,0.010308,0.021462,0.000993,0.595725,0.563685,BASLANGIC
0.104278,0.047007,0.994691,0.990364,0.519447,0.982606,0.489778,0.230546,0.011421,0.173464,BASLANGIC
0.116938,0.570798,0.369481,0.094422,0.759411,0.025003,0.051336,0.004633,0.295552,0.253799,BASLANGIC
0.093663,0.044543,0.994317,0.991920,0.444599,0.985405,0.554159,0.297957,0.008960,0.152981,BASLANGIC
0.169393,0.765811,0.166315,0.007310,0.896999,0.001370,0.024227,0.001580,0.563513,0.469315,BASLANGIC
0.268457,0.122081,0.986069,0.941549,0.806144,0.896809,0.187948,0.030299,0.075918,0.438648,BASLANGIC
0.136550,0.065187,0.991917,0.982709,0.646224,0.968895,0.366585,0.126391,0.020565,0.231581,BASLANGIC
0.155261,0.681923,0.276628,0.064827,0.912888,0.015524,0.030742,0.001517,0.484032,0.487098,BASLANGIC
0.205730,0.095128,0.988292,0.967559,0.724836,0.942042,0.262105,0.062152,0.040097,0.322271,BASLANGIC
0.124921,0.056659,0.993681,0.986313,0.600226,0.975339,0.408952,0.158580,0.016496,0.208285,BASLANGIC
0.099403,0.577467,0.315820,0.043792,0.866353,0.009863,0.012694,0.002771,0.597131,0.319506,BASLANGIC
0.180765,0.086403,0.989094,0.971805,0.721718,0.949530,0.281481,0.072394,0.034807,0.300368,BASLANGIC
0.187806,0.749547,0.234606,0.049191,0.865909,0.011161,0.035703,0.002233,0.462277,0.433821,BASLANGIC
0.137826,0.062551,0.992372,0.983290,0.631112,0.969933,0.374151,0.131678,0.019778,0.227762,BASLANGIC
0.130282,0.658674,0.260512,0.040083,0.925294,0.008775,0.018317,0.001259,0.544967,0.482677,BASLANGIC
0.446415,0.202722,0.976553,0.850397,0.870824,0.746973,0.103603,0.007813,0.208766,0.693436,BASLANGIC
0.185708,0.739158,0.230317,0.034144,0.850938,0.007350,0.043357,0.003144,0.527582,0.408851,BASLANGIC
0.471383,0.232607,0.968642,0.816006,0.886347,0.693951,0.088067,0.005272,0.262043,0.759884,BASLANGIC
0.223686,0.820604,0.183791,0.019243,0.882513,0.003861,0.018383,0.001191,0.579384,0.504130,BASLANGIC
0.274444,0.125890,0.985214,0.941232,0.802091,0.896265,0.187797,0.030247,0.076052,0.438892,BASLANGIC
0.589820,0.268269,0.969329,0.744054,0.895898,0.589239,0.060025,0.001919,0.403384,0.889403,BASLANGIC
0.181758,0.754297,0.224469,0.033738,0.819908,0.007288,0.028711,0.002334,0.495416,0.368988,BASLANGIC
0.234577,0.115669,0.984949,0.949377,0.801161,0.910307,0.204971,0.036657,0.064459,0.404777,BASLANGIC
0.118924,0.557931,0.390571,0.116293,0.942020,0.032767,0.043854,0.001867,0.529179,0.523257,BASLANGIC
0.246925,0.124689,0.983238,0.944628,0.806468,0.902107,0.196039,0.033292,0.070155,0.420986,BASLANGIC
0.172538,0.081278,0.989901,0.976031,0.685070,0.957013,0.307342,0.087197,0.029243,0.275795,BASLANGIC
0.159734,0.727604,0.219340,0.025565,0.887265,0.005314,0.012142,0.001812,0.606804,0.434343,BASLANGIC
0.140596,0.068884,0.990872,0.980426,0.674858,0.964824,0.346501,0.112355,0.023131,0.245080,BASLANGIC
0.144562,0.614071,0.327521,0.074818,0.751008,0.018681,0.055971,0.004526,0.317223,0.282039,BASLANGIC
0.258746,0.122450,0.984960,0.942595,0.807403,0.898607,0.191066,0.031430,0.073718,0.432054,BASLANGIC
0.181444,0.769247,0.195179,0.021916,0.865466,0.004495,0.017898,0.001696,0.530043,0.425991,BASLANGIC
0.377182,0.184436,0.976291,0.876339,0.867577,0.788243,0.119717,0.010993,0.167268,0.629428,BASLANGIC
0.198014,0.816062,0.158344,0.013389,0.852340,0.002646,0.025682,0.001965,0.578720,0.424581,BASLANGIC
0.105608,0.051373,0.993574,0.988615,0.577953,0.979465,0.454813,0.198290,0.013314,0.186373,BASLANGIC
0.160757,0.732211,0.218225,0.019923,0.884225,0.004037,0.014979,0.001603,0.588792,0.431931,BASLANGIC
0.153322,0.070516,0.991686,0.978721,0.687066,0.961790,0.325862,0.098593,0.026038,0.260811,BASLANGIC
0.148347,0.667880,0.287986,0.063793,0.839583,0.015261,0.044944,0.003918,0.429406,0.350121,BASLANGIC
0.170657,0.076407,0.991537,0.975624,0.702113,0.956292,0.300952,0.083312,0.030460,0.282093,BASLANGIC
0.139050,0.659522,0.279928,0.096415,0.921303,0.025554,0.029652,0.001365,0.460319,0.489711,BASLANGIC
0.170843,0.078477,0.990903,0.974267,0.713088,0.953887,0.295210,0.080036,0.031761,0.287609,BASLANGIC
0.105059,0.590166,0.308077,0.045863,0.851587,0.010378,0.009839,0.002750,0.599325,0.311531,BASLANGIC
0.224875,0.104488,0.987535,0.962644,0.740446,0.933411,0.242450,0.052631,0.046685,0.346913,BASLANGIC
0.186081,0.720143,0.268505,0.062583,0.879909,0.014864,0.035081,0.001768,0.440256,0.455144,BASLANGIC
0.393321,0.180378,0.978685,0.880143,0.859126,0.794385,0.121613,0.011388,0.162927,0.623032,BASLANGIC
0.118397,0.514237,0.434454,0.174063,0.878240,0.057217,0.066857,0.004500,0.314649,0.364390,BASLANGIC
0.445625,0.221658,0.969731,0.841556,0.876468,0.733160,0.099603,0.007120,0.220731,0.708391,BASLANGIC
0.119252,0.526323,0.415733,0.135987,0.951258,0.040542,0.032555,0.000975,0.599010,0.571071,BASLANGIC
0.156877,0.074379,0.990584,0.980168,0.643937,0.964365,0.343129,0.110001,0.023484,0.247319,BASLANGIC
0.105368,0.589386,0.307886,0.080293,0.822210,0.020370,0.040293,0.003646,0.311260,0.281855,BASLANGIC
