@RELATION WAVELET_SINGLE_GLCM_CONTRAST

@ATTRIBUTE wavelet_contrast NUMERIC
@ATTRIBUTE class {BASLANGIC,NORMAL,TUMORLU}

@DATA
0.331030,BASLANGIC
0.097524,BASLANGIC
0.389512,BASLANGIC
0.185429,BASLANGIC
0.447427,BASLANGIC
0.350893,BASLANGIC
0.426686,BASLANGIC
0.147822,BASLANGIC
0.362475,BASLANGIC
0.246045,BASLANGIC
0.069164,BASLANGIC
0.273095,BASLANGIC
0.305200,BASLANGIC
0.288011,BASLANGIC
0.089022,BASLANGIC
0.310156,BASLANGIC
0.269497,BASLANGIC
0.238069,BASLANGIC
0.644724,BASLANGIC
0.290937,BASLANGIC
0.124378,BASLANGIC
0.191047,BASLANGIC
0.882860,BASLANGIC
0.446699,BASLANGIC
0.271333,BASLANGIC
0.379003,BASLANGIC
0.242088,BASLANGIC
0.362580,BASLANGIC
0.543550,BASLANGIC
0.349437,BASLANGIC
0.555045,BASLANGIC
0.396700,BASLANGIC
0.121967,BASLANGIC
0.449765,BASLANGIC
0.146495,BASLANGIC
0.407286,BASLANGIC
0.122978,BASLANGIC
0.371800,BASLANGIC
0.387405,BASLANGIC
0.256714,BASLANGIC
0.603421,BASLANGIC
0.346412,BASLANGIC
0.111997,BASLANGIC
0.665810,BASLANGIC
0.249315,BASLANGIC
0.655837,BASLANGIC
0.157672,BASLANGIC
0.471460,BASLANGIC
0.215260,BASLANGIC
0.492165,BASLANGIC
0.147188,BASLANGIC
0.413812,BASLANGIC
0.269688,BASLANGIC
0.323374,BASLANGIC
0.593035,BASLANGIC
0.391233,BASLANGIC
0.152156,BASLANGIC
0.348658,BASLANGIC
0.294649,BASLANGIC
0.427593,BASLANGIC
0.119230,BASLANGIC
0.109433,BASLANGIC
0.488697,BASLANGIC
0.458729,BASLANGIC
0.413836,BASLANGIC
0.410929,BASLANGIC
0.474558,BASLANGIC
0.115542,BASLANGIC
0.486180,BASLANGIC
0.214350,BASLANGIC
0.392755,BASLANGIC
0.365215,BASLANGIC
0.518614,BASLANGIC
0.166888,BASLANGIC
0.278214,BASLANGIC
0.106998,BASLANGIC
0.305289,BASLANGIC
0.101302,BASLANGIC
0.337485,BASLANGIC
0.285014,BASLANGIC
0.149313,BASLANGIC
0.342909,BASLANGIC
0.210654,BASLANGIC
0.149872,BASLANGIC
0.210118,BASLANGIC
0.198655,BASLANGIC
0.348312,BASLANGIC
0.157720,BASLANGIC
0.313689,BASLANGIC
0.480392,BASLANGIC
0.315405,BASLANGIC
0.534384,BASLANGIC
0.450808,BASLANGIC
0.281593,BASLANGIC
0.669708,BASLANGIC
0.466654,BASLANGIC
0.256635,BASLANGIC
0.240451,BASLANGIC
0.311382,BASLANGIC
0.179601,BASLANGIC
0.339520,BASLANGIC
0.177907,BASLANGIC
0.428040,BASLANGIC
0.268247,BASLANGIC
0.393729,BASLANGIC
0.435015,BASLANGIC
0.394510,BASLANGIC
0.119221,BASLANGIC
0.411846,BASLANGIC
0.167641,BASLANGIC
0.313422,BASLANGIC
0.174730,BASLANGIC
0.307301,BASLANGIC
0.198130,BASLANGIC
0.264127,BASLANGIC
0.234029,BASLANGIC
0.423073,BASLANGIC
0.429208,BASLANGIC
0.286629,BASLANGIC
0.523639,BASLANGIC
0.233012,BASLANGIC
0.167819,BASLANGIC
0.351449,BASLANGIC
0.143382,BASLANGIC
0.375295,BASLANGIC
0.254839,BASLANGIC
0.314365,BASLANGIC
0.294029,BASLANGIC
0.421723,BASLANGIC
0.160532,BASLANGIC
0.234989,BASLANGIC
0.146505,BASLANGIC
0.398697,BASLANGIC
0.201216,BASLANGIC
0.518081,BASLANGIC
0.173269,BASLANGIC
0.216088,BASLANGIC
0.157767,BASLANGIC
0.214600,BASLANGIC
0.080657,BASLANGIC
0.372934,BASLANGIC
0.275641,BASLANGIC
0.275071,BASLANGIC
0.235362,BASLANGIC
0.428037,NORMAL
0.000000,NORMAL
0.337297,NORMAL
0.000000,NORMAL
0.392554,NORMAL
0.000000,NORMAL
0.294406,NORMAL
0.000000,NORMAL
0.558541,NORMAL
0.000000,NORMAL
0.499787,NORMAL
0.000000,NORMAL
0.404632,NORMAL
0.000000,NORMAL
0.323605,NORMAL
0.000000,NORMAL
0.318838,NORMAL
0.000000,NORMAL
0.398505,NORMAL
0.000000,NORMAL
0.400830,NORMAL
0.000000,NORMAL
0.312398,NORMAL
0.000000,NORMAL
0.370153,NORMAL
0.000000,NORMAL
0.329971,NORMAL
0.000000,NORMAL
0.393264,NORMAL
0.000000,NORMAL
0.313159,NORMAL
0.000000,NORMAL
0.305892,NORMAL
0.000000,NORMAL
0.634279,NORMAL
0.000000,NORMAL
1.000000,NORMAL
0.000000,NORMAL
0.249874,NORMAL
0.000000,NORMAL
0.307629,NORMAL
0.000000,NORMAL
0.390770,NORMAL
0.000000,NORMAL
0.354168,NORMAL
0.000000,NORMAL
0.406871,NORMAL
0.000000,NORMAL
0.462124,NORMAL
0.000000,NORMAL
0.288010,NORMAL
0.000000,NORMAL
0.381531,NORMAL
0.000000,NORMAL
0.533857,NORMAL
0.000000,NORMAL
0.300941,NORMAL
0.000000,NORMAL
0.284860,NORMAL
0.000000,NORMAL
0.610090,NORMAL
0.000000,NORMAL
0.414889,NORMAL
0.000000,NORMAL
0.231470,NORMAL
0.000000,NORMAL
0.471298,NORMAL
0.000000,NORMAL
0.374263,NORMAL
0.000000,NORMAL
0.345168,NORMAL
0.000000,NORMAL
0.236869,NORMAL
0.000000,NORMAL
0.578399,NORMAL
0.000000,NORMAL
0.415029,NORMAL
0.000000,NORMAL
0.374793,NORMAL
0.000000,NORMAL
0.463147,NORMAL
0.000000,NORMAL
0.280326,NORMAL
0.000000,NORMAL
0.362051,NORMAL
0.000000,NORMAL
0.517282,NORMAL
0.000000,NORMAL
0.375942,NORMAL
0.000000,NORMAL
0.363615,NORMAL
0.000000,NORMAL
0.428414,NORMAL
0.000000,NORMAL
0.475624,NORMAL
0.000000,NORMAL
0.277350,NORMAL
0.000000,NORMAL
0.404257,NORMAL
0.000000,NORMAL
0.424795,NORMAL
0.000000,NORMAL
0.242707,NORMAL
0.000000,NORMAL
0.393735,NORMAL
0.000000,NORMAL
0.228374,NORMAL
0.000000,NORMAL
0.402475,NORMAL
0.000000,NORMAL
0.243509,NORMAL
0.000000,NORMAL
0.391193,NORMAL
0.000000,NORMAL
0.403042,NORMAL
0.000000,NORMAL
0.412095,NORMAL
0.000000,NORMAL
0.392231,NORMAL
0.000000,NORMAL
0.470113,NORMAL
0.000000,NORMAL
0.255918,NORMAL
0.000000,NORMAL
0.298281,NORMAL
0.000000,NORMAL
0.322315,NORMAL
0.000000,NORMAL
0.449814,NORMAL
0.000000,NORMAL
0.238461,NORMAL
0.000000,NORMAL
0.233145,NORMAL
0.000000,NORMAL
0.386835,NORMAL
0.000000,NORMAL
0.355481,NORMAL
0.000000,NORMAL
0.423426,NORMAL
0.000000,NORMAL
0.547029,NORMAL
0.000000,NORMAL
0.211623,NORMAL
0.000000,NORMAL
0.472696,NORMAL
0.000000,NORMAL
0.380455,NORMAL
0.000000,NORMAL
0.590174,NORMAL
0.000000,NORMAL
0.453340,NORMAL
0.000000,NORMAL
0.632251,NORMAL
0.000000,NORMAL
0.474948,NORMAL
0.000000,NORMAL
0.348415,NORMAL
0.000000,NORMAL
0.413784,NORMAL
0.000000,NORMAL
0.290332,NORMAL
0.000000,NORMAL
0.800189,NORMAL
0.000000,NORMAL
0.420290,NORMAL
0.000000,NORMAL
0.526068,NORMAL
0.000000,NORMAL
0.812709,NORMAL
0.000000,NORMAL
0.489594,NORMAL
0.000000,NORMAL
0.388533,NORMAL
0.000000,NORMAL
0.369964,NORMAL
0.000000,NORMAL
0.454258,NORMAL
0.000000,NORMAL
0.347389,NORMAL
0.000000,NORMAL
0.585009,NORMAL
0.000000,NORMAL
0.532366,NORMAL
0.000000,NORMAL
0.435425,NORMAL
0.000000,NORMAL
0.492130,NORMAL
0.000000,NORMAL
0.493966,NORMAL
0.000000,NORMAL
0.405633,NORMAL
0.000000,NORMAL
0.397003,NORMAL
0.000000,NORMAL
0.399970,NORMAL
0.000000,NORMAL
0.419441,NORMAL
0.000000,NORMAL
0.385819,NORMAL
0.000000,NORMAL
0.375491,NORMAL
0.000000,NORMAL
0.357203,NORMAL
0.000000,NORMAL
0.489129,NORMAL
0.000000,NORMAL
0.251105,NORMAL
0.000000,NORMAL
0.290162,NORMAL
0.000000,NORMAL
0.528193,NORMAL
0.000000,NORMAL
0.335252,NORMAL
0.000000,NORMAL
0.327152,NORMAL
0.000000,NORMAL
0.481959,NORMAL
0.000000,NORMAL
0.521411,NORMAL
0.000000,NORMAL
0.414927,NORMAL
0.000000,NORMAL
0.519286,NORMAL
0.000000,NORMAL
0.656593,NORMAL
0.000000,NORMAL
0.495194,NORMAL
0.000000,NORMAL
0.408960,NORMAL
0.000000,NORMAL
0.338480,NORMAL
0.000000,NORMAL
0.717724,NORMAL
0.000000,NORMAL
0.292811,NORMAL
0.000000,NORMAL
0.454699,NORMAL
0.000000,NORMAL
0.303873,NORMAL
0.000000,NORMAL
0.441458,NORMAL
0.000000,NORMAL
0.565353,NORMAL
0.000000,NORMAL
0.263627,NORMAL
0.000000,NORMAL
0.320809,NORMAL
0.000000,NORMAL
0.374769,NORMAL
0.000000,NORMAL
0.606506,NORMAL
0.000000,NORMAL
0.851969,TUMORLU
0.294999,TUMORLU
0.784165,TUMORLU
0.129336,TUMORLU
0.357059,TUMORLU
0.200987,TUMORLU
0.385994,TUMORLU
0.211901,TUMORLU
0.330576,TUMORLU
0.208137,TUMORLU
0.390384,TUMORLU
0.207534,TUMORLU
0.318996,TUMORLU
0.182581,TUMORLU
0.362329,TUMORLU
0.216408,TUMORLU
0.301045,TUMORLU
0.601530,TUMORLU
0.244072,TUMORLU
0.487516,TUMORLU
0.383830,TUMORLU
0.472234,TUMORLU
0.232158,TUMORLU
0.428918,TUMORLU
0.498793,TUMORLU
0.244356,TUMORLU
0.586109,TUMORLU
0.303526,TUMORLU
0.724943,TUMORLU
0.171345,TUMORLU
0.725279,TUMORLU
0.277969,TUMORLU
0.358953,TUMORLU
0.214863,TUMORLU
0.400915,TUMORLU
0.231878,TUMORLU
0.594046,TUMORLU
0.265973,TUMORLU
0.641479,TUMORLU
0.315211,TUMORLU
0.717672,TUMORLU
0.220724,TUMORLU
0.540741,TUMORLU
0.194679,TUMORLU
0.886396,TUMORLU
0.198494,TUMORLU
0.651311,TUMORLU
0.179349,TUMORLU
0.873275,TUMORLU
0.314323,TUMORLU
0.288576,TUMORLU
0.295564,TUMORLU
0.232025,TUMORLU
0.296206,TUMORLU
0.247695,TUMORLU
0.181311,TUMORLU
0.663989,TUMORLU
0.167319,TUMORLU
0.789966,TUMORLU
0.184271,TUMORLU
0.977129,TUMORLU
0.226310,TUMORLU
0.616644,TUMORLU
0.241643,TUMORLU
0.848685,TUMORLU
0.325016,TUMORLU
0.257367,TUMORLU
0.273505,TUMORLU
0.537083,TUMORLU
0.165360,TUMORLU
0.433442,TUMORLU
0.134680,TUMORLU
0.591231,TUMORLU
0.414929,TUMORLU
0.246989,TUMORLU
0.246910,TUMORLU
0.516070,TUMORLU
0.237972,TUMORLU
0.545101,TUMORLU
0.275999,TUMORLU
0.434677,TUMORLU
0.252517,TUMORLU
0.466497,TUMORLU
0.171751,TUMORLU
0.881206,TUMORLU
0.265500,TUMORLU
0.231396,TUMORLU
0.336157,TUMORLU
0.552829,TUMORLU
0.350357,TUMORLU
0.350091,TUMORLU
0.254912,TUMORLU
0.640905,TUMORLU
0.189787,TUMORLU
0.281520,TUMORLU
0.250771,TUMORLU
0.346312,TUMORLU
0.167576,TUMORLU
0.444325,TUMORLU
0.241759,TUMORLU
0.435233,TUMORLU
0.443528,TUMORLU
0.703542,TUMORLU
0.531872,TUMORLU
0.054179,TUMORLU
0.375230,TUMORLU
0.242026,TUMORLU
0.350619,TUMORLU
0.360852,TUMORLU
0.290293,TUMORLU
0.307901,TUMORLU
0.616756,TUMORLU
0.334216,TUMORLU
0.469856,TUMORLU
0.363665,TUMORLU
0.689745,TUMORLU
0.237611,TUMORLU
0.704090,TUMORLU
0.201750,TUMORLU
0.607073,TUMORLU
0.336200,TUMORLU
0.207727,TUMORLU
0.250022,TUMORLU
0.575251,TUMORLU
0.167792,TUMORLU
0.550596,TUMORLU
0.294673,TUMORLU
0.470847,TUMORLU
0.404674,TUMORLU
0.275048,TUMORLU
0.453036,TUMORLU
0.341231,TUMORLU
0.405011,TUMORLU
0.383473,TUMORLU
0.319563,TUMORLU
0.645254,TUMORLU
0.317442,TUMORLU
0.400477,TUMORLU
0.306273,TUMORLU
0.360997,TUMORLU
0.166784,TUMORLU
0.789389,TUMORLU
0.150758,TUMORLU
0.805117,TUMORLU
0.462749,TUMORLU
0.310103,TUMORLU
0.406782,TUMORLU
0.257441,TUMORLU
0.156302,TUMORLU
0.589160,TUMORLU
0.254705,TUMORLU
0.636355,TUMORLU
0.341570,TUMORLU
0.445621,TUMORLU
0.350995,TUMORLU
0.401295,TUMORLU
0.224771,TUMORLU
0.552909,TUMORLU
0.352545,TUMORLU
0.514341,TUMORLU
0.428740,TUMORLU
0.407253,TUMORLU
0.161255,TUMORLU
0.466021,TUMORLU
0.378685,TUMORLU
0.361749,TUMORLU
0.304231,TUMORLU
0.387322,TUMORLU
0.465844,TUMORLU
0.619631,TUMORLU
0.433784,TUMORLU
0.697785,TUMORLU
0.305337,TUMORLU
0.456618,TUMORLU
0.275523,TUMORLU
0.366729,TUMORLU
0.319691,TUMORLU
0.899801,TUMORLU
0.303226,TUMORLU
0.444235,TUMORLU
0.183165,TUMORLU
0.621926,TUMORLU
0.347306,TUMORLU
0.329329,TUMORLU
0.328410,TUMORLU
0.516618,TUMORLU
0.326268,TUMORLU
0.725400,TUMORLU
0.327639,TUMORLU
0.537738,TUMORLU
0.256220,TUMORLU
0.598278,TUMORLU
0.271083,TUMORLU
0.599432,TUMORLU
0.363280,TUMORLU
0.278734,TUMORLU
0.369173,TUMORLU
0.356235,TUMORLU
0.286924,TUMORLU
0.342853,TUMORLU
0.253779,TUMORLU
0.593238,TUMORLU
0.370260,TUMORLU
0.503863,TUMORLU
0.188473,TUMORLU
0.688247,TUMORLU
0.249088,TUMORLU
0.730618,TUMORLU
0.298812,TUMORLU
0.215898,TUMORLU
0.306764,TUMORLU
0.478943,TUMORLU
0.410575,TUMORLU
0.576932,TUMORLU
0.417430,TUMORLU
0.621258,TUMORLU
0.508645,TUMORLU
0.480588,TUMORLU
0.466826,TUMORLU
0.265286,TUMORLU
0.328291,TUMORLU
0.645012,TUMORLU
0.508878,TUMORLU
0.187298,TUMORLU
0.411094,TUMORLU
0.346733,TUMORLU
0.356148,TUMORLU
0.664643,TUMORLU
0.188727,TUMORLU
0.488558,TUMORLU
0.232003,TUMORLU
0.320727,TUMORLU
0.159499,TUMORLU
0.431985,TUMORLU
0.250189,TUMORLU
0.474887,TUMORLU
0.267231,TUMORLU
0.449825,TUMORLU
0.260378,TUMORLU
0.555079,TUMORLU
0.359678,TUMORLU
0.142377,TUMORLU
0.300621,TUMORLU
0.523316,TUMORLU
0.222649,TUMORLU
0.695715,TUMORLU
0.214572,TUMORLU
0.533190,TUMORLU
0.412991,TUMORLU
0.282084,TUMORLU
0.376001,TUMORLU
0.341323,TUMORLU
