@RELATION SHAPE

@ATTRIBUTE shape_area NUMERIC
@ATTRIBUTE shape_perimeter NUMERIC
@ATTRIBUTE shape_circularity NUMERIC
@ATTRIBUTE shape_aspect_ratio NUMERIC
@ATTRIBUTE class {BASLANGIC,NORMAL,TUMORLU}

@DATA
0.328950,0.124103,0.928018,0.225369,BASLANGIC
0.553793,0.309449,0.251281,0.392405,BASLANGIC
0.020514,0.030131,0.981796,0.302734,BASLANGIC
0.665853,0.282467,0.362604,0.281776,BASLANGIC
0.067688,0.055903,0.941089,0.220170,BASLANGIC
0.570919,0.392553,0.160978,0.430556,BASLANGIC
0.012019,0.023004,0.986913,0.260817,BASLANGIC
0.009444,0.020992,0.931153,0.282552,BASLANGIC
0.300212,0.187133,0.372492,0.230655,BASLANGIC
0.149880,0.090706,0.791517,0.305367,BASLANGIC
0.597443,0.400177,0.162099,0.348315,BASLANGIC
0.152908,0.084444,0.931720,0.314844,BASLANGIC
0.755547,0.362162,0.250291,0.356322,BASLANGIC
0.008450,0.021176,0.818745,0.430556,BASLANGIC
0.717365,0.415534,0.180516,0.348315,BASLANGIC
0.026524,0.042849,0.627691,0.553571,BASLANGIC
0.422349,0.314685,0.185314,0.445198,BASLANGIC
0.112376,0.073347,0.907605,0.173743,BASLANGIC
0.659347,0.478564,0.125090,0.300971,BASLANGIC
0.020876,0.030758,0.958767,0.216694,BASLANGIC
0.732728,0.321486,0.308041,0.369048,BASLANGIC
0.009670,0.020862,0.965339,0.190290,BASLANGIC
0.452668,0.369312,0.144206,0.457465,BASLANGIC
0.007094,0.019662,0.797345,0.454102,BASLANGIC
0.698071,0.271922,0.410205,0.340659,BASLANGIC
0.070128,0.057050,0.936210,0.249527,BASLANGIC
0.017984,0.029687,0.886600,0.287598,BASLANGIC
0.725272,0.311429,0.324917,0.402597,BASLANGIC
0.036103,0.043812,0.817238,0.357515,BASLANGIC
0.014233,0.025275,0.968106,0.242188,BASLANGIC
0.802042,0.438798,0.180992,0.326316,BASLANGIC
0.031042,0.039713,0.855221,0.390191,BASLANGIC
0.639601,0.365083,0.208504,0.387500,BASLANGIC
0.017125,0.028043,0.946168,0.213695,BASLANGIC
0.651439,0.249577,0.454417,0.402597,BASLANGIC
0.197235,0.095065,0.948270,0.237863,BASLANGIC
0.636799,0.254012,0.428829,0.462687,BASLANGIC
0.248339,0.108594,0.915006,0.290625,BASLANGIC
0.783381,0.423463,0.189815,0.242188,BASLANGIC
0.069992,0.058174,0.898626,0.242188,BASLANGIC
0.384393,0.134052,0.929427,0.355208,BASLANGIC
0.723149,0.459996,0.148494,0.298077,BASLANGIC
0.059283,0.053318,0.906092,0.316707,BASLANGIC
0.448240,0.218245,0.408893,0.574074,BASLANGIC
0.063892,0.057861,0.829224,0.372596,BASLANGIC
0.025891,0.036868,0.827624,0.484375,BASLANGIC
0.906195,0.312271,0.403782,0.329787,BASLANGIC
0.019882,0.030942,0.902301,0.409856,BASLANGIC
0.339614,0.354278,0.117567,0.500000,BASLANGIC
0.067326,0.056346,0.921386,0.353966,BASLANGIC
0.825177,0.463575,0.166839,0.242188,BASLANGIC
0.156161,0.085407,0.930205,0.330793,BASLANGIC
0.735891,0.405531,0.194426,0.274336,BASLANGIC
0.011387,0.023004,0.934970,0.302734,BASLANGIC
0.862501,0.356128,0.295486,0.306931,BASLANGIC
0.023180,0.032402,0.959312,0.230078,BASLANGIC
0.543130,0.585245,0.068900,0.313131,BASLANGIC
0.027292,0.034857,0.975989,0.254297,BASLANGIC
0.666305,0.288739,0.347258,0.364706,BASLANGIC
0.028151,0.035614,0.964346,0.266406,BASLANGIC
0.914645,0.471329,0.178893,0.264957,BASLANGIC
0.042158,0.048095,0.791910,0.322917,BASLANGIC
0.464642,0.227017,0.391735,0.455882,BASLANGIC
0.152998,0.083892,0.944559,0.269097,BASLANGIC
0.190005,0.154180,0.347295,0.299656,BASLANGIC
0.208893,0.103035,0.854960,0.435938,BASLANGIC
0.642673,0.238458,0.491083,0.455882,BASLANGIC
0.020333,0.033710,0.777458,0.504557,BASLANGIC
0.546473,0.524464,0.086323,0.242188,BASLANGIC
0.016267,0.027730,0.919177,0.353966,BASLANGIC
0.421084,0.322516,0.175896,0.480591,BASLANGIC
0.052460,0.052377,0.830870,0.418324,BASLANGIC
0.861642,0.449603,0.185208,0.287037,BASLANGIC
0.070263,0.058877,0.880685,0.280029,BASLANGIC
0.485157,0.271155,0.286705,0.500000,BASLANGIC
0.022051,0.032899,0.885183,0.371354,BASLANGIC
0.766527,0.485768,0.141143,0.289720,BASLANGIC
0.015679,0.026345,0.981535,0.294085,BASLANGIC
0.696625,0.382733,0.206631,0.336957,BASLANGIC
0.033663,0.039713,0.927423,0.232096,BASLANGIC
0.397903,0.390161,0.113574,0.525424,BASLANGIC
0.022548,0.031699,0.974996,0.270680,BASLANGIC
0.676607,0.353283,0.235548,0.344444,BASLANGIC
0.014821,0.026032,0.950278,0.335337,BASLANGIC
0.575392,0.366467,0.186159,0.397436,BASLANGIC
0.003931,0.013238,0.974728,0.272461,BASLANGIC
0.390945,0.320124,0.165756,0.430556,BASLANGIC
0.061633,0.053945,0.920227,0.339062,BASLANGIC
0.654738,0.319757,0.278239,0.341753,BASLANGIC
0.043694,0.045953,0.899042,0.208782,BASLANGIC
0.577380,0.419114,0.142820,0.424658,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.491980,0.334379,0.191187,0.500000,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.428991,0.397225,0.118131,0.344444,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.889341,0.361849,0.295124,0.313131,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.746645,0.390206,0.213067,0.378049,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.850752,0.335297,0.328801,0.329787,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.708373,0.401378,0.191049,0.269565,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.475351,0.358972,0.160281,0.430556,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.484072,0.329187,0.194095,0.492063,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.864489,0.359815,0.290129,0.292453,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.614613,0.640185,0.065160,0.303922,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.935114,0.267411,0.568193,0.310000,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.732502,0.286315,0.388247,0.360465,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.762776,0.247834,0.539589,0.407895,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.741358,0.331695,0.292778,0.364706,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.589535,0.439801,0.132430,0.387500,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.456961,0.206782,0.464349,0.673913,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.532872,0.493791,0.094957,0.436620,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.312367,0.588283,0.039218,0.397436,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.657313,0.281038,0.361602,0.387500,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.794225,0.274722,0.457243,0.360465,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.806199,0.393525,0.226197,0.333333,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.451629,0.284877,0.241799,0.596154,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.719443,0.287928,0.377067,0.397436,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.421038,0.513327,0.069426,0.360465,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.414622,0.470778,0.081285,0.356322,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.519046,0.361015,0.173039,0.382716,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.603723,0.457249,0.125465,0.348315,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.515431,0.283990,0.277685,0.508197,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.614929,0.238687,0.468985,0.484375,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.804076,0.490884,0.144987,0.329787,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.578329,0.266416,0.354032,0.407895,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.816005,0.298904,0.396844,0.316327,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.420044,0.398403,0.114984,0.534483,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.535584,0.233884,0.425417,0.476923,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.475713,0.236935,0.368194,0.574074,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.570828,0.232890,0.457293,0.462687,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.654557,0.483075,0.121873,0.306931,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.620939,0.341905,0.230796,0.392405,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.741810,0.489432,0.134554,0.292453,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.628530,0.589192,0.078669,0.348315,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.605892,0.236805,0.469465,0.430556,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.743708,0.452954,0.157501,0.298077,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.634811,0.529871,0.098241,0.348315,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.632009,0.329218,0.253364,0.402597,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.750169,0.449460,0.161349,0.295238,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.658036,0.448532,0.142119,0.303922,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.640414,0.545380,0.093552,0.352273,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.587366,0.246441,0.420216,0.442857,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.596494,0.304225,0.280030,0.397436,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.594505,0.312867,0.263892,0.392405,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.557137,0.225709,0.475177,0.476923,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.591478,0.310412,0.266717,0.397436,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.532330,0.260772,0.340134,0.525424,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.633410,0.516311,0.103241,0.300971,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.524784,0.291951,0.267517,0.534483,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.536849,0.441436,0.119703,0.407895,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.613212,0.349086,0.218643,0.418919,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.545750,0.383186,0.161497,0.407895,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.724685,0.413868,0.183830,0.344444,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.644074,0.574754,0.084715,0.348315,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.656545,0.282682,0.356991,0.387500,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.654421,0.282920,0.355239,0.387500,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.424472,0.500130,0.073735,0.492063,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.773395,0.484836,0.142955,0.322917,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.523655,0.286100,0.277970,0.525424,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.519678,0.278346,0.291444,0.534483,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.542678,0.378092,0.164944,0.407895,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.388640,0.403519,0.103707,0.352273,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.651123,0.456036,0.136036,0.364706,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.333514,0.288837,0.173699,0.239691,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.657268,0.246159,0.471304,0.455882,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.877321,0.332237,0.345344,0.352273,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.625774,0.419839,0.154256,0.392405,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.360761,0.661016,0.035874,0.387500,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.836926,0.292457,0.425159,0.344444,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.484840,0.341690,0.180437,0.469697,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.514527,0.356150,0.176251,0.407895,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.815643,0.255925,0.541084,0.378049,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.829831,0.353369,0.288751,0.333333,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.782161,0.280940,0.430585,0.397436,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.899824,0.603662,0.107290,0.262712,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.874158,0.382818,0.259175,0.344444,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.551398,0.711176,0.047370,0.326316,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.585785,1.000000,0.025452,0.281818,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.470155,0.587212,0.059243,0.387500,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.515115,0.422630,0.125306,0.436620,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.792418,0.370208,0.251219,0.369048,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.663594,0.429238,0.156494,0.369048,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.689124,0.502477,0.118592,0.329787,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.521666,0.459973,0.107131,0.382716,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.830328,0.450575,0.177707,0.292453,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.664995,0.428772,0.157165,0.360465,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.962586,0.431052,0.225097,0.276786,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.714473,0.272007,0.419580,0.430556,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.657313,0.306183,0.304649,0.387500,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.651936,0.299629,0.315519,0.387500,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.718314,0.372533,0.224892,0.340659,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.550178,0.651380,0.056341,0.333333,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.383580,0.261994,0.242807,0.620000,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.872441,0.277177,0.493415,0.333333,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.804347,0.319918,0.341472,0.319588,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.527405,0.372999,0.164710,0.392405,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.590619,0.249837,0.411135,0.500000,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.779540,0.362843,0.257270,0.329787,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.543943,0.318901,0.232397,0.387500,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.859925,0.316706,0.372509,0.298077,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.520311,0.500918,0.090099,0.378049,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.616059,0.401432,0.166107,0.356322,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.183769,0.211413,0.178648,0.317045,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.248565,0.292537,0.126202,0.428153,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.190231,0.286091,0.100986,0.434267,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.216755,0.312544,0.096413,0.315897,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.365234,0.311397,0.163656,0.596154,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.563644,0.427616,0.133933,0.387500,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.956260,0.408904,0.248498,0.281818,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.314852,0.534252,0.047930,0.323855,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.521441,0.278247,0.292639,0.500000,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.567665,0.265789,0.349146,0.407895,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.625186,0.258165,0.407573,0.476923,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.728661,0.280908,0.401223,0.407895,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.572003,0.538373,0.085747,0.344444,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.224391,0.232957,0.179657,0.262654,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.792463,0.365168,0.258216,0.329787,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.523745,0.376005,0.160962,0.378049,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.822014,0.384928,0.241051,0.329787,NORMAL
0.000000,0.000000,0.000000,0.000000,NORMAL
0.486919,0.187424,0.602274,0.509429,TUMORLU
0.421038,0.399075,0.114869,0.356158,TUMORLU
0.490760,0.187706,0.605201,0.258333,TUMORLU
