@RELATION WAVELET_SINGLE_GLCM_DISSIMILARITY

@ATTRIBUTE wavelet_dissimilarity NUMERIC
@ATTRIBUTE class {BASLANGIC,NORMAL,TUMORLU}

@DATA
0.662360,NORMAL
0.000000,NORMAL
0.416471,NORMAL
0.000000,NORMAL
0.425106,NORMAL
0.000000,NORMAL
0.561574,NORMAL
0.000000,NORMAL
0.575660,NORMAL
0.000000,NORMAL
0.595678,NORMAL
0.000000,NORMAL
0.724447,NORMAL
0.000000,NORMAL
0.406805,NORMAL
0.000000,NORMAL
0.624143,NORMAL
0.000000,NORMAL
0.603522,NORMAL
0.000000,NORMAL
0.753174,NORMAL
0.000000,NORMAL
0.652504,NORMAL
0.000000,NORMAL
0.713086,NORMAL
0.000000,NORMAL
0.653394,NORMAL
0.000000,NORMAL
0.544442,NORMAL
0.000000,NORMAL
0.644122,NORMAL
0.000000,NORMAL
0.489179,NORMAL
0.000000,NORMAL
0.951341,NORMAL
0.000000,NORMAL
0.645875,NORMAL
0.000000,NORMAL
0.711367,NORMAL
0.000000,NORMAL
0.905622,NORMAL
0.000000,NORMAL
0.614589,NORMAL
0.000000,NORMAL
0.544305,NORMAL
0.000000,NORMAL
0.568249,NORMAL
0.000000,NORMAL
0.645564,NORMAL
0.000000,NORMAL
0.529859,NORMAL
0.000000,NORMAL
0.681587,NORMAL
0.000000,NORMAL
0.743099,NORMAL
0.000000,NORMAL
0.655100,NORMAL
0.000000,NORMAL
0.716407,NORMAL
0.000000,NORMAL
0.721641,NORMAL
0.000000,NORMAL
0.561037,NORMAL
0.000000,NORMAL
0.556790,NORMAL
0.000000,NORMAL
0.603255,NORMAL
0.000000,NORMAL
0.603263,NORMAL
0.000000,NORMAL
0.572024,NORMAL
0.000000,NORMAL
0.587269,NORMAL
0.000000,NORMAL
0.595444,NORMAL
0.000000,NORMAL
0.651042,NORMAL
0.000000,NORMAL
0.445292,NORMAL
0.000000,NORMAL
0.527581,NORMAL
0.000000,NORMAL
0.680909,NORMAL
0.000000,NORMAL
0.573881,NORMAL
0.000000,NORMAL
0.500201,NORMAL
0.000000,NORMAL
0.642023,NORMAL
0.000000,NORMAL
0.697363,NORMAL
0.000000,NORMAL
0.637459,NORMAL
0.000000,NORMAL
0.660605,NORMAL
0.000000,NORMAL
0.811259,NORMAL
0.000000,NORMAL
0.607746,NORMAL
0.000000,NORMAL
0.639043,NORMAL
0.000000,NORMAL
0.593938,NORMAL
0.000000,NORMAL
0.782859,NORMAL
0.000000,NORMAL
0.477142,NORMAL
0.000000,NORMAL
0.674024,NORMAL
0.000000,NORMAL
0.484579,NORMAL
0.000000,NORMAL
0.660446,NORMAL
0.000000,NORMAL
0.648122,NORMAL
0.000000,NORMAL
0.485959,NORMAL
0.000000,NORMAL
0.541582,NORMAL
0.000000,NORMAL
0.559909,NORMAL
0.000000,NORMAL
0.773973,NORMAL
0.000000,NORMAL
0.315560,TUMORLU
0.556345,TUMORLU
0.290660,TUMORLU
0.317396,TUMORLU
0.129418,TUMORLU
0.400637,TUMORLU
0.144356,TUMORLU
0.402780,TUMORLU
0.129592,TUMORLU
0.407672,TUMORLU
0.136785,TUMORLU
0.397367,TUMORLU
0.110534,TUMORLU
0.387186,TUMORLU
0.122509,TUMORLU
0.414709,TUMORLU
0.108528,TUMORLU
0.749243,TUMORLU
0.079592,TUMORLU
0.683719,TUMORLU
0.146716,TUMORLU
0.662902,TUMORLU
0.086269,TUMORLU
0.638450,TUMORLU
0.174892,TUMORLU
0.439674,TUMORLU
0.217621,TUMORLU
0.519209,TUMORLU
0.262921,TUMORLU
0.369098,TUMORLU
0.276724,TUMORLU
0.483284,TUMORLU
0.134735,TUMORLU
0.396444,TUMORLU
0.145551,TUMORLU
0.441730,TUMORLU
0.221393,TUMORLU
0.493679,TUMORLU
0.226703,TUMORLU
0.456313,TUMORLU
0.253994,TUMORLU
0.402316,TUMORLU
0.208626,TUMORLU
0.387572,TUMORLU
0.329316,TUMORLU
0.410567,TUMORLU
0.251723,TUMORLU
0.373250,TUMORLU
0.321833,TUMORLU
0.510630,TUMORLU
0.103579,TUMORLU
0.494937,TUMORLU
0.082841,TUMORLU
0.501795,TUMORLU
0.086489,TUMORLU
0.364481,TUMORLU
0.226290,TUMORLU
0.335408,TUMORLU
0.287113,TUMORLU
0.366806,TUMORLU
0.355420,TUMORLU
0.417852,TUMORLU
0.230299,TUMORLU
0.449379,TUMORLU
0.312491,TUMORLU
0.554925,TUMORLU
0.100040,TUMORLU
0.488979,TUMORLU
0.192881,TUMORLU
0.289796,TUMORLU
0.157345,TUMORLU
0.260361,TUMORLU
0.215995,TUMORLU
0.629686,TUMORLU
0.091436,TUMORLU
0.461068,TUMORLU
0.182973,TUMORLU
0.449582,TUMORLU
0.186679,TUMORLU
0.465887,TUMORLU
0.153856,TUMORLU
0.466965,TUMORLU
0.172412,TUMORLU
0.325935,TUMORLU
0.312126,TUMORLU
0.471451,TUMORLU
0.076716,TUMORLU
0.558559,TUMORLU
0.219697,TUMORLU
0.562802,TUMORLU
0.124948,TUMORLU
0.465194,TUMORLU
0.250911,TUMORLU
0.385799,TUMORLU
0.099489,TUMORLU
0.450849,TUMORLU
0.131712,TUMORLU
0.337197,TUMORLU
0.167615,TUMORLU
0.465211,TUMORLU
0.161942,TUMORLU
0.643221,TUMORLU
0.272471,TUMORLU
0.695981,TUMORLU
0.018226,TUMORLU
0.141016,TUMORLU
0.464591,TUMORLU
0.127492,TUMORLU
0.594307,TUMORLU
0.104023,TUMORLU
0.522476,TUMORLU
0.215014,TUMORLU
0.548570,TUMORLU
0.173614,TUMORLU
0.557323,TUMORLU
0.230330,TUMORLU
0.441800,TUMORLU
0.258645,TUMORLU
0.414351,TUMORLU
0.228225,TUMORLU
0.565512,TUMORLU
0.082951,TUMORLU
0.470724,TUMORLU
0.214773,TUMORLU
0.374648,TUMORLU
0.206725,TUMORLU
0.445231,TUMORLU
0.161793,TUMORLU
0.594661,TUMORLU
0.099512,TUMORLU
0.652642,TUMORLU
0.124079,TUMORLU
0.579774,TUMORLU
0.127458,TUMORLU
0.537757,TUMORLU
0.240425,TUMORLU
0.470086,TUMORLU
0.153652,TUMORLU
0.435164,TUMORLU
0.124526,TUMORLU
0.375340,TUMORLU
0.291663,TUMORLU
0.337773,TUMORLU
0.309531,TUMORLU
0.631210,TUMORLU
0.106756,TUMORLU
0.607495,TUMORLU
0.098843,TUMORLU
0.362444,TUMORLU
0.207742,TUMORLU
0.429852,TUMORLU
0.232348,TUMORLU
0.552829,TUMORLU
0.154344,TUMORLU
0.546832,TUMORLU
0.156919,TUMORLU
0.405053,TUMORLU
0.201963,TUMORLU
0.581328,TUMORLU
0.186938,TUMORLU
0.608288,TUMORLU
0.138638,TUMORLU
0.319181,TUMORLU
0.183421,TUMORLU
0.568160,TUMORLU
0.119336,TUMORLU
0.530285,TUMORLU
0.150586,TUMORLU
0.599579,TUMORLU
0.218158,TUMORLU
0.587872,TUMORLU
0.247916,TUMORLU
0.462367,TUMORLU
0.156455,TUMORLU
0.473374,TUMORLU
0.129973,TUMORLU
0.483558,TUMORLU
0.312502,TUMORLU
0.535017,TUMORLU
0.164446,TUMORLU
0.369647,TUMORLU
0.227480,TUMORLU
0.575778,TUMORLU
0.122870,TUMORLU
0.542802,TUMORLU
0.176391,TUMORLU
0.557733,TUMORLU
0.257978,TUMORLU
0.500078,TUMORLU
0.191405,TUMORLU
0.452930,TUMORLU
0.219701,TUMORLU
0.470149,TUMORLU
0.214205,TUMORLU
0.518481,TUMORLU
0.099398,TUMORLU
0.555516,TUMORLU
0.125804,TUMORLU
0.498942,TUMORLU
0.130255,TUMORLU
0.480207,TUMORLU
0.224813,TUMORLU
0.576122,TUMORLU
0.191006,TUMORLU
0.420894,TUMORLU
0.238130,TUMORLU
0.484357,TUMORLU
0.278867,TUMORLU
0.520233,TUMORLU
0.079271,TUMORLU
0.517638,TUMORLU
0.166536,TUMORLU
0.608985,TUMORLU
0.194870,TUMORLU
0.611301,TUMORLU
0.219213,TUMORLU
0.686957,TUMORLU
0.159127,TUMORLU
0.656636,TUMORLU
0.090611,TUMORLU
0.542125,TUMORLU
0.237465,TUMORLU
0.680378,TUMORLU
0.068280,TUMORLU
0.617502,TUMORLU
0.129571,TUMORLU
0.537341,TUMORLU
0.237258,TUMORLU
0.389891,TUMORLU
0.178073,TUMORLU
0.408031,TUMORLU
0.114416,TUMORLU
0.353740,TUMORLU
0.163052,TUMORLU
0.449085,TUMORLU
0.161942,TUMORLU
0.459726,TUMORLU
0.160914,TUMORLU
0.461805,TUMORLU
0.196259,TUMORLU
0.563249,TUMORLU
0.052402,TUMORLU
0.498087,TUMORLU
0.198194,TUMORLU
0.403482,TUMORLU
0.242464,TUMORLU
0.369529,TUMORLU
0.187577,TUMORLU
0.605627,TUMORLU
0.101688,TUMORLU
0.544736,TUMORLU
0.123941,TUMORLU
