@RELATION SINGLE_LH_DISSIMILARITY

@ATTRIBUTE LH_dissimilarity NUMERIC
@ATTRIBUTE class {BASLANGIC,NORMAL,TUMORLU}

@DATA
0.457859,NORMAL
0.000000,NORMAL
0.604210,NORMAL
0.000000,NORMAL
0.445150,NORMAL
0.000000,NORMAL
0.819631,NORMAL
0.000000,NORMAL
0.574055,NORMAL
0.000000,NORMAL
0.808018,NORMAL
0.000000,NORMAL
0.578688,NORMAL
0.000000,NORMAL
0.706203,NORMAL
0.000000,NORMAL
0.457987,NORMAL
0.000000,NORMAL
0.488234,NORMAL
0.000000,NORMAL
0.675789,NORMAL
0.000000,NORMAL
0.541563,NORMAL
0.000000,NORMAL
0.653631,NORMAL
0.000000,NORMAL
0.580027,NORMAL
0.000000,NORMAL
0.539857,NORMAL
0.000000,NORMAL
0.601161,NORMAL
0.000000,NORMAL
0.910360,NORMAL
0.000000,NORMAL
0.846442,NORMAL
0.000000,NORMAL
0.797606,NORMAL
0.000000,NORMAL
0.482335,NORMAL
0.000000,NORMAL
0.454075,NORMAL
0.000000,NORMAL
0.669474,NORMAL
0.000000,NORMAL
0.814735,NORMAL
0.000000,NORMAL
0.619409,NORMAL
0.000000,NORMAL
0.850841,NORMAL
0.000000,NORMAL
0.831431,NORMAL
0.000000,NORMAL
0.738911,NORMAL
0.000000,NORMAL
0.809108,NORMAL
0.000000,NORMAL
0.633487,NORMAL
0.000000,NORMAL
0.586534,NORMAL
0.000000,NORMAL
0.838935,NORMAL
0.000000,NORMAL
0.540279,NORMAL
0.000000,NORMAL
0.432265,NORMAL
0.000000,NORMAL
0.540576,NORMAL
0.000000,NORMAL
0.609630,NORMAL
0.000000,NORMAL
0.604530,NORMAL
0.000000,NORMAL
0.872491,NORMAL
0.000000,NORMAL
1.000000,NORMAL
0.000000,NORMAL
0.579245,NORMAL
0.000000,NORMAL
0.555208,NORMAL
0.000000,NORMAL
0.668689,NORMAL
0.000000,NORMAL
0.703015,NORMAL
0.000000,NORMAL
0.599119,NORMAL
0.000000,NORMAL
0.794059,NORMAL
0.000000,NORMAL
0.629873,NORMAL
0.000000,NORMAL
0.692883,NORMAL
0.000000,NORMAL
0.639114,NORMAL
0.000000,NORMAL
0.690602,NORMAL
0.000000,NORMAL
0.728027,NORMAL
0.000000,NORMAL
0.769710,NORMAL
0.000000,NORMAL
0.538527,NORMAL
0.000000,NORMAL
0.665800,NORMAL
0.000000,NORMAL
0.566794,NORMAL
0.000000,NORMAL
0.762338,NORMAL
0.000000,NORMAL
0.526743,NORMAL
0.000000,NORMAL
0.695838,NORMAL
0.000000,NORMAL
0.568000,NORMAL
0.000000,NORMAL
0.615722,NORMAL
0.000000,NORMAL
0.843657,NORMAL
0.000000,NORMAL
0.594981,NORMAL
0.000000,NORMAL
0.500570,NORMAL
0.000000,NORMAL
0.662570,NORMAL
0.000000,NORMAL
0.548442,NORMAL
0.000000,NORMAL
0.734662,NORMAL
0.000000,NORMAL
0.540939,NORMAL
0.000000,NORMAL
0.681350,NORMAL
0.000000,NORMAL
0.668668,NORMAL
0.000000,NORMAL
0.670971,NORMAL
0.000000,NORMAL
0.557955,NORMAL
0.000000,NORMAL
0.161039,TUMORLU
0.597255,TUMORLU
0.142626,TUMORLU
0.468673,TUMORLU
0.058392,TUMORLU
0.467303,TUMORLU
0.083707,TUMORLU
0.500908,TUMORLU
0.072219,TUMORLU
0.518628,TUMORLU
0.060103,TUMORLU
0.536752,TUMORLU
0.052652,TUMORLU
0.541150,TUMORLU
0.059935,TUMORLU
0.487991,TUMORLU
0.054470,TUMORLU
0.875465,TUMORLU
0.031349,TUMORLU
0.708267,TUMORLU
0.070179,TUMORLU
0.887210,TUMORLU
0.041874,TUMORLU
0.778059,TUMORLU
0.098167,TUMORLU
0.388852,TUMORLU
0.124795,TUMORLU
0.443240,TUMORLU
0.135647,TUMORLU
0.512079,TUMORLU
0.148430,TUMORLU
0.428334,TUMORLU
0.067152,TUMORLU
0.427942,TUMORLU
0.078613,TUMORLU
0.598224,TUMORLU
0.106428,TUMORLU
0.557578,TUMORLU
0.093405,TUMORLU
0.500166,TUMORLU
0.094815,TUMORLU
0.389230,TUMORLU
0.103824,TUMORLU
0.471034,TUMORLU
0.150085,TUMORLU
0.580308,TUMORLU
0.118978,TUMORLU
0.488799,TUMORLU
0.133771,TUMORLU
0.505768,TUMORLU
0.048650,TUMORLU
0.584538,TUMORLU
0.041309,TUMORLU
0.601614,TUMORLU
0.041538,TUMORLU
0.497604,TUMORLU
0.089483,TUMORLU
0.443624,TUMORLU
0.115911,TUMORLU
0.364548,TUMORLU
0.149608,TUMORLU
0.465345,TUMORLU
0.098235,TUMORLU
0.574993,TUMORLU
0.141848,TUMORLU
0.798351,TUMORLU
0.045732,TUMORLU
0.588229,TUMORLU
0.091278,TUMORLU
0.347571,TUMORLU
0.082623,TUMORLU
0.285031,TUMORLU
0.110224,TUMORLU
0.676783,TUMORLU
0.037267,TUMORLU
0.508468,TUMORLU
0.083804,TUMORLU
0.565661,TUMORLU
0.081470,TUMORLU
0.613442,TUMORLU
0.074462,TUMORLU
0.519589,TUMORLU
0.074431,TUMORLU
0.506050,TUMORLU
0.132483,TUMORLU
0.581129,TUMORLU
0.031252,TUMORLU
0.651193,TUMORLU
0.108203,TUMORLU
0.746219,TUMORLU
0.062115,TUMORLU
0.596200,TUMORLU
0.149255,TUMORLU
0.488962,TUMORLU
0.047167,TUMORLU
0.583535,TUMORLU
0.080547,TUMORLU
0.364309,TUMORLU
0.074240,TUMORLU
0.488036,TUMORLU
0.078516,TUMORLU
0.709666,TUMORLU
0.153725,TUMORLU
0.621094,TUMORLU
0.014381,TUMORLU
0.089780,TUMORLU
0.609741,TUMORLU
0.064503,TUMORLU
0.632821,TUMORLU
0.047126,TUMORLU
0.486465,TUMORLU
0.094371,TUMORLU
0.445792,TUMORLU
0.088161,TUMORLU
0.590806,TUMORLU
0.083792,TUMORLU
0.613138,TUMORLU
0.117174,TUMORLU
0.596903,TUMORLU
0.122735,TUMORLU
0.611512,TUMORLU
0.049147,TUMORLU
0.742163,TUMORLU
0.103792,TUMORLU
0.438274,TUMORLU
0.104719,TUMORLU
0.501648,TUMORLU
0.074269,TUMORLU
0.405770,TUMORLU
0.046349,TUMORLU
0.502185,TUMORLU
0.074547,TUMORLU
0.629744,TUMORLU
0.042770,TUMORLU
0.737749,TUMORLU
0.138514,TUMORLU
0.565913,TUMORLU
0.080245,TUMORLU
0.478437,TUMORLU
0.051286,TUMORLU
0.600615,TUMORLU
0.153855,TUMORLU
0.543190,TUMORLU
0.140574,TUMORLU
0.768627,TUMORLU
0.052215,TUMORLU
0.760252,TUMORLU
0.056691,TUMORLU
0.444292,TUMORLU
0.114273,TUMORLU
0.512733,TUMORLU
0.093761,TUMORLU
0.629153,TUMORLU
0.061391,TUMORLU
0.591990,TUMORLU
0.071430,TUMORLU
0.535560,TUMORLU
0.094806,TUMORLU
0.766888,TUMORLU
0.059244,TUMORLU
0.700583,TUMORLU
0.055603,TUMORLU
0.413112,TUMORLU
0.101999,TUMORLU
0.468190,TUMORLU
0.053513,TUMORLU
0.637615,TUMORLU
0.078957,TUMORLU
0.454444,TUMORLU
0.104163,TUMORLU
0.505068,TUMORLU
0.114139,TUMORLU
0.492425,TUMORLU
0.074281,TUMORLU
0.622771,TUMORLU
0.058413,TUMORLU
0.576936,TUMORLU
0.149290,TUMORLU
0.679329,TUMORLU
0.080141,TUMORLU
0.412125,TUMORLU
0.106999,TUMORLU
0.696507,TUMORLU
0.070548,TUMORLU
0.554037,TUMORLU
0.080369,TUMORLU
0.708920,TUMORLU
0.098037,TUMORLU
0.428364,TUMORLU
0.095791,TUMORLU
0.549519,TUMORLU
0.116259,TUMORLU
0.480254,TUMORLU
0.120316,TUMORLU
0.579101,TUMORLU
0.051706,TUMORLU
0.646451,TUMORLU
0.064636,TUMORLU
0.625419,TUMORLU
0.079204,TUMORLU
0.588265,TUMORLU
0.105632,TUMORLU
0.576894,TUMORLU
0.100124,TUMORLU
0.538042,TUMORLU
0.085068,TUMORLU
0.720521,TUMORLU
0.141025,TUMORLU
0.647334,TUMORLU
0.033935,TUMORLU
0.692319,TUMORLU
0.068730,TUMORLU
0.634482,TUMORLU
0.085971,TUMORLU
0.694978,TUMORLU
0.108138,TUMORLU
0.782104,TUMORLU
0.074820,TUMORLU
0.575730,TUMORLU
0.043719,TUMORLU
0.444349,TUMORLU
0.123469,TUMORLU
0.669538,TUMORLU
0.034191,TUMORLU
0.659366,TUMORLU
0.065215,TUMORLU
0.475464,TUMORLU
0.129283,TUMORLU
0.515078,TUMORLU
0.091885,TUMORLU
0.474622,TUMORLU
0.048416,TUMORLU
0.574052,TUMORLU
0.073823,TUMORLU
0.530359,TUMORLU
0.063026,TUMORLU
0.509218,TUMORLU
0.077472,TUMORLU
0.543617,TUMORLU
0.101704,TUMORLU
0.627103,TUMORLU
0.031037,TUMORLU
0.567683,TUMORLU
0.108426,TUMORLU
0.344760,TUMORLU
0.131271,TUMORLU
0.271370,TUMORLU
0.076901,TUMORLU
0.655727,TUMORLU
0.044922,TUMORLU
0.481370,TUMORLU
0.074172,TUMORLU
