@RELATION SINGLE_GLCM_ASM

@ATTRIBUTE glcm_ASM NUMERIC
@ATTRIBUTE class {BASLANGIC,NORMAL,TUMORLU}

@DATA
1.000000,NORMAL
0.013643,NORMAL
1.000000,NORMAL
0.004268,NORMAL
1.000000,NORMAL
0.002336,NORMAL
1.000000,NORMAL
0.003389,NORMAL
1.000000,NORMAL
0.029269,NORMAL
1.000000,NORMAL
0.024427,NORMAL
1.000000,NORMAL
0.039701,NORMAL
1.000000,NORMAL
0.081856,NORMAL
1.000000,NORMAL
0.005713,NORMAL
1.000000,NORMAL
0.026432,NORMAL
1.000000,NORMAL
0.011103,NORMAL
1.000000,NORMAL
0.002392,NORMAL
1.000000,NORMAL
0.060077,NORMAL
1.000000,NORMAL
0.012221,NORMAL
1.000000,NORMAL
0.002607,NORMAL
1.000000,NORMAL
0.028314,NORMAL
1.000000,NORMAL
0.013067,NORMAL
1.000000,NORMAL
0.006703,NORMAL
1.000000,NORMAL
0.002432,NORMAL
1.000000,NORMAL
0.076758,NORMAL
1.000000,NORMAL
0.032625,NORMAL
1.000000,NORMAL
0.033377,NORMAL
1.000000,NORMAL
0.097387,NORMAL
1.000000,NORMAL
0.033313,NORMAL
1.000000,NORMAL
0.076763,NORMAL
1.000000,NORMAL
0.005660,NORMAL
1.000000,NORMAL
0.073910,NORMAL
1.000000,NORMAL
0.011965,NORMAL
1.000000,NORMAL
0.035069,NORMAL
1.000000,NORMAL
0.011755,NORMAL
1.000000,NORMAL
0.010330,NORMAL
1.000000,NORMAL
0.002834,NORMAL
1.000000,NORMAL
0.063649,NORMAL
1.000000,NORMAL
0.063557,NORMAL
1.000000,NORMAL
0.047490,NORMAL
1.000000,NORMAL
0.003200,NORMAL
1.000000,NORMAL
0.076741,NORMAL
1.000000,NORMAL
0.073767,NORMAL
1.000000,NORMAL
0.012234,NORMAL
1.000000,NORMAL
0.010168,NORMAL
1.000000,NORMAL
0.022762,NORMAL
1.000000,NORMAL
0.021316,NORMAL
1.000000,NORMAL
0.041677,NORMAL
1.000000,NORMAL
0.013019,NORMAL
1.000000,NORMAL
0.007478,NORMAL
1.000000,NORMAL
0.005208,NORMAL
1.000000,NORMAL
0.003348,NORMAL
1.000000,NORMAL
0.022530,NORMAL
1.000000,NORMAL
0.023876,NORMAL
1.000000,NORMAL
0.006475,NORMAL
1.000000,NORMAL
0.001190,NORMAL
1.000000,NORMAL
0.012625,NORMAL
1.000000,NORMAL
0.002626,NORMAL
1.000000,NORMAL
0.005694,NORMAL
1.000000,NORMAL
0.010884,NORMAL
1.000000,NORMAL
0.005059,NORMAL
1.000000,NORMAL
0.018823,NORMAL
1.000000,NORMAL
0.058522,NORMAL
1.000000,NORMAL
0.011116,NORMAL
1.000000,NORMAL
0.008617,NORMAL
1.000000,NORMAL
0.023062,NORMAL
1.000000,NORMAL
0.015109,NORMAL
1.000000,NORMAL
0.003279,NORMAL
1.000000,NORMAL
0.004094,NORMAL
1.000000,NORMAL
0.003560,NORMAL
1.000000,NORMAL
0.000969,NORMAL
1.000000,NORMAL
0.027102,NORMAL
1.000000,NORMAL
0.024474,NORMAL
1.000000,NORMAL
0.011435,NORMAL
1.000000,NORMAL
0.019520,NORMAL
1.000000,NORMAL
0.024750,NORMAL
1.000000,NORMAL
0.003430,NORMAL
1.000000,NORMAL
0.003214,NORMAL
1.000000,NORMAL
0.021110,NORMAL
1.000000,NORMAL
0.023933,NORMAL
1.000000,NORMAL
0.008785,NORMAL
1.000000,NORMAL
0.020494,NORMAL
1.000000,NORMAL
0.000908,NORMAL
1.000000,NORMAL
0.032372,NORMAL
1.000000,NORMAL
0.019995,NORMAL
1.000000,NORMAL
0.013243,NORMAL
1.000000,NORMAL
0.017634,NORMAL
1.000000,NORMAL
0.018374,NORMAL
1.000000,NORMAL
0.016887,NORMAL
1.000000,NORMAL
0.056284,NORMAL
1.000000,NORMAL
0.004613,NORMAL
1.000000,NORMAL
0.007018,NORMAL
1.000000,NORMAL
0.020054,NORMAL
1.000000,NORMAL
0.032582,NORMAL
1.000000,NORMAL
0.002607,NORMAL
1.000000,NORMAL
0.012656,NORMAL
1.000000,NORMAL
0.002674,NORMAL
1.000000,NORMAL
0.040126,NORMAL
1.000000,NORMAL
0.025079,NORMAL
1.000000,NORMAL
0.008910,NORMAL
1.000000,NORMAL
0.018523,NORMAL
1.000000,NORMAL
0.004278,NORMAL
1.000000,NORMAL
0.521561,TUMORLU
0.003892,TUMORLU
0.521906,TUMORLU
0.030681,TUMORLU
0.874003,TUMORLU
0.033555,TUMORLU
0.858667,TUMORLU
0.034441,TUMORLU
0.879791,TUMORLU
0.028683,TUMORLU
0.874941,TUMORLU
0.030089,TUMORLU
0.894531,TUMORLU
0.026448,TUMORLU
0.885074,TUMORLU
0.029586,TUMORLU
0.890528,TUMORLU
0.004527,TUMORLU
0.934510,TUMORLU
0.008216,TUMORLU
0.869547,TUMORLU
0.004718,TUMORLU
0.937311,TUMORLU
0.007720,TUMORLU
0.830727,TUMORLU
0.022716,TUMORLU
0.702160,TUMORLU
0.008690,TUMORLU
0.585244,TUMORLU
0.029627,TUMORLU
0.649829,TUMORLU
0.010902,TUMORLU
0.842781,TUMORLU
0.035540,TUMORLU
0.845665,TUMORLU
0.009831,TUMORLU
0.680121,TUMORLU
0.013158,TUMORLU
0.665436,TUMORLU
0.053102,TUMORLU
0.658010,TUMORLU
0.013731,TUMORLU
0.719637,TUMORLU
0.014464,TUMORLU
0.527533,TUMORLU
0.008445,TUMORLU
0.638911,TUMORLU
0.016655,TUMORLU
0.541050,TUMORLU
0.004807,TUMORLU
0.898179,TUMORLU
0.008331,TUMORLU
0.938937,TUMORLU
0.006478,TUMORLU
0.927834,TUMORLU
0.029623,TUMORLU
0.690732,TUMORLU
0.034014,TUMORLU
0.586248,TUMORLU
0.067441,TUMORLU
0.497140,TUMORLU
0.016919,TUMORLU
0.711346,TUMORLU
0.009716,TUMORLU
0.626240,TUMORLU
0.004776,TUMORLU
0.918003,TUMORLU
0.011253,TUMORLU
0.690593,TUMORLU
0.098561,TUMORLU
0.806917,TUMORLU
0.108343,TUMORLU
0.640112,TUMORLU
0.000272,TUMORLU
0.927052,TUMORLU
0.022237,TUMORLU
0.761113,TUMORLU
0.021697,TUMORLU
0.785499,TUMORLU
0.021043,TUMORLU
0.818015,TUMORLU
0.018126,TUMORLU
0.772266,TUMORLU
0.071905,TUMORLU
0.570891,TUMORLU
0.007872,TUMORLU
0.935158,TUMORLU
0.004787,TUMORLU
0.692929,TUMORLU
0.003757,TUMORLU
0.884861,TUMORLU
0.012401,TUMORLU
0.656376,TUMORLU
0.020017,TUMORLU
0.903602,TUMORLU
0.025476,TUMORLU
0.874799,TUMORLU
0.037460,TUMORLU
0.836758,TUMORLU
0.014537,TUMORLU
0.825933,TUMORLU
0.009739,TUMORLU
0.645339,TUMORLU
0.007902,TUMORLU
0.994359,TUMORLU
0.880938,TUMORLU
0.006726,TUMORLU
0.874119,TUMORLU
0.004576,TUMORLU
0.899298,TUMORLU
0.032044,TUMORLU
0.670606,TUMORLU
0.028221,TUMORLU
0.766180,TUMORLU
0.020161,TUMORLU
0.657135,TUMORLU
0.048319,TUMORLU
0.617040,TUMORLU
0.031966,TUMORLU
0.705583,TUMORLU
0.008497,TUMORLU
0.931077,TUMORLU
0.015384,TUMORLU
0.741191,TUMORLU
0.013426,TUMORLU
0.711202,TUMORLU
0.073535,TUMORLU
0.857184,TUMORLU
0.013907,TUMORLU
0.920538,TUMORLU
0.010884,TUMORLU
0.884341,TUMORLU
0.017427,TUMORLU
0.908771,TUMORLU
0.024748,TUMORLU
0.576775,TUMORLU
0.063370,TUMORLU
0.867372,TUMORLU
0.090593,TUMORLU
0.890212,TUMORLU
0.027944,TUMORLU
0.607846,TUMORLU
0.034855,TUMORLU
0.498043,TUMORLU
0.003900,TUMORLU
0.920554,TUMORLU
0.003802,TUMORLU
0.908302,TUMORLU
0.037838,TUMORLU
0.638507,TUMORLU
0.104892,TUMORLU
0.703826,TUMORLU
0.007381,TUMORLU
0.787434,TUMORLU
0.008079,TUMORLU
0.779261,TUMORLU
0.024153,TUMORLU
0.709927,TUMORLU
0.001546,TUMORLU
0.805340,TUMORLU
0.003193,TUMORLU
0.826302,TUMORLU
0.113951,TUMORLU
0.771731,TUMORLU
0.020866,TUMORLU
0.892339,TUMORLU
0.018137,TUMORLU
0.805362,TUMORLU
0.022506,TUMORLU
0.663438,TUMORLU
0.020210,TUMORLU
0.620579,TUMORLU
0.089322,TUMORLU
0.792423,TUMORLU
0.011689,TUMORLU
0.851224,TUMORLU
0.053704,TUMORLU
0.617194,TUMORLU
0.003669,TUMORLU
0.798828,TUMORLU
0.020798,TUMORLU
0.718100,TUMORLU
0.005000,TUMORLU
0.873025,TUMORLU
0.010050,TUMORLU
0.736493,TUMORLU
0.006028,TUMORLU
0.652860,TUMORLU
0.020550,TUMORLU
0.728784,TUMORLU
0.014901,TUMORLU
0.642067,TUMORLU
0.014431,TUMORLU
0.681353,TUMORLU
0.020394,TUMORLU
0.923773,TUMORLU
0.007791,TUMORLU
0.879519,TUMORLU
0.006258,TUMORLU
0.875636,TUMORLU
0.020990,TUMORLU
0.738969,TUMORLU
0.021658,TUMORLU
0.761925,TUMORLU
0.006540,TUMORLU
0.660189,TUMORLU
0.002766,TUMORLU
0.687672,TUMORLU
0.005221,TUMORLU
0.939193,TUMORLU
0.007400,TUMORLU
0.853031,TUMORLU
0.005050,TUMORLU
0.768151,TUMORLU
0.010597,TUMORLU
0.714429,TUMORLU
0.007608,TUMORLU
0.843705,TUMORLU
0.004516,TUMORLU
0.926307,TUMORLU
0.008711,TUMORLU
0.640609,TUMORLU
0.004803,TUMORLU
0.955872,TUMORLU
0.009519,TUMORLU
0.887518,TUMORLU
0.016939,TUMORLU
0.672213,TUMORLU
0.022150,TUMORLU
0.834232,TUMORLU
0.034562,TUMORLU
0.888794,TUMORLU
0.010755,TUMORLU
0.829352,TUMORLU
0.015300,TUMORLU
0.780788,TUMORLU
0.014984,TUMORLU
0.789297,TUMORLU
0.011903,TUMORLU
0.698335,TUMORLU
0.007484,TUMORLU
0.970355,TUMORLU
0.011166,TUMORLU
0.663982,TUMORLU
0.023975,TUMORLU
0.662946,TUMORLU
0.071504,TUMORLU
0.702864,TUMORLU
0.004575,TUMORLU
0.895031,TUMORLU
0.008657,TUMORLU
0.858919,TUMORLU
