@RELATION SINGLE_LH_CORRELATION

@ATTRIBUTE LH_correlation NUMERIC
@ATTRIBUTE class {BASLANGIC,NORMAL,TUMORLU}

@DATA
0.344597,BASLANGIC
0.268866,BASLANGIC
0.329366,BASLANGIC
0.055227,BASLANGIC
0.346545,BASLANGIC
0.311388,BASLANGIC
0.303956,BASLANGIC
0.262833,BASLANGIC
0.341758,BASLANGIC
0.298525,BASLANGIC
0.312815,BASLANGIC
0.313981,BASLANGIC
0.339121,BASLANGIC
0.262704,BASLANGIC
0.286680,BASLANGIC
0.275011,BASLANGIC
0.302535,BASLANGIC
0.269750,BASLANGIC
0.326076,BASLANGIC
0.204771,BASLANGIC
0.333523,BASLANGIC
0.362882,BASLANGIC
0.355906,BASLANGIC
0.268270,BASLANGIC
0.330174,BASLANGIC
0.294534,BASLANGIC
0.339515,BASLANGIC
0.233534,BASLANGIC
0.334437,BASLANGIC
0.231202,BASLANGIC
0.325517,BASLANGIC
0.255294,BASLANGIC
0.296950,BASLANGIC
0.315626,BASLANGIC
0.339945,BASLANGIC
0.079349,BASLANGIC
0.309185,BASLANGIC
0.252371,BASLANGIC
0.315134,BASLANGIC
0.184912,BASLANGIC
0.240698,BASLANGIC
0.020541,BASLANGIC
0.329188,BASLANGIC
0.173411,BASLANGIC
0.304092,BASLANGIC
0.141713,NORMAL
1.000000,NORMAL
0.216725,NORMAL
1.000000,NORMAL
0.283055,NORMAL
1.000000,NORMAL
0.238693,NORMAL
1.000000,NORMAL
0.259491,NORMAL
1.000000,NORMAL
0.264483,NORMAL
1.000000,NORMAL
0.261244,NORMAL
1.000000,NORMAL
0.237400,NORMAL
1.000000,NORMAL
0.203863,NORMAL
1.000000,NORMAL
0.236407,NORMAL
1.000000,NORMAL
0.257856,NORMAL
1.000000,NORMAL
0.315890,NORMAL
1.000000,NORMAL
0.298439,NORMAL
1.000000,NORMAL
0.193695,NORMAL
1.000000,NORMAL
0.195395,NORMAL
1.000000,NORMAL
0.219878,NORMAL
1.000000,NORMAL
0.276816,NORMAL
1.000000,NORMAL
0.209700,NORMAL
1.000000,NORMAL
0.197606,NORMAL
1.000000,NORMAL
0.273709,NORMAL
1.000000,NORMAL
0.199266,NORMAL
1.000000,NORMAL
0.254115,NORMAL
1.000000,NORMAL
0.273011,NORMAL
1.000000,NORMAL
0.271349,NORMAL
1.000000,NORMAL
0.250496,NORMAL
1.000000,NORMAL
0.274429,NORMAL
1.000000,NORMAL
0.221829,NORMAL
1.000000,NORMAL
0.252332,NORMAL
1.000000,NORMAL
0.213270,NORMAL
1.000000,NORMAL
0.190961,NORMAL
1.000000,NORMAL
0.237562,NORMAL
1.000000,NORMAL
0.283743,NORMAL
1.000000,NORMAL
0.328111,NORMAL
1.000000,NORMAL
0.156840,NORMAL
1.000000,NORMAL
0.285227,NORMAL
1.000000,NORMAL
0.278594,NORMAL
1.000000,NORMAL
0.233748,NORMAL
1.000000,NORMAL
0.037876,NORMAL
1.000000,NORMAL
0.251512,NORMAL
1.000000,NORMAL
0.192689,NORMAL
1.000000,NORMAL
0.231160,NORMAL
1.000000,NORMAL
0.253301,NORMAL
1.000000,NORMAL
0.255874,NORMAL
1.000000,NORMAL
0.241888,NORMAL
1.000000,NORMAL
0.211177,NORMAL
1.000000,NORMAL
0.222181,NORMAL
1.000000,NORMAL
0.280759,NORMAL
1.000000,NORMAL
0.256133,NORMAL
1.000000,NORMAL
0.296374,NORMAL
1.000000,NORMAL
0.073231,NORMAL
1.000000,NORMAL
0.193314,NORMAL
1.000000,NORMAL
0.251728,NORMAL
1.000000,NORMAL
0.071452,NORMAL
1.000000,NORMAL
0.228519,NORMAL
1.000000,NORMAL
0.270845,NORMAL
1.000000,NORMAL
0.153578,NORMAL
1.000000,NORMAL
0.157897,NORMAL
1.000000,NORMAL
0.230326,NORMAL
1.000000,NORMAL
0.204838,NORMAL
1.000000,NORMAL
0.271346,NORMAL
1.000000,NORMAL
0.234842,NORMAL
1.000000,NORMAL
0.248657,NORMAL
1.000000,NORMAL
0.181973,NORMAL
1.000000,NORMAL
0.266280,NORMAL
1.000000,NORMAL
0.231566,NORMAL
1.000000,NORMAL
0.150520,NORMAL
1.000000,NORMAL
0.224623,NORMAL
1.000000,NORMAL
0.179125,NORMAL
1.000000,NORMAL
0.220294,NORMAL
1.000000,NORMAL
0.203238,NORMAL
1.000000,NORMAL
0.246988,NORMAL
1.000000,NORMAL
0.380051,NORMAL
1.000000,NORMAL
0.202002,NORMAL
1.000000,NORMAL
0.250492,NORMAL
1.000000,NORMAL
0.235664,NORMAL
1.000000,NORMAL
0.234252,NORMAL
1.000000,NORMAL
0.042313,NORMAL
1.000000,NORMAL
0.284358,NORMAL
1.000000,NORMAL
0.222918,NORMAL
1.000000,NORMAL
0.277801,NORMAL
1.000000,NORMAL
0.247450,NORMAL
1.000000,NORMAL
0.250412,NORMAL
1.000000,NORMAL
0.240496,NORMAL
1.000000,NORMAL
0.234898,NORMAL
1.000000,NORMAL
0.170645,NORMAL
1.000000,NORMAL
0.194882,NORMAL
1.000000,NORMAL
0.255314,NORMAL
1.000000,NORMAL
0.285874,NORMAL
1.000000,NORMAL
0.217774,NORMAL
1.000000,NORMAL
0.164578,NORMAL
1.000000,NORMAL
0.218429,NORMAL
1.000000,NORMAL
0.247479,NORMAL
1.000000,NORMAL
0.261778,NORMAL
1.000000,NORMAL
0.247246,NORMAL
1.000000,NORMAL
0.220812,NORMAL
1.000000,NORMAL
0.235353,NORMAL
1.000000,NORMAL
0.231748,NORMAL
1.000000,NORMAL
0.208003,NORMAL
1.000000,NORMAL
0.218608,NORMAL
1.000000,NORMAL
0.224649,NORMAL
1.000000,NORMAL
0.272948,NORMAL
1.000000,NORMAL
0.269546,NORMAL
1.000000,NORMAL
0.294920,NORMAL
1.000000,NORMAL
0.166119,NORMAL
1.000000,NORMAL
0.146549,NORMAL
1.000000,NORMAL
0.308009,NORMAL
1.000000,NORMAL
0.241574,NORMAL
1.000000,NORMAL
0.211452,NORMAL
1.000000,NORMAL
0.239132,NORMAL
1.000000,NORMAL
0.303105,NORMAL
1.000000,NORMAL
0.236085,NORMAL
1.000000,NORMAL
0.000000,NORMAL
1.000000,NORMAL
0.233569,NORMAL
1.000000,NORMAL
0.170426,NORMAL
1.000000,NORMAL
0.223234,NORMAL
1.000000,NORMAL
0.216783,NORMAL
1.000000,NORMAL
0.234461,NORMAL
1.000000,NORMAL
0.247011,NORMAL
1.000000,NORMAL
0.269143,NORMAL
1.000000,NORMAL
0.246976,NORMAL
1.000000,NORMAL
0.266133,NORMAL
1.000000,NORMAL
0.221287,NORMAL
1.000000,NORMAL
0.253138,NORMAL
1.000000,NORMAL
0.215850,NORMAL
1.000000,NORMAL
0.178400,NORMAL
1.000000,NORMAL
0.243403,NORMAL
1.000000,NORMAL
0.325431,TUMORLU
0.291017,TUMORLU
0.317462,TUMORLU
0.226792,TUMORLU
0.299774,TUMORLU
0.118977,TUMORLU
0.328377,TUMORLU
0.142537,TUMORLU
0.342994,TUMORLU
0.108616,TUMORLU
0.286906,TUMORLU
0.151986,TUMORLU
0.300228,TUMORLU
0.246450,TUMORLU
0.289485,TUMORLU
0.111977,TUMORLU
0.311004,TUMORLU
0.201078,TUMORLU
0.247303,TUMORLU
0.188499,TUMORLU
0.304178,TUMORLU
0.241593,TUMORLU
0.327681,TUMORLU
0.222917,TUMORLU
0.279600,TUMORLU
0.244595,TUMORLU
0.320716,TUMORLU
0.264445,TUMORLU
0.314050,TUMORLU
0.356533,TUMORLU
0.326167,TUMORLU
0.290424,TUMORLU
0.313298,TUMORLU
0.348469,TUMORLU
0.322634,TUMORLU
0.289108,TUMORLU
0.293747,TUMORLU
0.257882,TUMORLU
0.309249,TUMORLU
0.291297,TUMORLU
0.299587,TUMORLU
0.261019,TUMORLU
0.302312,TUMORLU
0.217050,TUMORLU
0.318486,TUMORLU
0.210803,TUMORLU
0.333863,TUMORLU
0.196131,TUMORLU
0.307222,TUMORLU
0.272097,TUMORLU
0.304686,TUMORLU
0.256088,TUMORLU
0.285251,TUMORLU
0.279688,TUMORLU
0.327957,TUMORLU
0.324806,TUMORLU
0.307099,TUMORLU
0.230856,TUMORLU
0.322273,TUMORLU
0.296513,TUMORLU
0.317874,TUMORLU
0.269420,TUMORLU
0.309954,TUMORLU
0.283789,TUMORLU
0.285947,TUMORLU
0.265343,TUMORLU
0.271745,TUMORLU
0.251739,TUMORLU
0.321078,TUMORLU
0.161261,TUMORLU
0.317946,TUMORLU
0.318987,TUMORLU
0.177878,TUMORLU
0.266024,TUMORLU
0.298943,TUMORLU
0.271124,TUMORLU
0.333114,TUMORLU
0.293935,TUMORLU
0.320249,TUMORLU
0.312732,TUMORLU
0.305630,TUMORLU
0.183981,TUMORLU
0.316749,TUMORLU
0.257513,TUMORLU
0.327480,TUMORLU
0.305622,TUMORLU
0.297948,TUMORLU
0.316026,TUMORLU
0.316211,TUMORLU
0.275979,TUMORLU
0.288580,TUMORLU
0.267053,TUMORLU
0.326691,TUMORLU
0.198277,TUMORLU
0.312494,TUMORLU
0.163956,TUMORLU
0.311395,TUMORLU
0.256656,TUMORLU
0.294727,TUMORLU
0.300020,TUMORLU
0.306685,TUMORLU
0.247469,TUMORLU
0.331514,TUMORLU
0.212586,TUMORLU
0.213363,TUMORLU
0.307259,TUMORLU
0.323281,TUMORLU
0.282481,TUMORLU
0.266745,TUMORLU
0.283356,TUMORLU
0.264576,TUMORLU
0.307278,TUMORLU
0.289622,TUMORLU
0.324900,TUMORLU
0.324259,TUMORLU
0.300313,TUMORLU
0.321980,TUMORLU
0.300897,TUMORLU
0.254806,TUMORLU
0.308867,TUMORLU
0.244713,TUMORLU
0.316259,TUMORLU
0.313121,TUMORLU
0.304475,TUMORLU
0.209093,TUMORLU
0.321088,TUMORLU
0.255889,TUMORLU
0.298475,TUMORLU
0.041117,TUMORLU
0.258020,TUMORLU
0.026364,TUMORLU
0.298589,TUMORLU
0.164110,TUMORLU
0.259009,TUMORLU
0.177908,TUMORLU
0.310618,TUMORLU
0.175973,TUMORLU
0.300259,TUMORLU
0.068996,TUMORLU
0.275311,TUMORLU
0.323362,TUMORLU
0.311719,TUMORLU
0.316065,TUMORLU
0.316206,TUMORLU
0.268801,TUMORLU
0.323409,TUMORLU
0.274037,TUMORLU
0.291615,TUMORLU
0.280845,TUMORLU
0.260324,TUMORLU
0.173998,TUMORLU
0.281412,TUMORLU
0.279530,TUMORLU
0.322034,TUMORLU
0.289247,TUMORLU
0.316905,TUMORLU
0.296380,TUMORLU
0.295874,TUMORLU
0.212213,TUMORLU
0.332531,TUMORLU
0.216908,TUMORLU
0.320569,TUMORLU
0.253993,TUMORLU
0.330414,TUMORLU
0.286875,TUMORLU
0.302343,TUMORLU
0.138651,TUMORLU
0.289706,TUMORLU
0.009729,TUMORLU
0.304484,TUMORLU
0.035498,TUMORLU
0.313761,TUMORLU
0.287895,TUMORLU
0.337918,TUMORLU
0.280105,TUMORLU
0.329707,TUMORLU
0.301410,TUMORLU
0.295457,TUMORLU
0.289548,TUMORLU
0.314311,TUMORLU
0.232105,TUMORLU
0.299193,TUMORLU
0.285440,TUMORLU
0.301755,TUMORLU
0.251475,TUMORLU
0.291320,TUMORLU
0.278715,TUMORLU
0.285402,TUMORLU
0.259924,TUMORLU
0.315443,TUMORLU
0.252081,TUMORLU
0.315022,TUMORLU
0.247787,TUMORLU
0.318586,TUMORLU
0.289317,TUMORLU
0.308349,TUMORLU
0.289231,TUMORLU
0.308414,TUMORLU
0.253096,TUMORLU
0.304867,TUMORLU
0.309597,TUMORLU
0.285921,TUMORLU
0.348527,TUMORLU
0.313732,TUMORLU
0.258459,TUMORLU
0.281170,TUMORLU
0.260626,TUMORLU
0.329311,TUMORLU
0.224243,TUMORLU
0.275189,TUMORLU
0.180416,TUMORLU
0.295795,TUMORLU
0.214354,TUMORLU
0.324359,TUMORLU
0.248674,TUMORLU
0.312603,TUMORLU
0.230988,TUMORLU
0.273760,TUMORLU
0.248136,TUMORLU
0.342575,TUMORLU
0.264839,TUMORLU
0.324270,TUMORLU
0.274882,TUMORLU
0.308056,TUMORLU
0.239875,TUMORLU
0.311493,TUMORLU
0.152264,TUMORLU
0.320043,TUMORLU
0.258225,TUMORLU
0.307434,TUMORLU
0.341761,TUMORLU
0.314177,TUMORLU
0.295924,TUMORLU
0.295568,TUMORLU
0.228372,TUMORLU
0.294306,TUMORLU
0.218188,TUMORLU
0.310609,TUMORLU
0.263558,TUMORLU
0.308465,TUMORLU
0.212461,TUMORLU
0.328164,TUMORLU
0.193332,TUMORLU
0.320849,TUMORLU
0.250133,TUMORLU
0.303334,TUMORLU
0.309425,TUMORLU
0.303456,TUMORLU
0.204451,TUMORLU
0.322555,TUMORLU
0.238042,TUMORLU
0.296169,TUMORLU
