@RELATION SINGLE_LH_ASM

@ATTRIBUTE LH_ASM NUMERIC
@ATTRIBUTE class {BASLANGIC,NORMAL,TUMORLU}

@DATA
0.242071,BASLANGIC
0.916507,BASLANGIC
0.272265,BASLANGIC
0.969774,BASLANGIC
0.012212,BASLANGIC
0.978241,BASLANGIC
0.061862,BASLANGIC
0.956017,BASLANGIC
0.026153,BASLANGIC
0.948946,BASLANGIC
0.033644,BASLANGIC
0.977522,BASLANGIC
0.089297,BASLANGIC
0.976092,BASLANGIC
0.055981,BASLANGIC
0.963480,BASLANGIC
0.052318,BASLANGIC
0.977047,BASLANGIC
0.056307,BASLANGIC
0.975257,BASLANGIC
0.248604,BASLANGIC
0.988190,BASLANGIC
0.072005,BASLANGIC
0.962883,BASLANGIC
0.105459,BASLANGIC
0.953312,BASLANGIC
0.031000,NORMAL
1.000000,NORMAL
0.053022,NORMAL
1.000000,NORMAL
0.024199,NORMAL
1.000000,NORMAL
0.022385,NORMAL
1.000000,NORMAL
0.014541,NORMAL
1.000000,NORMAL
0.014198,NORMAL
1.000000,NORMAL
0.106054,NORMAL
1.000000,NORMAL
0.193626,NORMAL
1.000000,NORMAL
0.191200,NORMAL
1.000000,NORMAL
0.029412,NORMAL
1.000000,NORMAL
0.042425,NORMAL
1.000000,NORMAL
0.004079,NORMAL
1.000000,NORMAL
0.003346,NORMAL
1.000000,NORMAL
0.104970,NORMAL
1.000000,NORMAL
0.066910,NORMAL
1.000000,NORMAL
0.169808,NORMAL
1.000000,NORMAL
0.112310,NORMAL
1.000000,NORMAL
0.094565,NORMAL
1.000000,NORMAL
0.017658,NORMAL
1.000000,NORMAL
0.114914,NORMAL
1.000000,NORMAL
0.057773,NORMAL
1.000000,NORMAL
0.019783,NORMAL
1.000000,NORMAL
0.049953,NORMAL
1.000000,NORMAL
0.035425,NORMAL
1.000000,NORMAL
0.055143,NORMAL
1.000000,NORMAL
0.054441,NORMAL
1.000000,NORMAL
0.078142,NORMAL
1.000000,NORMAL
0.108098,NORMAL
1.000000,NORMAL
0.127925,NORMAL
1.000000,NORMAL
0.264420,NORMAL
1.000000,NORMAL
0.036633,NORMAL
1.000000,NORMAL
0.043651,NORMAL
1.000000,NORMAL
0.059552,NORMAL
1.000000,NORMAL
0.113330,NORMAL
1.000000,NORMAL
0.027480,NORMAL
1.000000,NORMAL
0.125287,NORMAL
1.000000,NORMAL
0.130804,NORMAL
1.000000,NORMAL
0.100580,NORMAL
1.000000,NORMAL
0.103085,NORMAL
1.000000,NORMAL
0.079319,NORMAL
1.000000,NORMAL
0.027025,NORMAL
1.000000,NORMAL
0.100437,NORMAL
1.000000,NORMAL
0.059542,NORMAL
1.000000,NORMAL
0.023163,NORMAL
1.000000,NORMAL
0.146725,NORMAL
1.000000,NORMAL
0.117319,NORMAL
1.000000,NORMAL
0.050211,NORMAL
1.000000,NORMAL
0.007319,NORMAL
1.000000,NORMAL
0.105012,NORMAL
1.000000,NORMAL
0.046232,NORMAL
1.000000,NORMAL
0.071132,NORMAL
1.000000,NORMAL
0.113450,NORMAL
1.000000,NORMAL
0.045160,NORMAL
1.000000,NORMAL
0.062332,NORMAL
1.000000,NORMAL
0.037583,NORMAL
1.000000,NORMAL
0.096293,NORMAL
1.000000,NORMAL
0.122872,NORMAL
1.000000,NORMAL
0.156468,NORMAL
1.000000,NORMAL
0.083192,NORMAL
1.000000,NORMAL
0.135810,NORMAL
1.000000,NORMAL
0.020343,NORMAL
1.000000,NORMAL
0.082727,NORMAL
1.000000,NORMAL
0.065262,NORMAL
1.000000,NORMAL
0.051678,NORMAL
1.000000,NORMAL
0.031671,NORMAL
1.000000,NORMAL
0.100350,NORMAL
1.000000,NORMAL
0.139270,NORMAL
1.000000,NORMAL
0.100365,NORMAL
1.000000,NORMAL
0.088534,NORMAL
1.000000,NORMAL
0.079866,NORMAL
1.000000,NORMAL
0.053542,NORMAL
1.000000,NORMAL
0.074537,NORMAL
1.000000,NORMAL
0.074858,NORMAL
1.000000,NORMAL
0.008612,NORMAL
1.000000,NORMAL
0.023708,NORMAL
1.000000,NORMAL
0.029118,NORMAL
1.000000,NORMAL
0.111486,NORMAL
1.000000,NORMAL
0.087926,NORMAL
1.000000,NORMAL
0.057603,NORMAL
1.000000,NORMAL
0.015246,NORMAL
1.000000,NORMAL
0.050163,NORMAL
1.000000,NORMAL
0.006907,NORMAL
1.000000,NORMAL
0.013244,NORMAL
1.000000,NORMAL
0.037281,NORMAL
1.000000,NORMAL
0.041073,NORMAL
1.000000,NORMAL
0.057885,NORMAL
1.000000,NORMAL
0.090537,NORMAL
1.000000,NORMAL
0.026517,NORMAL
1.000000,NORMAL
0.104193,NORMAL
1.000000,NORMAL
0.160908,NORMAL
1.000000,NORMAL
0.115595,NORMAL
1.000000,NORMAL
0.034270,NORMAL
1.000000,NORMAL
0.042584,NORMAL
1.000000,NORMAL
0.004509,NORMAL
1.000000,NORMAL
0.000000,NORMAL
1.000000,NORMAL
0.081461,NORMAL
1.000000,NORMAL
0.095835,NORMAL
1.000000,NORMAL
0.070148,NORMAL
1.000000,NORMAL
0.036316,NORMAL
1.000000,NORMAL
0.066759,NORMAL
1.000000,NORMAL
0.048857,NORMAL
1.000000,NORMAL
0.046410,NORMAL
1.000000,NORMAL
0.057209,NORMAL
1.000000,NORMAL
0.056084,NORMAL
1.000000,NORMAL
0.047567,NORMAL
1.000000,NORMAL
0.039813,NORMAL
1.000000,NORMAL
0.030727,NORMAL
1.000000,NORMAL
0.074970,NORMAL
1.000000,NORMAL
0.048871,NORMAL
1.000000,NORMAL
0.044717,NORMAL
1.000000,NORMAL
0.017042,NORMAL
1.000000,NORMAL
0.114507,NORMAL
1.000000,NORMAL
0.033975,NORMAL
1.000000,NORMAL
0.162351,NORMAL
1.000000,NORMAL
0.054850,NORMAL
1.000000,NORMAL
0.012515,NORMAL
1.000000,NORMAL
0.081206,NORMAL
1.000000,NORMAL
0.138415,NORMAL
1.000000,NORMAL
0.033151,NORMAL
1.000000,NORMAL
0.065386,NORMAL
1.000000,NORMAL
0.023195,NORMAL
1.000000,NORMAL
0.103322,NORMAL
1.000000,NORMAL
0.030600,NORMAL
1.000000,NORMAL
0.038682,NORMAL
1.000000,NORMAL
0.054385,NORMAL
1.000000,NORMAL
0.059902,NORMAL
1.000000,NORMAL
0.862976,TUMORLU
0.033343,TUMORLU
0.851130,TUMORLU
0.108019,TUMORLU
0.942714,TUMORLU
0.090153,TUMORLU
0.934511,TUMORLU
0.076488,TUMORLU
0.941087,TUMORLU
0.076415,TUMORLU
0.939319,TUMORLU
0.069808,TUMORLU
0.948237,TUMORLU
0.072073,TUMORLU
0.934884,TUMORLU
0.083159,TUMORLU
0.944944,TUMORLU
0.021795,TUMORLU
0.967399,TUMORLU
0.043733,TUMORLU
0.930086,TUMORLU
0.015161,TUMORLU
0.960510,TUMORLU
0.025707,TUMORLU
0.925542,TUMORLU
0.176870,TUMORLU
0.896964,TUMORLU
0.095346,TUMORLU
0.878321,TUMORLU
0.052340,TUMORLU
0.860139,TUMORLU
0.132798,TUMORLU
0.947063,TUMORLU
0.148047,TUMORLU
0.928225,TUMORLU
0.040570,TUMORLU
0.893470,TUMORLU
0.065981,TUMORLU
0.910550,TUMORLU
0.093952,TUMORLU
0.892551,TUMORLU
0.167753,TUMORLU
0.892857,TUMORLU
0.114186,TUMORLU
0.851464,TUMORLU
0.075924,TUMORLU
0.868828,TUMORLU
0.094987,TUMORLU
0.850763,TUMORLU
0.069268,TUMORLU
0.953539,TUMORLU
0.101882,TUMORLU
0.953784,TUMORLU
0.074910,TUMORLU
0.960995,TUMORLU
0.104232,TUMORLU
0.889446,TUMORLU
0.129870,TUMORLU
0.868775,TUMORLU
0.100161,TUMORLU
0.823823,TUMORLU
0.111241,TUMORLU
0.881041,TUMORLU
0.055950,TUMORLU
0.852188,TUMORLU
0.019814,TUMORLU
0.945648,TUMORLU
0.044836,TUMORLU
0.901102,TUMORLU
0.279319,TUMORLU
0.929877,TUMORLU
0.231567,TUMORLU
0.902801,TUMORLU
0.026244,TUMORLU
0.956267,TUMORLU
0.111960,TUMORLU
0.907082,TUMORLU
0.047096,TUMORLU
0.907170,TUMORLU
0.060316,TUMORLU
0.922096,TUMORLU
0.062609,TUMORLU
0.910648,TUMORLU
0.087300,TUMORLU
0.870423,TUMORLU
0.059549,TUMORLU
0.961235,TUMORLU
0.028124,TUMORLU
0.888110,TUMORLU
0.015904,TUMORLU
0.938740,TUMORLU
0.068152,TUMORLU
0.877956,TUMORLU
0.125171,TUMORLU
0.953424,TUMORLU
0.098845,TUMORLU
0.924958,TUMORLU
0.171837,TUMORLU
0.920346,TUMORLU
0.086768,TUMORLU
0.928221,TUMORLU
0.044436,TUMORLU
0.883094,TUMORLU
0.044085,TUMORLU
0.987828,TUMORLU
0.931712,TUMORLU
0.038025,TUMORLU
0.946946,TUMORLU
0.033145,TUMORLU
0.946502,TUMORLU
0.067000,TUMORLU
0.907977,TUMORLU
0.079165,TUMORLU
0.925102,TUMORLU
0.064854,TUMORLU
0.904703,TUMORLU
0.042612,TUMORLU
0.886493,TUMORLU
0.055611,TUMORLU
0.888735,TUMORLU
0.067438,TUMORLU
0.952948,TUMORLU
0.010778,TUMORLU
0.893643,TUMORLU
0.097315,TUMORLU
0.887627,TUMORLU
0.102939,TUMORLU
0.911115,TUMORLU
0.130529,TUMORLU
0.952600,TUMORLU
0.097995,TUMORLU
0.929625,TUMORLU
0.078750,TUMORLU
0.952383,TUMORLU
0.041993,TUMORLU
0.893654,TUMORLU
0.108700,TUMORLU
0.922883,TUMORLU
0.148377,TUMORLU
0.947419,TUMORLU
0.037747,TUMORLU
0.866796,TUMORLU
0.057118,TUMORLU
0.877483,TUMORLU
0.046752,TUMORLU
0.949654,TUMORLU
0.025952,TUMORLU
0.944005,TUMORLU
0.073117,TUMORLU
0.888980,TUMORLU
0.091736,TUMORLU
0.896076,TUMORLU
0.031754,TUMORLU
0.935227,TUMORLU
0.038842,TUMORLU
0.933472,TUMORLU
0.101793,TUMORLU
0.907998,TUMORLU
0.024384,TUMORLU
0.916571,TUMORLU
0.051159,TUMORLU
0.938048,TUMORLU
0.199529,TUMORLU
0.900269,TUMORLU
0.070253,TUMORLU
0.944486,TUMORLU
0.049063,TUMORLU
0.920677,TUMORLU
0.137578,TUMORLU
0.893427,TUMORLU
0.108442,TUMORLU
0.877656,TUMORLU
0.153868,TUMORLU
0.922999,TUMORLU
0.052582,TUMORLU
0.950600,TUMORLU
0.067838,TUMORLU
0.862529,TUMORLU
0.028774,TUMORLU
0.927798,TUMORLU
0.184103,TUMORLU
0.896952,TUMORLU
0.036620,TUMORLU
0.930443,TUMORLU
0.066906,TUMORLU
0.926276,TUMORLU
0.024185,TUMORLU
0.900111,TUMORLU
0.148774,TUMORLU
0.899816,TUMORLU
0.064424,TUMORLU
0.897291,TUMORLU
0.079105,TUMORLU
0.895596,TUMORLU
0.063820,TUMORLU
0.946012,TUMORLU
0.053376,TUMORLU
0.937447,TUMORLU
0.061279,TUMORLU
0.930081,TUMORLU
0.042391,TUMORLU
0.889113,TUMORLU
0.043579,TUMORLU
0.905689,TUMORLU
0.050887,TUMORLU
0.897215,TUMORLU
0.024772,TUMORLU
0.879245,TUMORLU
0.040117,TUMORLU
0.965024,TUMORLU
0.053626,TUMORLU
0.925365,TUMORLU
0.051055,TUMORLU
0.906133,TUMORLU
0.032337,TUMORLU
0.905435,TUMORLU
0.026908,TUMORLU
0.935474,TUMORLU
0.066635,TUMORLU
0.957684,TUMORLU
0.117827,TUMORLU
0.888176,TUMORLU
0.044172,TUMORLU
0.969182,TUMORLU
0.042975,TUMORLU
0.930913,TUMORLU
0.132137,TUMORLU
0.892529,TUMORLU
0.082961,TUMORLU
0.904404,TUMORLU
0.073648,TUMORLU
0.942845,TUMORLU
0.041320,TUMORLU
0.928451,TUMORLU
0.078680,TUMORLU
0.929999,TUMORLU
0.115553,TUMORLU
0.915941,TUMORLU
0.102879,TUMORLU
0.900849,TUMORLU
0.068064,TUMORLU
0.976808,TUMORLU
0.068289,TUMORLU
0.898000,TUMORLU
0.165638,TUMORLU
0.891024,TUMORLU
0.258807,TUMORLU
0.905369,TUMORLU
0.045118,TUMORLU
0.956491,TUMORLU
0.142407,TUMORLU
0.936157,TUMORLU
