@RELATION FFT

@ATTRIBUTE fft_mean NUMERIC
@ATTRIBUTE fft_std NUMERIC
@ATTRIBUTE fft_max NUMERIC
@ATTRIBUTE class {BASLANGIC,NORMAL,TUMORLU}

@DATA
0.959280,0.790119,0.881372,BASLANGIC
0.935521,0.955971,0.980959,BASLANGIC
0.956995,0.753949,0.868569,BASLANGIC
0.936698,0.907655,0.964432,BASLANGIC
0.947687,0.723814,0.830051,BASLANGIC
0.939815,0.929363,0.965844,BASLANGIC
0.969635,0.776055,0.912778,BASLANGIC
0.937959,0.944777,0.978639,BASLANGIC
0.967283,0.754103,0.901964,BASLANGIC
0.945856,0.924315,0.976003,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.950458,0.959888,0.972901,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.944118,0.961619,0.985505,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.947302,0.947988,0.987250,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.956395,0.901016,0.985174,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.953994,0.927707,0.985073,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.950997,0.912333,0.967329,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.939742,0.935181,0.958011,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.941249,0.953208,0.957656,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.949108,0.950527,0.979967,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.949327,0.934132,0.984782,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.947270,0.941633,0.987423,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.949023,0.941408,0.984729,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.951660,0.911582,0.983532,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.954370,0.928204,0.986284,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.936650,0.977019,0.974369,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.941063,0.915131,0.965972,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.940529,0.961021,0.966738,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.949892,0.952755,0.978846,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.944208,0.926469,0.972048,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.942348,0.947533,0.979785,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.949832,0.935824,0.984364,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.944690,0.953419,0.973121,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.950447,0.910367,0.982991,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.942827,0.905813,0.971365,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.931143,0.916236,0.964556,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.944607,0.945545,0.969837,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.938669,0.928786,0.956633,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.939667,0.973996,0.973505,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.953596,0.825819,0.979037,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.951937,0.936113,0.983814,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.951456,0.938872,0.984336,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.941023,0.921084,0.986873,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.936968,0.950670,0.966295,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.933226,0.915919,0.964758,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.936137,0.909069,0.959919,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.935056,0.930473,0.962183,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.952328,0.931934,0.974908,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.941777,0.954678,0.969807,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.944217,0.955389,0.977643,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.952502,0.941684,0.982320,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.936251,0.916895,0.964451,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.943841,0.954381,0.977458,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.952575,0.945308,0.982169,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.938584,0.968745,0.970061,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.940755,0.962955,0.977544,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.949371,0.951674,0.974764,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.951386,0.954133,0.981572,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.933216,0.951981,0.963125,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.945116,0.942811,0.969628,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.945024,0.934091,0.969947,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.933422,0.931827,0.961572,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.945140,0.947685,0.969497,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.929780,0.900840,0.955976,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.952175,0.937213,0.975508,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.929701,0.901659,0.956568,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.948344,0.950307,0.975862,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.941062,0.952827,0.968580,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.947354,0.943599,0.976103,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.943541,0.960632,0.978221,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.952880,0.944688,0.982105,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.944356,0.935428,0.971938,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.944491,0.923857,0.972080,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.929876,0.938784,0.947332,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.948765,0.952056,0.988086,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.929948,0.903984,0.956393,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.930229,0.899331,0.956187,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.948528,0.948917,0.975754,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.944851,0.923199,0.978513,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.942775,0.907926,0.965832,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.939658,0.955638,0.968802,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.934938,0.945461,0.970044,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.952587,0.921846,0.986772,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.947527,0.924183,0.973702,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.956607,0.930866,0.988612,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.956718,0.925908,0.985298,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.938013,0.950148,0.967452,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.942399,0.910458,0.964455,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.950770,0.938792,0.981793,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.950476,0.946805,0.984573,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.946645,0.924473,0.978017,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.955304,0.931602,1.000000,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.946250,0.938629,0.980343,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.952584,0.911263,0.968011,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.952534,0.950611,0.982353,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.938580,0.945251,0.964887,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.940177,0.917394,0.958867,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.945952,0.916920,0.978810,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.950172,0.945972,0.973671,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.943473,0.954272,0.966912,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.950787,0.949365,0.971819,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.955608,0.919352,0.986480,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.950933,0.922165,0.981035,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.950386,0.921530,0.990641,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.952914,0.936001,0.984667,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.944761,0.920888,0.974602,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.943874,0.932030,0.974421,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.943245,0.934856,0.977777,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.944065,0.910743,0.966034,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.945170,0.911384,0.968873,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.948525,0.956433,0.986022,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.941139,0.962763,0.984434,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.949173,0.928813,0.971372,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.937396,0.924471,0.974448,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.940808,0.940630,0.981757,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.947055,0.938837,0.971245,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.947945,0.943188,0.989329,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.938000,0.945344,0.971500,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.945530,0.937306,0.970537,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.944446,0.914779,0.978273,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.942330,0.906269,0.976170,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.946601,0.925427,0.969134,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.949497,0.897223,0.975495,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.945222,0.945196,0.955837,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.950733,0.946766,0.990755,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.945604,0.924608,0.993121,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.947846,0.955133,0.964966,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.939132,0.977924,0.973926,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.950998,0.931973,0.984000,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.952555,0.850452,0.979418,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.947483,0.954627,0.983595,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.939749,0.919662,0.957014,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.932389,0.904997,0.964642,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.944146,0.934573,0.980064,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.944068,0.955098,0.969661,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.949887,0.967550,0.984067,NORMAL
0.000000,0.000000,0.000000,NORMAL
0.992656,0.783021,0.978443,TUMORLU
0.950124,0.898948,0.983891,TUMORLU
0.995937,0.766855,0.978616,TUMORLU
0.925750,0.902625,0.981035,TUMORLU
0.975181,0.781164,0.922645,TUMORLU
0.929811,0.938943,0.982765,TUMORLU
0.975401,0.808482,0.926951,TUMORLU
0.934692,0.913672,0.982644,TUMORLU
0.977284,0.781599,0.921113,TUMORLU
0.936030,0.904277,0.981595,TUMORLU
0.979897,0.766895,0.922742,TUMORLU
0.933450,0.921739,0.982137,TUMORLU
0.972479,0.781066,0.916622,TUMORLU
0.931439,0.928123,0.981690,TUMORLU
0.977314,0.763385,0.919662,TUMORLU
0.932074,0.915419,0.981468,TUMORLU
0.972622,0.774890,0.918194,TUMORLU
0.958638,0.909568,0.978270,TUMORLU
0.966879,0.792098,0.900027,TUMORLU
0.955708,0.913139,0.974681,TUMORLU
0.977166,0.781494,0.923642,TUMORLU
0.959627,0.911900,0.985171,TUMORLU
0.968474,0.772564,0.898390,TUMORLU
0.953327,0.904477,0.978602,TUMORLU
0.975701,0.792945,0.933415,TUMORLU
0.944257,0.911771,0.966895,TUMORLU
0.983055,0.800300,0.955088,TUMORLU
0.951344,0.920006,0.968525,TUMORLU
0.986815,0.807539,0.970116,TUMORLU
0.930999,0.915147,0.962372,TUMORLU
0.992551,0.783055,0.961811,TUMORLU
0.944152,0.934867,0.977208,TUMORLU
0.977456,0.775622,0.931318,TUMORLU
0.933702,0.955055,0.973513,TUMORLU
0.978314,0.778686,0.930065,TUMORLU
0.943949,0.935636,0.981145,TUMORLU
0.985399,0.777144,0.958408,TUMORLU
0.938895,0.933061,0.971675,TUMORLU
0.988147,0.776385,0.960457,TUMORLU
0.949211,0.929947,0.965138,TUMORLU
0.989498,0.784431,0.961016,TUMORLU
0.941673,0.941302,0.976476,TUMORLU
0.988512,0.749914,0.952897,TUMORLU
0.943092,0.920547,0.980553,TUMORLU
0.997235,0.772953,0.977368,TUMORLU
0.940417,0.946078,0.983917,TUMORLU
0.990781,0.771219,0.963464,TUMORLU
0.936790,0.956103,0.978722,TUMORLU
0.997348,0.774353,0.975586,TUMORLU
0.948646,0.928700,0.985779,TUMORLU
0.971747,0.783125,0.915911,TUMORLU
0.946644,0.931447,0.983404,TUMORLU
0.966282,0.805776,0.897547,TUMORLU
0.946029,0.947848,0.984010,TUMORLU
0.968789,0.776107,0.903447,TUMORLU
0.937316,0.936449,0.972933,TUMORLU
0.988176,0.781123,0.956896,TUMORLU
0.934875,0.949190,0.966800,TUMORLU
0.994135,0.759323,0.970232,TUMORLU
0.931448,0.904751,0.965120,TUMORLU
1.000000,0.766458,0.982462,TUMORLU
0.942290,0.951374,0.975919,TUMORLU
0.990826,0.757866,0.953721,TUMORLU
0.939214,0.923344,0.977070,TUMORLU
0.995818,0.769726,0.964498,TUMORLU
0.943122,0.951707,0.988404,TUMORLU
0.971707,0.771082,0.907457,TUMORLU
0.941020,0.933484,0.979644,TUMORLU
0.985294,0.785892,0.957119,TUMORLU
0.927340,0.981941,0.961679,TUMORLU
0.980815,0.773840,0.938659,TUMORLU
0.928058,0.937540,0.962035,TUMORLU
0.988392,0.782937,0.963812,TUMORLU
0.956455,0.914230,0.985440,TUMORLU
0.970015,0.758110,0.904325,TUMORLU
0.939121,0.934385,0.973056,TUMORLU
0.982502,0.774636,0.946551,TUMORLU
0.940956,0.899033,0.973473,TUMORLU
0.984417,0.765604,0.942375,TUMORLU
0.947413,0.923986,0.974086,TUMORLU
0.979530,0.775593,0.936089,TUMORLU
0.940341,0.937438,0.973004,TUMORLU
0.985077,0.765725,0.944829,TUMORLU
0.933138,0.892908,0.960516,TUMORLU
0.993014,0.796250,0.971757,TUMORLU
0.940761,0.921619,0.980360,TUMORLU
0.967593,0.774465,0.900408,TUMORLU
0.950148,0.929602,0.976001,TUMORLU
0.989939,0.764894,0.956767,TUMORLU
0.944574,0.915386,0.980969,TUMORLU
0.979695,0.749492,0.919774,TUMORLU
0.938933,0.923132,0.975127,TUMORLU
0.991049,0.766282,0.961420,TUMORLU
0.935653,0.927032,0.977614,TUMORLU
0.970560,0.789487,0.913792,TUMORLU
0.939238,0.913395,0.976327,TUMORLU
0.979455,0.764641,0.922591,TUMORLU
0.934496,0.931049,0.965571,TUMORLU
0.981953,0.781623,0.931805,TUMORLU
0.937986,0.941131,0.975497,TUMORLU
0.981993,0.774615,0.934462,TUMORLU
0.945329,0.948572,0.973003,TUMORLU
0.988509,0.802840,0.962688,TUMORLU
0.955798,0.887697,0.975968,TUMORLU
0.937217,0.789097,0.809130,TUMORLU
0.973348,0.816406,0.920649,TUMORLU
0.939486,0.919966,0.979381,TUMORLU
0.979109,0.762440,0.922943,TUMORLU
0.948857,0.929583,0.985174,TUMORLU
0.976309,0.752379,0.914993,TUMORLU
0.933674,0.936510,0.954757,TUMORLU
0.988167,0.779639,0.959690,TUMORLU
0.931569,0.911008,0.959613,TUMORLU
0.983046,0.778205,0.946048,TUMORLU
0.934991,0.914711,0.962261,TUMORLU
0.987208,0.798056,0.961528,TUMORLU
0.929110,0.892448,0.957283,TUMORLU
0.992409,0.784806,0.966475,TUMORLU
0.936741,0.900671,0.963194,TUMORLU
0.988490,0.764881,0.954882,TUMORLU
0.944652,0.930639,0.984535,TUMORLU
0.967902,0.777922,0.901999,TUMORLU
