@RELATION FUSION_WITH_STATS

@ATTRIBUTE glcm_contrast NUMERIC
@ATTRIBUTE glcm_dissimilarity NUMERIC
@ATTRIBUTE glcm_homogeneity NUMERIC
@ATTRIBUTE glcm_energy NUMERIC
@ATTRIBUTE glcm_correlation NUMERIC
@ATTRIBUTE glcm_ASM NUMERIC
@ATTRIBUTE lbp_energy NUMERIC
@ATTRIBUTE lbp_entropy NUMERIC
@ATTRIBUTE lbp_mean NUMERIC
@ATTRIBUTE lbp_std NUMERIC
@ATTRIBUTE lcp_mean NUMERIC
@ATTRIBUTE lcp_std NUMERIC
@ATTRIBUTE lcp_energy NUMERIC
@ATTRIBUTE lcp_entropy NUMERIC
@ATTRIBUTE shape_area NUMERIC
@ATTRIBUTE shape_perimeter NUMERIC
@ATTRIBUTE shape_circularity NUMERIC
@ATTRIBUTE shape_aspect_ratio NUMERIC
@ATTRIBUTE hog_mean NUMERIC
@ATTRIBUTE hog_std NUMERIC
@ATTRIBUTE hog_skew NUMERIC
@ATTRIBUTE hog_kurtosis NUMERIC
@ATTRIBUTE phog_L0_mean NUMERIC
@ATTRIBUTE phog_L1_mean NUMERIC
@ATTRIBUTE phog_L1_std NUMERIC
@ATTRIBUTE softhist_bin_0 NUMERIC
@ATTRIBUTE softhist_bin_1 NUMERIC
@ATTRIBUTE softhist_bin_2 NUMERIC
@ATTRIBUTE softhist_bin_3 NUMERIC
@ATTRIBUTE softhist_bin_4 NUMERIC
@ATTRIBUTE softhist_bin_5 NUMERIC
@ATTRIBUTE softhist_bin_6 NUMERIC
@ATTRIBUTE softhist_bin_7 NUMERIC
@ATTRIBUTE softhist_bin_8 NUMERIC
@ATTRIBUTE softhist_bin_9 NUMERIC
@ATTRIBUTE softhist_bin_10 NUMERIC
@ATTRIBUTE softhist_bin_11 NUMERIC
@ATTRIBUTE softhist_bin_12 NUMERIC
@ATTRIBUTE softhist_bin_13 NUMERIC
@ATTRIBUTE softhist_bin_14 NUMERIC
@ATTRIBUTE softhist_bin_15 NUMERIC
@ATTRIBUTE softhist_bin_16 NUMERIC
@ATTRIBUTE softhist_bin_17 NUMERIC
@ATTRIBUTE softhist_bin_18 NUMERIC
@ATTRIBUTE softhist_bin_19 NUMERIC
@ATTRIBUTE softhist_bin_20 NUMERIC
@ATTRIBUTE softhist_bin_21 NUMERIC
@ATTRIBUTE softhist_bin_22 NUMERIC
@ATTRIBUTE softhist_bin_23 NUMERIC
@ATTRIBUTE softhist_bin_24 NUMERIC
@ATTRIBUTE softhist_bin_25 NUMERIC
@ATTRIBUTE softhist_bin_26 NUMERIC
@ATTRIBUTE softhist_bin_27 NUMERIC
@ATTRIBUTE softhist_bin_28 NUMERIC
@ATTRIBUTE softhist_bin_29 NUMERIC
@ATTRIBUTE softhist_bin_30 NUMERIC
@ATTRIBUTE softhist_bin_31 NUMERIC
@ATTRIBUTE softhist_mean NUMERIC
@ATTRIBUTE softhist_std NUMERIC
@ATTRIBUTE softhist_energy NUMERIC
@ATTRIBUTE softhist_entropy NUMERIC
@ATTRIBUTE stat_skew NUMERIC
@ATTRIBUTE stat_kurtosis NUMERIC
@ATTRIBUTE stat_mean NUMERIC
@ATTRIBUTE stat_std NUMERIC
@ATTRIBUTE fft_mean NUMERIC
@ATTRIBUTE fft_std NUMERIC
@ATTRIBUTE fft_max NUMERIC
@ATTRIBUTE class {BASLANGIC,NORMAL,TUMORLU}

@DATA
0.115417,0.538259,0.396934,0.129606,0.877843,0.037918,0.052729,0.946194,0.154377,0.951885,0.541127,0.299374,0.153714,0.639490,0.483937,0.497989,0.084789,0.336957,0.966369,0.603327,0.018387,0.001559,0.966369,0.957744,0.124174,0.001435,0.250287,1.000000,0.524397,0.298220,0.231630,0.218714,0.216418,0.221010,0.202067,0.185132,0.215844,0.186854,0.171068,0.158152,0.129162,0.101607,0.075201,0.077848,0.067451,0.049369,0.053387,0.043114,0.013659,0.015317,0.005335,0.006854,0.000000,0.000000,0.000000,0.000000,0.000000,0.198585,0.116861,0.064521,0.623249,0.051193,0.003069,0.370814,0.356607,0.943691,0.892446,0.967945,BASLANGIC
0.191244,0.093594,0.987725,0.965369,0.761443,0.938191,0.963582,0.044347,0.983087,0.146594,0.101059,0.450048,0.192338,0.003810,0.039402,0.042795,0.934793,0.297230,0.125536,0.568974,0.460327,0.183980,0.125536,0.135150,0.744788,1.000000,0.000000,0.000000,0.000063,0.000000,0.000063,0.000000,0.000000,0.000063,0.000000,0.000000,0.000000,0.000189,0.000000,0.000000,0.000377,0.000000,0.000126,0.000000,0.000063,0.000000,0.000000,0.000000,0.000070,0.000000,0.000000,0.000462,0.000000,0.000876,0.000895,0.000000,0.034832,0.001612,0.027676,0.000059,0.012187,0.252009,0.057219,0.043237,0.333607,0.965825,0.761038,0.898507,BASLANGIC
0.144115,0.669678,0.276006,0.030887,0.872730,0.006594,0.030857,0.970358,0.087945,0.910295,0.676847,0.309168,0.198638,0.757036,0.886901,0.353131,0.309024,0.322917,0.904392,0.701236,0.039806,0.000449,0.904392,0.903914,0.116253,0.000000,0.000000,0.028597,0.598749,0.866845,0.860590,0.734584,0.582663,0.555853,0.447721,0.424486,0.511171,0.645219,0.767650,0.970509,0.898123,0.810545,1.000000,0.814863,0.654155,0.638963,0.580876,0.492909,0.359002,0.235263,0.200703,0.162518,0.145308,0.096493,0.033912,0.028655,0.000000,0.731648,0.767377,0.675158,0.665131,0.015740,0.001735,0.646394,0.390081,0.944931,0.943510,0.985901,BASLANGIC
0.093553,0.042466,0.995169,0.991906,0.475468,0.985379,0.987000,0.017808,0.993343,0.099584,0.047262,0.313421,0.092637,0.000783,0.007772,0.018721,0.963524,0.264205,0.095446,0.495766,0.532703,0.252781,0.095446,0.129975,0.716272,1.000000,0.000000,0.000000,0.000000,0.000061,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000061,0.000000,0.000000,0.000061,0.000000,0.000000,0.000061,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000583,0.000000,0.007395,0.000343,0.027983,0.000003,0.003613,0.540522,0.282712,0.009392,0.157349,0.953502,0.717623,0.849173,BASLANGIC
0.123677,0.608466,0.316975,0.038552,0.887595,0.008459,0.032184,0.967013,0.092433,0.906969,0.610805,0.275728,0.160063,0.721720,0.963264,0.288435,0.503084,0.326316,0.903029,0.703169,0.044309,0.002459,0.903029,0.895762,0.231910,0.000000,0.002899,0.181159,0.540580,0.794203,0.607246,0.401449,0.321739,0.386957,0.394928,0.329710,0.508696,0.502899,0.723188,0.810870,0.847101,0.865942,1.000000,0.690082,0.513044,0.344203,0.280435,0.183733,0.242186,0.179597,0.160499,0.142430,0.080618,0.153963,0.168426,0.042598,0.004451,0.583128,0.592705,0.452489,0.784513,0.015523,0.002249,0.636087,0.385281,0.938347,0.949661,0.985381,BASLANGIC
0.125200,0.057910,0.992930,0.985643,0.606140,0.974140,0.979946,0.026115,0.990253,0.114289,0.061646,0.355845,0.119631,0.001511,0.014505,0.025902,0.939349,0.316707,0.099041,0.494988,0.503082,0.216100,0.099041,0.055749,0.179371,1.000000,0.000062,0.000000,0.000124,0.000124,0.000000,0.000124,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000247,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000113,0.000000,0.000000,0.000000,0.000000,0.013503,0.000629,0.027878,0.000009,0.005922,0.405378,0.155781,0.016831,0.210050,0.954499,0.795200,0.868022,BASLANGIC
0.162969,0.525527,0.495961,0.396371,0.894621,0.201838,0.101165,0.839788,0.330215,0.860209,0.551750,0.405598,0.226690,0.535881,0.478243,0.380018,0.143889,0.289720,0.752514,0.876904,0.117703,0.019363,0.752514,0.733994,0.216523,1.000000,0.061688,0.054600,0.068513,0.072582,0.064050,0.037406,0.040688,0.047119,0.062082,0.071663,0.074157,0.071007,0.064575,0.047644,0.044100,0.025988,0.042919,0.026964,0.028744,0.029794,0.029400,0.025393,0.026000,0.021168,0.009555,0.006751,0.011232,0.014172,0.008716,0.008417,0.000000,0.061701,0.006190,0.004468,0.367135,0.058373,0.003345,0.288797,0.462527,0.947650,0.961810,0.959868,BASLANGIC
0.401007,0.182956,0.978690,0.877232,0.860029,0.789682,0.924036,0.084453,0.968584,0.191416,0.203431,0.643188,0.397731,0.003834,0.157968,0.085666,0.935273,0.237344,0.229985,0.771681,0.332587,0.093419,0.229985,0.184845,0.633590,1.000000,0.000137,0.000137,0.000069,0.000000,0.000069,0.000069,0.000000,0.000069,0.000000,0.000206,0.000000,0.000000,0.000000,0.000000,0.000069,0.000000,0.000069,0.000070,0.000069,0.000069,0.000137,0.000000,0.000076,0.000326,0.000106,0.000126,0.000000,0.000718,0.000000,0.000367,0.151923,0.006740,0.031022,0.001115,0.029152,0.119384,0.010909,0.167785,0.631235,0.981645,0.743724,0.942321,BASLANGIC
0.212201,0.827502,0.155861,0.013470,0.856066,0.002649,0.010546,0.988709,0.059553,0.884540,0.850982,0.389670,0.314696,0.854122,0.799151,0.419221,0.197575,0.244094,0.912781,0.689159,0.036977,0.001550,0.912781,0.906658,0.274852,1.000000,0.181724,0.273105,0.336449,0.467290,0.619938,0.641745,0.714434,0.760125,0.703011,0.597092,0.755971,0.865005,0.930426,0.796469,0.860852,0.820353,0.981308,0.706208,0.560748,0.504673,0.287643,0.396812,0.355102,0.252441,0.228390,0.085838,0.044433,0.000000,0.078811,0.099890,0.181145,0.784006,0.685595,0.715753,0.752522,0.022780,0.002822,0.607588,0.445899,0.953805,0.959271,0.983900,BASLANGIC
0.334247,0.158113,0.980819,0.906105,0.848055,0.836942,0.936493,0.071579,0.972686,0.179263,0.169546,0.584355,0.327009,0.004716,0.116940,0.073553,0.939181,0.225291,0.133905,0.566868,0.404508,0.133053,0.133905,0.141512,0.779853,1.000000,0.000067,0.000000,0.000133,0.000000,0.000000,0.000067,0.000000,0.000067,0.000000,0.000067,0.000000,0.000333,0.000067,0.000067,0.000000,0.000533,0.000000,0.000000,0.000000,0.000000,0.000067,0.000160,0.000147,0.000079,0.000000,0.000000,0.000285,0.000000,0.000316,0.000356,0.109381,0.004886,0.028956,0.000578,0.024590,0.142485,0.016374,0.125048,0.552970,0.978394,0.752098,0.932822,BASLANGIC
0.241263,0.892955,0.126131,0.027283,0.642530,0.005888,0.058159,0.932004,0.157102,0.969172,0.882768,0.358979,0.306266,0.896241,0.606706,0.983335,0.027262,0.303922,0.883413,0.730104,0.049984,0.001379,0.883413,0.878195,0.226840,0.011019,0.005510,0.002066,0.000689,0.002066,0.005510,0.017906,0.124656,0.334022,0.572314,0.460055,0.481405,0.498623,0.742424,0.913223,1.000000,0.991047,0.993802,0.683045,0.689394,0.610882,0.473141,0.568557,0.407763,0.321782,0.228277,0.275794,0.215125,0.225489,0.071870,0.000000,0.000000,0.546825,0.777581,0.475669,0.613843,0.021532,0.003000,0.785495,0.300922,0.952304,0.947132,0.992199,BASLANGIC
0.082430,0.039152,0.995063,0.993465,0.389414,0.988187,0.989095,0.015274,0.994271,0.096050,0.042628,0.295340,0.082217,0.001171,0.005693,0.017207,0.835527,0.393555,0.089544,0.496977,0.628482,0.403876,0.089544,0.075107,0.413901,1.000000,0.000000,0.000061,0.000000,0.000000,0.000000,0.000000,0.000061,0.000000,0.000123,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000062,0.000000,0.000061,0.000000,0.000000,0.000000,0.000000,0.000190,0.000000,0.000000,0.000214,0.000000,0.000000,0.005501,0.000270,0.028012,0.000001,0.003100,0.617990,0.373136,0.007168,0.136825,0.942559,0.845615,0.840441,BASLANGIC
0.244414,0.873283,0.159846,0.047784,0.609261,0.011069,0.055698,0.934439,0.146473,0.972899,0.861982,0.371057,0.305903,0.870556,0.244318,0.317866,0.105065,0.775000,0.881420,0.732752,0.062461,0.002547,0.881420,0.880406,0.048268,0.000000,0.000000,0.020496,0.067961,0.350054,0.636462,1.000000,0.721143,0.727616,0.759978,0.865156,0.761597,0.619202,0.420173,0.364078,0.271845,0.221143,0.245415,0.200876,0.111650,0.146710,0.132686,0.131574,0.044768,0.026224,0.027569,0.007926,0.002308,0.000000,0.000000,0.000000,0.000000,0.420331,0.647775,0.325950,0.596984,0.049972,0.003832,0.511186,0.286760,0.948462,0.948542,0.978318,BASLANGIC
0.104378,0.047163,0.994716,0.990364,0.511946,0.982606,0.985169,0.019951,0.992435,0.102418,0.049317,0.319979,0.096578,0.000840,0.009444,0.020732,0.954635,0.339062,0.086017,0.525445,0.788336,0.663856,0.086017,0.044733,0.246519,1.000000,0.000062,0.000000,0.000000,0.000000,0.000062,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000062,0.000123,0.000074,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.008991,0.000412,0.027956,0.000004,0.004163,0.493879,0.234617,0.011270,0.172329,0.952012,0.760201,0.855061,BASLANGIC
0.161059,0.628845,0.341485,0.061207,0.827762,0.014501,0.013998,0.980729,0.078760,0.889186,0.637555,0.355497,0.215221,0.697439,0.345262,0.356258,0.118198,0.563636,0.859332,0.761107,0.074103,0.007845,0.859332,0.887233,0.144413,1.000000,0.406879,0.680078,0.770928,0.617781,0.538611,0.661259,0.624919,0.709280,0.622323,0.571058,0.750811,0.551590,0.412070,0.398443,0.284880,0.195977,0.164179,0.169437,0.147956,0.116807,0.097339,0.057705,0.061043,0.031551,0.008041,0.007152,0.005553,0.000000,0.000000,0.000000,0.000000,0.516600,0.599712,0.390960,0.702332,0.035905,0.002887,0.395025,0.353157,0.940757,0.963271,0.969989,BASLANGIC
0.457343,0.210277,0.975258,0.852613,0.865575,0.750456,0.913685,0.093941,0.963710,0.204415,0.228090,0.679097,0.444783,0.004699,0.192987,0.098201,0.869536,0.368786,0.248877,0.853023,0.353882,0.111792,0.248877,0.208163,0.428319,1.000000,0.000141,0.000071,0.000000,0.000071,0.000141,0.000000,0.000141,0.000071,0.000212,0.000000,0.000000,0.000283,0.000141,0.000071,0.000000,0.000071,0.000141,0.000000,0.000000,0.000000,0.000000,0.000085,0.000000,0.000000,0.000219,0.000260,0.000605,0.000492,0.000000,0.000378,0.191099,0.008472,0.033755,0.001765,0.032753,0.104872,0.008044,0.205003,0.687987,0.982699,0.775236,0.948795,BASLANGIC
0.263460,0.867986,0.151102,0.049891,0.425566,0.011514,0.044672,0.955923,0.122504,0.955110,0.870405,0.388955,0.322130,0.876213,0.361981,0.553667,0.051307,0.230198,0.961316,0.612156,0.020763,0.001800,0.961316,0.949628,0.055731,0.083977,0.129830,0.212262,0.274086,0.342092,0.572385,0.871200,0.929418,1.000000,0.850592,0.743946,0.676455,0.496136,0.367852,0.239567,0.165379,0.131891,0.129830,0.086030,0.035549,0.040185,0.024730,0.020430,0.007412,0.012219,0.001596,0.000000,0.003307,0.007178,0.000000,0.000000,0.000000,0.399087,0.694657,0.325112,0.555679,0.039059,0.004901,0.432491,0.249472,0.955424,0.905640,0.972916,BASLANGIC
0.134877,0.062019,0.992499,0.984875,0.596541,0.972765,0.977729,0.029043,0.989567,0.118039,0.068012,0.374363,0.132506,0.001544,0.015047,0.027860,0.842329,0.372596,0.082865,0.498252,0.657436,0.420834,0.082865,0.088252,0.486345,1.000000,0.000062,0.000000,0.000124,0.000124,0.000062,0.000000,0.000000,0.000000,0.000185,0.000000,0.000000,0.000000,0.000000,0.000062,0.000000,0.000000,0.000000,0.000000,0.000062,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000293,0.000000,0.014270,0.000663,0.027867,0.000010,0.006176,0.395606,0.148028,0.017710,0.215489,0.958400,0.738073,0.869666,BASLANGIC
0.215528,0.726921,0.263435,0.070006,0.522283,0.017214,0.043728,0.958301,0.127952,0.951064,0.721184,0.364369,0.248248,0.771819,0.356062,0.349273,0.126819,0.397436,0.961589,0.611684,0.026200,0.002341,0.961589,0.950961,0.091569,0.043041,0.058133,0.150922,0.422023,0.905534,0.844606,1.000000,0.883175,0.861375,0.897149,0.777529,0.632756,0.453326,0.325880,0.247065,0.182784,0.162102,0.122415,0.056569,0.029067,0.016210,0.007826,0.016792,0.007423,0.011269,0.014718,0.018482,0.063383,0.000000,0.000000,0.000000,0.000000,0.437552,0.840656,0.402903,0.488940,0.057693,0.007003,0.414711,0.252279,0.944766,0.940704,0.971560,BASLANGIC
0.104429,0.050318,0.993628,0.989317,0.552780,0.980725,0.983339,0.022442,0.992004,0.107804,0.057077,0.340735,0.109633,0.001714,0.010619,0.022506,0.910853,0.209896,0.090454,0.496796,0.564783,0.278328,0.090454,0.089765,0.494682,1.000000,0.000000,0.000000,0.000000,0.000062,0.000000,0.000000,0.000000,0.000000,0.000000,0.000123,0.000000,0.000000,0.000000,0.000000,0.000000,0.000062,0.000000,0.000000,0.000000,0.000062,0.000000,0.000074,0.000000,0.000365,0.000000,0.000113,0.000000,0.000000,0.000000,0.000000,0.009604,0.000459,0.027937,0.000004,0.004693,0.470041,0.212141,0.012422,0.180103,0.955216,0.737312,0.858207,BASLANGIC
