@RELATION SINGLE_GLCM_HOMOGENEITY

@ATTRIBUTE glcm_homogeneity NUMERIC
@ATTRIBUTE class {BASLANGIC,NORMAL,TUMORLU}

@DATA
0.985573,BASLANGIC
0.339093,BASLANGIC
0.964310,BASLANGIC
0.157904,BASLANGIC
0.992644,BASLANGIC
0.429497,BASLANGIC
0.984561,BASLANGIC
0.225938,BASLANGIC
0.993548,BASLANGIC
0.993768,BASLANGIC
0.306299,BASLANGIC
0.976546,BASLANGIC
0.231174,BASLANGIC
0.978128,BASLANGIC
0.146404,BASLANGIC
0.994610,BASLANGIC
0.170426,BASLANGIC
0.988401,BASLANGIC
0.270010,BASLANGIC
0.982691,BASLANGIC
0.163287,BASLANGIC
0.992003,BASLANGIC
0.292474,BASLANGIC
0.994691,BASLANGIC
0.369481,BASLANGIC
0.994317,BASLANGIC
0.166315,BASLANGIC
0.986069,BASLANGIC
0.991917,BASLANGIC
0.276628,BASLANGIC
0.988292,BASLANGIC
0.993681,BASLANGIC
0.315820,BASLANGIC
0.989094,BASLANGIC
0.234606,BASLANGIC
0.992372,BASLANGIC
0.260512,BASLANGIC
0.976553,BASLANGIC
0.230317,BASLANGIC
0.968642,BASLANGIC
0.183791,BASLANGIC
0.985214,BASLANGIC
0.969329,BASLANGIC
0.224469,BASLANGIC
0.984949,BASLANGIC
0.390571,BASLANGIC
0.983238,BASLANGIC
0.989901,BASLANGIC
0.219340,BASLANGIC
0.990872,BASLANGIC
0.327521,BASLANGIC
0.984960,BASLANGIC
0.195179,BASLANGIC
0.976291,BASLANGIC
0.158344,BASLANGIC
0.993574,BASLANGIC
0.218225,BASLANGIC
0.991686,BASLANGIC
0.287986,BASLANGIC
0.991537,BASLANGIC
0.279928,BASLANGIC
0.990903,BASLANGIC
0.308077,BASLANGIC
0.987535,BASLANGIC
0.268505,BASLANGIC
0.978685,BASLANGIC
0.434454,BASLANGIC
0.969731,BASLANGIC
0.415733,BASLANGIC
0.990584,BASLANGIC
0.307886,BASLANGIC
0.993077,BASLANGIC
0.240040,BASLANGIC
0.986256,BASLANGIC
0.311031,BASLANGIC
0.985452,BASLANGIC
0.106772,BASLANGIC
0.990576,BASLANGIC
0.337112,BASLANGIC
0.993338,BASLANGIC
0.207666,BASLANGIC
0.990289,BASLANGIC
0.243310,BASLANGIC
0.991623,BASLANGIC
0.335616,BASLANGIC
0.992885,BASLANGIC
0.450961,BASLANGIC
0.996597,BASLANGIC
0.308073,BASLANGIC
0.987518,BASLANGIC
0.340603,BASLANGIC
0.987671,BASLANGIC
0.242748,NORMAL
1.000000,NORMAL
0.268146,NORMAL
1.000000,NORMAL
0.181045,NORMAL
1.000000,NORMAL
0.136899,NORMAL
1.000000,NORMAL
0.088014,NORMAL
1.000000,NORMAL
0.124490,NORMAL
1.000000,NORMAL
0.307553,NORMAL
1.000000,NORMAL
0.499962,NORMAL
1.000000,NORMAL
0.497114,NORMAL
1.000000,NORMAL
0.191826,NORMAL
1.000000,NORMAL
0.144482,NORMAL
1.000000,NORMAL
0.140880,NORMAL
1.000000,NORMAL
0.132050,NORMAL
1.000000,NORMAL
0.228361,NORMAL
1.000000,NORMAL
0.152632,NORMAL
1.000000,NORMAL
0.376840,NORMAL
1.000000,NORMAL
0.418167,NORMAL
1.000000,NORMAL
0.244316,NORMAL
1.000000,NORMAL
0.111303,NORMAL
1.000000,NORMAL
0.370019,NORMAL
1.000000,NORMAL
0.267690,NORMAL
1.000000,NORMAL
0.126321,NORMAL
1.000000,NORMAL
0.246905,NORMAL
1.000000,NORMAL
0.160152,NORMAL
1.000000,NORMAL
0.252861,NORMAL
1.000000,NORMAL
0.410225,NORMAL
1.000000,NORMAL
0.278382,NORMAL
1.000000,NORMAL
0.392993,NORMAL
1.000000,NORMAL
0.324924,NORMAL
1.000000,NORMAL
0.330108,NORMAL
1.000000,NORMAL
0.098066,NORMAL
1.000000,NORMAL
0.143773,NORMAL
1.000000,NORMAL
0.271477,NORMAL
1.000000,NORMAL
0.323494,NORMAL
1.000000,NORMAL
0.316774,NORMAL
1.000000,NORMAL
0.390670,NORMAL
1.000000,NORMAL
0.423370,NORMAL
1.000000,NORMAL
0.199909,NORMAL
1.000000,NORMAL
0.319044,NORMAL
1.000000,NORMAL
0.260443,NORMAL
1.000000,NORMAL
0.106001,NORMAL
1.000000,NORMAL
0.390952,NORMAL
1.000000,NORMAL
0.263565,NORMAL
1.000000,NORMAL
0.098048,NORMAL
1.000000,NORMAL
0.336979,NORMAL
1.000000,NORMAL
0.276522,NORMAL
1.000000,NORMAL
0.226366,NORMAL
1.000000,NORMAL
0.114507,NORMAL
1.000000,NORMAL
0.423338,NORMAL
1.000000,NORMAL
0.295783,NORMAL
1.000000,NORMAL
0.307597,NORMAL
1.000000,NORMAL
0.438263,NORMAL
1.000000,NORMAL
0.306128,NORMAL
1.000000,NORMAL
0.495997,NORMAL
1.000000,NORMAL
0.199705,NORMAL
1.000000,NORMAL
0.489660,NORMAL
1.000000,NORMAL
0.262095,NORMAL
1.000000,NORMAL
0.338336,NORMAL
1.000000,NORMAL
0.262832,NORMAL
1.000000,NORMAL
0.252131,NORMAL
1.000000,NORMAL
0.105549,NORMAL
1.000000,NORMAL
0.363446,NORMAL
1.000000,NORMAL
0.364203,NORMAL
1.000000,NORMAL
0.425631,NORMAL
1.000000,NORMAL
0.158247,NORMAL
1.000000,NORMAL
0.498228,NORMAL
1.000000,NORMAL
0.491025,NORMAL
1.000000,NORMAL
0.267802,NORMAL
1.000000,NORMAL
0.278498,NORMAL
1.000000,NORMAL
0.309614,NORMAL
1.000000,NORMAL
0.263080,NORMAL
1.000000,NORMAL
0.436771,NORMAL
1.000000,NORMAL
0.223538,NORMAL
1.000000,NORMAL
0.196886,NORMAL
1.000000,NORMAL
0.110924,NORMAL
1.000000,NORMAL
0.137946,NORMAL
1.000000,NORMAL
0.313737,NORMAL
1.000000,NORMAL
0.303153,NORMAL
1.000000,NORMAL
0.222145,NORMAL
1.000000,NORMAL
0.123685,NORMAL
1.000000,NORMAL
0.279069,NORMAL
1.000000,NORMAL
0.000000,NORMAL
1.000000,NORMAL
0.194756,NORMAL
1.000000,NORMAL
0.171004,NORMAL
1.000000,NORMAL
0.081176,NORMAL
1.000000,NORMAL
0.358920,NORMAL
1.000000,NORMAL
0.382634,NORMAL
1.000000,NORMAL
0.260545,NORMAL
1.000000,NORMAL
0.177581,NORMAL
1.000000,NORMAL
0.349168,NORMAL
1.000000,NORMAL
0.246695,NORMAL
1.000000,NORMAL
0.091776,NORMAL
1.000000,NORMAL
0.148976,NORMAL
1.000000,NORMAL
0.129069,NORMAL
1.000000,NORMAL
0.069499,NORMAL
1.000000,NORMAL
0.355567,NORMAL
1.000000,NORMAL
0.350345,NORMAL
1.000000,NORMAL
0.266426,NORMAL
1.000000,NORMAL
0.302653,NORMAL
1.000000,NORMAL
0.285513,NORMAL
1.000000,NORMAL
0.194067,NORMAL
1.000000,NORMAL
0.220031,NORMAL
1.000000,NORMAL
0.252098,NORMAL
1.000000,NORMAL
0.390406,NORMAL
1.000000,NORMAL
0.308147,NORMAL
1.000000,NORMAL
0.253228,NORMAL
1.000000,NORMAL
0.187651,NORMAL
1.000000,NORMAL
0.364304,NORMAL
1.000000,NORMAL
0.278910,NORMAL
1.000000,NORMAL
0.228569,NORMAL
1.000000,NORMAL
0.252760,NORMAL
1.000000,NORMAL
0.251906,NORMAL
1.000000,NORMAL
0.157444,NORMAL
1.000000,NORMAL
0.347620,NORMAL
1.000000,NORMAL
0.150833,NORMAL
1.000000,NORMAL
0.211012,NORMAL
1.000000,NORMAL
0.219269,NORMAL
1.000000,NORMAL
0.323947,NORMAL
1.000000,NORMAL
0.153336,NORMAL
1.000000,NORMAL
0.325983,NORMAL
1.000000,NORMAL
0.157173,NORMAL
1.000000,NORMAL
0.380139,NORMAL
1.000000,NORMAL
0.391049,NORMAL
1.000000,NORMAL
0.259907,NORMAL
1.000000,NORMAL
0.277816,NORMAL
1.000000,NORMAL
0.101806,NORMAL
1.000000,NORMAL
0.948275,TUMORLU
0.197648,TUMORLU
0.951282,TUMORLU
0.517061,TUMORLU
0.977588,TUMORLU
0.443088,TUMORLU
0.976258,TUMORLU
0.439152,TUMORLU
0.979542,TUMORLU
0.418515,TUMORLU
0.978785,TUMORLU
0.425873,TUMORLU
0.980868,TUMORLU
0.412155,TUMORLU
0.980173,TUMORLU
0.415893,TUMORLU
0.981687,TUMORLU
0.131096,TUMORLU
0.986424,TUMORLU
0.145422,TUMORLU
0.974161,TUMORLU
0.119543,TUMORLU
0.985269,TUMORLU
0.165396,TUMORLU
0.971451,TUMORLU
0.355237,TUMORLU
0.959756,TUMORLU
0.213367,TUMORLU
0.952251,TUMORLU
0.435056,TUMORLU
0.952924,TUMORLU
0.288088,TUMORLU
0.979829,TUMORLU
0.429295,TUMORLU
0.975752,TUMORLU
0.304240,TUMORLU
0.963670,TUMORLU
0.350902,TUMORLU
0.964344,TUMORLU
0.388654,TUMORLU
0.956723,TUMORLU
0.364030,TUMORLU
0.966338,TUMORLU
0.366996,TUMORLU
0.944830,TUMORLU
0.331787,TUMORLU
0.956769,TUMORLU
0.393050,TUMORLU
0.945665,TUMORLU
0.255613,TUMORLU
0.984216,TUMORLU
0.289830,TUMORLU
0.986753,TUMORLU
0.273738,TUMORLU
0.986357,TUMORLU
0.414773,TUMORLU
0.962325,TUMORLU
0.463029,TUMORLU
0.955785,TUMORLU
0.503104,TUMORLU
0.946960,TUMORLU
0.362904,TUMORLU
0.959720,TUMORLU
0.345281,TUMORLU
0.946771,TUMORLU
0.217326,TUMORLU
0.982274,TUMORLU
0.325576,TUMORLU
0.967529,TUMORLU
0.556138,TUMORLU
0.975218,TUMORLU
0.580550,TUMORLU
0.964675,TUMORLU
0.106448,TUMORLU
0.987274,TUMORLU
0.336285,TUMORLU
0.969389,TUMORLU
0.360041,TUMORLU
0.971033,TUMORLU
0.340505,TUMORLU
0.971484,TUMORLU
0.318130,TUMORLU
0.971575,TUMORLU
0.523796,TUMORLU
0.948890,TUMORLU
0.332696,TUMORLU
0.988335,TUMORLU
0.231796,TUMORLU
0.966609,TUMORLU
0.242657,TUMORLU
0.980430,TUMORLU
0.337757,TUMORLU
0.961181,TUMORLU
0.402853,TUMORLU
0.984489,TUMORLU
0.382946,TUMORLU
0.978036,TUMORLU
0.487531,TUMORLU
0.971613,TUMORLU
0.319752,TUMORLU
0.972577,TUMORLU
0.223802,TUMORLU
0.957076,TUMORLU
0.201793,TUMORLU
0.996530,TUMORLU
0.977110,TUMORLU
0.316276,TUMORLU
0.979445,TUMORLU
0.183048,TUMORLU
0.982612,TUMORLU
0.393924,TUMORLU
0.964227,TUMORLU
0.402638,TUMORLU
0.973542,TUMORLU
0.363674,TUMORLU
0.965024,TUMORLU
0.478371,TUMORLU
0.959677,TUMORLU
0.390269,TUMORLU
0.964894,TUMORLU
0.233797,TUMORLU
0.985613,TUMORLU
0.347622,TUMORLU
0.965321,TUMORLU
0.374445,TUMORLU
0.970141,TUMORLU
0.462217,TUMORLU
0.974134,TUMORLU
0.301498,TUMORLU
0.984493,TUMORLU
0.262762,TUMORLU
0.980127,TUMORLU
0.355147,TUMORLU
0.982134,TUMORLU
0.276902,TUMORLU
0.961443,TUMORLU
0.453870,TUMORLU
0.974575,TUMORLU
0.516114,TUMORLU
0.980355,TUMORLU
0.411605,TUMORLU
0.949092,TUMORLU
0.475202,TUMORLU
0.952387,TUMORLU
0.184758,TUMORLU
0.985102,TUMORLU
0.164411,TUMORLU
0.983249,TUMORLU
0.518135,TUMORLU
0.963704,TUMORLU
0.543719,TUMORLU
0.963968,TUMORLU
0.220581,TUMORLU
0.977035,TUMORLU
0.222871,TUMORLU
0.976982,TUMORLU
0.377053,TUMORLU
0.968124,TUMORLU
0.143529,TUMORLU
0.970457,TUMORLU
0.166322,TUMORLU
0.980022,TUMORLU
0.507222,TUMORLU
0.968079,TUMORLU
0.319960,TUMORLU
0.983278,TUMORLU
0.345542,TUMORLU
0.973810,TUMORLU
0.378195,TUMORLU
0.963581,TUMORLU
0.369653,TUMORLU
0.963343,TUMORLU
0.423172,TUMORLU
0.977270,TUMORLU
0.288623,TUMORLU
0.982639,TUMORLU
0.370000,TUMORLU
0.952365,TUMORLU
0.200172,TUMORLU
0.976254,TUMORLU
0.409301,TUMORLU
0.962867,TUMORLU
0.219358,TUMORLU
0.979949,TUMORLU
0.322334,TUMORLU
0.972585,TUMORLU
0.227113,TUMORLU
0.959265,TUMORLU
0.328034,TUMORLU
0.970787,TUMORLU
0.359466,TUMORLU
0.962971,TUMORLU
0.343862,TUMORLU
0.965288,TUMORLU
0.254616,TUMORLU
0.984711,TUMORLU
0.207697,TUMORLU
0.979789,TUMORLU
0.283020,TUMORLU
0.978342,TUMORLU
0.410661,TUMORLU
0.962171,TUMORLU
0.388937,TUMORLU
0.968962,TUMORLU
0.291912,TUMORLU
0.960861,TUMORLU
0.228413,TUMORLU
0.953845,TUMORLU
0.223562,TUMORLU
0.987603,TUMORLU
0.223248,TUMORLU
0.975072,TUMORLU
0.201360,TUMORLU
0.967002,TUMORLU
0.230039,TUMORLU
0.967498,TUMORLU
0.168057,TUMORLU
0.974678,TUMORLU
0.115937,TUMORLU
0.985877,TUMORLU
0.210115,TUMORLU
0.957682,TUMORLU
0.140856,TUMORLU
0.989911,TUMORLU
0.173075,TUMORLU
0.980157,TUMORLU
0.316556,TUMORLU
0.961329,TUMORLU
0.416646,TUMORLU
0.969158,TUMORLU
0.432401,TUMORLU
0.982509,TUMORLU
0.383115,TUMORLU
0.972105,TUMORLU
0.312567,TUMORLU
0.976903,TUMORLU
0.300199,TUMORLU
0.973975,TUMORLU
0.294706,TUMORLU
0.969258,TUMORLU
0.214763,TUMORLU
0.991944,TUMORLU
0.269509,TUMORLU
0.966402,TUMORLU
0.363449,TUMORLU
0.959073,TUMORLU
0.428299,TUMORLU
0.970011,TUMORLU
0.204324,TUMORLU
0.983299,TUMORLU
0.266964,TUMORLU
0.980703,TUMORLU
