@RELATION SINGLE_GLCM_CONTRAST

@ATTRIBUTE glcm_contrast NUMERIC
@ATTRIBUTE class {BASLANGIC,NORMAL,TUMORLU}

@DATA
0.163384,BASLANGIC
0.138638,BASLANGIC
0.171442,BASLANGIC
0.233036,BASLANGIC
0.171152,BASLANGIC
0.184589,BASLANGIC
0.187577,BASLANGIC
0.159093,BASLANGIC
0.384050,BASLANGIC
0.103652,BASLANGIC
0.305792,BASLANGIC
0.162809,BASLANGIC
0.104122,BASLANGIC
0.166704,BASLANGIC
0.128401,BASLANGIC
0.250264,BASLANGIC
0.318636,BASLANGIC
0.260454,BASLANGIC
0.109700,BASLANGIC
0.104285,BASLANGIC
0.083987,BASLANGIC
0.135833,BASLANGIC
0.323507,BASLANGIC
0.184703,BASLANGIC
0.671713,BASLANGIC
0.234610,BASLANGIC
0.206256,BASLANGIC
0.133922,BASLANGIC
0.102841,BASLANGIC
0.249002,BASLANGIC
0.121753,BASLANGIC
0.150816,BASLANGIC
0.159144,BASLANGIC
0.212505,BASLANGIC
0.324617,BASLANGIC
0.088528,BASLANGIC
0.181818,BASLANGIC
0.170387,BASLANGIC
0.125717,BASLANGIC
0.320851,BASLANGIC
0.160581,BASLANGIC
0.137645,BASLANGIC
0.178481,BASLANGIC
0.207931,BASLANGIC
0.066567,BASLANGIC
0.143542,BASLANGIC
0.269304,BASLANGIC
0.158503,BASLANGIC
0.086863,BASLANGIC
0.113516,BASLANGIC
0.232924,BASLANGIC
0.114221,BASLANGIC
0.601973,BASLANGIC
0.104203,BASLANGIC
0.121241,BASLANGIC
0.091276,BASLANGIC
0.791204,BASLANGIC
0.180644,BASLANGIC
0.236906,BASLANGIC
0.197395,BASLANGIC
0.189863,BASLANGIC
0.195079,BASLANGIC
0.518982,BASLANGIC
0.193048,BASLANGIC
0.514935,BASLANGIC
0.115265,BASLANGIC
0.123215,BASLANGIC
0.135977,BASLANGIC
0.124699,BASLANGIC
0.124695,BASLANGIC
0.103795,BASLANGIC
0.198638,BASLANGIC
0.326901,BASLANGIC
0.135667,BASLANGIC
0.530680,BASLANGIC
0.151953,BASLANGIC
0.094740,BASLANGIC
0.249076,BASLANGIC
0.230341,BASLANGIC
0.217965,BASLANGIC
0.158501,BASLANGIC
0.109477,BASLANGIC
0.190463,BASLANGIC
0.219128,BASLANGIC
0.135847,BASLANGIC
0.099294,BASLANGIC
0.257827,BASLANGIC
0.162563,BASLANGIC
0.531764,BASLANGIC
0.174313,BASLANGIC
0.149465,BASLANGIC
0.106628,BASLANGIC
0.253185,BASLANGIC
0.192871,BASLANGIC
0.110063,BASLANGIC
0.097247,BASLANGIC
0.212830,BASLANGIC
0.412595,BASLANGIC
0.145236,BASLANGIC
0.391134,BASLANGIC
0.188880,BASLANGIC
0.105182,BASLANGIC
0.195383,BASLANGIC
0.196529,BASLANGIC
0.187611,BASLANGIC
0.358654,BASLANGIC
0.205600,BASLANGIC
0.147803,BASLANGIC
0.144339,BASLANGIC
0.104278,BASLANGIC
0.116938,BASLANGIC
0.093663,BASLANGIC
0.169393,BASLANGIC
0.268457,BASLANGIC
0.136550,BASLANGIC
0.155261,BASLANGIC
0.205730,BASLANGIC
0.124921,BASLANGIC
0.099403,BASLANGIC
0.180765,BASLANGIC
0.187806,BASLANGIC
0.137826,BASLANGIC
0.130282,BASLANGIC
0.446415,BASLANGIC
0.185708,BASLANGIC
0.471383,BASLANGIC
0.223686,BASLANGIC
0.274444,BASLANGIC
0.589820,BASLANGIC
0.181758,BASLANGIC
0.234577,BASLANGIC
0.118924,BASLANGIC
0.246925,BASLANGIC
0.172538,BASLANGIC
0.159734,BASLANGIC
0.140596,BASLANGIC
0.144562,BASLANGIC
0.258746,BASLANGIC
0.181444,BASLANGIC
0.377182,BASLANGIC
0.198014,BASLANGIC
0.105608,BASLANGIC
0.160757,BASLANGIC
0.153322,BASLANGIC
0.148347,BASLANGIC
0.170657,BASLANGIC
0.139050,BASLANGIC
0.170843,BASLANGIC
0.105059,BASLANGIC
0.224875,BASLANGIC
0.186081,BASLANGIC
0.393321,BASLANGIC
0.118397,BASLANGIC
0.445625,BASLANGIC
0.119252,BASLANGIC
0.156877,BASLANGIC
0.105368,BASLANGIC
0.135142,BASLANGIC
0.155579,BASLANGIC
0.242438,BASLANGIC
0.106189,BASLANGIC
0.280512,BASLANGIC
0.226849,BASLANGIC
0.149841,BASLANGIC
0.103867,BASLANGIC
0.130377,BASLANGIC
0.173857,BASLANGIC
0.189333,BASLANGIC
0.164511,BASLANGIC
0.154797,BASLANGIC
0.099341,BASLANGIC
0.123934,BASLANGIC
0.097282,BASLANGIC
0.068994,BASLANGIC
0.138626,BASLANGIC
0.266536,BASLANGIC
0.103620,BASLANGIC
0.214041,BASLANGIC
0.163123,NORMAL
0.000000,NORMAL
0.176136,NORMAL
0.000000,NORMAL
0.160563,NORMAL
0.000000,NORMAL
0.152452,NORMAL
0.000000,NORMAL
0.215547,NORMAL
0.000000,NORMAL
0.215293,NORMAL
0.000000,NORMAL
0.157856,NORMAL
0.000000,NORMAL
0.121530,NORMAL
0.000000,NORMAL
0.124921,NORMAL
0.000000,NORMAL
0.160646,NORMAL
0.000000,NORMAL
0.170754,NORMAL
0.000000,NORMAL
0.143578,NORMAL
0.000000,NORMAL
0.157898,NORMAL
0.000000,NORMAL
0.176655,NORMAL
0.000000,NORMAL
0.222432,NORMAL
0.000000,NORMAL
0.123106,NORMAL
0.000000,NORMAL
0.111927,NORMAL
0.000000,NORMAL
0.176682,NORMAL
0.000000,NORMAL
0.244698,NORMAL
0.000000,NORMAL
0.136497,NORMAL
0.000000,NORMAL
0.138067,NORMAL
0.000000,NORMAL
0.185602,NORMAL
0.000000,NORMAL
0.152118,NORMAL
0.000000,NORMAL
0.167456,NORMAL
0.000000,NORMAL
0.130753,NORMAL
0.000000,NORMAL
0.078537,NORMAL
0.000000,NORMAL
0.156061,NORMAL
0.000000,NORMAL
0.126580,NORMAL
0.000000,NORMAL
0.163554,NORMAL
0.000000,NORMAL
0.168739,NORMAL
0.000000,NORMAL
0.232442,NORMAL
0.000000,NORMAL
0.187886,NORMAL
0.000000,NORMAL
0.121841,NORMAL
0.000000,NORMAL
0.132767,NORMAL
0.000000,NORMAL
0.098426,NORMAL
0.000000,NORMAL
0.102320,NORMAL
0.000000,NORMAL
0.095698,NORMAL
0.000000,NORMAL
0.320999,NORMAL
0.000000,NORMAL
0.153742,NORMAL
0.000000,NORMAL
0.169938,NORMAL
0.000000,NORMAL
0.202227,NORMAL
0.000000,NORMAL
0.100885,NORMAL
0.000000,NORMAL
0.160146,NORMAL
0.000000,NORMAL
0.205435,NORMAL
0.000000,NORMAL
0.148005,NORMAL
0.000000,NORMAL
0.161205,NORMAL
0.000000,NORMAL
0.162331,NORMAL
0.000000,NORMAL
0.199653,NORMAL
0.000000,NORMAL
0.096830,NORMAL
0.000000,NORMAL
0.159227,NORMAL
0.000000,NORMAL
0.150119,NORMAL
0.000000,NORMAL
0.095584,NORMAL
0.000000,NORMAL
0.160880,NORMAL
0.000000,NORMAL
0.060450,NORMAL
0.000000,NORMAL
0.170987,NORMAL
0.000000,NORMAL
0.066800,NORMAL
0.000000,NORMAL
0.197946,NORMAL
0.000000,NORMAL
0.150571,NORMAL
0.000000,NORMAL
0.186290,NORMAL
0.000000,NORMAL
0.169452,NORMAL
0.000000,NORMAL
0.210596,NORMAL
0.000000,NORMAL
0.138728,NORMAL
0.000000,NORMAL
0.137676,NORMAL
0.000000,NORMAL
0.079432,NORMAL
0.000000,NORMAL
0.190471,NORMAL
0.000000,NORMAL
0.066607,NORMAL
0.000000,NORMAL
0.060272,NORMAL
0.000000,NORMAL
0.191849,NORMAL
0.000000,NORMAL
0.132120,NORMAL
0.000000,NORMAL
0.135067,NORMAL
0.000000,NORMAL
0.130227,NORMAL
0.000000,NORMAL
0.087187,NORMAL
0.000000,NORMAL
0.212760,NORMAL
0.000000,NORMAL
0.159595,NORMAL
0.000000,NORMAL
0.263019,NORMAL
0.000000,NORMAL
0.234942,NORMAL
0.000000,NORMAL
0.195926,NORMAL
0.000000,NORMAL
0.111315,NORMAL
0.000000,NORMAL
0.190512,NORMAL
0.000000,NORMAL
0.189832,NORMAL
0.000000,NORMAL
0.158181,NORMAL
0.000000,NORMAL
0.240455,NORMAL
0.000000,NORMAL
0.156558,NORMAL
0.000000,NORMAL
0.195437,NORMAL
0.000000,NORMAL
0.265493,NORMAL
0.000000,NORMAL
0.129369,NORMAL
0.000000,NORMAL
0.115599,NORMAL
0.000000,NORMAL
0.151359,NORMAL
0.000000,NORMAL
0.198673,NORMAL
0.000000,NORMAL
0.119905,NORMAL
0.000000,NORMAL
0.207625,NORMAL
0.000000,NORMAL
0.208165,NORMAL
0.000000,NORMAL
0.183650,NORMAL
0.000000,NORMAL
0.164367,NORMAL
0.000000,NORMAL
0.220842,NORMAL
0.000000,NORMAL
0.124311,NORMAL
0.000000,NORMAL
0.122781,NORMAL
0.000000,NORMAL
0.146153,NORMAL
0.000000,NORMAL
0.131590,NORMAL
0.000000,NORMAL
0.149568,NORMAL
0.000000,NORMAL
0.196011,NORMAL
0.000000,NORMAL
0.143736,NORMAL
0.000000,NORMAL
0.157672,NORMAL
0.000000,NORMAL
0.094031,NORMAL
0.000000,NORMAL
0.111980,NORMAL
0.000000,NORMAL
0.156122,NORMAL
0.000000,NORMAL
0.177276,NORMAL
0.000000,NORMAL
0.114750,NORMAL
0.000000,NORMAL
0.153532,NORMAL
0.000000,NORMAL
0.151441,NORMAL
0.000000,NORMAL
0.122976,NORMAL
0.000000,NORMAL
0.269814,NORMAL
0.000000,NORMAL
0.183487,NORMAL
0.000000,NORMAL
0.154529,NORMAL
0.000000,NORMAL
0.193490,NORMAL
0.000000,NORMAL
0.135868,NORMAL
0.000000,NORMAL
0.214548,NORMAL
0.000000,NORMAL
0.156659,NORMAL
0.000000,NORMAL
0.181417,NORMAL
0.000000,NORMAL
0.171745,NORMAL
0.000000,NORMAL
0.171748,NORMAL
0.000000,NORMAL
0.125790,NORMAL
0.000000,NORMAL
0.078765,NORMAL
0.000000,NORMAL
0.139613,NORMAL
0.000000,NORMAL
0.158829,NORMAL
0.000000,NORMAL
0.243658,NORMAL
0.000000,NORMAL
0.814185,TUMORLU
0.130280,TUMORLU
0.803619,TUMORLU
0.053543,TUMORLU
0.330837,TUMORLU
0.085175,TUMORLU
0.381735,TUMORLU
0.088197,TUMORLU
0.350887,TUMORLU
0.090999,TUMORLU
0.384654,TUMORLU
0.086216,TUMORLU
0.294912,TUMORLU
0.075328,TUMORLU
0.331914,TUMORLU
0.090356,TUMORLU
0.274385,TUMORLU
0.254146,TUMORLU
0.220642,TUMORLU
0.213567,TUMORLU
0.361272,TUMORLU
0.252227,TUMORLU
0.225614,TUMORLU
0.191244,TUMORLU
0.448916,TUMORLU
0.128207,TUMORLU
0.553083,TUMORLU
0.186839,TUMORLU
0.676176,TUMORLU
0.070683,TUMORLU
0.762069,TUMORLU
0.127540,TUMORLU
0.361357,TUMORLU
0.082383,TUMORLU
0.368959,TUMORLU
0.123585,TUMORLU
0.565597,TUMORLU
0.100566,TUMORLU
0.598780,TUMORLU
0.150521,TUMORLU
0.666908,TUMORLU
0.117919,TUMORLU
0.572582,TUMORLU
0.106236,TUMORLU
0.906420,TUMORLU
0.112496,TUMORLU
0.663841,TUMORLU
0.100832,TUMORLU
0.923105,TUMORLU
0.154755,TUMORLU
0.278186,TUMORLU
0.148277,TUMORLU
0.216249,TUMORLU
0.151139,TUMORLU
0.230762,TUMORLU
0.093818,TUMORLU
0.612452,TUMORLU
0.083056,TUMORLU
0.774529,TUMORLU
0.056493,TUMORLU
1.000000,TUMORLU
0.118163,TUMORLU
0.655611,TUMORLU
0.104892,TUMORLU
0.841292,TUMORLU
0.152352,TUMORLU
0.263337,TUMORLU
0.110693,TUMORLU
0.532036,TUMORLU
0.080070,TUMORLU
0.423531,TUMORLU
0.062107,TUMORLU
0.601130,TUMORLU
0.211741,TUMORLU
0.242283,TUMORLU
0.109365,TUMORLU
0.453559,TUMORLU
0.098331,TUMORLU
0.479733,TUMORLU
0.118349,TUMORLU
0.409986,TUMORLU
0.113921,TUMORLU
0.483928,TUMORLU
0.068551,TUMORLU
0.851851,TUMORLU
0.102615,TUMORLU
0.215301,TUMORLU
0.128829,TUMORLU
0.609971,TUMORLU
0.125055,TUMORLU
0.359722,TUMORLU
0.108845,TUMORLU
0.688827,TUMORLU
0.097418,TUMORLU
0.276622,TUMORLU
0.102817,TUMORLU
0.371901,TUMORLU
0.074656,TUMORLU
0.458316,TUMORLU
0.102519,TUMORLU
0.446525,TUMORLU
0.143715,TUMORLU
0.749011,TUMORLU
0.205257,TUMORLU
0.050412,TUMORLU
0.394978,TUMORLU
0.097432,TUMORLU
0.362081,TUMORLU
0.157544,TUMORLU
0.307613,TUMORLU
0.079703,TUMORLU
0.609547,TUMORLU
0.076247,TUMORLU
0.479451,TUMORLU
0.095584,TUMORLU
0.623776,TUMORLU
0.057771,TUMORLU
0.745363,TUMORLU
0.091230,TUMORLU
0.607201,TUMORLU
0.147642,TUMORLU
0.221470,TUMORLU
0.082041,TUMORLU
0.563028,TUMORLU
0.075990,TUMORLU
0.592520,TUMORLU
0.106763,TUMORLU
0.445431,TUMORLU
0.164431,TUMORLU
0.281057,TUMORLU
0.187909,TUMORLU
0.337993,TUMORLU
0.121637,TUMORLU
0.368957,TUMORLU
0.136436,TUMORLU
0.656820,TUMORLU
0.104643,TUMORLU
0.432521,TUMORLU
0.102766,TUMORLU
0.340091,TUMORLU
0.071631,TUMORLU
0.801504,TUMORLU
0.066234,TUMORLU
0.866634,TUMORLU
0.214885,TUMORLU
0.290443,TUMORLU
0.214232,TUMORLU
0.267100,TUMORLU
0.046610,TUMORLU
0.517834,TUMORLU
0.059229,TUMORLU
0.673922,TUMORLU
0.150585,TUMORLU
0.408488,TUMORLU
0.161896,TUMORLU
0.442901,TUMORLU
0.108726,TUMORLU
0.550961,TUMORLU
0.204233,TUMORLU
0.497919,TUMORLU
0.231153,TUMORLU
0.380814,TUMORLU
0.081552,TUMORLU
0.481056,TUMORLU
0.123168,TUMORLU
0.335209,TUMORLU
0.110764,TUMORLU
0.440063,TUMORLU
0.179625,TUMORLU
0.576269,TUMORLU
0.153050,TUMORLU
0.666217,TUMORLU
0.108313,TUMORLU
0.405094,TUMORLU
0.127127,TUMORLU
0.378243,TUMORLU
0.121919,TUMORLU
0.835021,TUMORLU
0.156376,TUMORLU
0.442813,TUMORLU
0.103484,TUMORLU
0.591692,TUMORLU
0.149794,TUMORLU
0.330242,TUMORLU
0.104478,TUMORLU
0.457888,TUMORLU
0.137258,TUMORLU
0.693121,TUMORLU
0.167728,TUMORLU
0.492321,TUMORLU
0.109403,TUMORLU
0.571995,TUMORLU
0.123244,TUMORLU
0.593839,TUMORLU
0.214504,TUMORLU
0.271433,TUMORLU
0.206442,TUMORLU
0.348445,TUMORLU
0.132882,TUMORLU
0.358290,TUMORLU
0.073200,TUMORLU
0.651451,TUMORLU
0.075988,TUMORLU
0.569369,TUMORLU
0.105053,TUMORLU
0.674200,TUMORLU
0.131659,TUMORLU
0.729419,TUMORLU
0.163353,TUMORLU
0.216637,TUMORLU
0.184395,TUMORLU
0.441552,TUMORLU
0.186945,TUMORLU
0.505762,TUMORLU
0.169414,TUMORLU
0.579104,TUMORLU
0.195691,TUMORLU
0.426545,TUMORLU
0.258040,TUMORLU
0.236818,TUMORLU
0.195823,TUMORLU
0.593829,TUMORLU
0.237572,TUMORLU
0.175779,TUMORLU
0.210644,TUMORLU
0.367907,TUMORLU
0.152547,TUMORLU
0.621591,TUMORLU
0.079128,TUMORLU
0.473814,TUMORLU
0.083294,TUMORLU
0.301722,TUMORLU
0.087244,TUMORLU
0.424373,TUMORLU
0.139225,TUMORLU
0.439838,TUMORLU
0.153260,TUMORLU
0.435543,TUMORLU
0.142835,TUMORLU
0.520721,TUMORLU
0.183734,TUMORLU
0.135078,TUMORLU
0.172977,TUMORLU
0.525393,TUMORLU
0.138968,TUMORLU
0.613976,TUMORLU
0.132525,TUMORLU
0.495919,TUMORLU
0.188137,TUMORLU
0.255755,TUMORLU
0.182910,TUMORLU
0.343125,TUMORLU
