@RELATION DOMAIN_TRANSFORM

@ATTRIBUTE glcm_contrast NUMERIC
@ATTRIBUTE glcm_dissimilarity NUMERIC
@ATTRIBUTE glcm_homogeneity NUMERIC
@ATTRIBUTE glcm_energy NUMERIC
@ATTRIBUTE glcm_correlation NUMERIC
@ATTRIBUTE glcm_ASM NUMERIC
@ATTRIBUTE class {BASLANGIC,NORMAL,TUMORLU}

@DATA
0.463482,0.664529,0.187307,0.021723,0.798789,0.003112,BASLANGIC
0.100666,0.033779,0.987382,0.986996,0.486277,0.975733,BASLANGIC
0.396044,0.593480,0.237056,0.047272,0.687446,0.007858,BASLANGIC
0.556434,0.189015,0.926782,0.846867,0.821733,0.733083,BASLANGIC
0.417919,0.604640,0.241008,0.033457,0.828498,0.005080,BASLANGIC
0.302903,0.112396,0.952300,0.913794,0.837335,0.844669,BASLANGIC
0.408520,0.535972,0.308664,0.051157,0.826534,0.008624,BASLANGIC
0.327443,0.108378,0.959300,0.927348,0.791019,0.868229,BASLANGIC
0.400498,0.614318,0.225116,0.040705,0.793935,0.006458,BASLANGIC
0.129547,0.046656,0.981612,0.978460,0.619976,0.959966,BASLANGIC
0.385242,0.542494,0.311428,0.074961,0.769434,0.014111,BASLANGIC
0.380537,0.144896,0.937478,0.864894,0.869192,0.762357,BASLANGIC
0.182370,0.344391,0.497819,0.203783,0.918898,0.061386,BASLANGIC
0.175949,0.061997,0.974825,0.968735,0.685902,0.942158,BASLANGIC
0.356963,0.497332,0.377208,0.134294,0.860902,0.032259,BASLANGIC
0.202424,0.065795,0.975662,0.964582,0.724582,0.934603,BASLANGIC
0.548764,0.704041,0.193707,0.034846,0.848863,0.005325,BASLANGIC
0.200319,0.069499,0.970267,0.961484,0.708628,0.928988,BASLANGIC
0.559971,0.697801,0.198576,0.037371,0.602028,0.005888,BASLANGIC
0.202400,0.072500,0.971039,0.960804,0.729932,0.927757,BASLANGIC
0.408414,0.578059,0.287580,0.067115,0.874745,0.012152,BASLANGIC
0.433327,0.142546,0.945853,0.885376,0.840411,0.796324,BASLANGIC
0.238717,0.463482,0.330509,0.070681,0.909327,0.013041,BASLANGIC
0.349642,0.118109,0.953158,0.911664,0.817606,0.840997,BASLANGIC
0.351145,0.544404,0.284071,0.051472,0.839189,0.008683,BASLANGIC
0.124969,0.040225,0.985141,0.983169,0.556013,0.968647,BASLANGIC
0.346646,0.568225,0.236287,0.029920,0.888094,0.004484,BASLANGIC
0.155746,0.052052,0.980149,0.974198,0.640426,0.952141,BASLANGIC
0.455778,0.623574,0.229725,0.029102,0.762708,0.004285,BASLANGIC
0.328726,0.124068,0.945942,0.902169,0.836507,0.824722,BASLANGIC
0.509013,0.676703,0.205720,0.024735,0.798458,0.003604,BASLANGIC
0.120966,0.040197,0.985262,0.982915,0.565860,0.968179,BASLANGIC
0.247157,0.431865,0.368245,0.052916,0.927973,0.008916,BASLANGIC
0.092259,0.032415,0.986798,0.986997,0.440037,0.975735,BASLANGIC
0.282410,0.478662,0.346129,0.098924,0.891506,0.020711,BASLANGIC
0.338794,0.119699,0.951156,0.902047,0.839944,0.824514,BASLANGIC
0.378182,0.494876,0.376487,0.090349,0.884854,0.018192,BASLANGIC
0.781019,0.258685,0.898245,0.674607,0.895547,0.481995,BASLANGIC
0.543894,0.721041,0.160010,0.018559,0.765838,0.002548,BASLANGIC
0.237243,0.073260,0.974855,0.958198,0.741740,0.923051,BASLANGIC
0.252256,0.445544,0.367953,0.093877,0.918374,0.019317,BASLANGIC
0.127374,0.042594,0.982891,0.980091,0.562631,0.962968,BASLANGIC
0.429421,0.553550,0.331291,0.077811,0.847417,0.014863,BASLANGIC
0.127931,0.049576,0.978709,0.977388,0.577752,0.957995,BASLANGIC
0.348025,0.514485,0.339521,0.107267,0.863208,0.023218,BASLANGIC
0.174687,0.058590,0.978568,0.969826,0.699753,0.944148,BASLANGIC
0.379515,0.517721,0.347047,0.065419,0.846088,0.011757,BASLANGIC
0.331030,0.126905,0.946697,0.904813,0.839868,0.829239,BASLANGIC
0.097524,0.032972,0.987267,0.986621,0.452761,0.975038,BASLANGIC
0.389512,0.610487,0.216402,0.032925,0.861411,0.004973,BASLANGIC
0.185429,0.060804,0.977682,0.968508,0.700678,0.941744,BASLANGIC
0.447427,0.614386,0.243015,0.040938,0.688429,0.006541,BASLANGIC
0.350893,0.114159,0.958519,0.919267,0.814565,0.854145,BASLANGIC
0.426686,0.577180,0.294854,0.085459,0.807947,0.016879,BASLANGIC
0.147822,0.050446,0.980846,0.975706,0.641912,0.954906,BASLANGIC
0.362475,0.554206,0.273178,0.046994,0.869122,0.007684,BASLANGIC
0.246045,0.080085,0.970286,0.950961,0.768484,0.910040,BASLANGIC
0.069164,0.024520,0.990562,0.991203,0.291508,0.983551,BASLANGIC
0.273095,0.443523,0.377256,0.075536,0.916818,0.014265,BASLANGIC
0.305200,0.102700,0.960797,0.926836,0.816172,0.867332,BASLANGIC
0.288011,0.422025,0.410002,0.130255,0.911122,0.030812,BASLANGIC
0.089022,0.031974,0.986953,0.986494,0.454171,0.974803,BASLANGIC
0.310156,0.546479,0.241350,0.022468,0.838282,0.003234,BASLANGIC
0.269497,0.091767,0.963287,0.936158,0.789711,0.883714,BASLANGIC
0.238069,0.461057,0.328663,0.046717,0.931876,0.007799,BASLANGIC
0.644724,0.226191,0.905015,0.750556,0.871210,0.586282,BASLANGIC
0.290937,0.501306,0.292745,0.038013,0.796557,0.006049,BASLANGIC
0.124378,0.045487,0.981791,0.980089,0.588750,0.962965,BASLANGIC
0.191047,0.387800,0.399902,0.069433,0.901265,0.012718,BASLANGIC
0.882860,0.306321,0.872378,0.609731,0.889952,0.400929,BASLANGIC
0.446699,0.623429,0.233131,0.031822,0.796158,0.004808,BASLANGIC
0.271333,0.091730,0.965010,0.938693,0.798649,0.888194,BASLANGIC
0.379003,0.558973,0.285745,0.073620,0.828084,0.013762,BASLANGIC
0.242088,0.077567,0.972351,0.953012,0.761516,0.913717,BASLANGIC
0.362580,0.559864,0.268992,0.038823,0.839116,0.006103,BASLANGIC
0.543550,0.202616,0.913078,0.781039,0.885319,0.630979,BASLANGIC
0.349437,0.527505,0.306767,0.061548,0.897596,0.010830,BASLANGIC
0.555045,0.198506,0.916792,0.773516,0.889653,0.619792,BASLANGIC
0.396700,0.574466,0.268761,0.045685,0.792697,0.007427,BASLANGIC
0.121967,0.045403,0.980971,0.980151,0.543197,0.963079,BASLANGIC
0.449765,0.591337,0.270733,0.055173,0.661217,0.009470,BASLANGIC
0.146495,0.046687,0.983579,0.981409,0.548164,0.965398,BASLANGIC
0.407286,0.568967,0.284771,0.052394,0.758378,0.008843,BASLANGIC
0.122978,0.043152,0.981402,0.979461,0.574509,0.961808,BASLANGIC
0.371800,0.572517,0.264244,0.055913,0.860371,0.009596,BASLANGIC
0.387405,0.122084,0.954153,0.897578,0.833122,0.816908,BASLANGIC
0.256714,0.467627,0.328260,0.045746,0.877596,0.007407,BASLANGIC
0.603421,0.217384,0.909110,0.738452,0.894166,0.568979,BASLANGIC
0.346412,0.529273,0.307619,0.066237,0.875457,0.011958,BASLANGIC
0.111997,0.040235,0.984233,0.982602,0.551821,0.967600,BASLANGIC
0.665810,0.814751,0.093889,0.009128,0.662180,0.001221,BASLANGIC
0.249315,0.086719,0.964405,0.945115,0.783061,0.899597,BASLANGIC
0.655837,0.763981,0.143560,0.026408,0.520763,0.003937,BASLANGIC
0.157672,0.060029,0.973777,0.967992,0.701070,0.940803,BASLANGIC
0.471460,0.582304,0.351140,0.269344,0.776125,0.096680,BASLANGIC
0.215260,0.077376,0.968749,0.953582,0.776167,0.914741,BASLANGIC
0.492165,0.650913,0.215705,0.027276,0.789715,0.003992,BASLANGIC
0.147188,0.047969,0.983273,0.978529,0.628698,0.960093,BASLANGIC
0.413812,0.634147,0.190607,0.032731,0.725826,0.004980,BASLANGIC
0.269688,0.098343,0.960165,0.930764,0.822860,0.874216,BASLANGIC
0.323374,0.462636,0.406249,0.111779,0.897324,0.024645,BASLANGIC
0.593035,0.218117,0.906670,0.741232,0.894039,0.572928,BASLANGIC
0.391233,0.618757,0.197746,0.025944,0.823043,0.003752,BASLANGIC
0.152156,0.055812,0.977407,0.971501,0.694495,0.947205,BASLANGIC
0.348658,0.505202,0.342390,0.087359,0.864743,0.017376,BASLANGIC
0.294649,0.096259,0.962592,0.931143,0.796435,0.874882,BASLANGIC
0.427593,0.599582,0.266970,0.076084,0.864153,0.014402,BASLANGIC
0.119230,0.041556,0.984094,0.980719,0.597290,0.964126,BASLANGIC
0.109433,0.039258,0.982465,0.980218,0.544272,0.963202,BASLANGIC
0.488697,0.589619,0.315429,0.071847,0.733654,0.013318,BASLANGIC
0.458729,0.158939,0.934426,0.860036,0.856008,0.754408,BASLANGIC
0.413836,0.624185,0.218051,0.037848,0.838296,0.005877,BASLANGIC
0.410929,0.153074,0.935582,0.860305,0.863669,0.754850,BASLANGIC
0.474558,0.676259,0.177710,0.021712,0.848799,0.003054,BASLANGIC
0.115542,0.039831,0.983461,0.983667,0.489942,0.969570,BASLANGIC
0.486180,0.657399,0.209357,0.027905,0.771434,0.004100,BASLANGIC
0.214350,0.070431,0.974957,0.966320,0.647131,0.937761,BASLANGIC
0.392755,0.554270,0.310170,0.097231,0.831828,0.020195,BASLANGIC
0.365215,0.131886,0.946280,0.889044,0.851930,0.802483,BASLANGIC
0.518614,0.675463,0.198150,0.026853,0.825631,0.003887,BASLANGIC
0.166888,0.054612,0.980367,0.973208,0.673625,0.950328,BASLANGIC
0.278214,0.472583,0.346298,0.065684,0.925272,0.011812,BASLANGIC
0.106998,0.038625,0.984628,0.983104,0.555165,0.968529,BASLANGIC
0.305289,0.495773,0.335388,0.072001,0.752064,0.013401,BASLANGIC
0.101302,0.033781,0.987854,0.987623,0.430860,0.976897,BASLANGIC
0.337485,0.545411,0.250825,0.024800,0.860619,0.003544,BASLANGIC
0.285014,0.100227,0.957877,0.926824,0.808686,0.867311,BASLANGIC
0.149313,0.052291,0.979633,0.974512,0.656844,0.952717,BASLANGIC
0.342909,0.518275,0.327776,0.077781,0.890083,0.014820,BASLANGIC
0.210654,0.075752,0.967963,0.957056,0.718028,0.920991,BASLANGIC
0.149872,0.046279,0.983183,0.979529,0.587264,0.961934,BASLANGIC
0.210118,0.449394,0.311488,0.038562,0.853980,0.006106,BASLANGIC
0.198655,0.069315,0.972850,0.962381,0.731064,0.930613,BASLANGIC
0.348312,0.538827,0.292047,0.062965,0.835872,0.011186,BASLANGIC
0.157720,0.050539,0.981810,0.976521,0.631749,0.956401,BASLANGIC
0.313689,0.524674,0.284990,0.045479,0.901091,0.007356,BASLANGIC
0.480392,0.164446,0.933841,0.833618,0.872073,0.711912,BASLANGIC
0.315405,0.504435,0.316975,0.060692,0.829286,0.010682,BASLANGIC
0.534384,0.184302,0.925723,0.795256,0.881566,0.652381,BASLANGIC
0.450808,0.594754,0.265211,0.038201,0.837606,0.005924,BASLANGIC
0.281593,0.101498,0.956365,0.926519,0.808289,0.866777,BASLANGIC
0.669708,0.209499,0.926327,0.728151,0.892970,0.554460,BASLANGIC
0.466654,0.639953,0.221878,0.029512,0.788425,0.004402,BASLANGIC
0.256635,0.096541,0.957420,0.933718,0.796825,0.879412,BASLANGIC
0.240451,0.409054,0.429281,0.135712,0.924933,0.032809,BASLANGIC
0.311382,0.098053,0.965294,0.936846,0.789817,0.884930,BASLANGIC
0.179601,0.067930,0.971058,0.963476,0.711380,0.932597,BASLANGIC
0.339520,0.542365,0.270321,0.031311,0.860699,0.004685,BASLANGIC
0.177907,0.055185,0.980477,0.974013,0.643886,0.951803,BASLANGIC
0.428040,0.608993,0.232702,0.033298,0.775430,0.005103,BASLANGIC
0.268247,0.100221,0.958465,0.926901,0.825737,0.867446,BASLANGIC
0.393729,0.586844,0.245616,0.031208,0.828270,0.004667,BASLANGIC
0.435015,0.151851,0.937687,0.858061,0.869056,0.751189,BASLANGIC
0.394510,0.606215,0.215825,0.025436,0.819061,0.003670,BASLANGIC
0.119221,0.043596,0.980943,0.979775,0.587223,0.962386,BASLANGIC
0.411846,0.604868,0.234015,0.024431,0.854835,0.003495,BASLANGIC
0.167641,0.058647,0.975375,0.968682,0.680442,0.942061,BASLANGIC
0.313422,0.506192,0.321264,0.074603,0.816241,0.014043,BASLANGIC
0.174730,0.063465,0.972464,0.963617,0.710489,0.932852,BASLANGIC
0.307301,0.516504,0.305940,0.123625,0.909960,0.028541,BASLANGIC
0.198130,0.062226,0.978127,0.968398,0.710822,0.941543,BASLANGIC
0.264127,0.496414,0.281750,0.032520,0.835685,0.004955,BASLANGIC
0.234029,0.085265,0.963962,0.949318,0.745548,0.907098,BASLANGIC
0.423073,0.561553,0.307996,0.064232,0.849451,0.011468,BASLANGIC
0.429208,0.144848,0.942804,0.864952,0.857909,0.762452,BASLANGIC
0.286629,0.414580,0.441077,0.156204,0.854644,0.040576,BASLANGIC
0.523639,0.180050,0.925603,0.820507,0.866813,0.691279,BASLANGIC
0.233012,0.401756,0.423355,0.131668,0.940391,0.031441,BASLANGIC
0.167819,0.061575,0.975053,0.971183,0.666171,0.946624,BASLANGIC
0.351449,0.578741,0.218741,0.035454,0.793924,0.005491,BASLANGIC
0.143382,0.049886,0.978754,0.975195,0.635054,0.953969,BASLANGIC
0.375295,0.566326,0.256291,0.045028,0.776607,0.007387,BASLANGIC
0.254839,0.096332,0.956860,0.938107,0.776482,0.887157,BASLANGIC
0.314365,0.535958,0.264229,0.025846,0.826265,0.003792,BASLANGIC
0.294029,0.102717,0.958610,0.927294,0.802024,0.868133,BASLANGIC
0.421723,0.636556,0.178006,0.026552,0.645867,0.003914,BASLANGIC
0.160532,0.057865,0.977249,0.971315,0.693642,0.946865,BASLANGIC
0.234989,0.458708,0.321237,0.037626,0.848632,0.005926,BASLANGIC
0.146505,0.047842,0.982056,0.977147,0.626400,0.957551,BASLANGIC
0.398697,0.594464,0.238638,0.038470,0.734186,0.006075,BASLANGIC
0.201216,0.069905,0.971978,0.958937,0.746008,0.924385,BASLANGIC
0.518081,0.703938,0.145507,0.026783,0.605382,0.003980,BASLANGIC
0.173269,0.056715,0.979240,0.971514,0.683314,0.947229,BASLANGIC
0.216088,0.435655,0.340055,0.039228,0.866753,0.006214,BASLANGIC
0.157767,0.047399,0.983222,0.979782,0.581747,0.962398,BASLANGIC
0.214600,0.391740,0.436264,0.143333,0.876069,0.035583,BASLANGIC
0.080657,0.025157,0.991085,0.991330,0.279365,0.983788,BASLANGIC
0.372934,0.590668,0.224238,0.042901,0.774322,0.006913,BASLANGIC
0.275641,0.097074,0.960944,0.934223,0.791773,0.880301,BASLANGIC
0.275071,0.483413,0.301707,0.028822,0.865524,0.004291,BASLANGIC
0.235362,0.082169,0.964657,0.947903,0.752981,0.904570,BASLANGIC
0.428037,0.623055,0.227700,0.044298,0.800801,0.007141,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.337297,0.510930,0.345679,0.108736,0.851871,0.023704,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.392554,0.609463,0.211916,0.030437,0.832082,0.004583,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.294406,0.560968,0.199688,0.015568,0.854139,0.002119,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.558541,0.755789,0.116312,0.006335,0.741150,0.000806,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.499787,0.703579,0.158327,0.023869,0.819445,0.003443,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.404632,0.566730,0.313466,0.142066,0.841936,0.035064,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.323605,0.425859,0.500466,0.372764,0.890506,0.167565,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.318838,0.427510,0.502034,0.397324,0.879772,0.187171,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.398505,0.622774,0.202676,0.026230,0.855789,0.003792,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.400830,0.638028,0.165027,0.012425,0.794940,0.001664,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.312398,0.577470,0.187801,0.012985,0.856407,0.001731,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.370153,0.630396,0.164230,0.009127,0.885346,0.001176,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.329971,0.530822,0.302810,0.065855,0.896322,0.011877,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.393264,0.602889,0.226372,0.031308,0.848323,0.004686,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.313159,0.486427,0.354669,0.094209,0.915808,0.019304,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.305892,0.462764,0.416689,0.242743,0.908561,0.081418,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.634279,0.753566,0.167680,0.026357,0.615728,0.003953,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
1.000000,1.000000,0.032702,0.009244,0.324374,0.001267,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.249874,0.426787,0.424963,0.196071,0.912958,0.057720,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.307629,0.529181,0.287470,0.053807,0.879878,0.009127,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.390770,0.634050,0.180406,0.019077,0.836350,0.002666,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.354168,0.569350,0.254040,0.052068,0.877708,0.008833,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.406871,0.636778,0.179928,0.016650,0.807454,0.002268,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.462124,0.664743,0.184770,0.043738,0.675911,0.007089,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.288010,0.506316,0.294541,0.050473,0.814171,0.008543,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.381531,0.574845,0.264303,0.056302,0.872782,0.009722,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.533857,0.628141,0.295693,0.087535,0.650637,0.017455,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.300941,0.502005,0.336332,0.094593,0.907465,0.019452,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.284860,0.476572,0.334448,0.060211,0.899722,0.010690,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.610090,0.770809,0.101163,0.010704,0.633612,0.001423,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.414889,0.641189,0.180442,0.016175,0.798262,0.002261,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.231470,0.454863,0.331204,0.035166,0.921946,0.005389,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.471298,0.654938,0.209134,0.051778,0.651709,0.008801,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.374263,0.603794,0.205061,0.042199,0.698088,0.006903,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.345168,0.531458,0.300656,0.090200,0.820511,0.018254,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.236869,0.409791,0.435095,0.240638,0.909556,0.080282,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.578399,0.668167,0.236466,0.034962,0.727723,0.005342,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.415029,0.560608,0.309712,0.106736,0.862800,0.023049,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.374793,0.564182,0.267627,0.059048,0.873898,0.010273,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.463147,0.695726,0.138379,0.012621,0.760860,0.001688,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.280326,0.466498,0.366903,0.165395,0.909314,0.044260,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.362051,0.562611,0.262317,0.058786,0.883500,0.010224,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.517282,0.730566,0.121957,0.011177,0.748685,0.001482,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.375942,0.543671,0.317171,0.117678,0.878189,0.026549,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.363615,0.555193,0.276571,0.067754,0.876635,0.012305,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.428414,0.615497,0.242102,0.032351,0.811992,0.004847,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.475624,0.697172,0.141107,0.012310,0.766098,0.001657,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.277350,0.445662,0.403149,0.225400,0.904840,0.072185,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.404257,0.569852,0.299289,0.105826,0.868622,0.022797,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.424795,0.582288,0.290284,0.095286,0.862541,0.019637,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.242707,0.408272,0.444516,0.266307,0.911266,0.094852,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.393735,0.558628,0.311371,0.114969,0.869558,0.025687,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.228374,0.420920,0.401172,0.134371,0.918987,0.032293,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.402475,0.607091,0.235236,0.031353,0.811926,0.004672,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.243509,0.423305,0.414117,0.146908,0.918008,0.036931,NORMAL
