@RELATION SINGLE_HL_HOMOGENEITY

@ATTRIBUTE HL_homogeneity NUMERIC
@ATTRIBUTE class {BASLANGIC,NORMAL,TUMORLU}

@DATA
0.692337,BASLANGIC
0.990879,BASLANGIC
0.333843,BASLANGIC
0.986908,BASLANGIC
0.508771,BASLANGIC
0.975997,BASLANGIC
0.989514,BASLANGIC
0.145091,BASLANGIC
0.986435,BASLANGIC
0.232705,BASLANGIC
0.973709,BASLANGIC
0.252470,BASLANGIC
0.985775,BASLANGIC
0.290587,BASLANGIC
0.976893,BASLANGIC
0.995922,BASLANGIC
0.437573,BASLANGIC
0.974010,BASLANGIC
0.618881,BASLANGIC
0.991121,BASLANGIC
0.207648,BASLANGIC
0.981387,BASLANGIC
0.060760,BASLANGIC
0.964779,BASLANGIC
0.116712,BASLANGIC
0.988203,BASLANGIC
0.582526,BASLANGIC
0.923653,BASLANGIC
0.479963,BASLANGIC
0.976540,BASLANGIC
0.430443,BASLANGIC
0.983780,BASLANGIC
0.163708,BASLANGIC
0.960010,BASLANGIC
0.319370,BASLANGIC
0.945862,BASLANGIC
0.159145,BASLANGIC
0.990879,BASLANGIC
0.272817,BASLANGIC
0.988992,BASLANGIC
0.279437,BASLANGIC
0.986034,BASLANGIC
0.221158,BASLANGIC
0.974391,BASLANGIC
0.408515,BASLANGIC
0.952408,BASLANGIC
0.216304,BASLANGIC
0.991355,BASLANGIC
0.077813,BASLANGIC
0.974954,BASLANGIC
0.151558,BASLANGIC
0.983563,BASLANGIC
0.386960,BASLANGIC
0.979190,BASLANGIC
0.387272,BASLANGIC
0.990613,BASLANGIC
0.391740,BASLANGIC
0.975848,BASLANGIC
0.378046,BASLANGIC
0.945381,BASLANGIC
0.232969,BASLANGIC
0.984401,BASLANGIC
0.564707,BASLANGIC
0.978038,BASLANGIC
0.231738,BASLANGIC
0.989372,BASLANGIC
0.990219,BASLANGIC
0.492658,BASLANGIC
0.963836,BASLANGIC
0.423276,BASLANGIC
0.970012,BASLANGIC
0.214760,BASLANGIC
0.986820,BASLANGIC
0.242399,BASLANGIC
0.988408,BASLANGIC
0.438669,BASLANGIC
0.973610,BASLANGIC
0.440922,BASLANGIC
0.986908,BASLANGIC
0.440843,BASLANGIC
0.988523,BASLANGIC
0.210026,BASLANGIC
0.992484,BASLANGIC
0.203093,BASLANGIC
0.971521,BASLANGIC
0.986851,BASLANGIC
0.345684,BASLANGIC
0.980359,BASLANGIC
0.987011,BASLANGIC
0.214889,BASLANGIC
0.979791,BASLANGIC
0.203828,BASLANGIC
0.987724,BASLANGIC
0.216532,BASLANGIC
0.961293,BASLANGIC
0.439769,BASLANGIC
0.953334,BASLANGIC
0.445854,BASLANGIC
0.975980,BASLANGIC
0.954803,BASLANGIC
0.148035,BASLANGIC
0.976922,BASLANGIC
0.410058,BASLANGIC
0.971678,BASLANGIC
0.983742,BASLANGIC
0.215858,BASLANGIC
0.985445,BASLANGIC
0.162605,BASLANGIC
0.976762,BASLANGIC
0.402863,BASLANGIC
0.964357,BASLANGIC
0.204785,BASLANGIC
0.985920,BASLANGIC
0.296746,BASLANGIC
0.982066,BASLANGIC
0.313369,BASLANGIC
0.983947,BASLANGIC
0.180419,BASLANGIC
0.982872,BASLANGIC
0.416491,BASLANGIC
0.977759,BASLANGIC
0.426408,BASLANGIC
0.963568,BASLANGIC
0.292845,BASLANGIC
0.967547,BASLANGIC
0.282138,BASLANGIC
0.987949,BASLANGIC
0.555481,BASLANGIC
0.987182,BASLANGIC
0.287141,BASLANGIC
0.977514,BASLANGIC
0.122653,BASLANGIC
0.974256,BASLANGIC
0.245403,BASLANGIC
0.987983,BASLANGIC
0.075776,BASLANGIC
0.985217,BASLANGIC
0.367662,BASLANGIC
0.977089,BASLANGIC
0.103476,BASLANGIC
0.986800,BASLANGIC
0.195155,BASLANGIC
0.984935,BASLANGIC
0.382554,BASLANGIC
0.993403,BASLANGIC
0.170722,BASLANGIC
0.981787,BASLANGIC
0.463305,BASLANGIC
0.975160,BASLANGIC
0.076982,NORMAL
1.000000,NORMAL
0.287445,NORMAL
1.000000,NORMAL
0.081684,NORMAL
1.000000,NORMAL
0.115992,NORMAL
1.000000,NORMAL
0.335895,NORMAL
1.000000,NORMAL
0.249968,NORMAL
1.000000,NORMAL
0.348977,NORMAL
1.000000,NORMAL
0.402214,NORMAL
1.000000,NORMAL
0.474202,NORMAL
1.000000,NORMAL
0.238443,NORMAL
1.000000,NORMAL
0.122289,NORMAL
1.000000,NORMAL
0.163575,NORMAL
1.000000,NORMAL
0.025730,NORMAL
1.000000,NORMAL
0.463187,NORMAL
1.000000,NORMAL
0.304780,NORMAL
1.000000,NORMAL
0.393981,NORMAL
1.000000,NORMAL
0.526153,NORMAL
1.000000,NORMAL
0.160009,NORMAL
1.000000,NORMAL
0.079508,NORMAL
1.000000,NORMAL
0.475600,NORMAL
1.000000,NORMAL
0.106067,NORMAL
1.000000,NORMAL
0.220894,NORMAL
1.000000,NORMAL
0.221400,NORMAL
1.000000,NORMAL
0.206746,NORMAL
1.000000,NORMAL
0.166450,NORMAL
1.000000,NORMAL
0.261419,NORMAL
1.000000,NORMAL
0.255341,NORMAL
1.000000,NORMAL
0.281413,NORMAL
1.000000,NORMAL
0.190723,NORMAL
1.000000,NORMAL
0.664411,NORMAL
1.000000,NORMAL
0.361208,NORMAL
1.000000,NORMAL
0.421939,NORMAL
1.000000,NORMAL
0.194777,NORMAL
1.000000,NORMAL
0.192215,NORMAL
1.000000,NORMAL
0.256197,NORMAL
1.000000,NORMAL
0.205655,NORMAL
1.000000,NORMAL
0.206672,NORMAL
1.000000,NORMAL
0.147082,NORMAL
1.000000,NORMAL
0.145892,NORMAL
1.000000,NORMAL
0.139156,NORMAL
1.000000,NORMAL
0.026409,NORMAL
1.000000,NORMAL
0.139800,NORMAL
1.000000,NORMAL
0.214422,NORMAL
1.000000,NORMAL
0.000000,NORMAL
1.000000,NORMAL
0.219816,NORMAL
1.000000,NORMAL
0.134398,NORMAL
1.000000,NORMAL
0.185811,NORMAL
1.000000,NORMAL
0.102395,NORMAL
1.000000,NORMAL
0.303202,NORMAL
1.000000,NORMAL
0.333607,NORMAL
1.000000,NORMAL
0.198186,NORMAL
1.000000,NORMAL
0.256090,NORMAL
1.000000,NORMAL
0.330342,NORMAL
1.000000,NORMAL
0.242917,NORMAL
1.000000,NORMAL
0.191306,NORMAL
1.000000,NORMAL
0.201757,NORMAL
1.000000,NORMAL
0.143149,NORMAL
1.000000,NORMAL
0.220331,NORMAL
1.000000,NORMAL
0.223412,NORMAL
1.000000,NORMAL
0.174111,NORMAL
1.000000,NORMAL
0.031447,NORMAL
1.000000,NORMAL
0.402613,NORMAL
1.000000,NORMAL
0.475075,NORMAL
1.000000,NORMAL
0.349827,NORMAL
1.000000,NORMAL
0.106304,NORMAL
1.000000,NORMAL
0.234035,NORMAL
1.000000,NORMAL
0.245499,NORMAL
1.000000,NORMAL
0.195660,NORMAL
1.000000,NORMAL
0.410827,NORMAL
1.000000,NORMAL
0.564920,NORMAL
1.000000,NORMAL
0.164787,NORMAL
1.000000,NORMAL
0.458831,NORMAL
1.000000,NORMAL
0.128127,NORMAL
1.000000,NORMAL
0.304893,NORMAL
1.000000,NORMAL
0.230927,NORMAL
1.000000,NORMAL
0.262066,NORMAL
1.000000,NORMAL
0.160799,NORMAL
1.000000,NORMAL
0.195030,NORMAL
1.000000,NORMAL
0.205189,NORMAL
1.000000,NORMAL
0.325412,NORMAL
1.000000,NORMAL
0.189856,NORMAL
1.000000,NORMAL
0.191331,NORMAL
1.000000,NORMAL
0.236046,NORMAL
1.000000,NORMAL
0.142982,NORMAL
1.000000,NORMAL
0.017405,NORMAL
1.000000,NORMAL
0.243005,NORMAL
1.000000,NORMAL
0.225642,NORMAL
1.000000,NORMAL
0.161525,NORMAL
1.000000,NORMAL
0.108187,NORMAL
1.000000,NORMAL
0.292885,NORMAL
1.000000,NORMAL
0.165191,NORMAL
1.000000,NORMAL
0.156681,NORMAL
1.000000,NORMAL
0.427855,NORMAL
1.000000,NORMAL
0.347703,NORMAL
1.000000,NORMAL
0.415567,NORMAL
1.000000,NORMAL
0.192166,NORMAL
1.000000,NORMAL
0.413361,NORMAL
1.000000,NORMAL
0.110958,NORMAL
1.000000,NORMAL
0.212319,NORMAL
1.000000,NORMAL
0.237687,NORMAL
1.000000,NORMAL
0.423003,NORMAL
1.000000,NORMAL
0.112414,NORMAL
1.000000,NORMAL
0.138160,NORMAL
1.000000,NORMAL
0.273172,NORMAL
1.000000,NORMAL
0.190241,NORMAL
1.000000,NORMAL
0.384285,NORMAL
1.000000,NORMAL
0.311002,NORMAL
1.000000,NORMAL
0.200178,NORMAL
1.000000,NORMAL
0.293574,NORMAL
1.000000,NORMAL
0.109652,NORMAL
1.000000,NORMAL
0.141689,NORMAL
1.000000,NORMAL
0.119894,NORMAL
1.000000,NORMAL
0.067943,NORMAL
1.000000,NORMAL
0.261286,NORMAL
1.000000,NORMAL
0.390390,NORMAL
1.000000,NORMAL
0.091647,NORMAL
1.000000,NORMAL
0.134564,NORMAL
1.000000,NORMAL
0.207366,NORMAL
1.000000,NORMAL
0.211540,NORMAL
1.000000,NORMAL
0.637985,NORMAL
1.000000,NORMAL
0.138585,NORMAL
1.000000,NORMAL
0.317657,NORMAL
1.000000,NORMAL
0.296142,NORMAL
1.000000,NORMAL
0.465745,NORMAL
1.000000,NORMAL
0.268332,NORMAL
1.000000,NORMAL
0.087045,NORMAL
1.000000,NORMAL
0.936445,TUMORLU
0.479543,TUMORLU
0.921878,TUMORLU
0.382391,TUMORLU
0.966164,TUMORLU
0.392983,TUMORLU
0.964961,TUMORLU
0.454292,TUMORLU
0.966176,TUMORLU
0.434253,TUMORLU
0.967153,TUMORLU
0.293493,TUMORLU
0.971931,TUMORLU
0.315902,TUMORLU
0.965928,TUMORLU
0.318158,TUMORLU
0.970448,TUMORLU
0.366418,TUMORLU
0.979149,TUMORLU
0.354622,TUMORLU
0.955975,TUMORLU
0.444008,TUMORLU
0.976281,TUMORLU
0.258072,TUMORLU
0.950654,TUMORLU
0.684277,TUMORLU
0.947911,TUMORLU
0.665976,TUMORLU
0.937099,TUMORLU
0.435070,TUMORLU
0.923321,TUMORLU
0.338801,TUMORLU
0.968290,TUMORLU
0.306190,TUMORLU
0.959020,TUMORLU
0.164191,TUMORLU
0.935622,TUMORLU
0.249253,TUMORLU
0.947091,TUMORLU
0.344988,TUMORLU
0.933640,TUMORLU
0.510834,TUMORLU
0.940857,TUMORLU
0.527916,TUMORLU
0.918820,TUMORLU
0.268153,TUMORLU
0.929908,TUMORLU
0.295186,TUMORLU
0.913072,TUMORLU
0.294526,TUMORLU
0.971798,TUMORLU
0.193746,TUMORLU
0.976400,TUMORLU
0.259021,TUMORLU
0.976852,TUMORLU
0.410512,TUMORLU
0.940253,TUMORLU
0.430236,TUMORLU
0.925657,TUMORLU
0.398303,TUMORLU
0.895678,TUMORLU
0.248516,TUMORLU
0.930689,TUMORLU
0.332124,TUMORLU
0.911121,TUMORLU
0.212443,TUMORLU
0.970640,TUMORLU
0.141595,TUMORLU
0.942840,TUMORLU
0.439505,TUMORLU
0.954704,TUMORLU
0.423184,TUMORLU
0.944987,TUMORLU
0.279332,TUMORLU
0.974825,TUMORLU
0.291205,TUMORLU
0.943803,TUMORLU
0.649480,TUMORLU
0.955292,TUMORLU
0.643848,TUMORLU
0.956845,TUMORLU
0.251270,TUMORLU
0.947332,TUMORLU
0.593219,TUMORLU
0.928538,TUMORLU
0.510437,TUMORLU
0.979245,TUMORLU
0.453920,TUMORLU
0.939770,TUMORLU
0.315660,TUMORLU
0.966148,TUMORLU
0.283708,TUMORLU
0.941123,TUMORLU
0.246944,TUMORLU
0.976465,TUMORLU
0.217854,TUMORLU
0.959545,TUMORLU
0.355197,TUMORLU
0.957933,TUMORLU
0.165738,TUMORLU
0.954602,TUMORLU
0.164839,TUMORLU
0.952812,TUMORLU
0.288627,TUMORLU
0.992407,TUMORLU
0.957075,TUMORLU
0.402330,TUMORLU
0.971882,TUMORLU
0.465421,TUMORLU
0.972473,TUMORLU
0.146925,TUMORLU
0.941986,TUMORLU
0.276609,TUMORLU
0.955719,TUMORLU
0.277199,TUMORLU
0.945663,TUMORLU
0.299610,TUMORLU
0.942060,TUMORLU
0.152727,TUMORLU
0.944179,TUMORLU
0.372651,TUMORLU
0.970523,TUMORLU
0.396901,TUMORLU
0.941584,TUMORLU
0.248838,TUMORLU
0.943261,TUMORLU
0.580257,TUMORLU
0.950840,TUMORLU
0.435587,TUMORLU
0.973303,TUMORLU
0.159061,TUMORLU
0.965500,TUMORLU
0.457751,TUMORLU
0.966118,TUMORLU
0.269488,TUMORLU
0.940114,TUMORLU
0.400973,TUMORLU
0.959009,TUMORLU
0.555691,TUMORLU
0.968193,TUMORLU
0.572833,TUMORLU
0.936785,TUMORLU
0.493280,TUMORLU
0.927706,TUMORLU
0.385263,TUMORLU
0.973441,TUMORLU
0.249855,TUMORLU
0.970199,TUMORLU
0.232780,TUMORLU
0.944658,TUMORLU
0.691086,TUMORLU
0.940758,TUMORLU
0.198794,TUMORLU
0.965374,TUMORLU
0.538222,TUMORLU
0.958341,TUMORLU
0.266263,TUMORLU
0.950564,TUMORLU
0.303356,TUMORLU
0.949118,TUMORLU
0.480743,TUMORLU
0.966298,TUMORLU
0.449643,TUMORLU
0.945852,TUMORLU
0.460594,TUMORLU
0.970730,TUMORLU
0.106839,TUMORLU
0.950288,TUMORLU
0.113620,TUMORLU
0.943026,TUMORLU
0.123399,TUMORLU
0.928580,TUMORLU
0.406778,TUMORLU
0.958171,TUMORLU
0.153731,TUMORLU
0.972904,TUMORLU
0.408650,TUMORLU
0.926518,TUMORLU
0.140606,TUMORLU
0.956132,TUMORLU
0.342871,TUMORLU
0.940865,TUMORLU
0.309287,TUMORLU
0.964496,TUMORLU
0.199266,TUMORLU
0.954798,TUMORLU
0.410004,TUMORLU
0.936794,TUMORLU
0.534183,TUMORLU
0.944536,TUMORLU
0.319741,TUMORLU
0.941862,TUMORLU
0.436714,TUMORLU
0.945332,TUMORLU
0.562426,TUMORLU
0.973056,TUMORLU
0.468253,TUMORLU
0.963786,TUMORLU
0.556524,TUMORLU
0.962541,TUMORLU
0.241573,TUMORLU
0.934324,TUMORLU
0.305192,TUMORLU
0.942914,TUMORLU
0.315544,TUMORLU
0.943153,TUMORLU
0.152916,TUMORLU
0.934519,TUMORLU
0.459375,TUMORLU
0.977940,TUMORLU
0.513919,TUMORLU
0.956436,TUMORLU
0.157430,TUMORLU
0.948317,TUMORLU
0.526569,TUMORLU
0.951607,TUMORLU
0.254297,TUMORLU
0.959754,TUMORLU
0.407562,TUMORLU
0.979759,TUMORLU
0.657241,TUMORLU
0.940790,TUMORLU
0.368860,TUMORLU
0.982459,TUMORLU
0.489531,TUMORLU
0.965119,TUMORLU
0.357539,TUMORLU
0.943285,TUMORLU
0.314744,TUMORLU
0.948995,TUMORLU
0.322401,TUMORLU
0.969065,TUMORLU
0.624722,TUMORLU
0.957488,TUMORLU
0.237815,TUMORLU
0.961420,TUMORLU
0.507872,TUMORLU
0.955044,TUMORLU
0.226211,TUMORLU
0.944908,TUMORLU
0.226083,TUMORLU
0.985251,TUMORLU
0.372740,TUMORLU
0.946046,TUMORLU
0.769926,TUMORLU
0.934851,TUMORLU
0.629985,TUMORLU
0.949505,TUMORLU
0.202339,TUMORLU
0.972299,TUMORLU
0.441782,TUMORLU
0.963927,TUMORLU
