@RELATION SINGLE_HL_DISSIMILARITY

@ATTRIBUTE HL_dissimilarity NUMERIC
@ATTRIBUTE class {BASLANGIC,NORMAL,TUMORLU}

@DATA
0.720683,BASLANGIC
0.020812,BASLANGIC
0.589542,BASLANGIC
0.027466,BASLANGIC
0.450455,BASLANGIC
0.011886,BASLANGIC
0.645399,BASLANGIC
0.033860,BASLANGIC
0.299671,BASLANGIC
0.035283,BASLANGIC
0.876293,NORMAL
0.000000,NORMAL
0.581152,NORMAL
0.000000,NORMAL
0.793434,NORMAL
0.000000,NORMAL
0.685713,NORMAL
0.000000,NORMAL
0.423818,NORMAL
0.000000,NORMAL
0.535048,NORMAL
0.000000,NORMAL
0.476143,NORMAL
0.000000,NORMAL
0.535389,NORMAL
0.000000,NORMAL
0.439344,NORMAL
0.000000,NORMAL
0.550510,NORMAL
0.000000,NORMAL
0.675574,NORMAL
0.000000,NORMAL
0.602291,NORMAL
0.000000,NORMAL
0.924738,NORMAL
0.000000,NORMAL
0.307918,NORMAL
0.000000,NORMAL
0.476275,NORMAL
0.000000,NORMAL
0.402428,NORMAL
0.000000,NORMAL
0.272229,NORMAL
0.000000,NORMAL
0.692788,NORMAL
0.000000,NORMAL
0.798383,NORMAL
0.000000,NORMAL
0.318648,NORMAL
0.000000,NORMAL
0.835781,NORMAL
0.000000,NORMAL
0.582086,NORMAL
0.000000,NORMAL
0.595715,NORMAL
0.000000,NORMAL
0.576951,NORMAL
0.000000,NORMAL
0.688044,NORMAL
0.000000,NORMAL
0.545544,NORMAL
0.000000,NORMAL
0.561026,NORMAL
0.000000,NORMAL
0.613625,NORMAL
0.000000,NORMAL
0.732312,NORMAL
0.000000,NORMAL
0.191018,NORMAL
0.000000,NORMAL
0.381524,NORMAL
0.000000,NORMAL
0.335507,NORMAL
0.000000,NORMAL
0.615296,NORMAL
0.000000,NORMAL
0.649933,NORMAL
0.000000,NORMAL
0.508436,NORMAL
0.000000,NORMAL
0.651318,NORMAL
0.000000,NORMAL
0.705633,NORMAL
0.000000,NORMAL
0.758130,NORMAL
0.000000,NORMAL
0.781656,NORMAL
0.000000,NORMAL
0.720882,NORMAL
0.000000,NORMAL
0.901482,NORMAL
0.000000,NORMAL
0.780673,NORMAL
0.000000,NORMAL
0.612509,NORMAL
0.000000,NORMAL
1.000000,NORMAL
0.000000,NORMAL
0.620773,NORMAL
0.000000,NORMAL
0.744385,NORMAL
0.000000,NORMAL
0.683992,NORMAL
0.000000,NORMAL
0.758501,NORMAL
0.000000,NORMAL
0.529461,NORMAL
0.000000,NORMAL
0.465016,NORMAL
0.000000,NORMAL
0.684908,NORMAL
0.000000,NORMAL
0.605437,NORMAL
0.000000,NORMAL
0.498981,NORMAL
0.000000,NORMAL
0.649050,NORMAL
0.000000,NORMAL
0.650006,NORMAL
0.000000,NORMAL
0.716647,NORMAL
0.000000,NORMAL
0.757880,NORMAL
0.000000,NORMAL
0.662925,NORMAL
0.000000,NORMAL
0.603533,NORMAL
0.000000,NORMAL
0.667174,NORMAL
0.000000,NORMAL
0.897455,NORMAL
0.000000,NORMAL
0.447755,NORMAL
0.000000,NORMAL
0.319138,NORMAL
0.000000,NORMAL
0.466100,NORMAL
0.000000,NORMAL
0.735302,NORMAL
0.000000,NORMAL
0.649012,NORMAL
0.000000,NORMAL
0.646310,NORMAL
0.000000,NORMAL
0.658297,NORMAL
0.000000,NORMAL
0.368561,NORMAL
0.000000,NORMAL
0.228191,NORMAL
0.000000,NORMAL
0.660585,NORMAL
0.000000,NORMAL
0.341737,NORMAL
0.000000,NORMAL
0.749154,NORMAL
0.000000,NORMAL
0.457260,NORMAL
0.000000,NORMAL
0.583445,NORMAL
0.000000,NORMAL
0.544038,NORMAL
0.000000,NORMAL
0.728184,NORMAL
0.000000,NORMAL
0.640831,NORMAL
0.000000,NORMAL
0.655259,NORMAL
0.000000,NORMAL
0.446749,NORMAL
0.000000,NORMAL
0.683669,NORMAL
0.000000,NORMAL
0.563160,NORMAL
0.000000,NORMAL
0.560495,NORMAL
0.000000,NORMAL
0.717861,NORMAL
0.000000,NORMAL
0.989471,NORMAL
0.000000,NORMAL
0.588715,NORMAL
0.000000,NORMAL
0.679225,NORMAL
0.000000,NORMAL
0.739853,NORMAL
0.000000,NORMAL
0.790590,NORMAL
0.000000,NORMAL
0.521057,NORMAL
0.000000,NORMAL
0.751167,NORMAL
0.000000,NORMAL
0.659321,NORMAL
0.000000,NORMAL
0.333838,NORMAL
0.000000,NORMAL
0.410162,NORMAL
0.000000,NORMAL
0.349165,NORMAL
0.000000,NORMAL
0.686252,NORMAL
0.000000,NORMAL
0.408320,NORMAL
0.000000,NORMAL
0.825046,NORMAL
0.000000,NORMAL
0.612311,NORMAL
0.000000,NORMAL
0.577691,NORMAL
0.000000,NORMAL
0.334987,NORMAL
0.000000,NORMAL
0.723915,NORMAL
0.000000,NORMAL
0.782198,NORMAL
0.000000,NORMAL
0.525670,NORMAL
0.000000,NORMAL
0.617046,NORMAL
0.000000,NORMAL
0.407862,NORMAL
0.000000,NORMAL
0.450821,NORMAL
0.000000,NORMAL
0.648633,NORMAL
0.000000,NORMAL
0.521367,NORMAL
0.000000,NORMAL
0.710484,NORMAL
0.000000,NORMAL
0.699823,NORMAL
0.000000,NORMAL
0.753214,NORMAL
0.000000,NORMAL
0.817681,NORMAL
0.000000,NORMAL
0.622681,NORMAL
0.000000,NORMAL
0.364298,NORMAL
0.000000,NORMAL
0.738207,NORMAL
0.000000,NORMAL
0.728862,NORMAL
0.000000,NORMAL
0.655693,NORMAL
0.000000,NORMAL
0.572519,NORMAL
0.000000,NORMAL
0.203568,NORMAL
0.000000,NORMAL
0.681906,NORMAL
0.000000,NORMAL
0.529498,NORMAL
0.000000,NORMAL
0.494375,NORMAL
0.000000,NORMAL
0.302886,NORMAL
0.000000,NORMAL
0.545163,NORMAL
0.000000,NORMAL
0.768455,NORMAL
0.000000,NORMAL
0.088575,TUMORLU
0.295554,TUMORLU
0.110126,TUMORLU
0.389181,TUMORLU
0.046302,TUMORLU
0.376773,TUMORLU
0.044443,TUMORLU
0.311144,TUMORLU
0.054059,TUMORLU
0.342529,TUMORLU
0.050513,TUMORLU
0.487755,TUMORLU
0.043735,TUMORLU
0.457487,TUMORLU
0.041767,TUMORLU
0.444369,TUMORLU
0.038377,TUMORLU
0.413386,TUMORLU
0.037989,TUMORLU
0.419377,TUMORLU
0.059488,TUMORLU
0.326649,TUMORLU
0.037523,TUMORLU
0.530538,TUMORLU
0.066841,TUMORLU
0.167875,TUMORLU
0.060403,TUMORLU
0.181986,TUMORLU
0.075181,TUMORLU
0.331806,TUMORLU
0.096656,TUMORLU
0.433888,TUMORLU
0.048138,TUMORLU
0.517761,TUMORLU
0.051078,TUMORLU
0.738793,TUMORLU
0.087118,TUMORLU
0.554498,TUMORLU
0.080079,TUMORLU
0.524845,TUMORLU
0.116437,TUMORLU
0.297730,TUMORLU
0.085849,TUMORLU
0.266727,TUMORLU
0.116852,TUMORLU
0.530878,TUMORLU
0.101913,TUMORLU
0.527030,TUMORLU
0.137306,TUMORLU
0.506530,TUMORLU
0.043876,TUMORLU
0.669349,TUMORLU
0.035065,TUMORLU
0.552889,TUMORLU
0.028994,TUMORLU
0.384677,TUMORLU
0.089227,TUMORLU
0.388295,TUMORLU
0.114085,TUMORLU
0.386517,TUMORLU
0.176098,TUMORLU
0.573428,TUMORLU
0.104961,TUMORLU
0.473203,TUMORLU
0.131219,TUMORLU
0.576678,TUMORLU
0.044989,TUMORLU
0.723968,TUMORLU
0.099938,TUMORLU
0.390284,TUMORLU
0.054884,TUMORLU
0.413820,TUMORLU
0.083469,TUMORLU
0.486803,TUMORLU
0.044509,TUMORLU
0.517491,TUMORLU
0.077028,TUMORLU
0.174475,TUMORLU
0.065367,TUMORLU
0.192824,TUMORLU
0.055874,TUMORLU
0.569392,TUMORLU
0.079339,TUMORLU
0.215983,TUMORLU
0.108194,TUMORLU
0.269477,TUMORLU
0.028594,TUMORLU
0.327140,TUMORLU
0.099491,TUMORLU
0.448163,TUMORLU
0.049180,TUMORLU
0.502124,TUMORLU
0.079638,TUMORLU
0.557044,TUMORLU
0.036927,TUMORLU
0.609033,TUMORLU
0.061074,TUMORLU
0.466876,TUMORLU
0.068283,TUMORLU
0.701333,TUMORLU
0.065770,TUMORLU
0.697016,TUMORLU
0.073327,TUMORLU
0.530399,TUMORLU
0.014566,TUMORLU
0.065643,TUMORLU
0.361214,TUMORLU
0.041099,TUMORLU
0.296554,TUMORLU
0.038951,TUMORLU
0.739390,TUMORLU
0.094663,TUMORLU
0.523943,TUMORLU
0.062862,TUMORLU
0.540576,TUMORLU
0.081716,TUMORLU
0.567026,TUMORLU
0.088453,TUMORLU
0.750011,TUMORLU
0.078024,TUMORLU
0.410551,TUMORLU
0.041341,TUMORLU
0.368947,TUMORLU
0.084268,TUMORLU
0.534066,TUMORLU
0.077253,TUMORLU
0.256702,TUMORLU
0.065730,TUMORLU
0.358986,TUMORLU
0.042260,TUMORLU
0.640625,TUMORLU
0.047243,TUMORLU
0.356854,TUMORLU
0.053942,TUMORLU
0.545862,TUMORLU
0.076221,TUMORLU
0.424133,TUMORLU
0.058356,TUMORLU
0.268481,TUMORLU
0.052226,TUMORLU
0.220429,TUMORLU
0.083485,TUMORLU
0.287564,TUMORLU
0.121786,TUMORLU
0.381987,TUMORLU
0.045068,TUMORLU
0.541789,TUMORLU
0.037453,TUMORLU
0.600604,TUMORLU
0.079189,TUMORLU
0.169994,TUMORLU
0.096260,TUMORLU
0.623994,TUMORLU
0.058320,TUMORLU
0.273465,TUMORLU
0.072669,TUMORLU
0.571929,TUMORLU
0.074772,TUMORLU
0.496973,TUMORLU
0.093772,TUMORLU
0.343046,TUMORLU
0.057902,TUMORLU
0.373636,TUMORLU
0.073234,TUMORLU
0.318514,TUMORLU
0.050257,TUMORLU
0.749164,TUMORLU
0.080017,TUMORLU
0.763770,TUMORLU
0.072756,TUMORLU
0.731796,TUMORLU
0.100374,TUMORLU
0.462321,TUMORLU
0.057512,TUMORLU
0.709779,TUMORLU
0.042936,TUMORLU
0.391480,TUMORLU
0.100863,TUMORLU
0.711698,TUMORLU
0.060938,TUMORLU
0.474455,TUMORLU
0.080027,TUMORLU
0.447497,TUMORLU
0.053477,TUMORLU
0.596605,TUMORLU
0.063383,TUMORLU
0.347989,TUMORLU
0.095054,TUMORLU
0.296833,TUMORLU
0.074830,TUMORLU
0.462891,TUMORLU
0.075839,TUMORLU
0.345032,TUMORLU
0.073480,TUMORLU
0.279575,TUMORLU
0.043292,TUMORLU
0.294770,TUMORLU
0.046135,TUMORLU
0.233601,TUMORLU
0.045712,TUMORLU
0.620723,TUMORLU
0.094477,TUMORLU
0.529268,TUMORLU
0.093871,TUMORLU
0.448075,TUMORLU
0.094652,TUMORLU
0.669446,TUMORLU
0.103188,TUMORLU
0.320114,TUMORLU
0.038564,TUMORLU
0.294759,TUMORLU
0.063855,TUMORLU
0.691452,TUMORLU
0.064523,TUMORLU
0.284560,TUMORLU
0.062897,TUMORLU
0.543397,TUMORLU
0.054922,TUMORLU
0.371189,TUMORLU
0.028134,TUMORLU
0.187358,TUMORLU
0.070478,TUMORLU
0.401777,TUMORLU
0.023311,TUMORLU
0.320760,TUMORLU
0.054309,TUMORLU
0.413791,TUMORLU
0.066067,TUMORLU
0.489847,TUMORLU
0.071831,TUMORLU
0.516994,TUMORLU
0.052205,TUMORLU
0.210217,TUMORLU
0.065057,TUMORLU
0.607457,TUMORLU
0.060160,TUMORLU
0.298261,TUMORLU
0.058217,TUMORLU
0.597130,TUMORLU
0.068197,TUMORLU
0.597757,TUMORLU
0.025596,TUMORLU
0.422502,TUMORLU
0.072376,TUMORLU
0.121148,TUMORLU
0.069900,TUMORLU
0.213748,TUMORLU
0.073823,TUMORLU
0.616156,TUMORLU
0.040853,TUMORLU
0.330162,TUMORLU
0.046199,TUMORLU
