@RELATION LBP

@ATTRIBUTE lbp_energy NUMERIC
@ATTRIBUTE lbp_entropy NUMERIC
@ATTRIBUTE lbp_mean NUMERIC
@ATTRIBUTE lbp_std NUMERIC
@ATTRIBUTE class {BASLANGIC,NORMAL,TUMORLU}

@DATA
0.976428,0.030315,0.989025,0.120307,BASLANGIC
0.034986,0.968663,0.110614,0.949468,BASLANGIC
0.959706,0.048685,0.982387,0.147860,BASLANGIC
0.992112,0.010831,0.995251,0.090462,BASLANGIC
0.022659,0.978291,0.062500,0.891640,BASLANGIC
0.947744,0.060514,0.977187,0.166121,BASLANGIC
0.030838,0.953993,0.170847,0.928003,BASLANGIC
0.988179,0.016281,0.993761,0.097152,BASLANGIC
0.037646,0.959656,0.103591,0.933151,BASLANGIC
0.954812,0.053401,0.979866,0.156767,BASLANGIC
0.023627,0.962469,0.047043,0.874507,BASLANGIC
0.887578,0.117103,0.951324,0.233650,BASLANGIC
0.030066,0.970069,0.083026,0.921349,BASLANGIC
0.980988,0.025285,0.990586,0.114349,BASLANGIC
0.022598,0.979978,0.068431,0.898421,BASLANGIC
0.841151,0.159131,0.933182,0.271253,BASLANGIC
0.026763,0.975924,0.090604,0.928234,BASLANGIC
0.954681,0.053481,0.979970,0.156211,BASLANGIC
0.044350,0.957192,0.133805,0.951975,BASLANGIC
0.963199,0.044116,0.982557,0.147184,BASLANGIC
0.029221,0.970991,0.087952,0.922978,BASLANGIC
0.901907,0.103883,0.957007,0.221243,BASLANGIC
0.018508,0.977028,0.090088,0.897927,BASLANGIC
0.899765,0.106687,0.957674,0.219621,BASLANGIC
0.042825,0.957292,0.127482,0.944781,BASLANGIC
0.982685,0.023407,0.991775,0.107929,BASLANGIC
0.034905,0.966979,0.104669,0.922476,BASLANGIC
0.980075,0.026316,0.990181,0.117137,BASLANGIC
0.038146,0.964919,0.113358,0.940872,BASLANGIC
0.981772,0.024171,0.990978,0.113260,BASLANGIC
0.034245,0.966518,0.102258,0.932958,BASLANGIC
0.936236,0.072096,0.972497,0.180709,BASLANGIC
0.012590,0.984158,0.072312,0.893696,BASLANGIC
0.888080,0.116560,0.951089,0.235263,BASLANGIC
0.041546,0.958010,0.118898,0.933019,BASLANGIC
0.983208,0.022586,0.991331,0.111445,BASLANGIC
0.054350,0.939865,0.146303,0.971433,BASLANGIC
0.959834,0.048616,0.982316,0.147705,BASLANGIC
0.037364,0.962384,0.113142,0.949176,BASLANGIC
0.974476,0.032204,0.988313,0.122024,BASLANGIC
0.100289,0.840555,0.350532,0.906433,BASLANGIC
0.963583,0.044073,0.983439,0.143893,BASLANGIC
0.029386,0.972762,0.082699,0.925657,BASLANGIC
0.978772,0.027574,0.989959,0.115083,BASLANGIC
0.046682,0.941777,0.159212,0.964108,BASLANGIC
0.952623,0.055717,0.979409,0.157800,BASLANGIC
0.016798,0.977266,0.068333,0.877728,BASLANGIC
0.888198,0.116854,0.952029,0.233020,BASLANGIC
0.032446,0.973063,0.091015,0.944356,BASLANGIC
0.976037,0.030673,0.988835,0.120925,BASLANGIC
0.016778,0.967339,0.131682,0.887771,BASLANGIC
0.952237,0.055978,0.978827,0.160487,BASLANGIC
0.051537,0.945819,0.141730,0.967257,BASLANGIC
0.981903,0.023661,0.991063,0.110381,BASLANGIC
0.984385,0.020877,0.992121,0.107067,BASLANGIC
0.008248,0.986203,0.072952,0.867491,BASLANGIC
0.919734,0.088569,0.966186,0.198502,BASLANGIC
0.042707,0.957741,0.116337,0.957589,BASLANGIC
0.928611,0.079004,0.968799,0.190155,BASLANGIC
0.051911,0.945931,0.138653,0.964781,BASLANGIC
0.985691,0.019651,0.992788,0.103313,BASLANGIC
0.029860,0.974522,0.094027,0.938912,BASLANGIC
0.966946,0.041275,0.984726,0.139751,BASLANGIC
0.013318,0.990059,0.079648,0.906938,BASLANGIC
0.940709,0.067221,0.973921,0.174374,BASLANGIC
0.037118,0.963991,0.103180,0.933235,BASLANGIC
0.975386,0.031511,0.988764,0.120871,BASLANGIC
0.037631,0.965576,0.105806,0.935902,BASLANGIC
0.985038,0.020135,0.992526,0.104364,BASLANGIC
0.047759,0.950383,0.159401,0.948352,BASLANGIC
0.986869,0.018066,0.992788,0.104883,BASLANGIC
0.009369,0.993598,0.027954,0.865216,BASLANGIC
0.950820,0.058082,0.979382,0.157998,BASLANGIC
0.976817,0.030034,0.989097,0.121094,BASLANGIC
0.047767,0.950036,0.141795,0.950026,BASLANGIC
0.960997,0.047379,0.983008,0.145943,BASLANGIC
0.980336,0.025903,0.990632,0.113066,BASLANGIC
0.035723,0.961952,0.097496,0.934244,BASLANGIC
0.966816,0.041382,0.985118,0.138628,BASLANGIC
0.032585,0.971245,0.095405,0.927989,BASLANGIC
0.977990,0.028469,0.989417,0.118629,BASLANGIC
0.028424,0.970465,0.074304,0.912292,BASLANGIC
0.913179,0.094478,0.964096,0.203827,BASLANGIC
0.036517,0.963673,0.104264,0.927530,BASLANGIC
0.902766,0.104294,0.958262,0.219271,BASLANGIC
0.015720,0.986659,0.053817,0.891058,BASLANGIC
0.950308,0.058418,0.978559,0.161293,BASLANGIC
0.885722,0.118909,0.951592,0.232013,BASLANGIC
0.029157,0.973065,0.099515,0.930816,BASLANGIC
0.954164,0.054578,0.979722,0.158155,BASLANGIC
0.047302,0.947528,0.130258,0.947939,BASLANGIC
0.948770,0.059736,0.977174,0.167132,BASLANGIC
0.969929,0.037885,0.986118,0.134838,BASLANGIC
0.041247,0.959340,0.113900,0.947370,BASLANGIC
0.974217,0.032524,0.987529,0.127486,BASLANGIC
0.047380,0.949967,0.136974,0.960432,BASLANGIC
0.951593,0.057091,0.978886,0.160116,BASLANGIC
0.024766,0.973368,0.089768,0.923557,BASLANGIC
0.923157,0.084522,0.967212,0.195096,BASLANGIC
0.023010,0.983852,0.060612,0.923696,BASLANGIC
0.982816,0.022963,0.991468,0.110587,BASLANGIC
0.039775,0.960248,0.106949,0.937280,BASLANGIC
0.973695,0.033505,0.988065,0.124722,BASLANGIC
0.030155,0.971215,0.097209,0.905456,BASLANGIC
0.972007,0.035052,0.987366,0.126841,BASLANGIC
0.021586,0.968974,0.156376,0.907197,BASLANGIC
0.970449,0.036811,0.986823,0.129704,BASLANGIC
0.040448,0.955676,0.109660,0.933957,BASLANGIC
0.958932,0.049169,0.982035,0.148738,BASLANGIC
0.028541,0.967305,0.093210,0.910226,BASLANGIC
0.926071,0.081785,0.968283,0.192293,BASLANGIC
0.035282,0.963719,0.113318,0.909841,BASLANGIC
0.909826,0.095943,0.959666,0.215241,BASLANGIC
0.055057,0.936880,0.147015,0.961369,BASLANGIC
0.973825,0.033371,0.987457,0.128763,BASLANGIC
0.051007,0.934167,0.173473,0.980863,BASLANGIC
0.979032,0.027411,0.990096,0.115021,BASLANGIC
0.022603,0.974423,0.054595,0.900074,BASLANGIC
0.955450,0.053302,0.980558,0.155286,BASLANGIC
0.040113,0.957095,0.111104,0.930001,BASLANGIC
0.948765,0.060206,0.978363,0.161626,BASLANGIC
0.065332,0.927137,0.166999,0.985117,BASLANGIC
0.973826,0.033208,0.987529,0.129108,BASLANGIC
0.028932,0.972521,0.075892,0.923897,BASLANGIC
0.978382,0.027919,0.989554,0.118734,BASLANGIC
0.022433,0.975975,0.063689,0.899842,BASLANGIC
0.966688,0.041176,0.985576,0.135076,BASLANGIC
0.051355,0.945893,0.136856,0.960442,BASLANGIC
0.974997,0.031563,0.987973,0.124712,BASLANGIC
0.028332,0.972213,0.082085,0.917149,BASLANGIC
0.979685,0.026505,0.990175,0.114494,BASLANGIC
0.038461,0.961520,0.126221,0.928859,BASLANGIC
0.992374,0.010470,0.995558,0.086420,BASLANGIC
0.065080,0.927636,0.170239,0.981195,BASLANGIC
0.956875,0.050745,0.980826,0.151652,BASLANGIC
0.028671,0.972653,0.084698,0.912745,BASLANGIC
0.960737,0.048064,0.982962,0.146690,BASLANGIC
0.071326,0.918155,0.179927,0.991927,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.063551,0.930788,0.175870,0.976276,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.030947,0.973556,0.088056,0.938800,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.035978,0.966171,0.096189,0.949498,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.050936,0.945905,0.135929,0.974524,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.049803,0.943728,0.133113,0.968916,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.046599,0.933077,0.205556,0.975254,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.110624,0.828295,0.378310,0.891369,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.121610,0.816705,0.395726,0.896361,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.050313,0.947108,0.139077,0.968920,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.027670,0.975468,0.072965,0.928543,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.030847,0.973683,0.081386,0.944481,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.039294,0.962318,0.108282,0.958179,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.073081,0.914965,0.183377,0.984783,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.065649,0.927085,0.171598,0.985476,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.049005,0.945610,0.150843,0.954970,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.046953,0.931391,0.206934,0.954872,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.038131,0.959646,0.118055,0.946323,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.061630,0.928522,0.160897,0.985544,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.052400,0.914934,0.243949,0.962763,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.051279,0.944934,0.143735,0.964717,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.022321,0.984989,0.067144,0.931146,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.043758,0.953488,0.122562,0.958664,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.036085,0.963676,0.097280,0.939396,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.039246,0.961729,0.107341,0.951347,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.042982,0.955029,0.131519,0.939683,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.022607,0.973708,0.102696,0.926441,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.035175,0.964685,0.124477,0.930865,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.027430,0.961459,0.148315,0.930038,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.033211,0.964015,0.090369,0.925146,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.042394,0.957900,0.115971,0.962399,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.039003,0.958703,0.103108,0.943191,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.033582,0.968031,0.091518,0.923004,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.062720,0.928412,0.162269,0.982637,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.044758,0.948035,0.122425,0.952202,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.031843,0.969513,0.098816,0.924702,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.051094,0.937591,0.191745,0.948354,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.033775,0.970124,0.097019,0.944713,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.036095,0.960873,0.140658,0.938757,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.048375,0.946323,0.148236,0.960063,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.039479,0.959973,0.106374,0.953130,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.044581,0.950138,0.160348,0.954865,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.046177,0.948938,0.140097,0.958320,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.042050,0.958018,0.116807,0.954547,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.034282,0.963777,0.123686,0.939585,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.044725,0.953385,0.132649,0.956805,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.031526,0.974466,0.094504,0.941985,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.032172,0.968640,0.090976,0.939368,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.047585,0.946349,0.171578,0.949925,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.074600,0.913272,0.195907,0.980943,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.073082,0.915345,0.192268,0.978221,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.042764,0.942153,0.197069,0.944742,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.068688,0.921551,0.181469,0.981597,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.082048,0.902974,0.239206,0.967860,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.035994,0.968045,0.104767,0.945699,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.088842,0.894157,0.241414,0.977057,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.045427,0.950226,0.124744,0.946992,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.034545,0.958207,0.148890,0.931777,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.045008,0.950642,0.119734,0.944374,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.052955,0.940692,0.151980,0.969652,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.043176,0.956319,0.118584,0.955409,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.057581,0.907660,0.252912,0.964958,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.060198,0.904619,0.262822,0.968290,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.033913,0.964978,0.129219,0.943852,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.048860,0.945730,0.125979,0.969858,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.081538,0.903891,0.231380,0.973336,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.081214,0.904449,0.231602,0.972389,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.040427,0.957359,0.115703,0.942514,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.041599,0.959214,0.117441,0.948804,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.057800,0.937632,0.157605,0.959233,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.030710,0.971225,0.080426,0.941390,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.020540,0.969236,0.123601,0.911768,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.051674,0.943364,0.145225,0.965164,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.054037,0.940785,0.151313,0.965663,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.051736,0.937059,0.139175,0.974909,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.045335,0.951236,0.127318,0.970389,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.046005,0.953424,0.128991,0.953212,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.032169,0.972088,0.098829,0.939304,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.037651,0.963301,0.104251,0.940940,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.032572,0.970869,0.090140,0.942568,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.042222,0.956421,0.120531,0.941980,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.062838,0.927820,0.167704,0.989760,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.051403,0.945010,0.142298,0.973202,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.059269,0.932082,0.155501,0.986957,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.053221,0.939562,0.139770,0.975648,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.054431,0.937831,0.168599,0.959331,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.030860,0.950075,0.186225,0.932773,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.041122,0.956705,0.112874,0.945139,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.056494,0.935966,0.153711,0.968825,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.055937,0.939068,0.167129,0.959432,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.057466,0.936615,0.156997,0.957149,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.047133,0.952870,0.137732,0.968131,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.039998,0.960302,0.108360,0.954523,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.055253,0.940213,0.143827,0.976817,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.055469,0.938027,0.140436,0.982774,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.068461,0.923121,0.182011,0.974352,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.065152,0.927532,0.176994,0.971971,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.045307,0.952235,0.122830,0.948232,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.046614,0.952346,0.130487,0.965849,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.055888,0.934455,0.152404,0.967332,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.034785,0.967506,0.103474,0.934922,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.028959,0.974193,0.077715,0.928716,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.051157,0.946709,0.145382,0.960077,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.070085,0.920530,0.178830,0.976245,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.039687,0.954144,0.108732,0.924632,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.048954,0.948827,0.137666,0.961990,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.020646,0.981008,0.052726,0.902432,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.064884,0.926419,0.176125,0.966577,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.044768,0.953633,0.126887,0.949688,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.026744,0.977355,0.073377,0.920588,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.037120,0.964150,0.101625,0.933866,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.037049,0.967693,0.107948,0.947536,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.062871,0.926302,0.160329,0.987371,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.076523,0.895803,0.243368,1.000000,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.061010,0.930465,0.162445,0.983866,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.058853,0.934626,0.155926,0.976724,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.045881,0.950101,0.131721,0.961076,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.025550,0.963731,0.151660,0.924445,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.032142,0.969196,0.082862,0.936646,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.030505,0.969716,0.083862,0.926455,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.039540,0.959759,0.108144,0.943717,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.036262,0.963315,0.125450,0.933261,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.043104,0.954849,0.133590,0.940207,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.055988,0.940850,0.151901,0.968476,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.023628,0.974785,0.107837,0.927479,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.040304,0.959358,0.111979,0.961222,NORMAL
1.000000,0.000000,1.000000,0.000000,NORMAL
0.839212,0.163452,0.929556,0.280695,TUMORLU
0.033539,0.971361,0.090852,0.945297,TUMORLU
0.835172,0.168820,0.930419,0.279662,TUMORLU
0.027154,0.974283,0.080988,0.896053,TUMORLU
