@RELATION GLCM_LBP

@ATTRIBUTE glcm_contrast NUMERIC
@ATTRIBUTE glcm_dissimilarity NUMERIC
@ATTRIBUTE glcm_homogeneity NUMERIC
@ATTRIBUTE glcm_energy NUMERIC
@ATTRIBUTE glcm_correlation NUMERIC
@ATTRIBUTE glcm_ASM NUMERIC
@ATTRIBUTE lbp_energy NUMERIC
@ATTRIBUTE lbp_entropy NUMERIC
@ATTRIBUTE lbp_mean NUMERIC
@ATTRIBUTE lbp_std NUMERIC
@ATTRIBUTE class {BASLANGIC,NORMAL,TUMORLU}

@DATA
0.234610,0.909550,0.102888,0.010991,0.817883,0.002149,0.027302,0.975872,0.083098,0.931202,BASLANGIC
0.206256,0.091230,0.990210,0.966278,0.740923,0.939789,0.966818,0.040648,0.985249,0.134533,BASLANGIC
0.133922,0.611901,0.331557,0.082540,0.932358,0.021012,0.033653,0.962547,0.117199,0.941196,BASLANGIC
0.102841,0.052197,0.992961,0.988151,0.591444,0.978633,0.982164,0.023546,0.990710,0.114317,BASLANGIC
0.249002,0.720933,0.308807,0.066649,0.842633,0.016078,0.030323,0.963191,0.142860,0.934149,BASLANGIC
0.121753,0.059980,0.991904,0.986540,0.578468,0.975745,0.979683,0.027109,0.989750,0.121481,BASLANGIC
0.150816,0.620522,0.354111,0.174401,0.868283,0.057315,0.048201,0.921765,0.234842,0.947734,BASLANGIC
0.159144,0.073072,0.991726,0.977926,0.689940,0.960378,0.973696,0.033016,0.987875,0.124735,BASLANGIC
0.212505,0.734892,0.286361,0.070359,0.878030,0.017139,0.017891,0.981108,0.098495,0.906775,BASLANGIC
0.324617,0.150122,0.981917,0.923335,0.818937,0.865790,0.942117,0.065673,0.974502,0.173338,BASLANGIC
0.088528,0.039997,0.995535,0.992712,0.443920,0.986830,0.987917,0.016553,0.993624,0.097200,BASLANGIC
0.181818,0.789850,0.173781,0.016513,0.882898,0.003310,0.023495,0.977007,0.089448,0.921952,BASLANGIC
0.170387,0.074773,0.992038,0.976879,0.685200,0.958517,0.973956,0.032772,0.988019,0.123071,BASLANGIC
0.125717,0.622367,0.311367,0.075623,0.744178,0.018945,0.030820,0.969836,0.100867,0.918810,BASLANGIC
0.320851,0.143067,0.984264,0.930513,0.804387,0.877950,0.943513,0.065249,0.976279,0.167316,BASLANGIC
0.160581,0.679253,0.296952,0.109197,0.835955,0.030128,0.041051,0.955798,0.148563,0.952169,BASLANGIC
0.137645,0.064490,0.992013,0.982727,0.645116,0.968929,0.976428,0.030315,0.989025,0.120307,BASLANGIC
0.178481,0.743383,0.222420,0.042610,0.893840,0.009430,0.034986,0.968663,0.110614,0.949468,BASLANGIC
0.207931,0.100017,0.987445,0.960083,0.773860,0.928929,0.959706,0.048685,0.982387,0.147860,BASLANGIC
0.066567,0.031745,0.995957,0.995285,0.282254,0.991471,0.992112,0.010831,0.995251,0.090462,BASLANGIC
0.143542,0.621392,0.322853,0.054550,0.937481,0.012603,0.022659,0.978291,0.062500,0.891640,BASLANGIC
0.269304,0.126534,0.983791,0.938392,0.812697,0.891395,0.947744,0.060514,0.977187,0.166121,BASLANGIC
0.158503,0.566199,0.394653,0.167637,0.917741,0.054164,0.030838,0.953993,0.170847,0.928003,BASLANGIC
0.086863,0.040673,0.995223,0.992762,0.444790,0.986921,0.988179,0.016281,0.993761,0.097152,BASLANGIC
0.113516,0.623486,0.278064,0.035181,0.856332,0.007687,0.037646,0.959656,0.103591,0.933151,BASLANGIC
0.232924,0.114171,0.985376,0.948797,0.804004,0.909305,0.954812,0.053401,0.979866,0.156767,BASLANGIC
0.114221,0.597080,0.321223,0.036473,0.945337,0.008028,0.023627,0.962469,0.047043,0.874507,BASLANGIC
0.601973,0.280214,0.965376,0.779743,0.877271,0.640129,0.887578,0.117103,0.951324,0.233650,BASLANGIC
0.104203,0.555550,0.357804,0.058696,0.826931,0.013933,0.030066,0.970069,0.083026,0.921349,BASLANGIC
0.121241,0.056439,0.993018,0.987247,0.569938,0.977012,0.980988,0.025285,0.990586,0.114349,BASLANGIC
0.091276,0.517083,0.376475,0.064532,0.917349,0.015434,0.022598,0.979978,0.068431,0.898421,BASLANGIC
0.791204,0.375606,0.952740,0.660810,0.888991,0.478593,0.841151,0.159131,0.933182,0.271253,BASLANGIC
0.180644,0.744020,0.232212,0.035150,0.823604,0.007622,0.026763,0.975924,0.090604,0.928234,BASLANGIC
0.236906,0.113595,0.985740,0.949801,0.797306,0.911041,0.954681,0.053481,0.979970,0.156211,BASLANGIC
0.197395,0.777968,0.214359,0.064855,0.856809,0.015562,0.044350,0.957192,0.133805,0.951975,BASLANGIC
0.189863,0.096777,0.986876,0.961939,0.782908,0.932175,0.963199,0.044116,0.982557,0.147184,BASLANGIC
0.195079,0.773013,0.209923,0.028142,0.867687,0.005931,0.029221,0.970991,0.087952,0.922978,BASLANGIC
0.518982,0.242628,0.969362,0.807523,0.880773,0.681169,0.901907,0.103883,0.957007,0.221243,BASLANGIC
0.193048,0.767907,0.222854,0.054169,0.923010,0.012470,0.018508,0.977028,0.090088,0.897927,BASLANGIC
0.514935,0.241498,0.970343,0.796043,0.888035,0.664056,0.899765,0.106687,0.957674,0.219621,BASLANGIC
0.115265,0.583074,0.341879,0.074006,0.819607,0.018317,0.042825,0.957292,0.127482,0.944781,BASLANGIC
0.123215,0.054888,0.993919,0.988549,0.521492,0.979348,0.982685,0.023407,0.991775,0.107929,BASLANGIC
0.135977,0.616083,0.324792,0.087626,0.720749,0.022715,0.034905,0.966979,0.104669,0.922476,BASLANGIC
0.124699,0.058732,0.992567,0.986836,0.561072,0.976275,0.980075,0.026316,0.990181,0.117137,BASLANGIC
0.124695,0.597810,0.343180,0.087784,0.785986,0.022763,0.038146,0.964919,0.113358,0.940872,BASLANGIC
0.103795,0.051371,0.992921,0.988168,0.581036,0.978663,0.981772,0.024171,0.990978,0.113260,BASLANGIC
0.198638,0.808141,0.184944,0.035109,0.890257,0.007554,0.034245,0.966518,0.102258,0.932958,BASLANGIC
0.326901,0.154089,0.980541,0.908760,0.846946,0.841355,0.936236,0.072096,0.972497,0.180709,BASLANGIC
0.135667,0.660539,0.264709,0.028407,0.908951,0.005930,0.012590,0.984158,0.072312,0.893696,BASLANGIC
0.530680,0.265888,0.963411,0.763900,0.897850,0.617280,0.888080,0.116560,0.951089,0.235263,BASLANGIC
0.151953,0.679708,0.271964,0.050119,0.899250,0.011416,0.041546,0.958010,0.118898,0.933019,BASLANGIC
0.094740,0.050129,0.993021,0.989074,0.579992,0.980289,0.983208,0.022586,0.991331,0.111445,BASLANGIC
0.249076,0.953297,0.067896,0.011187,0.722415,0.002288,0.054350,0.939865,0.146303,0.971433,BASLANGIC
0.230341,0.105692,0.987571,0.957380,0.769008,0.924209,0.959834,0.048616,0.982316,0.147705,BASLANGIC
0.217965,0.839521,0.159627,0.046301,0.617384,0.010591,0.037364,0.962384,0.113142,0.949176,BASLANGIC
0.158501,0.070676,0.992256,0.978590,0.682541,0.961559,0.974476,0.032204,0.988313,0.122024,BASLANGIC
0.109477,0.512483,0.447498,0.362373,0.782388,0.174541,0.100289,0.840555,0.350532,0.906433,BASLANGIC
0.190463,0.093642,0.987769,0.964031,0.771805,0.935843,0.963583,0.044073,0.983439,0.143893,BASLANGIC
0.219128,0.828445,0.173936,0.018476,0.833851,0.003739,0.029386,0.972762,0.082699,0.925657,BASLANGIC
0.135847,0.061850,0.992992,0.983874,0.631328,0.970975,0.978772,0.027574,0.989959,0.115083,BASLANGIC
0.099294,0.570688,0.324270,0.083283,0.754192,0.021366,0.046682,0.941777,0.159212,0.964108,BASLANGIC
0.257827,0.120579,0.985573,0.943688,0.805691,0.900488,0.952623,0.055717,0.979409,0.157800,BASLANGIC
0.162563,0.645026,0.339093,0.092655,0.927690,0.024271,0.016798,0.977266,0.068333,0.877728,BASLANGIC
0.531764,0.265122,0.964310,0.768992,0.895880,0.624579,0.888198,0.116854,0.952029,0.233020,BASLANGIC
0.174313,0.791158,0.157904,0.019605,0.860590,0.003978,0.032446,0.973063,0.091015,0.944356,BASLANGIC
0.149465,0.066355,0.992644,0.981135,0.659405,0.966088,0.976037,0.030673,0.988835,0.120925,BASLANGIC
0.106628,0.508378,0.429497,0.150042,0.884124,0.046343,0.016778,0.967339,0.131682,0.887771,BASLANGIC
0.253185,0.121257,0.984561,0.942727,0.811168,0.898835,0.952237,0.055978,0.978827,0.160487,BASLANGIC
0.192871,0.774047,0.225938,0.068230,0.890990,0.016527,0.051537,0.945819,0.141730,0.967257,BASLANGIC
0.110063,0.051723,0.993548,0.987692,0.586940,0.977810,0.981903,0.023661,0.991063,0.110381,BASLANGIC
0.097247,0.047129,0.993768,0.990121,0.538565,0.982169,0.984385,0.020877,0.992121,0.107067,BASLANGIC
0.212830,0.722516,0.306299,0.076081,0.796374,0.018917,0.008248,0.986203,0.072952,0.867491,BASLANGIC
0.412595,0.193435,0.976546,0.881900,0.849406,0.797231,0.919734,0.088569,0.966186,0.198502,BASLANGIC
0.145236,0.703745,0.231174,0.045926,0.861957,0.010312,0.042707,0.957741,0.116337,0.957589,BASLANGIC
0.391134,0.182347,0.978128,0.880148,0.859803,0.794394,0.928611,0.079004,0.968799,0.190155,BASLANGIC
0.188880,0.818241,0.146404,0.015399,0.876248,0.003074,0.051911,0.945931,0.138653,0.964781,BASLANGIC
0.105182,0.047808,0.994610,0.991031,0.466394,0.983805,0.985691,0.019651,0.992788,0.103313,BASLANGIC
0.195383,0.807676,0.170426,0.024642,0.822820,0.005121,0.029860,0.974522,0.094027,0.938912,BASLANGIC
0.196529,0.093062,0.988401,0.974530,0.654892,0.954353,0.966946,0.041275,0.984726,0.139751,BASLANGIC
0.187611,0.719639,0.270010,0.094905,0.867744,0.025043,0.013318,0.990059,0.079648,0.906938,BASLANGIC
0.358654,0.159285,0.982691,0.909821,0.831961,0.843123,0.940709,0.067221,0.973921,0.174374,BASLANGIC
0.205600,0.823500,0.163287,0.021930,0.862918,0.004474,0.037118,0.963991,0.103180,0.933235,BASLANGIC
0.147803,0.067805,0.992003,0.980486,0.670117,0.964933,0.975386,0.031511,0.988764,0.120871,BASLANGIC
0.144339,0.650196,0.292474,0.046034,0.939292,0.010308,0.037631,0.965576,0.105806,0.935902,BASLANGIC
0.104278,0.047007,0.994691,0.990364,0.519447,0.982606,0.985038,0.020135,0.992526,0.104364,BASLANGIC
0.116938,0.570798,0.369481,0.094422,0.759411,0.025003,0.047759,0.950383,0.159401,0.948352,BASLANGIC
0.093663,0.044543,0.994317,0.991920,0.444599,0.985405,0.986869,0.018066,0.992788,0.104883,BASLANGIC
0.169393,0.765811,0.166315,0.007310,0.896999,0.001370,0.009369,0.993598,0.027954,0.865216,BASLANGIC
0.268457,0.122081,0.986069,0.941549,0.806144,0.896809,0.950820,0.058082,0.979382,0.157998,BASLANGIC
0.136550,0.065187,0.991917,0.982709,0.646224,0.968895,0.976817,0.030034,0.989097,0.121094,BASLANGIC
0.155261,0.681923,0.276628,0.064827,0.912888,0.015524,0.047767,0.950036,0.141795,0.950026,BASLANGIC
0.205730,0.095128,0.988292,0.967559,0.724836,0.942042,0.960997,0.047379,0.983008,0.145943,BASLANGIC
0.124921,0.056659,0.993681,0.986313,0.600226,0.975339,0.980336,0.025903,0.990632,0.113066,BASLANGIC
0.099403,0.577467,0.315820,0.043792,0.866353,0.009863,0.035723,0.961952,0.097496,0.934244,BASLANGIC
0.180765,0.086403,0.989094,0.971805,0.721718,0.949530,0.966816,0.041382,0.985118,0.138628,BASLANGIC
0.187806,0.749547,0.234606,0.049191,0.865909,0.011161,0.032585,0.971245,0.095405,0.927989,BASLANGIC
0.137826,0.062551,0.992372,0.983290,0.631112,0.969933,0.977990,0.028469,0.989417,0.118629,BASLANGIC
0.130282,0.658674,0.260512,0.040083,0.925294,0.008775,0.028424,0.970465,0.074304,0.912292,BASLANGIC
0.446415,0.202722,0.976553,0.850397,0.870824,0.746973,0.913179,0.094478,0.964096,0.203827,BASLANGIC
0.185708,0.739158,0.230317,0.034144,0.850938,0.007350,0.036517,0.963673,0.104264,0.927530,BASLANGIC
0.471383,0.232607,0.968642,0.816006,0.886347,0.693951,0.902766,0.104294,0.958262,0.219271,BASLANGIC
0.223686,0.820604,0.183791,0.019243,0.882513,0.003861,0.015720,0.986659,0.053817,0.891058,BASLANGIC
0.274444,0.125890,0.985214,0.941232,0.802091,0.896265,0.950308,0.058418,0.978559,0.161293,BASLANGIC
0.589820,0.268269,0.969329,0.744054,0.895898,0.589239,0.885722,0.118909,0.951592,0.232013,BASLANGIC
0.181758,0.754297,0.224469,0.033738,0.819908,0.007288,0.029157,0.973065,0.099515,0.930816,BASLANGIC
0.234577,0.115669,0.984949,0.949377,0.801161,0.910307,0.954164,0.054578,0.979722,0.158155,BASLANGIC
0.118924,0.557931,0.390571,0.116293,0.942020,0.032767,0.047302,0.947528,0.130258,0.947939,BASLANGIC
0.246925,0.124689,0.983238,0.944628,0.806468,0.902107,0.948770,0.059736,0.977174,0.167132,BASLANGIC
0.172538,0.081278,0.989901,0.976031,0.685070,0.957013,0.969929,0.037885,0.986118,0.134838,BASLANGIC
0.159734,0.727604,0.219340,0.025565,0.887265,0.005314,0.041247,0.959340,0.113900,0.947370,BASLANGIC
0.140596,0.068884,0.990872,0.980426,0.674858,0.964824,0.974217,0.032524,0.987529,0.127486,BASLANGIC
0.144562,0.614071,0.327521,0.074818,0.751008,0.018681,0.047380,0.949967,0.136974,0.960432,BASLANGIC
0.258746,0.122450,0.984960,0.942595,0.807403,0.898607,0.951593,0.057091,0.978886,0.160116,BASLANGIC
0.181444,0.769247,0.195179,0.021916,0.865466,0.004495,0.024766,0.973368,0.089768,0.923557,BASLANGIC
0.377182,0.184436,0.976291,0.876339,0.867577,0.788243,0.923157,0.084522,0.967212,0.195096,BASLANGIC
0.198014,0.816062,0.158344,0.013389,0.852340,0.002646,0.023010,0.983852,0.060612,0.923696,BASLANGIC
0.105608,0.051373,0.993574,0.988615,0.577953,0.979465,0.982816,0.022963,0.991468,0.110587,BASLANGIC
0.160757,0.732211,0.218225,0.019923,0.884225,0.004037,0.039775,0.960248,0.106949,0.937280,BASLANGIC
0.153322,0.070516,0.991686,0.978721,0.687066,0.961790,0.973695,0.033505,0.988065,0.124722,BASLANGIC
0.148347,0.667880,0.287986,0.063793,0.839583,0.015261,0.030155,0.971215,0.097209,0.905456,BASLANGIC
0.170657,0.076407,0.991537,0.975624,0.702113,0.956292,0.972007,0.035052,0.987366,0.126841,BASLANGIC
0.139050,0.659522,0.279928,0.096415,0.921303,0.025554,0.021586,0.968974,0.156376,0.907197,BASLANGIC
0.170843,0.078477,0.990903,0.974267,0.713088,0.953887,0.970449,0.036811,0.986823,0.129704,BASLANGIC
0.105059,0.590166,0.308077,0.045863,0.851587,0.010378,0.040448,0.955676,0.109660,0.933957,BASLANGIC
0.224875,0.104488,0.987535,0.962644,0.740446,0.933411,0.958932,0.049169,0.982035,0.148738,BASLANGIC
0.186081,0.720143,0.268505,0.062583,0.879909,0.014864,0.028541,0.967305,0.093210,0.910226,BASLANGIC
0.393321,0.180378,0.978685,0.880143,0.859126,0.794385,0.926071,0.081785,0.968283,0.192293,BASLANGIC
0.118397,0.514237,0.434454,0.174063,0.878240,0.057217,0.035282,0.963719,0.113318,0.909841,BASLANGIC
0.445625,0.221658,0.969731,0.841556,0.876468,0.733160,0.909826,0.095943,0.959666,0.215241,BASLANGIC
0.119252,0.526323,0.415733,0.135987,0.951258,0.040542,0.055057,0.936880,0.147015,0.961369,BASLANGIC
0.156877,0.074379,0.990584,0.980168,0.643937,0.964365,0.973825,0.033371,0.987457,0.128763,BASLANGIC
0.105368,0.589386,0.307886,0.080293,0.822210,0.020370,0.051007,0.934167,0.173473,0.980863,BASLANGIC
