@RELATION GLCM_PHOG

@ATTRIBUTE glcm_contrast NUMERIC
@ATTRIBUTE glcm_dissimilarity NUMERIC
@ATTRIBUTE glcm_homogeneity NUMERIC
@ATTRIBUTE glcm_energy NUMERIC
@ATTRIBUTE glcm_correlation NUMERIC
@ATTRIBUTE glcm_ASM NUMERIC
@ATTRIBUTE phog_L0_mean NUMERIC
@ATTRIBUTE phog_L1_mean NUMERIC
@ATTRIBUTE phog_L1_std NUMERIC
@ATTRIBUTE class {BASLANGIC,NORMAL,TUMORLU}

@DATA
0.168115,0.081073,0.989410,0.973864,0.718300,0.953172,0.132519,0.065992,0.169203,BASLANGIC
0.190391,0.817019,0.146938,0.009456,0.837456,0.001926,0.893880,0.899245,0.162935,BASLANGIC
0.099400,0.045488,0.994544,0.990517,0.521700,0.982881,0.097219,0.104389,0.575270,BASLANGIC
0.083325,0.040450,0.994945,0.992333,0.481389,0.986148,0.072073,0.049335,0.271880,BASLANGIC
0.197023,0.794321,0.191145,0.059476,0.742836,0.014018,0.878300,0.891552,0.327803,BASLANGIC
0.405403,0.199847,0.973870,0.858278,0.875482,0.759396,0.214222,0.161805,0.534061,BASLANGIC
0.249950,0.894765,0.132961,0.009329,0.803134,0.001868,0.894011,0.888200,0.186065,BASLANGIC
0.147404,0.067367,0.992221,0.981099,0.662049,0.966023,0.110959,0.088558,0.330205,BASLANGIC
0.244424,0.883852,0.136406,0.037464,0.628242,0.008380,0.930896,0.923934,0.096564,BASLANGIC
0.215666,0.096941,0.989153,0.962250,0.757968,0.932721,0.148258,0.102146,0.357904,BASLANGIC
0.173095,0.682308,0.315292,0.188576,0.838310,0.064142,0.936596,0.913353,0.253437,BASLANGIC
0.086612,0.039907,0.994851,0.992829,0.435879,0.987042,0.070485,0.095984,0.528955,BASLANGIC
0.147640,0.664404,0.297185,0.099122,0.891016,0.026499,0.945723,0.930735,0.099741,BASLANGIC
0.142269,0.064340,0.992278,0.982099,0.645314,0.967807,0.092148,0.088781,0.489257,BASLANGIC
0.192252,0.825487,0.147736,0.014481,0.836872,0.002950,0.943691,0.936322,0.179898,BASLANGIC
0.086263,0.042170,0.994346,0.991663,0.501202,0.984942,0.060396,0.071829,0.395840,BASLANGIC
0.117481,0.598947,0.323044,0.091535,0.718470,0.024151,0.937846,0.938834,0.107782,BASLANGIC
0.515594,0.237214,0.971624,0.865539,0.832329,0.770932,0.214556,0.191470,0.623629,BASLANGIC
0.185450,0.770384,0.208841,0.031267,0.859879,0.006644,0.928300,0.909859,0.152719,BASLANGIC
0.282872,0.134541,0.982024,0.930448,0.824740,0.877840,0.121940,0.134564,0.741562,BASLANGIC
0.250194,0.801948,0.211366,0.024469,0.863765,0.005094,0.901509,0.894575,0.138981,BASLANGIC
0.290313,0.140268,0.981556,0.937601,0.799121,0.890041,0.157693,0.163261,0.672543,BASLANGIC
0.194168,0.819476,0.162352,0.033662,0.822528,0.007253,0.962733,0.951156,0.118324,BASLANGIC
0.132164,0.059461,0.993377,0.985851,0.591871,0.974512,0.080981,0.110278,0.607723,BASLANGIC
0.177767,0.688755,0.294104,0.084432,0.808300,0.021584,0.865506,0.886691,0.166220,BASLANGIC
0.371185,0.177633,0.977180,0.884371,0.861463,0.801241,0.213408,0.165377,0.068450,BASLANGIC
0.067847,0.398020,0.526460,0.239658,0.929402,0.091494,0.879261,0.873219,0.326669,BASLANGIC
0.163384,0.073447,0.991466,0.978922,0.663266,0.962147,0.102756,0.093057,0.512824,BASLANGIC
0.138638,0.612348,0.345279,0.148034,0.895855,0.045472,0.940332,0.926544,0.160877,BASLANGIC
0.171442,0.080874,0.989990,0.972366,0.730395,0.950523,0.095651,0.089717,0.494416,BASLANGIC
0.233036,0.874665,0.152029,0.024997,0.881173,0.005170,0.934488,0.931491,0.151807,BASLANGIC
0.171152,0.085151,0.988358,0.971845,0.731243,0.949602,0.138388,0.095365,0.322282,BASLANGIC
0.184589,0.730186,0.253880,0.065232,0.666067,0.015792,0.921976,0.912464,0.147972,BASLANGIC
0.187577,0.087290,0.989654,0.971643,0.712991,0.949244,0.124792,0.085029,0.294646,BASLANGIC
0.159093,0.690770,0.274302,0.066790,0.901491,0.016113,0.947808,0.949521,0.146008,BASLANGIC
0.384050,0.179490,0.978174,0.898767,0.837131,0.824803,0.222543,0.175066,0.429800,BASLANGIC
0.103652,0.590266,0.310465,0.058600,0.924682,0.013755,0.970440,0.968516,0.063513,BASLANGIC
0.305792,0.146826,0.980810,0.924070,0.827223,0.867032,0.148181,0.140183,0.772527,BASLANGIC
0.162809,0.703781,0.259878,0.048715,0.867192,0.011071,0.928947,0.931178,0.086578,BASLANGIC
0.104122,0.050072,0.993654,0.988787,0.577270,0.979774,0.059810,0.046874,0.258317,BASLANGIC
0.166704,0.746876,0.201000,0.021704,0.907128,0.004476,0.979846,0.967731,0.063991,BASLANGIC
0.128401,0.064090,0.991458,0.982994,0.661349,0.969405,0.101724,0.080864,0.445626,BASLANGIC
0.250264,0.889162,0.138210,0.014613,0.817562,0.002885,0.903911,0.903499,0.142853,BASLANGIC
0.318636,0.148710,0.981731,0.919960,0.829681,0.860101,0.176560,0.127173,0.700832,BASLANGIC
0.260454,0.915635,0.135904,0.008310,0.833449,0.001672,0.884971,0.869813,0.167712,BASLANGIC
0.109700,0.050879,0.993949,0.988258,0.576213,0.978824,0.071425,0.047337,0.170743,BASLANGIC
0.104285,0.549841,0.353115,0.040891,0.942325,0.008994,0.981646,0.978782,0.109477,BASLANGIC
0.083987,0.039601,0.995063,0.992984,0.424530,0.987321,0.090838,0.123701,0.681696,BASLANGIC
0.135833,0.634239,0.313426,0.113944,0.917094,0.031861,0.928328,0.925501,0.087114,BASLANGIC
0.323507,0.146888,0.983316,0.916916,0.835150,0.854986,0.189072,0.143327,0.385989,BASLANGIC
0.184703,0.691902,0.305184,0.079423,0.920898,0.019929,0.775276,0.801158,0.090762,BASLANGIC
0.671713,0.316187,0.960672,0.708085,0.893300,0.540049,0.329020,0.320065,0.320587,BASLANGIC
0.234610,0.909550,0.102888,0.010991,0.817883,0.002149,0.944377,0.945600,0.100693,BASLANGIC
0.206256,0.091230,0.990210,0.966278,0.740923,0.939789,0.123995,0.096384,0.531159,BASLANGIC
0.133922,0.611901,0.331557,0.082540,0.932358,0.021012,0.913726,0.909070,0.113309,BASLANGIC
0.102841,0.052197,0.992961,0.988151,0.591444,0.978633,0.079588,0.055026,0.209483,BASLANGIC
0.249002,0.720933,0.308807,0.066649,0.842633,0.016078,0.896488,0.890832,0.159621,BASLANGIC
0.121753,0.059980,0.991904,0.986540,0.578468,0.975745,0.087607,0.086135,0.474675,BASLANGIC
0.150816,0.620522,0.354111,0.174401,0.868283,0.057315,0.911755,0.903000,0.254530,BASLANGIC
0.159144,0.073072,0.991726,0.977926,0.689940,0.960378,0.118447,0.092703,0.510873,BASLANGIC
0.212505,0.734892,0.286361,0.070359,0.878030,0.017139,0.914246,0.904197,0.156272,BASLANGIC
0.324617,0.150122,0.981917,0.923335,0.818937,0.865790,0.152725,0.135644,0.747513,BASLANGIC
0.088528,0.039997,0.995535,0.992712,0.443920,0.986830,0.093694,0.127590,0.703128,BASLANGIC
0.181818,0.789850,0.173781,0.016513,0.882898,0.003310,0.950149,0.950402,0.066092,BASLANGIC
0.170387,0.074773,0.992038,0.976879,0.685200,0.958517,0.102106,0.057844,0.184136,BASLANGIC
0.125717,0.622367,0.311367,0.075623,0.744178,0.018945,0.928600,0.927110,0.067271,BASLANGIC
0.320851,0.143067,0.984264,0.930513,0.804387,0.877950,0.176651,0.166375,0.674573,BASLANGIC
0.160581,0.679253,0.296952,0.109197,0.835955,0.030128,0.944384,0.941032,0.077811,BASLANGIC
0.137645,0.064490,0.992013,0.982727,0.645116,0.968929,0.098017,0.080579,0.266289,BASLANGIC
0.178481,0.743383,0.222420,0.042610,0.893840,0.009430,0.968295,0.960617,0.030232,BASLANGIC
0.207931,0.100017,0.987445,0.960083,0.773860,0.928929,0.107737,0.086264,0.475385,BASLANGIC
0.066567,0.031745,0.995957,0.995285,0.282254,0.991471,0.053722,0.073157,0.403159,BASLANGIC
0.143542,0.621392,0.322853,0.054550,0.937481,0.012603,0.924490,0.924226,0.106616,BASLANGIC
0.269304,0.126534,0.983791,0.938392,0.812697,0.891395,0.130927,0.142621,0.785964,BASLANGIC
0.158503,0.566199,0.394653,0.167637,0.917741,0.054164,0.929676,0.916179,0.222350,BASLANGIC
0.086863,0.040673,0.995223,0.992762,0.444790,0.986921,0.065343,0.058406,0.321864,BASLANGIC
0.113516,0.623486,0.278064,0.035181,0.856332,0.007687,0.881111,0.896257,0.071409,BASLANGIC
0.232924,0.114171,0.985376,0.948797,0.804004,0.909305,0.102273,0.127510,0.702686,BASLANGIC
0.114221,0.597080,0.321223,0.036473,0.945337,0.008028,0.771943,0.776207,0.197454,BASLANGIC
0.601973,0.280214,0.965376,0.779743,0.877271,0.640129,0.270198,0.225822,0.102151,BASLANGIC
0.104203,0.555550,0.357804,0.058696,0.826931,0.013933,0.913840,0.902035,0.111446,BASLANGIC
0.121241,0.056439,0.993018,0.987247,0.569938,0.977012,0.076276,0.033432,0.112213,BASLANGIC
0.091276,0.517083,0.376475,0.064532,0.917349,0.015434,0.977641,0.975319,0.086998,BASLANGIC
0.791204,0.375606,0.952740,0.660810,0.888991,0.478593,0.352616,0.368624,0.139860,BASLANGIC
0.180644,0.744020,0.232212,0.035150,0.823604,0.007622,0.936977,0.936001,0.071517,BASLANGIC
0.236906,0.113595,0.985740,0.949801,0.797306,0.911041,0.125969,0.129329,0.712711,BASLANGIC
0.197395,0.777968,0.214359,0.064855,0.856809,0.015562,0.971074,0.957359,0.028574,BASLANGIC
0.189863,0.096777,0.986876,0.961939,0.782908,0.932175,0.097981,0.095991,0.528992,BASLANGIC
0.195079,0.773013,0.209923,0.028142,0.867687,0.005931,0.881434,0.891896,0.124418,BASLANGIC
0.518982,0.242628,0.969362,0.807523,0.880773,0.681169,0.261639,0.225010,0.561248,BASLANGIC
0.193048,0.767907,0.222854,0.054169,0.923010,0.012470,0.848256,0.868391,0.221436,BASLANGIC
0.514935,0.241498,0.970343,0.796043,0.888035,0.664056,0.251008,0.209955,0.443117,BASLANGIC
0.115265,0.583074,0.341879,0.074006,0.819607,0.018317,0.968766,0.966514,0.075198,BASLANGIC
0.123215,0.054888,0.993919,0.988549,0.521492,0.979348,0.095403,0.044124,0.007824,BASLANGIC
0.135977,0.616083,0.324792,0.087626,0.720749,0.022715,0.957061,0.951609,0.116833,BASLANGIC
0.124699,0.058732,0.992567,0.986836,0.561072,0.976275,0.091630,0.084611,0.466276,BASLANGIC
0.124695,0.597810,0.343180,0.087784,0.785986,0.022763,0.942866,0.930450,0.059186,BASLANGIC
0.103795,0.051371,0.992921,0.988168,0.581036,0.978663,0.091571,0.066110,0.234268,BASLANGIC
0.198638,0.808141,0.184944,0.035109,0.890257,0.007554,0.928338,0.921536,0.071799,BASLANGIC
0.326901,0.154089,0.980541,0.908760,0.846946,0.841355,0.172587,0.137871,0.759784,BASLANGIC
0.135667,0.660539,0.264709,0.028407,0.908951,0.005930,0.895981,0.906224,0.176702,BASLANGIC
0.530680,0.265888,0.963411,0.763900,0.897850,0.617280,0.253047,0.209664,0.410611,BASLANGIC
0.151953,0.679708,0.271964,0.050119,0.899250,0.011416,0.927104,0.918539,0.071687,BASLANGIC
0.094740,0.050129,0.993021,0.989074,0.579992,0.980289,0.043875,0.059748,0.329259,BASLANGIC
0.249076,0.953297,0.067896,0.011187,0.722415,0.002288,0.930476,0.929097,0.065871,BASLANGIC
0.230341,0.105692,0.987571,0.957380,0.769008,0.924209,0.146048,0.084339,0.096067,BASLANGIC
0.217965,0.839521,0.159627,0.046301,0.617384,0.010591,0.951910,0.937677,0.067400,BASLANGIC
0.158501,0.070676,0.992256,0.978590,0.682541,0.961559,0.121575,0.109320,0.602447,BASLANGIC
0.109477,0.512483,0.447498,0.362373,0.782388,0.174541,0.868888,0.833148,0.515765,BASLANGIC
0.190463,0.093642,0.987769,0.964031,0.771805,0.935843,0.144123,0.123905,0.682823,BASLANGIC
0.219128,0.828445,0.173936,0.018476,0.833851,0.003739,0.906785,0.891073,0.202337,BASLANGIC
0.135847,0.061850,0.992992,0.983874,0.631328,0.970975,0.092580,0.083088,0.457883,BASLANGIC
0.099294,0.570688,0.324270,0.083283,0.754192,0.021366,0.961431,0.948422,0.119868,BASLANGIC
0.257827,0.120579,0.985573,0.943688,0.805691,0.900488,0.122993,0.121546,0.434313,BASLANGIC
0.162563,0.645026,0.339093,0.092655,0.927690,0.024271,0.842730,0.845660,0.257092,BASLANGIC
0.531764,0.265122,0.964310,0.768992,0.895880,0.624579,0.334663,0.310678,0.163574,BASLANGIC
0.174313,0.791158,0.157904,0.019605,0.860590,0.003978,0.991847,0.987127,0.022359,BASLANGIC
0.149465,0.066355,0.992644,0.981135,0.659405,0.966088,0.112970,0.080529,0.256235,BASLANGIC
0.106628,0.508378,0.429497,0.150042,0.884124,0.046343,0.905505,0.902143,0.138583,BASLANGIC
0.253185,0.121257,0.984561,0.942727,0.811168,0.898835,0.146689,0.098632,0.323984,BASLANGIC
0.192871,0.774047,0.225938,0.068230,0.890990,0.016527,0.962243,0.949850,0.067636,BASLANGIC
0.110063,0.051723,0.993548,0.987692,0.586940,0.977810,0.096863,0.131906,0.726911,BASLANGIC
0.097247,0.047129,0.993768,0.990121,0.538565,0.982169,0.100900,0.100711,0.555000,BASLANGIC
0.212830,0.722516,0.306299,0.076081,0.796374,0.018917,0.883209,0.880632,0.252564,BASLANGIC
0.412595,0.193435,0.976546,0.881900,0.849406,0.797231,0.212247,0.187860,0.600699,BASLANGIC
0.145236,0.703745,0.231174,0.045926,0.861957,0.010312,0.965552,0.966208,0.094136,BASLANGIC
0.391134,0.182347,0.978128,0.880148,0.859803,0.794394,0.129863,0.119469,0.658377,BASLANGIC
0.188880,0.818241,0.146404,0.015399,0.876248,0.003074,0.967024,0.960791,0.069980,BASLANGIC
0.105182,0.047808,0.994610,0.991031,0.466394,0.983805,0.057256,0.067553,0.372273,BASLANGIC
0.195383,0.807676,0.170426,0.024642,0.822820,0.005121,0.948487,0.952144,0.080574,BASLANGIC
0.196529,0.093062,0.988401,0.974530,0.654892,0.954353,0.124432,0.088949,0.329241,BASLANGIC
0.187611,0.719639,0.270010,0.094905,0.867744,0.025043,0.937303,0.932957,0.118553,BASLANGIC
0.358654,0.159285,0.982691,0.909821,0.831961,0.843123,0.135249,0.138000,0.446172,BASLANGIC
0.205600,0.823500,0.163287,0.021930,0.862918,0.004474,0.940470,0.929113,0.188807,BASLANGIC
0.147803,0.067805,0.992003,0.980486,0.670117,0.964933,0.078562,0.106983,0.589566,BASLANGIC
0.144339,0.650196,0.292474,0.046034,0.939292,0.010308,0.965001,0.955565,0.031783,BASLANGIC
0.104278,0.047007,0.994691,0.990364,0.519447,0.982606,0.094217,0.074871,0.412600,BASLANGIC
0.116938,0.570798,0.369481,0.094422,0.759411,0.025003,0.972213,0.965377,0.070770,BASLANGIC
0.093663,0.044543,0.994317,0.991920,0.444599,0.985405,0.081255,0.052204,0.287689,BASLANGIC
0.169393,0.765811,0.166315,0.007310,0.896999,0.001370,0.939948,0.950000,0.084251,BASLANGIC
0.268457,0.122081,0.986069,0.941549,0.806144,0.896809,0.162302,0.134012,0.441443,BASLANGIC
0.136550,0.065187,0.991917,0.982709,0.646224,0.968895,0.111705,0.135315,0.745700,BASLANGIC
0.155261,0.681923,0.276628,0.064827,0.912888,0.015524,0.979753,0.963176,0.037432,BASLANGIC
0.205730,0.095128,0.988292,0.967559,0.724836,0.942042,0.078994,0.107571,0.592809,BASLANGIC
0.124921,0.056659,0.993681,0.986313,0.600226,0.975339,0.099806,0.057555,0.183605,BASLANGIC
0.099403,0.577467,0.315820,0.043792,0.866353,0.009863,0.889933,0.904290,0.135993,BASLANGIC
0.180765,0.086403,0.989094,0.971805,0.721718,0.949530,0.095618,0.118957,0.655553,BASLANGIC
0.187806,0.749547,0.234606,0.049191,0.865909,0.011161,0.960206,0.956599,0.047715,BASLANGIC
0.137826,0.062551,0.992372,0.983290,0.631112,0.969933,0.099856,0.135981,0.749372,BASLANGIC
0.130282,0.658674,0.260512,0.040083,0.925294,0.008775,0.914698,0.912873,0.146601,BASLANGIC
0.446415,0.202722,0.976553,0.850397,0.870824,0.746973,0.219078,0.177988,0.472726,BASLANGIC
0.185708,0.739158,0.230317,0.034144,0.850938,0.007350,0.942835,0.945865,0.134485,BASLANGIC
0.471383,0.232607,0.968642,0.816006,0.886347,0.693951,0.243698,0.203649,0.438799,BASLANGIC
0.223686,0.820604,0.183791,0.019243,0.882513,0.003861,0.888986,0.877021,0.248222,BASLANGIC
0.274444,0.125890,0.985214,0.941232,0.802091,0.896265,0.157705,0.151211,0.833301,BASLANGIC
0.589820,0.268269,0.969329,0.744054,0.895898,0.589239,0.255435,0.250838,0.305286,BASLANGIC
0.181758,0.754297,0.224469,0.033738,0.819908,0.007288,0.933773,0.926720,0.072023,BASLANGIC
0.234577,0.115669,0.984949,0.949377,0.801161,0.910307,0.135771,0.144030,0.793727,BASLANGIC
0.118924,0.557931,0.390571,0.116293,0.942020,0.032767,0.893541,0.891237,0.269499,BASLANGIC
0.246925,0.124689,0.983238,0.944628,0.806468,0.902107,0.105617,0.082437,0.454298,BASLANGIC
0.172538,0.081278,0.989901,0.976031,0.685070,0.957013,0.095030,0.129410,0.713156,BASLANGIC
0.159734,0.727604,0.219340,0.025565,0.887265,0.005314,0.965842,0.958528,0.048957,BASLANGIC
0.140596,0.068884,0.990872,0.980426,0.674858,0.964824,0.065722,0.058486,0.322309,BASLANGIC
0.144562,0.614071,0.327521,0.074818,0.751008,0.018681,0.955387,0.950026,0.040310,BASLANGIC
0.258746,0.122450,0.984960,0.942595,0.807403,0.898607,0.122574,0.122173,0.430562,BASLANGIC
0.181444,0.769247,0.195179,0.021916,0.865466,0.004495,0.891125,0.895230,0.186677,BASLANGIC
0.377182,0.184436,0.976291,0.876339,0.867577,0.788243,0.159530,0.123404,0.441770,BASLANGIC
0.198014,0.816062,0.158344,0.013389,0.852340,0.002646,0.934179,0.919207,0.034935,BASLANGIC
0.105608,0.051373,0.993574,0.988615,0.577953,0.979465,0.056593,0.077067,0.424705,BASLANGIC
0.160757,0.732211,0.218225,0.019923,0.884225,0.004037,0.921124,0.930148,0.161726,BASLANGIC
0.153322,0.070516,0.991686,0.978721,0.687066,0.961790,0.100881,0.066923,0.225323,BASLANGIC
0.148347,0.667880,0.287986,0.063793,0.839583,0.015261,0.944962,0.938178,0.056579,BASLANGIC
0.170657,0.076407,0.991537,0.975624,0.702113,0.956292,0.121802,0.092894,0.511923,BASLANGIC
0.139050,0.659522,0.279928,0.096415,0.921303,0.025554,0.936766,0.920003,0.188687,BASLANGIC
0.170843,0.078477,0.990903,0.974267,0.713088,0.953887,0.125897,0.063987,0.176232,BASLANGIC
0.105059,0.590166,0.308077,0.045863,0.851587,0.010378,0.914544,0.921337,0.200617,BASLANGIC
0.224875,0.104488,0.987535,0.962644,0.740446,0.933411,0.095699,0.130320,0.718172,BASLANGIC
0.186081,0.720143,0.268505,0.062583,0.879909,0.014864,0.897406,0.896243,0.176509,BASLANGIC
0.393321,0.180378,0.978685,0.880143,0.859126,0.794385,0.198819,0.154741,0.625825,BASLANGIC
0.118397,0.514237,0.434454,0.174063,0.878240,0.057217,0.908517,0.899483,0.159994,BASLANGIC
0.445625,0.221658,0.969731,0.841556,0.876468,0.733160,0.188101,0.198128,0.650615,BASLANGIC
0.119252,0.526323,0.415733,0.135987,0.951258,0.040542,0.897533,0.907350,0.183879,BASLANGIC
0.156877,0.074379,0.990584,0.980168,0.643937,0.964365,0.097094,0.069472,0.382847,BASLANGIC
0.105368,0.589386,0.307886,0.080293,0.822210,0.020370,0.974778,0.963937,0.087072,BASLANGIC
0.135142,0.061525,0.993077,0.984572,0.616637,0.972223,0.098241,0.096617,0.532440,BASLANGIC
0.155579,0.705689,0.240040,0.043685,0.823996,0.009858,0.897084,0.895706,0.138577,BASLANGIC
0.242438,0.114067,0.986256,0.954374,0.772278,0.918975,0.170909,0.143473,0.630413,BASLANGIC
0.106189,0.593108,0.311031,0.046097,0.845320,0.010459,0.915502,0.918408,0.248716,BASLANGIC
0.280512,0.127098,0.985452,0.941059,0.797868,0.895968,0.158993,0.133011,0.489261,BASLANGIC
0.226849,0.886175,0.106772,0.020688,0.699077,0.004316,0.958200,0.949945,0.103625,BASLANGIC
0.149841,0.072247,0.990576,0.979405,0.679973,0.963008,0.107207,0.059047,0.325398,BASLANGIC
0.103867,0.569394,0.337112,0.044240,0.867458,0.009951,0.902530,0.899816,0.236689,BASLANGIC
0.130377,0.059002,0.993338,0.984896,0.622283,0.972804,0.071115,0.096842,0.533682,BASLANGIC
0.173857,0.754618,0.207666,0.035701,0.784628,0.007802,0.907733,0.897824,0.106468,BASLANGIC
0.189333,0.085977,0.990289,0.970406,0.727795,0.947060,0.104843,0.132355,0.729389,BASLANGIC
0.164511,0.694206,0.243310,0.072022,0.579376,0.017930,0.940540,0.940720,0.069340,BASLANGIC
0.154797,0.070457,0.991623,0.979189,0.677061,0.962624,0.113852,0.088632,0.488436,BASLANGIC
0.099341,0.562963,0.335616,0.039896,0.883267,0.008832,0.909663,0.907086,0.227781,BASLANGIC
0.123934,0.058105,0.992885,0.985506,0.615835,0.973895,0.069307,0.053355,0.294030,BASLANGIC
0.097282,0.483214,0.450961,0.154018,0.882780,0.048077,0.979046,0.980730,0.044678,BASLANGIC
0.068994,0.031244,0.996597,0.995304,0.300535,0.991504,0.060207,0.081988,0.451825,BASLANGIC
0.138626,0.622406,0.308073,0.087531,0.731721,0.022772,0.977788,0.968272,0.072253,BASLANGIC
0.266536,0.117395,0.987518,0.948086,0.784357,0.908074,0.111052,0.103539,0.351077,BASLANGIC
0.103620,0.562348,0.340603,0.042006,0.877838,0.009353,0.917455,0.916942,0.286255,BASLANGIC
0.214041,0.099769,0.987671,0.961628,0.760211,0.931631,0.131686,0.109215,0.601866,BASLANGIC
0.163123,0.724141,0.242748,0.053723,0.808562,0.012448,0.949730,0.943868,0.137542,NORMAL
