@RELATION SINGLE_HH_HOMOGENEITY

@ATTRIBUTE HH_homogeneity NUMERIC
@ATTRIBUTE class {BASLANGIC,NORMAL,TUMORLU}

@DATA
0.991466,BASLANGIC
0.270975,BASLANGIC
0.984392,BASLANGIC
0.241599,BASLANGIC
0.976674,BASLANGIC
0.157031,BASLANGIC
0.990887,BASLANGIC
0.338988,BASLANGIC
0.989212,BASLANGIC
0.265739,BASLANGIC
0.989831,BASLANGIC
0.199927,BASLANGIC
0.989273,BASLANGIC
0.249038,BASLANGIC
0.986504,BASLANGIC
0.173546,BASLANGIC
0.975402,BASLANGIC
0.392103,BASLANGIC
0.974850,BASLANGIC
0.371558,BASLANGIC
0.990904,BASLANGIC
0.085934,BASLANGIC
0.991779,BASLANGIC
0.220389,BASLANGIC
0.986387,BASLANGIC
0.243037,BASLANGIC
0.982163,BASLANGIC
0.307872,BASLANGIC
0.991250,BASLANGIC
0.291830,BASLANGIC
0.991362,BASLANGIC
0.262607,BASLANGIC
0.986686,BASLANGIC
0.078180,BASLANGIC
0.991431,BASLANGIC
0.344589,BASLANGIC
0.991712,BASLANGIC
0.415464,BASLANGIC
0.996072,BASLANGIC
0.301489,BASLANGIC
0.988890,BASLANGIC
0.355552,BASLANGIC
0.982355,BASLANGIC
0.235586,NORMAL
1.000000,NORMAL
0.271016,NORMAL
1.000000,NORMAL
0.114703,NORMAL
1.000000,NORMAL
0.288604,NORMAL
1.000000,NORMAL
0.173306,NORMAL
1.000000,NORMAL
0.441448,NORMAL
1.000000,NORMAL
0.370924,NORMAL
1.000000,NORMAL
0.464650,NORMAL
1.000000,NORMAL
0.452684,NORMAL
1.000000,NORMAL
0.135323,NORMAL
1.000000,NORMAL
0.301692,NORMAL
1.000000,NORMAL
0.276351,NORMAL
1.000000,NORMAL
0.053731,NORMAL
1.000000,NORMAL
0.215344,NORMAL
1.000000,NORMAL
0.214998,NORMAL
1.000000,NORMAL
0.231120,NORMAL
1.000000,NORMAL
0.378331,NORMAL
1.000000,NORMAL
0.180131,NORMAL
1.000000,NORMAL
0.106669,NORMAL
1.000000,NORMAL
0.257043,NORMAL
1.000000,NORMAL
0.161769,NORMAL
1.000000,NORMAL
0.080996,NORMAL
1.000000,NORMAL
0.132350,NORMAL
1.000000,NORMAL
0.441191,NORMAL
1.000000,NORMAL
0.301425,NORMAL
1.000000,NORMAL
0.187011,NORMAL
1.000000,NORMAL
0.179581,NORMAL
1.000000,NORMAL
0.308890,NORMAL
1.000000,NORMAL
0.326019,NORMAL
1.000000,NORMAL
0.675980,NORMAL
1.000000,NORMAL
0.336997,NORMAL
1.000000,NORMAL
0.272361,NORMAL
1.000000,NORMAL
0.167466,NORMAL
1.000000,NORMAL
0.218597,NORMAL
1.000000,NORMAL
0.066450,NORMAL
1.000000,NORMAL
0.277574,NORMAL
1.000000,NORMAL
0.274593,NORMAL
1.000000,NORMAL
0.227827,NORMAL
1.000000,NORMAL
0.223469,NORMAL
1.000000,NORMAL
0.171226,NORMAL
1.000000,NORMAL
0.170941,NORMAL
1.000000,NORMAL
0.290568,NORMAL
1.000000,NORMAL
0.237550,NORMAL
1.000000,NORMAL
0.166412,NORMAL
1.000000,NORMAL
0.193504,NORMAL
1.000000,NORMAL
0.204247,NORMAL
1.000000,NORMAL
0.157721,NORMAL
1.000000,NORMAL
0.185080,NORMAL
1.000000,NORMAL
0.267084,NORMAL
1.000000,NORMAL
0.201035,NORMAL
1.000000,NORMAL
0.227482,NORMAL
1.000000,NORMAL
0.336588,NORMAL
1.000000,NORMAL
0.222231,NORMAL
1.000000,NORMAL
0.220621,NORMAL
1.000000,NORMAL
0.081393,NORMAL
1.000000,NORMAL
0.208853,NORMAL
1.000000,NORMAL
0.180615,NORMAL
1.000000,NORMAL
0.304014,NORMAL
1.000000,NORMAL
0.268503,NORMAL
1.000000,NORMAL
0.170035,NORMAL
1.000000,NORMAL
0.109870,NORMAL
1.000000,NORMAL
0.254732,NORMAL
1.000000,NORMAL
0.275363,NORMAL
1.000000,NORMAL
0.261517,NORMAL
1.000000,NORMAL
0.130095,NORMAL
1.000000,NORMAL
0.354173,NORMAL
1.000000,NORMAL
0.316897,NORMAL
1.000000,NORMAL
0.208522,NORMAL
1.000000,NORMAL
0.327013,NORMAL
1.000000,NORMAL
0.344140,NORMAL
1.000000,NORMAL
0.184144,NORMAL
1.000000,NORMAL
0.373830,NORMAL
1.000000,NORMAL
0.227831,NORMAL
1.000000,NORMAL
0.180927,NORMAL
1.000000,NORMAL
0.184213,NORMAL
1.000000,NORMAL
0.448415,NORMAL
1.000000,NORMAL
0.203051,NORMAL
1.000000,NORMAL
0.358136,NORMAL
1.000000,NORMAL
0.287413,NORMAL
1.000000,NORMAL
0.208612,NORMAL
1.000000,NORMAL
0.278673,NORMAL
1.000000,NORMAL
0.000000,NORMAL
1.000000,NORMAL
0.242495,NORMAL
1.000000,NORMAL
0.103736,NORMAL
1.000000,NORMAL
0.079828,NORMAL
1.000000,NORMAL
0.217775,NORMAL
1.000000,NORMAL
0.461845,NORMAL
1.000000,NORMAL
0.369687,NORMAL
1.000000,NORMAL
0.182802,NORMAL
1.000000,NORMAL
0.300262,NORMAL
1.000000,NORMAL
0.331576,NORMAL
1.000000,NORMAL
0.091004,NORMAL
1.000000,NORMAL
0.054980,NORMAL
1.000000,NORMAL
0.119093,NORMAL
1.000000,NORMAL
0.438527,NORMAL
1.000000,NORMAL
0.194890,NORMAL
1.000000,NORMAL
0.245950,NORMAL
1.000000,NORMAL
0.187383,NORMAL
1.000000,NORMAL
0.181715,NORMAL
1.000000,NORMAL
0.429041,NORMAL
1.000000,NORMAL
0.287212,NORMAL
1.000000,NORMAL
0.097803,NORMAL
1.000000,NORMAL
0.210843,NORMAL
1.000000,NORMAL
0.289078,NORMAL
1.000000,NORMAL
0.393905,NORMAL
1.000000,NORMAL
0.171900,NORMAL
1.000000,NORMAL
0.196097,NORMAL
1.000000,NORMAL
0.304857,NORMAL
1.000000,NORMAL
0.215811,NORMAL
1.000000,NORMAL
0.139245,NORMAL
1.000000,NORMAL
0.095966,NORMAL
1.000000,NORMAL
0.293363,NORMAL
1.000000,NORMAL
0.116127,NORMAL
1.000000,NORMAL
0.268750,NORMAL
1.000000,NORMAL
0.120397,NORMAL
1.000000,NORMAL
0.085854,NORMAL
1.000000,NORMAL
0.288302,NORMAL
1.000000,NORMAL
0.261675,NORMAL
1.000000,NORMAL
0.205822,NORMAL
1.000000,NORMAL
0.662741,NORMAL
1.000000,NORMAL
0.121675,NORMAL
1.000000,NORMAL
0.343872,NORMAL
1.000000,NORMAL
0.278753,NORMAL
1.000000,NORMAL
0.205794,NORMAL
1.000000,NORMAL
0.235692,NORMAL
1.000000,NORMAL
0.092195,NORMAL
1.000000,NORMAL
0.956221,TUMORLU
0.394818,TUMORLU
0.942123,TUMORLU
0.546499,TUMORLU
0.977536,TUMORLU
0.285095,TUMORLU
0.975506,TUMORLU
0.542658,TUMORLU
0.978342,TUMORLU
0.446947,TUMORLU
0.976349,TUMORLU
0.254945,TUMORLU
0.980036,TUMORLU
0.265331,TUMORLU
0.974277,TUMORLU
0.497042,TUMORLU
0.976159,TUMORLU
0.364829,TUMORLU
0.986921,TUMORLU
0.373403,TUMORLU
0.967772,TUMORLU
0.302253,TUMORLU
0.982750,TUMORLU
0.290650,TUMORLU
0.968596,TUMORLU
0.532506,TUMORLU
0.959992,TUMORLU
0.554559,TUMORLU
0.953252,TUMORLU
0.465505,TUMORLU
0.945839,TUMORLU
0.277468,TUMORLU
0.982110,TUMORLU
0.308675,TUMORLU
0.974180,TUMORLU
0.308806,TUMORLU
0.952025,TUMORLU
0.211896,TUMORLU
0.966400,TUMORLU
0.385462,TUMORLU
0.959751,TUMORLU
0.261379,TUMORLU
0.960509,TUMORLU
0.374967,TUMORLU
0.943105,TUMORLU
0.293777,TUMORLU
0.947251,TUMORLU
0.220207,TUMORLU
0.942120,TUMORLU
0.287197,TUMORLU
0.982581,TUMORLU
0.159481,TUMORLU
0.983219,TUMORLU
0.145314,TUMORLU
0.983408,TUMORLU
0.449351,TUMORLU
0.956232,TUMORLU
0.359771,TUMORLU
0.947664,TUMORLU
0.446206,TUMORLU
0.934494,TUMORLU
0.236648,TUMORLU
0.954057,TUMORLU
0.207329,TUMORLU
0.939791,TUMORLU
0.425113,TUMORLU
0.977730,TUMORLU
0.249968,TUMORLU
0.962717,TUMORLU
0.527880,TUMORLU
0.970650,TUMORLU
0.525452,TUMORLU
0.962084,TUMORLU
0.419710,TUMORLU
0.984566,TUMORLU
0.382275,TUMORLU
0.962249,TUMORLU
0.473118,TUMORLU
0.967068,TUMORLU
0.536425,TUMORLU
0.967030,TUMORLU
0.176874,TUMORLU
0.964344,TUMORLU
0.414540,TUMORLU
0.950437,TUMORLU
0.425900,TUMORLU
0.985381,TUMORLU
0.358544,TUMORLU
0.961698,TUMORLU
0.266129,TUMORLU
0.977149,TUMORLU
0.306496,TUMORLU
0.957227,TUMORLU
0.234437,TUMORLU
0.982187,TUMORLU
0.194589,TUMORLU
0.970806,TUMORLU
0.394740,TUMORLU
0.970525,TUMORLU
0.101033,TUMORLU
0.970853,TUMORLU
0.245833,TUMORLU
0.966888,TUMORLU
0.309362,TUMORLU
0.994297,TUMORLU
0.972400,TUMORLU
0.381308,TUMORLU
0.980673,TUMORLU
0.195030,TUMORLU
0.977656,TUMORLU
0.239097,TUMORLU
0.959644,TUMORLU
0.198548,TUMORLU
0.971261,TUMORLU
0.227917,TUMORLU
0.965846,TUMORLU
0.408106,TUMORLU
0.961718,TUMORLU
0.372154,TUMORLU
0.959495,TUMORLU
0.360676,TUMORLU
0.980441,TUMORLU
0.321797,TUMORLU
0.957275,TUMORLU
0.500285,TUMORLU
0.962415,TUMORLU
0.606661,TUMORLU
0.965227,TUMORLU
0.400906,TUMORLU
0.982892,TUMORLU
0.093330,TUMORLU
0.975104,TUMORLU
0.390072,TUMORLU
0.980358,TUMORLU
0.486195,TUMORLU
0.958334,TUMORLU
0.531587,TUMORLU
0.969513,TUMORLU
0.539728,TUMORLU
0.979366,TUMORLU
0.476749,TUMORLU
0.954234,TUMORLU
0.502152,TUMORLU
0.953189,TUMORLU
0.223181,TUMORLU
0.982513,TUMORLU
0.377586,TUMORLU
0.977913,TUMORLU
0.271860,TUMORLU
0.959084,TUMORLU
0.590062,TUMORLU
0.962951,TUMORLU
0.259982,TUMORLU
0.978593,TUMORLU
0.467680,TUMORLU
0.975250,TUMORLU
0.353268,TUMORLU
0.965605,TUMORLU
0.166909,TUMORLU
0.965998,TUMORLU
0.403385,TUMORLU
0.975751,TUMORLU
0.400889,TUMORLU
0.959149,TUMORLU
0.538722,TUMORLU
0.980886,TUMORLU
0.150632,TUMORLU
0.966931,TUMORLU
0.312512,TUMORLU
0.960206,TUMORLU
0.128952,TUMORLU
0.952357,TUMORLU
0.306037,TUMORLU
0.971184,TUMORLU
0.381722,TUMORLU
0.984182,TUMORLU
0.378134,TUMORLU
0.947634,TUMORLU
0.228832,TUMORLU
0.970851,TUMORLU
0.300090,TUMORLU
0.959567,TUMORLU
0.455063,TUMORLU
0.974456,TUMORLU
0.181068,TUMORLU
0.969588,TUMORLU
0.132775,TUMORLU
0.958121,TUMORLU
0.490295,TUMORLU
0.962022,TUMORLU
0.333502,TUMORLU
0.959460,TUMORLU
0.536660,TUMORLU
0.960492,TUMORLU
0.361353,TUMORLU
0.983282,TUMORLU
0.221382,TUMORLU
0.974386,TUMORLU
0.322861,TUMORLU
0.972954,TUMORLU
0.264066,TUMORLU
0.955601,TUMORLU
0.225411,TUMORLU
0.965932,TUMORLU
0.130703,TUMORLU
0.959243,TUMORLU
0.117321,TUMORLU
0.955141,TUMORLU
0.133179,TUMORLU
0.985972,TUMORLU
0.324041,TUMORLU
0.969476,TUMORLU
0.286198,TUMORLU
0.960153,TUMORLU
0.414270,TUMORLU
0.965145,TUMORLU
0.316238,TUMORLU
0.973697,TUMORLU
0.508041,TUMORLU
0.985392,TUMORLU
0.549287,TUMORLU
0.957302,TUMORLU
0.275809,TUMORLU
0.988559,TUMORLU
0.350965,TUMORLU
0.976196,TUMORLU
0.465744,TUMORLU
0.958880,TUMORLU
0.251700,TUMORLU
0.964938,TUMORLU
0.319719,TUMORLU
0.978061,TUMORLU
0.431406,TUMORLU
0.970574,TUMORLU
0.283196,TUMORLU
0.975131,TUMORLU
0.339256,TUMORLU
0.968859,TUMORLU
0.273676,TUMORLU
0.960931,TUMORLU
0.172944,TUMORLU
0.991372,TUMORLU
0.320216,TUMORLU
0.961988,TUMORLU
0.379689,TUMORLU
0.952318,TUMORLU
0.622025,TUMORLU
0.963348,TUMORLU
0.166024,TUMORLU
0.983112,TUMORLU
0.310805,TUMORLU
0.977093,TUMORLU
