@RELATION WAVELET_BAND_HL

@ATTRIBUTE HL_glcm_contrast NUMERIC
@ATTRIBUTE HL_glcm_dissimilarity NUMERIC
@ATTRIBUTE HL_glcm_homogeneity NUMERIC
@ATTRIBUTE HL_glcm_energy NUMERIC
@ATTRIBUTE HL_glcm_correlation NUMERIC
@ATTRIBUTE HL_glcm_ASM NUMERIC
@ATTRIBUTE class {BASLANGIC,NORMAL,TUMORLU}

@DATA
0.297220,0.529641,0.245403,0.135879,0.203538,0.045672,BASLANGIC
0.029831,0.017744,0.987983,0.987769,0.186040,0.978486,BASLANGIC
0.627654,0.788223,0.075776,0.029284,0.263994,0.007448,BASLANGIC
0.051056,0.026002,0.985217,0.985403,0.254436,0.974350,BASLANGIC
0.276378,0.451444,0.367662,0.235120,0.238494,0.096939,BASLANGIC
0.075024,0.039568,0.977089,0.977299,0.240764,0.960251,BASLANGIC
0.505393,0.720683,0.103476,0.046339,0.247270,0.012379,BASLANGIC
0.034697,0.020812,0.986800,0.986955,0.228661,0.977064,BASLANGIC
0.381995,0.589542,0.195155,0.085098,0.254326,0.025282,BASLANGIC
0.054214,0.027466,0.984935,0.986079,0.226586,0.975531,BASLANGIC
0.300160,0.450455,0.382554,0.220363,0.245250,0.088367,BASLANGIC
0.023077,0.011886,0.993403,0.993376,0.208154,0.988319,BASLANGIC
0.444571,0.645399,0.170722,0.083262,0.247573,0.024612,BASLANGIC
0.061493,0.033860,0.981787,0.982230,0.267650,0.968819,BASLANGIC
0.111021,0.299671,0.463305,0.253820,0.235242,0.108316,BASLANGIC
0.051463,0.035283,0.975160,0.975405,0.218389,0.956973,BASLANGIC
0.823263,0.876293,0.076982,0.046280,0.179484,0.012368,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.454329,0.581152,0.287445,0.174594,0.223292,0.063890,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.626552,0.793434,0.081684,0.029620,0.308455,0.007541,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.462168,0.685713,0.115992,0.049653,0.226012,0.013403,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.203069,0.423818,0.335895,0.195406,0.188886,0.074601,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.325933,0.535048,0.249968,0.126889,0.176048,0.041755,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.322446,0.476143,0.348977,0.196717,0.194891,0.075310,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.474703,0.535389,0.402214,0.297243,0.288036,0.136757,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.342053,0.439344,0.474202,0.388519,0.268902,0.205980,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.328155,0.550510,0.238443,0.123313,0.237559,0.040265,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.433931,0.675574,0.122289,0.051813,0.268479,0.014064,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.351779,0.602291,0.163575,0.068478,0.241307,0.019460,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.842658,0.924738,0.025730,0.006513,0.232097,0.001546,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.125601,0.307918,0.463187,0.272791,0.121403,0.120346,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.259160,0.476275,0.304780,0.167628,0.188763,0.060430,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.216114,0.402428,0.393981,0.231665,0.173051,0.094945,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.111767,0.272229,0.526153,0.321034,0.188738,0.153571,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.531353,0.692788,0.160009,0.075321,0.257216,0.021816,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.638913,0.798383,0.079508,0.038913,0.201868,0.010175,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.144787,0.318648,0.475600,0.286418,0.202910,0.129371,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.779524,0.835781,0.106067,0.056111,0.213204,0.015429,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.372640,0.582086,0.220894,0.106843,0.254218,0.033526,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.391802,0.595715,0.221400,0.118939,0.244814,0.038431,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.350550,0.576951,0.206746,0.101986,0.247906,0.031642,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.530588,0.688044,0.166450,0.076462,0.258782,0.022201,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.348647,0.545544,0.261419,0.139559,0.229060,0.047323,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.371783,0.561026,0.255341,0.123791,0.285670,0.040463,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.522625,0.613625,0.281413,0.179786,0.209815,0.066493,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.645560,0.732312,0.190723,0.117417,0.290784,0.037808,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.095498,0.191018,0.664411,0.509106,0.147173,0.317114,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.165744,0.381524,0.361208,0.184697,0.160447,0.069007,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.139427,0.335507,0.421939,0.227619,0.227108,0.092537,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.415291,0.615296,0.194777,0.090235,0.256525,0.027168,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.476015,0.649933,0.192215,0.097151,0.196543,0.029761,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.283113,0.508436,0.256197,0.124398,0.209119,0.040698,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.499901,0.651318,0.205655,0.108997,0.229988,0.034402,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.613507,0.705633,0.206672,0.126864,0.275499,0.041765,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.664207,0.758130,0.147082,0.070090,0.297390,0.020019,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.711302,0.781656,0.145892,0.079617,0.246844,0.023343,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.550178,0.720882,0.139156,0.066944,0.218511,0.018971,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.796399,0.901482,0.026409,0.012026,0.221846,0.002896,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.692252,0.780673,0.139800,0.079328,0.278905,0.023226,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.427196,0.612509,0.214422,0.115923,0.195587,0.037181,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
1.000000,1.000000,0.000000,0.000000,0.215583,0.000000,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.446738,0.620773,0.219816,0.106722,0.269257,0.033485,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.603139,0.744385,0.134398,0.061479,0.212089,0.017148,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.541295,0.683992,0.185811,0.093169,0.309238,0.028281,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.598131,0.758501,0.102395,0.038695,0.227817,0.010114,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.351834,0.529461,0.303202,0.188600,0.264499,0.071025,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.269264,0.465016,0.333607,0.193042,0.184021,0.073368,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.567250,0.684908,0.198186,0.116370,0.219036,0.037382,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.451105,0.605437,0.256090,0.142206,0.267607,0.048489,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.328200,0.498981,0.330342,0.204881,0.201334,0.079710,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.540452,0.649050,0.242917,0.151447,0.284364,0.052743,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.473480,0.650006,0.191306,0.087170,0.301249,0.026040,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
