@RELATION SINGLE_HL_ENERGY

@ATTRIBUTE HL_energy NUMERIC
@ATTRIBUTE class {BASLANGIC,NORMAL,TUMORLU}

@DATA
0.977301,BASLANGIC
0.115069,BASLANGIC
0.983310,BASLANGIC
0.076210,BASLANGIC
0.962989,BASLANGIC
0.080026,BASLANGIC
0.964742,BASLANGIC
0.118463,BASLANGIC
0.988916,BASLANGIC
0.229206,BASLANGIC
0.988105,BASLANGIC
0.267403,BASLANGIC
0.967437,BASLANGIC
0.240180,BASLANGIC
0.991348,BASLANGIC
0.166582,BASLANGIC
0.989794,BASLANGIC
0.135441,BASLANGIC
0.973989,BASLANGIC
0.259137,BASLANGIC
0.942879,BASLANGIC
0.088597,BASLANGIC
0.984931,BASLANGIC
0.175555,BASLANGIC
0.991010,BASLANGIC
0.567058,BASLANGIC
0.990743,BASLANGIC
0.189437,BASLANGIC
0.986823,BASLANGIC
0.366906,BASLANGIC
0.975072,BASLANGIC
0.989593,BASLANGIC
0.060670,BASLANGIC
0.987226,BASLANGIC
0.118844,BASLANGIC
0.971769,BASLANGIC
0.145265,BASLANGIC
0.985471,BASLANGIC
0.148121,BASLANGIC
0.977230,BASLANGIC
0.996011,BASLANGIC
0.228354,BASLANGIC
0.972775,BASLANGIC
0.454015,BASLANGIC
0.991349,BASLANGIC
0.092851,BASLANGIC
0.981153,BASLANGIC
0.028422,BASLANGIC
0.962457,BASLANGIC
0.048801,BASLANGIC
0.987970,BASLANGIC
0.396461,BASLANGIC
0.921871,BASLANGIC
0.307793,BASLANGIC
0.976016,BASLANGIC
0.230899,BASLANGIC
0.983989,BASLANGIC
0.079583,BASLANGIC
0.957338,BASLANGIC
0.156369,BASLANGIC
0.946037,BASLANGIC
0.074429,BASLANGIC
0.990200,BASLANGIC
0.151905,BASLANGIC
0.988985,BASLANGIC
0.134088,BASLANGIC
0.986283,BASLANGIC
0.104347,BASLANGIC
0.972918,BASLANGIC
0.203727,BASLANGIC
0.951712,BASLANGIC
0.116132,BASLANGIC
0.991079,BASLANGIC
0.032938,BASLANGIC
0.974531,BASLANGIC
0.079067,BASLANGIC
0.983444,BASLANGIC
0.313478,BASLANGIC
0.978918,BASLANGIC
0.225260,BASLANGIC
0.990202,BASLANGIC
0.209685,BASLANGIC
0.975271,BASLANGIC
0.222396,BASLANGIC
0.945232,BASLANGIC
0.118875,BASLANGIC
0.983043,BASLANGIC
0.335725,BASLANGIC
0.977639,BASLANGIC
0.144213,BASLANGIC
0.989255,BASLANGIC
0.990201,BASLANGIC
0.337566,BASLANGIC
0.963329,BASLANGIC
0.254577,BASLANGIC
0.969669,BASLANGIC
0.104786,BASLANGIC
0.987767,BASLANGIC
0.117703,BASLANGIC
0.988310,BASLANGIC
0.242256,BASLANGIC
0.974525,BASLANGIC
0.240157,BASLANGIC
0.986756,BASLANGIC
0.248943,BASLANGIC
0.988241,BASLANGIC
0.122351,BASLANGIC
0.992836,BASLANGIC
0.077301,BASLANGIC
0.969741,BASLANGIC
0.986822,BASLANGIC
0.209578,BASLANGIC
0.978586,BASLANGIC
0.987092,BASLANGIC
0.091063,BASLANGIC
0.978719,BASLANGIC
0.105387,BASLANGIC
0.987362,BASLANGIC
0.098143,BASLANGIC
0.960305,BASLANGIC
0.275731,BASLANGIC
0.951811,BASLANGIC
0.251361,BASLANGIC
0.976219,BASLANGIC
0.951340,BASLANGIC
0.067914,BASLANGIC
0.976085,BASLANGIC
0.230523,BASLANGIC
0.971893,BASLANGIC
0.983379,BASLANGIC
0.103020,BASLANGIC
0.985943,BASLANGIC
0.078048,BASLANGIC
0.976757,BASLANGIC
0.205483,BASLANGIC
0.962182,BASLANGIC
0.092937,BASLANGIC
0.986145,BASLANGIC
0.157893,BASLANGIC
0.981620,BASLANGIC
0.194947,BASLANGIC
0.983446,BASLANGIC
0.112048,BASLANGIC
0.982298,BASLANGIC
0.219442,BASLANGIC
0.976626,BASLANGIC
0.251851,BASLANGIC
0.961576,BASLANGIC
0.153051,BASLANGIC
0.966312,BASLANGIC
0.150165,BASLANGIC
0.988443,BASLANGIC
0.374150,BASLANGIC
0.986553,BASLANGIC
0.142311,BASLANGIC
0.978041,BASLANGIC
0.050075,BASLANGIC
0.971905,BASLANGIC
0.135879,BASLANGIC
0.987769,BASLANGIC
0.029284,BASLANGIC
0.985403,BASLANGIC
0.235120,BASLANGIC
0.977299,BASLANGIC
0.046339,BASLANGIC
0.986955,BASLANGIC
0.085098,BASLANGIC
0.986079,BASLANGIC
0.220363,BASLANGIC
0.993376,BASLANGIC
0.083262,BASLANGIC
0.982230,BASLANGIC
0.253820,BASLANGIC
0.975405,BASLANGIC
0.046280,NORMAL
1.000000,NORMAL
0.174594,NORMAL
1.000000,NORMAL
0.029620,NORMAL
1.000000,NORMAL
0.049653,NORMAL
1.000000,NORMAL
0.195406,NORMAL
1.000000,NORMAL
0.126889,NORMAL
1.000000,NORMAL
0.196717,NORMAL
1.000000,NORMAL
0.297243,NORMAL
1.000000,NORMAL
0.388519,NORMAL
1.000000,NORMAL
0.123313,NORMAL
1.000000,NORMAL
0.051813,NORMAL
1.000000,NORMAL
0.068478,NORMAL
1.000000,NORMAL
0.006513,NORMAL
1.000000,NORMAL
0.272791,NORMAL
1.000000,NORMAL
0.167628,NORMAL
1.000000,NORMAL
0.231665,NORMAL
1.000000,NORMAL
0.321034,NORMAL
1.000000,NORMAL
0.075321,NORMAL
1.000000,NORMAL
0.038913,NORMAL
1.000000,NORMAL
0.286418,NORMAL
1.000000,NORMAL
0.056111,NORMAL
1.000000,NORMAL
0.106843,NORMAL
1.000000,NORMAL
0.118939,NORMAL
1.000000,NORMAL
0.101986,NORMAL
1.000000,NORMAL
0.076462,NORMAL
1.000000,NORMAL
0.139559,NORMAL
1.000000,NORMAL
0.123791,NORMAL
1.000000,NORMAL
0.179786,NORMAL
1.000000,NORMAL
0.117417,NORMAL
1.000000,NORMAL
0.509106,NORMAL
1.000000,NORMAL
0.184697,NORMAL
1.000000,NORMAL
0.227619,NORMAL
1.000000,NORMAL
0.090235,NORMAL
1.000000,NORMAL
0.097151,NORMAL
1.000000,NORMAL
0.124398,NORMAL
1.000000,NORMAL
0.108997,NORMAL
1.000000,NORMAL
0.126864,NORMAL
1.000000,NORMAL
0.070090,NORMAL
1.000000,NORMAL
0.079617,NORMAL
1.000000,NORMAL
0.066944,NORMAL
1.000000,NORMAL
0.012026,NORMAL
1.000000,NORMAL
0.079328,NORMAL
1.000000,NORMAL
0.115923,NORMAL
1.000000,NORMAL
0.000000,NORMAL
1.000000,NORMAL
0.106722,NORMAL
1.000000,NORMAL
0.061479,NORMAL
1.000000,NORMAL
0.093169,NORMAL
1.000000,NORMAL
0.038695,NORMAL
1.000000,NORMAL
0.188600,NORMAL
1.000000,NORMAL
0.193042,NORMAL
1.000000,NORMAL
0.116370,NORMAL
1.000000,NORMAL
0.142206,NORMAL
1.000000,NORMAL
0.204881,NORMAL
1.000000,NORMAL
0.151447,NORMAL
1.000000,NORMAL
0.087170,NORMAL
1.000000,NORMAL
0.117672,NORMAL
1.000000,NORMAL
0.074854,NORMAL
1.000000,NORMAL
0.122531,NORMAL
1.000000,NORMAL
0.115467,NORMAL
1.000000,NORMAL
0.088480,NORMAL
1.000000,NORMAL
0.016472,NORMAL
1.000000,NORMAL
0.289214,NORMAL
1.000000,NORMAL
0.292379,NORMAL
1.000000,NORMAL
0.217204,NORMAL
1.000000,NORMAL
0.052867,NORMAL
1.000000,NORMAL
0.137009,NORMAL
1.000000,NORMAL
0.151028,NORMAL
1.000000,NORMAL
0.107417,NORMAL
1.000000,NORMAL
0.244665,NORMAL
1.000000,NORMAL
0.351992,NORMAL
1.000000,NORMAL
0.074001,NORMAL
1.000000,NORMAL
0.299909,NORMAL
1.000000,NORMAL
0.058046,NORMAL
1.000000,NORMAL
0.159561,NORMAL
1.000000,NORMAL
0.127218,NORMAL
1.000000,NORMAL
0.139773,NORMAL
1.000000,NORMAL
0.089785,NORMAL
1.000000,NORMAL
0.095539,NORMAL
1.000000,NORMAL
0.107592,NORMAL
1.000000,NORMAL
0.179283,NORMAL
1.000000,NORMAL
0.098631,NORMAL
1.000000,NORMAL
0.085378,NORMAL
1.000000,NORMAL
0.124701,NORMAL
1.000000,NORMAL
0.072488,NORMAL
1.000000,NORMAL
0.010085,NORMAL
1.000000,NORMAL
0.129015,NORMAL
1.000000,NORMAL
0.119044,NORMAL
1.000000,NORMAL
0.088215,NORMAL
1.000000,NORMAL
0.056226,NORMAL
1.000000,NORMAL
0.153251,NORMAL
1.000000,NORMAL
0.095013,NORMAL
1.000000,NORMAL
0.076434,NORMAL
1.000000,NORMAL
0.233690,NORMAL
1.000000,NORMAL
0.184276,NORMAL
1.000000,NORMAL
0.247280,NORMAL
1.000000,NORMAL
0.106715,NORMAL
1.000000,NORMAL
0.276947,NORMAL
1.000000,NORMAL
0.051306,NORMAL
1.000000,NORMAL
0.098321,NORMAL
1.000000,NORMAL
0.123189,NORMAL
1.000000,NORMAL
0.229914,NORMAL
1.000000,NORMAL
0.048881,NORMAL
1.000000,NORMAL
0.076548,NORMAL
1.000000,NORMAL
0.151457,NORMAL
1.000000,NORMAL
0.092778,NORMAL
1.000000,NORMAL
0.243632,NORMAL
1.000000,NORMAL
0.137067,NORMAL
1.000000,NORMAL
0.106945,NORMAL
1.000000,NORMAL
0.177725,NORMAL
1.000000,NORMAL
0.043485,NORMAL
1.000000,NORMAL
0.064780,NORMAL
1.000000,NORMAL
0.049500,NORMAL
1.000000,NORMAL
0.032821,NORMAL
1.000000,NORMAL
0.156326,NORMAL
1.000000,NORMAL
0.222188,NORMAL
1.000000,NORMAL
0.040776,NORMAL
1.000000,NORMAL
0.065373,NORMAL
1.000000,NORMAL
0.102478,NORMAL
1.000000,NORMAL
0.095401,NORMAL
1.000000,NORMAL
0.464608,NORMAL
1.000000,NORMAL
0.062022,NORMAL
1.000000,NORMAL
0.173787,NORMAL
1.000000,NORMAL
0.158549,NORMAL
1.000000,NORMAL
0.269881,NORMAL
1.000000,NORMAL
0.136537,NORMAL
1.000000,NORMAL
0.038046,NORMAL
1.000000,NORMAL
0.935128,TUMORLU
0.281073,TUMORLU
0.919678,TUMORLU
0.201815,TUMORLU
0.965080,TUMORLU
0.209842,TUMORLU
0.963732,TUMORLU
0.246731,TUMORLU
0.965146,TUMORLU
0.257240,TUMORLU
0.965906,TUMORLU
0.147272,TUMORLU
0.971556,TUMORLU
0.161294,TUMORLU
0.964609,TUMORLU
0.162072,TUMORLU
0.970414,TUMORLU
0.194583,TUMORLU
0.979727,TUMORLU
0.191328,TUMORLU
0.955894,TUMORLU
0.251179,TUMORLU
0.975284,TUMORLU
0.132316,TUMORLU
0.950431,TUMORLU
0.500037,TUMORLU
0.944985,TUMORLU
0.515700,TUMORLU
0.934277,TUMORLU
0.234330,TUMORLU
0.921516,TUMORLU
0.181495,TUMORLU
0.967172,TUMORLU
0.161987,TUMORLU
0.958871,TUMORLU
0.080545,TUMORLU
0.935069,TUMORLU
0.121441,TUMORLU
0.946460,TUMORLU
0.203978,TUMORLU
0.934039,TUMORLU
0.328457,TUMORLU
0.939649,TUMORLU
0.305336,TUMORLU
0.916344,TUMORLU
0.132430,TUMORLU
0.930170,TUMORLU
0.149263,TUMORLU
0.913816,TUMORLU
0.146286,TUMORLU
0.972234,TUMORLU
0.099741,TUMORLU
0.975680,TUMORLU
0.145530,TUMORLU
0.975479,TUMORLU
0.213903,TUMORLU
0.939911,TUMORLU
0.250461,TUMORLU
0.925833,TUMORLU
0.215305,TUMORLU
0.890704,TUMORLU
0.112544,TUMORLU
0.931084,TUMORLU
0.169359,TUMORLU
0.910537,TUMORLU
0.107170,TUMORLU
0.971027,TUMORLU
0.065966,TUMORLU
0.943747,TUMORLU
0.289464,TUMORLU
0.953007,TUMORLU
0.263858,TUMORLU
0.945166,TUMORLU
0.133413,TUMORLU
0.975540,TUMORLU
0.155054,TUMORLU
0.941743,TUMORLU
0.415595,TUMORLU
0.955525,TUMORLU
0.459128,TUMORLU
0.956783,TUMORLU
0.130743,TUMORLU
0.945382,TUMORLU
0.374228,TUMORLU
0.926233,TUMORLU
0.306002,TUMORLU
0.978586,TUMORLU
0.270893,TUMORLU
0.940120,TUMORLU
0.151748,TUMORLU
0.965220,TUMORLU
0.148104,TUMORLU
0.938713,TUMORLU
0.130733,TUMORLU
0.976087,TUMORLU
0.119883,TUMORLU
0.959740,TUMORLU
0.198319,TUMORLU
0.959883,TUMORLU
0.085771,TUMORLU
0.952667,TUMORLU
0.078991,TUMORLU
0.953064,TUMORLU
0.160411,TUMORLU
0.993041,TUMORLU
0.956910,TUMORLU
0.223849,TUMORLU
0.971696,TUMORLU
0.262306,TUMORLU
0.971915,TUMORLU
0.070807,TUMORLU
0.939426,TUMORLU
0.137205,TUMORLU
0.953892,TUMORLU
0.147167,TUMORLU
0.945844,TUMORLU
0.182046,TUMORLU
0.940806,TUMORLU
0.068583,TUMORLU
0.942946,TUMORLU
0.223198,TUMORLU
0.970004,TUMORLU
0.207392,TUMORLU
0.940903,TUMORLU
0.115852,TUMORLU
0.940537,TUMORLU
0.367426,TUMORLU
0.948754,TUMORLU
0.266082,TUMORLU
0.972980,TUMORLU
0.074139,TUMORLU
0.965619,TUMORLU
0.282410,TUMORLU
0.966090,TUMORLU
0.163218,TUMORLU
0.937047,TUMORLU
0.219381,TUMORLU
0.959086,TUMORLU
0.345801,TUMORLU
0.968522,TUMORLU
0.360961,TUMORLU
0.935674,TUMORLU
0.298202,TUMORLU
0.929229,TUMORLU
0.220210,TUMORLU
0.972841,TUMORLU
0.125518,TUMORLU
0.968393,TUMORLU
0.121749,TUMORLU
0.943032,TUMORLU
0.522932,TUMORLU
0.939860,TUMORLU
0.090717,TUMORLU
0.965216,TUMORLU
0.361037,TUMORLU
0.958057,TUMORLU
0.140300,TUMORLU
0.950326,TUMORLU
0.179859,TUMORLU
0.950892,TUMORLU
0.325831,TUMORLU
0.966911,TUMORLU
0.273604,TUMORLU
0.945311,TUMORLU
0.274669,TUMORLU
0.969737,TUMORLU
0.047973,TUMORLU
0.947821,TUMORLU
0.047794,TUMORLU
0.940967,TUMORLU
0.056252,TUMORLU
0.925442,TUMORLU
0.281955,TUMORLU
0.956174,TUMORLU
0.077111,TUMORLU
0.972032,TUMORLU
0.230788,TUMORLU
0.923738,TUMORLU
0.063049,TUMORLU
0.954423,TUMORLU
0.188393,TUMORLU
0.939979,TUMORLU
0.155231,TUMORLU
0.964474,TUMORLU
0.076456,TUMORLU
0.952940,TUMORLU
0.198480,TUMORLU
0.934757,TUMORLU
0.318150,TUMORLU
0.941028,TUMORLU
0.159012,TUMORLU
0.938741,TUMORLU
0.237969,TUMORLU
0.942040,TUMORLU
0.392662,TUMORLU
0.973315,TUMORLU
0.262401,TUMORLU
0.962323,TUMORLU
0.336611,TUMORLU
0.960161,TUMORLU
0.120957,TUMORLU
0.932778,TUMORLU
0.144446,TUMORLU
0.943482,TUMORLU
0.144407,TUMORLU
0.943855,TUMORLU
0.057156,TUMORLU
0.935042,TUMORLU
0.277349,TUMORLU
0.976837,TUMORLU
0.335709,TUMORLU
0.957044,TUMORLU
0.072019,TUMORLU
0.946997,TUMORLU
0.365405,TUMORLU
0.949384,TUMORLU
0.137350,TUMORLU
0.959878,TUMORLU
0.239619,TUMORLU
0.979394,TUMORLU
0.501239,TUMORLU
0.937155,TUMORLU
0.195680,TUMORLU
0.981895,TUMORLU
0.328269,TUMORLU
0.964069,TUMORLU
0.188188,TUMORLU
0.940812,TUMORLU
0.166660,TUMORLU
0.948475,TUMORLU
0.190423,TUMORLU
0.970753,TUMORLU
0.444177,TUMORLU
0.956850,TUMORLU
0.123072,TUMORLU
0.959819,TUMORLU
0.343995,TUMORLU
0.952739,TUMORLU
0.113029,TUMORLU
0.941547,TUMORLU
0.120612,TUMORLU
0.984660,TUMORLU
0.224423,TUMORLU
0.943514,TUMORLU
0.650376,TUMORLU
0.930256,TUMORLU
0.452635,TUMORLU
0.948683,TUMORLU
0.101818,TUMORLU
0.971965,TUMORLU
0.260316,TUMORLU
0.962520,TUMORLU
