@RELATION SINGLE_GLCM_CORRELATION

@ATTRIBUTE glcm_correlation NUMERIC
@ATTRIBUTE class {BASLANGIC,NORMAL,TUMORLU}

@DATA
0.424530,BASLANGIC
0.917094,BASLANGIC
0.835150,BASLANGIC
0.920898,BASLANGIC
0.893300,BASLANGIC
0.817883,BASLANGIC
0.740923,BASLANGIC
0.932358,BASLANGIC
0.591444,BASLANGIC
0.842633,BASLANGIC
0.578468,BASLANGIC
0.868283,BASLANGIC
0.689940,BASLANGIC
0.878030,BASLANGIC
0.818937,BASLANGIC
0.443920,BASLANGIC
0.882898,BASLANGIC
0.685200,BASLANGIC
0.744178,BASLANGIC
0.804387,BASLANGIC
0.835955,BASLANGIC
0.645116,BASLANGIC
0.893840,BASLANGIC
0.773860,BASLANGIC
0.282254,BASLANGIC
0.937481,BASLANGIC
0.812697,BASLANGIC
0.917741,BASLANGIC
0.444790,BASLANGIC
0.856332,BASLANGIC
0.804004,BASLANGIC
0.945337,BASLANGIC
0.877271,BASLANGIC
0.826931,BASLANGIC
0.569938,BASLANGIC
0.917349,BASLANGIC
0.888991,BASLANGIC
0.823604,BASLANGIC
0.797306,BASLANGIC
0.856809,BASLANGIC
0.782908,BASLANGIC
0.867687,BASLANGIC
0.880773,BASLANGIC
0.923010,BASLANGIC
0.888035,BASLANGIC
0.819607,BASLANGIC
0.521492,BASLANGIC
0.720749,BASLANGIC
0.561072,BASLANGIC
0.785986,BASLANGIC
0.581036,BASLANGIC
0.890257,BASLANGIC
0.846946,BASLANGIC
0.908951,BASLANGIC
0.897850,BASLANGIC
0.899250,BASLANGIC
0.579992,BASLANGIC
0.722415,BASLANGIC
0.769008,BASLANGIC
0.617384,BASLANGIC
0.682541,BASLANGIC
0.782388,BASLANGIC
0.771805,BASLANGIC
0.833851,BASLANGIC
0.631328,BASLANGIC
0.754192,BASLANGIC
0.805691,BASLANGIC
0.927690,BASLANGIC
0.895880,BASLANGIC
0.860590,BASLANGIC
0.659405,BASLANGIC
0.884124,BASLANGIC
0.811168,BASLANGIC
0.890990,BASLANGIC
0.586940,BASLANGIC
0.538565,BASLANGIC
0.796374,BASLANGIC
0.849406,BASLANGIC
0.861957,BASLANGIC
0.859803,BASLANGIC
0.876248,BASLANGIC
0.466394,BASLANGIC
0.822820,BASLANGIC
0.654892,BASLANGIC
0.867744,BASLANGIC
0.831961,BASLANGIC
0.862918,BASLANGIC
0.670117,BASLANGIC
0.939292,BASLANGIC
0.519447,BASLANGIC
0.759411,BASLANGIC
0.444599,BASLANGIC
0.896999,BASLANGIC
0.806144,BASLANGIC
0.646224,BASLANGIC
0.912888,BASLANGIC
0.724836,BASLANGIC
0.600226,BASLANGIC
0.866353,BASLANGIC
0.721718,BASLANGIC
0.865909,BASLANGIC
0.631112,BASLANGIC
0.925294,BASLANGIC
0.870824,BASLANGIC
0.850938,BASLANGIC
0.886347,BASLANGIC
0.882513,BASLANGIC
0.802091,BASLANGIC
0.895898,BASLANGIC
0.819908,BASLANGIC
0.801161,BASLANGIC
0.942020,BASLANGIC
0.806468,BASLANGIC
0.685070,BASLANGIC
0.887265,BASLANGIC
0.674858,BASLANGIC
0.751008,BASLANGIC
0.807403,BASLANGIC
0.865466,BASLANGIC
0.867577,BASLANGIC
0.852340,BASLANGIC
0.577953,BASLANGIC
0.884225,BASLANGIC
0.687066,BASLANGIC
0.839583,BASLANGIC
0.702113,BASLANGIC
0.921303,BASLANGIC
0.713088,BASLANGIC
0.851587,BASLANGIC
0.740446,BASLANGIC
0.879909,BASLANGIC
0.859126,BASLANGIC
0.878240,BASLANGIC
0.876468,BASLANGIC
0.951258,BASLANGIC
0.643937,BASLANGIC
0.822210,BASLANGIC
0.616637,BASLANGIC
0.823996,BASLANGIC
0.772278,BASLANGIC
0.845320,BASLANGIC
0.797868,BASLANGIC
0.699077,BASLANGIC
0.679973,BASLANGIC
0.867458,BASLANGIC
0.622283,BASLANGIC
0.784628,BASLANGIC
0.727795,BASLANGIC
0.579376,BASLANGIC
0.677061,BASLANGIC
0.883267,BASLANGIC
0.615835,BASLANGIC
0.882780,BASLANGIC
0.300535,BASLANGIC
0.731721,BASLANGIC
0.784357,BASLANGIC
0.877838,BASLANGIC
0.760211,BASLANGIC
0.808562,NORMAL
1.000000,NORMAL
0.876207,NORMAL
1.000000,NORMAL
0.863776,NORMAL
1.000000,NORMAL
0.881114,NORMAL
1.000000,NORMAL
0.777753,NORMAL
1.000000,NORMAL
0.848385,NORMAL
1.000000,NORMAL
0.862981,NORMAL
1.000000,NORMAL
0.906067,NORMAL
1.000000,NORMAL
0.898670,NORMAL
1.000000,NORMAL
0.876398,NORMAL
1.000000,NORMAL
0.828205,NORMAL
1.000000,NORMAL
0.888489,NORMAL
1.000000,NORMAL
0.910344,NORMAL
1.000000,NORMAL
0.911632,NORMAL
1.000000,NORMAL
0.862159,NORMAL
1.000000,NORMAL
0.924170,NORMAL
1.000000,NORMAL
0.926451,NORMAL
1.000000,NORMAL
0.675787,NORMAL
1.000000,NORMAL
0.426453,NORMAL
1.000000,NORMAL
0.928947,NORMAL
1.000000,NORMAL
0.894582,NORMAL
1.000000,NORMAL
0.868193,NORMAL
1.000000,NORMAL
0.896345,NORMAL
1.000000,NORMAL
0.835243,NORMAL
1.000000,NORMAL
0.742550,NORMAL
1.000000,NORMAL
0.826690,NORMAL
1.000000,NORMAL
0.889141,NORMAL
1.000000,NORMAL
0.704188,NORMAL
1.000000,NORMAL
0.913781,NORMAL
1.000000,NORMAL
0.901779,NORMAL
1.000000,NORMAL
0.674705,NORMAL
1.000000,NORMAL
0.835385,NORMAL
1.000000,NORMAL
0.936248,NORMAL
1.000000,NORMAL
0.659947,NORMAL
1.000000,NORMAL
0.750102,NORMAL
1.000000,NORMAL
0.834130,NORMAL
1.000000,NORMAL
0.922185,NORMAL
1.000000,NORMAL
0.718002,NORMAL
1.000000,NORMAL
0.884221,NORMAL
1.000000,NORMAL
0.883965,NORMAL
1.000000,NORMAL
0.790293,NORMAL
1.000000,NORMAL
0.921524,NORMAL
1.000000,NORMAL
0.893400,NORMAL
1.000000,NORMAL
0.782594,NORMAL
1.000000,NORMAL
0.890418,NORMAL
1.000000,NORMAL
0.891272,NORMAL
1.000000,NORMAL
0.850541,NORMAL
1.000000,NORMAL
0.795685,NORMAL
1.000000,NORMAL
0.922048,NORMAL
1.000000,NORMAL
0.868021,NORMAL
1.000000,NORMAL
0.877488,NORMAL
1.000000,NORMAL
0.924535,NORMAL
1.000000,NORMAL
0.866457,NORMAL
1.000000,NORMAL
0.927206,NORMAL
1.000000,NORMAL
0.842969,NORMAL
1.000000,NORMAL
0.921034,NORMAL
1.000000,NORMAL
0.770233,NORMAL
1.000000,NORMAL
0.887732,NORMAL
1.000000,NORMAL
0.783299,NORMAL
1.000000,NORMAL
0.885559,NORMAL
1.000000,NORMAL
0.773446,NORMAL
1.000000,NORMAL
0.927669,NORMAL
1.000000,NORMAL
0.928561,NORMAL
1.000000,NORMAL
0.725772,NORMAL
1.000000,NORMAL
0.799062,NORMAL
1.000000,NORMAL
0.921254,NORMAL
1.000000,NORMAL
0.927557,NORMAL
1.000000,NORMAL
0.777137,NORMAL
1.000000,NORMAL
0.825260,NORMAL
1.000000,NORMAL
0.816382,NORMAL
1.000000,NORMAL
0.569808,NORMAL
1.000000,NORMAL
0.942078,NORMAL
1.000000,NORMAL
0.647025,NORMAL
1.000000,NORMAL
0.775952,NORMAL
1.000000,NORMAL
0.678102,NORMAL
1.000000,NORMAL
0.840746,NORMAL
1.000000,NORMAL
0.530133,NORMAL
1.000000,NORMAL
0.770121,NORMAL
1.000000,NORMAL
0.873262,NORMAL
1.000000,NORMAL
0.867691,NORMAL
1.000000,NORMAL
0.890122,NORMAL
1.000000,NORMAL
0.625677,NORMAL
1.000000,NORMAL
0.805012,NORMAL
1.000000,NORMAL
0.643103,NORMAL
1.000000,NORMAL
0.573184,NORMAL
1.000000,NORMAL
0.826185,NORMAL
1.000000,NORMAL
0.853586,NORMAL
1.000000,NORMAL
0.875399,NORMAL
1.000000,NORMAL
0.741269,NORMAL
1.000000,NORMAL
0.813806,NORMAL
1.000000,NORMAL
0.706662,NORMAL
1.000000,NORMAL
0.732117,NORMAL
1.000000,NORMAL
0.821080,NORMAL
1.000000,NORMAL
0.817672,NORMAL
1.000000,NORMAL
0.793573,NORMAL
1.000000,NORMAL
0.888961,NORMAL
1.000000,NORMAL
0.888926,NORMAL
1.000000,NORMAL
0.847916,NORMAL
1.000000,NORMAL
0.692277,NORMAL
1.000000,NORMAL
0.749117,NORMAL
1.000000,NORMAL
0.891069,NORMAL
1.000000,NORMAL
0.901244,NORMAL
1.000000,NORMAL
0.808593,NORMAL
1.000000,NORMAL
0.921280,NORMAL
1.000000,NORMAL
0.883351,NORMAL
1.000000,NORMAL
0.806499,NORMAL
1.000000,NORMAL
0.883243,NORMAL
1.000000,NORMAL
0.899853,NORMAL
1.000000,NORMAL
0.781298,NORMAL
1.000000,NORMAL
0.711058,NORMAL
1.000000,NORMAL
0.755021,NORMAL
1.000000,NORMAL
0.338882,NORMAL
1.000000,NORMAL
0.479279,NORMAL
1.000000,NORMAL
0.827360,NORMAL
1.000000,NORMAL
0.738055,NORMAL
1.000000,NORMAL
0.805472,NORMAL
1.000000,NORMAL
0.453040,NORMAL
1.000000,NORMAL
0.917598,NORMAL
1.000000,NORMAL
0.839079,NORMAL
1.000000,NORMAL
0.899978,NORMAL
1.000000,NORMAL
0.835153,NORMAL
1.000000,NORMAL
0.704979,NORMAL
1.000000,NORMAL
0.827268,NORMAL
1.000000,NORMAL
0.893290,NORMAL
1.000000,NORMAL
0.880463,NORMAL
1.000000,NORMAL
0.664816,NORMAL
1.000000,NORMAL
0.874033,TUMORLU
0.892250,TUMORLU
0.876141,TUMORLU
0.968679,TUMORLU
0.797980,TUMORLU
0.954296,TUMORLU
0.794303,TUMORLU
0.952944,TUMORLU
0.776440,TUMORLU
0.951078,TUMORLU
0.766628,TUMORLU
0.954519,TUMORLU
0.785576,TUMORLU
0.960214,TUMORLU
0.779433,TUMORLU
0.952732,TUMORLU
0.809365,TUMORLU
0.709850,TUMORLU
0.737578,TUMORLU
0.639584,TUMORLU
0.784977,TUMORLU
0.721792,TUMORLU
0.717383,TUMORLU
0.728434,TUMORLU
0.798833,TUMORLU
0.854279,TUMORLU
0.860784,TUMORLU
0.773843,TUMORLU
0.878848,TUMORLU
0.909550,TUMORLU
0.836865,TUMORLU
0.921643,TUMORLU
0.828604,TUMORLU
0.935517,TUMORLU
0.818017,TUMORLU
0.935524,TUMORLU
0.869015,TUMORLU
0.898164,TUMORLU
0.867976,TUMORLU
0.896581,TUMORLU
0.854595,TUMORLU
0.926369,TUMORLU
0.848224,TUMORLU
0.951120,TUMORLU
0.857619,TUMORLU
0.948136,TUMORLU
0.863208,TUMORLU
0.955896,TUMORLU
0.850766,TUMORLU
0.886751,TUMORLU
0.794010,TUMORLU
0.908343,TUMORLU
0.722625,TUMORLU
0.900994,TUMORLU
0.752442,TUMORLU
0.947116,TUMORLU
0.852949,TUMORLU
0.942360,TUMORLU
0.862017,TUMORLU
0.963128,TUMORLU
0.853626,TUMORLU
0.926947,TUMORLU
0.829554,TUMORLU
0.923235,TUMORLU
0.830504,TUMORLU
0.868866,TUMORLU
0.747912,TUMORLU
0.920334,TUMORLU
0.872955,TUMORLU
0.902771,TUMORLU
0.836223,TUMORLU
0.929621,TUMORLU
0.877271,TUMORLU
0.840674,TUMORLU
0.747232,TUMORLU
0.938801,TUMORLU
0.858120,TUMORLU
0.944584,TUMORLU
0.832333,TUMORLU
0.937451,TUMORLU
0.829171,TUMORLU
0.933134,TUMORLU
0.841828,TUMORLU
0.946413,TUMORLU
0.852471,TUMORLU
0.938624,TUMORLU
0.747222,TUMORLU
0.918686,TUMORLU
0.853312,TUMORLU
0.890514,TUMORLU
0.762141,TUMORLU
0.898661,TUMORLU
0.851601,TUMORLU
0.941525,TUMORLU
0.782105,TUMORLU
0.917209,TUMORLU
0.772885,TUMORLU
0.948053,TUMORLU
0.784898,TUMORLU
0.924962,TUMORLU
0.805716,TUMORLU
0.864911,TUMORLU
0.843110,TUMORLU
0.809494,TUMORLU
0.000000,TUMORLU
0.744776,TUMORLU
0.918529,TUMORLU
0.781522,TUMORLU
0.823607,TUMORLU
0.766070,TUMORLU
0.823846,TUMORLU
0.863193,TUMORLU
0.814870,TUMORLU
0.848316,TUMORLU
0.834930,TUMORLU
0.865999,TUMORLU
0.908943,TUMORLU
0.856589,TUMORLU
0.880161,TUMORLU
0.846809,TUMORLU
0.836289,TUMORLU
0.751042,TUMORLU
0.933740,TUMORLU
0.837234,TUMORLU
0.965733,TUMORLU
0.849297,TUMORLU
0.884979,TUMORLU
0.761842,TUMORLU
0.737378,TUMORLU
0.727616,TUMORLU
0.662653,TUMORLU
0.777484,TUMORLU
0.822050,TUMORLU
0.689817,TUMORLU
0.875355,TUMORLU
0.886432,TUMORLU
0.879378,TUMORLU
0.749301,TUMORLU
0.866340,TUMORLU
0.763412,TUMORLU
0.946139,TUMORLU
0.846748,TUMORLU
0.955013,TUMORLU
0.873505,TUMORLU
0.814454,TUMORLU
0.722254,TUMORLU
0.791437,TUMORLU
0.775392,TUMORLU
0.954789,TUMORLU
0.894116,TUMORLU
0.866188,TUMORLU
0.831298,TUMORLU
0.881932,TUMORLU
0.858490,TUMORLU
0.870984,TUMORLU
0.852664,TUMORLU
0.944662,TUMORLU
0.859674,TUMORLU
0.848460,TUMORLU
0.806068,TUMORLU
0.847525,TUMORLU
0.838020,TUMORLU
0.959534,TUMORLU
0.840973,TUMORLU
0.737531,TUMORLU
0.764101,TUMORLU
0.806775,TUMORLU
0.830486,TUMORLU
0.552217,TUMORLU
0.873298,TUMORLU
0.637989,TUMORLU
0.871304,TUMORLU
0.925361,TUMORLU
0.856127,TUMORLU
0.921111,TUMORLU
0.812119,TUMORLU
0.926784,TUMORLU
0.837683,TUMORLU
0.901466,TUMORLU
0.837020,TUMORLU
0.925866,TUMORLU
0.843015,TUMORLU
0.869434,TUMORLU
0.803263,TUMORLU
0.880973,TUMORLU
0.871991,TUMORLU
0.827729,TUMORLU
0.851770,TUMORLU
0.872244,TUMORLU
0.865845,TUMORLU
0.913701,TUMORLU
0.882154,TUMORLU
0.903310,TUMORLU
0.862441,TUMORLU
0.896338,TUMORLU
0.724600,TUMORLU
0.900565,TUMORLU
0.780364,TUMORLU
0.914380,TUMORLU
0.780186,TUMORLU
0.858809,TUMORLU
0.812067,TUMORLU
0.838077,TUMORLU
0.822117,TUMORLU
0.957238,TUMORLU
0.853137,TUMORLU
0.923190,TUMORLU
0.823867,TUMORLU
0.861460,TUMORLU
0.723260,TUMORLU
0.852104,TUMORLU
0.771058,TUMORLU
0.844265,TUMORLU
0.836040,TUMORLU
0.827846,TUMORLU
0.850250,TUMORLU
0.715760,TUMORLU
0.793026,TUMORLU
0.716665,TUMORLU
0.752814,TUMORLU
0.763625,TUMORLU
0.876999,TUMORLU
0.722500,TUMORLU
0.686496,TUMORLU
0.678201,TUMORLU
0.750118,TUMORLU
0.828254,TUMORLU
0.859180,TUMORLU
0.950048,TUMORLU
0.780296,TUMORLU
0.934356,TUMORLU
0.795368,TUMORLU
0.951522,TUMORLU
0.810624,TUMORLU
0.919178,TUMORLU
0.852375,TUMORLU
0.909862,TUMORLU
0.845497,TUMORLU
0.917135,TUMORLU
0.873084,TUMORLU
0.890768,TUMORLU
0.634108,TUMORLU
0.893401,TUMORLU
0.884703,TUMORLU
0.841048,TUMORLU
0.864391,TUMORLU
0.938111,TUMORLU
0.877205,TUMORLU
0.831209,TUMORLU
0.814415,TUMORLU
0.865064,TUMORLU
0.817712,TUMORLU
