@RELATION WAVELET_ALL_BANDS_COMBINED

@ATTRIBUTE LL_glcm_contrast NUMERIC
@ATTRIBUTE LL_glcm_dissimilarity NUMERIC
@ATTRIBUTE LL_glcm_homogeneity NUMERIC
@ATTRIBUTE LL_glcm_energy NUMERIC
@ATTRIBUTE LL_glcm_correlation NUMERIC
@ATTRIBUTE LL_glcm_ASM NUMERIC
@ATTRIBUTE LH_glcm_contrast NUMERIC
@ATTRIBUTE LH_glcm_dissimilarity NUMERIC
@ATTRIBUTE LH_glcm_homogeneity NUMERIC
@ATTRIBUTE LH_glcm_energy NUMERIC
@ATTRIBUTE LH_glcm_correlation NUMERIC
@ATTRIBUTE LH_glcm_ASM NUMERIC
@ATTRIBUTE HL_glcm_contrast NUMERIC
@ATTRIBUTE HL_glcm_dissimilarity NUMERIC
@ATTRIBUTE HL_glcm_homogeneity NUMERIC
@ATTRIBUTE HL_glcm_energy NUMERIC
@ATTRIBUTE HL_glcm_correlation NUMERIC
@ATTRIBUTE HL_glcm_ASM NUMERIC
@ATTRIBUTE HH_glcm_contrast NUMERIC
@ATTRIBUTE HH_glcm_dissimilarity NUMERIC
@ATTRIBUTE HH_glcm_homogeneity NUMERIC
@ATTRIBUTE HH_glcm_energy NUMERIC
@ATTRIBUTE HH_glcm_correlation NUMERIC
@ATTRIBUTE HH_glcm_ASM NUMERIC
@ATTRIBUTE class {BASLANGIC,NORMAL,TUMORLU}

@DATA
0.079783,0.030735,0.987473,0.987874,0.439473,0.977362,0.046578,0.024821,0.987667,0.988934,0.327941,0.981112,0.025609,0.014444,0.991819,0.992092,0.248245,0.986064,0.047726,0.018179,0.993646,0.994614,0.042088,0.990824,BASLANGIC
0.638325,0.772449,0.141608,0.029682,0.524385,0.004609,0.636773,0.726943,0.196716,0.135686,0.243842,0.052593,0.715329,0.829200,0.077569,0.037824,0.193150,0.009856,0.610727,0.720420,0.147775,0.081188,0.044138,0.028416,BASLANGIC
0.112234,0.036832,0.986897,0.985113,0.507211,0.972245,0.025306,0.013924,0.992500,0.992669,0.217956,0.987468,0.031777,0.016105,0.991177,0.991080,0.244873,0.984286,0.032044,0.012914,0.995337,0.996244,0.141530,0.993597,BASLANGIC
0.370737,0.500489,0.351328,0.057368,0.773185,0.009933,0.203693,0.352022,0.490239,0.355108,0.360951,0.191802,0.304505,0.482009,0.329757,0.184226,0.350964,0.068813,0.299273,0.449613,0.362967,0.229122,0.065289,0.104172,BASLANGIC
0.505365,0.171415,0.930311,0.833567,0.863355,0.711831,0.104993,0.073671,0.952718,0.954850,0.310112,0.924043,0.075872,0.056323,0.956794,0.955233,0.239544,0.922376,0.208305,0.083856,0.970600,0.975782,0.060809,0.959062,BASLANGIC
0.549406,0.708528,0.161467,0.033321,0.411323,0.005142,0.710406,0.632484,0.279737,0.177563,0.096207,0.073518,0.077129,0.214538,0.601709,0.418877,0.175853,0.231879,0.151471,0.334373,0.440394,0.278917,0.066293,0.136626,BASLANGIC
0.161132,0.050284,0.981878,0.978900,0.583914,0.960776,0.040561,0.024482,0.986039,0.986821,0.275966,0.977525,0.044185,0.023841,0.984975,0.985538,0.188943,0.974585,0.043345,0.019346,0.991800,0.992704,0.151711,0.987580,BASLANGIC
0.542087,0.660634,0.216199,0.040915,0.578298,0.006571,0.843225,0.612344,0.325569,0.186057,0.051888,0.078029,0.341194,0.545317,0.258698,0.143186,0.220360,0.048931,0.577909,0.694675,0.161799,0.070518,0.050741,0.024140,BASLANGIC
0.117565,0.040703,0.984255,0.982914,0.554406,0.968177,0.036318,0.022930,0.986388,0.987031,0.324888,0.977882,0.043127,0.023768,0.986896,0.986889,0.224446,0.976946,0.058865,0.023406,0.992369,0.993837,0.084082,0.989503,BASLANGIC
0.371648,0.553753,0.282873,0.034391,0.857364,0.005259,0.548442,0.670342,0.218338,0.114256,0.243085,0.042016,0.364813,0.538238,0.292611,0.175830,0.229489,0.064480,0.437676,0.551958,0.301751,0.198485,0.056424,0.085956,BASLANGIC
0.120821,0.042158,0.982966,0.980781,0.559560,0.964240,0.045393,0.023885,0.987394,0.988090,0.305934,0.979679,0.035214,0.018579,0.990189,0.990672,0.238452,0.983572,0.035294,0.015125,0.994460,0.995255,0.105925,0.991913,BASLANGIC
0.461649,0.642971,0.221041,0.024695,0.836189,0.003560,0.415696,0.599261,0.259416,0.167918,0.279915,0.068261,0.297990,0.497281,0.292069,0.153211,0.185238,0.053523,0.421489,0.578409,0.263031,0.160288,0.048060,0.065061,BASLANGIC
0.192582,0.063599,0.975762,0.968247,0.702446,0.941268,0.044594,0.031194,0.980317,0.981324,0.325590,0.968226,0.037814,0.022652,0.985856,0.984999,0.201001,0.973645,0.071757,0.028234,0.990457,0.992278,0.062041,0.986857,BASLANGIC
0.320439,0.490407,0.330646,0.044619,0.902514,0.007181,0.356560,0.529041,0.307678,0.182673,0.417882,0.075900,0.205254,0.399569,0.386013,0.181993,0.472777,0.067687,0.354717,0.524395,0.283812,0.156353,0.078832,0.063009,BASLANGIC
0.597603,0.211257,0.912776,0.769761,0.881453,0.614248,0.132980,0.088534,0.944001,0.945784,0.323588,0.909149,0.124813,0.076807,0.951659,0.951512,0.206745,0.916068,0.179984,0.079359,0.967468,0.972097,0.093803,0.952906,BASLANGIC
0.393948,0.578441,0.261023,0.048098,0.716772,0.007985,0.497484,0.605273,0.287969,0.206068,0.255336,0.089438,0.087025,0.233254,0.579442,0.386705,0.215271,0.204488,0.170582,0.356334,0.410920,0.235960,0.067639,0.108395,BASLANGIC
0.090417,0.031133,0.987363,0.987058,0.429611,0.975849,0.036466,0.020623,0.988751,0.989285,0.336321,0.981709,0.023253,0.014528,0.990620,0.990672,0.222801,0.983572,0.041924,0.017813,0.993806,0.994899,0.136603,0.991308,BASLANGIC
0.225038,0.377866,0.473557,0.202513,0.934333,0.060827,0.333264,0.429178,0.460442,0.335314,0.326999,0.176502,0.400723,0.576771,0.244497,0.124479,0.365450,0.040746,0.548881,0.642933,0.217124,0.106366,0.051691,0.039107,BASLANGIC
0.273533,0.105154,0.952732,0.931841,0.770891,0.876110,0.096944,0.059053,0.969147,0.972943,0.318066,0.954131,0.044586,0.033511,0.974279,0.974002,0.241234,0.954544,0.097563,0.045703,0.980795,0.983919,0.062569,0.972725,BASLANGIC
0.478263,0.674913,0.174813,0.017823,0.719572,0.002493,0.515764,0.685852,0.183513,0.124182,0.242608,0.046753,0.279852,0.494768,0.278533,0.138729,0.240270,0.046943,0.663181,0.778803,0.098817,0.034523,0.053764,0.010952,BASLANGIC
0.106660,0.038669,0.984718,0.984170,0.521000,0.970499,0.035956,0.019849,0.989755,0.990907,0.300395,0.984467,0.027926,0.015610,0.990783,0.991146,0.224974,0.984402,0.047742,0.017223,0.994102,0.995181,0.102854,0.991788,BASLANGIC
0.289839,0.488194,0.319697,0.052097,0.875758,0.008737,0.222159,0.436751,0.349434,0.199427,0.237236,0.085385,0.082073,0.211500,0.620621,0.455692,0.199020,0.265119,0.122290,0.311891,0.443044,0.258855,0.058425,0.123098,BASLANGIC
0.277231,0.100912,0.956757,0.924519,0.819660,0.863284,0.078275,0.051424,0.968518,0.970830,0.333863,0.950590,0.052998,0.036886,0.973590,0.973046,0.243988,0.952893,0.109941,0.048338,0.980803,0.984066,0.094602,0.972971,BASLANGIC
0.429067,0.659319,0.165888,0.009314,0.805350,0.001214,0.648504,0.819229,0.063181,0.027706,0.286034,0.008473,0.209708,0.436876,0.315998,0.151923,0.252079,0.052925,0.270145,0.491015,0.267488,0.136625,0.053132,0.053151,BASLANGIC
0.274938,0.089542,0.964624,0.939404,0.780590,0.889454,0.065158,0.042624,0.974856,0.975551,0.304258,0.958503,0.035517,0.028511,0.977684,0.977039,0.242839,0.959801,0.112525,0.046604,0.983097,0.985904,0.108167,0.976071,BASLANGIC
0.490091,0.690316,0.151098,0.018540,0.680157,0.002579,0.498061,0.656882,0.197750,0.116094,0.254585,0.042802,0.156641,0.362078,0.390126,0.208498,0.180978,0.081689,0.641271,0.741870,0.120249,0.049453,0.048988,0.016176,BASLANGIC
0.191240,0.065795,0.974200,0.965254,0.721275,0.935824,0.041778,0.029086,0.980301,0.981536,0.326109,0.968583,0.044085,0.027076,0.982401,0.982501,0.212543,0.969290,0.062407,0.029326,0.987247,0.989371,0.048919,0.981931,BASLANGIC
0.454025,0.656393,0.179102,0.014296,0.793883,0.001970,0.375959,0.590278,0.227230,0.111851,0.290276,0.041004,0.208849,0.418259,0.348564,0.196817,0.250314,0.075359,0.375303,0.574856,0.220517,0.119019,0.067933,0.044831,BASLANGIC
0.097118,0.037347,0.984772,0.983292,0.571470,0.968875,0.033950,0.020345,0.988720,0.989217,0.336871,0.981594,0.035756,0.019153,0.989578,0.989660,0.254200,0.981797,0.050892,0.018624,0.994392,0.995185,0.074451,0.991794,BASLANGIC
0.091900,0.034418,0.984650,0.984170,0.496818,0.970499,0.020423,0.014787,0.990314,0.990768,0.334916,0.984230,0.046646,0.021670,0.988990,0.989052,0.251559,0.980731,0.033188,0.014879,0.993471,0.994334,0.169664,0.990348,BASLANGIC
0.476944,0.653222,0.201529,0.052182,0.693477,0.008769,0.443674,0.614388,0.238705,0.147513,0.266228,0.057757,0.439823,0.622469,0.212617,0.112444,0.246818,0.035760,0.346518,0.502127,0.325635,0.216722,0.045781,0.096631,BASLANGIC
0.442508,0.161471,0.931171,0.836468,0.874155,0.716437,0.119988,0.078685,0.954789,0.958718,0.283648,0.930439,0.081884,0.053203,0.963108,0.961513,0.236902,0.933082,0.132668,0.059719,0.975675,0.978964,0.118866,0.964394,BASLANGIC
0.391399,0.590520,0.244040,0.027770,0.770397,0.004133,0.424762,0.580342,0.281119,0.179952,0.198202,0.074768,0.216814,0.410310,0.370051,0.212786,0.231304,0.084094,0.423664,0.589258,0.209929,0.095526,0.050292,0.034385,BASLANGIC
0.148760,0.056399,0.976807,0.971437,0.698620,0.947089,0.048922,0.027652,0.985067,0.985832,0.359326,0.975850,0.048091,0.025071,0.987296,0.988173,0.248084,0.979193,0.042327,0.018339,0.992925,0.994191,0.122117,0.990104,BASLANGIC
0.685438,0.813286,0.096331,0.015909,0.593329,0.002245,0.768274,0.777918,0.171392,0.097479,0.164443,0.034887,0.626990,0.798410,0.068476,0.030101,0.244216,0.007669,0.399855,0.598717,0.192430,0.099541,0.049669,0.036114,BASLANGIC
0.242337,0.076906,0.973531,0.953480,0.762923,0.914558,0.053530,0.031858,0.982993,0.984079,0.298218,0.972880,0.041158,0.024837,0.984079,0.982772,0.203019,0.969763,0.056784,0.024812,0.990450,0.991572,0.137152,0.985660,BASLANGIC
0.404236,0.564113,0.315105,0.169514,0.827503,0.045945,0.559590,0.601604,0.333319,0.262491,0.173381,0.124251,0.681981,0.733004,0.223525,0.164395,0.239190,0.058864,0.586181,0.658773,0.258461,0.182319,0.059504,0.076830,BASLANGIC
0.105609,0.032628,0.988822,0.987374,0.419494,0.976435,0.033613,0.017843,0.990017,0.990696,0.274815,0.984107,0.032303,0.014370,0.993082,0.993376,0.228568,0.988319,0.026823,0.011347,0.995233,0.995393,0.081914,0.992149,BASLANGIC
0.335746,0.526183,0.315589,0.079913,0.866314,0.015378,0.425158,0.607627,0.235620,0.133150,0.283795,0.050629,0.155572,0.344595,0.428051,0.245630,0.216773,0.103277,0.559001,0.668612,0.205266,0.100509,0.051056,0.036528,BASLANGIC
0.152221,0.053213,0.978051,0.973944,0.643961,0.951676,0.033079,0.021295,0.986381,0.986188,0.326180,0.976452,0.049159,0.026298,0.986327,0.986619,0.230844,0.976475,0.055179,0.022723,0.991505,0.992349,0.085480,0.986977,BASLANGIC
0.463482,0.664529,0.187307,0.021723,0.798789,0.003112,0.541177,0.732011,0.144333,0.088217,0.275553,0.031093,0.229166,0.427749,0.349113,0.180735,0.196434,0.066962,0.397910,0.567758,0.256457,0.155981,0.064918,0.062855,BASLANGIC
0.100666,0.033779,0.987382,0.986996,0.486277,0.975733,0.023888,0.016380,0.988908,0.989288,0.278739,0.981713,0.032851,0.017584,0.989893,0.989929,0.237963,0.982268,0.038280,0.016736,0.992979,0.994261,0.058101,0.990224,BASLANGIC
0.396044,0.593480,0.237056,0.047272,0.687446,0.007858,0.447828,0.593728,0.267580,0.170939,0.254138,0.069903,0.255702,0.449542,0.329230,0.172682,0.173359,0.062905,0.292978,0.454473,0.331568,0.185852,0.051649,0.078798,BASLANGIC
0.556434,0.189015,0.926782,0.846867,0.821733,0.733083,0.164238,0.093571,0.955541,0.961178,0.311690,0.934524,0.104425,0.060337,0.960675,0.960219,0.165698,0.930868,0.140962,0.060952,0.975394,0.979458,0.003308,0.965223,BASLANGIC
0.417919,0.604640,0.241008,0.033457,0.828498,0.005080,0.401738,0.598402,0.236336,0.124606,0.242963,0.046704,0.392592,0.565253,0.261833,0.152551,0.264283,0.053227,0.260951,0.433993,0.362868,0.227104,0.055561,0.102917,BASLANGIC
0.302903,0.112396,0.952300,0.913794,0.837335,0.844669,0.105455,0.062021,0.967899,0.969773,0.357641,0.948827,0.054295,0.037211,0.973042,0.971090,0.247819,0.949518,0.110274,0.044471,0.984243,0.986334,0.114884,0.976797,BASLANGIC
0.408520,0.535972,0.308664,0.051157,0.826534,0.008624,0.277716,0.421449,0.419351,0.303838,0.330499,0.153167,0.147650,0.306596,0.502639,0.345255,0.256838,0.171599,0.198871,0.352810,0.450680,0.306864,0.068948,0.156371,BASLANGIC
0.327443,0.108378,0.959300,0.927348,0.791019,0.868229,0.084325,0.051729,0.969687,0.972233,0.313741,0.952943,0.040515,0.029170,0.977451,0.976020,0.193360,0.958034,0.082941,0.037893,0.983091,0.985477,0.014215,0.975349,BASLANGIC
0.400498,0.614318,0.225116,0.040705,0.793935,0.006458,0.601082,0.731177,0.164264,0.088232,0.210263,0.030754,0.429018,0.630411,0.186235,0.090913,0.279965,0.027423,0.504001,0.655492,0.181528,0.084744,0.047254,0.029853,BASLANGIC
0.129547,0.046656,0.981612,0.978460,0.619976,0.959966,0.040076,0.024043,0.986102,0.986820,0.329406,0.977524,0.030704,0.018830,0.987835,0.988036,0.237272,0.978954,0.053320,0.021359,0.992070,0.992844,0.037156,0.987817,BASLANGIC
0.385242,0.542494,0.311428,0.074961,0.769434,0.014111,0.329587,0.484097,0.363497,0.245951,0.342825,0.113603,0.259183,0.440578,0.362111,0.212547,0.273635,0.083953,0.469698,0.591590,0.259743,0.154370,0.068606,0.062004,BASLANGIC
0.380537,0.144896,0.937478,0.864894,0.869192,0.762357,0.129021,0.072017,0.960732,0.962873,0.344794,0.937331,0.095375,0.050454,0.972312,0.972572,0.235377,0.952078,0.077597,0.037437,0.982714,0.984700,0.130207,0.974040,BASLANGIC
0.182370,0.344391,0.497819,0.203783,0.918898,0.061386,0.456861,0.501833,0.410456,0.302847,0.267447,0.151874,0.403689,0.528594,0.337112,0.197469,0.291175,0.075713,0.385906,0.496915,0.360205,0.228136,0.062991,0.103535,BASLANGIC
0.175949,0.061997,0.974825,0.968735,0.685902,0.942158,0.030918,0.022245,0.985472,0.985554,0.300189,0.975378,0.057827,0.030315,0.983984,0.984053,0.263374,0.971996,0.053241,0.023516,0.991134,0.992634,0.194937,0.987460,BASLANGIC
0.356963,0.497332,0.377208,0.134294,0.860902,0.032259,0.273631,0.418318,0.453256,0.355196,0.319697,0.191474,0.244551,0.410409,0.420966,0.282606,0.340325,0.126855,0.352962,0.494158,0.349237,0.229299,0.077030,0.104256,BASLANGIC
0.202424,0.065795,0.975662,0.964582,0.724582,0.934603,0.044955,0.029533,0.982376,0.983438,0.334428,0.971796,0.042632,0.026907,0.981282,0.980476,0.235526,0.965766,0.071766,0.031082,0.988017,0.989941,0.118563,0.982894,BASLANGIC
0.548764,0.704041,0.193707,0.034846,0.848863,0.005325,0.436651,0.605971,0.267670,0.194901,0.280366,0.083112,0.653888,0.769618,0.144820,0.079694,0.276502,0.023346,0.570058,0.678905,0.204435,0.118923,0.073139,0.044823,BASLANGIC
0.200319,0.069499,0.970267,0.961484,0.708628,0.928988,0.050482,0.035801,0.976798,0.978649,0.319622,0.963715,0.037779,0.028431,0.977723,0.977301,0.236313,0.960256,0.088729,0.039971,0.984201,0.987036,0.069137,0.977983,BASLANGIC
0.559971,0.697801,0.198576,0.037371,0.602028,0.005888,0.629264,0.696236,0.234142,0.150658,0.253516,0.059406,0.452056,0.602423,0.235086,0.115069,0.218167,0.036844,0.271835,0.437471,0.344718,0.185677,0.039212,0.078689,BASLANGIC
0.202400,0.072500,0.971039,0.960804,0.729932,0.927757,0.055797,0.034144,0.981456,0.983439,0.321022,0.971800,0.045627,0.026918,0.983355,0.983310,0.236135,0.970701,0.066933,0.028443,0.989690,0.991642,0.024961,0.985778,BASLANGIC
0.408414,0.578059,0.287580,0.067115,0.874745,0.012152,0.510158,0.623814,0.270249,0.168270,0.290754,0.068381,0.731531,0.778053,0.152566,0.076210,0.263349,0.022135,0.522258,0.621558,0.244371,0.134785,0.062119,0.052274,BASLANGIC
0.433327,0.142546,0.945853,0.885376,0.840411,0.796324,0.090506,0.063313,0.958550,0.960899,0.314785,0.934051,0.058483,0.045685,0.964395,0.962989,0.218946,0.935604,0.173478,0.070995,0.974173,0.978605,0.022783,0.963791,BASLANGIC
0.238717,0.463482,0.330509,0.070681,0.909327,0.013041,0.358268,0.529076,0.296198,0.189987,0.271787,0.080074,0.543180,0.711240,0.152539,0.080026,0.289489,0.023468,0.588419,0.735501,0.127516,0.056647,0.081885,0.018825,BASLANGIC
0.349642,0.118109,0.953158,0.911664,0.817606,0.840997,0.100934,0.061341,0.965794,0.967950,0.299894,0.945780,0.068183,0.044798,0.966395,0.964742,0.221076,0.938608,0.099482,0.047347,0.977373,0.980592,0.041336,0.967126,BASLANGIC
0.351145,0.544404,0.284071,0.051472,0.839189,0.008683,0.510686,0.646497,0.238993,0.142775,0.293127,0.055580,0.462570,0.624406,0.221889,0.118463,0.214472,0.038232,0.818781,0.833474,0.086405,0.017139,0.053552,0.005210,BASLANGIC
0.124969,0.040225,0.985141,0.983169,0.556013,0.968647,0.035517,0.020922,0.987825,0.988441,0.255831,0.980275,0.030871,0.017584,0.989087,0.988916,0.236712,0.980494,0.033545,0.016809,0.992569,0.993766,0.130039,0.989383,BASLANGIC
0.346646,0.568225,0.236287,0.029920,0.888094,0.004484,0.613532,0.736530,0.153198,0.084383,0.280468,0.029280,0.159550,0.354256,0.410492,0.229206,0.169528,0.093458,0.406299,0.587016,0.207387,0.094108,0.052180,0.033781,BASLANGIC
0.155746,0.052052,0.980149,0.974198,0.640426,0.952141,0.079059,0.038557,0.983181,0.984920,0.307975,0.974305,0.042447,0.021957,0.987890,0.988105,0.224237,0.979075,0.052458,0.020064,0.994213,0.995185,0.158659,0.991794,BASLANGIC
0.455778,0.623574,0.229725,0.029102,0.762708,0.004285,0.317030,0.527014,0.281735,0.146612,0.291535,0.057377,0.136800,0.309204,0.483680,0.267403,0.319243,0.116909,0.413230,0.566497,0.260607,0.147531,0.061150,0.058574,BASLANGIC
0.328726,0.124068,0.945942,0.902169,0.836507,0.824722,0.078854,0.053398,0.966597,0.968099,0.335575,0.946029,0.099776,0.056899,0.966798,0.967437,0.237904,0.943235,0.140053,0.056760,0.978736,0.982221,0.011964,0.969866,BASLANGIC
0.509013,0.676703,0.205720,0.024735,0.798458,0.003604,0.655963,0.766345,0.159399,0.082466,0.264067,0.028554,0.260429,0.440674,0.368836,0.240180,0.195313,0.099963,0.519694,0.650030,0.210588,0.113511,0.064251,0.042320,BASLANGIC
0.120966,0.040197,0.985262,0.982915,0.565860,0.968179,0.030970,0.017979,0.990154,0.990696,0.328273,0.984108,0.039848,0.017589,0.991276,0.991348,0.248532,0.984757,0.041859,0.015485,0.994507,0.995325,0.120918,0.992033,BASLANGIC
0.247157,0.431865,0.368245,0.052916,0.927973,0.008916,0.290285,0.516673,0.259363,0.126578,0.364456,0.047508,0.226932,0.437998,0.321778,0.166582,0.243260,0.059926,0.152568,0.344673,0.407492,0.233322,0.068071,0.106742,BASLANGIC
0.092259,0.032415,0.986798,0.986997,0.440037,0.975735,0.022158,0.015838,0.989366,0.989920,0.308967,0.982789,0.023159,0.015024,0.989836,0.989794,0.222239,0.982032,0.039528,0.017779,0.993123,0.994332,0.136454,0.990344,BASLANGIC
0.282410,0.478662,0.346129,0.098924,0.891506,0.020711,0.369414,0.540278,0.299401,0.164855,0.330427,0.066479,0.478819,0.615595,0.246109,0.135441,0.312980,0.045517,0.392760,0.532731,0.295354,0.171247,0.075900,0.070832,BASLANGIC
0.338794,0.119699,0.951156,0.902047,0.839944,0.824514,0.088061,0.054997,0.967157,0.968089,0.328783,0.946009,0.076425,0.044003,0.974120,0.973989,0.231925,0.954523,0.114040,0.047746,0.981167,0.983991,0.066415,0.972844,BASLANGIC
