@RELATION SINGLE_LL_ASM

@ATTRIBUTE LL_ASM NUMERIC
@ATTRIBUTE class {BASLANGIC,NORMAL,TUMORLU}

@DATA
0.019317,BASLANGIC
0.962968,BASLANGIC
0.014863,BASLANGIC
0.957995,BASLANGIC
0.023218,BASLANGIC
0.944148,BASLANGIC
0.011757,BASLANGIC
0.829239,BASLANGIC
0.975038,BASLANGIC
0.004973,BASLANGIC
0.941744,BASLANGIC
0.006541,BASLANGIC
0.854145,BASLANGIC
0.016879,BASLANGIC
0.954906,BASLANGIC
0.007684,BASLANGIC
0.910040,BASLANGIC
0.983551,BASLANGIC
0.014265,BASLANGIC
0.867332,BASLANGIC
0.030812,BASLANGIC
0.974803,BASLANGIC
0.003234,BASLANGIC
0.883714,BASLANGIC
0.007799,BASLANGIC
0.586282,BASLANGIC
0.006049,BASLANGIC
0.962965,BASLANGIC
0.012718,BASLANGIC
0.400929,BASLANGIC
0.004808,BASLANGIC
0.888194,BASLANGIC
0.013762,BASLANGIC
0.913717,BASLANGIC
0.006103,BASLANGIC
0.630979,BASLANGIC
0.010830,BASLANGIC
0.619792,BASLANGIC
0.007427,BASLANGIC
0.963079,BASLANGIC
0.009470,BASLANGIC
0.965398,BASLANGIC
0.008843,BASLANGIC
0.961808,BASLANGIC
0.009596,BASLANGIC
0.816908,BASLANGIC
0.007407,BASLANGIC
0.568979,BASLANGIC
0.011958,BASLANGIC
0.967600,BASLANGIC
0.001221,BASLANGIC
0.899597,BASLANGIC
0.003937,BASLANGIC
0.940803,BASLANGIC
0.096680,BASLANGIC
0.914741,BASLANGIC
0.003992,BASLANGIC
0.960093,BASLANGIC
0.004980,BASLANGIC
0.874216,BASLANGIC
0.024645,BASLANGIC
0.572928,BASLANGIC
0.003752,BASLANGIC
0.947205,BASLANGIC
0.017376,BASLANGIC
0.874882,BASLANGIC
0.014402,BASLANGIC
0.964126,BASLANGIC
0.963202,BASLANGIC
0.013318,BASLANGIC
0.754408,BASLANGIC
0.005877,BASLANGIC
0.754850,BASLANGIC
0.003054,BASLANGIC
0.969570,BASLANGIC
0.004100,BASLANGIC
0.937761,BASLANGIC
0.020195,BASLANGIC
0.802483,BASLANGIC
0.003887,BASLANGIC
0.950328,BASLANGIC
0.011812,BASLANGIC
0.968529,BASLANGIC
0.013401,BASLANGIC
0.976897,BASLANGIC
0.003544,BASLANGIC
0.867311,BASLANGIC
0.952717,BASLANGIC
0.014820,BASLANGIC
0.920991,BASLANGIC
0.961934,BASLANGIC
0.006106,BASLANGIC
0.930613,BASLANGIC
0.011186,BASLANGIC
0.956401,BASLANGIC
0.007356,BASLANGIC
0.711912,BASLANGIC
0.010682,BASLANGIC
0.652381,BASLANGIC
0.005924,BASLANGIC
0.866777,BASLANGIC
0.554460,BASLANGIC
0.004402,BASLANGIC
0.879412,BASLANGIC
0.032809,BASLANGIC
0.884930,BASLANGIC
0.932597,BASLANGIC
0.004685,BASLANGIC
0.951803,BASLANGIC
0.005103,BASLANGIC
0.867446,BASLANGIC
0.004667,BASLANGIC
0.751189,BASLANGIC
0.003670,BASLANGIC
0.962386,BASLANGIC
0.003495,BASLANGIC
0.942061,BASLANGIC
0.014043,BASLANGIC
0.932852,BASLANGIC
0.028541,BASLANGIC
0.941543,BASLANGIC
0.004955,BASLANGIC
0.907098,BASLANGIC
0.011468,BASLANGIC
0.762452,BASLANGIC
0.040576,BASLANGIC
0.691279,BASLANGIC
0.031441,BASLANGIC
0.946624,BASLANGIC
0.005491,BASLANGIC
0.953969,BASLANGIC
0.007387,BASLANGIC
0.887157,BASLANGIC
0.003792,BASLANGIC
0.868133,BASLANGIC
0.003914,BASLANGIC
0.946865,BASLANGIC
0.005926,BASLANGIC
0.957551,BASLANGIC
0.006075,BASLANGIC
0.924385,BASLANGIC
0.003980,BASLANGIC
0.947229,BASLANGIC
0.006214,BASLANGIC
0.962398,BASLANGIC
0.035583,BASLANGIC
0.983788,BASLANGIC
0.006913,BASLANGIC
0.880301,BASLANGIC
0.004291,BASLANGIC
0.904570,BASLANGIC
0.007141,NORMAL
1.000000,NORMAL
0.023704,NORMAL
1.000000,NORMAL
0.004583,NORMAL
1.000000,NORMAL
0.002119,NORMAL
1.000000,NORMAL
0.000806,NORMAL
1.000000,NORMAL
0.003443,NORMAL
1.000000,NORMAL
0.035064,NORMAL
1.000000,NORMAL
0.167565,NORMAL
1.000000,NORMAL
0.187171,NORMAL
1.000000,NORMAL
0.003792,NORMAL
1.000000,NORMAL
0.001664,NORMAL
1.000000,NORMAL
0.001731,NORMAL
1.000000,NORMAL
0.001176,NORMAL
1.000000,NORMAL
0.011877,NORMAL
1.000000,NORMAL
0.004686,NORMAL
1.000000,NORMAL
0.019304,NORMAL
1.000000,NORMAL
0.081418,NORMAL
1.000000,NORMAL
0.003953,NORMAL
1.000000,NORMAL
0.001267,NORMAL
1.000000,NORMAL
0.057720,NORMAL
1.000000,NORMAL
0.009127,NORMAL
1.000000,NORMAL
0.002666,NORMAL
1.000000,NORMAL
0.008833,NORMAL
1.000000,NORMAL
0.002268,NORMAL
1.000000,NORMAL
0.007089,NORMAL
1.000000,NORMAL
0.008543,NORMAL
1.000000,NORMAL
0.009722,NORMAL
1.000000,NORMAL
0.017455,NORMAL
1.000000,NORMAL
0.019452,NORMAL
1.000000,NORMAL
0.010690,NORMAL
1.000000,NORMAL
0.001423,NORMAL
1.000000,NORMAL
0.002261,NORMAL
1.000000,NORMAL
0.005389,NORMAL
1.000000,NORMAL
0.008801,NORMAL
1.000000,NORMAL
0.006903,NORMAL
1.000000,NORMAL
0.018254,NORMAL
1.000000,NORMAL
0.080282,NORMAL
1.000000,NORMAL
0.005342,NORMAL
1.000000,NORMAL
0.023049,NORMAL
1.000000,NORMAL
0.010273,NORMAL
1.000000,NORMAL
0.001688,NORMAL
1.000000,NORMAL
0.044260,NORMAL
1.000000,NORMAL
0.010224,NORMAL
1.000000,NORMAL
0.001482,NORMAL
1.000000,NORMAL
0.026549,NORMAL
1.000000,NORMAL
0.012305,NORMAL
1.000000,NORMAL
0.004847,NORMAL
1.000000,NORMAL
0.001657,NORMAL
1.000000,NORMAL
0.072185,NORMAL
1.000000,NORMAL
0.022797,NORMAL
1.000000,NORMAL
0.019637,NORMAL
1.000000,NORMAL
0.094852,NORMAL
1.000000,NORMAL
0.025687,NORMAL
1.000000,NORMAL
0.032293,NORMAL
1.000000,NORMAL
0.004672,NORMAL
1.000000,NORMAL
0.036931,NORMAL
1.000000,NORMAL
0.008680,NORMAL
1.000000,NORMAL
0.032183,NORMAL
1.000000,NORMAL
0.008261,NORMAL
1.000000,NORMAL
0.009433,NORMAL
1.000000,NORMAL
0.002153,NORMAL
1.000000,NORMAL
0.061545,NORMAL
1.000000,NORMAL
0.054816,NORMAL
1.000000,NORMAL
0.015412,NORMAL
1.000000,NORMAL
0.001978,NORMAL
1.000000,NORMAL
0.039756,NORMAL
1.000000,NORMAL
0.032724,NORMAL
1.000000,NORMAL
0.009284,NORMAL
1.000000,NORMAL
0.004236,NORMAL
1.000000,NORMAL
0.010777,NORMAL
1.000000,NORMAL
0.004699,NORMAL
1.000000,NORMAL
0.031228,NORMAL
1.000000,NORMAL
0.006486,NORMAL
1.000000,NORMAL
0.004359,NORMAL
1.000000,NORMAL
0.002964,NORMAL
1.000000,NORMAL
0.003849,NORMAL
1.000000,NORMAL
0.006362,NORMAL
1.000000,NORMAL
0.007493,NORMAL
1.000000,NORMAL
0.007260,NORMAL
1.000000,NORMAL
0.002445,NORMAL
1.000000,NORMAL
0.012931,NORMAL
1.000000,NORMAL
0.000000,NORMAL
1.000000,NORMAL
0.002399,NORMAL
1.000000,NORMAL
0.004460,NORMAL
1.000000,NORMAL
0.000835,NORMAL
1.000000,NORMAL
0.007707,NORMAL
1.000000,NORMAL
0.042494,NORMAL
1.000000,NORMAL
0.010322,NORMAL
1.000000,NORMAL
0.008606,NORMAL
1.000000,NORMAL
0.011769,NORMAL
1.000000,NORMAL
0.009968,NORMAL
1.000000,NORMAL
0.001520,NORMAL
1.000000,NORMAL
0.002844,NORMAL
1.000000,NORMAL
0.001096,NORMAL
1.000000,NORMAL
0.001190,NORMAL
1.000000,NORMAL
0.015439,NORMAL
1.000000,NORMAL
0.013834,NORMAL
1.000000,NORMAL
0.006158,NORMAL
1.000000,NORMAL
0.007185,NORMAL
1.000000,NORMAL
0.011518,NORMAL
1.000000,NORMAL
0.005518,NORMAL
1.000000,NORMAL
0.002704,NORMAL
1.000000,NORMAL
0.011678,NORMAL
1.000000,NORMAL
0.015995,NORMAL
1.000000,NORMAL
0.004625,NORMAL
1.000000,NORMAL
0.010726,NORMAL
1.000000,NORMAL
0.002189,NORMAL
1.000000,NORMAL
0.018544,NORMAL
1.000000,NORMAL
0.009554,NORMAL
1.000000,NORMAL
0.003873,NORMAL
1.000000,NORMAL
0.005652,NORMAL
1.000000,NORMAL
0.006760,NORMAL
1.000000,NORMAL
0.004332,NORMAL
1.000000,NORMAL
0.033202,NORMAL
1.000000,NORMAL
0.002618,NORMAL
1.000000,NORMAL
0.002709,NORMAL
1.000000,NORMAL
0.005914,NORMAL
1.000000,NORMAL
0.032960,NORMAL
1.000000,NORMAL
0.001640,NORMAL
1.000000,NORMAL
0.010756,NORMAL
1.000000,NORMAL
0.001544,NORMAL
1.000000,NORMAL
0.016456,NORMAL
1.000000,NORMAL
0.009566,NORMAL
1.000000,NORMAL
0.008538,NORMAL
1.000000,NORMAL
0.011269,NORMAL
1.000000,NORMAL
0.001557,NORMAL
1.000000,NORMAL
0.441460,TUMORLU
0.003121,TUMORLU
0.446925,TUMORLU
0.020238,TUMORLU
0.841314,TUMORLU
0.019735,TUMORLU
0.822791,TUMORLU
0.023175,TUMORLU
0.836849,TUMORLU
0.018681,TUMORLU
0.842386,TUMORLU
0.023388,TUMORLU
0.868441,TUMORLU
0.019631,TUMORLU
0.854939,TUMORLU
0.020418,TUMORLU
0.860029,TUMORLU
0.002315,TUMORLU
0.913043,TUMORLU
0.004147,TUMORLU
0.827329,TUMORLU
0.004098,TUMORLU
0.913205,TUMORLU
0.004482,TUMORLU
0.786382,TUMORLU
0.019217,TUMORLU
0.653149,TUMORLU
0.007491,TUMORLU
0.525726,TUMORLU
0.018816,TUMORLU
0.571502,TUMORLU
0.009365,TUMORLU
0.806598,TUMORLU
0.028672,TUMORLU
0.806725,TUMORLU
0.012668,TUMORLU
0.619404,TUMORLU
0.007268,TUMORLU
0.613679,TUMORLU
0.043548,TUMORLU
0.599139,TUMORLU
0.014733,TUMORLU
0.663653,TUMORLU
0.015621,TUMORLU
0.441032,TUMORLU
0.009517,TUMORLU
0.574093,TUMORLU
0.018252,TUMORLU
0.471201,TUMORLU
0.005718,TUMORLU
0.870623,TUMORLU
0.009570,TUMORLU
0.911174,TUMORLU
0.008769,TUMORLU
0.900897,TUMORLU
0.026268,TUMORLU
0.642324,TUMORLU
0.032399,TUMORLU
0.515224,TUMORLU
0.045383,TUMORLU
0.402974,TUMORLU
0.017246,TUMORLU
0.655428,TUMORLU
0.008164,TUMORLU
0.552868,TUMORLU
0.003898,TUMORLU
0.884653,TUMORLU
0.007615,TUMORLU
0.645614,TUMORLU
0.075497,TUMORLU
0.762651,TUMORLU
0.093901,TUMORLU
0.590627,TUMORLU
0.002185,TUMORLU
0.898775,TUMORLU
0.016138,TUMORLU
0.715329,TUMORLU
0.014644,TUMORLU
0.738383,TUMORLU
0.017067,TUMORLU
0.783239,TUMORLU
0.013615,TUMORLU
0.727636,TUMORLU
0.050317,TUMORLU
0.505363,TUMORLU
0.006104,TUMORLU
0.916116,TUMORLU
0.003135,TUMORLU
0.633721,TUMORLU
0.002111,TUMORLU
0.851123,TUMORLU
0.009515,TUMORLU
0.588746,TUMORLU
0.019824,TUMORLU
0.877628,TUMORLU
0.018080,TUMORLU
0.832950,TUMORLU
0.029232,TUMORLU
0.788968,TUMORLU
0.013156,TUMORLU
0.782563,TUMORLU
0.004915,TUMORLU
0.573957,TUMORLU
0.006303,TUMORLU
0.988822,TUMORLU
0.840229,TUMORLU
0.005100,TUMORLU
0.840039,TUMORLU
0.003384,TUMORLU
0.870911,TUMORLU
0.012471,TUMORLU
0.620831,TUMORLU
0.007707,TUMORLU
0.719128,TUMORLU
0.009545,TUMORLU
0.607083,TUMORLU
0.023386,TUMORLU
0.556878,TUMORLU
0.022489,TUMORLU
0.648020,TUMORLU
0.006127,TUMORLU
0.906753,TUMORLU
0.008258,TUMORLU
0.686768,TUMORLU
0.013480,TUMORLU
0.655359,TUMORLU
0.047920,TUMORLU
0.813373,TUMORLU
0.006535,TUMORLU
0.887122,TUMORLU
0.002384,TUMORLU
0.850320,TUMORLU
0.007181,TUMORLU
0.876773,TUMORLU
0.015540,TUMORLU
0.517873,TUMORLU
0.032103,TUMORLU
0.822582,TUMORLU
0.064765,TUMORLU
0.857671,TUMORLU
0.019338,TUMORLU
0.537974,TUMORLU
0.025479,TUMORLU
0.418295,TUMORLU
0.004306,TUMORLU
0.890750,TUMORLU
0.004333,TUMORLU
0.879305,TUMORLU
0.018032,TUMORLU
0.588621,TUMORLU
0.062111,TUMORLU
0.647666,TUMORLU
0.006008,TUMORLU
0.749233,TUMORLU
0.006839,TUMORLU
0.734117,TUMORLU
0.023606,TUMORLU
0.663795,TUMORLU
0.003675,TUMORLU
0.756139,TUMORLU
0.004619,TUMORLU
0.792132,TUMORLU
0.104350,TUMORLU
0.721645,TUMORLU
0.008180,TUMORLU
0.863644,TUMORLU
0.006726,TUMORLU
0.764525,TUMORLU
0.005851,TUMORLU
0.613619,TUMORLU
0.005286,TUMORLU
0.562794,TUMORLU
0.088526,TUMORLU
0.749398,TUMORLU
0.010226,TUMORLU
0.818807,TUMORLU
0.045473,TUMORLU
0.546429,TUMORLU
0.005022,TUMORLU
0.754002,TUMORLU
0.020048,TUMORLU
0.663163,TUMORLU
0.003493,TUMORLU
0.838657,TUMORLU
0.004511,TUMORLU
0.697162,TUMORLU
0.003692,TUMORLU
0.594688,TUMORLU
0.015490,TUMORLU
0.682026,TUMORLU
0.008857,TUMORLU
0.591863,TUMORLU
0.008666,TUMORLU
0.636565,TUMORLU
0.024928,TUMORLU
0.894363,TUMORLU
0.012431,TUMORLU
0.849182,TUMORLU
0.006303,TUMORLU
0.840917,TUMORLU
0.008515,TUMORLU
0.678188,TUMORLU
0.007570,TUMORLU
0.711216,TUMORLU
0.007937,TUMORLU
0.609420,TUMORLU
0.005108,TUMORLU
0.619862,TUMORLU
0.005216,TUMORLU
0.915028,TUMORLU
0.007236,TUMORLU
0.805469,TUMORLU
0.004061,TUMORLU
0.727411,TUMORLU
0.005543,TUMORLU
0.660402,TUMORLU
0.003243,TUMORLU
0.807545,TUMORLU
0.004371,TUMORLU
0.904523,TUMORLU
0.007277,TUMORLU
0.584410,TUMORLU
0.003428,TUMORLU
0.932149,TUMORLU
0.006439,TUMORLU
0.850261,TUMORLU
0.009760,TUMORLU
0.618740,TUMORLU
0.016833,TUMORLU
0.786026,TUMORLU
0.027534,TUMORLU
0.855095,TUMORLU
0.013926,TUMORLU
0.786910,TUMORLU
0.015039,TUMORLU
0.744375,TUMORLU
0.015805,TUMORLU
0.751667,TUMORLU
0.013642,TUMORLU
0.653917,TUMORLU
0.008571,TUMORLU
0.952704,TUMORLU
0.011142,TUMORLU
0.619830,TUMORLU
0.022974,TUMORLU
0.611492,TUMORLU
0.066854,TUMORLU
0.660279,TUMORLU
0.003714,TUMORLU
0.869006,TUMORLU
0.009172,TUMORLU
0.827486,TUMORLU
