@RELATION SINGLE_HL_CONTRAST

@ATTRIBUTE HL_contrast NUMERIC
@ATTRIBUTE class {BASLANGIC,NORMAL,TUMORLU}

@DATA
0.203069,NORMAL
0.000000,NORMAL
0.325933,NORMAL
0.000000,NORMAL
0.322446,NORMAL
0.000000,NORMAL
0.474703,NORMAL
0.000000,NORMAL
0.342053,NORMAL
0.000000,NORMAL
0.328155,NORMAL
0.000000,NORMAL
0.433931,NORMAL
0.000000,NORMAL
0.351779,NORMAL
0.000000,NORMAL
0.842658,NORMAL
0.000000,NORMAL
0.125601,NORMAL
0.000000,NORMAL
0.259160,NORMAL
0.000000,NORMAL
0.216114,NORMAL
0.000000,NORMAL
0.111767,NORMAL
0.000000,NORMAL
0.531353,NORMAL
0.000000,NORMAL
0.638913,NORMAL
0.000000,NORMAL
0.144787,NORMAL
0.000000,NORMAL
0.779524,NORMAL
0.000000,NORMAL
0.372640,NORMAL
0.000000,NORMAL
0.391802,NORMAL
0.000000,NORMAL
0.350550,NORMAL
0.000000,NORMAL
0.530588,NORMAL
0.000000,NORMAL
0.348647,NORMAL
0.000000,NORMAL
0.371783,NORMAL
0.000000,NORMAL
0.522625,NORMAL
0.000000,NORMAL
0.645560,NORMAL
0.000000,NORMAL
0.095498,NORMAL
0.000000,NORMAL
0.165744,NORMAL
0.000000,NORMAL
0.139427,NORMAL
0.000000,NORMAL
0.415291,NORMAL
0.000000,NORMAL
0.476015,NORMAL
0.000000,NORMAL
0.283113,NORMAL
0.000000,NORMAL
0.499901,NORMAL
0.000000,NORMAL
0.613507,NORMAL
0.000000,NORMAL
0.664207,NORMAL
0.000000,NORMAL
0.711302,NORMAL
0.000000,NORMAL
0.550178,NORMAL
0.000000,NORMAL
0.796399,NORMAL
0.000000,NORMAL
0.692252,NORMAL
0.000000,NORMAL
0.427196,NORMAL
0.000000,NORMAL
1.000000,NORMAL
0.000000,NORMAL
0.446738,NORMAL
0.000000,NORMAL
0.603139,NORMAL
0.000000,NORMAL
0.541295,NORMAL
0.000000,NORMAL
0.598131,NORMAL
0.000000,NORMAL
0.351834,NORMAL
0.000000,NORMAL
0.269264,NORMAL
0.000000,NORMAL
0.567250,NORMAL
0.000000,NORMAL
0.451105,NORMAL
0.000000,NORMAL
0.328200,NORMAL
0.000000,NORMAL
0.540452,NORMAL
0.000000,NORMAL
0.473480,NORMAL
0.000000,NORMAL
0.636581,NORMAL
0.000000,NORMAL
0.667838,NORMAL
0.000000,NORMAL
0.531767,NORMAL
0.000000,NORMAL
0.420599,NORMAL
0.000000,NORMAL
0.487412,NORMAL
0.000000,NORMAL
0.796376,NORMAL
0.000000,NORMAL
0.297319,NORMAL
0.000000,NORMAL
0.139124,NORMAL
0.000000,NORMAL
0.286963,NORMAL
0.000000,NORMAL
0.559828,NORMAL
0.000000,NORMAL
0.538350,NORMAL
0.000000,NORMAL
0.545926,NORMAL
0.000000,NORMAL
0.494879,NORMAL
0.000000,NORMAL
0.185398,NORMAL
0.000000,NORMAL
0.079663,NORMAL
0.000000,NORMAL
0.462388,NORMAL
0.000000,NORMAL
0.163386,NORMAL
0.000000,NORMAL
0.637562,NORMAL
0.000000,NORMAL
0.235642,NORMAL
0.000000,NORMAL
0.391569,NORMAL
0.000000,NORMAL
0.343463,NORMAL
0.000000,NORMAL
0.602062,NORMAL
0.000000,NORMAL
0.464888,NORMAL
0.000000,NORMAL
0.506940,NORMAL
0.000000,NORMAL
0.225709,NORMAL
0.000000,NORMAL
0.563073,NORMAL
0.000000,NORMAL
0.307636,NORMAL
0.000000,NORMAL
0.360841,NORMAL
0.000000,NORMAL
0.556619,NORMAL
0.000000,NORMAL
0.993617,NORMAL
0.000000,NORMAL
0.418728,NORMAL
0.000000,NORMAL
0.597341,NORMAL
0.000000,NORMAL
0.642397,NORMAL
0.000000,NORMAL
0.666536,NORMAL
0.000000,NORMAL
0.356113,NORMAL
0.000000,NORMAL
0.664114,NORMAL
0.000000,NORMAL
0.451217,NORMAL
0.000000,NORMAL
0.138384,NORMAL
0.000000,NORMAL
0.199660,NORMAL
0.000000,NORMAL
0.158493,NORMAL
0.000000,NORMAL
0.570938,NORMAL
0.000000,NORMAL
0.247642,NORMAL
0.000000,NORMAL
0.772993,NORMAL
0.000000,NORMAL
0.439222,NORMAL
0.000000,NORMAL
0.402663,NORMAL
0.000000,NORMAL
0.130998,NORMAL
0.000000,NORMAL
0.526765,NORMAL
0.000000,NORMAL
0.703896,NORMAL
0.000000,NORMAL
0.326679,NORMAL
0.000000,NORMAL
0.411007,NORMAL
0.000000,NORMAL
0.209695,NORMAL
0.000000,NORMAL
0.227766,NORMAL
0.000000,NORMAL
0.487140,NORMAL
0.000000,NORMAL
0.331601,NORMAL
0.000000,NORMAL
0.504926,NORMAL
0.000000,NORMAL
0.516702,NORMAL
0.000000,NORMAL
0.616255,NORMAL
0.000000,NORMAL
0.662314,NORMAL
0.000000,NORMAL
0.511242,NORMAL
0.000000,NORMAL
0.157703,NORMAL
0.000000,NORMAL
0.534173,NORMAL
0.000000,NORMAL
0.594351,NORMAL
0.000000,NORMAL
0.502142,NORMAL
0.000000,NORMAL
0.356588,NORMAL
0.000000,NORMAL
0.096351,NORMAL
0.000000,NORMAL
0.465392,NORMAL
0.000000,NORMAL
0.384098,NORMAL
0.000000,NORMAL
0.287869,NORMAL
0.000000,NORMAL
0.112833,NORMAL
0.000000,NORMAL
0.356375,NORMAL
0.000000,NORMAL
0.591915,NORMAL
0.000000,NORMAL
0.128765,TUMORLU
0.114323,TUMORLU
0.169820,TUMORLU
0.197927,TUMORLU
0.068838,TUMORLU
0.178144,TUMORLU
0.056878,TUMORLU
0.119752,TUMORLU
0.089307,TUMORLU
0.152443,TUMORLU
0.078753,TUMORLU
0.281888,TUMORLU
0.069156,TUMORLU
0.242859,TUMORLU
0.050144,TUMORLU
0.227077,TUMORLU
0.049857,TUMORLU
0.234573,TUMORLU
0.077267,TUMORLU
0.219187,TUMORLU
0.087810,TUMORLU
0.155683,TUMORLU
0.064246,TUMORLU
0.321235,TUMORLU
0.099800,TUMORLU
0.063310,TUMORLU
0.072801,TUMORLU
0.071866,TUMORLU
0.088858,TUMORLU
0.146499,TUMORLU
0.125611,TUMORLU
0.224157,TUMORLU
0.079323,TUMORLU
0.348210,TUMORLU
0.062170,TUMORLU
0.648046,TUMORLU
0.119942,TUMORLU
0.361696,TUMORLU
0.125713,TUMORLU
0.402007,TUMORLU
0.205357,TUMORLU
0.134357,TUMORLU
0.132396,TUMORLU
0.107213,TUMORLU
0.176975,TUMORLU
0.335006,TUMORLU
0.146770,TUMORLU
0.349746,TUMORLU
0.221194,TUMORLU
0.318785,TUMORLU
0.072551,TUMORLU
0.518909,TUMORLU
0.054689,TUMORLU
0.355700,TUMORLU
0.035818,TUMORLU
0.225103,TUMORLU
0.134985,TUMORLU
0.231132,TUMORLU
0.179920,TUMORLU
0.196831,TUMORLU
0.353633,TUMORLU
0.392663,TUMORLU
0.160194,TUMORLU
0.286788,TUMORLU
0.201129,TUMORLU
0.366501,TUMORLU
0.072438,TUMORLU
0.559296,TUMORLU
0.205284,TUMORLU
0.241272,TUMORLU
0.066135,TUMORLU
0.275061,TUMORLU
0.133385,TUMORLU
0.261995,TUMORLU
0.080419,TUMORLU
0.339499,TUMORLU
0.106007,TUMORLU
0.058638,TUMORLU
0.094296,TUMORLU
0.082312,TUMORLU
0.072051,TUMORLU
0.376040,TUMORLU
0.125534,TUMORLU
0.074053,TUMORLU
0.180424,TUMORLU
0.095930,TUMORLU
0.040866,TUMORLU
0.142682,TUMORLU
0.163010,TUMORLU
0.235889,TUMORLU
0.074001,TUMORLU
0.293732,TUMORLU
0.110477,TUMORLU
0.356149,TUMORLU
0.059826,TUMORLU
0.432123,TUMORLU
0.094621,TUMORLU
0.304011,TUMORLU
0.108707,TUMORLU
0.554292,TUMORLU
0.100607,TUMORLU
0.537774,TUMORLU
0.128537,TUMORLU
0.372980,TUMORLU
0.032742,TUMORLU
0.107272,TUMORLU
0.158909,TUMORLU
0.062888,TUMORLU
0.112647,TUMORLU
0.053305,TUMORLU
0.618100,TUMORLU
0.201701,TUMORLU
0.329305,TUMORLU
0.095721,TUMORLU
0.353082,TUMORLU
0.125956,TUMORLU
0.447016,TUMORLU
0.139037,TUMORLU
0.675978,TUMORLU
0.110586,TUMORLU
0.211513,TUMORLU
0.061860,TUMORLU
0.171758,TUMORLU
0.122501,TUMORLU
0.319732,TUMORLU
0.105916,TUMORLU
0.133829,TUMORLU
0.089897,TUMORLU
0.192936,TUMORLU
0.066874,TUMORLU
0.426725,TUMORLU
0.062188,TUMORLU
0.198607,TUMORLU
0.084864,TUMORLU
0.361654,TUMORLU
0.102147,TUMORLU
0.277312,TUMORLU
0.081778,TUMORLU
0.131847,TUMORLU
0.087528,TUMORLU
0.070195,TUMORLU
0.111709,TUMORLU
0.126792,TUMORLU
0.212260,TUMORLU
0.178823,TUMORLU
0.084778,TUMORLU
0.326410,TUMORLU
0.046388,TUMORLU
0.436645,TUMORLU
0.125157,TUMORLU
0.066807,TUMORLU
0.161563,TUMORLU
0.445674,TUMORLU
0.101915,TUMORLU
0.125333,TUMORLU
0.131175,TUMORLU
0.427449,TUMORLU
0.116502,TUMORLU
0.296725,TUMORLU
0.171082,TUMORLU
0.207572,TUMORLU
0.100180,TUMORLU
0.205299,TUMORLU
0.102459,TUMORLU
0.137666,TUMORLU
0.090320,TUMORLU
0.587758,TUMORLU
0.138025,TUMORLU
0.629296,TUMORLU
0.094434,TUMORLU
0.560705,TUMORLU
0.145626,TUMORLU
0.329253,TUMORLU
0.079536,TUMORLU
0.584699,TUMORLU
0.070636,TUMORLU
0.213077,TUMORLU
0.142289,TUMORLU
0.547705,TUMORLU
0.086954,TUMORLU
0.305967,TUMORLU
0.110701,TUMORLU
0.228678,TUMORLU
0.080770,TUMORLU
0.374804,TUMORLU
0.096790,TUMORLU
0.149621,TUMORLU
0.153600,TUMORLU
0.174960,TUMORLU
0.099831,TUMORLU
0.260938,TUMORLU
0.114164,TUMORLU
0.166987,TUMORLU
0.108057,TUMORLU
0.160044,TUMORLU
0.067695,TUMORLU
0.104387,TUMORLU
0.060541,TUMORLU
0.074150,TUMORLU
0.056457,TUMORLU
0.475759,TUMORLU
0.141799,TUMORLU
0.374410,TUMORLU
0.157388,TUMORLU
0.229036,TUMORLU
0.161515,TUMORLU
0.469677,TUMORLU
0.169036,TUMORLU
0.142091,TUMORLU
0.083126,TUMORLU
0.146976,TUMORLU
0.096503,TUMORLU
0.538396,TUMORLU
0.081299,TUMORLU
0.132193,TUMORLU
0.085853,TUMORLU
0.342856,TUMORLU
0.078642,TUMORLU
0.187525,TUMORLU
0.038959,TUMORLU
0.074029,TUMORLU
0.087162,TUMORLU
0.203189,TUMORLU
0.032167,TUMORLU
0.161413,TUMORLU
0.086209,TUMORLU
0.215318,TUMORLU
0.076388,TUMORLU
0.299040,TUMORLU
0.103831,TUMORLU
0.352694,TUMORLU
0.091070,TUMORLU
0.088535,TUMORLU
0.107464,TUMORLU
0.464329,TUMORLU
0.100175,TUMORLU
0.133368,TUMORLU
0.075274,TUMORLU
0.421520,TUMORLU
0.083355,TUMORLU
0.409582,TUMORLU
0.048842,TUMORLU
0.241170,TUMORLU
0.102803,TUMORLU
0.044690,TUMORLU
0.074682,TUMORLU
0.101567,TUMORLU
0.110975,TUMORLU
0.425665,TUMORLU
0.061254,TUMORLU
0.145412,TUMORLU
0.062250,TUMORLU
