@RELATION STAT_FFT_FUSION

@ATTRIBUTE stat_skew NUMERIC
@ATTRIBUTE stat_kurtosis NUMERIC
@ATTRIBUTE stat_mean NUMERIC
@ATTRIBUTE stat_std NUMERIC
@ATTRIBUTE fft_mean NUMERIC
@ATTRIBUTE fft_std NUMERIC
@ATTRIBUTE fft_max NUMERIC
@ATTRIBUTE class {BASLANGIC,NORMAL,TUMORLU}

@DATA
0.545979,0.289275,0.009213,0.154944,0.948526,0.773677,0.848551,BASLANGIC
0.052475,0.004501,0.353346,0.234929,0.939870,0.910736,0.966386,BASLANGIC
0.113310,0.009661,0.182356,0.654092,0.975857,0.833896,0.945012,BASLANGIC
0.029346,0.001869,0.480965,0.423061,0.950137,0.960620,0.976349,BASLANGIC
0.171905,0.024905,0.089558,0.473541,0.970925,0.785462,0.922036,BASLANGIC
0.033091,0.002108,0.612595,0.495210,0.958301,0.925721,0.984166,BASLANGIC
0.183008,0.028605,0.079759,0.448027,0.969216,0.799612,0.918292,BASLANGIC
0.045239,0.003125,0.448081,0.383893,0.948197,0.976493,0.974061,BASLANGIC
0.401735,0.152779,0.017080,0.211935,0.955529,0.783834,0.868497,BASLANGIC
0.027801,0.002712,0.397550,0.354246,0.946906,0.951818,0.970194,BASLANGIC
0.124983,0.012139,0.155815,0.610282,0.977021,0.784074,0.939929,BASLANGIC
0.080547,0.006638,0.232482,0.366591,0.933534,0.922286,0.952859,BASLANGIC
0.327698,0.099703,0.025731,0.259558,0.960955,0.787147,0.881737,BASLANGIC
0.049217,0.002721,0.339975,0.424474,0.943664,0.934245,0.965139,BASLANGIC
0.284800,0.074193,0.034017,0.297173,0.963158,0.756286,0.890757,BASLANGIC
0.032786,0.001716,0.729311,0.513486,0.952308,0.949346,0.989801,BASLANGIC
0.284118,0.073899,0.034227,0.297373,0.960919,0.786595,0.890956,BASLANGIC
0.040815,0.003161,0.408174,0.270666,0.946196,0.951223,0.971047,BASLANGIC
0.281079,0.072148,0.034951,0.301280,0.963218,0.778819,0.891632,BASLANGIC
0.029123,0.001176,0.458740,0.463343,0.946077,0.932870,0.974820,BASLANGIC
0.136289,0.014798,0.134938,0.572510,0.978169,0.774078,0.935281,BASLANGIC
0.037677,0.001872,0.471884,0.429093,0.937735,0.953048,0.975733,BASLANGIC
0.162796,0.022078,0.098845,0.495928,0.972192,0.792134,0.925224,BASLANGIC
0.036674,0.002692,0.507708,0.405195,0.947510,0.930726,0.978097,BASLANGIC
0.458565,0.201448,0.013073,0.184941,0.954359,0.740166,0.859857,BASLANGIC
0.013107,0.001013,0.610648,0.489924,0.950229,0.931252,0.984063,BASLANGIC
0.368231,0.127724,0.020292,0.229345,0.956244,0.765110,0.874064,BASLANGIC
0.019918,0.002645,0.596648,0.429862,0.955884,0.947655,0.983313,BASLANGIC
0.157640,0.020543,0.104780,0.509904,0.975495,0.768858,0.927108,BASLANGIC
0.007174,0.002143,0.761200,0.456841,0.955543,0.951750,0.991183,BASLANGIC
0.448692,0.192467,0.013694,0.189527,0.949504,0.826852,0.861357,BASLANGIC
0.027637,0.001265,0.517406,0.492262,0.941576,0.913232,0.978709,BASLANGIC
0.595085,0.345226,0.007748,0.142296,0.947445,0.765112,0.842955,BASLANGIC
0.046440,0.002166,0.373819,0.469755,0.947051,0.923606,0.968206,BASLANGIC
0.153237,0.019275,0.110170,0.522267,0.976802,0.760904,0.928729,BASLANGIC
0.031066,0.001238,0.508817,0.559816,0.950569,0.958731,0.978168,BASLANGIC
0.048198,0.000994,0.484187,0.937718,0.990094,0.777946,0.976565,BASLANGIC
0.013760,0.002039,0.569085,0.416228,0.955542,0.922620,0.981785,BASLANGIC
0.254092,0.058134,0.042613,0.332547,0.966625,0.777418,0.898037,BASLANGIC
0.027133,0.001222,0.490080,0.514475,0.940747,0.958271,0.976956,BASLANGIC
0.451820,0.195875,0.013492,0.186978,0.950897,0.777045,0.860877,BASLANGIC
0.033222,0.001658,0.449675,0.461533,0.964470,0.835589,0.974175,BASLANGIC
0.423225,0.170759,0.015425,0.200231,0.949403,0.822025,0.865203,BASLANGIC
0.038799,0.002331,0.338384,0.397277,0.943307,0.945492,0.964988,BASLANGIC
0.318200,0.093776,0.027288,0.266991,0.960094,0.784956,0.883635,BASLANGIC
0.035587,0.001756,0.456352,0.483610,0.957080,0.935382,0.974652,BASLANGIC
0.161766,0.021760,0.100039,0.499138,0.971810,0.797241,0.925612,BASLANGIC
0.571555,0.317189,0.008387,0.148677,0.950133,0.771740,0.845514,BASLANGIC
0.018216,0.001834,0.576391,0.458341,0.949222,0.953714,0.982197,BASLANGIC
0.310296,0.088844,0.028694,0.274162,0.963367,0.749494,0.885259,BASLANGIC
0.050737,0.004776,0.336699,0.255023,0.938756,0.918440,0.964826,BASLANGIC
0.170651,0.024490,0.090773,0.477448,0.975797,0.753337,0.922471,BASLANGIC
0.057513,0.004011,0.307887,0.366366,0.946717,0.942249,0.961936,BASLANGIC
0.366763,0.126421,0.020594,0.232076,0.958299,0.765968,0.874541,BASLANGIC
0.025578,0.001432,0.494881,0.474717,0.951001,0.945807,0.977271,BASLANGIC
0.234751,0.049142,0.049782,0.357447,0.967666,0.762375,0.903062,BASLANGIC
0.743458,0.545488,0.004949,0.113403,0.945635,0.738042,0.828469,BASLANGIC
0.033685,0.001452,0.560904,0.552302,0.944074,0.945121,0.981317,BASLANGIC
0.183790,0.028857,0.079150,0.446937,0.971145,0.774076,0.918044,BASLANGIC
0.038374,0.001572,0.412018,0.510525,0.954193,0.875474,0.971349,BASLANGIC
0.573834,0.320336,0.008290,0.147380,0.948899,0.788933,0.845141,BASLANGIC
0.013398,0.002237,0.589317,0.327340,0.938120,0.966304,0.982914,BASLANGIC
0.204102,0.036328,0.065009,0.406367,0.970079,0.745653,0.911684,BASLANGIC
0.036362,0.001478,0.564289,0.527424,0.927808,0.997719,0.981512,BASLANGIC
0.073708,0.003352,0.326275,0.826655,0.983593,0.808677,0.963810,BASLANGIC
0.030961,0.003102,0.374627,0.281638,0.933907,0.956248,0.968275,BASLANGIC
0.429598,0.175794,0.014934,0.197836,0.953445,0.796790,0.864158,BASLANGIC
0.050598,0.003433,0.428496,0.385057,0.943048,0.932609,0.972617,BASLANGIC
0.024440,0.000000,0.680161,1.000000,0.993750,0.780174,0.987546,BASLANGIC
0.029419,0.002280,0.485704,0.370683,0.946460,0.954850,0.976666,BASLANGIC
0.206243,0.037139,0.063774,0.402961,0.970067,0.759483,0.911065,BASLANGIC
0.044316,0.002590,0.433396,0.430222,0.953684,0.932668,0.972984,BASLANGIC
0.240234,0.051696,0.047437,0.348462,0.962213,0.788381,0.901502,BASLANGIC
0.020752,0.001970,0.532762,0.443788,0.947239,0.965340,0.979654,BASLANGIC
0.084063,0.004690,0.278125,0.778403,0.983304,0.791032,0.958651,BASLANGIC
0.024213,0.001333,0.576746,0.579462,0.948990,0.951070,0.982217,BASLANGIC
0.079351,0.004054,0.298956,0.800371,0.986146,0.761213,0.960985,BASLANGIC
0.036827,0.002615,0.371369,0.289993,0.941450,0.904704,0.967993,BASLANGIC
0.450701,0.194019,0.013558,0.189069,0.955782,0.759935,0.861034,BASLANGIC
0.051641,0.004235,0.369204,0.253747,0.941486,0.938595,0.967804,BASLANGIC
0.428285,0.174824,0.015096,0.198542,0.954085,0.787805,0.864505,BASLANGIC
0.059024,0.004768,0.355202,0.283787,0.940008,0.955156,0.966555,BASLANGIC
0.457335,0.200537,0.013220,0.185448,0.953233,0.760113,0.860219,BASLANGIC
0.035192,0.002153,0.535806,0.490819,0.951167,0.967912,0.979838,BASLANGIC
0.145142,0.017068,0.121030,0.544769,0.977051,0.756145,0.931766,BASLANGIC
0.018267,0.002087,0.579333,0.446020,0.945193,0.922017,0.982362,BASLANGIC
0.068285,0.002744,0.355074,0.850958,0.983765,0.800031,0.966543,BASLANGIC
0.024655,0.001761,0.545511,0.448030,0.947668,0.924830,0.980418,BASLANGIC
0.476802,0.219435,0.012181,0.177079,0.946596,0.826495,0.857572,BASLANGIC
0.032105,0.002442,0.464164,0.346583,0.954047,0.956475,0.975200,BASLANGIC
0.225090,0.044849,0.053926,0.372186,0.968671,0.770645,0.905645,BASLANGIC
0.038655,0.003008,0.461321,0.274107,0.949533,0.942406,0.975002,BASLANGIC
0.323254,0.096881,0.026476,0.263341,0.959130,0.809286,0.882659,BASLANGIC
0.064290,0.004474,0.172294,0.268298,0.941433,0.927264,0.943178,BASLANGIC
0.246638,0.054639,0.045072,0.340501,0.965024,0.774679,0.899849,BASLANGIC
0.014785,0.001877,0.597356,0.421199,0.952562,0.950904,0.983352,BASLANGIC
0.376483,0.133447,0.019498,0.226222,0.958042,0.758930,0.872774,BASLANGIC
0.043666,0.003618,0.271972,0.231605,0.936017,0.915037,0.957928,BASLANGIC
0.192353,0.031890,0.072692,0.429352,0.971165,0.763855,0.915294,BASLANGIC
0.048369,0.002387,0.449791,0.547938,0.942905,0.975878,0.974184,BASLANGIC
0.069832,0.002912,0.346373,0.843675,0.985185,0.771780,0.965742,BASLANGIC
0.033946,0.002027,0.545248,0.408166,0.950212,0.927043,0.980402,BASLANGIC
0.344890,0.111004,0.023214,0.246805,0.961300,0.754840,0.878410,BASLANGIC
0.034528,0.002422,0.333107,0.354712,0.945696,0.892015,0.964480,BASLANGIC
0.191114,0.031449,0.073584,0.431575,0.969884,0.778814,0.915688,BASLANGIC
0.039849,0.002160,0.629781,0.488432,0.952366,0.939055,0.985060,BASLANGIC
0.442433,0.186912,0.014123,0.192393,0.953434,0.776187,0.862354,BASLANGIC
0.495665,0.236800,0.011211,0.171067,0.952791,0.748845,0.854892,BASLANGIC
0.048463,0.003455,0.375582,0.373277,0.952866,0.955922,0.968358,BASLANGIC
0.123094,0.011717,0.159710,0.617259,0.979412,0.768730,0.940727,BASLANGIC
0.032467,0.001833,0.426932,0.375033,0.945388,0.944632,0.972498,BASLANGIC
0.121612,0.011392,0.162930,0.622860,0.975105,0.817273,0.941372,BASLANGIC
0.019039,0.001285,0.556298,0.451795,0.951057,0.936343,0.981051,BASLANGIC
0.514285,0.255124,0.010393,0.165447,0.951863,0.773900,0.852445,BASLANGIC
0.037408,0.002526,0.448842,0.387145,0.952033,0.955928,0.974116,BASLANGIC
0.301155,0.083568,0.030481,0.281206,0.959215,0.827869,0.887211,BASLANGIC
0.045492,0.002605,0.378542,0.437219,0.955720,0.943918,0.968611,BASLANGIC
0.145474,0.017144,0.120598,0.544661,0.974272,0.800404,0.931651,BASLANGIC
0.027271,0.001555,0.545408,0.448691,0.955498,0.922802,0.980412,BASLANGIC
0.341164,0.108562,0.023775,0.249444,0.960691,0.766369,0.879182,BASLANGIC
0.021462,0.000993,0.595725,0.563685,0.945893,0.947373,0.983263,BASLANGIC
0.489778,0.230546,0.011421,0.173464,0.954400,0.739013,0.855492,BASLANGIC
0.051336,0.004633,0.295552,0.253799,0.940246,0.935186,0.960615,BASLANGIC
0.554159,0.297957,0.008960,0.152981,0.949181,0.765034,0.847651,BASLANGIC
0.024227,0.001580,0.563513,0.469315,0.950251,0.946996,0.981467,BASLANGIC
0.187948,0.030299,0.075918,0.438648,0.972254,0.763834,0.916697,BASLANGIC
0.366585,0.126391,0.020565,0.231581,0.959136,0.741650,0.874495,BASLANGIC
0.030742,0.001517,0.484032,0.487098,0.947571,0.925619,0.976554,BASLANGIC
0.262105,0.062152,0.040097,0.322271,0.966119,0.761273,0.896071,BASLANGIC
0.408952,0.158580,0.016496,0.208285,0.958270,0.738014,0.867371,BASLANGIC
0.012694,0.002771,0.597131,0.319506,0.935421,0.974751,0.983339,BASLANGIC
0.281481,0.072394,0.034807,0.300368,0.962492,0.784538,0.891498,BASLANGIC
0.035703,0.002233,0.462277,0.433821,0.951533,0.947692,0.975068,BASLANGIC
0.374151,0.131678,0.019778,0.227762,0.956890,0.787549,0.873235,BASLANGIC
0.018317,0.001259,0.544967,0.482677,0.943289,0.963434,0.980386,BASLANGIC
0.103603,0.007813,0.208766,0.693436,0.983656,0.749981,0.949382,BASLANGIC
0.043357,0.003144,0.527582,0.408851,0.954682,0.921430,0.979338,BASLANGIC
0.088067,0.005272,0.262043,0.759884,0.983219,0.766306,0.956726,BASLANGIC
0.018383,0.001191,0.579384,0.504130,0.957139,0.953160,0.982365,BASLANGIC
0.187797,0.030247,0.076052,0.438892,0.973336,0.755008,0.916754,BASLANGIC
0.060025,0.001919,0.403384,0.889403,0.987319,0.791405,0.970665,BASLANGIC
0.028711,0.002334,0.495416,0.368988,0.945400,0.975811,0.977306,BASLANGIC
0.204971,0.036657,0.064459,0.404777,0.967733,0.784867,0.911410,BASLANGIC
0.043854,0.001867,0.529179,0.523257,0.934156,0.986575,0.979436,BASLANGIC
0.196039,0.033292,0.070155,0.420986,0.964002,0.859074,0.914146,BASLANGIC
0.307342,0.087197,0.029243,0.275795,0.959433,0.791550,0.885871,BASLANGIC
0.012142,0.001812,0.606804,0.434343,0.949642,0.920485,0.983859,BASLANGIC
0.346501,0.112355,0.023131,0.245080,0.957028,0.771774,0.878294,BASLANGIC
0.055971,0.004526,0.317223,0.282039,0.939053,0.943952,0.962901,BASLANGIC
0.191066,0.031430,0.073718,0.432054,0.969971,0.771188,0.915747,BASLANGIC
0.017898,0.001696,0.530043,0.425991,0.948863,0.948248,0.979489,BASLANGIC
0.119717,0.010993,0.167268,0.629428,0.979554,0.760606,0.942221,BASLANGIC
0.025682,0.001965,0.578720,0.424581,0.952137,0.957825,0.982327,BASLANGIC
0.454813,0.198290,0.013314,0.186373,0.953165,0.759717,0.860448,BASLANGIC
0.014979,0.001603,0.588792,0.431931,0.950442,0.915868,0.982885,BASLANGIC
0.325862,0.098593,0.026038,0.260811,0.962506,0.747804,0.882119,BASLANGIC
0.044944,0.003918,0.429406,0.350121,0.945892,0.928616,0.972685,BASLANGIC
0.300952,0.083312,0.030460,0.282093,0.965162,0.736310,0.887188,BASLANGIC
0.029652,0.001365,0.460319,0.489711,0.946299,0.953654,0.974931,BASLANGIC
0.295210,0.080036,0.031761,0.287609,0.964880,0.736710,0.888539,BASLANGIC
0.009839,0.002750,0.599325,0.311531,0.938828,0.958726,0.983458,BASLANGIC
0.242450,0.052631,0.046685,0.346913,0.967116,0.775414,0.900986,BASLANGIC
0.035081,0.001768,0.440256,0.455144,0.948551,0.953413,0.973491,BASLANGIC
0.121613,0.011388,0.162927,0.623032,0.981085,0.744738,0.941372,BASLANGIC
0.066857,0.004500,0.314649,0.364390,0.935436,0.972387,0.962638,BASLANGIC
0.099603,0.007120,0.220731,0.708391,0.979882,0.779634,0.951183,BASLANGIC
0.032555,0.000975,0.599010,0.571071,0.933116,0.993936,0.983441,BASLANGIC
0.343129,0.110001,0.023484,0.247319,0.953124,0.837533,0.878784,BASLANGIC
0.040293,0.003646,0.311260,0.281855,0.940103,0.930939,0.962288,BASLANGIC
0.384808,0.139717,0.018640,0.221221,0.958094,0.749597,0.871320,BASLANGIC
0.048101,0.003983,0.459395,0.341878,0.944974,0.933314,0.974866,BASLANGIC
0.217047,0.041478,0.057813,0.384560,0.968266,0.784770,0.907894,BASLANGIC
0.011251,0.002609,0.594740,0.306771,0.936920,0.952132,0.983210,BASLANGIC
0.187793,0.030243,0.076097,0.439130,0.974572,0.741713,0.916773,BASLANGIC
0.028570,0.002755,0.646808,0.315190,0.955762,0.910154,0.985922,BASLANGIC
0.332404,0.102887,0.024966,0.254863,0.958391,0.781157,0.880761,BASLANGIC
0.018530,0.002628,0.574209,0.327646,0.936244,0.951254,0.982075,BASLANGIC
0.389334,0.143137,0.018257,0.218930,0.958444,0.750114,0.870649,BASLANGIC
0.027568,0.002620,0.479461,0.327541,0.949229,0.917167,0.976248,BASLANGIC
0.272145,0.067328,0.037180,0.310848,0.965723,0.761065,0.893630,BASLANGIC
0.049465,0.005036,0.421254,0.232472,0.937919,0.950791,0.972066,BASLANGIC
0.329499,0.100893,0.025442,0.257930,0.959280,0.790119,0.881372,BASLANGIC
0.023830,0.002519,0.554721,0.341669,0.935521,0.955971,0.980959,BASLANGIC
0.401447,0.152715,0.017119,0.211628,0.956995,0.753949,0.868569,BASLANGIC
0.049518,0.003262,0.332615,0.331533,0.936698,0.907655,0.964432,BASLANGIC
0.725381,0.517744,0.005197,0.117019,0.947687,0.723814,0.830051,BASLANGIC
0.062693,0.005686,0.347469,0.266354,0.939815,0.929363,0.965844,BASLANGIC
0.200467,0.034867,0.067246,0.414376,0.969635,0.776055,0.912778,BASLANGIC
0.024548,0.002161,0.516290,0.339379,0.937959,0.944777,0.978639,BASLANGIC
0.238700,0.050886,0.048119,0.352126,0.967283,0.754103,0.901964,BASLANGIC
0.030241,0.001819,0.475841,0.337168,0.945856,0.924315,0.976003,NORMAL
0.015915,0.003492,0.000000,0.000000,0.000000,0.000000,0.000000,NORMAL
0.048080,0.002707,0.432287,0.435460,0.950458,0.959888,0.972901,NORMAL
0.015915,0.003492,0.000000,0.000000,0.000000,0.000000,0.000000,NORMAL
0.051508,0.003931,0.638519,0.400709,0.944118,0.961619,0.985505,NORMAL
0.015915,0.003492,0.000000,0.000000,0.000000,0.000000,0.000000,NORMAL
0.011523,0.002160,0.673956,0.414313,0.947302,0.947988,0.987250,NORMAL
0.015915,0.003492,0.000000,0.000000,0.000000,0.000000,0.000000,NORMAL
0.027504,0.002316,0.632024,0.361227,0.956395,0.901016,0.985174,NORMAL
0.015915,0.003492,0.000000,0.000000,0.000000,0.000000,0.000000,NORMAL
0.012223,0.001608,0.630044,0.437132,0.953994,0.927707,0.985073,NORMAL
0.015915,0.003492,0.000000,0.000000,0.000000,0.000000,0.000000,NORMAL
0.036740,0.002409,0.363816,0.398003,0.950997,0.912333,0.967329,NORMAL
0.015915,0.003492,0.000000,0.000000,0.000000,0.000000,0.000000,NORMAL
0.053435,0.002673,0.272667,0.422735,0.939742,0.935181,0.958011,NORMAL
0.015915,0.003492,0.000000,0.000000,0.000000,0.000000,0.000000,NORMAL
0.053574,0.002837,0.269688,0.414295,0.941249,0.953208,0.957656,NORMAL
0.015915,0.003492,0.000000,0.000000,0.000000,0.000000,0.000000,NORMAL
0.013820,0.001767,0.537955,0.418167,0.949108,0.950527,0.979967,NORMAL
0.015915,0.003492,0.000000,0.000000,0.000000,0.000000,0.000000,NORMAL
0.027622,0.002346,0.624395,0.366191,0.949327,0.934132,0.984782,NORMAL
0.015915,0.003492,0.000000,0.000000,0.000000,0.000000,0.000000,NORMAL
0.011112,0.002086,0.677567,0.415485,0.947270,0.941633,0.987423,NORMAL
0.015915,0.003492,0.000000,0.000000,0.000000,0.000000,0.000000,NORMAL
0.016910,0.001280,0.623365,0.485152,0.949023,0.941408,0.984729,NORMAL
0.015915,0.003492,0.000000,0.000000,0.000000,0.000000,0.000000,NORMAL
0.021240,0.001083,0.600693,0.515616,0.951660,0.911582,0.983532,NORMAL
0.015915,0.003492,0.000000,0.000000,0.000000,0.000000,0.000000,NORMAL
0.024710,0.001925,0.654110,0.464487,0.954370,0.928204,0.986284,NORMAL
0.015915,0.003492,0.000000,0.000000,0.000000,0.000000,0.000000,NORMAL
0.028799,0.001219,0.452373,0.466079,0.936650,0.977019,0.974369,NORMAL
0.015915,0.003492,0.000000,0.000000,0.000000,0.000000,0.000000,NORMAL
0.041677,0.001592,0.348851,0.453570,0.941063,0.915131,0.965972,NORMAL
0.015915,0.003492,0.000000,0.000000,0.000000,0.000000,0.000000,NORMAL
0.037307,0.002793,0.357216,0.268517,0.940529,0.961021,0.966738,NORMAL
0.015915,0.003492,0.000000,0.000000,0.000000,0.000000,0.000000,NORMAL
0.040989,0.003163,0.519601,0.237823,0.949892,0.952755,0.978846,NORMAL
0.015915,0.003492,0.000000,0.000000,0.000000,0.000000,0.000000,NORMAL
0.032467,0.001308,0.421028,0.508880,0.944208,0.926469,0.972048,NORMAL
0.015915,0.003492,0.000000,0.000000,0.000000,0.000000,0.000000,NORMAL
0.018742,0.001551,0.534934,0.418132,0.942348,0.947533,0.979785,NORMAL
0.015915,0.003492,0.000000,0.000000,0.000000,0.000000,0.000000,NORMAL
0.017980,0.001807,0.616365,0.433993,0.949832,0.935824,0.984364,NORMAL
0.015915,0.003492,0.000000,0.000000,0.000000,0.000000,0.000000,NORMAL
0.046878,0.002112,0.435239,0.443871,0.944690,0.953419,0.973121,NORMAL
0.015915,0.003492,0.000000,0.000000,0.000000,0.000000,0.000000,NORMAL
0.015776,0.002047,0.590724,0.369405,0.950447,0.910367,0.982991,NORMAL
0.015915,0.003492,0.000000,0.000000,0.000000,0.000000,0.000000,NORMAL
0.049606,0.003397,0.412216,0.258674,0.942827,0.905813,0.971365,NORMAL
0.015915,0.003492,0.000000,0.000000,0.000000,0.000000,0.000000,NORMAL
0.049153,0.004127,0.333893,0.245056,0.931143,0.916236,0.964556,NORMAL
0.015915,0.003492,0.000000,0.000000,0.000000,0.000000,0.000000,NORMAL
0.041723,0.002080,0.393173,0.437141,0.944607,0.945545,0.969837,NORMAL
0.015915,0.003492,0.000000,0.000000,0.000000,0.000000,0.000000,NORMAL
0.055131,0.004425,0.261287,0.238631,0.938669,0.928786,0.956633,NORMAL
0.015915,0.003492,0.000000,0.000000,0.000000,0.000000,0.000000,NORMAL
0.038863,0.001915,0.440435,0.505510,0.939667,0.973996,0.973505,NORMAL
0.015915,0.003492,0.000000,0.000000,0.000000,0.000000,0.000000,NORMAL
0.035634,0.001492,0.522694,0.478542,0.953596,0.825819,0.979037,NORMAL
0.015915,0.003492,0.000000,0.000000,0.000000,0.000000,0.000000,NORMAL
0.024441,0.002925,0.605971,0.310252,0.951937,0.936113,0.983814,NORMAL
0.015915,0.003492,0.000000,0.000000,0.000000,0.000000,0.000000,NORMAL
0.030734,0.002093,0.615839,0.390913,0.951456,0.938872,0.984336,NORMAL
0.015915,0.003492,0.000000,0.000000,0.000000,0.000000,0.000000,NORMAL
0.011890,0.001182,0.666132,0.505727,0.941023,0.921084,0.986873,NORMAL
0.015915,0.003492,0.000000,0.000000,0.000000,0.000000,0.000000,NORMAL
