@RELATION SINGLE_LH_ENERGY

@ATTRIBUTE LH_energy NUMERIC
@ATTRIBUTE class {BASLANGIC,NORMAL,TUMORLU}

@DATA
0.045710,NORMAL
1.000000,NORMAL
0.044493,NORMAL
1.000000,NORMAL
0.234211,NORMAL
1.000000,NORMAL
0.357755,NORMAL
1.000000,NORMAL
0.354692,NORMAL
1.000000,NORMAL
0.085036,NORMAL
1.000000,NORMAL
0.115087,NORMAL
1.000000,NORMAL
0.013923,NORMAL
1.000000,NORMAL
0.011638,NORMAL
1.000000,NORMAL
0.232186,NORMAL
1.000000,NORMAL
0.165449,NORMAL
1.000000,NORMAL
0.326851,NORMAL
1.000000,NORMAL
0.244101,NORMAL
1.000000,NORMAL
0.214192,NORMAL
1.000000,NORMAL
0.053477,NORMAL
1.000000,NORMAL
0.248269,NORMAL
1.000000,NORMAL
0.147364,NORMAL
1.000000,NORMAL
0.059615,NORMAL
1.000000,NORMAL
0.131256,NORMAL
1.000000,NORMAL
0.099383,NORMAL
1.000000,NORMAL
0.142261,NORMAL
1.000000,NORMAL
0.140426,NORMAL
1.000000,NORMAL
0.185948,NORMAL
1.000000,NORMAL
0.236967,NORMAL
1.000000,NORMAL
0.267300,NORMAL
1.000000,NORMAL
0.439783,NORMAL
1.000000,NORMAL
0.101922,NORMAL
1.000000,NORMAL
0.117485,NORMAL
1.000000,NORMAL
0.151143,NORMAL
1.000000,NORMAL
0.245257,NORMAL
1.000000,NORMAL
0.079563,NORMAL
1.000000,NORMAL
0.263924,NORMAL
1.000000,NORMAL
0.272234,NORMAL
1.000000,NORMAL
0.225173,NORMAL
1.000000,NORMAL
0.229090,NORMAL
1.000000,NORMAL
0.188382,NORMAL
1.000000,NORMAL
0.078638,NORMAL
1.000000,NORMAL
0.224809,NORMAL
1.000000,NORMAL
0.150900,NORMAL
1.000000,NORMAL
0.068824,NORMAL
1.000000,NORMAL
0.295016,NORMAL
1.000000,NORMAL
0.251549,NORMAL
1.000000,NORMAL
0.132063,NORMAL
1.000000,NORMAL
0.023989,NORMAL
1.000000,NORMAL
0.232130,NORMAL
1.000000,NORMAL
0.123782,NORMAL
1.000000,NORMAL
0.173504,NORMAL
1.000000,NORMAL
0.245880,NORMAL
1.000000,NORMAL
0.121546,NORMAL
1.000000,NORMAL
0.157007,NORMAL
1.000000,NORMAL
0.104537,NORMAL
1.000000,NORMAL
0.218203,NORMAL
1.000000,NORMAL
0.260159,NORMAL
1.000000,NORMAL
0.308594,NORMAL
1.000000,NORMAL
0.195323,NORMAL
1.000000,NORMAL
0.279138,NORMAL
1.000000,NORMAL
0.061410,NORMAL
1.000000,NORMAL
0.194733,NORMAL
1.000000,NORMAL
0.162704,NORMAL
1.000000,NORMAL
0.134859,NORMAL
1.000000,NORMAL
0.090002,NORMAL
1.000000,NORMAL
0.224954,NORMAL
1.000000,NORMAL
0.284829,NORMAL
1.000000,NORMAL
0.224641,NORMAL
1.000000,NORMAL
0.204712,NORMAL
1.000000,NORMAL
0.189529,NORMAL
1.000000,NORMAL
0.138454,NORMAL
1.000000,NORMAL
0.179579,NORMAL
1.000000,NORMAL
0.180163,NORMAL
1.000000,NORMAL
0.028337,NORMAL
1.000000,NORMAL
0.069798,NORMAL
1.000000,NORMAL
0.083888,NORMAL
1.000000,NORMAL
0.242460,NORMAL
1.000000,NORMAL
0.203945,NORMAL
1.000000,NORMAL
0.147017,NORMAL
1.000000,NORMAL
0.047465,NORMAL
1.000000,NORMAL
0.131779,NORMAL
1.000000,NORMAL
0.022723,NORMAL
1.000000,NORMAL
0.041766,NORMAL
1.000000,NORMAL
0.103432,NORMAL
1.000000,NORMAL
0.111456,NORMAL
1.000000,NORMAL
0.147893,NORMAL
1.000000,NORMAL
0.208269,NORMAL
1.000000,NORMAL
0.077324,NORMAL
1.000000,NORMAL
0.230629,NORMAL
1.000000,NORMAL
0.314847,NORMAL
1.000000,NORMAL
0.248854,NORMAL
1.000000,NORMAL
0.096617,NORMAL
1.000000,NORMAL
0.115296,NORMAL
1.000000,NORMAL
0.015520,NORMAL
1.000000,NORMAL
0.000000,NORMAL
1.000000,NORMAL
0.192424,NORMAL
1.000000,NORMAL
0.217341,NORMAL
1.000000,NORMAL
0.171555,NORMAL
1.000000,NORMAL
0.101421,NORMAL
1.000000,NORMAL
0.164849,NORMAL
1.000000,NORMAL
0.128779,NORMAL
1.000000,NORMAL
0.123198,NORMAL
1.000000,NORMAL
0.146596,NORMAL
1.000000,NORMAL
0.144203,NORMAL
1.000000,NORMAL
0.126319,NORMAL
1.000000,NORMAL
0.109254,NORMAL
1.000000,NORMAL
0.088155,NORMAL
1.000000,NORMAL
0.180735,NORMAL
1.000000,NORMAL
0.129045,NORMAL
1.000000,NORMAL
0.120044,NORMAL
1.000000,NORMAL
0.053017,NORMAL
1.000000,NORMAL
0.247206,NORMAL
1.000000,NORMAL
0.095760,NORMAL
1.000000,NORMAL
0.316643,NORMAL
1.000000,NORMAL
0.141382,NORMAL
1.000000,NORMAL
0.040000,NORMAL
1.000000,NORMAL
0.191377,NORMAL
1.000000,NORMAL
0.282560,NORMAL
1.000000,NORMAL
0.093802,NORMAL
1.000000,NORMAL
0.162079,NORMAL
1.000000,NORMAL
0.069271,NORMAL
1.000000,NORMAL
0.229495,NORMAL
1.000000,NORMAL
0.087452,NORMAL
1.000000,NORMAL
0.106872,NORMAL
1.000000,NORMAL
0.140310,NORMAL
1.000000,NORMAL
0.151208,NORMAL
1.000000,NORMAL
0.917187,TUMORLU
0.094693,TUMORLU
0.909766,TUMORLU
0.237170,TUMORLU
0.966110,TUMORLU
0.207622,TUMORLU
0.961172,TUMORLU
0.183365,TUMORLU
0.965133,TUMORLU
0.183423,TUMORLU
0.964072,TUMORLU
0.171121,TUMORLU
0.969421,TUMORLU
0.175392,TUMORLU
0.961399,TUMORLU
0.195459,TUMORLU
0.967450,TUMORLU
0.065424,TUMORLU
0.980835,TUMORLU
0.117908,TUMORLU
0.958507,TUMORLU
0.047472,TUMORLU
0.976745,TUMORLU
0.075609,TUMORLU
0.955752,TUMORLU
0.335480,TUMORLU
0.938313,TUMORLU
0.215750,TUMORLU
0.926788,TUMORLU
0.136795,TUMORLU
0.915429,TUMORLU
0.275158,TUMORLU
0.968717,TUMORLU
0.297270,TUMORLU
0.957381,TUMORLU
0.111231,TUMORLU
0.936168,TUMORLU
0.163597,TUMORLU
0.946638,TUMORLU
0.214313,TUMORLU
0.935599,TUMORLU
0.324242,TUMORLU
0.935788,TUMORLU
0.247162,TUMORLU
0.909970,TUMORLU
0.182590,TUMORLU
0.920882,TUMORLU
0.215914,TUMORLU
0.909534,TUMORLU
0.170213,TUMORLU
0.972590,TUMORLU
0.227430,TUMORLU
0.972737,TUMORLU
0.180659,TUMORLU
0.977033,TUMORLU
0.231306,TUMORLU
0.933681,TUMORLU
0.271166,TUMORLU
0.920851,TUMORLU
0.224857,TUMORLU
0.892411,TUMORLU
0.242470,TUMORLU
0.928485,TUMORLU
0.143930,TUMORLU
0.910439,TUMORLU
0.059536,TUMORLU
0.967872,TUMORLU
0.120844,TUMORLU
0.940857,TUMORLU
0.456521,TUMORLU
0.958378,TUMORLU
0.403490,TUMORLU
0.941904,TUMORLU
0.077188,TUMORLU
0.974217,TUMORLU
0.243351,TUMORLU
0.944522,TUMORLU
0.125552,TUMORLU
0.944575,TUMORLU
0.152869,TUMORLU
0.953667,TUMORLU
0.157344,TUMORLU
0.946705,TUMORLU
0.203021,TUMORLU
0.921871,TUMORLU
0.151308,TUMORLU
0.977175,TUMORLU
0.082134,TUMORLU
0.932853,TUMORLU
0.049838,TUMORLU
0.963723,TUMORLU
0.167795,TUMORLU
0.926558,TUMORLU
0.263749,TUMORLU
0.972523,TUMORLU
0.222366,TUMORLU
0.955405,TUMORLU
0.329667,TUMORLU
0.952602,TUMORLU
0.201750,TUMORLU
0.957377,TUMORLU
0.119763,TUMORLU
0.929722,TUMORLU
0.118665,TUMORLU
0.992881,TUMORLU
0.959486,TUMORLU
0.105451,TUMORLU
0.968648,TUMORLU
0.093761,TUMORLU
0.968383,TUMORLU
0.165778,TUMORLU
0.945062,TUMORLU
0.188369,TUMORLU
0.955488,TUMORLU
0.161691,TUMORLU
0.943064,TUMORLU
0.115966,TUMORLU
0.931850,TUMORLU
0.143093,TUMORLU
0.933234,TUMORLU
0.166004,TUMORLU
0.972239,TUMORLU
0.035082,TUMORLU
0.936276,TUMORLU
0.219981,TUMORLU
0.932562,TUMORLU
0.229365,TUMORLU
0.946988,TUMORLU
0.271974,TUMORLU
0.972030,TUMORLU
0.220476,TUMORLU
0.958229,TUMORLU
0.187829,TUMORLU
0.971900,TUMORLU
0.114298,TUMORLU
0.936273,TUMORLU
0.238552,TUMORLU
0.954144,TUMORLU
0.297757,TUMORLU
0.968930,TUMORLU
0.104647,TUMORLU
0.919589,TUMORLU
0.146426,TUMORLU
0.926262,TUMORLU
0.124518,TUMORLU
0.970269,TUMORLU
0.076079,TUMORLU
0.966886,TUMORLU
0.177499,TUMORLU
0.933403,TUMORLU
0.210545,TUMORLU
0.937773,TUMORLU
0.090999,TUMORLU
0.961608,TUMORLU
0.107685,TUMORLU
0.960549,TUMORLU
0.227301,TUMORLU
0.945077,TUMORLU
0.072161,TUMORLU
0.950316,TUMORLU
0.134283,TUMORLU
0.963308,TUMORLU
0.365203,TUMORLU
0.940349,TUMORLU
0.171527,TUMORLU
0.967175,TUMORLU
0.129571,TUMORLU
0.952807,TUMORLU
0.282314,TUMORLU
0.936137,TUMORLU
0.237993,TUMORLU
0.926379,TUMORLU
0.305393,TUMORLU
0.954218,TUMORLU
0.137067,TUMORLU
0.970833,TUMORLU
0.167505,TUMORLU
0.916931,TUMORLU
0.083356,TUMORLU
0.957123,TUMORLU
0.345476,TUMORLU
0.938307,TUMORLU
0.101427,TUMORLU
0.958725,TUMORLU
0.165433,TUMORLU
0.956203,TUMORLU
0.071867,TUMORLU
0.940245,TUMORLU
0.298310,TUMORLU
0.940073,TUMORLU
0.160822,TUMORLU
0.938511,TUMORLU
0.188129,TUMORLU
0.937474,TUMORLU
0.159730,TUMORLU
0.968087,TUMORLU
0.137960,TUMORLU
0.962946,TUMORLU
0.154365,TUMORLU
0.958505,TUMORLU
0.115647,TUMORLU
0.933474,TUMORLU
0.118224,TUMORLU
0.943663,TUMORLU
0.133520,TUMORLU
0.938469,TUMORLU
0.073382,TUMORLU
0.927351,TUMORLU
0.110167,TUMORLU
0.979425,TUMORLU
0.139006,TUMORLU
0.955648,TUMORLU
0.133417,TUMORLU
0.943941,TUMORLU
0.092219,TUMORLU
0.943510,TUMORLU
0.078746,TUMORLU
0.961756,TUMORLU
0.164520,TUMORLU
0.975061,TUMORLU
0.252054,TUMORLU
0.932885,TUMORLU
0.118820,TUMORLU
0.981890,TUMORLU
0.116745,TUMORLU
0.959006,TUMORLU
0.273642,TUMORLU
0.935580,TUMORLU
0.195253,TUMORLU
0.942882,TUMORLU
0.178611,TUMORLU
0.966187,TUMORLU
0.112973,TUMORLU
0.957517,TUMORLU
0.187321,TUMORLU
0.958454,TUMORLU
0.248951,TUMORLU
0.949929,TUMORLU
0.228725,TUMORLU
0.940706,TUMORLU
0.167312,TUMORLU
0.986398,TUMORLU
0.168110,TUMORLU
0.938954,TUMORLU
0.320627,TUMORLU
0.934647,TUMORLU
0.433877,TUMORLU
0.943478,TUMORLU
0.120835,TUMORLU
0.974351,TUMORLU
0.288656,TUMORLU
0.962169,TUMORLU
