@RELATION SINGLE_HH_CONTRAST

@ATTRIBUTE HH_contrast NUMERIC
@ATTRIBUTE class {BASLANGIC,NORMAL,TUMORLU}

@DATA
0.088659,BASLANGIC
0.666581,BASLANGIC
0.170059,BASLANGIC
0.269967,BASLANGIC
0.135264,BASLANGIC
0.272951,BASLANGIC
0.046709,BASLANGIC
0.685350,BASLANGIC
0.059684,BASLANGIC
0.517272,BASLANGIC
0.081659,BASLANGIC
0.300810,BASLANGIC
0.126904,BASLANGIC
0.221134,BASLANGIC
0.038273,BASLANGIC
0.271325,BASLANGIC
0.066026,BASLANGIC
0.459055,BASLANGIC
0.101389,BASLANGIC
0.597701,BASLANGIC
0.047285,BASLANGIC
0.211180,BASLANGIC
0.062832,BASLANGIC
0.335122,BASLANGIC
0.025813,BASLANGIC
0.237825,BASLANGIC
0.082798,BASLANGIC
0.215991,BASLANGIC
0.114808,BASLANGIC
0.435162,NORMAL
0.000000,NORMAL
0.542422,NORMAL
0.000000,NORMAL
0.617110,NORMAL
0.000000,NORMAL
0.213630,NORMAL
0.000000,NORMAL
0.447719,NORMAL
0.000000,NORMAL
0.133026,NORMAL
0.000000,NORMAL
0.260863,NORMAL
0.000000,NORMAL
0.341509,NORMAL
0.000000,NORMAL
0.440314,NORMAL
0.000000,NORMAL
0.566432,NORMAL
0.000000,NORMAL
0.189942,NORMAL
0.000000,NORMAL
0.217698,NORMAL
0.000000,NORMAL
0.675355,NORMAL
0.000000,NORMAL
0.488741,NORMAL
0.000000,NORMAL
0.401793,NORMAL
0.000000,NORMAL
0.523522,NORMAL
0.000000,NORMAL
0.414318,NORMAL
0.000000,NORMAL
0.481347,NORMAL
0.000000,NORMAL
0.733553,NORMAL
0.000000,NORMAL
0.615697,NORMAL
0.000000,NORMAL
0.616529,NORMAL
0.000000,NORMAL
0.742891,NORMAL
0.000000,NORMAL
0.596912,NORMAL
0.000000,NORMAL
0.149348,NORMAL
0.000000,NORMAL
0.287864,NORMAL
0.000000,NORMAL
0.530051,NORMAL
0.000000,NORMAL
0.542215,NORMAL
0.000000,NORMAL
0.575850,NORMAL
0.000000,NORMAL
0.355258,NORMAL
0.000000,NORMAL
0.084116,NORMAL
0.000000,NORMAL
0.181758,NORMAL
0.000000,NORMAL
0.295945,NORMAL
0.000000,NORMAL
0.472843,NORMAL
0.000000,NORMAL
0.553296,NORMAL
0.000000,NORMAL
0.709676,NORMAL
0.000000,NORMAL
0.397609,NORMAL
0.000000,NORMAL
0.452375,NORMAL
0.000000,NORMAL
0.448443,NORMAL
0.000000,NORMAL
0.538656,NORMAL
0.000000,NORMAL
0.497212,NORMAL
0.000000,NORMAL
0.472413,NORMAL
0.000000,NORMAL
0.348772,NORMAL
0.000000,NORMAL
0.443559,NORMAL
0.000000,NORMAL
0.434207,NORMAL
0.000000,NORMAL
0.633601,NORMAL
0.000000,NORMAL
0.518238,NORMAL
0.000000,NORMAL
0.582120,NORMAL
0.000000,NORMAL
0.438798,NORMAL
0.000000,NORMAL
0.508792,NORMAL
0.000000,NORMAL
0.558282,NORMAL
0.000000,NORMAL
0.485943,NORMAL
0.000000,NORMAL
0.324290,NORMAL
0.000000,NORMAL
0.535833,NORMAL
0.000000,NORMAL
0.495489,NORMAL
0.000000,NORMAL
0.887344,NORMAL
0.000000,NORMAL
0.524431,NORMAL
0.000000,NORMAL
0.586600,NORMAL
0.000000,NORMAL
0.391341,NORMAL
0.000000,NORMAL
0.412590,NORMAL
0.000000,NORMAL
0.532466,NORMAL
0.000000,NORMAL
0.638040,NORMAL
0.000000,NORMAL
0.601040,NORMAL
0.000000,NORMAL
0.624315,NORMAL
0.000000,NORMAL
0.524288,NORMAL
0.000000,NORMAL
0.609846,NORMAL
0.000000,NORMAL
0.278046,NORMAL
0.000000,NORMAL
0.369775,NORMAL
0.000000,NORMAL
0.545939,NORMAL
0.000000,NORMAL
0.234830,NORMAL
0.000000,NORMAL
0.231025,NORMAL
0.000000,NORMAL
0.508125,NORMAL
0.000000,NORMAL
0.263060,NORMAL
0.000000,NORMAL
0.461273,NORMAL
0.000000,NORMAL
0.509440,NORMAL
0.000000,NORMAL
0.589652,NORMAL
0.000000,NORMAL
0.155775,NORMAL
0.000000,NORMAL
0.511615,NORMAL
0.000000,NORMAL
0.226830,NORMAL
0.000000,NORMAL
0.324271,NORMAL
0.000000,NORMAL
0.387779,NORMAL
0.000000,NORMAL
0.420654,NORMAL
0.000000,NORMAL
1.000000,NORMAL
0.000000,NORMAL
0.355830,NORMAL
0.000000,NORMAL
0.767819,NORMAL
0.000000,NORMAL
0.900272,NORMAL
0.000000,NORMAL
0.541262,NORMAL
0.000000,NORMAL
0.169199,NORMAL
0.000000,NORMAL
0.201558,NORMAL
0.000000,NORMAL
0.578673,NORMAL
0.000000,NORMAL
0.355522,NORMAL
0.000000,NORMAL
0.453563,NORMAL
0.000000,NORMAL
0.700814,NORMAL
0.000000,NORMAL
0.861978,NORMAL
0.000000,NORMAL
0.622282,NORMAL
0.000000,NORMAL
0.114859,NORMAL
0.000000,NORMAL
0.705193,NORMAL
0.000000,NORMAL
0.455200,NORMAL
0.000000,NORMAL
0.534111,NORMAL
0.000000,NORMAL
0.554439,NORMAL
0.000000,NORMAL
0.156737,NORMAL
0.000000,NORMAL
0.303438,NORMAL
0.000000,NORMAL
0.620056,NORMAL
0.000000,NORMAL
0.519299,NORMAL
0.000000,NORMAL
0.296226,NORMAL
0.000000,NORMAL
0.174444,NORMAL
0.000000,NORMAL
0.540358,NORMAL
0.000000,NORMAL
0.476088,NORMAL
0.000000,NORMAL
0.324353,NORMAL
0.000000,NORMAL
0.479572,NORMAL
0.000000,NORMAL
0.512470,NORMAL
0.000000,NORMAL
0.679947,NORMAL
0.000000,NORMAL
0.280511,NORMAL
0.000000,NORMAL
0.565001,NORMAL
0.000000,NORMAL
0.543007,NORMAL
0.000000,NORMAL
0.595339,NORMAL
0.000000,NORMAL
0.676701,NORMAL
0.000000,NORMAL
0.326833,NORMAL
0.000000,NORMAL
0.460891,NORMAL
0.000000,NORMAL
0.383856,NORMAL
0.000000,NORMAL
0.100194,NORMAL
0.000000,NORMAL
0.598241,NORMAL
0.000000,NORMAL
0.341342,NORMAL
0.000000,NORMAL
0.372806,NORMAL
0.000000,NORMAL
0.504079,NORMAL
0.000000,NORMAL
0.462652,NORMAL
0.000000,NORMAL
0.642082,NORMAL
0.000000,NORMAL
0.234047,TUMORLU
0.160712,TUMORLU
0.345274,TUMORLU
0.106359,TUMORLU
0.100635,TUMORLU
0.321583,TUMORLU
0.126946,TUMORLU
0.069400,TUMORLU
0.141410,TUMORLU
0.129147,TUMORLU
0.147045,TUMORLU
0.451690,TUMORLU
0.104742,TUMORLU
0.349853,TUMORLU
0.146263,TUMORLU
0.103805,TUMORLU
0.107985,TUMORLU
0.275637,TUMORLU
0.065440,TUMORLU
0.235614,TUMORLU
0.131950,TUMORLU
0.312866,TUMORLU
0.076488,TUMORLU
0.357229,TUMORLU
0.155957,TUMORLU
0.096674,TUMORLU
0.169413,TUMORLU
0.078004,TUMORLU
0.248696,TUMORLU
0.105225,TUMORLU
0.301635,TUMORLU
0.316795,TUMORLU
0.099156,TUMORLU
0.349238,TUMORLU
0.146568,TUMORLU
0.297415,TUMORLU
0.256987,TUMORLU
0.495761,TUMORLU
0.176832,TUMORLU
0.341512,TUMORLU
0.189928,TUMORLU
0.338998,TUMORLU
0.232252,TUMORLU
0.208821,TUMORLU
0.304987,TUMORLU
0.296176,TUMORLU
0.280327,TUMORLU
0.546202,TUMORLU
0.296320,TUMORLU
0.314880,TUMORLU
0.097054,TUMORLU
0.661541,TUMORLU
0.089779,TUMORLU
0.623535,TUMORLU
0.100244,TUMORLU
0.177193,TUMORLU
0.252700,TUMORLU
0.331516,TUMORLU
0.285018,TUMORLU
0.140880,TUMORLU
0.456061,TUMORLU
0.413717,TUMORLU
0.289093,TUMORLU
0.475601,TUMORLU
0.327983,TUMORLU
0.139414,TUMORLU
0.102106,TUMORLU
0.392156,TUMORLU
0.209583,TUMORLU
0.217382,TUMORLU
0.180139,TUMORLU
0.192279,TUMORLU
0.196843,TUMORLU
0.136552,TUMORLU
0.090965,TUMORLU
0.199506,TUMORLU
0.233982,TUMORLU
0.109331,TUMORLU
0.215357,TUMORLU
0.082595,TUMORLU
0.157519,TUMORLU
0.556505,TUMORLU
0.213711,TUMORLU
0.218397,TUMORLU
0.226740,TUMORLU
0.145468,TUMORLU
0.077747,TUMORLU
0.197944,TUMORLU
0.262638,TUMORLU
0.294820,TUMORLU
0.157610,TUMORLU
0.306537,TUMORLU
0.251259,TUMORLU
0.407240,TUMORLU
0.091444,TUMORLU
0.533566,TUMORLU
0.162008,TUMORLU
0.248006,TUMORLU
0.167735,TUMORLU
0.710226,TUMORLU
0.165147,TUMORLU
0.346248,TUMORLU
0.173476,TUMORLU
0.378826,TUMORLU
0.037101,TUMORLU
0.169160,TUMORLU
0.176242,TUMORLU
0.092886,TUMORLU
0.409868,TUMORLU
0.137304,TUMORLU
0.425278,TUMORLU
0.223072,TUMORLU
0.448277,TUMORLU
0.161034,TUMORLU
0.457672,TUMORLU
0.210028,TUMORLU
0.288239,TUMORLU
0.226188,TUMORLU
0.298456,TUMORLU
0.242792,TUMORLU
0.192918,TUMORLU
0.102070,TUMORLU
0.225824,TUMORLU
0.231940,TUMORLU
0.087857,TUMORLU
0.288472,TUMORLU
0.137745,TUMORLU
0.211908,TUMORLU
0.156200,TUMORLU
0.108211,TUMORLU
0.679701,TUMORLU
0.176468,TUMORLU
0.293011,TUMORLU
0.159220,TUMORLU
0.107874,TUMORLU
0.234110,TUMORLU
0.125041,TUMORLU
0.184882,TUMORLU
0.205429,TUMORLU
0.107170,TUMORLU
0.097182,TUMORLU
0.248874,TUMORLU
0.119595,TUMORLU
0.279446,TUMORLU
0.453017,TUMORLU
0.121951,TUMORLU
0.169887,TUMORLU
0.133649,TUMORLU
0.335967,TUMORLU
0.222352,TUMORLU
0.083132,TUMORLU
0.248546,TUMORLU
0.342332,TUMORLU
0.125997,TUMORLU
0.135960,TUMORLU
0.160953,TUMORLU
0.275219,TUMORLU
0.207838,TUMORLU
0.619559,TUMORLU
0.176784,TUMORLU
0.273065,TUMORLU
0.147949,TUMORLU
0.329101,TUMORLU
0.195631,TUMORLU
0.102343,TUMORLU
0.147683,TUMORLU
0.579740,TUMORLU
0.207472,TUMORLU
0.304285,TUMORLU
0.245404,TUMORLU
0.528994,TUMORLU
0.308868,TUMORLU
0.503668,TUMORLU
0.202335,TUMORLU
0.165177,TUMORLU
0.125399,TUMORLU
0.270916,TUMORLU
0.330836,TUMORLU
0.404539,TUMORLU
0.187457,TUMORLU
0.372698,TUMORLU
0.215732,TUMORLU
0.113032,TUMORLU
0.151512,TUMORLU
0.452836,TUMORLU
0.164553,TUMORLU
0.528403,TUMORLU
0.198604,TUMORLU
0.179415,TUMORLU
0.241260,TUMORLU
0.266491,TUMORLU
0.187845,TUMORLU
0.093705,TUMORLU
0.253183,TUMORLU
0.312418,TUMORLU
0.124770,TUMORLU
0.508503,TUMORLU
0.158299,TUMORLU
0.273124,TUMORLU
0.155545,TUMORLU
0.456008,TUMORLU
0.254656,TUMORLU
0.462142,TUMORLU
0.238409,TUMORLU
0.586894,TUMORLU
0.229379,TUMORLU
0.628551,TUMORLU
0.216818,TUMORLU
0.693305,TUMORLU
0.062104,TUMORLU
0.298373,TUMORLU
0.173953,TUMORLU
0.286606,TUMORLU
0.192448,TUMORLU
0.175839,TUMORLU
0.196425,TUMORLU
0.265227,TUMORLU
0.143058,TUMORLU
0.157237,TUMORLU
0.084544,TUMORLU
0.117040,TUMORLU
0.198253,TUMORLU
0.364575,TUMORLU
0.075448,TUMORLU
0.296224,TUMORLU
0.161711,TUMORLU
0.127839,TUMORLU
0.229513,TUMORLU
0.460967,TUMORLU
0.215417,TUMORLU
0.326743,TUMORLU
0.154164,TUMORLU
0.149926,TUMORLU
0.134925,TUMORLU
0.384781,TUMORLU
0.160550,TUMORLU
0.243433,TUMORLU
0.204121,TUMORLU
0.399842,TUMORLU
0.260839,TUMORLU
0.591975,TUMORLU
0.054963,TUMORLU
0.266824,TUMORLU
0.206449,TUMORLU
0.198168,TUMORLU
0.202521,TUMORLU
0.072562,TUMORLU
0.202889,TUMORLU
0.583979,TUMORLU
0.101388,TUMORLU
0.364444,TUMORLU
0.129117,TUMORLU
