@RELATION WAVELET_BAND_LH

@ATTRIBUTE LH_glcm_contrast NUMERIC
@ATTRIBUTE LH_glcm_dissimilarity NUMERIC
@ATTRIBUTE LH_glcm_homogeneity NUMERIC
@ATTRIBUTE LH_glcm_energy NUMERIC
@ATTRIBUTE LH_glcm_correlation NUMERIC
@ATTRIBUTE LH_glcm_ASM NUMERIC
@ATTRIBUTE class {BASLANGIC,NORMAL,TUMORLU}

@DATA
0.329587,0.484097,0.363497,0.245951,0.342825,0.113603,BASLANGIC
0.129021,0.072017,0.960732,0.962873,0.344794,0.937331,BASLANGIC
0.456861,0.501833,0.410456,0.302847,0.267447,0.151874,BASLANGIC
0.030918,0.022245,0.985472,0.985554,0.300189,0.975378,BASLANGIC
0.273631,0.418318,0.453256,0.355196,0.319697,0.191474,BASLANGIC
0.044955,0.029533,0.982376,0.983438,0.334428,0.971796,BASLANGIC
0.436651,0.605971,0.267670,0.194901,0.280366,0.083112,BASLANGIC
0.050482,0.035801,0.976798,0.978649,0.319622,0.963715,BASLANGIC
0.629264,0.696236,0.234142,0.150658,0.253516,0.059406,BASLANGIC
0.055797,0.034144,0.981456,0.983439,0.321022,0.971800,BASLANGIC
0.510158,0.623814,0.270249,0.168270,0.290754,0.068381,BASLANGIC
0.090506,0.063313,0.958550,0.960899,0.314785,0.934051,BASLANGIC
0.358268,0.529076,0.296198,0.189987,0.271787,0.080074,BASLANGIC
0.100934,0.061341,0.965794,0.967950,0.299894,0.945780,BASLANGIC
0.510686,0.646497,0.238993,0.142775,0.293127,0.055580,BASLANGIC
0.035517,0.020922,0.987825,0.988441,0.255831,0.980275,BASLANGIC
0.613532,0.736530,0.153198,0.084383,0.280468,0.029280,BASLANGIC
0.079059,0.038557,0.983181,0.984920,0.307975,0.974305,BASLANGIC
0.317030,0.527014,0.281735,0.146612,0.291535,0.057377,BASLANGIC
0.078854,0.053398,0.966597,0.968099,0.335575,0.946029,BASLANGIC
0.655963,0.766345,0.159399,0.082466,0.264067,0.028554,BASLANGIC
0.030970,0.017979,0.990154,0.990696,0.328273,0.984108,BASLANGIC
0.290285,0.516673,0.259363,0.126578,0.364456,0.047508,BASLANGIC
0.022158,0.015838,0.989366,0.989920,0.308967,0.982789,BASLANGIC
0.369414,0.540278,0.299401,0.164855,0.330427,0.066479,BASLANGIC
0.088061,0.054997,0.967157,0.968089,0.328783,0.946009,BASLANGIC
0.356433,0.496243,0.369793,0.253075,0.403189,0.117947,BASLANGIC
0.173635,0.113163,0.930163,0.934017,0.318113,0.889994,BASLANGIC
0.549935,0.708066,0.165598,0.091190,0.275439,0.032120,BASLANGIC
0.046889,0.029213,0.983045,0.983511,0.303495,0.971920,BASLANGIC
0.432197,0.538458,0.320669,0.204340,0.252970,0.088349,BASLANGIC
0.040368,0.025032,0.986094,0.986751,0.303880,0.977406,BASLANGIC
0.317504,0.450995,0.421748,0.316484,0.273265,0.162148,BASLANGIC
0.063493,0.033758,0.984373,0.986466,0.345040,0.976925,BASLANGIC
0.464427,0.513181,0.405620,0.317438,0.183142,0.162721,BASLANGIC
0.041803,0.025039,0.985446,0.986116,0.315567,0.976330,BASLANGIC
0.440567,0.539804,0.351507,0.243628,0.285256,0.111991,BASLANGIC
0.152913,0.078272,0.964829,0.968159,0.355587,0.946133,BASLANGIC
0.025094,0.015834,0.991222,0.991964,0.276352,0.986267,BASLANGIC
0.579884,0.719140,0.169754,0.100261,0.274457,0.036043,BASLANGIC
0.054231,0.030648,0.983854,0.984919,0.339611,0.974302,BASLANGIC
0.458917,0.624719,0.241701,0.146350,0.301912,0.057275,BASLANGIC
0.077546,0.048817,0.971395,0.972592,0.284401,0.953541,BASLANGIC
0.655930,0.718733,0.217708,0.131967,0.263448,0.050125,BASLANGIC
0.039881,0.024028,0.986653,0.987102,0.307031,0.978002,BASLANGIC
0.436877,0.582496,0.254841,0.131283,0.246863,0.049781,BASLANGIC
0.061380,0.042990,0.973202,0.974211,0.305686,0.956255,BASLANGIC
0.025614,0.013744,0.993205,0.994079,0.242178,0.989873,BASLANGIC
0.232320,0.409045,0.415040,0.266318,0.308263,0.126917,BASLANGIC
0.064837,0.042774,0.972410,0.972383,0.318697,0.953190,BASLANGIC
0.116882,0.277262,0.533086,0.370869,0.260627,0.204349,BASLANGIC
0.031714,0.018348,0.990257,0.991119,0.310348,0.984827,BASLANGIC
0.699214,0.773629,0.132635,0.061302,0.224582,0.020272,BASLANGIC
0.079828,0.045239,0.976779,0.978015,0.311305,0.962648,BASLANGIC
0.414151,0.579552,0.259952,0.124697,0.372797,0.047236,BASLANGIC
0.213786,0.115677,0.943298,0.947244,0.323801,0.911552,BASLANGIC
0.413195,0.564542,0.282815,0.169048,0.247240,0.068973,BASLANGIC
0.046504,0.026232,0.986404,0.987313,0.332969,0.978360,BASLANGIC
0.338599,0.540154,0.260081,0.133143,0.271358,0.050576,BASLANGIC
0.191029,0.134221,0.910937,0.916507,0.315140,0.861833,BASLANGIC
0.474701,0.610078,0.273701,0.188417,0.246500,0.079567,BASLANGIC
0.057845,0.039551,0.976360,0.978579,0.316668,0.963598,BASLANGIC
0.398098,0.565054,0.295474,0.201658,0.244596,0.086753,BASLANGIC
0.059560,0.032684,0.982988,0.984142,0.299871,0.972989,BASLANGIC
0.332986,0.522972,0.296503,0.155160,0.311875,0.061649,BASLANGIC
0.196758,0.110641,0.945487,0.950470,0.333059,0.916842,BASLANGIC
0.386407,0.543902,0.325092,0.221828,0.313255,0.098648,BASLANGIC
0.093045,0.073716,0.945347,0.945715,0.302799,0.909029,BASLANGIC
0.369075,0.524590,0.313351,0.206592,0.255377,0.089579,BASLANGIC
0.050517,0.027772,0.986746,0.988016,0.315755,0.979554,BASLANGIC
0.292402,0.439883,0.410508,0.288306,0.236470,0.142079,BASLANGIC
0.050510,0.025714,0.986830,0.987525,0.282845,0.978720,BASLANGIC
0.477243,0.589794,0.276682,0.174853,0.242616,0.071855,BASLANGIC
0.030377,0.020755,0.986280,0.987032,0.325449,0.977883,BASLANGIC
0.597255,0.719644,0.184998,0.106621,0.265635,0.038683,BASLANGIC
0.064153,0.045225,0.969288,0.970621,0.261457,0.950239,BASLANGIC
0.394357,0.605229,0.222485,0.126546,0.372915,0.047551,BASLANGIC
0.160513,0.104365,0.940080,0.944142,0.337209,0.906461,BASLANGIC
0.382160,0.548707,0.306716,0.208992,0.299904,0.091068,BASLANGIC
0.034715,0.022453,0.987585,0.988932,0.352552,0.981110,BASLANGIC
0.816039,0.924585,0.029894,0.026726,0.258646,0.008194,BASLANGIC
0.055397,0.040235,0.974013,0.975266,0.295829,0.958028,BASLANGIC
0.430541,0.586193,0.266013,0.154347,0.216848,0.061307,BASLANGIC
0.036569,0.024531,0.984725,0.985271,0.328573,0.974899,BASLANGIC
0.457723,0.519407,0.410068,0.338320,0.198449,0.178415,BASLANGIC
0.058484,0.039014,0.975625,0.976676,0.347261,0.960394,BASLANGIC
0.432685,0.595828,0.258821,0.168301,0.277762,0.068398,BASLANGIC
0.036978,0.021849,0.987930,0.988584,0.326267,0.980516,BASLANGIC
0.259186,0.484217,0.282644,0.148342,0.254268,0.058168,BASLANGIC
0.083488,0.049854,0.973002,0.975546,0.331814,0.958498,BASLANGIC
0.311091,0.459910,0.395664,0.263467,0.381252,0.124828,BASLANGIC
0.124835,0.091489,0.938647,0.941500,0.318206,0.902146,BASLANGIC
0.402511,0.614032,0.199574,0.111368,0.279949,0.040631,BASLANGIC
0.048160,0.030722,0.982405,0.982525,0.348108,0.970253,BASLANGIC
0.285419,0.406882,0.438775,0.260946,0.217335,0.123301,BASLANGIC
0.043364,0.034401,0.974361,0.975410,0.290404,0.958268,BASLANGIC
0.448370,0.612136,0.271170,0.203380,0.269827,0.087738,BASLANGIC
0.034152,0.019204,0.989335,0.989639,0.310597,0.982309,BASLANGIC
0.043799,0.023572,0.986173,0.987174,0.294690,0.978123,BASLANGIC
0.376567,0.503800,0.365358,0.200419,0.308820,0.086078,BASLANGIC
0.123604,0.080260,0.949791,0.951830,0.330642,0.919071,BASLANGIC
0.439531,0.604101,0.255891,0.176791,0.260156,0.072882,BASLANGIC
0.133687,0.073151,0.965034,0.968079,0.347112,0.945999,BASLANGIC
0.456079,0.665358,0.170557,0.096331,0.282943,0.034146,BASLANGIC
0.037239,0.023220,0.986821,0.987734,0.315828,0.979076,BASLANGIC
0.337112,0.562130,0.251392,0.147465,0.308531,0.057813,BASLANGIC
0.054266,0.030782,0.983429,0.985269,0.292277,0.974896,BASLANGIC
0.280237,0.463291,0.356175,0.185573,0.255944,0.077611,BASLANGIC
0.100282,0.057840,0.967972,0.968791,0.333548,0.947187,BASLANGIC
0.352562,0.561525,0.243406,0.128259,0.279453,0.048373,BASLANGIC
0.040522,0.023708,0.985488,0.985693,0.310530,0.975614,BASLANGIC
0.460521,0.566794,0.303061,0.184644,0.275867,0.077137,BASLANGIC
0.022909,0.015970,0.989646,0.990064,0.323545,0.983032,BASLANGIC
0.452482,0.592029,0.283520,0.176576,0.243754,0.072819,BASLANGIC
0.027136,0.015253,0.992655,0.993936,0.260823,0.989629,BASLANGIC
0.189657,0.404397,0.364980,0.190130,0.372181,0.080275,BASLANGIC
0.070072,0.048555,0.968500,0.968019,0.346099,0.945895,BASLANGIC
0.043910,0.026449,0.985826,0.987738,0.303698,0.979081,BASLANGIC
0.493785,0.613118,0.276349,0.194177,0.296708,0.082411,BASLANGIC
0.068952,0.040913,0.977590,0.978367,0.318123,0.963241,BASLANGIC
0.035265,0.021658,0.987272,0.988653,0.298976,0.980634,BASLANGIC
0.362143,0.558336,0.240335,0.118471,0.246003,0.043988,BASLANGIC
0.063622,0.040467,0.976205,0.977950,0.324026,0.962538,BASLANGIC
0.530400,0.612114,0.297645,0.212490,0.216218,0.093038,BASLANGIC
0.047927,0.026308,0.985275,0.985764,0.312900,0.975735,BASLANGIC
0.263416,0.473879,0.328584,0.191827,0.357631,0.081106,BASLANGIC
0.101352,0.069499,0.954944,0.955635,0.283631,0.925334,BASLANGIC
0.370513,0.534340,0.295806,0.174203,0.256184,0.071521,BASLANGIC
0.113073,0.078461,0.950518,0.953177,0.311227,0.921285,BASLANGIC
0.448794,0.620578,0.231117,0.131934,0.364082,0.050014,BASLANGIC
0.077958,0.048619,0.970987,0.972661,0.297913,0.953656,BASLANGIC
0.110458,0.074674,0.955265,0.957898,0.289650,0.929075,BASLANGIC
0.490605,0.635072,0.247997,0.161086,0.251126,0.064775,BASLANGIC
0.080455,0.049128,0.971296,0.972732,0.329991,0.953777,BASLANGIC
0.433665,0.559055,0.317705,0.218533,0.336730,0.096770,BASLANGIC
0.056074,0.038950,0.974537,0.975900,0.316575,0.959092,BASLANGIC
0.076032,0.042808,0.979344,0.981044,0.344597,0.967755,BASLANGIC
0.354046,0.559728,0.261472,0.168304,0.268866,0.068393,BASLANGIC
0.038188,0.026088,0.984330,0.984988,0.329366,0.974419,BASLANGIC
0.615779,0.551695,0.340743,0.192870,0.055227,0.081909,BASLANGIC
0.102648,0.058376,0.970461,0.973152,0.346545,0.954481,BASLANGIC
0.298084,0.516358,0.279900,0.136614,0.311388,0.052586,BASLANGIC
0.112310,0.072904,0.957068,0.959283,0.303956,0.931371,BASLANGIC
0.392947,0.583572,0.247229,0.128342,0.262833,0.048489,BASLANGIC
0.034416,0.023675,0.985014,0.986044,0.341758,0.976209,BASLANGIC
0.442926,0.627913,0.208517,0.105649,0.298525,0.038112,BASLANGIC
0.055367,0.033659,0.981002,0.982169,0.312815,0.969652,BASLANGIC
0.440853,0.594835,0.272296,0.151120,0.313981,0.059461,BASLANGIC
0.050894,0.033088,0.980294,0.980904,0.339121,0.967515,BASLANGIC
0.487068,0.605610,0.257587,0.132427,0.262704,0.050365,BASLANGIC
0.027574,0.021609,0.983874,0.984284,0.286680,0.973227,BASLANGIC
0.377968,0.574120,0.237755,0.124275,0.275011,0.046606,BASLANGIC
0.054814,0.037767,0.977594,0.979493,0.302535,0.965139,BASLANGIC
0.366334,0.478747,0.401435,0.293323,0.269750,0.145330,BASLANGIC
0.093205,0.062842,0.961789,0.964295,0.326076,0.939690,BASLANGIC
0.287225,0.347902,0.547863,0.415581,0.204771,0.242071,BASLANGIC
0.129149,0.085480,0.946650,0.950262,0.333523,0.916507,BASLANGIC
0.154886,0.283509,0.575312,0.448544,0.362882,0.272265,BASLANGIC
0.082164,0.042473,0.980221,0.982240,0.355906,0.969774,BASLANGIC
0.629192,0.804485,0.076917,0.039245,0.268270,0.012212,BASLANGIC
0.047165,0.026543,0.986369,0.987242,0.330174,0.978241,BASLANGIC
0.422016,0.593569,0.261129,0.155208,0.294534,0.061862,BASLANGIC
0.100034,0.057109,0.971101,0.974068,0.339515,0.956017,BASLANGIC
0.681293,0.763706,0.151175,0.076677,0.233534,0.026153,BASLANGIC
0.081282,0.052963,0.968694,0.969847,0.334437,0.948946,BASLANGIC
0.465462,0.660419,0.173321,0.095124,0.231202,0.033644,BASLANGIC
0.056081,0.030649,0.984913,0.986819,0.325517,0.977522,BASLANGIC
0.289589,0.471149,0.338947,0.205687,0.255294,0.089297,BASLANGIC
0.048521,0.027982,0.984592,0.985976,0.296950,0.976092,BASLANGIC
0.358675,0.566543,0.257869,0.143568,0.315626,0.055981,BASLANGIC
0.048052,0.033992,0.978100,0.978510,0.339945,0.963480,BASLANGIC
0.737994,0.624276,0.267289,0.136239,0.079349,0.052318,BASLANGIC
0.035588,0.023357,0.985702,0.986539,0.309185,0.977047,BASLANGIC
0.350094,0.537224,0.278045,0.144431,0.252371,0.056307,BASLANGIC
0.045525,0.027612,0.984377,0.985483,0.315134,0.975257,BASLANGIC
0.274834,0.359345,0.533683,0.422987,0.184912,0.248604,BASLANGIC
0.028477,0.015053,0.992482,0.993093,0.240698,0.988190,BASLANGIC
0.628082,0.565705,0.321165,0.175125,0.020541,0.072005,BASLANGIC
0.069408,0.041516,0.977311,0.978155,0.329188,0.962883,BASLANGIC
0.190405,0.381193,0.418054,0.232845,0.173411,0.105459,BASLANGIC
0.043888,0.036073,0.972630,0.972456,0.304092,0.953312,BASLANGIC
0.883894,0.848389,0.143808,0.088809,0.141713,0.031000,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.529848,0.667918,0.223764,0.138032,0.216725,0.053022,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.556795,0.712610,0.148141,0.071219,0.283055,0.024199,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.503891,0.687062,0.140784,0.067140,0.238693,0.022385,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.692849,0.844236,0.071880,0.045710,0.259491,0.014541,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.772197,0.861672,0.085045,0.044493,0.264483,0.014198,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.405140,0.549777,0.330265,0.234211,0.261244,0.106054,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.439307,0.486501,0.457754,0.357755,0.237400,0.193626,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.577940,0.538866,0.436455,0.354692,0.203863,0.191200,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.552733,0.687364,0.165171,0.085036,0.236407,0.029412,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.369656,0.560509,0.244278,0.115087,0.257856,0.042425,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.571746,0.812601,0.035588,0.013923,0.315890,0.004079,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.666346,0.863745,0.027445,0.011638,0.298439,0.003346,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.434549,0.570927,0.306070,0.232186,0.193695,0.104970,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.513094,0.634426,0.239771,0.165449,0.195395,0.066910,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.367941,0.490615,0.398080,0.326851,0.219878,0.169808,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.558192,0.633051,0.314272,0.244101,0.276816,0.112310,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.474616,0.568855,0.315032,0.214192,0.209700,0.094565,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.928502,0.944786,0.062807,0.053477,0.197606,0.017658,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.503822,0.610021,0.322165,0.248269,0.273709,0.114914,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.547569,0.665188,0.217607,0.147364,0.199266,0.057773,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.704042,0.824314,0.096253,0.059615,0.254115,0.019783,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.514937,0.665816,0.210249,0.131256,0.273011,0.049953,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.386805,0.598410,0.203398,0.099383,0.271349,0.035425,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.387953,0.582332,0.236113,0.142261,0.250496,0.055143,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.398550,0.578908,0.256646,0.140426,0.274429,0.054441,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.467617,0.580909,0.299967,0.185948,0.221829,0.078142,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.383239,0.524196,0.345362,0.236967,0.252332,0.108098,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.515034,0.546503,0.377106,0.267300,0.213270,0.127925,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.174590,0.298671,0.555889,0.439783,0.190961,0.264420,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.411463,0.609640,0.197884,0.101922,0.237562,0.036633,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.415809,0.604321,0.218193,0.117485,0.283743,0.043651,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.300212,0.520898,0.278817,0.151143,0.328111,0.059552,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.476534,0.578885,0.326999,0.245257,0.156840,0.113330,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.542076,0.720759,0.137027,0.079563,0.285227,0.027480,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.367521,0.487047,0.375718,0.263924,0.278594,0.125287,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.363615,0.489799,0.381901,0.272234,0.233748,0.130804,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.799685,0.533607,0.390357,0.225173,0.037876,0.100580,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.454152,0.568666,0.318567,0.229090,0.251512,0.103085,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.486704,0.598904,0.274653,0.188382,0.192689,0.079319,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.612775,0.751403,0.137076,0.078638,0.231160,0.027025,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.311692,0.467864,0.365989,0.224809,0.253301,0.100437,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.354064,0.548457,0.273811,0.150900,0.255874,0.059542,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.634474,0.781684,0.107585,0.068824,0.241888,0.023163,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.462863,0.524062,0.394722,0.295016,0.211177,0.146725,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.428107,0.534900,0.343618,0.251549,0.222181,0.117319,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.540363,0.697625,0.191698,0.132063,0.280759,0.050211,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.752783,0.883216,0.044929,0.023989,0.256133,0.007319,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.299157,0.482204,0.348448,0.232130,0.296374,0.105012,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.926647,0.756988,0.224715,0.123782,0.073231,0.046232,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.580440,0.663892,0.252428,0.173504,0.193314,0.071132,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.211451,0.386944,0.414477,0.245880,0.251728,0.113450,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
1.000000,0.787347,0.214521,0.121546,0.071452,0.045160,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.460755,0.585755,0.272200,0.157007,0.228519,0.062332,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
0.565245,0.717074,0.171878,0.104537,0.270845,0.037583,NORMAL
0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,NORMAL
