@RELATION SINGLE_HL_CORRELATION

@ATTRIBUTE HL_correlation NUMERIC
@ATTRIBUTE class {BASLANGIC,NORMAL,TUMORLU}

@DATA
0.156521,TUMORLU
0.225840,TUMORLU
0.168756,TUMORLU
0.221906,TUMORLU
0.189088,TUMORLU
0.219755,TUMORLU
0.228504,TUMORLU
0.258553,TUMORLU
0.357632,TUMORLU
0.195028,TUMORLU
0.368533,TUMORLU
0.066744,TUMORLU
0.270790,TUMORLU
0.230755,TUMORLU
0.224666,TUMORLU
0.249536,TUMORLU
0.223336,TUMORLU
0.235455,TUMORLU
0.241265,TUMORLU
0.224719,TUMORLU
0.232944,TUMORLU
0.215545,TUMORLU
0.213542,TUMORLU
0.216557,TUMORLU
0.149711,TUMORLU
0.242359,TUMORLU
0.218345,TUMORLU
0.195950,TUMORLU
0.196837,TUMORLU
0.228703,TUMORLU
0.143951,TUMORLU
0.182894,TUMORLU
