@RELATION SINGLE_HL_ASM

@ATTRIBUTE HL_ASM NUMERIC
@ATTRIBUTE class {BASLANGIC,NORMAL,TUMORLU}

@DATA
0.960256,BASLANGIC
0.036844,BASLANGIC
0.970701,BASLANGIC
0.022135,BASLANGIC
0.935604,BASLANGIC
0.023468,BASLANGIC
0.938608,BASLANGIC
0.038232,BASLANGIC
0.980494,BASLANGIC
0.093458,BASLANGIC
0.979075,BASLANGIC
0.116909,BASLANGIC
0.943235,BASLANGIC
0.099963,BASLANGIC
0.984757,BASLANGIC
0.059926,BASLANGIC
0.982032,BASLANGIC
0.045517,BASLANGIC
0.954523,BASLANGIC
0.111702,BASLANGIC
0.901506,BASLANGIC
0.026560,BASLANGIC
0.973527,BASLANGIC
0.064370,BASLANGIC
0.984165,BASLANGIC
0.378413,BASLANGIC
0.983695,BASLANGIC
0.071450,BASLANGIC
0.976832,BASLANGIC
0.188454,BASLANGIC
0.956395,BASLANGIC
0.981679,BASLANGIC
0.016891,BASLANGIC
0.977536,BASLANGIC
0.038408,BASLANGIC
0.950689,BASLANGIC
0.049870,BASLANGIC
0.974469,BASLANGIC
0.051196,BASLANGIC
0.960132,BASLANGIC
0.992959,BASLANGIC
0.092969,BASLANGIC
0.952426,BASLANGIC
0.263589,BASLANGIC
0.984758,BASLANGIC
0.028132,BASLANGIC
0.966943,BASLANGIC
0.007205,BASLANGIC
0.934692,BASLANGIC
0.013134,BASLANGIC
0.978838,BASLANGIC
0.212767,BASLANGIC
0.866548,BASLANGIC
0.144098,BASLANGIC
0.958030,BASLANGIC
0.094486,BASLANGIC
0.971885,BASLANGIC
0.023309,BASLANGIC
0.925962,BASLANGIC
0.055028,BASLANGIC
0.906821,BASLANGIC
0.021520,BASLANGIC
0.982744,BASLANGIC
0.052928,BASLANGIC
0.980614,BASLANGIC
0.044899,BASLANGIC
0.975887,BASLANGIC
0.032545,BASLANGIC
0.952673,BASLANGIC
0.079118,BASLANGIC
0.916405,BASLANGIC
0.037254,BASLANGIC
0.984286,BASLANGIC
0.008469,BASLANGIC
0.955460,BASLANGIC
0.023120,BASLANGIC
0.970933,BASLANGIC
0.148145,BASLANGIC
0.963062,BASLANGIC
0.091240,BASLANGIC
0.982746,BASLANGIC
0.082347,BASLANGIC
0.956740,BASLANGIC
0.089554,BASLANGIC
0.905466,BASLANGIC
0.038410,BASLANGIC
0.970233,BASLANGIC
0.164459,BASLANGIC
0.960841,BASLANGIC
0.049413,BASLANGIC
0.981087,BASLANGIC
0.982745,BASLANGIC
0.165806,BASLANGIC
0.936194,BASLANGIC
0.108814,BASLANGIC
0.947074,BASLANGIC
0.032714,BASLANGIC
0.978483,BASLANGIC
0.037922,BASLANGIC
0.979431,BASLANGIC
0.101288,BASLANGIC
0.955456,BASLANGIC
0.099972,BASLANGIC
0.976714,BASLANGIC
0.105299,BASLANGIC
0.979312,BASLANGIC
0.039853,BASLANGIC
0.987371,BASLANGIC
0.022527,BASLANGIC
0.947193,BASLANGIC
0.976830,BASLANGIC
0.082300,BASLANGIC
0.962484,BASLANGIC
0.977302,BASLANGIC
0.027469,BASLANGIC
0.962714,BASLANGIC
0.032948,BASLANGIC
0.977774,BASLANGIC
0.030153,BASLANGIC
0.931017,BASLANGIC
0.122308,BASLANGIC
0.916573,BASLANGIC
0.106909,BASLANGIC
0.958382,BASLANGIC
0.915768,BASLANGIC
0.019311,BASLANGIC
0.958148,BASLANGIC
0.094231,BASLANGIC
0.950905,BASLANGIC
0.970820,BASLANGIC
0.032024,BASLANGIC
0.975294,BASLANGIC
0.022772,BASLANGIC
0.959314,BASLANGIC
0.080043,BASLANGIC
0.934228,BASLANGIC
0.028185,BASLANGIC
0.975646,BASLANGIC
0.055724,BASLANGIC
0.967757,BASLANGIC
0.074357,BASLANGIC
0.970936,BASLANGIC
0.035619,BASLANGIC
0.968936,BASLANGIC
0.087826,BASLANGIC
0.959086,BASLANGIC
0.107132,BASLANGIC
0.933189,BASLANGIC
0.053472,BASLANGIC
0.941300,BASLANGIC
0.052130,BASLANGIC
0.979665,BASLANGIC
0.194239,BASLANGIC
0.976359,BASLANGIC
0.048516,BASLANGIC
0.961538,BASLANGIC
0.013521,BASLANGIC
0.950923,BASLANGIC
0.045672,BASLANGIC
0.978486,BASLANGIC
0.007448,BASLANGIC
0.974350,BASLANGIC
0.096939,BASLANGIC
0.960251,BASLANGIC
0.012379,BASLANGIC
0.977064,BASLANGIC
0.025282,BASLANGIC
0.975531,BASLANGIC
0.088367,BASLANGIC
0.988319,BASLANGIC
0.024612,BASLANGIC
0.968819,BASLANGIC
0.108316,BASLANGIC
0.956973,BASLANGIC
0.012368,NORMAL
1.000000,NORMAL
0.063890,NORMAL
1.000000,NORMAL
0.007541,NORMAL
1.000000,NORMAL
0.013403,NORMAL
1.000000,NORMAL
0.074601,NORMAL
1.000000,NORMAL
0.041755,NORMAL
1.000000,NORMAL
0.075310,NORMAL
1.000000,NORMAL
0.136757,NORMAL
1.000000,NORMAL
0.205980,NORMAL
1.000000,NORMAL
0.040265,NORMAL
1.000000,NORMAL
0.014064,NORMAL
1.000000,NORMAL
0.019460,NORMAL
1.000000,NORMAL
0.001546,NORMAL
1.000000,NORMAL
0.120346,NORMAL
1.000000,NORMAL
0.060430,NORMAL
1.000000,NORMAL
0.094945,NORMAL
1.000000,NORMAL
0.153571,NORMAL
1.000000,NORMAL
0.021816,NORMAL
1.000000,NORMAL
0.010175,NORMAL
1.000000,NORMAL
0.129371,NORMAL
1.000000,NORMAL
0.015429,NORMAL
1.000000,NORMAL
0.033526,NORMAL
1.000000,NORMAL
0.038431,NORMAL
1.000000,NORMAL
0.031642,NORMAL
1.000000,NORMAL
0.022201,NORMAL
1.000000,NORMAL
0.047323,NORMAL
1.000000,NORMAL
0.040463,NORMAL
1.000000,NORMAL
0.066493,NORMAL
1.000000,NORMAL
0.037808,NORMAL
1.000000,NORMAL
0.317114,NORMAL
1.000000,NORMAL
0.069007,NORMAL
1.000000,NORMAL
0.092537,NORMAL
1.000000,NORMAL
0.027168,NORMAL
1.000000,NORMAL
0.029761,NORMAL
1.000000,NORMAL
0.040698,NORMAL
1.000000,NORMAL
0.034402,NORMAL
1.000000,NORMAL
0.041765,NORMAL
1.000000,NORMAL
0.020019,NORMAL
1.000000,NORMAL
0.023343,NORMAL
1.000000,NORMAL
0.018971,NORMAL
1.000000,NORMAL
0.002896,NORMAL
1.000000,NORMAL
0.023226,NORMAL
1.000000,NORMAL
0.037181,NORMAL
1.000000,NORMAL
0.000000,NORMAL
1.000000,NORMAL
0.033485,NORMAL
1.000000,NORMAL
0.017148,NORMAL
1.000000,NORMAL
0.028281,NORMAL
1.000000,NORMAL
0.010114,NORMAL
1.000000,NORMAL
0.071025,NORMAL
1.000000,NORMAL
0.073368,NORMAL
1.000000,NORMAL
0.037382,NORMAL
1.000000,NORMAL
0.048489,NORMAL
1.000000,NORMAL
0.079710,NORMAL
1.000000,NORMAL
0.052743,NORMAL
1.000000,NORMAL
0.026040,NORMAL
1.000000,NORMAL
0.037945,NORMAL
1.000000,NORMAL
0.021657,NORMAL
1.000000,NORMAL
0.039928,NORMAL
1.000000,NORMAL
0.036991,NORMAL
1.000000,NORMAL
0.026523,NORMAL
1.000000,NORMAL
0.004022,NORMAL
1.000000,NORMAL
0.131272,NORMAL
1.000000,NORMAL
0.133445,NORMAL
1.000000,NORMAL
0.086603,NORMAL
1.000000,NORMAL
0.014391,NORMAL
1.000000,NORMAL
0.046154,NORMAL
1.000000,NORMAL
0.052549,NORMAL
1.000000,NORMAL
0.033781,NORMAL
1.000000,NORMAL
0.102679,NORMAL
1.000000,NORMAL
0.176764,NORMAL
1.000000,NORMAL
0.021365,NORMAL
1.000000,NORMAL
0.138601,NORMAL
1.000000,NORMAL
0.016036,NORMAL
1.000000,NORMAL
0.056509,NORMAL
1.000000,NORMAL
0.041909,NORMAL
1.000000,NORMAL
0.047411,NORMAL
1.000000,NORMAL
0.027003,NORMAL
1.000000,NORMAL
0.029180,NORMAL
1.000000,NORMAL
0.033835,NORMAL
1.000000,NORMAL
0.066258,NORMAL
1.000000,NORMAL
0.030338,NORMAL
1.000000,NORMAL
0.025367,NORMAL
1.000000,NORMAL
0.040821,NORMAL
1.000000,NORMAL
0.020822,NORMAL
1.000000,NORMAL
0.002418,NORMAL
1.000000,NORMAL
0.042691,NORMAL
1.000000,NORMAL
0.038481,NORMAL
1.000000,NORMAL
0.026410,NORMAL
1.000000,NORMAL
0.015462,NORMAL
1.000000,NORMAL
0.053549,NORMAL
1.000000,NORMAL
0.028944,NORMAL
1.000000,NORMAL
0.022193,NORMAL
1.000000,NORMAL
0.096092,NORMAL
1.000000,NORMAL
0.068784,NORMAL
1.000000,NORMAL
0.104278,NORMAL
1.000000,NORMAL
0.033471,NORMAL
1.000000,NORMAL
0.123117,NORMAL
1.000000,NORMAL
0.013913,NORMAL
1.000000,NORMAL
0.030207,NORMAL
1.000000,NORMAL
0.040190,NORMAL
1.000000,NORMAL
0.093875,NORMAL
1.000000,NORMAL
0.013180,NORMAL
1.000000,NORMAL
0.022251,NORMAL
1.000000,NORMAL
0.052704,NORMAL
1.000000,NORMAL
0.028104,NORMAL
1.000000,NORMAL
0.102053,NORMAL
1.000000,NORMAL
0.046219,NORMAL
1.000000,NORMAL
0.033555,NORMAL
1.000000,NORMAL
0.065443,NORMAL
1.000000,NORMAL
0.011536,NORMAL
1.000000,NORMAL
0.018250,NORMAL
1.000000,NORMAL
0.013354,NORMAL
1.000000,NORMAL
0.008429,NORMAL
1.000000,NORMAL
0.055007,NORMAL
1.000000,NORMAL
0.089427,NORMAL
1.000000,NORMAL
0.010725,NORMAL
1.000000,NORMAL
0.018420,NORMAL
1.000000,NORMAL
0.031827,NORMAL
1.000000,NORMAL
0.029091,NORMAL
1.000000,NORMAL
0.273489,NORMAL
1.000000,NORMAL
0.017351,NORMAL
1.000000,NORMAL
0.063505,NORMAL
1.000000,NORMAL
0.056047,NORMAL
1.000000,NORMAL
0.118473,NORMAL
1.000000,NORMAL
0.045967,NORMAL
1.000000,NORMAL
0.009930,NORMAL
1.000000,NORMAL
0.888533,TUMORLU
0.125843,TUMORLU
0.862930,TUMORLU
0.078074,TUMORLU
0.939188,TUMORLU
0.082460,TUMORLU
0.936881,TUMORLU
0.103955,TUMORLU
0.939303,TUMORLU
0.110454,TUMORLU
0.940602,TUMORLU
0.050801,TUMORLU
0.950325,TUMORLU
0.057367,TUMORLU
0.938381,TUMORLU
0.057725,TUMORLU
0.948353,TUMORLU
0.074157,TUMORLU
0.964468,TUMORLU
0.072436,TUMORLU
0.923507,TUMORLU
0.106659,TUMORLU
0.956761,TUMORLU
0.044095,TUMORLU
0.914240,TUMORLU
0.307931,TUMORLU
0.905041,TUMORLU
0.323802,TUMORLU
0.887099,TUMORLU
0.096502,TUMORLU
0.865965,TUMORLU
0.067355,TUMORLU
0.942780,TUMORLU
0.057711,TUMORLU
0.928571,TUMORLU
0.023663,TUMORLU
0.888433,TUMORLU
0.039484,TUMORLU
0.907536,TUMORLU
0.079277,TUMORLU
0.886720,TUMORLU
0.159021,TUMORLU
0.896093,TUMORLU
0.142419,TUMORLU
0.857477,TUMORLU
0.044183,TUMORLU
0.880269,TUMORLU
0.051731,TUMORLU
0.853359,TUMORLU
0.050363,TUMORLU
0.951494,TUMORLU
0.030759,TUMORLU
0.957448,TUMORLU
0.049985,TUMORLU
0.957099,TUMORLU
0.084747,TUMORLU
0.896529,TUMORLU
0.106247,TUMORLU
0.873095,TUMORLU
0.085555,TUMORLU
0.815934,TUMORLU
0.035813,TUMORLU
0.881803,TUMORLU
0.061308,TUMORLU
0.847985,TUMORLU
0.033642,TUMORLU
0.949411,TUMORLU
0.018640,TUMORLU
0.902962,TUMORLU
0.131465,TUMORLU
0.918606,TUMORLU
0.114624,TUMORLU
0.905362,TUMORLU
0.044608,TUMORLU
0.957208,TUMORLU
0.054390,TUMORLU
0.899592,TUMORLU
0.229040,TUMORLU
0.922874,TUMORLU
0.268393,TUMORLU
0.925013,TUMORLU
0.043426,TUMORLU
0.905711,TUMORLU
0.194371,TUMORLU
0.873758,TUMORLU
0.142841,TUMORLU
0.962485,TUMORLU
0.119226,TUMORLU
0.896889,TUMORLU
0.052870,TUMORLU
0.939429,TUMORLU
0.051166,TUMORLU
0.894512,TUMORLU
0.043409,TUMORLU
0.958152,TUMORLU
0.038832,TUMORLU
0.930053,TUMORLU
0.076207,TUMORLU
0.930305,TUMORLU
0.025534,TUMORLU
0.918027,TUMORLU
0.023108,TUMORLU
0.918700,TUMORLU
0.056918,TUMORLU
0.987730,TUMORLU
0.925231,TUMORLU
0.090366,TUMORLU
0.950566,TUMORLU
0.113606,TUMORLU
0.950941,TUMORLU
0.020292,TUMORLU
0.895703,TUMORLU
0.046306,TUMORLU
0.920105,TUMORLU
0.050777,TUMORLU
0.906506,TUMORLU
0.067684,TUMORLU
0.898039,TUMORLU
0.019502,TUMORLU
0.901618,TUMORLU
0.089995,TUMORLU
0.947647,TUMORLU
0.081104,TUMORLU
0.898184,TUMORLU
0.037174,TUMORLU
0.897574,TUMORLU
0.188912,TUMORLU
0.911404,TUMORLU
0.116140,TUMORLU
0.952781,TUMORLU
0.021392,TUMORLU
0.940112,TUMORLU
0.126750,TUMORLU
0.940927,TUMORLU
0.058312,TUMORLU
0.891727,TUMORLU
0.087859,TUMORLU
0.928938,TUMORLU
0.172072,TUMORLU
0.945099,TUMORLU
0.183714,TUMORLU
0.889446,TUMORLU
0.137413,TUMORLU
0.878726,TUMORLU
0.088263,TUMORLU
0.952542,TUMORLU
0.041180,TUMORLU
0.944874,TUMORLU
0.039596,TUMORLU
0.901760,TUMORLU
0.331308,TUMORLU
0.896451,TUMORLU
0.027359,TUMORLU
0.939423,TUMORLU
0.183845,TUMORLU
0.927185,TUMORLU
0.047630,TUMORLU
0.914060,TUMORLU
0.066513,TUMORLU
0.915030,TUMORLU
0.157059,TUMORLU
0.942329,TUMORLU
0.120934,TUMORLU
0.905593,TUMORLU
0.121618,TUMORLU
0.947191,TUMORLU
0.012879,TUMORLU
0.909829,TUMORLU
0.012836,TUMORLU
0.898296,TUMORLU
0.015471,TUMORLU
0.872441,TUMORLU
0.126407,TUMORLU
0.923979,TUMORLU
0.022437,TUMORLU
0.951146,TUMORLU
0.094419,TUMORLU
0.869630,TUMORLU
0.017660,TUMORLU
0.921002,TUMORLU
0.070957,TUMORLU
0.896639,TUMORLU
0.054470,TUMORLU
0.938150,TUMORLU
0.022222,TUMORLU
0.918487,TUMORLU
0.076308,TUMORLU
0.887927,TUMORLU
0.151570,TUMORLU
0.898392,TUMORLU
0.056262,TUMORLU
0.894558,TUMORLU
0.098626,TUMORLU
0.900091,TUMORLU
0.209482,TUMORLU
0.953361,TUMORLU
0.113686,TUMORLU
0.934466,TUMORLU
0.165033,TUMORLU
0.930769,TUMORLU
0.039361,TUMORLU
0.884617,TUMORLU
0.049584,TUMORLU
0.902527,TUMORLU
0.049496,TUMORLU
0.903154,TUMORLU
0.015759,TUMORLU
0.888391,TUMORLU
0.123385,TUMORLU
0.959450,TUMORLU
0.164429,TUMORLU
0.925465,TUMORLU
0.020684,TUMORLU
0.908434,TUMORLU
0.187249,TUMORLU
0.912468,TUMORLU
0.046305,TUMORLU
0.930291,TUMORLU
0.099643,TUMORLU
0.963887,TUMORLU
0.309165,TUMORLU
0.891906,TUMORLU
0.074746,TUMORLU
0.968234,TUMORLU
0.158863,TUMORLU
0.937458,TUMORLU
0.070788,TUMORLU
0.898032,TUMORLU
0.059964,TUMORLU
0.910937,TUMORLU
0.071996,TUMORLU
0.948936,TUMORLU
0.254486,TUMORLU
0.925133,TUMORLU
0.040166,TUMORLU
0.930196,TUMORLU
0.170605,TUMORLU
0.918144,TUMORLU
0.036001,TUMORLU
0.899266,TUMORLU
0.039124,TUMORLU
0.973055,TUMORLU
0.090715,TUMORLU
0.902569,TUMORLU
0.475641,TUMORLU
0.880414,TUMORLU
0.262311,TUMORLU
0.911286,TUMORLU
0.031565,TUMORLU
0.951029,TUMORLU
0.112357,TUMORLU
0.934801,TUMORLU
