@RELATION GLCM_SHAPE

@ATTRIBUTE glcm_contrast NUMERIC
@ATTRIBUTE glcm_dissimilarity NUMERIC
@ATTRIBUTE glcm_homogeneity NUMERIC
@ATTRIBUTE glcm_energy NUMERIC
@ATTRIBUTE glcm_correlation NUMERIC
@ATTRIBUTE glcm_ASM NUMERIC
@ATTRIBUTE shape_area NUMERIC
@ATTRIBUTE shape_perimeter NUMERIC
@ATTRIBUTE shape_circularity NUMERIC
@ATTRIBUTE shape_aspect_ratio NUMERIC
@ATTRIBUTE class {BASLANGIC,NORMAL,TUMORLU}

@DATA
0.093553,0.042466,0.995169,0.991906,0.475468,0.985379,0.007772,0.018721,0.963524,0.264205,BASLANGIC
0.123677,0.608466,0.316975,0.038552,0.887595,0.008459,0.963264,0.288435,0.503084,0.326316,BASLANGIC
0.125200,0.057910,0.992930,0.985643,0.606140,0.974140,0.014505,0.025902,0.939349,0.316707,BASLANGIC
0.162969,0.525527,0.495961,0.396371,0.894621,0.201838,0.478243,0.380018,0.143889,0.289720,BASLANGIC
0.401007,0.182956,0.978690,0.877232,0.860029,0.789682,0.157968,0.085666,0.935273,0.237344,BASLANGIC
0.212201,0.827502,0.155861,0.013470,0.856066,0.002649,0.799151,0.419221,0.197575,0.244094,BASLANGIC
0.334247,0.158113,0.980819,0.906105,0.848055,0.836942,0.116940,0.073553,0.939181,0.225291,BASLANGIC
0.241263,0.892955,0.126131,0.027283,0.642530,0.005888,0.606706,0.983335,0.027262,0.303922,BASLANGIC
0.082430,0.039152,0.995063,0.993465,0.389414,0.988187,0.005693,0.017207,0.835527,0.393555,BASLANGIC
0.244414,0.873283,0.159846,0.047784,0.609261,0.011069,0.244318,0.317866,0.105065,0.775000,BASLANGIC
0.104378,0.047163,0.994716,0.990364,0.511946,0.982606,0.009444,0.020732,0.954635,0.339062,BASLANGIC
0.161059,0.628845,0.341485,0.061207,0.827762,0.014501,0.345262,0.356258,0.118198,0.563636,BASLANGIC
0.457343,0.210277,0.975258,0.852613,0.865575,0.750456,0.192987,0.098201,0.869536,0.368786,BASLANGIC
0.263460,0.867986,0.151102,0.049891,0.425566,0.011514,0.361981,0.553667,0.051307,0.230198,BASLANGIC
0.134877,0.062019,0.992499,0.984875,0.596541,0.972765,0.015047,0.027860,0.842329,0.372596,BASLANGIC
0.215528,0.726921,0.263435,0.070006,0.522283,0.017214,0.356062,0.349273,0.126819,0.397436,BASLANGIC
0.104429,0.050318,0.993628,0.989317,0.552780,0.980725,0.010619,0.022506,0.910853,0.209896,BASLANGIC
0.187760,0.748616,0.240657,0.021966,0.877929,0.004519,0.900185,0.288923,0.468553,0.329787,BASLANGIC
0.107958,0.051575,0.993567,0.988188,0.582839,0.978699,0.011839,0.023004,0.972072,0.260817,BASLANGIC
0.220774,0.847899,0.164512,0.009324,0.866665,0.001833,0.924314,0.376318,0.283595,0.303922,BASLANGIC
0.157894,0.078135,0.989895,0.975555,0.715557,0.956169,0.026885,0.035798,0.911576,0.341912,BASLANGIC
0.148215,0.668814,0.272525,0.022678,0.935611,0.004610,0.345127,0.204416,0.358871,0.242188,BASLANGIC
0.551276,0.259012,0.967556,0.794279,0.880638,0.661444,0.285256,0.121204,0.843698,0.235168,BASLANGIC
0.144956,0.648725,0.301408,0.069275,0.742908,0.016986,0.274321,0.216950,0.253237,0.460156,BASLANGIC
0.082004,0.037906,0.995500,0.993431,0.415518,0.988126,0.005919,0.016450,0.950483,0.296007,BASLANGIC
0.111842,0.505825,0.451754,0.206678,0.950251,0.073399,0.452849,0.259970,0.291136,0.462687,BASLANGIC
0.268198,0.129586,0.983275,0.948170,0.776113,0.908220,0.059509,0.059872,0.721317,0.530506,BASLANGIC
0.224838,0.880904,0.122395,0.014755,0.757020,0.003014,0.699336,0.375821,0.215136,0.373494,BASLANGIC
0.104350,0.048856,0.994108,0.990293,0.502531,0.982479,0.009127,0.021489,0.858796,0.308239,BASLANGIC
0.162475,0.675372,0.280404,0.049026,0.890054,0.011104,0.713885,0.246289,0.511362,0.369048,BASLANGIC
0.259371,0.123107,0.984642,0.938916,0.819188,0.892292,0.072975,0.057363,0.963590,0.264893,BASLANGIC
0.182502,0.827010,0.127287,0.004648,0.845922,0.000924,0.810357,0.361772,0.269026,0.344444,BASLANGIC
0.241423,0.111366,0.986979,0.950623,0.792311,0.912465,0.058018,0.051437,0.952816,0.276786,BASLANGIC
0.183268,0.783215,0.176940,0.033875,0.727400,0.007347,0.883015,0.548202,0.127666,0.303922,BASLANGIC
0.168115,0.081073,0.989410,0.973864,0.718300,0.953172,0.028467,0.036998,0.903575,0.278516,BASLANGIC
0.190391,0.817019,0.146938,0.009456,0.837456,0.001926,0.886584,0.381390,0.264833,0.300971,BASLANGIC
0.099400,0.045488,0.994544,0.990517,0.521700,0.982881,0.009263,0.020105,0.995695,0.242188,BASLANGIC
0.083325,0.040450,0.994945,0.992333,0.481389,0.986148,0.006823,0.017520,0.965783,0.181641,BASLANGIC
0.197023,0.794321,0.191145,0.059476,0.742836,0.014018,0.599476,0.655273,0.060662,0.264957,BASLANGIC
0.405403,0.199847,0.973870,0.858278,0.875482,0.759396,0.184989,0.093605,0.917365,0.333681,BASLANGIC
0.249950,0.894765,0.132961,0.009329,0.803134,0.001868,0.898604,0.331588,0.355108,0.316327,BASLANGIC
0.147404,0.067367,0.992221,0.981099,0.662049,0.966023,0.020288,0.030185,0.967525,0.215278,BASLANGIC
0.244424,0.883852,0.136406,0.037464,0.628242,0.008380,0.148434,0.150189,0.285924,0.352273,BASLANGIC
0.215666,0.096941,0.989153,0.962250,0.757968,0.932721,0.043243,0.044179,0.962632,0.284307,BASLANGIC
0.173095,0.682308,0.315292,0.188576,0.838310,0.064142,0.651891,0.369549,0.207405,0.326316,BASLANGIC
0.086612,0.039907,0.994851,0.992829,0.435879,0.987042,0.006597,0.017390,0.947805,0.296007,BASLANGIC
0.147640,0.664404,0.297185,0.099122,0.891016,0.026499,0.519226,0.318740,0.222062,0.402597,BASLANGIC
0.142269,0.064340,0.992278,0.982099,0.645314,0.967807,0.018390,0.028930,0.954722,0.191201,BASLANGIC
0.192252,0.825487,0.147736,0.014481,0.836872,0.002950,0.756044,0.261224,0.481403,0.418919,BASLANGIC
0.086263,0.042170,0.994346,0.991663,0.501202,0.984942,0.007501,0.018277,0.975587,0.242188,BASLANGIC
0.117481,0.598947,0.323044,0.091535,0.718470,0.024151,0.377434,0.589277,0.047227,0.476923,BASLANGIC
0.515594,0.237214,0.971624,0.865539,0.832329,0.770932,0.169355,0.111914,0.587520,0.795759,BASLANGIC
0.185450,0.770384,0.208841,0.031267,0.859879,0.006644,0.618183,0.442292,0.137306,0.340659,BASLANGIC
0.282872,0.134541,0.982024,0.930448,0.824740,0.877840,0.082915,0.062273,0.929015,0.371931,BASLANGIC
0.250194,0.801948,0.211366,0.024469,0.863765,0.005094,0.814604,0.386290,0.237197,0.352273,BASLANGIC
0.290313,0.140268,0.981556,0.937601,0.799121,0.890041,0.072975,0.065225,0.745294,0.515965,BASLANGIC
0.194168,0.819476,0.162352,0.033662,0.822528,0.007253,0.371334,0.307536,0.170594,0.455882,BASLANGIC
0.132164,0.059461,0.993377,0.985851,0.591871,0.974512,0.014595,0.026529,0.901038,0.316707,BASLANGIC
0.177767,0.688755,0.294104,0.084432,0.808300,0.021584,0.621978,0.245921,0.446860,0.469697,BASLANGIC
0.371185,0.177633,0.977180,0.884371,0.861463,0.801241,0.146220,0.082302,0.937937,0.289444,BASLANGIC
0.067847,0.398020,0.526460,0.239658,0.929402,0.091494,0.277936,0.315192,0.121558,0.484375,BASLANGIC
0.163384,0.073447,0.991466,0.978922,0.663266,0.962147,0.022638,0.033213,0.891683,0.196057,BASLANGIC
0.138638,0.612348,0.345279,0.148034,0.895855,0.045472,0.585875,0.317064,0.253221,0.407895,BASLANGIC
0.171442,0.080874,0.989990,0.972366,0.730395,0.950523,0.030455,0.036998,0.966682,0.278516,BASLANGIC
0.233036,0.874665,0.152029,0.024997,0.881173,0.005170,0.583887,0.249523,0.407471,0.484375,BASLANGIC
0.171152,0.085151,0.988358,0.971845,0.731243,0.949602,0.030591,0.039086,0.870036,0.252717,BASLANGIC
0.184589,0.730186,0.253880,0.065232,0.666067,0.015792,0.249424,0.273059,0.145349,0.271643,BASLANGIC
0.187577,0.087290,0.989654,0.971643,0.712991,0.949244,0.031088,0.039767,0.854150,0.331414,BASLANGIC
0.159093,0.690770,0.274302,0.066790,0.901491,0.016113,0.644707,0.283233,0.349191,0.344444,BASLANGIC
0.384050,0.179490,0.978174,0.898767,0.837131,0.824803,0.125570,0.083319,0.785937,0.350535,BASLANGIC
0.103652,0.590266,0.310465,0.058600,0.924682,0.013755,0.560029,0.431088,0.130939,0.462687,BASLANGIC
0.305792,0.146826,0.980810,0.924070,0.827223,0.867032,0.091591,0.068330,0.852358,0.375000,BASLANGIC
0.162809,0.703781,0.259878,0.048715,0.867192,0.011071,0.705978,0.412734,0.180069,0.336957,BASLANGIC
0.104122,0.050072,0.993654,0.988787,0.577270,0.979774,0.011116,0.022376,0.964590,0.224888,BASLANGIC
0.166704,0.746876,0.201000,0.021704,0.907128,0.004476,0.834486,0.257753,0.545761,0.373494,BASLANGIC
0.128401,0.064090,0.991458,0.982994,0.661349,0.969405,0.017758,0.028930,0.921881,0.391226,BASLANGIC
0.250264,0.889162,0.138210,0.014613,0.817562,0.002885,0.713072,0.735586,0.057261,0.258333,BASLANGIC
0.318636,0.148710,0.981731,0.919960,0.829681,0.860101,0.097058,0.068827,0.890234,0.207589,BASLANGIC
0.260454,0.915635,0.135904,0.008310,0.833449,0.001672,1.000000,0.340109,0.375625,0.292453,BASLANGIC
0.109700,0.050879,0.993949,0.988258,0.576213,0.978824,0.011567,0.022560,0.987521,0.242188,BASLANGIC
0.104285,0.549841,0.353115,0.040891,0.942325,0.008994,0.730920,0.239000,0.555985,0.413333,BASLANGIC
0.083987,0.039601,0.995063,0.992984,0.424530,0.987321,0.006145,0.017207,0.901839,0.322917,BASLANGIC
0.135833,0.634239,0.313426,0.113944,0.917094,0.031861,0.451900,0.219079,0.409102,0.645833,BASLANGIC
0.323507,0.146888,0.983316,0.916916,0.835150,0.854986,0.102435,0.068070,0.960569,0.201823,BASLANGIC
0.184703,0.691902,0.305184,0.079423,0.920898,0.019929,0.632461,0.435975,0.144577,0.242188,BASLANGIC
0.671713,0.316187,0.960672,0.708085,0.893300,0.540049,0.461931,0.147604,0.921239,0.329937,BASLANGIC
0.234610,0.909550,0.102888,0.010991,0.817883,0.002149,0.894492,0.402642,0.239733,0.322917,BASLANGIC
0.206256,0.091230,0.990210,0.966278,0.740923,0.939789,0.038543,0.041595,0.967973,0.252717,BASLANGIC
0.133922,0.611901,0.331557,0.082540,0.932358,0.021012,0.763273,0.220647,0.681201,0.407895,BASLANGIC
0.102841,0.052197,0.992961,0.988151,0.591444,0.978633,0.011839,0.023447,0.935648,0.374290,BASLANGIC
0.249002,0.720933,0.308807,0.066649,0.842633,0.016078,0.613709,0.258088,0.400327,0.430556,BASLANGIC
0.121753,0.059980,0.991904,0.986540,0.578468,0.975745,0.012878,0.026973,0.769105,0.508594,BASLANGIC
0.150816,0.620522,0.354111,0.174401,0.868283,0.057315,0.693868,0.326548,0.282730,0.387500,BASLANGIC
0.159144,0.073072,0.991726,0.977926,0.689940,0.960378,0.024174,0.033213,0.952197,0.299173,BASLANGIC
0.212505,0.734892,0.286361,0.070359,0.878030,0.017139,0.698071,0.289756,0.361264,0.360465,BASLANGIC
0.324617,0.150122,0.981917,0.923335,0.818937,0.865790,0.092404,0.069508,0.831020,0.415179,BASLANGIC
0.088528,0.039997,0.995535,0.992712,0.443920,0.986830,0.006868,0.017650,0.957922,0.242188,BASLANGIC
0.181818,0.789850,0.173781,0.016513,0.882898,0.003310,0.793864,0.337644,0.302563,0.316327,BASLANGIC
0.170387,0.074773,0.992038,0.976879,0.685200,0.958517,0.025439,0.033840,0.965233,0.242188,BASLANGIC
0.125717,0.622367,0.311367,0.075623,0.744178,0.018945,0.380597,0.503928,0.065120,0.418919,BASLANGIC
0.320851,0.143067,0.984264,0.930513,0.804387,0.877950,0.083819,0.066372,0.826724,0.415179,BASLANGIC
0.160581,0.679253,0.296952,0.109197,0.835955,0.030128,0.423795,0.371691,0.133285,0.430556,BASLANGIC
0.137645,0.064490,0.992013,0.982727,0.645116,0.968929,0.017758,0.028930,0.921881,0.306771,BASLANGIC
0.178481,0.743383,0.222420,0.042610,0.893840,0.009430,0.726944,0.306497,0.336232,0.364706,BASLANGIC
0.207931,0.100017,0.987445,0.960083,0.773860,0.928929,0.044779,0.045953,0.921356,0.302734,BASLANGIC
0.066567,0.031745,0.995957,0.995285,0.282254,0.991471,0.003796,0.013551,0.898064,0.272461,BASLANGIC
0.143542,0.621392,0.322853,0.054550,0.937481,0.012603,0.594144,0.391590,0.168352,0.407895,BASLANGIC
0.269304,0.126534,0.983791,0.938392,0.812697,0.891395,0.072975,0.058618,0.922792,0.317349,BASLANGIC
0.158503,0.566199,0.394653,0.167637,0.917741,0.054164,0.552347,0.288923,0.287501,0.397436,BASLANGIC
0.086863,0.040673,0.995223,0.992762,0.444790,0.986921,0.006913,0.017964,0.930854,0.349826,BASLANGIC
0.113516,0.623486,0.278064,0.035181,0.856332,0.007687,0.806290,0.568590,0.108363,0.269565,BASLANGIC
0.232924,0.114171,0.985376,0.948797,0.804004,0.909305,0.060187,0.052691,0.941934,0.339062,BASLANGIC
0.114221,0.597080,0.321223,0.036473,0.945337,0.008028,0.416068,0.186524,0.519616,0.756098,BASLANGIC
0.601973,0.280214,0.965376,0.779743,0.877271,0.640129,0.308707,0.130451,0.788212,0.505435,BASLANGIC
0.104203,0.555550,0.357804,0.058696,0.826931,0.013933,0.518775,0.479398,0.098079,0.418919,BASLANGIC
0.121241,0.056439,0.993018,0.987247,0.569938,0.977012,0.012742,0.025145,0.875663,0.343099,BASLANGIC
0.091276,0.517083,0.376475,0.064532,0.917349,0.015434,0.417966,0.401951,0.112404,0.397436,BASLANGIC
0.791204,0.375606,0.952740,0.660810,0.888991,0.478593,0.652569,0.176870,0.906375,0.284307,BASLANGIC
0.180644,0.744020,0.232212,0.035150,0.823604,0.007622,0.714608,0.432687,0.165848,0.298077,BASLANGIC
0.236906,0.113595,0.985740,0.949801,0.797306,0.911041,0.058696,0.052377,0.929630,0.296007,BASLANGIC
0.197395,0.777968,0.214359,0.064855,0.856809,0.015562,0.556550,0.540179,0.082874,0.244094,BASLANGIC
0.189863,0.096777,0.986876,0.961939,0.782908,0.932175,0.043694,0.044363,0.964652,0.273777,BASLANGIC
0.195079,0.773013,0.209923,0.028142,0.867687,0.005931,0.716777,0.264902,0.443816,0.387500,BASLANGIC
0.518982,0.242628,0.969362,0.807523,0.880773,0.681169,0.263657,0.112930,0.898271,0.378418,BASLANGIC
0.193048,0.767907,0.222854,0.054169,0.923010,0.012470,0.721522,0.484957,0.133301,0.242188,BASLANGIC
0.514935,0.241498,0.970343,0.796043,0.888035,0.664056,0.283991,0.113266,0.961817,0.227509,BASLANGIC
0.115265,0.583074,0.341879,0.074006,0.819607,0.018317,0.596855,0.236666,0.463007,0.397436,BASLANGIC
0.123215,0.054888,0.993919,0.988549,0.521492,0.979348,0.011387,0.024518,0.823054,0.460156,BASLANGIC
0.135977,0.616083,0.324792,0.087626,0.720749,0.022715,0.307306,0.259822,0.197793,0.488945,BASLANGIC
0.124699,0.058732,0.992567,0.986836,0.561072,0.976275,0.012516,0.025902,0.810591,0.418324,BASLANGIC
0.124695,0.597810,0.343180,0.087784,0.785986,0.022763,0.191406,0.286902,0.101036,0.253720,BASLANGIC
0.103795,0.051371,0.992921,0.988168,0.581036,0.978663,0.010980,0.022690,0.926672,0.224888,BASLANGIC
0.198638,0.808141,0.184944,0.035109,0.890257,0.007554,0.636031,0.487206,0.116424,0.250000,BASLANGIC
0.326901,0.154089,0.980541,0.908760,0.846946,0.841355,0.113099,0.071542,0.960130,0.280428,BASLANGIC
0.135667,0.660539,0.264709,0.028407,0.908951,0.005930,0.412182,0.273857,0.238798,0.364706,BASLANGIC
0.530680,0.265888,0.963411,0.763900,0.897850,0.617280,0.336677,0.123713,0.955809,0.256866,BASLANGIC
0.151953,0.679708,0.271964,0.050119,0.899250,0.011416,0.778546,0.391276,0.220957,0.316327,BASLANGIC
0.094740,0.050129,0.993021,0.989074,0.579992,0.980289,0.010031,0.021933,0.906042,0.330256,BASLANGIC
0.249076,0.953297,0.067896,0.011187,0.722415,0.002288,0.656952,0.386053,0.191527,0.348315,BASLANGIC
0.230341,0.105692,0.987571,0.957380,0.769008,0.924209,0.049162,0.048592,0.904665,0.312826,BASLANGIC
0.217965,0.839521,0.159627,0.046301,0.617384,0.010591,0.484614,0.310631,0.218221,0.455882,BASLANGIC
0.158501,0.070676,0.992256,0.978590,0.682541,0.961559,0.023316,0.031829,1.000000,0.229441,BASLANGIC
0.109477,0.512483,0.447498,0.362373,0.782388,0.174541,0.358050,0.472140,0.069790,0.424658,BASLANGIC
0.190463,0.093642,0.987769,0.964031,0.771805,0.935843,0.041028,0.043239,0.953520,0.223558,BASLANGIC
0.219128,0.828445,0.173936,0.018476,0.833851,0.003739,0.848809,0.314305,0.373334,0.336957,BASLANGIC
0.135847,0.061850,0.992992,0.983874,0.631328,0.970975,0.016899,0.027730,0.954923,0.188368,BASLANGIC
0.099294,0.570688,0.324270,0.083283,0.754192,0.021366,0.471646,0.463055,0.095574,0.322917,BASLANGIC
0.257827,0.120579,0.985573,0.943688,0.805691,0.900488,0.066920,0.055589,0.940936,0.322917,BASLANGIC
0.162563,0.645026,0.339093,0.092655,0.927690,0.024271,0.313407,0.222940,0.273981,0.756098,BASLANGIC
0.531764,0.265122,0.964310,0.768992,0.895880,0.624579,0.328950,0.124103,0.928018,0.225369,BASLANGIC
0.174313,0.791158,0.157904,0.019605,0.860590,0.003978,0.553793,0.309449,0.251281,0.392405,BASLANGIC
0.149465,0.066355,0.992644,0.981135,0.659405,0.966088,0.020514,0.030131,0.981796,0.302734,BASLANGIC
0.106628,0.508378,0.429497,0.150042,0.884124,0.046343,0.665853,0.282467,0.362604,0.281776,BASLANGIC
0.253185,0.121257,0.984561,0.942727,0.811168,0.898835,0.067688,0.055903,0.941089,0.220170,BASLANGIC
0.192871,0.774047,0.225938,0.068230,0.890990,0.016527,0.570919,0.392553,0.160978,0.430556,BASLANGIC
0.110063,0.051723,0.993548,0.987692,0.586940,0.977810,0.012019,0.023004,0.986913,0.260817,BASLANGIC
0.097247,0.047129,0.993768,0.990121,0.538565,0.982169,0.009444,0.020992,0.931153,0.282552,BASLANGIC
0.212830,0.722516,0.306299,0.076081,0.796374,0.018917,0.300212,0.187133,0.372492,0.230655,BASLANGIC
0.412595,0.193435,0.976546,0.881900,0.849406,0.797231,0.149880,0.090706,0.791517,0.305367,BASLANGIC
0.145236,0.703745,0.231174,0.045926,0.861957,0.010312,0.597443,0.400177,0.162099,0.348315,BASLANGIC
0.391134,0.182347,0.978128,0.880148,0.859803,0.794394,0.152908,0.084444,0.931720,0.314844,BASLANGIC
0.188880,0.818241,0.146404,0.015399,0.876248,0.003074,0.755547,0.362162,0.250291,0.356322,BASLANGIC
0.105182,0.047808,0.994610,0.991031,0.466394,0.983805,0.008450,0.021176,0.818745,0.430556,BASLANGIC
0.195383,0.807676,0.170426,0.024642,0.822820,0.005121,0.717365,0.415534,0.180516,0.348315,BASLANGIC
0.196529,0.093062,0.988401,0.974530,0.654892,0.954353,0.026524,0.042849,0.627691,0.553571,BASLANGIC
0.187611,0.719639,0.270010,0.094905,0.867744,0.025043,0.422349,0.314685,0.185314,0.445198,BASLANGIC
0.358654,0.159285,0.982691,0.909821,0.831961,0.843123,0.112376,0.073347,0.907605,0.173743,BASLANGIC
0.205600,0.823500,0.163287,0.021930,0.862918,0.004474,0.659347,0.478564,0.125090,0.300971,BASLANGIC
0.147803,0.067805,0.992003,0.980486,0.670117,0.964933,0.020876,0.030758,0.958767,0.216694,BASLANGIC
0.144339,0.650196,0.292474,0.046034,0.939292,0.010308,0.732728,0.321486,0.308041,0.369048,BASLANGIC
0.104278,0.047007,0.994691,0.990364,0.519447,0.982606,0.009670,0.020862,0.965339,0.190290,BASLANGIC
0.116938,0.570798,0.369481,0.094422,0.759411,0.025003,0.452668,0.369312,0.144206,0.457465,BASLANGIC
0.093663,0.044543,0.994317,0.991920,0.444599,0.985405,0.007094,0.019662,0.797345,0.454102,BASLANGIC
0.169393,0.765811,0.166315,0.007310,0.896999,0.001370,0.698071,0.271922,0.410205,0.340659,BASLANGIC
0.268457,0.122081,0.986069,0.941549,0.806144,0.896809,0.070128,0.057050,0.936210,0.249527,BASLANGIC
0.136550,0.065187,0.991917,0.982709,0.646224,0.968895,0.017984,0.029687,0.886600,0.287598,BASLANGIC
0.155261,0.681923,0.276628,0.064827,0.912888,0.015524,0.725272,0.311429,0.324917,0.402597,BASLANGIC
0.205730,0.095128,0.988292,0.967559,0.724836,0.942042,0.036103,0.043812,0.817238,0.357515,BASLANGIC
0.124921,0.056659,0.993681,0.986313,0.600226,0.975339,0.014233,0.025275,0.968106,0.242188,BASLANGIC
0.099403,0.577467,0.315820,0.043792,0.866353,0.009863,0.802042,0.438798,0.180992,0.326316,BASLANGIC
0.180765,0.086403,0.989094,0.971805,0.721718,0.949530,0.031042,0.039713,0.855221,0.390191,BASLANGIC
0.187806,0.749547,0.234606,0.049191,0.865909,0.011161,0.639601,0.365083,0.208504,0.387500,BASLANGIC
0.137826,0.062551,0.992372,0.983290,0.631112,0.969933,0.017125,0.028043,0.946168,0.213695,BASLANGIC
0.130282,0.658674,0.260512,0.040083,0.925294,0.008775,0.651439,0.249577,0.454417,0.402597,BASLANGIC
0.446415,0.202722,0.976553,0.850397,0.870824,0.746973,0.197235,0.095065,0.948270,0.237863,BASLANGIC
0.185708,0.739158,0.230317,0.034144,0.850938,0.007350,0.636799,0.254012,0.428829,0.462687,BASLANGIC
0.471383,0.232607,0.968642,0.816006,0.886347,0.693951,0.248339,0.108594,0.915006,0.290625,BASLANGIC
0.223686,0.820604,0.183791,0.019243,0.882513,0.003861,0.783381,0.423463,0.189815,0.242188,BASLANGIC
0.274444,0.125890,0.985214,0.941232,0.802091,0.896265,0.069992,0.058174,0.898626,0.242188,BASLANGIC
0.589820,0.268269,0.969329,0.744054,0.895898,0.589239,0.384393,0.134052,0.929427,0.355208,BASLANGIC
0.181758,0.754297,0.224469,0.033738,0.819908,0.007288,0.723149,0.459996,0.148494,0.298077,BASLANGIC
0.234577,0.115669,0.984949,0.949377,0.801161,0.910307,0.059283,0.053318,0.906092,0.316707,BASLANGIC
0.118924,0.557931,0.390571,0.116293,0.942020,0.032767,0.448240,0.218245,0.408893,0.574074,BASLANGIC
0.246925,0.124689,0.983238,0.944628,0.806468,0.902107,0.063892,0.057861,0.829224,0.372596,BASLANGIC
0.172538,0.081278,0.989901,0.976031,0.685070,0.957013,0.025891,0.036868,0.827624,0.484375,BASLANGIC
0.159734,0.727604,0.219340,0.025565,0.887265,0.005314,0.906195,0.312271,0.403782,0.329787,BASLANGIC
0.140596,0.068884,0.990872,0.980426,0.674858,0.964824,0.019882,0.030942,0.902301,0.409856,BASLANGIC
0.144562,0.614071,0.327521,0.074818,0.751008,0.018681,0.339614,0.354278,0.117567,0.500000,BASLANGIC
0.258746,0.122450,0.984960,0.942595,0.807403,0.898607,0.067326,0.056346,0.921386,0.353966,BASLANGIC
0.181444,0.769247,0.195179,0.021916,0.865466,0.004495,0.825177,0.463575,0.166839,0.242188,BASLANGIC
0.377182,0.184436,0.976291,0.876339,0.867577,0.788243,0.156161,0.085407,0.930205,0.330793,BASLANGIC
0.198014,0.816062,0.158344,0.013389,0.852340,0.002646,0.735891,0.405531,0.194426,0.274336,BASLANGIC
0.105608,0.051373,0.993574,0.988615,0.577953,0.979465,0.011387,0.023004,0.934970,0.302734,BASLANGIC
0.160757,0.732211,0.218225,0.019923,0.884225,0.004037,0.862501,0.356128,0.295486,0.306931,BASLANGIC
0.153322,0.070516,0.991686,0.978721,0.687066,0.961790,0.023180,0.032402,0.959312,0.230078,BASLANGIC
0.148347,0.667880,0.287986,0.063793,0.839583,0.015261,0.543130,0.585245,0.068900,0.313131,BASLANGIC
0.170657,0.076407,0.991537,0.975624,0.702113,0.956292,0.027292,0.034857,0.975989,0.254297,BASLANGIC
0.139050,0.659522,0.279928,0.096415,0.921303,0.025554,0.666305,0.288739,0.347258,0.364706,BASLANGIC
0.170843,0.078477,0.990903,0.974267,0.713088,0.953887,0.028151,0.035614,0.964346,0.266406,BASLANGIC
0.105059,0.590166,0.308077,0.045863,0.851587,0.010378,0.914645,0.471329,0.178893,0.264957,BASLANGIC
0.224875,0.104488,0.987535,0.962644,0.740446,0.933411,0.042158,0.048095,0.791910,0.322917,BASLANGIC
0.186081,0.720143,0.268505,0.062583,0.879909,0.014864,0.464642,0.227017,0.391735,0.455882,BASLANGIC
0.393321,0.180378,0.978685,0.880143,0.859126,0.794385,0.152998,0.083892,0.944559,0.269097,BASLANGIC
0.118397,0.514237,0.434454,0.174063,0.878240,0.057217,0.190005,0.154180,0.347295,0.299656,BASLANGIC
0.445625,0.221658,0.969731,0.841556,0.876468,0.733160,0.208893,0.103035,0.854960,0.435938,BASLANGIC
0.119252,0.526323,0.415733,0.135987,0.951258,0.040542,0.642673,0.238458,0.491083,0.455882,BASLANGIC
0.156877,0.074379,0.990584,0.980168,0.643937,0.964365,0.020333,0.033710,0.777458,0.504557,BASLANGIC
0.105368,0.589386,0.307886,0.080293,0.822210,0.020370,0.546473,0.524464,0.086323,0.242188,BASLANGIC
