@RELATION SINGLE_HH_CORRELATION

@ATTRIBUTE HH_correlation NUMERIC
@ATTRIBUTE class {BASLANGIC,NORMAL,TUMORLU}

@DATA
0.041681,TUMORLU
0.055521,TUMORLU
0.109273,TUMORLU
0.061295,TUMORLU
0.077612,TUMORLU
0.072286,TUMORLU
0.115343,TUMORLU
0.084143,TUMORLU
0.059851,TUMORLU
0.061080,TUMORLU
0.048931,TUMORLU
0.053223,TUMORLU
0.066697,TUMORLU
0.082228,TUMORLU
0.067743,TUMORLU
0.059988,TUMORLU
0.073217,TUMORLU
0.042641,TUMORLU
0.066614,TUMORLU
0.053049,TUMORLU
0.040438,TUMORLU
0.045990,TUMORLU
0.066320,TUMORLU
0.059544,TUMORLU
0.082940,TUMORLU
0.067938,TUMORLU
0.051057,TUMORLU
0.080771,TUMORLU
0.095040,TUMORLU
0.061983,TUMORLU
0.052549,TUMORLU
0.059019,TUMORLU
0.105059,TUMORLU
0.071495,TUMORLU
0.020113,TUMORLU
0.066649,TUMORLU
0.095304,TUMORLU
0.052770,TUMORLU
0.079667,TUMORLU
0.069405,TUMORLU
0.142811,TUMORLU
0.059772,TUMORLU
0.047174,TUMORLU
0.055604,TUMORLU
0.074840,TUMORLU
0.058594,TUMORLU
0.108706,TUMORLU
0.052075,TUMORLU
0.087077,TUMORLU
0.115818,TUMORLU
0.061770,TUMORLU
0.041857,TUMORLU
0.080467,TUMORLU
0.051744,TUMORLU
0.087587,TUMORLU
