@RELATION SINGLE_GLCM_ENERGY

@ATTRIBUTE glcm_energy NUMERIC
@ATTRIBUTE class {BASLANGIC,NORMAL,TUMORLU}

@DATA
1.000000,NORMAL
0.020520,NORMAL
1.000000,NORMAL
0.694149,TUMORLU
0.019111,TUMORLU
0.694416,TUMORLU
0.110736,TUMORLU
0.928188,TUMORLU
0.118441,TUMORLU
0.919107,TUMORLU
0.120764,TUMORLU
0.931596,TUMORLU
0.105247,TUMORLU
0.928741,TUMORLU
0.109129,TUMORLU
0.940221,TUMORLU
0.098892,TUMORLU
0.934695,TUMORLU
0.107736,TUMORLU
0.937886,TUMORLU
0.021753,TUMORLU
0.963271,TUMORLU
0.037375,TUMORLU
0.925558,TUMORLU
0.022650,TUMORLU
0.964867,TUMORLU
0.035418,TUMORLU
0.902353,TUMORLU
0.087377,TUMORLU
0.821411,TUMORLU
0.038986,TUMORLU
0.741186,TUMORLU
0.107763,TUMORLU
0.786386,TUMORLU
0.048147,TUMORLU
0.909616,TUMORLU
0.123684,TUMORLU
0.911346,TUMORLU
0.044189,TUMORLU
0.806824,TUMORLU
0.056440,TUMORLU
0.796974,TUMORLU
0.165318,TUMORLU
0.791951,TUMORLU
0.058611,TUMORLU
0.832822,TUMORLU
0.061241,TUMORLU
0.698678,TUMORLU
0.038795,TUMORLU
0.778908,TUMORLU
0.068756,TUMORLU
0.708831,TUMORLU
0.023430,TUMORLU
0.942346,TUMORLU
0.038283,TUMORLU
0.965793,TUMORLU
0.030615,TUMORLU
0.959457,TUMORLU
0.107883,TUMORLU
0.813876,TUMORLU
0.119736,TUMORLU
0.741910,TUMORLU
0.195181,TUMORLU
0.675374,TUMORLU
0.069620,TUMORLU
0.827426,TUMORLU
0.043758,TUMORLU
0.770146,TUMORLU
0.022753,TUMORLU
0.953814,TUMORLU
0.049568,TUMORLU
0.813785,TUMORLU
0.251685,TUMORLU
0.887858,TUMORLU
0.267747,TUMORLU
0.779733,TUMORLU
0.001592,TUMORLU
0.959009,TUMORLU
0.086371,TUMORLU
0.859363,TUMORLU
0.084690,TUMORLU
0.874636,TUMORLU
0.082702,TUMORLU
0.894641,TUMORLU
0.073401,TUMORLU
0.866378,TUMORLU
0.203866,TUMORLU
0.730814,TUMORLU
0.036389,TUMORLU
0.963641,TUMORLU
0.023371,TUMORLU
0.815330,TUMORLU
0.018636,TUMORLU
0.934571,TUMORLU
0.053729,TUMORLU
0.790843,TUMORLU
0.079588,TUMORLU
0.945495,TUMORLU
0.096144,TUMORLU
0.928658,TUMORLU
0.128470,TUMORLU
0.905994,TUMORLU
0.061382,TUMORLU
0.899452,TUMORLU
0.043730,TUMORLU
0.783316,TUMORLU
0.036403,TUMORLU
0.996884,TUMORLU
0.932268,TUMORLU
0.031626,TUMORLU
0.928257,TUMORLU
0.021936,TUMORLU
0.942997,TUMORLU
0.114237,TUMORLU
0.800454,TUMORLU
0.103706,TUMORLU
0.862556,TUMORLU
0.079909,TUMORLU
0.791359,TUMORLU
0.154510,TUMORLU
0.763731,TUMORLU
0.114129,TUMORLU
0.823658,TUMORLU
0.038617,TUMORLU
0.961312,TUMORLU
0.064216,TUMORLU
0.846706,TUMORLU
0.057592,TUMORLU
0.827333,TUMORLU
0.206996,TUMORLU
0.918225,TUMORLU
0.059109,TUMORLU
0.955272,TUMORLU
0.047560,TUMORLU
0.934266,TUMORLU
0.071186,TUMORLU
0.948488,TUMORLU
0.093837,TUMORLU
0.735083,TUMORLU
0.186985,TUMORLU
0.924272,TUMORLU
0.238100,TUMORLU
0.937701,TUMORLU
0.102852,TUMORLU
0.757270,TUMORLU
0.121781,TUMORLU
0.676076,TUMORLU
0.019043,TUMORLU
0.955281,TUMORLU
0.018424,TUMORLU
0.948218,TUMORLU
0.129469,TUMORLU
0.778631,TUMORLU
0.262110,TUMORLU
0.822506,TUMORLU
0.034421,TUMORLU
0.875838,TUMORLU
0.037285,TUMORLU
0.870751,TUMORLU
0.092233,TUMORLU
0.826500,TUMORLU
0.007832,TUMORLU
0.886889,TUMORLU
0.016073,TUMORLU
0.899677,TUMORLU
0.276690,TUMORLU
0.866042,TUMORLU
0.081597,TUMORLU
0.938943,TUMORLU
0.073086,TUMORLU
0.886904,TUMORLU
0.087023,TUMORLU
0.795626,TUMORLU
0.079949,TUMORLU
0.766205,TUMORLU
0.235898,TUMORLU
0.878929,TUMORLU
0.051089,TUMORLU
0.914671,TUMORLU
0.166644,TUMORLU
0.763837,TUMORLU
0.018219,TUMORLU
0.882885,TUMORLU
0.082087,TUMORLU
0.831823,TUMORLU
0.023728,TUMORLU
0.927612,TUMORLU
0.044898,TUMORLU
0.843697,TUMORLU
0.028522,TUMORLU
0.788452,TUMORLU
0.081293,TUMORLU
0.838739,TUMORLU
0.062610,TUMORLU
0.781076,TUMORLU
0.060971,TUMORLU
0.807645,TUMORLU
0.080825,TUMORLU
0.957130,TUMORLU
0.036029,TUMORLU
0.931435,TUMORLU
0.029536,TUMORLU
0.929150,TUMORLU
0.082585,TUMORLU
0.845284,TUMORLU
0.084586,TUMORLU
0.859875,TUMORLU
0.030905,TUMORLU
0.793429,TUMORLU
0.013980,TUMORLU
0.811847,TUMORLU
0.025096,TUMORLU
0.965939,TUMORLU
0.034385,TUMORLU
0.915750,TUMORLU
0.024239,TUMORLU
0.863795,TUMORLU
0.046974,TUMORLU
0.829436,TUMORLU
0.034935,TUMORLU
0.910170,TUMORLU
0.021716,TUMORLU
0.958582,TUMORLU
0.039034,TUMORLU
0.780074,TUMORLU
0.022991,TUMORLU
0.975388,TUMORLU
0.042873,TUMORLU
0.936126,TUMORLU
0.069127,TUMORLU
0.801532,TUMORLU
0.086252,TUMORLU
0.904471,TUMORLU
0.121126,TUMORLU
0.936872,TUMORLU
0.047745,TUMORLU
0.901523,TUMORLU
0.064018,TUMORLU
0.871703,TUMORLU
0.062901,TUMORLU
0.876994,TUMORLU
0.051891,TUMORLU
0.818897,TUMORLU
0.034696,TUMORLU
0.983526,TUMORLU
0.049154,TUMORLU
0.795994,TUMORLU
0.091131,TUMORLU
0.795291,TUMORLU
0.203158,TUMORLU
0.821876,TUMORLU
0.022103,TUMORLU
0.940513,TUMORLU
0.039425,TUMORLU
0.919257,TUMORLU
